Record_Key,Table,Section,PDF_Page,Printed_Page,Source_Record,Raw_OCR,Status,Reason,Emitted_Keys,Entry_Text_Targets,Language_Mapping,Parameter_ID,Form,Gloss,Tags,Source,Immediate_Source,Proto_Form,OM_Attestation,Distribution_Columns,Distribution_Marks,Printed_Citation,Resolved_Targets,Match_Status,Match_Reason,Unresolved,Review,Material_Error,Record_SHA256
southworth2005m:p9:t1:r11,1,Drav. (SD),9,9,Drav. (SD) |  | matsya | mole on skin |   | Ka Te macca | PD *maccu DEDR4632,matsya 'mole on skin' ----- Ka Te macca PD *maccu DEDR4632,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r11:marathi,,Marathi->M,>d4632,matsya,mole on skin,loanword,"southworth2005m[p. 9, table 1, row 11]",Ka Te macca,PD *maccu,,,,DEDR 4632,d4632,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,0fdef80bd037564be0e732b0344bb35918e89f68fd6b19f0a078c5b57c190bc7
southworth2005m:p9:t1:r12,1,Drav. (SD),9,9,Drav. (SD) |  | bāḷant(iṇ) | lying-in woman |  1278 | Te bāḷ-inta/enta | PSD *val-ant- DEDR5347,balant(in) 'lying-in woman' 1278 Te bal-inta/enta PSD *val-ant- DEDR5347,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r12:marathi,,Marathi->M,>d5347,bāḷant(iṇ),lying-in woman,loanword,"southworth2005m[p. 9, table 1, row 12]",Te bāḷ-inta/enta,PSD *val-ant-,1278,,,DEDR 5347,d5347,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,4a5d7decff3384ac256ae1e535bf877e68c0a32de085d105140c9bdcf76a0cc0
southworth2005m:p9:t1:r13,1,Drav. (SD),9,9,"Drav. (SD) |  | boṭ | finger, toe |  1290 | Ka boṭṭu; Go boṭ(ṭ)a | PSD *poṭṭ- DEDR4493","bot 'finger, toe' 1290 Ka bottu Go bot(t)a PSD *pott- DEDR4493",ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r13:marathi,,Marathi->M,>d4493,boṭ,"finger, toe",loanword,"southworth2005m[p. 9, table 1, row 13]",Ka boṭṭu; Go boṭ(ṭ)a,PSD *poṭṭ-,1290,,,DEDR 4493,d4493,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,faf343f3004734cafa79990fb0d9eda4436a7837bd8f435c624e696faac2818f
southworth2005m:p9:t1:r14,1,Drav. (SD),9,9,"Drav. (SD) |  | maṇgaṭ | wrist, ankle |   | Ka Te maṇi-kaṭṭu | PD *maṇi-ka(ṇ)ṭṭu DEDR4673","mangat 'wrist,ankle' ----- Ka Te mani-kattu PD *mani-ka(n)ttu DEDR4673",ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r14:marathi,,Marathi->M,>d4673,maṇgaṭ,"wrist, ankle",loanword,"southworth2005m[p. 9, table 1, row 14 and p. 10, table 2A, item 9]",Ka Te maṇi-kaṭṭu,PD *maṇi-ka(ṇ)ṭṭu,,,,DEDR 4673,d4673,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,99567b3a54b1d68039c4067786ca1b0a2b219753d7c3e25a2d4edaf8b153982b
southworth2005m:p9:t1:r15,1,Drav. (SD),9,9,Drav. (SD) |  | māṇḍi | thigh |  1278 | Ka maṇḍi | PSD *maṇṭi DEDR4677,mandi 'thigh' 1278 Ka mandi PSD *manti DEDR4677,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r15:marathi,,Marathi->M,>d4677,māṇḍi,thigh,loanword,"southworth2005m[p. 9, table 1, row 15]",Ka maṇḍi,PSD *maṇṭi,1278,,,DEDR 4677,d4677,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,e02ea2aba2458e6625ad63e8cccc1c5e4e898514f2b9b732f97f8f390a0bfe29
southworth2005m:p9:t1:r16,1,Drav. (SD),9,9,"Drav. (SD) |  | cimuṭṇe | squeeze, pinch |  1290 | Ka cimuṭu | PSD1 *cim-i(ṇ)ṭ/u(ṇ)ṭ- DEDR2540","cimutne 'squeeze, pinch' 1290 Ka cimutu PSD1 *cim-i(n)t/u(n)t- DEDR2540",ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r16:marathi,,Marathi->M,>d2540,cimuṭṇe,"squeeze, pinch",loanword verb,"southworth2005m[p. 9, table 1, row 16]",Ka cimuṭu,PSD1 *cim-i(ṇ)ṭ/u(ṇ)ṭ-,1290,,,DEDR 2540,d2540,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,9963ecdd5b15aac848ba450fff568b0e5ca1dc75627e0a959ce2516681295fbf
southworth2005m:p9:t1:r17,1,Drav. (SD),9,9,"Drav. (SD) |  | niṭ | neat, proper |  1290 | Ka Tu niṭa | P(S)D *niṭṭa DEDR3739","nit 'neat, proper' 1290 Ka Tu nita P(S)D *nitta DEDR3739",ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r17:marathi,,Marathi->M,>d3739,niṭ,"neat, proper",loanword,"southworth2005m[p. 9, table 1, row 17]",Ka Tu niṭa,P(S)D *niṭṭa,1290,,,DEDR 3739,d3739,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,12447540c4ef3a86e44393d52dca8711f8a57284fac7af1aa5d00d4ff53ff640
southworth2005m:p9:t1:r18,1,Drav. (SD1),9,9,Drav. (SD1) | 97 | āi | mother |  1353 | Ka āyi | PD *āy DEDR364,97. ai 'mother' 1353 Ka ayi PD *ay DEDR364,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r18:marathi,,Marathi->M,>d364,āi,mother,loanword,"southworth2005m[p. 9, table 1, row 18, item 97 and p. 10, table 2A, item 7]",Ka āyi,PD *āy,1353,,,DEDR 364,d364,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,a0a4ba61c320ab72729f016ea258fe1f5f4d7c795833d00c4d76ab8955379a1d
southworth2005m:p9:t1:r19,1,Drav. (SD1),9,9,Drav. (SD1) |  | mecṇe | approve | mecu 1290 | Ka meccu; Tu meccuni | PD *meccu- DEDR4722,mecne 'approve' mecu 1290 Ka meccu Tu meccuni PD *meccu- DEDR4722,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r19:marathi|southworth2005m:p9:t1:r19:old-marathi,,Marathi->M;Old Marathi->OM,>d4722,mecṇe,approve,loanword verb,"southworth2005m[p. 9, table 1, row 19]",Ka meccu; Tu meccuni,PD *meccu-,mecu 1290,,,DEDR 4722,d4722,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,669e83ee9dbe1de4a74007f3caa62e95b4732155b8ed5c1d064f9f607aadc2db
southworth2005m:p9:t1:r20,1,Drav. (SD1),9,9,Drav. (SD1) |  | śimpṇe | sprinkle |  1290 | Ka simp- | PSD *cim(p)- DEDR2548,Simpne 'sprinkle' 1290 Ka simp- PSD *cim(p)- DEDR2548,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r20:marathi,,Marathi->M,>d2548,śimpṇe,sprinkle,loanword verb,"southworth2005m[p. 9, table 1, row 20]",Ka simp-,PSD *cim(p)-,1290,,,DEDR 2548,d2548,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,13504f14df2033dc6aba2185d512463617e94f5fe076185c81b1bffa680dc802
southworth2005m:p9:t1:r21,1,Drav. (SD1),9,9,Drav. (SD1) |  | giḍḍ(@) | short and thick |   | Ka giḍḍu | PSD1 *kiṭṭ- DEDR1670,gidd(@) 'short & thick' ----- Ka giddu PSD1 *kitt- DEDR1670,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r21:marathi,,Marathi->M,>d1670,giḍḍ(@),short and thick,loanword adj,"southworth2005m[p. 9, table 1, row 21]",Ka giḍḍu,PSD1 *kiṭṭ-,,,,DEDR 1670,d1670,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,d38f5f2ee5716c91e4d10bc44e79279e050cd3436b98df920cf95a235984a5b4
southworth2005m:p9:t1:r22,1,Drav. (SD2),9,9,Drav. (SD2) | 68 | ḍokə | head | ḍoi 1278 | Ki ḍōka 'pot' (< *kḍōka) | PD *kuṭak(k)a- DEDR1651,68. doke 'head' doi 1278 Ki doka 'pot' (< *kdoka) PD *kutak(k)a- DEDR1651,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r22:marathi|southworth2005m:p9:t1:r22:old-marathi,,Marathi->M;Old Marathi->OM,>d1651,ḍokə,head,loanword,"southworth2005m[p. 9, table 1, row 22, item 68 and p. 10, table 2A, item 10]",Ki ḍōka 'pot' (< *kḍōka),PD *kuṭak(k)a-,ḍoi 1278,,,DEDR 1651,d1651,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,74b8ef6b10b7899f6a1e8a4d9052ebe8bb00774bf61fbeb85a41fd360a7e6221
southworth2005m:p9:t1:r23,1,Drav. (SD2),9,9,Drav. (SD2) | 87 | ḍāv@ | left | ḍāv 1290 | Te ḍā | PD *iṭai DEDR449,87. dav@ 'left' dav 1290 Te da PD *itai DEDR449,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r23:marathi|southworth2005m:p9:t1:r23:old-marathi,,Marathi->M;Old Marathi->OM,>d449,ḍāv@,left,loanword adj,"southworth2005m[p. 9, table 1, row 23, item 87 and p. 10, table 2A, item 6]",Te ḍā,PD *iṭai,ḍāv 1290,,,DEDR 449,d449,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,55a99e37bab0e6d596c2ab104349e5b301bbda8894e2df86d25099aac8f0a72e
southworth2005m:p9:t1:r24,1,Drav. (SD2/CD),9,9,Drav. (SD2/CD) |  | lek | child |  1290 | Te lēka; Nk lēṅga | PSD2 < PD *lenk- < *iḷa(ṅ)(k)- DEDR513,lek 'child' 1290 Te leka Nk lenga PSD2 *lenk- < PD ila(n)(k)- DEDR513,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r24:marathi,,Marathi->M,>d513,lek,child,loanword,"southworth2005m[p. 9, table 1, row 24]",Te lēka; Nk lēṅga,PSD2 < PD *lenk- < *iḷa(ṅ)(k)-,1290,,,DEDR 513,d513,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,3ca68f547b1b0e7260c01f4ca716266ba39f7e60939dafde778fd80ea88b6e5e
southworth2005m:p9:t1:r25,1,Drav. (SD2/CD),9,9,Drav. (SD2/CD) |  | karapṇe | scorch |  1278 | Pa karup- | PD *karu- DEDR1278,karapne 'scorch' 1278 Pa karup- PD *karu- DEDR1278,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r25:marathi,,Marathi->M,>d1278,karapṇe,scorch,loanword verb,"southworth2005m[p. 9, table 1, row 25]",Pa karup-,PD *karu-,1278,,,DEDR 1278,d1278,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,e084f07ae30d622b395492340c85d145effade67ee1c15b451d9ca63152fcac5
southworth2005m:p10:t2:a:01,2,A,10,10,A | 1 | PD | OIA kāla | black | 3083 | Mbh | Pa=+; Pk=+; Gy=+; D=+; Kf=+; Dr=+; K=+; S=+; PL=+; Ph=+; N=+; A=+; B=+; O=+; Bi=+; Av=+; H=+; R=+; G=+; M=+; Ko=+; Si=+,1 PD OIA kala 'black' 3083 Mbh ...,comparison_ingested,"distribution marks are comparison evidence, not independent printed forms",,3083,"not applicable: table columns contain marks, not forms",,OIA kāla,black,,"southworth2005m[p. 10, table 2A, item 1]",,,,Pa|Pk|Gy|D|Kf|Dr|K|S|PL|Ph|N|A|B|O|Bi|Av|H|R|G|M|Ko|Si,+|+|+|+|+|+|+|+|+|+|+|+|+|+|+|+|+|+|+|+|+|+,3083,3083,direct_printed_id,,,source-image-verified; grid cells checked at 400 dpi,no,3ff734eb05c20275653c6d0e2b330af6a04ffbfeab3fd6f1a25e82c45d4e369b
southworth2005m:p10:t2:a:02,2,A,10,10,A | 2 |  | OIA phala | fruit | 9051 | RV | Pa=+; Pk=+; Gy=+; D=+; Kf=+; Dr=+; K=+; S=+; PL=+; Ph=+; N=+; A=+; B=+; O=+; Bi=+; Av=+; H=+; R=blank; G=+; M=+; Ko=blank; Si=+,2 OIA phala 'fruit' 9051 RV ...,comparison_ingested,"distribution marks are comparison evidence, not independent printed forms",,9051,"not applicable: table columns contain marks, not forms",,OIA phala,fruit,,"southworth2005m[p. 10, table 2A, item 2]",,,,Pa|Pk|Gy|D|Kf|Dr|K|S|PL|Ph|N|A|B|O|Bi|Av|H|R|G|M|Ko|Si,+|+|+|+|+|+|+|+|+|+|+|+|+|+|+|+|+|.|+|+|.|+,9051,9051,direct_printed_id,,,source-image-verified; grid cells checked at 400 dpi,no,a5b1d230316890d4a242eafb45d0e5ab8966ae3221e5d7084aa1acb315e78bf4
southworth2005m:p10:t2:a:03,2,A,10,10,"A | 3 |  | OIA daṇḍa | stick, handle | 6128 | RV | Pa=+; Pk=+; Gy=+; D=blank; Kf=+; Dr=+; K=+; S=+; PL=+; Ph=+; N=+; A=+; B=+; O=+; Bi=+; Av=+; H=+; R=blank; G=+; M=+; Ko=blank; Si=+","3 OIA danda 'stick, handle' 6128 RV ...",comparison_ingested,"distribution marks are comparison evidence, not independent printed forms",,6128,"not applicable: table columns contain marks, not forms",,OIA daṇḍa,"stick, handle",,"southworth2005m[p. 10, table 2A, item 3]",,,,Pa|Pk|Gy|D|Kf|Dr|K|S|PL|Ph|N|A|B|O|Bi|Av|H|R|G|M|Ko|Si,+|+|+|.|+|+|+|+|+|+|+|+|+|+|+|+|+|.|+|+|.|+,6128,6128,direct_printed_id,,,source-image-verified; grid cells checked at 400 dpi,no,3df31847566fbb8be03710aeed81b0309886fe2c5c49af2bab50002c33affd28
southworth2005m:p10:t2:a:04,2,A,10,10,A | 4 |  | OIA gaṇḍa | joint of plant | 3998 | lex | Pa=+; Pk=+; Gy=blank; D=blank; Kf=+; Dr=+; K=+; S=+; PL=+; Ph=+; N=+; A=blank; B=+; O=blank; Bi=+; Av=blank; H=+; R=blank; G=+; M=+; Ko=blank; Si=blank,4 OIA ganda 'joint of plant' 3998 lex ...,comparison_ingested,"distribution marks are comparison evidence, not independent printed forms",,3998,"not applicable: table columns contain marks, not forms",,OIA gaṇḍa,joint of plant,,"southworth2005m[p. 10, table 2A, item 4]",,,,Pa|Pk|Gy|D|Kf|Dr|K|S|PL|Ph|N|A|B|O|Bi|Av|H|R|G|M|Ko|Si,+|+|.|.|+|+|+|+|+|+|+|.|+|.|+|.|+|.|+|+|.|.,3998,3998,direct_printed_id,,,source-image-verified; grid cells checked at 400 dpi,no,e247c0d9cd824e6d9290147a483aac668f003b85ccf8c9232f8da902eef84d0f
southworth2005m:p10:t2:a:05,2,A,10,10,"A | 5 |  | OIA kuṇḍa | bowl, pot | 3264 | Mbh | Pa=+; Pk=+; Gy=blank; D=blank; Kf=+; Dr=+; K=+; S=+; PL=+; Ph=+; N=blank; A=blank; B=+; O=+; Bi=+; Av=blank; H=+; R=blank; G=+; M=+; Ko=blank; Si=+","5 OIA kunda 'bowl, pot' 3264 Mbh ...",comparison_ingested,"distribution marks are comparison evidence, not independent printed forms",,3264,"not applicable: table columns contain marks, not forms",,OIA kuṇḍa,"bowl, pot",,"southworth2005m[p. 10, table 2A, item 5]",,,,Pa|Pk|Gy|D|Kf|Dr|K|S|PL|Ph|N|A|B|O|Bi|Av|H|R|G|M|Ko|Si,+|+|.|.|+|+|+|+|+|+|.|.|+|+|+|.|+|.|+|+|.|+,3264,3264,direct_printed_id,,,source-image-verified; grid cells checked at 400 dpi,no,0c436322724fe754fa3094773d4b0f9572c87bdd99246371c4cca960aa1bde08
southworth2005m:p10:t2:a:06,2,A,10,10,A | 6 | SD2 | *ḍavva etc. | left | 5539 | - | Pa=blank; Pk=+; Gy=blank; D=blank; Kf=blank; Dr=blank; K=blank; S=+; PL=+; Ph=+; N=+; A=blank; B=+; O=+; Bi=+; Av=blank; H=+; R=blank; G=+; M=+; Ko=blank; Si=blank,6 SD2 *davva etc. 'left' 5539 - ...,comparison_ingested,"distribution marks are comparison evidence, not independent printed forms",,5539,"not applicable: table columns contain marks, not forms",,*ḍavva etc.,left,,"southworth2005m[p. 10, table 2A, item 6]",,,,Pa|Pk|Gy|D|Kf|Dr|K|S|PL|Ph|N|A|B|O|Bi|Av|H|R|G|M|Ko|Si,.|+|.|.|.|.|.|+|+|+|+|.|+|+|+|.|+|.|+|+|.|.,5539,5539,direct_printed_id,,,source-image-verified; grid cells checked at 400 dpi,no,87e76d3414711daa78077998bed088c9ed40050f19a5f9bcb3ecf4792387df87
southworth2005m:p10:t2:a:07,2,A,10,10,"A | 7 | PD | *āī | mother, aunt | 997 | - | Pa=blank; Pk=blank; Gy=blank; D=blank; Kf=blank; Dr=?; K=blank; S=+; PL=blank; Ph=blank; N=+; A=+; B=+; O=+; Bi=blank; Av=blank; H=blank; R=blank; G=+; M=+; Ko=blank; Si=blank","7 PD *ai 'mother, aunt' 997 - ...",comparison_ingested,"distribution marks are comparison evidence, not independent printed forms",,997,"not applicable: table columns contain marks, not forms",,*āī,"mother, aunt",,"southworth2005m[p. 10, table 2A, item 7]",,,,Pa|Pk|Gy|D|Kf|Dr|K|S|PL|Ph|N|A|B|O|Bi|Av|H|R|G|M|Ko|Si,.|.|.|.|.|?|.|+|.|.|+|+|+|+|.|.|.|.|+|+|.|.,997,997,direct_printed_id,,,source-image-verified; grid cells checked at 400 dpi,no,02eb08be01b390e1ade2f029e6810d38a6e6c14590ee228a3109f9880f183d4c
southworth2005m:p10:t2:a:08,2,A,10,10,"A | 8 |  | OIA kaṭi | hip, side | 2639 | Mn | Pa=+; Pk=+; Gy=blank; D=blank; Kf=blank; Dr=blank; K=blank; S=blank; PL=blank; Ph=blank; N=blank; A=+; B=blank; O=+; Bi=blank; Av=blank; H=+; R=blank; G=+; M=+; Ko=blank; Si=blank","8 OIA kati 'hip, side' 2639 Mn ...",comparison_ingested,"distribution marks are comparison evidence, not independent printed forms",,2639,"not applicable: table columns contain marks, not forms",,OIA kaṭi,"hip, side",,"southworth2005m[p. 10, table 2A, item 8]",,,,Pa|Pk|Gy|D|Kf|Dr|K|S|PL|Ph|N|A|B|O|Bi|Av|H|R|G|M|Ko|Si,+|+|.|.|.|.|.|.|.|.|.|+|.|+|.|.|+|.|+|+|.|.,2639,2639,direct_printed_id,,,source-image-verified; grid cells checked at 400 dpi,no,4c9d40a4c2fe4920ab4f63b3bd77e58cdcbc9a1209aa8b8dfdb6b47be11fbca4
southworth2005m:p10:t2:a:09,2,A,10,10,A | 9 | SD | *maṇigaṇṭhi | wrist | 9734 | - | Pa=blank; Pk=blank; Gy=blank; D=blank; Kf=blank; Dr=blank; K=blank; S=blank; PL=blank; Ph=blank; N=blank; A=blank; B=blank; O=blank; Bi=blank; Av=blank; H=+; R=blank; G=blank; M=+; Ko=blank; Si=blank,9 SD *maniganthi 'wrist' 9734 - ...,comparison_ingested,"distribution marks are comparison evidence, not independent printed forms",,9734,"not applicable: table columns contain marks, not forms",,*maṇigaṇṭhi,wrist,,"southworth2005m[p. 10, table 2A, item 9]",,,,Pa|Pk|Gy|D|Kf|Dr|K|S|PL|Ph|N|A|B|O|Bi|Av|H|R|G|M|Ko|Si,.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|+|.|.|+|.|.,9734,9734,direct_printed_id,,,source-image-verified; grid cells checked at 400 dpi,no,dede7bf723729bf637fe65e7e0e7091845cb8c849b5e3bc635504b26820db3da
