Record_Type,Item,Gloss,Site_Code,Site_Name,Role,Dialect_Group,PDF_Page,Printed_Page,Column,Manual_Transcription,Manual_Review,Uncertainty,OCR_Evidence,Alternate_Digital_Evidence,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Keys
wordlist cell,2,head,BHM,Bhamani Madia,target,western Madia,92,87,3,t̪alə,manual-source-image,,tesseract_raw.txt#pdf92,t̪alə,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 2, Bhamani Madia]",silkoya1985:bhm:i002:v1
wordlist cell,2,head,CHI,Chintoor Koya,target,eastern Koya,82,77,2,talakaia,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 2, Chintoor Koya]",silkoya1985:chi:i002:v1
wordlist cell,2,head,JAG,Jaganathapuram Koya,target,eastern Koya,82,77,1,talakai,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 2, Jaganathapuram Koya]",silkoya1985:jag:i002:v1
wordlist cell,2,head,MAL,Malakanagiri Koya,target,eastern Koya,103,98,1,talːa,manual-source-image,,tesseract_raw.txt#pdf103,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 98, item 2, Malakanagiri Koya]",silkoya1985:mal:i002:v1
wordlist cell,2,head,ORI,Oriya,comparison control,,113,108,2,mundo,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 2, Oriya]",
wordlist cell,2,head,POD,Podia Koya,target,eastern Koya,82,77,3,tala,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 2, Podia Koya]",silkoya1985:pod:i002:v1
wordlist cell,2,head,TEL,Telugu,comparison control,,113,108,1,tala,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 2, Telugu]",
wordlist cell,2,head,UTN,Utnoor Gondi,target,western Gondi,92,87,1,t̪ʌlʌʔ,manual-source-image,,tesseract_raw.txt#pdf92,t̪ʌlʌʔ,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 2, Utnoor Gondi]",silkoya1985:utn:i002:v1
wordlist cell,3,hair,BHG,Bhamani Gondi,target,western Gondi,92,87,2,kelˑku,manual-source-image,,tesseract_raw.txt#pdf92,kelˑku,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 3, Bhamani Gondi]",silkoya1985:bhg:i003:v1
wordlist cell,3,hair,BHM,Bhamani Madia,target,western Madia,92,87,3,kelːo,manual-source-image,,tesseract_raw.txt#pdf92,kelːo,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 3, Bhamani Madia]",silkoya1985:bhm:i003:v1
wordlist cell,3,hair,CHI,Chintoor Koya,target,eastern Koya,82,77,2,kelːku,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 3, Chintoor Koya]",silkoya1985:chi:i003:v1
wordlist cell,3,hair,JAG,Jaganathapuram Koya,target,eastern Koya,82,77,1,botʃu,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 3, Jaganathapuram Koya]",silkoya1985:jag:i003:v1
wordlist cell,3,hair,MAL,Malakanagiri Koya,target,eastern Koya,103,98,1,kelk,manual-source-image,,tesseract_raw.txt#pdf103,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 98, item 3, Malakanagiri Koya]",silkoya1985:mal:i003:v1
wordlist cell,3,hair,ORI,Oriya,comparison control,,113,108,2,balo,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 3, Oriya]",
wordlist cell,3,hair,POD,Podia Koya,target,eastern Koya,82,77,3,kelku,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 3, Podia Koya]",silkoya1985:pod:i003:v1
wordlist cell,3,hair,TEL,Telugu,comparison control,,113,108,1,dʒutːu,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 3, Telugu]",
wordlist cell,3,hair,UTN,Utnoor Gondi,target,western Gondi,92,87,1,kɛlk,manual-source-image,,tesseract_raw.txt#pdf92,kɛlk,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 3, Utnoor Gondi]",silkoya1985:utn:i003:v1
wordlist cell,4,face,BHG,Bhamani Gondi,target,western Gondi,92,87,2,mokam,manual-source-image,,tesseract_raw.txt#pdf92,mokam,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 4, Bhamani Gondi]",silkoya1985:bhg:i004:v1
wordlist cell,4,face,BHM,Bhamani Madia,target,western Madia,92,87,3,mokame,manual-source-image,,tesseract_raw.txt#pdf92,mokame,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 4, Bhamani Madia]",silkoya1985:bhm:i004:v1
wordlist cell,4,face,CHI,Chintoor Koya,target,eastern Koya,82,77,2,mokːam,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 4, Chintoor Koya]",silkoya1985:chi:i004:v1
wordlist cell,4,face,JAG,Jaganathapuram Koya,target,eastern Koya,82,77,1,mokam,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 4, Jaganathapuram Koya]",silkoya1985:jag:i004:v1
wordlist cell,4,face,MAL,Malakanagiri Koya,target,eastern Koya,103,98,1,mokom,manual-source-image,,tesseract_raw.txt#pdf103,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 98, item 4, Malakanagiri Koya]",silkoya1985:mal:i004:v1
wordlist cell,4,face,ORI,Oriya,comparison control,,113,108,2,muhõ,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 4, Oriya]",
wordlist cell,4,face,POD,Podia Koya,target,eastern Koya,82,77,3,mokom,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 4, Podia Koya]",silkoya1985:pod:i004:v1
wordlist cell,4,face,TEL,Telugu,comparison control,,113,108,1,mukhamu,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 4, Telugu]",
wordlist cell,4,face,UTN,Utnoor Gondi,target,western Gondi,92,87,1,mukʰʌmu,manual-source-image,,tesseract_raw.txt#pdf92,mukʰʌmu,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 4, Utnoor Gondi]",silkoya1985:utn:i004:v1
wordlist cell,5,eye,BHG,Bhamani Gondi,target,western Gondi,92,87,2,kadu,manual-source-image,,tesseract_raw.txt#pdf92,kadu,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 5, Bhamani Gondi]",silkoya1985:bhg:i005:v1
wordlist cell,5,eye,BHM,Bhamani Madia,target,western Madia,92,87,3,kanˑku,manual-source-image,,tesseract_raw.txt#pdf92,kanˑku,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 5, Bhamani Madia]",silkoya1985:bhm:i005:v1
wordlist cell,5,eye,CHI,Chintoor Koya,target,eastern Koya,82,77,2,kandu,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 5, Chintoor Koya]",silkoya1985:chi:i005:v1
wordlist cell,5,eye,JAG,Jaganathapuram Koya,target,eastern Koya,82,77,1,kandu,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 5, Jaganathapuram Koya]",silkoya1985:jag:i005:v1
wordlist cell,5,eye,MAL,Malakanagiri Koya,target,eastern Koya,103,98,1,kandu,manual-source-image,,tesseract_raw.txt#pdf103,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 98, item 5, Malakanagiri Koya]",silkoya1985:mal:i005:v1
wordlist cell,5,eye,ORI,Oriya,comparison control,,113,108,2,akhi,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 5, Oriya]",
wordlist cell,5,eye,POD,Podia Koya,target,eastern Koya,82,77,3,kandku,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 5, Podia Koya]",silkoya1985:pod:i005:v1
wordlist cell,5,eye,TEL,Telugu,comparison control,,113,108,1,kanːu,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 5, Telugu]",
wordlist cell,5,eye,UTN,Utnoor Gondi,target,western Gondi,92,87,1,kʌdək,manual-source-image,,tesseract_raw.txt#pdf92,kʌdək,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 5, Utnoor Gondi]",silkoya1985:utn:i005:v1
wordlist cell,6,ear,BHG,Bhamani Gondi,target,western Gondi,92,87,2,kevu,manual-source-image,,tesseract_raw.txt#pdf92,kevu,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 6, Bhamani Gondi]",silkoya1985:bhg:i006:v1
wordlist cell,6,ear,BHM,Bhamani Madia,target,western Madia,92,87,3,kevo,manual-source-image,,tesseract_raw.txt#pdf92,kevo,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 6, Bhamani Madia]",silkoya1985:bhm:i006:v1
wordlist cell,6,ear,CHI,Chintoor Koya,target,eastern Koya,82,77,2,kev,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 6, Chintoor Koya]",silkoya1985:chi:i006:v1
wordlist cell,6,ear,JAG,Jaganathapuram Koya,target,eastern Koya,82,77,1,kave,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 6, Jaganathapuram Koya]",silkoya1985:jag:i006:v1
wordlist cell,6,ear,MAL,Malakanagiri Koya,target,eastern Koya,103,98,1,kevuk,manual-source-image,,tesseract_raw.txt#pdf103,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 98, item 6, Malakanagiri Koya]",silkoya1985:mal:i006:v1
wordlist cell,6,ear,ORI,Oriya,comparison control,,113,108,2,kano,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 6, Oriya]",
wordlist cell,6,ear,POD,Podia Koya,target,eastern Koya,82,77,3,kevuk,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 6, Podia Koya]",silkoya1985:pod:i006:v1
wordlist cell,6,ear,TEL,Telugu,comparison control,,113,108,1,tʃevi,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 6, Telugu]",
wordlist cell,6,ear,UTN,Utnoor Gondi,target,western Gondi,92,87,1,kɛːuʔ,manual-source-image,,tesseract_raw.txt#pdf92,kɛːuʔ,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 6, Utnoor Gondi]",silkoya1985:utn:i006:v1
wordlist cell,7,nose,BHG,Bhamani Gondi,target,western Gondi,92,87,2,mukˑu,manual-source-image,,tesseract_raw.txt#pdf92,mukˑu,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 7, Bhamani Gondi]",silkoya1985:bhg:i007:v1
wordlist cell,7,nose,BHM,Bhamani Madia,target,western Madia,92,87,3,mosoɾe,manual-source-image,,tesseract_raw.txt#pdf92,mosoɾe,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 7, Bhamani Madia]",silkoya1985:bhm:i007:v1
wordlist cell,7,nose,CHI,Chintoor Koya,target,eastern Koya,82,77,2,mosoɾi,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 7, Chintoor Koya]",silkoya1985:chi:i007:v1
wordlist cell,7,nose,JAG,Jaganathapuram Koya,target,eastern Koya,82,77,1,mosoɾ,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 7, Jaganathapuram Koya]",silkoya1985:jag:i007:v1
wordlist cell,7,nose,MAL,Malakanagiri Koya,target,eastern Koya,103,98,1,mosoɾ,manual-source-image,,tesseract_raw.txt#pdf103,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 98, item 7, Malakanagiri Koya]",silkoya1985:mal:i007:v1
wordlist cell,7,nose,ORI,Oriya,comparison control,,113,108,2,nakho,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 7, Oriya]",
wordlist cell,7,nose,POD,Podia Koya,target,eastern Koya,82,77,3,mosoɾ,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 7, Podia Koya]",silkoya1985:pod:i007:v1
wordlist cell,7,nose,TEL,Telugu,comparison control,,113,108,1,mukku,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 7, Telugu]",
wordlist cell,7,nose,UTN,Utnoor Gondi,target,western Gondi,92,87,1,mos̪əɾ,manual-source-image,,tesseract_raw.txt#pdf92,mos̪əɾ,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 7, Utnoor Gondi]",silkoya1985:utn:i007:v1
wordlist cell,8,mouth,BHG,Bhamani Gondi,target,western Gondi,92,87,2,t̪odˑi,manual-source-image,,tesseract_raw.txt#pdf92,t̪odˑi,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 8, Bhamani Gondi]",silkoya1985:bhg:i008:v1
wordlist cell,8,mouth,BHM,Bhamani Madia,target,western Madia,92,87,3,pau̯aɡai,manual-source-image,,tesseract_raw.txt#pdf92,pau̯aɡai,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 8, Bhamani Madia]",silkoya1985:bhm:i008:v1
wordlist cell,8,mouth,CHI,Chintoor Koya,target,eastern Koya,82,77,2,pawiɾ,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 8, Chintoor Koya]",silkoya1985:chi:i008:v1
wordlist cell,8,mouth,JAG,Jaganathapuram Koya,target,eastern Koya,82,77,1,pauɾu,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 8, Jaganathapuram Koya]",silkoya1985:jag:i008:v1
wordlist cell,8,mouth,MAL,Malakanagiri Koya,target,eastern Koya,103,98,1,paluɾ,manual-source-image,,tesseract_raw.txt#pdf103,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 98, item 8, Malakanagiri Koya]",silkoya1985:mal:i008:v1
wordlist cell,8,mouth,ORI,Oriya,comparison control,,113,108,2,patːi,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 8, Oriya]",
wordlist cell,8,mouth,POD,Podia Koya,target,eastern Koya,82,77,3,paiur,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 8, Podia Koya]",silkoya1985:pod:i008:v1
wordlist cell,8,mouth,TEL,Telugu,comparison control,,113,108,1,noɾu,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 8, Telugu]",
wordlist cell,8,mouth,UTN,Utnoor Gondi,target,western Gondi,92,87,1,ʈoɖi,manual-source-image,,tesseract_raw.txt#pdf92,ʈoɖi,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 8, Utnoor Gondi]",silkoya1985:utn:i008:v1
wordlist cell,9,teeth,BHG,Bhamani Gondi,target,western Gondi,92,87,2,palku,manual-source-image,,tesseract_raw.txt#pdf92,palku,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 9, Bhamani Gondi]",silkoya1985:bhg:i009:v1
wordlist cell,9,teeth,BHM,Bhamani Madia,target,western Madia,92,87,3,palku,manual-source-image,,tesseract_raw.txt#pdf92,palku,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 9, Bhamani Madia]",silkoya1985:bhm:i009:v1
wordlist cell,9,teeth,CHI,Chintoor Koya,target,eastern Koya,82,77,2,palːku,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 9, Chintoor Koya]",silkoya1985:chi:i009:v1
wordlist cell,9,teeth,JAG,Jaganathapuram Koya,target,eastern Koya,82,77,1,palu,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 9, Jaganathapuram Koya]",silkoya1985:jag:i009:v1
wordlist cell,9,teeth,MAL,Malakanagiri Koya,target,eastern Koya,103,98,1,palk,manual-source-image,,tesseract_raw.txt#pdf103,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 98, item 9, Malakanagiri Koya]",silkoya1985:mal:i009:v1
wordlist cell,9,teeth,ORI,Oriya,comparison control,,113,108,2,danto,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 9, Oriya]",
wordlist cell,9,teeth,POD,Podia Koya,target,eastern Koya,82,77,3,palku,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 9, Podia Koya]",silkoya1985:pod:i009:v1
wordlist cell,9,teeth,TEL,Telugu,comparison control,,113,108,1,palːu,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 9, Telugu]",
wordlist cell,9,teeth,UTN,Utnoor Gondi,target,western Gondi,92,87,1,pʌlk,manual-source-image,,tesseract_raw.txt#pdf92,pʌlk,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 9, Utnoor Gondi]",silkoya1985:utn:i009:v1
wordlist cell,10,tongue,BHG,Bhamani Gondi,target,western Gondi,92,87,2,nalke,manual-source-image,,tesseract_raw.txt#pdf92,nalke,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 10, Bhamani Gondi]",silkoya1985:bhg:i010:v1
wordlist cell,10,tongue,BHM,Bhamani Madia,target,western Madia,92,87,3,nalka,manual-source-image,,tesseract_raw.txt#pdf92,nalka,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 10, Bhamani Madia]",silkoya1985:bhm:i010:v1
wordlist cell,10,tongue,CHI,Chintoor Koya,target,eastern Koya,82,77,2,nalke,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 10, Chintoor Koya]",silkoya1985:chi:i010:v1
wordlist cell,10,tongue,JAG,Jaganathapuram Koya,target,eastern Koya,82,77,1,nalike,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 10, Jaganathapuram Koya]",silkoya1985:jag:i010:v1
wordlist cell,10,tongue,MAL,Malakanagiri Koya,target,eastern Koya,103,98,1,naːlke,manual-source-image,,tesseract_raw.txt#pdf103,,installed,,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 98, item 10, Malakanagiri Koya]",silkoya1985:mal:i010:v1
wordlist cell,10,tongue,ORI,Oriya,comparison control,,113,108,2,dʒipo,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 10, Oriya]",
wordlist cell,10,tongue,POD,Podia Koya,target,eastern Koya,82,77,3,nalike,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 10, Podia Koya]",silkoya1985:pod:i010:v1
wordlist cell,10,tongue,TEL,Telugu,comparison control,,113,108,1,nalika,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 10, Telugu]",
wordlist cell,10,tongue,UTN,Utnoor Gondi,target,western Gondi,92,87,1,βɛndʒər,manual-source-image,,tesseract_raw.txt#pdf92,βɛndʒər,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 10, Utnoor Gondi]",silkoya1985:utn:i010:v1
wordlist cell,11,breast,BHG,Bhamani Gondi,target,western Gondi,92,87,2,bʰomˑu,manual-source-image,,tesseract_raw.txt#pdf92,bʰomˑu,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 11, Bhamani Gondi]",silkoya1985:bhg:i011:v1
