Row,Language_ID,Form,Gloss,Phonemic,Parameter_ID,Distance,Evidence_Language_ID,Evidence_Form,Evidence_Source,Decision,Notes
9002,Palas,biˈlɑdo̱,wet,biˈlɑdo̠,11906,0.000,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
9004,Kolai,biˈlʌdo,wet,biˈlɜdo,11906,0.167,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
10153,Gupis,ɑˈlo,that,ɑˈlo,1295,0.333,Phal,aṛó,liljegren,yes,
10157,NagarThol,ˈpɑro,that,ˈpɑr̪o,1295,0.250,Phal,aṛó,liljegren,yes,
10160,Gilgit,ro̱,that,ɾ̪o̠,1295,0.333,Phal,ēṛó,liljegren,yes,
10171,Satpara,ɑ̀ó,that,ɑ̀ó,1295,0.333,Phal,aṛó,liljegren,yes,
10172,Gultari,ɑo,that,ɑo,1295,0.333,Phal,aṛó,liljegren,yes,
10173,Kharmang,ˈɑo,that,ˈɑo,1295,0.333,Phal,aṛó,liljegren,yes,
10179,Darel,ˈɑlo,that,ˈɑlo,1295,0.333,Phal,aṛó,liljegren,yes,
10180,Tangir,ˈʌṛo,that,ˈɜɽo,1295,0.333,Phal,ēṛó,liljegren,yes,
10181,Sazin,ɑˈyo,that,ɑˈjo,1295,0.333,Phal,aṛó,liljegren,yes,
10431,NagarChalt,ˈbodu̱,many,ˈbodu̠,11929,0.250,Phal,bī̂ḍu,liljegren,yes,
11081,Jalkot,ṣ̌ʊṇ,you listen!/hear!,ʂʊɳ,12598,0.000,Phal,ṣúṇ,strand,yes,
11180,Gilgit,ɑˈnu̱,he,ɑˈn̪u̠,283,0.000,Phal,anú,liljegren,yes,
11197,Dras,so,he,s̪o,12815,0.000,Kalk,sō,kalkoti,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
11199,ChilasKhinar,ˈɑnu,he,ˈɑn̪u,283,0.000,Phal,anú,liljegren,yes,
11201,ChilasJelil,so,he,s̪o,12815,0.000,Kalk,sō,kalkoti,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
11203,Darel,so,he,s̪o,12815,0.000,Kalk,sō,kalkoti,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
11209,Palas,ʌˈso,he,ɜˈs̪o,12815,0.333,Kalk,sō,kalkoti,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
11210,Palas,so,he,s̪o,12815,0.000,Kalk,sō,kalkoti,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
11211,Kolai,ˈɑso,he,ˈɑs̪o,12815,0.333,Kalk,sō,kalkoti,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
11245,Kolai,ˈɑso,she,ˈɑs̪o,12815,0.333,Kalk,sō,kalkoti,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
