Snapshot_Date,Collation_Date,Printed_Page,PDF_Page,Column,Item,List,Letter,Raw_Headword,Raw_Grammar,Raw_Gloss_German,Raw_Etymology,Unit_Form,Unit_Relation,Status,Reason,Entry_Key,Language_ID,Tags,Gloss_English,Source_Marks,Citations,Etymon_Cited,Etymon_Status,Etymon_Candidates,Parameter_ID,Review,Record_SHA256
2026-08-25,2026-08-25,311,312,R,11,Indische Etyma,A,akušel,tr,"(be)schimpfen, tadeln",< ai. ākruś- ; vgl. pa. akkosati,akušel,head,ingested,,boretzky1994romani:ind:311:R:11,eur,verb tr,to abuse; to scold,,,ākruś-,unmatched,,,,e88bff95d0070a3e9e4435f2805c050c53aaae2dfbf86c4f0a67e8589b941226
2026-08-25,2026-08-25,311,312,R,12,Indische Etyma,A,akharel,tr,"rufen, einladen","ai. aor akāriṣam ""rufen"" u. hi. karāhnā ""stöhnen"" gehören wegen fehlender Aspiration nicht dazu; eher < pa. garahati < ai. garhati ""tadeln""",akharel,head,ingested,,boretzky1994romani:ind:311:R:12,eur,verb tr,to call; to invite,,,garhati,linked,4067,4067,,f6701fc8c4d286cafcf473fdc5d8c9ce67b75a37c108bd979788560e848924c3
2026-08-25,2026-08-25,311,312,R,13,Indische Etyma,A,akhor,m,Walnuß,"< pk. akkhoḍa < ai. akṣoṭa- ""Walnuß""; vgl. hi. akhroṭ",akhor,head,ingested,,boretzky1994romani:ind:311:R:13,eur,m noun,walnut,,,akṣoṭa-,ambiguous,48 14197,,,12fad1497d40f23b6a8473e18d92714d3410dbdd6f090d7d9ffeccc632c7d73c
2026-08-25,2026-08-25,311,312,R,14,Indische Etyma,A,amaro,pron poss,unser,vgl. hi. hamārā,amaro,head,ingested,,boretzky1994romani:ind:311:R:14,eur,pron poss,our,,,,no-etymon,,,,bd8bf1043c1e6fc862fb2b4b158458bac56b6e4a4c00623c3e30ec22cd03c62d
2026-08-25,2026-08-25,312,313,L,01,Indische Etyma,A,amen,pron,wir,< pa. amhē < ai. gen asmān,amen,head,ingested,,boretzky1994romani:ind:312:L:01,eur,pron,we,,,,no-etymon,,,,12049e9e188592c0d8d5d2e4429c2939c273ec510586265151a2231b274fcc22
2026-08-25,2026-08-25,312,313,L,02,Indische Etyma,A,anav,xref,s. nav,,,,crossref,s. nav,,,,,,,,,,,see-reference,b1867f8948b16820825432bd2e14c660ef487f7d042af44b820156acc15cfbf0
2026-08-25,2026-08-25,312,313,L,03,Indische Etyma,A,andar,präp,"von, aus","< ai. abl antarāt ""heraus von, von innen""; vgl. hi. ã:tar ""Zwischenraum""",andar,head,ingested,,boretzky1994romani:ind:312:L:03,eur,prep,from; out of,,,,no-etymon,,,,e9ab3f0994071dd6be7dbb7b92bbcfecd5a127a53f7f7fcd678de25181f87318
2026-08-25,2026-08-25,312,313,L,04,Indische Etyma,A,andral,adv,(von) innen,"< ai. antarataḥ ""im Innern; aus heraus, innerhalb von""",andral,head,ingested,,boretzky1994romani:ind:312:L:04,eur,adv,from inside,,,antarataḥ,unmatched,,,,3e62c1851f326f98d315c6b41440bdec8b2f0ba2e59af3ed275ee67dbe0567d7
2026-08-25,2026-08-25,312,313,L,05,Indische Etyma,A,andre,adv,"innen, drinnen","< pa. ai. antare ""drin""",andre,head,ingested,,boretzky1994romani:ind:312:L:05,eur,adv,inside,,,antare,unmatched,,,,14f1e952fd0562f0eb1e4bad6d07e3cf074913ccec8ef35d81a6a9cf8738de2e
2026-08-25,2026-08-25,312,313,L,06,Indische Etyma,A,anel,tr,(her)bringen,"< pa. ā-neti < ai. ā-nayati ""herführen""",anel,head,ingested,,boretzky1994romani:ind:312:L:06,eur,verb tr,to bring,,,ā-nayati,linked,1174,1174,,62ef1f0d71c0f41e19c531d342987211cf80b54a24dbd9cc389e71c9a6a9c0e1
2026-08-25,2026-08-25,312,313,L,07,Indische Etyma,A,angar,m,Kohle,< pa. ai. aṅgāra-; vgl. hi. aṅgār,angar,head,ingested,,boretzky1994romani:ind:312:L:07,eur,m noun,coal,,,aṅgāra-,ambiguous,125 14200,,,f88dc5555accb8cb983134a0a129b6f974e75d9d90d82e7101b053f3a5116f96
2026-08-25,2026-08-25,312,313,L,08,Indische Etyma,A,anglal,adv,"vorn, früher",< ai. agrataḥ; kontam. mit ai. antar- ?,anglal,head,ingested,,boretzky1994romani:ind:312:L:08,eur,adv uncertain,in front; earlier,,,agrataḥ,unmatched,,,,10db06a4f6e1a22135d57eb65669bef87491203bbad3899ce39693ba95117f92
2026-08-25,2026-08-25,312,313,L,09,Indische Etyma,A,angle,adv,"(nach) vorne, früher","< ai. lok agre ""vorn, zuerst, am Anfang"" bzw. *agrale; vgl. pk. -aggala-; s.a. agor",angle,head,ingested,,boretzky1994romani:ind:312:L:09,eur,adv,forward; earlier,,,,no-etymon,,,,8e19bdc71fd9bb9047abc5f775ac94b1d9a3393db9bea057b236726216d098d9
2026-08-25,2026-08-25,312,313,L,10,Indische Etyma,A,angušt,m,Finger,"< ai. anguṣṭha- ""Daumen""?; wegen angrusti eher < pers. angušt",angušt,head,ingested,,boretzky1994romani:ind:312:L:10,eur,m noun uncertain,finger,,,anguṣṭha-,unmatched,,,,3de5982b3716eef40582172424e630aee824d2f3c52872325cdb1bbd77ec66eb
2026-08-25,2026-08-25,312,313,L,11,Indische Etyma,A,angrusti,xref,s. Iran. Etyma,,,,crossref,s. Iran. Etyma,,,,,,,,,,,see-reference to the Iranian list,023ca2d401b0982acb6135a777e6dae236a1a6baed330014bdc6c79339b71f5f
2026-08-25,2026-08-25,312,313,L,12,Indische Etyma,A,anřo,m,Ei,< ai. āṇḍa-; vgl. hi. aṇḍā,anřo,head,ingested,,boretzky1994romani:ind:312:L:12,eur,m noun,egg,,,āṇḍa-,linked,1111,1111,,63774bf4687be33a347b21d2954fe206a112be9143dfc528a36c6ce21fb337f9
2026-08-25,2026-08-25,312,313,L,13,Indische Etyma,A,arakhel,tr,"1. beschützen, (be)hüten 2. finden","< pk. rakkhati < ai. rakṣati bzw. ārakṣati ""bewahren, hüten""",arakhel,head,ingested,,boretzky1994romani:ind:312:L:13,eur,verb tr,"to protect, guard; to find",,,rakṣati,linked,10547,10547,,440592d9736a4e1df985e8e9e3fa0fe9aa992b42845b859c3953d5eeaed2a504
2026-08-25,2026-08-25,312,313,L,14,Indische Etyma,A,arli,m,"Tausch, Handeln",ohne Etym.,arli,head,ingested,,boretzky1994romani:ind:312:L:14,eur,m noun,exchange; trading,,,,no-etymon,,,,4756b58fa9b228bf8ecbc46f3e0bc27472fa053fcf06027a35f5f0c6f9f222b7
2026-08-25,2026-08-25,312,313,L,15,Indische Etyma,A,arman,f,"Fluch, Schwur","zu ai. arma- ""Abfall, Ruinen"" bzw. arman- ""eine Augenkrankheit"" ?",arman,head,ingested,,boretzky1994romani:ind:312:L:15,eur,f noun uncertain,curse; oath,,,arma-,unmatched,,,,f6c7b83e2ed91854e07488a8a60d7662977a9dd1ca3f8a311e0ed30446765dc9
2026-08-25,2026-08-25,312,313,L,16,Indische Etyma,A,ařo,m,Mehl,"< ai. *ārta- ""Mehl""/aṭṭa- ""Speise""; vgl. hi. āṭā",ařo,head,ingested,,boretzky1994romani:ind:312:L:16,eur,m noun,flour,,,*ārta-,ambiguous,1337 1338,,,490a58ecbb428fe63866f4b73643cbc1356da6cccd562dc723bb03cb355d9f6e
2026-08-25,2026-08-25,312,313,L,17,Indische Etyma,A,asal,xref,s. hasal,,,,crossref,s. hasal,,,,,,,,,,,see-reference,bed062f66ae2b9f75cd8649f287f68c053aea0e9e09aeb67ce839d5f2e4a3c97
2026-08-25,2026-08-25,312,313,L,18,Indische Etyma,A,astarel,tr,"ergreifen, beginnen","kaum zu ai. ā-sthā-; mögl. zu ai. *sthārayati ""festmachen"" oder zu *stabhira- ""fest"", dazu hi. ṭhahar- ""anhalten, entscheiden""",astarel,head,ingested,,boretzky1994romani:ind:312:L:18,eur,verb tr,to seize; to begin,,,*sthārayati,unmatched,,,,d89273b6a59a6be51853ac766a25a8a151758422711e03596d540bed906138ab
2026-08-25,2026-08-25,312,313,L,19,Indische Etyma,A,asvin,f,Träne,< pk. assu < ai. aśru- ; vgl. hi. ã:sū,asvin,head,ingested,,boretzky1994romani:ind:312:L:19,eur,f noun,tear,,,aśru-,linked,919,919,,9583e90e13bf5359fd061b8230d02e28073137de48801cabef0073647c92b20b
2026-08-25,2026-08-25,312,313,L,20,Indische Etyma,A,ašarel,tr,"preisen, loben","< ai. (*ā-)ślāghate ""loben"" oder < pk. uccaraï < ai. uccarati, uccārayati ""schreien, etwas äußern""",ašarel,head,ingested,,boretzky1994romani:ind:312:L:20,eur,verb tr,to praise,,,uccarati,linked,1641,1641,,b2eb7b7aaf5915462e014f7ea42b9b98d9ed1fea40e15e695ed4f4b02aa86c46
2026-08-25,2026-08-25,312,313,L,21,Indische Etyma,A,ašunel,tr,hören,"< ai. śṛṇoti, āśṛṇoti; vgl. pa. suṇāti",ašunel,head,ingested,,boretzky1994romani:ind:312:L:21,eur,verb tr,to hear,,,śṛṇoti,linked,12598,12598,,d5149a1b322184ab5eaa36f861cfa5c841385cac2e1e5e36281debdec4117452
2026-08-25,2026-08-25,312,313,L,22,Indische Etyma,A,atharel,tr,"betrügen, belügen","< pk. dhāḍei ""vertreiben, zerstören"" < ai. *dhāṭayati ?; vgl. hi. dhālnā ""eingießen""",atharel,head,ingested,,boretzky1994romani:ind:312:L:22,eur,verb tr uncertain,to deceive; to lie to,,,*dhāṭayati,linked,6771,6771,,60e03339c7900f50f0b56b532300427e02bcc6fcd7dcf0a02b7594217846cffd
2026-08-25,2026-08-25,312,313,R,23,Indische Etyma,A,avdive(s),adv,heute,"av- < ai. amu- ""jener"" + dives; s.u.",avdive(s),head,ingested,,boretzky1994romani:ind:312:R:23,eur,adv,today,,,amu-,unmatched,,,,0996a00e95ed090a71f4066a71f4e01ebbdeffe274fe12ed2e9559f7b5c44a76
2026-08-25,2026-08-25,312,313,R,24,Indische Etyma,A,avel,itr,"kommen, werden","< pk. āvei < pa. āpeti < ai. āpayati kaus zu āpnoti ""erreichen""; vgl. auch ai. āpyate pass",avel,head,ingested,,boretzky1994romani:ind:312:R:24,eur,verb intr,to come; to become,,,āpayati,linked,1200,1200,,88b9472006b6b2c16def6d7a5de2735b6d69b58e80c6358f382348363e22a51f
2026-08-25,2026-08-25,312,313,R,25,Indische Etyma,A,aver,pron,"anderer, adv anders","< pk. avara- < ai. apara- ""anderer, späterer""; vaver < ov aver?",aver,head,ingested,,boretzky1994romani:ind:312:R:25,eur,pron uncertain,other; otherwise,,,apara-,linked,434,434,,05df63a6f7baff5784a44bac43f913dcae76426bddc89a9bed2e7c085eb1eda3
2026-08-25,2026-08-25,312,313,R,26,Indische Etyma,A,avri,adv,"draußen, hinaus","< pk. adj vāhila, vāhira ""draußen, ausserhalb"" < ai. bahis-",avri,head,ingested,,boretzky1994romani:ind:312:R:26,eur,adv,outside; out,,,bahis-,linked,9186,9186,,82bd06ae34140e84981adaf1178cb684832b2acce65bc1e8021245c9679bc66e
2026-08-25,2026-08-25,312,313,R,27,Indische Etyma,A,azbal,tr,berühren,ohne Etym.,azbal,head,ingested,,boretzky1994romani:ind:312:R:27,eur,verb tr,to touch,,,,no-etymon,,,,7ecf5403106343fd2266768af732d632c55997b26ad64cd22876103e6011393d
2026-08-25,2026-08-25,312,313,R,28,Indische Etyma,A,ažukerel,tr,warten,ohne Etym.,ažukerel,head,ingested,,boretzky1994romani:ind:312:R:28,eur,verb tr,to wait,,,,no-etymon,,,,d4ab466edf2370e451ad83b92ff707a715fa0e75a4d0206772cb561b5ec62882
2026-08-25,2026-08-25,312,313,R,29,Indische Etyma,B,baj,f,Ärmel,< pk. bāhā < ai. bāhu-; vgl. hi. bāhi,baj,head,ingested,,boretzky1994romani:ind:312:R:29,eur,f noun,sleeve,,,bāhu-,linked,9229,9229,,321ec6ee227be2f6cb26b5eb15516e5c3c7f66eb7fc48e5aa241a4aaa404a492
2026-08-25,2026-08-25,312,313,R,30,Indische Etyma,B,bakro,m,"Widder, Schafbock","< pk. vakkara- < ai. barkara-; vgl. hi. bakrā ""Ziegenbock""",bakro,head,ingested,,boretzky1994romani:ind:312:R:30,eur,m noun,ram,,,barkara-,linked,9153,9153,,b8eabe7062ffd9233b5e2a1a6231c65c8e2f27b2d0259fcdef0cf9ac31d257ad
2026-08-25,2026-08-25,312,313,R,31,Indische Etyma,B,bal,m,Haar,"< ai. pk. vāla- ""Haar, Schweifhaar""",bal,head,ingested,,boretzky1994romani:ind:312:R:31,eur,m noun,hair,,,vāla-,linked,11572,11572,,f8bf7b84c245fbe1779ae05d350433a9501112d60be44052954413244e0874ad
2026-08-25,2026-08-25,312,313,R,32,Indische Etyma,B,balamo,m,"Herr, Nichtzigeuner","ohne Etym.; kaum < slav. balav ""rotzig""",balamo,head,ingested,,boretzky1994romani:ind:312:R:32,eur,m noun,master; non-Gypsy,,,,no-etymon,,,,15d4bb9ce3c8abe4d6669f3982fc2919cec1bf14467dfe105ae0fd812765298a
2026-08-25,2026-08-25,312,313,R,33,Indische Etyma,B,balo,m,Schwein,"< ai. pk. bāla- ""jung, dumm, Jungtier, kleiner Junge""; kaum < ai. pk. varāka- ""Eber, Schwein""",balo,head,ingested,,boretzky1994romani:ind:312:R:33,eur,m noun,pig,,,bāla-,linked,9216,9216,,998d96949d7ea687d60528e0019fe553e0e50aca99c092500da50a66e4b0029d
2026-08-25,2026-08-25,312,313,R,34,Indische Etyma,B,"balovas, balevas",m,"Speck, Schweinefleisch",< balo + mas ?; intervok. -m- > v,balovas,head,ingested,,boretzky1994romani:ind:312:R:34,eur,m noun uncertain,bacon; pork,,,,no-etymon,,,,3525abb7317026af842095ffab6f0bb5065c6142004073384952d9c86a763758
2026-08-25,2026-08-25,312,313,R,34,Indische Etyma,B,"balovas, balevas",m,"Speck, Schweinefleisch",< balo + mas ?; intervok. -m- > v,balevas,variant,ingested,,boretzky1994romani:ind:312:R:34:variant:2,eur,m noun alternate uncertain,bacon; pork,,,,no-etymon,,,,3525abb7317026af842095ffab6f0bb5065c6142004073384952d9c86a763758
2026-08-25,2026-08-25,312,313,R,35,Indische Etyma,B,balval,m,Wind,< ai. vāta- über Redupl.,balval,head,ingested,,boretzky1994romani:ind:312:R:35,eur,m noun,wind,,,vāta-,linked,11491,11491,,d58f1710647c23bf3b6373f25f59810dd2e48b68fb282783ad22a5f3f49ecba5
2026-08-25,2026-08-25,312,313,R,36,Indische Etyma,B,bango,adj,"krumm, schief","< ai. vaṅka-, pa. vaṁka",bango,head,ingested,,boretzky1994romani:ind:312:R:36,eur,adj,crooked; bent,,,vaṅka-,ambiguous,11191 11192,,,f27e1a47b85b76efec56bb1971dda9a3c9adf345404908794068e1a4e20a7053
2026-08-25,2026-08-25,312,313,R,37,Indische Etyma,B,bar,f,"Garten, Zaun","< pk. vāḍa < ai. vāṭa-, vāṭī ""Zaun, Einhegung""",bar,head,ingested,,boretzky1994romani:ind:312:R:37,eur,f noun,garden; fence,,,vāṭa-,ambiguous,11480 11481,,,208cc3a8a89bc8ea669457c642a080bcd53d85d9814331485fabe7dc97011bab
2026-08-25,2026-08-25,312,313,R,38,Indische Etyma,B,baro,adj,groß,< pk. vaḍḍa- < ai. vaḍra-,baro,head,ingested,,boretzky1994romani:ind:312:R:38,eur,adj,big,,,vaḍra-,linked,11225,11225,,8f917a9e79e794c113de34ee72c96533772a8a516dacc96e2ce5fa2eab2cde75
2026-08-25,2026-08-25,312,313,R,39,Indische Etyma,B,"barvalo, baravalo",adj,reich,"< pk. balavaṁta- ""mit Kraft"", zu ai. balavat- ""Kraft""",barvalo,head,ingested,,boretzky1994romani:ind:312:R:39,eur,adj,rich,,,balavat-,unmatched,,,,974bb2b7821ab6b3f93380ae35fe0961285854be53207aebf336bf9095ae7def
2026-08-25,2026-08-25,312,313,R,39,Indische Etyma,B,"barvalo, baravalo",adj,reich,"< pk. balavaṁta- ""mit Kraft"", zu ai. balavat- ""Kraft""",baravalo,variant,ingested,,boretzky1994romani:ind:312:R:39:variant:2,eur,adj alternate,rich,,,balavat-,unmatched,,,,974bb2b7821ab6b3f93380ae35fe0961285854be53207aebf336bf9095ae7def
2026-08-25,2026-08-25,312,313,R,40,Indische Etyma,B,bař,m (f),Stein,"zu panjābī vaṭṭa- ""Stein"" < ai. varta(ka)- ""gedreht""",bař,head,ingested,,boretzky1994romani:ind:312:R:40,eur,mf noun,stone,,,varta,ambiguous,11346 11347 11348,,,319987bf1827074efe76b07a7126c85e2d08b0b9a8400d80a2adab05fb4dd3d2
2026-08-25,2026-08-25,312,313,R,41,Indische Etyma,B,bašalel,tr,spielen (Instrument),kaus vāśayati paßt lautlich nicht,bašalel,head,ingested,,boretzky1994romani:ind:312:R:41,eur,verb tr,to play (an instrument),,,,no-etymon,,,,440011a6d90e931a5c762df51df88014837de4eb4819260965534123dcc04c34
2026-08-25,2026-08-25,312,313,R,42,Indische Etyma,B,bašel,itr,"bellen, brüllen","< ai. vāśyate ""brüllen, heulen, singen"", pk. vāsaï",bašel,head,ingested,,boretzky1994romani:ind:312:R:42,eur,verb intr,to bark; to roar,,,vāśyate,linked,11589,11589,,5f5eb39aba22dd7d3d47ab28f26b21f33632a494eb38f4fbb94551fdfdf849df
2026-08-25,2026-08-25,312,313,R,43,Indische Etyma,B,beli,f,Zeltpflock,ohne Etym.,beli,head,ingested,,boretzky1994romani:ind:312:R:43,eur,f noun,tent peg,,,,no-etymon,,,,9a6ca17949a1ba66a321d51a92bb40f68d2cf609c2d2cff5c3b135ad75105fd6
2026-08-25,2026-08-25,313,314,L,01,Indische Etyma,B,beng,m,Teufel,"< ai. vi-aṅga- ""körperlos, deformiert""?; vgl. hi. bẽg ""Frosch, Kröte""",beng,head,ingested,,boretzky1994romani:ind:313:L:01,eur,m noun uncertain,devil,,,vi-aṅga-,unmatched,,,,b4d0a37e582ac4810d397c159c4c44977fff8db2948e9d91cfb64fc064f7577e
2026-08-25,2026-08-25,313,314,L,02,Indische Etyma,B,berand,m,"Zeltstange, Dachbalken",bero + and < ai. anta- ?,berand,head,ingested,,boretzky1994romani:ind:313:L:02,eur,m noun uncertain,tent pole; roof beam,,,anta-,linked,347,347,,62abf1a25615e45bbd2a61d5b8694faeed91abc2651f22b633b9b54f064ba7de
2026-08-25,2026-08-25,313,314,L,03,Indische Etyma,B,bero,m,"Schiff, Boot","< ai. pk. beḍā (veḍā/velā) ""Boot""; vgl. hi. beṛā",bero,head,ingested,,boretzky1994romani:ind:313:L:03,eur,m noun,ship; boat,,,beḍā,linked,9308,9308,,417d9c724b8605b3d59395945fa4d688579262ae0146578604d37165239cb6a9
2026-08-25,2026-08-25,313,314,L,04,Indische Etyma,B,berš,m,Jahr,"< ai. varṣa- ""Regen; Jahr""; vgl. hi. baras ""Jahr""",berš,head,ingested,,boretzky1994romani:ind:313:L:04,eur,m noun,year,,,varṣa-,linked,11392,11392,,4814182440e8ebcc5e2c6b457f7129c5faf634eb6bcdc1c9dbaf1a46429eec4c
2026-08-25,2026-08-25,313,314,L,05,Indische Etyma,B,bešel,itr,"sitzen, sich setzen","< ved. upaviśati ""sich nähern"", im Aor ""niedersitzen""; pk. uvavisaï; vgl. hi. baisnā (Turner)",bešel,head,ingested,,boretzky1994romani:ind:313:L:05,eur,verb intr,to sit; to sit down,,,,no-etymon,,,,3ef3bfef846af859484473fb5d8388675cb2f2862d6e4324781b7cf6b986f019
2026-08-25,2026-08-25,313,314,L,06,Indische Etyma,B,"bi, bi-",präp + gen,"ohne, außer; Präfix un-","< ai. vi- ""un-"" (nur Präfix) oder pers. bī ""un-""?; vgl. hi. (-ke) binā ""ohne, außer""; s.a. Iran. Etyma",bi,head,ingested,,boretzky1994romani:ind:313:L:06,eur,prep uncertain,without; except; un-,,,vi-,unmatched,,,,e87aae8c56c7adcf0231967450e4b400fd3b4f74da71662e4cdcdea3c42b2a8b
2026-08-25,2026-08-25,313,314,L,06,Indische Etyma,B,"bi, bi-",präp + gen,"ohne, außer; Präfix un-","< ai. vi- ""un-"" (nur Präfix) oder pers. bī ""un-""?; vgl. hi. (-ke) binā ""ohne, außer""; s.a. Iran. Etyma",bi-,variant,ingested,,boretzky1994romani:ind:313:L:06:variant:2,eur,prep prefix alternate uncertain,without; except; un-,,,vi-,unmatched,,,,e87aae8c56c7adcf0231967450e4b400fd3b4f74da71662e4cdcdea3c42b2a8b
2026-08-25,2026-08-25,313,314,L,07,Indische Etyma,B,bibi,f,Tante,"hi. bībī ""(Ehe-)Frau, Dame"" vermutl. < pers.; s. Iran. Etyma",bibi,head,ingested,,boretzky1994romani:ind:313:L:07,eur,f noun,aunt,,,,no-etymon,,,,342e09cc6f86e3c7c98eaf378cf71e270b21a005631fb1734b8ab698642cb39d
2026-08-25,2026-08-25,313,314,L,08,Indische Etyma,B,bičhalel,tr,schicken,"< ai. abhi-ajyate ""geführt werden zu""; vgl. hi. bhejnā",bičhalel,head,ingested,,boretzky1994romani:ind:313:L:08,eur,verb tr,to send,,,abhi-ajyate,unmatched,,,,eb3472cfacfc705838722d2905bf71213ea0c0d179308b6842cf4de32cafd3a2
2026-08-25,2026-08-25,313,314,L,09,Indische Etyma,B,bijanel,tr,gebären,< ai. *vi-janati,bijanel,head,ingested,,boretzky1994romani:ind:313:L:09,eur,verb tr,to give birth,,,*vi-janati,linked,11695,11695,,22986743a16b6f10dc4d38a22b002343621558c80d7171e4ecda6e28c553ba42
2026-08-25,2026-08-25,313,314,L,10,Indische Etyma,B,bijavel,f,Abend,"< ai. vikāla- ""Abenddämmerung"" + velā- ""Zeit"" ?",bijavel,head,ingested,,boretzky1994romani:ind:313:L:10,eur,f noun uncertain,evening,,,vikāla-,linked,11625,11625,,65f0ad118325d4e0d9857c8559b1fc61098c47744eedba38e8c581764c3cbacf
2026-08-25,2026-08-25,313,314,L,11,Indische Etyma,B,bikinel,tr,verkaufen,< pa. vikkiṇāti < ai. vi-krīṇāti,bikinel,head,ingested,,boretzky1994romani:ind:313:L:11,eur,verb tr,to sell,,,vi-krīṇāti,unmatched,,,,970351f1aa55fc43a2ca527a1cda2f6107ecb2339b8a297cec6ea4b74a41387c
2026-08-25,2026-08-25,313,314,L,12,Indische Etyma,B,"bilal itr, bilavel",tr,"schmelzen, auftauen",< pk. vilāï < ai. vi-līyate,bilal,head,ingested,,boretzky1994romani:ind:313:L:12,eur,verb intr,to melt; to thaw,,,vi-līyate,linked,11906,11906,,5e148a760da60fa6bfb78c6a5a25986eecbea7ec619f22b70a7655558ba2cf74
2026-08-25,2026-08-25,313,314,L,12,Indische Etyma,B,"bilal itr, bilavel",tr,"schmelzen, auftauen",< pk. vilāï < ai. vi-līyate,bilavel,sibling,ingested,,boretzky1994romani:ind:313:L:12:sibling:2,eur,verb tr,to melt; to thaw,,,vi-līyate,linked,11906,11906,,5e148a760da60fa6bfb78c6a5a25986eecbea7ec619f22b70a7655558ba2cf74
2026-08-25,2026-08-25,313,314,L,13,Indische Etyma,B,bili,f,Katze,ohne Etym.,bili,head,ingested,,boretzky1994romani:ind:313:L:13,eur,f noun,cat,,,,no-etymon,,,,c0fe1e9dd237cea5170776ebf9dd7d651c2c1d4039875e3151eba24a5623e439
2026-08-25,2026-08-25,313,314,L,14,Indische Etyma,B,birovli,f,"Biene, Wespe","vgl. pk. varaḍa- < ai. varaṭa-, varola-, *varamba- ""Wespe""; vgl. hi. bhiṛ, birnī (Turner)",birovli,head,ingested,,boretzky1994romani:ind:313:L:14,eur,f noun,bee; wasp,,,varaṭa-,linked,11313,11313,,941a3f2f8fa52cc9d2b8bb22ab8344343977b722da177b86fe0b85a9b604c6a9
2026-08-25,2026-08-25,313,314,L,15,Indische Etyma,B,bisko,präp,bis,ohne Etym.,bisko,head,ingested,,boretzky1994romani:ind:313:L:15,eur,prep,until,,,,no-etymon,,,,2336c390ef963c2fec3b46c6b6ed1c825154dc58f52bf7a953b85f85571a745c
