Stable_Key,Installed_Key,PDF_Page,Printed_Page,Column,Entry_Ordinal,OCR_Form,Legacy_Form,Method,Score
berger:p012:c2:e004,berger-entry-60,9,12,2,4,adímo,adímo,page-sequence,1.0000
berger:p012:c2:e005,berger-entry-61,9,12,2,5,afsúus,afsúus,page-sequence,1.0000
berger:p012:c2:e006,berger-entry-62,9,12,2,6,agáayo,agáayo,page-sequence,1.0000
berger:p012:c2:e007,berger-entry-65,9,12,2,7,agayéś,agayéś,page-sequence,1.0000
berger:p012:c2:e008,berger-entry-66,9,12,2,8,ágar,ágar,page-sequence,1.0000
berger:p013:c1:e001,berger-entry-67,9,13,1,1,ágarći,ágarći,page-sequence,1.0000
berger:p013:c1:e003,berger-entry-69,9,13,1,3,agón,agón,printed-form,1.0000
berger:p013:c1:e004,berger-entry-70,9,13,1,4,agúuųyo,agúuųyo,page-sequence,1.0000
berger:p013:c1:e005,berger-entry-71,9,13,1,5,agaápo,agaápo,page-sequence,1.0000
berger:p013:c1:e006,berger-entry-72,9,13,1,6,agatéś,agatéś,page-sequence,1.0000
berger:p013:c1:e007,berger-entry-73,9,13,1,7,agáto,agáto,page-sequence,1.0000
berger:p013:c1:e008,berger-entry-74,9,13,1,8,agatés -mán-,agatés -mán-,page-sequence,1.0000
berger:p013:c1:e009,berger-entry-75,9,13,1,9,agél,agél,page-sequence,1.0000
berger:p013:c1:e010,berger-entry-76,9,13,1,10,aiina,aiina,page-sequence,1.0000
berger:p013:c1:e011,berger-entry-77,9,13,1,11,ainák,ainák,page-sequence,1.0000
berger:p013:c1:e012,berger-entry-78,9,13,1,12,ajábiṭi ét-,(ajá-)biṭi( ét-),printed-form,1.0000
berger:p013:c1:e013,berger-entry-79,9,13,1,13,ajaíp,ajaíp,page-sequence,1.0000
berger:p013:c2:e001,berger-entry-80,9,13,2,1,ájaly,ájaly,page-sequence,1.0000
berger:p013:c2:e002,berger-entry-81,9,13,2,2,ajáp,ajáp,page-sequence,1.0000
berger:p013:c2:e003,berger-entry-82,9,13,2,3,ajíibu-garíip,ajíibu-garíip,page-sequence,1.0000
berger:p013:c2:e004,berger-entry-83,9,13,2,4,ajól-ajól,ajól-ajól,page-sequence,1.0000
berger:p013:c2:e005,berger-entry-84,9,13,2,5,ajóo,ajóo,page-sequence,1.0000
berger:p013:c2:e006,berger-entry-85,9,13,2,6,ajőóo-kalóonta,ajőóo-kalóonta,page-sequence,1.0000
berger:p013:c2:e007,berger-entry-86,9,13,2,7,ajoóli,ajoóli,page-sequence,1.0000
berger:p013:c2:e008,berger-entry-87,9,13,2,8,ajóono,(a)jóono,printed-form,1.0000
berger:p013:c2:e009,berger-entry-88,9,13,2,9,ajáalo,ajáalo,page-sequence,1.0000
berger:p013:c2:e011,berger-entry-89,9,13,2,11,ak,ak,page-sequence,1.0000
berger:p013:c2:e012,berger-entry-91,9,13,2,12,akaabír,akaabír,page-sequence,1.0000
berger:p014:c1:e001,berger-entry-92,10,14,1,1,akaabíriski,akaabíriski,page-sequence,1.0000
berger:p014:c1:e002,berger-entry-93,10,14,1,2,ákar,ákar,page-sequence,1.0000
berger:p014:c1:e003,berger-entry-94,10,14,1,3,akára,akára,page-sequence,1.0000
berger:p014:c1:e004,berger-entry-95,10,14,1,4,akáś,akára,page-sequence,0.6667
berger:p014:c1:e005,berger-entry-96,10,14,1,5,áki,akáś,page-sequence,0.5714
berger:p014:c1:e006,berger-entry-97,10,14,1,6,akírċum,áki,page-sequence,0.6000
berger:p014:c1:e007,berger-entry-98,10,14,1,7,śaośáo-akírċum,akírċum,page-sequence,0.7000
berger:p014:c1:e008,berger-entry-100,10,14,1,8,akíyum,akíyum,page-sequence,1.0000
berger:p014:c1:e009,berger-entry-101,10,14,1,9,akíiyumkuśs,akíiyumkuśs,page-sequence,1.0000
berger:p014:c1:e010,berger-entry-102,10,14,1,10,akóći,akóći,page-sequence,1.0000
berger:p014:c1:e011,berger-entry-103,10,14,1,11,aksár,aksár,page-sequence,1.0000
berger:p014:c1:e012,berger-entry-104,10,14,1,12,akhén-,akhén-,page-sequence,1.0000
berger:p014:c2:e001,berger-entry-106,10,14,2,1,akhí,akhí,page-sequence,1.0000
berger:p014:c2:e002,berger-entry-107,10,14,2,2,akhíile,akhíile,page-sequence,1.0000
berger:p014:c2:e003,berger-entry-108,10,14,2,3,akhil,akhil,page-sequence,1.0000
berger:p014:c2:e003:dialect:1,berger-entry-108-dialect-1,10,14,2,3,akhi,akhi,exact-variant,1.0000
berger:p014:c2:e004,berger-entry-109,10,14,2,4,akhílpa,akhílpa,page-sequence,1.0000
berger:p014:c2:e005,berger-entry-110,10,14,2,5,akhóle,akhóle,page-sequence,1.0000
berger:p015:c1:e001,berger-entry-111,10,15,1,1,akhúrum,akhúrum,page-sequence,1.0000
berger:p015:c1:e001:dialect:1,berger-entry-111-dialect-2,10,15,1,1,akhkúrumaan,akhkúrumaan,exact-variant,1.0000
berger:p015:c1:e002,berger-entry-113,10,15,1,2,akhúrus,akhúrus,page-sequence,1.0000
berger:p015:c1:e003,berger-entry-114,10,15,1,3,akhúriki,akhúriki,page-sequence,1.0000
berger:p015:c1:e004,berger-entry-115,10,15,1,4,akhuúlo,akhuúlo,page-sequence,1.0000
berger:p015:c1:e005,berger-entry-116,10,15,1,5,ála,ála,page-sequence,1.0000
berger:p015:c1:e008,berger-entry-117,10,15,1,8,alaláso,alaláso,printed-form,1.0000
berger:p015:c1:e009,berger-entry-118,10,15,1,9,alaleéś ét-,alaleéś ét-,page-sequence,1.0000
berger:p015:c1:e012,berger-entry-119,10,15,1,12,alawá,alawá,page-sequence,1.0000
berger:p015:c2:e001,berger-entry-121,10,15,2,1,albatá,albatá,page-sequence,1.0000
berger:p015:c2:e002,berger-entry-122,10,15,2,2,aldá-aldá,aldá-aldá,page-sequence,1.0000
berger:p015:c2:e003,berger-entry-123,10,15,2,3,ale,ale,page-sequence,1.0000
berger:p015:c2:e004,berger-entry-124,10,15,2,4,alar,alar,page-sequence,1.0000
berger:p015:c2:e005,berger-entry-125,10,15,2,5,alum,alum,page-sequence,1.0000
berger:p015:c2:e007,berger-entry-127,10,15,2,7,alégan,alégan,page-sequence,1.0000
berger:p015:c2:e007:dialect:1,berger-entry-128-dialect-1,10,15,2,7,alégane,alégane,exact-variant,1.0000
berger:p015:c2:e010,berger-entry-131,10,15,2,10,aléikum,aléikum,page-sequence,1.0000
berger:p015:c2:e011,berger-entry-132,10,15,2,11,alék,alék,page-sequence,1.0000
berger:p015:c2:e012,berger-entry-133,10,15,2,12,alés,alés,page-sequence,1.0000
berger:p016:c1:e002,berger-entry-135,11,16,1,2,algám,algám,page-sequence,1.0000
berger:p016:c1:e004,berger-entry-140,11,16,1,4,Aliáar,alipdáar,unique-page-form,0.8571
berger:p016:c1:e005,berger-entry-138,11,16,1,5,aliboói,aliboói,page-sequence,1.0000
berger:p016:c1:e006,berger-entry-139,11,16,1,6,alin,alin,page-sequence,1.0000
berger:p016:c1:e007,berger-entry-142,11,16,1,7,almáåas,almáåas,page-sequence,1.0000
berger:p016:c1:e008,berger-entry-143,11,16,1,8,álo,álo,page-sequence,1.0000
berger:p016:c1:e009,berger-entry-144,11,16,1,9,altáaṅuċ,altáaṅuċ,page-sequence,1.0000
berger:p016:c2:e001,berger-entry-145,11,16,2,1,altá,altá,page-sequence,1.0000
berger:p016:c2:e002,berger-entry-146,11,16,2,2,altám,altám,page-sequence,1.0000
berger:p016:c2:e003,berger-entry-147,11,16,2,3,altámbo,altámbo,page-sequence,1.0000
berger:p016:c2:e003:dialect:1,berger-entry-147-dialect-1,11,16,2,3,altámbu,altámbu,exact-variant,1.0000
berger:p016:c2:e003:dialect:2,berger-entry-147-dialect-3,11,16,2,3,althámbo,althámbo,exact-variant,1.0000
berger:p016:c2:e004,berger-entry-148,11,16,2,4,altámbilum,altámbilum,page-sequence,1.0000
berger:p016:c2:e005,berger-entry-149,11,16,2,5,áltar,áltar,page-sequence,1.0000
berger:p016:c2:e006,berger-entry-150,11,16,2,6,áltar-tóorumoļ-tőorimi,áltar-tóorumoļ-tőorimi,page-sequence,1.0000
berger:p016:c2:e006:dialect:2,berger-entry-150-dialect-2,11,16,2,6,áltharilum,áltharilum,exact-variant,1.0000
berger:p016:c2:e007,berger-entry-151,11,16,2,7,althámbi,althámbi,page-sequence,1.0000
berger:p016:c2:e008,berger-entry-152,11,16,2,8,altó,altó,page-sequence,1.0000
berger:p016:c2:e009,berger-entry-153,11,16,2,9,altőulum,altőulum,page-sequence,1.0000
berger:p016:c2:e010,berger-entry-154,11,16,2,10,altő-áltar,altő-áltar,page-sequence,1.0000
berger:p016:c2:e010:dialect:1,berger-entry-154-dialect-1,11,16,2,10,altó-ál-,altó-ál-,exact-variant,1.0000
berger:p016:c2:e011,berger-entry-155,11,16,2,11,altőman,altőman,page-sequence,1.0000
berger:p016:c2:e012,berger-entry-156,11,16,2,12,altósa,altósa,page-sequence,1.0000
berger:p017:c1:e002,berger-entry-158,11,17,1,2,altúl,altúl,page-sequence,1.0000
berger:p017:c1:e003,berger-entry-159,11,17,1,3,altúliki,altúliki,page-sequence,1.0000
berger:p017:c1:e004,berger-entry-160,11,17,1,4,altún-,altún-,page-sequence,1.0000
berger:p017:c1:e005,berger-entry-161,11,17,1,5,altúu,altúu,page-sequence,1.0000
berger:p017:c1:e006,berger-entry-162,11,17,1,6,altúukiś,altúukiś,page-sequence,1.0000
berger:p017:c1:e007,berger-entry-164,11,17,1,7,alú,alú,page-sequence,1.0000
berger:p017:c1:e009,berger-entry-166,11,17,1,9,alúuśo,alúuśo,printed-form,1.0000
berger:p017:c1:e010,berger-entry-167,11,17,1,10,am,am,page-sequence,1.0000
berger:p017:c1:e011,berger-entry-168,11,17,1,11,áma,áma,page-sequence,1.0000
berger:p017:c1:e012,berger-entry-169,11,17,1,12,amaái ét-,amaái ét-,page-sequence,1.0000
berger:p017:c1:e013,berger-entry-170,11,17,1,13,amáaąyo,amáaąyo,page-sequence,1.0000
berger:p017:c1:e014,berger-entry-171,11,17,1,14,áman,áman,page-sequence,1.0000
berger:p017:c1:e015,berger-entry-172,11,17,1,15,áman-amáan,áman-amáan,page-sequence,1.0000
berger:p017:c2:e001,berger-entry-174,11,17,2,1,amaná,amaná,page-sequence,1.0000
berger:p017:c2:e002,berger-entry-175,11,17,2,2,amanóð,amanóð,page-sequence,1.0000
berger:p017:c2:e003,berger-entry-176,11,17,2,3,ámar,ámar,page-sequence,1.0000
berger:p017:c2:e004,berger-entry-177,11,17,2,4,ambóon,ambóon,page-sequence,1.0000
berger:p017:c2:e005,berger-entry-178,11,17,2,5,ambúur,ambúur,page-sequence,1.0000
berger:p017:c2:e006,berger-entry-179,11,17,2,6,amdír,amdír,page-sequence,1.0000
berger:p017:c2:e007,berger-entry-181,11,17,2,7,ámiċ,ámiċ,page-sequence,1.0000
berger:p017:c2:e010,berger-entry-182,11,17,2,10,ámin,ámin,page-sequence,1.0000
berger:p018:c1:e001,berger-entry-183,12,18,1,1,ámit,ámit,page-sequence,1.0000
berger:p018:c1:e002,berger-entry-184,12,18,1,2,ámitali,ámitali,page-sequence,1.0000
berger:p018:c1:e003,berger-entry-185,12,18,1,3,ámitaliar,ámitaliar,page-sequence,1.0000
berger:p018:c1:e004,berger-entry-186,12,18,1,4,ámitpa,ámitpa,page-sequence,1.0000
berger:p018:c1:e005,berger-entry-187,12,18,1,5,amróo,amróo,page-sequence,1.0000
berger:p018:c1:e006,berger-entry-188,12,18,1,6,amtám,amtám,page-sequence,1.0000
berger:p018:c1:e008,berger-entry-189,12,18,1,8,amúko,amúko,printed-form,1.0000
berger:p018:c1:e009,berger-entry-190,12,18,1,9,amukiaár,amukiaár,page-sequence,1.0000
berger:p018:c1:e010,berger-entry-191,12,18,1,10,amulaár,amulaár,page-sequence,1.0000
berger:p018:c1:e012,berger-entry-192-dialect-2,12,18,1,12,ámuli,ámuli,unique-page-form,1.0000
berger:p018:c1:e013,berger-entry-192,12,18,1,13,ámulo,ámulo,page-sequence,1.0000
berger:p018:c2:e002,berger-entry-194,12,18,2,2,ámular,ámular,page-sequence,1.0000
berger:p018:c2:e002:dialect:1,berger-entry-194-dialect-1,12,18,2,2,ámuliire,ámuliire,exact-variant,1.0000
berger:p018:c2:e003,berger-entry-195,12,18,2,3,ámulum,ámulum,page-sequence,1.0000
berger:p018:c2:e004,berger-entry-196,12,18,2,4,amúlo,amúlo,page-sequence,1.0000
berger:p018:c2:e006,berger-entry-195-dialect-1,12,18,2,6,ámulum,ámulim,unique-page-form,0.8333
berger:p018:c2:e007,berger-entry-199,12,18,2,7,an,an,page-sequence,1.0000
berger:p018:c2:e008,berger-entry-200,12,18,2,8,andaazá ét-,andaazá ét-,page-sequence,1.0000
berger:p018:c2:e009,berger-entry-201,12,18,2,9,andaazákuś,andaazákuś,page-sequence,1.0000
berger:p019:c1:e001,berger-entry-202,12,19,1,1,andáazan,andáazan,page-sequence,1.0000
berger:p019:c1:e002,berger-entry-203,12,19,1,2,aù,aù,page-sequence,1.0000
berger:p019:c1:e003,berger-entry-204-dialect-1,12,19,1,3,aùáro,aṅáro,printed-form,0.8000
berger:p019:c1:e003:dialect:2,berger-entry-204-dialect-2,12,19,1,3,ańgáa-,ańgáa-,exact-variant,1.0000
berger:p019:c1:e004,berger-entry-205,12,19,1,4,áṅċil,áṅċil,page-sequence,1.0000
berger:p019:c1:e005,berger-entry-206,12,19,1,5,aṅe,aṅe,page-sequence,1.0000
berger:p019:c1:e006,berger-entry-207,12,19,1,6,áůgáaro,áůgáaro,page-sequence,1.0000
berger:p019:c1:e007,berger-entry-208,12,19,1,7,aùgiēr,aùgiēr,page-sequence,1.0000
berger:p019:c1:e009,berger-entry-209,12,19,1,9,ap,ap,page-sequence,1.0000
berger:p019:c1:e010,berger-entry-211,12,19,1,10,apárċ,apárċ,page-sequence,1.0000
berger:p019:c1:e011,berger-entry-212,12,19,1,11,apareeśán,apareeśán,page-sequence,1.0000
berger:p019:c1:e012,berger-entry-213,12,19,1,12,apáśkinum,apáśkinum,page-sequence,1.0000
berger:p019:c1:e013,berger-entry-214,12,19,1,13,apí-apí,apí-apí,page-sequence,1.0000
berger:p019:c1:e014,berger-entry-215,12,19,1,14,apiċhóe,apiċhóe,page-sequence,1.0000
berger:p019:c2:e001,berger-entry-217,12,19,2,1,ápi-phúan,ápi-phúan,page-sequence,1.0000
berger:p019:c2:e002,berger-entry-218,12,19,2,2,apsét,apsét,page-sequence,1.0000
berger:p019:c2:e002:dialect:1,berger-entry-218-dialect-1,12,19,2,2,ausét,ausét,exact-variant,1.0000
berger:p019:c2:e006,berger-entry-219,12,19,2,6,aphróoto,aphróoto,page-sequence,1.0000
berger:p019:c2:e007,berger-entry-220,12,19,2,7,aphuṅéeś,aphuṅéeś,page-sequence,1.0000
berger:p019:c2:e008,berger-entry-221,12,19,2,8,aqáiňgi,aqáiňgi,page-sequence,1.0000
berger:p019:c2:e009,berger-entry-222,12,19,2,9,áqal,áqal,page-sequence,1.0000
berger:p020:c1:e002,berger-entry-226,13,20,1,2,áqalkiś,áqalkiś,page-sequence,1.0000
berger:p020:c1:e003,berger-entry-227,13,20,1,3,aqén,aqén,page-sequence,1.0000
berger:p020:c1:e004,berger-entry-228,13,20,1,4,aqmáq,aqmáq,page-sequence,1.0000
berger:p020:c1:e005,berger-entry-229,13,20,1,5,áqhal,áqhal,page-sequence,1.0000
berger:p020:c1:e006,berger-entry-230,13,20,1,6,aqhanaá,aqhanaá,page-sequence,1.0000
berger:p020:c1:e007,berger-entry-231,13,20,1,7,aqhón,aqhón,page-sequence,1.0000
berger:p020:c1:e008,berger-entry-232,13,20,1,8,aqhoní,aqhoní,page-sequence,1.0000
berger:p020:c1:e009,berger-entry-234,13,20,1,9,ar -mán-,ar -mán-,page-sequence,1.0000
berger:p020:c1:e010,berger-entry-235,13,20,1,10,árkuś,árkuś,page-sequence,1.0000
berger:p020:c2:e001,berger-entry-237,13,20,2,1,araáto,araáto,page-sequence,1.0000
berger:p020:c2:e002,berger-entry-239,13,20,2,2,arabå,arabå,page-sequence,1.0000
berger:p020:c2:e003,berger-entry-240,13,20,2,3,áran,áran,page-sequence,1.0000
berger:p020:c2:e004,berger-entry-241,13,20,2,4,aráq,aráq,page-sequence,1.0000
berger:p020:c2:e005,berger-entry-242,13,20,2,5,araśéi,araśéi,page-sequence,1.0000
berger:p020:c2:e006,berger-entry-243,13,20,2,6,aráso,aráso,page-sequence,1.0000
berger:p020:c2:e008,berger-entry-245,13,20,2,8,araṭáp,araṭáp,page-sequence,1.0000
berger:p020:c2:e009,berger-entry-246,13,20,2,9,áraz,áraz,page-sequence,1.0000
berger:p021:c1:e001,berger-entry-247,13,21,1,1,are,are,page-sequence,1.0000
berger:p021:c1:e002,berger-entry-248,13,21,1,2,argawáran,argawáran,page-sequence,1.0000
berger:p021:c1:e003,berger-entry-249,13,21,1,3,argún,argún,page-sequence,1.0000
berger:p021:c1:e003:dialect:1,berger-entry-249-dialect-1,13,21,1,3,argón,argón,exact-variant,1.0000
berger:p021:c1:e005,berger-entry-252,13,21,1,5,armáan,armáan,page-sequence,1.0000
berger:p021:c1:e006,berger-entry-255,13,21,1,6,arún,arún,page-sequence,1.0000
berger:p021:c1:e007,berger-entry-256,13,21,1,7,arwáa,arwáa,page-sequence,1.0000
berger:p021:c1:e009,berger-entry-257,13,21,1,9,arzóq,arzóq,page-sequence,1.0000
berger:p021:c1:e010,berger-entry-258,13,21,1,10,asá,asá,page-sequence,1.0000
berger:p021:c1:e011,berger-entry-259,13,21,1,11,asákuś,asákuś,page-sequence,1.0000
berger:p021:c2:e001,berger-entry-260,13,21,2,1,asá-giín,asá-giín,page-sequence,1.0000
berger:p021:c2:e003,berger-entry-262,13,21,2,3,asár,asár,page-sequence,1.0000
berger:p021:c2:e004,berger-entry-263,13,21,2,4,asát,asát,page-sequence,1.0000
berger:p021:c2:e005,berger-entry-264,13,21,2,5,asbáap,asbáap,page-sequence,1.0000
berger:p021:c2:e006,berger-entry-266,13,21,2,6,ási,ási,page-sequence,1.0000
berger:p021:c2:e006:dialect:1,berger-entry-266-dialect-1,13,21,2,6,kási,kási,exact-variant,1.0000
berger:p021:c2:e006:dialect:2,berger-entry-266-dialect-2,13,21,2,6,hási,hási,exact-variant,1.0000
berger:p021:c2:e007,berger-entry-267,13,21,2,7,asif,asif,page-sequence,1.0000
berger:p021:c2:e007:dialect:1,berger-entry-267-dialect-1,13,21,2,7,asúmun,asúmun,exact-variant,1.0000
berger:p021:c2:e008,berger-entry-268,13,21,2,8,asiír,asiír,page-sequence,1.0000
berger:p021:c2:e008:dialect:1,berger-entry-268-dialect-1,13,21,2,8,asúr,asúr,exact-variant,1.0000
berger:p022:c1:e001,berger-entry-269,14,22,1,1,asiírum,asiírum,page-sequence,1.0000
berger:p022:c1:e002,berger-entry-270,14,22,1,2,ásil,ásil,page-sequence,1.0000
berger:p022:c1:e003,berger-entry-271,14,22,1,3,asili,asili,page-sequence,1.0000
berger:p022:c1:e005,berger-entry-272,14,22,1,5,aspitáal,aspitáal,page-sequence,1.0000
berger:p022:c1:e006,berger-entry-273,14,22,1,6,asqúr,asqúr,page-sequence,1.0000
berger:p022:c1:e006:dialect:1,berger-entry-274-dialect-1,14,22,1,6,asqór,asqór,exact-variant,1.0000
berger:p022:c1:e007,berger-entry-277,14,22,1,7,asqúrśi,asqúrśi,page-sequence,1.0000
berger:p022:c1:e007:dialect:1,berger-entry-277-dialect-1,14,22,1,7,asqúrśa,asqúrśa,exact-variant,1.0000
berger:p022:c1:e009,berger-entry-278,14,22,1,9,astáanx,astáanx,page-sequence,1.0000
berger:p022:c1:e010,berger-entry-280,14,22,1,10,astám,astám,page-sequence,1.0000
berger:p022:c2:e001,berger-entry-281,14,22,2,1,astamgaáro,astamgaáro,page-sequence,1.0000
berger:p022:c2:e002,berger-entry-282,14,22,2,2,astaqáal,astaqáal,page-sequence,1.0000
berger:p022:c2:e002:dialect:1,berger-entry-282-dialect-1,14,22,2,2,asaqál,asaqál,exact-variant,1.0000
berger:p022:c2:e003,berger-entry-283,14,22,2,3,asú ét-,asú ét-,page-sequence,1.0000
berger:p022:c2:e004,berger-entry-284,14,22,2,4,asúkiś,asúkiś,page-sequence,1.0000
berger:p022:c2:e005,berger-entry-285,14,22,2,5,ásumbalk,ásumbalk,page-sequence,1.0000
berger:p022:c2:e006,berger-entry-286,14,22,2,6,aśaáto,aśaáto,page-sequence,1.0000
berger:p022:c2:e008,berger-entry-288,14,22,2,8,aśaátukuś,aśaátukuś,page-sequence,1.0000
berger:p023:c1:e001,berger-entry-289,14,23,1,1,aśamát,aśamát,printed-form,1.0000
berger:p023:c1:e002,berger-entry-290,14,23,1,2,aaṅaáyo,aaṅaáyo,page-sequence,1.0000
berger:p023:c1:e003,berger-entry-291,14,23,1,3,aśaħṅaáyo,aśaħṅaáyo,page-sequence,1.0000
berger:p023:c1:e003:dialect:1,berger-entry-291-dialect-1,14,23,1,3,aśa-,aśa-,exact-variant,1.0000
berger:p023:c1:e004,berger-entry-292,14,23,1,4,aśarapií,aśarapií,page-sequence,1.0000
berger:p023:c1:e005,berger-entry-293,14,23,1,5,ašśatiaár,ašśatiaár,page-sequence,1.0000
berger:p023:c1:e006,berger-entry-294,14,23,1,6,aśdaháa,aśdaháa,page-sequence,1.0000
berger:p023:c1:e008,berger-entry-297,14,23,1,8,aśkáś,aśkáś,page-sequence,1.0000
berger:p023:c1:e009,berger-entry-298-dialect-1,14,23,1,9,aśpitáal,haspitáal,unique-page-form,0.9412
berger:p023:c1:e010,berger-entry-299,14,23,1,10,aśpuriáů,aśpuriáů,page-sequence,1.0000
berger:p023:c1:e011,berger-entry-300,14,23,1,11,aśsrapí,aśsrapí,page-sequence,1.0000
berger:p023:c1:e011:dialect:1,berger-entry-300-dialect-1,14,23,1,11,aśarapií,aśarapií,exact-variant,1.0000
berger:p023:c1:e012,berger-entry-301,14,23,1,12,aśtán,aśtán,page-sequence,1.0000
