Source_File,Location_Code,Concept_Number,Gloss,Form,Split,Raw
chitral,BBK,6,ear,kU34,exact,ru ec kU34
chitral,BRK,4,face,ru,exact,ru Ec kV4
chitral,BRK,5,eye,Ec,exact,ru Ec kV4
chitral,BRK,6,ear,kV4,exact,ru Ec kV4
chitral,URK,4,face,uruk,exact,uruk Ec kh | V34
chitral,URK,5,eye,Ec,exact,uruk Ec kh | V34
chitral,URK,6,ear,khV34,exact,uruk Ec kh | V34
chitral,ASP,4,face,mUx,exact,mUx VC7h | i kàN
chitral,ASP,5,eye,VC7hi,exact,mUx VC7h | i kàN
chitral,ASP,6,ear,kàN,exact,mUx VC7h | i kàN
chitral,BIP,4,face,mUx,exact,mUx VC7h | i kàN
chitral,BIP,5,eye,VC7hi,exact,mUx VC7h | i kàN
chitral,BIP,6,ear,kàN,exact,mUx VC7h | i kàN
chitral,PUP,4,face,mUx,exact,mUx VC7i kàN
chitral,PUP,5,eye,VC7i,exact,mUx VC7i kàN
chitral,PUP,6,ear,kàN,exact,mUx VC7i kàN
chitral,SSS,4,face,mux,exact,mux E3ëC7i kàN
chitral,SSS,5,eye,E3ëC7i,exact,mux E3ëC7i kàN
chitral,SSS,6,ear,kàN,exact,mux E3ëC7i kàN
chitral,GWB,4,face,mUkh,exact,mUkh | yit_sin kVmtV
chitral,GWB,5,eye,yit_sin,exact,mUkh | yit_sin kVmtV
chitral,GWB,6,ear,kVmtV,exact,mUkh | yit_sin kVmtV
chitral,DML,4,face,mukh,exact,mukh | Œ†c kàr
chitral,DML,5,eye,Œ†c,exact,mukh | Œ†c kàr
chitral,DML,6,ear,kàr,exact,mukh | Œ†c kàr
chitral,SHK,4,face,mikhàce3,short,mikh | àce3 kVrmVRik
chitral,SHK,5,eye,kVrmVRik,short,mikh | àce3 kVrmVRik
chitral,KAT,4,face,nVskor,exact,nVskor VC7e3 kor
chitral,KAT,5,eye,VC7e3,exact,nVskor VC7e3 kor
chitral,KAT,6,ear,kor,exact,nVskor VC7e3 kor
chitral,YDG,4,face,roëi,exact,roëi càm Go
chitral,YDG,5,eye,càm,exact,roëi càm Go
chitral,YDG,6,ear,Go,exact,roëi càm Go
chitral,MNJ,4,face,rui,exact,rui com Goi
chitral,MNJ,5,eye,com,exact,rui com Goi
chitral,MNJ,6,ear,Goi,exact,rui com Goi
chitral,KSW,7,nose,nVskàr,exact,nVskàr VpVk don
chitral,KSW,8,mouth,VpVk,exact,nVskàr VpVk don
chitral,KSW,9,tooth,don,exact,nVskàr VpVk don
chitral,KIS,7,nose,nVskàr,exact,nVskàr VpVk don
chitral,KIS,8,mouth,VpVk,exact,nVskàr VpVk don
chitral,KIS,9,tooth,don,exact,nVskàr VpVk don
chitral,KPN,7,nose,nVskàr,exact,nVskàr ---- don
chitral,KPN,9,tooth,don,exact,nVskàr ---- don
chitral,KTR,7,nose,nVskàr,exact,nVskàr VpVk don
chitral,KTR,8,mouth,VpVk,exact,nVskàr VpVk don
chitral,KTR,9,tooth,don,exact,nVskàr VpVk don
chitral,KGC,7,nose,nEskàr,exact,nEskàr VpVk don
chitral,KGC,8,mouth,VpVk,exact,nEskàr VpVk don
chitral,KGC,9,tooth,don,exact,nEskàr VpVk don
chitral,KDR,7,nose,nIskàr,exact,nIskàr àpVk don
chitral,KDR,8,mouth,àpVk,exact,nIskàr àpVk don
chitral,KDR,9,tooth,don,exact,nIskàr àpVk don
chitral,BBK,7,nose,nàst,exact,nàst Vs7i dàdU4Ik
chitral,BBK,8,mouth,Vs7i,exact,nàst Vs7i dàdU4Ik
chitral,BBK,9,tooth,dàdU4Ik,exact,nàst Vs7i dàdU4Ik
chitral,BRK,7,nose,nàst,exact,nàst às7i dVndoRIk
chitral,BRK,8,mouth,às7i,exact,nàst às7i dVndoRIk
chitral,BRK,9,tooth,dVndoRIk,exact,nàst às7i dVndoRIk
chitral,URK,7,nose,nFst,exact,nFst hàsi dVn
chitral,URK,8,mouth,hàsi,exact,nFst hàsi dVn
chitral,URK,9,tooth,dVn,exact,nFst hàsi dVn
chitral,ASP,7,nose,nàst,exact,nàst dUth | dànd
chitral,ASP,8,mouth,dUth,exact,nàst dUth | dànd
chitral,ASP,9,tooth,dànd,exact,nàst dUth | dànd
chitral,BIP,7,nose,nàst,exact,nàst dUth | dànd
chitral,BIP,8,mouth,dUth,exact,nàst dUth | dànd
chitral,BIP,9,tooth,dànd,exact,nàst dUth | dànd
chitral,PUP,7,nose,nàst,exact,nàst dUth | dànd
chitral,PUP,8,mouth,dUth,exact,nàst dUth | dànd
chitral,PUP,9,tooth,dànd,exact,nàst dUth | dànd
chitral,SSS,7,nose,nàs,exact,nàs o3e3 dàn
chitral,SSS,8,mouth,o3e3,exact,nàs o3e3 dàn
chitral,SSS,9,tooth,dàn,exact,nàs o3e3 dàn
chitral,GWB,7,nose,nàsi,exact,nàsi ànsi dVnth
chitral,GWB,8,mouth,ànsi,exact,nàsi ànsi dVnth
chitral,GWB,9,tooth,dVnth,exact,nàsi ànsi dVnth
chitral,DML,7,nose,nàs,exact,nàs à3s dVn
chitral,DML,8,mouth,à3s,exact,nàs à3s dVn
chitral,DML,9,tooth,dVn,exact,nàs à3s dVn
chitral,SHK,7,nose,nàzuR,exact,nàzuR à3zi dut
chitral,SHK,8,mouth,à3zi,exact,nàzuR à3zi dut
chitral,SHK,9,tooth,dut,exact,nàzuR à3zi dut
chitral,KAT,7,nose,nVso,exact,nVso às7i duth
chitral,KAT,8,mouth,às7i,exact,nVso às7i duth
chitral,KAT,9,tooth,duth,exact,nVso às7i duth
chitral,YDG,7,nose,fesko,exact,fesko pFkor lVt
chitral,YDG,8,mouth,pFkor,exact,fesko pFkor lVt
chitral,YDG,9,tooth,lVt,exact,fesko pFkor lVt
chitral,MNJ,7,nose,fOskV,exact,fOskV yVrv lodV
chitral,MNJ,8,mouth,yVrv,exact,fOskV yVrv lodV
chitral,MNJ,9,tooth,lodV,exact,fOskV yVrv lodV
chitral,KSW,10,tongue,lIGIni,exact,lIGIni pàp Is7kVmà
chitral,KSW,11,breast,pàp,exact,lIGIni pàp Is7kVmà
chitral,KSW,12,belly,Is7kVmà,exact,lIGIni pàp Is7kVmà
chitral,KIS,10,tongue,lIgIni,exact,lIgIni pàp pàyànu
chitral,KIS,11,breast,pàp,exact,lIgIni pàp pàyànu
chitral,KIS,12,belly,pàyànu,exact,lIgIni pàp pàyànu
chitral,KPN,10,tongue,lIgIni,exact,lIgIni pàp S7VkVmV
chitral,KPN,11,breast,pàp,exact,lIgIni pàp S7VkVmV
chitral,KPN,12,belly,S7VkVmV,exact,lIgIni pàp S7VkVmV
chitral,KTR,10,tongue,lIgIni,exact,lIgIni pàp IS7kVmV
chitral,KTR,11,breast,pàp,exact,lIgIni pàp IS7kVmV
chitral,KTR,12,belly,IS7kVmV,exact,lIgIni pàp IS7kVmV
chitral,KGC,10,tongue,lIgIni,exact,lIgIni pàp IS7kVmV
chitral,KGC,11,breast,pàp,exact,lIgIni pàp IS7kVmV
chitral,KGC,12,belly,IS7kVmV,exact,lIgIni pàp IS7kVmV
chitral,KDR,10,tongue,lIGIni,exact,lIGIni pàp IS7kVmV
chitral,KDR,11,breast,pàp,exact,lIGIni pàp IS7kVmV
chitral,KDR,12,belly,IS7kVmV,exact,lIGIni pàp IS7kVmV
chitral,BBK,10,tongue,jip,exact,jip cucu kuc
chitral,BBK,11,breast,cucu,exact,jip cucu kuc
chitral,BBK,12,belly,kuc,exact,jip cucu kuc
chitral,BRK,10,tongue,jiph,exact,jiph | cucu kuc
chitral,BRK,11,breast,cucu,exact,jiph | cucu kuc
chitral,BRK,12,belly,kuc,exact,jiph | cucu kuc
chitral,URK,10,tongue,jip / jiph,exact,jip / jiph | cu3cu3 kuc
chitral,URK,11,breast,cu3cu3,exact,jip / jiph | cu3cu3 kuc
chitral,URK,12,belly,kuc,exact,jip / jiph | cu3cu3 kuc
chitral,ASP,10,tongue,jIb,exact,jIb cici Dh | Er
chitral,ASP,11,breast,cici,exact,jIb cici Dh | Er
chitral,ASP,12,belly,DhEr,exact,jIb cici Dh | Er
chitral,BIP,10,tongue,jip,exact,jip cici Dh | Er
chitral,BIP,11,breast,cici,exact,jip cici Dh | Er
chitral,BIP,12,belly,DhEr,exact,jip cici Dh | Er
chitral,PUP,10,tongue,jIph,exact,jIph | ---- Dh | Er
chitral,PUP,12,belly,DhEr,exact,jIph | ---- Dh | Er
chitral,SSS,10,tongue,jip,exact,jip cucu Dh | àmo
chitral,SSS,11,breast,cucu,exact,jip cucu Dh | àmo
chitral,SSS,12,belly,Dhàmo,exact,jip cucu Dh | àmo
chitral,GWB,10,tongue,zip,exact,zip hERV wVr
chitral,GWB,11,breast,hERV,exact,zip hERV wVr
chitral,GWB,12,belly,wVr,exact,zip hERV wVr
chitral,DML,10,tongue,z7Ip,exact,z7Ip cucu wVr
chitral,DML,11,breast,cucu,exact,z7Ip cucu wVr
chitral,DML,12,belly,wVr,exact,z7Ip cucu wVr
chitral,SHK,10,tongue,dit_s,exact,dit_s cUk Tol
chitral,SHK,11,breast,cUk,exact,dit_s cUk Tol
chitral,SHK,12,belly,Tol,exact,dit_s cUk Tol
chitral,KAT,10,tongue,dit_s,exact,dit_s cuk kU4TVl
chitral,KAT,11,breast,cuk,exact,dit_s cuk kU4TVl
chitral,KAT,12,belly,kU4TVl,exact,dit_s cuk kU4TVl
chitral,YDG,10,tongue,zebiG,exact,zebiG fiz elir
chitral,YDG,11,breast,fiz,exact,zebiG fiz elir
chitral,YDG,12,belly,elir,exact,zebiG fiz elir
chitral,MNJ,10,tongue,zubFn,exact,zubFn fuz s7kVmbV
chitral,MNJ,11,breast,fuz,exact,zubFn fuz s7kVmbV
chitral,MNJ,12,belly,s7kVmbV,exact,zubFn fuz s7kVmbV
chitral,KSW,13,arm,bàzu,exact,bàzu kurkun ph | àn
chitral,KSW,14,elbow,kurkun,exact,bàzu kurkun ph | àn
chitral,KSW,15,palm,phàn,exact,bàzu kurkun ph | àn
chitral,KIS,13,arm,bàzu,exact,bàzu kurkun ph | àn
chitral,KIS,14,elbow,kurkun,exact,bàzu kurkun ph | àn
chitral,KIS,15,palm,phàn,exact,bàzu kurkun ph | àn
chitral,KPN,13,arm,bàzu,exact,bàzu kurkun ph | àn
chitral,KPN,14,elbow,kurkun,exact,bàzu kurkun ph | àn
chitral,KPN,15,palm,phàn,exact,bàzu kurkun ph | àn
chitral,KTR,13,arm,bàzu,exact,bàzu kurkun ph | àn
chitral,KTR,14,elbow,kurkun,exact,bàzu kurkun ph | àn
chitral,KTR,15,palm,phàn,exact,bàzu kurkun ph | àn
chitral,KGC,13,arm,bàzu,exact,bàzu kurkun ph | àn
chitral,KGC,14,elbow,kurkun,exact,bàzu kurkun ph | àn
chitral,KGC,15,palm,phàn,exact,bàzu kurkun ph | àn
chitral,KDR,13,arm,bàzu,exact,bàzu kurkun ph | àn
chitral,KDR,14,elbow,kurkun,exact,bàzu kurkun ph | àn
chitral,KDR,15,palm,phàn,exact,bàzu kurkun ph | àn
chitral,BBK,13,arm,bàzà,exact,bàzà hàrkIn pE34
chitral,BBK,14,elbow,hàrkIn,exact,bàzà hàrkIn pE34
chitral,BBK,15,palm,pE34,exact,bàzà hàrkIn pE34
chitral,BRK,13,arm,bàzà,exact,bàzà hàrkIn pE34
chitral,BRK,14,elbow,hàrkIn,exact,bàzà hàrkIn pE34
chitral,BRK,15,palm,pE34,exact,bàzà hàrkIn pE34
chitral,URK,13,arm,bàzà,exact,bàzà ---- hàst
chitral,URK,15,palm,hàst,exact,bàzà ---- hàst
chitral,ASP,13,arm,hàth,exact,hàth | mus7o hVtetoRo
chitral,ASP,14,elbow,mus7o,exact,hàth | mus7o hVtetoRo
chitral,ASP,15,palm,hVtetoRo,exact,hàth | mus7o hVtetoRo
chitral,BIP,13,arm,hàth,exact,hàth | mus7o hVtetoRo
chitral,BIP,14,elbow,mus7o,exact,hàth | mus7o hVtetoRo
chitral,BIP,15,palm,hVtetoRo,exact,hàth | mus7o hVtetoRo
chitral,PUP,13,arm,hàth,exact,hàth | mus7o hVtetoRo
chitral,PUP,14,elbow,mus7o,exact,hàth | mus7o hVtetoRo
chitral,PUP,15,palm,hVtetoRo,exact,hàth | mus7o hVtetoRo
chitral,SSS,13,arm,hàth,exact,hàth | mus7ERi xVpàRo
chitral,SSS,14,elbow,mus7ERi,exact,hàth | mus7ERi xVpàRo
chitral,SSS,15,palm,xVpàRo,exact,hàth | mus7ERi xVpàRo
chitral,GWB,13,arm,àst,exact,àst ---- torV
chitral,GWB,15,palm,torV,exact,àst ---- torV
chitral,DML,13,arm,bàzu,exact,bàzu kus7UrIk ch | otV
chitral,DML,14,elbow,kus7UrIk,exact,bàzu kus7UrIk ch | otV
chitral,DML,15,palm,chotV,exact,bàzu kus7UrIk ch | otV
chitral,SHK,13,arm,dus7,exact,dus7 VGVpTi dVs7pà
chitral,SHK,14,elbow,VGVpTi,exact,dus7 VGVpTi dVs7pà
chitral,SHK,15,palm,dVs7pà,exact,dus7 VGVpTi dVs7pà
chitral,KAT,13,arm,gotVr,exact,gotVr à34pTi duS7pàr
chitral,KAT,14,elbow,à34pTi,exact,gotVr à34pTi duS7pàr
chitral,KAT,15,palm,duS7pàr,exact,gotVr à34pTi duS7pàr
chitral,YDG,13,arm,lVst,exact,lVst rVzVn pVno
chitral,YDG,14,elbow,rVzVn,exact,lVst rVzVn pVno
chitral,YDG,15,palm,pVno,exact,lVst rVzVn pVno
chitral,MNJ,13,arm,lostV,exact,lostV ---- ----
chitral,KSW,16,finger,càmot,exact,càmot dUGur Deëk
chitral,KSW,17,fingernail,dUGur,exact,càmot dUGur Deëk
chitral,KSW,18,leg,Deëk,exact,càmot dUGur Deëk
chitral,KIS,16,finger,cVmUT,exact,cVmUT dUGur Deëk
chitral,KIS,17,fingernail,dUGur,exact,cVmUT dUGur Deëk
chitral,KIS,18,leg,Deëk,exact,cVmUT dUGur Deëk
chitral,KPN,16,finger,cVmVt,exact,cVmVt dUGur deëk
chitral,KPN,17,fingernail,dUGur,exact,cVmVt dUGur deëk
chitral,KPN,18,leg,deëk,exact,cVmVt dUGur deëk
chitral,KTR,16,finger,cVmuT,exact,cVmuT dUGur Deëk
chitral,KTR,17,fingernail,dUGur,exact,cVmuT dUGur Deëk
chitral,KTR,18,leg,Deëk,exact,cVmuT dUGur Deëk
chitral,KGC,16,finger,cVmuT,exact,cVmuT dUGur Deëk
chitral,KGC,17,fingernail,dUGur,exact,cVmuT dUGur Deëk
chitral,KGC,18,leg,Deëk,exact,cVmuT dUGur Deëk
chitral,KDR,16,finger,càmuT,exact,càmuT dUGur Deëk
chitral,KDR,17,fingernail,dUGur,exact,càmuT dUGur Deëk
chitral,KDR,18,leg,Deëk,exact,càmuT dUGur Deëk
chitral,BBK,16,finger,à34gu,exact,à34gu nàKguz7Ek kh | ur
chitral,BBK,17,fingernail,nàKguz7Ek,exact,à34gu nàKguz7Ek kh | ur
chitral,BBK,18,leg,khur,exact,à34gu nàKguz7Ek kh | ur
chitral,BRK,16,finger,àKgu,exact,àKgu nàguz7Ek kh | ur
chitral,BRK,17,fingernail,nàguz7Ek,exact,àKgu nàguz7Ek kh | ur
chitral,BRK,18,leg,khur,exact,àKgu nàguz7Ek kh | ur
chitral,URK,16,finger,VKguIk nàu,heuristic,VKguIk nàu | z7ik kh | ur
chitral,URK,17,fingernail,z7ik,heuristic,VKguIk nàu | z7ik kh | ur
chitral,URK,18,leg,khur,heuristic,VKguIk nàu | z7ik kh | ur
chitral,ASP,16,finger,VKguRi,exact,VKguRi no3Kg kh | ur
chitral,ASP,17,fingernail,no3Kg,exact,VKguRi no3Kg kh | ur
chitral,ASP,18,leg,khur,exact,VKguRi no3Kg kh | ur
chitral,BIP,16,finger,VKguRi,exact,VKguRi no3Kg kh | ur
chitral,BIP,17,fingernail,no3Kg,exact,VKguRi no3Kg kh | ur
chitral,BIP,18,leg,khur,exact,VKguRi no3Kg kh | ur
chitral,PUP,16,finger,VKguRi,exact,VKguRi nà3Kg kh | ur
chitral,PUP,17,fingernail,nà3Kg,exact,VKguRi nà3Kg kh | ur
chitral,PUP,18,leg,khur,exact,VKguRi nà3Kg kh | ur
chitral,SSS,16,finger,VKguRi,exact,VKguRi nàk kh | ur
chitral,SSS,17,fingernail,nàk,exact,VKguRi nàk kh | ur
chitral,SSS,18,leg,khur,exact,VKguRi nàk kh | ur
chitral,GWB,16,finger,VKgui k / àKguR,heuristic,VKgui | k / àKguR nVk kh | ur
chitral,GWB,17,fingernail,nVk,heuristic,VKgui | k / àKguR nVk kh | ur
chitral,GWB,18,leg,khur,heuristic,VKgui | k / àKguR nVk kh | ur
chitral,DML,16,finger,àKgu4i,exact,àKgu4i nVK kh | ur
chitral,DML,17,fingernail,nVK,exact,àKgu4i nVK kh | ur
chitral,DML,18,leg,khur,exact,àKgu4i nVK kh | ur
chitral,SHK,16,finger,V3Kgio nVce3,heuristic,V3Kgio nVce3 ky | uR
chitral,SHK,17,fingernail,ky,heuristic,V3Kgio nVce3 ky | uR
chitral,SHK,18,leg,uR,heuristic,V3Kgio nVce3 ky | uR
chitral,KAT,16,finger,V34yu34,exact,V34yu34 nVcŒ† zVpo
chitral,KAT,17,fingernail,nVcŒ†,exact,V34yu34 nVcŒ† zVpo
chitral,KAT,18,leg,zVpo,exact,V34yu34 nVcŒ† zVpo
chitral,YDG,16,finger,Vgosco,exact,Vgosco VnVxni polo
chitral,YDG,17,fingernail,VnVxni,exact,Vgosco VnVxni polo
chitral,YDG,18,leg,polo,exact,Vgosco VnVxni polo
chitral,MNJ,16,finger,àgus7ky o,heuristic,àgus7ky | o ---- pElo
chitral,MNJ,18,leg,pElo,heuristic,àgus7ky | o ---- pElo
chitral,KSW,19,skin,phost,exact,ph | ost ko5ël hVrdi
chitral,KSW,20,bone,ko5ël,exact,ph | ost ko5ël hVrdi
chitral,KSW,21,heart,hVrdi,exact,ph | ost ko5ël hVrdi
chitral,KIS,19,skin,phUst,exact,ph | Ust koëL hVrdi
chitral,KIS,20,bone,koëL,exact,ph | Ust koëL hVrdi
chitral,KIS,21,heart,hVrdi,exact,ph | Ust koëL hVrdi
chitral,KPN,19,skin,post,exact,post ko5ël hVrdi
chitral,KPN,20,bone,ko5ël,exact,post ko5ël hVrdi
chitral,KPN,21,heart,hVrdi,exact,post ko5ël hVrdi
chitral,KTR,19,skin,phost,exact,ph | ost koël hVrdi
chitral,KTR,20,bone,koël,exact,ph | ost koël hVrdi
chitral,KTR,21,heart,hVrdi,exact,ph | ost koël hVrdi
chitral,KGC,19,skin,phost,exact,ph | ost kh | o5ëL hVrdi
chitral,KGC,20,bone,kho5ëL,exact,ph | ost kh | o5ëL hVrdi
chitral,KGC,21,heart,hVrdi,exact,ph | ost kh | o5ëL hVrdi
chitral,KDR,19,skin,phost,exact,ph | ost kh | o5ëL hVrdi
chitral,KDR,20,bone,kho5ëL,exact,ph | ost kh | o5ëL hVrdi
chitral,KDR,21,heart,hVrdi,exact,ph | ost kh | o5ëL hVrdi
chitral,BBK,19,skin,post,exact,post VTh | i hi‚V
chitral,BBK,20,bone,VThi,exact,post VTh | i hi‚V
chitral,BBK,21,heart,hi‚V,exact,post VTh | i hi‚V
chitral,BRK,19,skin,post,exact,post VTh | i hi‚V
chitral,BRK,20,bone,VThi,exact,post VTh | i hi‚V
chitral,BRK,21,heart,hi‚V,exact,post VTh | i hi‚V
chitral,URK,19,skin,post,exact,post àTh | i hE34
chitral,URK,20,bone,àThi,exact,post àTh | i hE34
chitral,URK,21,heart,hE34,exact,post àTh | i hE34
chitral,ASP,19,skin,puësto,exact,puësto hVDuKk hIRo
chitral,ASP,20,bone,hVDuKk,exact,puësto hVDuKk hIRo
chitral,ASP,21,heart,hIRo,exact,puësto hVDuKk hIRo
chitral,BIP,19,skin,puësto,exact,puësto hVDuKk hIRo
chitral,BIP,20,bone,hVDuKk,exact,puësto hVDuKk hIRo
chitral,BIP,21,heart,hIRo,exact,puësto hVDuKk hIRo
chitral,PUP,19,skin,puësto,exact,puësto hVDuKk hIRo
chitral,PUP,20,bone,hVDuKk,exact,puësto hVDuKk hIRo
chitral,PUP,21,heart,hIRo,exact,puësto hVDuKk hIRo
chitral,SSS,19,skin,gàM,exact,gàM hVD hERo
chitral,SSS,20,bone,hVD,exact,gàM hVD hERo
chitral,SSS,21,heart,hERo,exact,gàM hVD hERo
chitral,GWB,19,skin,gVM,exact,gVM hVDuki hERé
chitral,GWB,20,bone,hVDuki,exact,gVM hVDuki hERé
chitral,GWB,21,heart,hERé,exact,gVM hVDuki hERé
chitral,DML,19,skin,gVdrà,exact,gVdrà V3Th | i zà8ëdi
chitral,DML,20,bone,V3Thi,exact,gVdrà V3Th | i zà8ëdi
chitral,DML,21,heart,zà8ëdi,exact,gVdrà V3Th | i zà8ëdi
chitral,SHK,19,skin,com,exact,com VRi zVré
chitral,SHK,20,bone,VRi,exact,com VRi zVré
chitral,SHK,21,heart,zVré,exact,com VRi zVré
chitral,KAT,19,skin,cUm,exact,cUm VTi zéré
chitral,KAT,20,bone,VTi,exact,cUm VTi zéré
chitral,KAT,21,heart,zéré,exact,cUm VTi zéré
chitral,YDG,19,skin,kVrVst,exact,kVrVst yàsti zel
chitral,YDG,20,bone,yàsti,exact,kVrVst yàsti zel
chitral,YDG,21,heart,zel,exact,kVrVst yàsti zel
chitral,MNJ,19,skin,phost,exact,ph | ost yVsti dél
chitral,MNJ,20,bone,yVsti,exact,ph | ost yVsti dél
chitral,MNJ,21,heart,dél,exact,ph | ost yVsti dél
chitral,KSW,22,blood,lei meà ru,heuristic,lei meà | ru lot meru
chitral,KSW,23,urine,lot,heuristic,lei meà | ru lot meru
chitral,KSW,24,feces,meru,heuristic,lei meà | ru lot meru
chitral,KIS,22,blood,lei,exact,lei mIRu rIC7
chitral,KIS,23,urine,mIRu,exact,lei mIRu rIC7
chitral,KIS,24,feces,rIC7,exact,lei mIRu rIC7
chitral,KPN,22,blood,lei,exact,lei mIRu mIRu
chitral,KPN,23,urine,mIRu,exact,lei mIRu mIRu
chitral,KPN,24,feces,mIRu,exact,lei mIRu mIRu
chitral,KTR,22,blood,lei,exact,lei mIru riC7
chitral,KTR,23,urine,mIru,exact,lei mIru riC7
chitral,KTR,24,feces,riC7,exact,lei mIru riC7
chitral,KGC,22,blood,le,exact,le miRu reC7
chitral,KGC,23,urine,miRu,exact,le miRu reC7
chitral,KGC,24,feces,reC7,exact,le miRu reC7
