Status,Reason,Entry_Key,PDF_Page,Printed_Page,Printed_Head,Form,Variants,Sense,Definition,Tags,References,DEDR_IDs,Unresolved_DEDR_IDs,Variant_Of_Key,Raw_Entry
ingested,,bhaskararao-toda2025:p1:e11,17,1,aḏ-t paːṇ,aḏ-t paːṇ,,,function,noun,bhaskararao-toda-notes[p. 5],,,,aḏ-t paːṇ n. function. PB 5
ingested,,bhaskararao-toda2025:p1:e12,17,1,aḍ- (aḍθ-),aḍ-,aḍθ-,,to dig,verb tr,emeneau-toda1984[p. 122],11,,,"aḍ- (aḍθ-) vt. to dig. DEDR 11, TGT 122"
ingested,,bhaskararao-toda2025:p1:e13,17,1,aḍky,aḍky,,,betel-nut,noun,,88,,,"aḍky n. betel-nut. RSLST 69, DEDR 88"
ingested,,bhaskararao-toda2025:p1:e14,17,1,aḍkyan,aḍkyan,,,areca nuts (sg. aḍky),noun,bhaskararao-toda-notes[p. 5],,,,aḍkyan n. areca nuts (sg. aḍky). PB 5 2
ingested,,bhaskararao-toda2025:p1:e15,17,1,aḍθ-,aḍθ-,,,S of aḍ-,verb,,,,,aḍθ- v. S of aḍ-
ingested,,bhaskararao-toda2025:p1:e16,17,1,aḍy,aḍy,,,clay pot,noun,,130,,,aḍy n. clay pot. DEDR 130
ingested,,bhaskararao-toda2025:p1:e17,17,1,aḍy-muː,aḍy-muː,,,"earthen vessel with various dairy uses, including that of fetching water from the stream; a small clay pot for keeping milk",noun,bhaskararao-toda-notes[p. 5],4887,,,"aḍy-muː n. earthen vessel with various dairy uses, including that of fetching water from the stream; a small clay pot for keeping milk. DEDR 4887; PB 5"
ingested,,bhaskararao-toda2025:p1:e18,17,1,aḍy muːḍy,aḍy muːḍy,,,clay lid for aḍy,noun,bhaskararao-toda-notes[p. 5],,,,aḍy muːḍy n. clay lid for aḍy. PB 5
ingested,,bhaskararao-toda2025:p1:e19,17,1,aḍyn guḍy,aḍyn guḍy,,,a depression for keeping aḍy ‘pot’ in front of was-kal ‘hearth’,noun,bhaskararao-toda-notes[p. 5],,,,aḍyn guḍy n. a depression for keeping aḍy ‘pot’ in front of was-kal ‘hearth’. PB 5
ingested,,bhaskararao-toda2025:p1:e20,17,1,aḍy tešk,aḍy tešk,,,ring made of cane for keeping aḍy on it,noun,bhaskararao-toda-notes[p. 5],,,,aḍy tešk n. ring made of cane for keeping aḍy on it. PB 5
ingested,,bhaskararao-toda2025:p1:e21,17,1,-af,-af,,,"mother, as in piyaf ‘mother’s/father’s mother’",suffix,bhaskararao-toda-notes[p. 5],,,,"-af suff. mother, as in piyaf ‘mother’s/father’s mother’. PB 5"
ingested,,bhaskararao-toda2025:p1:e22,17,1,af,af,,,"(also afuf) mother, mother’s sister or female parallel cousin, afaː¿ ‘O mother!’",noun,emeneau-toda1984[p. 70],273,,,"af kin. (also afuf) mother, mother’s sister or female parallel cousin, afaː¿ ‘O mother!’ RSLST 37, DEDR 273, TGT 70"
ingested,,bhaskararao-toda2025:p1:e23,17,1,af- (aft-),af-,aft-,,"to pound with light strokes, beat",verb tr,emeneau-toda1984[p. 124]|bhaskararao-toda-notes[p. 5],2391,,,"af- (aft-) vt. to pound with light strokes, beat. DEDR 2391, TGT 124, PB 5"
ingested,,bhaskararao-toda2025:p1:e24,17,1,afa,afa,,,mother (f > v),noun,bhaskararao-toda-notes[p. 5],,,,afa kin. mother (f > v). PB 5 2
ingested,,bhaskararao-toda2025:p1:e25,17,1,aft-,aft-,,,S ofaf-,verb,,,,,aft- v. S ofaf-
ingested,,bhaskararao-toda2025:p1:e26,17,1,afuf,afuf,,,"(also af) mother, mother’s sister or female parallel cousin",noun,,273,,,"afuf kin. (also af) mother, mother’s sister or female parallel cousin. DEDR 273"
ingested,,bhaskararao-toda2025:p2:e1,18,2,afuf,afuf,,,"mother (a vuf), mother’s sisters",noun,bhaskararao-toda-notes[p. 5],,,,"afuf kin. mother (a vuf), mother’s sisters. PB 5"
ingested,,bhaskararao-toda2025:p2:e2,18,2,agaṟ,agaṟ,,,(1) a beam made of bundle of bamboos kept at the top of a threshold,noun,bhaskararao-toda-notes[p. 6],,,,agaṟ n. (1) a beam made of bundle of bamboos kept at the top of a threshold. PB 6
ingested,,bhaskararao-toda2025:p2:e3,18,2,agaṟ,agaṟ,,,(2) place in dairy where bell is kept,noun,,,,,agaṟ n. (2) place in dairy where bell is kept. RSLST 73
ingested,,bhaskararao-toda2025:p2:e4,18,2,ageḷf,ageḷf,,,buttocks and thighs,noun,,253,,,ageḷf n. buttocks and thighs. DEDR 253
ingested,,bhaskararao-toda2025:p2:e5,18,2,a(g) gïs,a(g) gïs,,,"(doing) in that manner, that way, like that",demonstrative adv,emeneau-toda1984[p. 101]|bhaskararao-toda-notes[p. 13],1,,,"a(g) gïs dem.adv. (doing) in that manner, that way, like that. DEDR 1, TGT 101, PB 13"
ingested,,bhaskararao-toda2025:p2:e6,18,2,agïlkwïːṛ,agïlkwïːṛ,,,ball and socket arrangement where the arm joins the shoulder (nïp- kwïːṛ),noun,bhaskararao-toda-notes[p. 6],,,,agïlkwïːṛ n. ball and socket arrangement where the arm joins the shoulder (nïp- kwïːṛ). PB 6
ingested,,bhaskararao-toda2025:p2:e7,18,2,aɦaː¿,aɦaː¿,,,excl. of surprise,interj,emeneau-toda1984[p. 188],,,,aɦaː¿ itj. excl. of surprise. TGT 188
ingested,,bhaskararao-toda2025:p2:e8,18,2,ak,ak,,,"the ačok measure for ghee or liquid (in numeration: wïːr ak ‘one ačok’, iːr ak ‘two ačok’, oy ak ‘five ačok’, maːk ‘three ačok’; as milk measure = 1/4 koːṇy or 1/8 piṇ)",noun,emeneau-toda1984[p. 107],397,,,"ak n. the ačok measure for ghee or liquid (in numeration: wïːr ak ‘one ačok’, iːr ak ‘two ačok’, oy ak ‘five ačok’, maːk ‘three ačok’; as milk measure = 1/4 koːṇy or 1/8 piṇ). DEDR 397, TGT 107"
ingested,,bhaskararao-toda2025:p2:e9,18,2,al,al,,,"in that place, there, al =θon ‘just there’, cf. as̱-n ‘from there’, as̱- nïḏ-s ‘from there on’",demonstrative adv,"emeneau-toda1984[p. 61, 179]|bhaskararao-toda-notes[p. 6, 13]",1,,,"al dem.adv. in that place, there, al =θon ‘just there’, cf. as̱-n ‘from there’, as̱- nïḏ-s ‘from there on’. DEDR 1, TGT 61, 179, PB 6, 13"
ingested,,bhaskararao-toda2025:p2:e10,18,2,al-al,al-al,,,here and there,adv,bhaskararao-toda-notes[p. 127],,,,al-al adv. here and there. PB 127
ingested,,bhaskararao-toda2025:p2:e11,18,2,alaːk,alaːk,,,"alone, lonely; alaːkaːs ‘separatehouse’, alaːkoːɫ‘separatẹ people’",adj,bhaskararao-toda-notes[p. 6],,,,"alaːk a. alone, lonely; alaːkaːs ‘separatehouse’, alaːkoːɫ‘separatẹ people’. PB 6"
ingested,,bhaskararao-toda2025:p2:e12,18,2,aleː,aleː,,,in that very place,demonstrative adv,emeneau-toda1984[p. 180],,,,aleː dem.adv. in that very place. TGT 180
ingested,,bhaskararao-toda2025:p2:e13,18,2,alg- (algy-),alg-,algy-,,to shake,verb intr,bhaskararao-toda-notes[p. 6],,,,alg- (algy-) vi. to shake. PB 6 2
ingested,,bhaskararao-toda2025:p2:e14,18,2,algy-,algy-,,,S of alg-,verb,,,,,algy- v. S of alg-
ingested,,bhaskararao-toda2025:p2:e15,18,2,alk- (alky-),alk-,alky-,,to shake (tr.),verb tr,emeneau-toda1984[p. 120]|bhaskararao-toda-notes[p. 6],240,,,"alk- (alky-) vt. to shake (tr.). DEDR 240, TGT 120, PB 6 2"
ingested,,bhaskararao-toda2025:p2:e16,18,2,alky-,alky-,,,S ofalk-,verb,,,,,alky- v. S ofalk-
ingested,,bhaskararao-toda2025:p2:e17,18,2,almaːr,almaːr,,,almirah,noun,,,,,almaːr n. almirah. Sak. 268
ingested,,bhaskararao-toda2025:p2:e18,18,2,almoːṟy,almoːṟy,,,"almirah (pl. almoːṟyaːm, loc. almoːṟys̱)",noun,bhaskararao-toda-notes[p. 6],,,,"almoːṟy n. almirah (pl. almoːṟyaːm, loc. almoːṟys̱). PB 6"
ingested,,bhaskararao-toda2025:p2:e19,18,2,alos̱y,alos̱y,,,except (lit. not being),postp,emeneau-toda1984[p. 149],234,,,"alos̱y postp. except (lit. not being). DEDR 234, TGT 149"
ingested,,bhaskararao-toda2025:p2:e20,18,2,alöːṇy,alöːṇy,,,month name,noun,bhaskararao-toda-notes[p. 6],,,,alöːṇy n. month name. PB 6
ingested,,bhaskararao-toda2025:p2:e21,18,2,alp,alp,,,a sweet dish,noun,,,,,alp n. a sweet dish. Sak. 268
ingested,,bhaskararao-toda2025:p2:e22,18,2,alx- (alxy-),alx-,alxy-,,to shake (intr.),verb intr,emeneau-toda1984[p. 121],240,,,"alx- (alxy-) vi. to shake (intr.). DEDR 240, TGT 121 2"
ingested,,bhaskararao-toda2025:p2:e23,18,2,alxy-,alxy-,,,S ofalx-,verb,,,,,alxy- v. S ofalx-
ingested,,bhaskararao-toda2025:p2:e24,18,2,aly,aly,,,(1) wooden shelf (pl. alyaːm),noun,bhaskararao-toda-notes[p. 6],,,,aly n. (1) wooden shelf (pl. alyaːm). PB 6
ingested,,bhaskararao-toda2025:p2:e25,18,2,aly,aly,,,(2) wave (pl. alyaːm),noun,bhaskararao-toda-notes[p. 6],,,,aly n. (2) wave (pl. alyaːm). PB 6
ingested,,bhaskararao-toda2025:p2:e26,18,2,aḷf,aḷf,,,"limit, size; kaṟwïḍ kuposm aḷf aṟspini ‘I know the size of the child’s shirt’, aḷf aṟyoːs upum tïḏči ‘He eats a lot without knowing the limit’, aḷf-wïṟ an-boːḍy paḷx ‘Be friendly with him within a limit’, aθ tïd-t aḷf-k oːn tïd kïs̱-ïni ‘I cannot eat as much as he can.’",noun,bhaskararao-toda-notes[p. 6],,,,"aḷf n. limit, size; kaṟwïḍ kuposm aḷf aṟspini ‘I know the size of the child’s shirt’, aḷf aṟyoːs upum tïḏči ‘He eats a lot without knowing the limit’, aḷf-wïṟ an-boːḍy paḷx ‘Be friendly with him within a limit’, aθ tïd-t aḷf-k oːn tïd kïs̱-ïni ‘I cannot eat as much as he can.’ PB 6"
ingested,,bhaskararao-toda2025:p3:e1,19,3,aḷfk,aḷfk,,,to that extent,adv,,,,,aḷfk adv. to that extent. Sak. 268
ingested,,bhaskararao-toda2025:p3:e2,19,3,aḷk,aḷk,,,"dirty (other than clothes); koṇmun aḷk oːy fiːšši ‘The face became dirty’, köːf aḷk oːy fiːšši ‘The wall became dirty.’",adj,"bhaskararao-toda-notes[p. 7, 106]",,,,"aḷk a. dirty (other than clothes); koṇmun aḷk oːy fiːšši ‘The face became dirty’, köːf aḷk oːy fiːšši ‘The wall became dirty.’ PB 7, 106"
ingested,,bhaskararao-toda2025:p3:e3,19,3,aɫ̣,aɫ̣,,,the deposit after the clarification of butter used as food,noun,,,,,aɫ̣ n. the deposit after the clarification of butter used as food. Sak. 268
ingested,,bhaskararao-toda2025:p3:e4,19,3,aɫ-̣ (aɫθ-)̣,aɫ-̣ (aɫθ-)̣,,,to measure,verb tr,emeneau-toda1984[p. 122],295,,,"aɫ-̣ (aɫθ-)̣ vt. to measure. DEDR 295, TGT 122"
ingested,,bhaskararao-toda2025:p3:e5,19,3,- a ɫ f̣,- a ɫ f̣,,,"an element in many dairy names (e.g. moːs̱a ɫ f̣ ‘beside the pen’, moːṯwïː: moːs + twïː)",noun,"emeneau-toda1984[p. 8, 33]",4112,,,"- a ɫ f̣ n. an element in many dairy names (e.g. moːs̱a ɫ f̣ ‘beside the pen’, moːṯwïː: moːs + twïː). RSLST 21, DEDR 4112, TGT 8, 33"
ingested,,bhaskararao-toda2025:p3:e6,19,3,a ɫṃ,a ɫṃ,,,"measure, extent (obl. a ɫ t -̣, dat. a ɫ tḳ )",noun,"emeneau-toda1984[p. 71, 73]",,,,"a ɫṃ n. measure, extent (obl. a ɫ t -̣, dat. a ɫ tḳ ). TGT 71, 73"
ingested,,bhaskararao-toda2025:p3:e7,19,3,a ɫ t-̣,a ɫ t-̣,,,"obl. of a ɫ ṃ ‘measure, extent’",noun,,,,,"a ɫ t-̣ n. obl. of a ɫ ṃ ‘measure, extent’"
ingested,,bhaskararao-toda2025:p3:e8,19,3,aɫtkṃ,aɫtkṃ,,,"andtotheextent; nwïːṭyšpaɫtkṃ ‘andtotheextentthat(I)haveseen’, aṟyoθ aɫtkṃ ‘and to the extent that (I) have not known’, koːṇoθ aɫtkṃ ‘and to the extent that (I) have seen’",adv,emeneau-toda1984[p. 130],,,,"aɫtkṃ adv. andtotheextent; nwïːṭyšpaɫtkṃ ‘andtotheextentthat(I)haveseen’, aṟyoθ aɫtkṃ ‘and to the extent that (I) have not known’, koːṇoθ aɫtkṃ ‘and to the extent that (I) have seen’. TGT 130 2"
ingested,,bhaskararao-toda2025:p3:e9,19,3,a ɫθ̣ -,a ɫθ̣ -,,,S ofa ɫ -̣,verb,,,,,a ɫθ̣ - v. S ofa ɫ -̣
ingested,,bhaskararao-toda2025:p3:e10,19,3,a ɫθ̣ t,a ɫθ̣ t,,,act of measuring,noun,,,,,a ɫθ̣ t n. act of measuring. Sak. 268
ingested,,bhaskararao-toda2025:p3:e11,19,3,am,am,,,"lady, woman to whom respect is due",noun,,,,,"am n. lady, woman to whom respect is due. RSLST 84"
ingested,,bhaskararao-toda2025:p3:e12,19,3,amaːṟ,amaːṟ,,,"thatside, a-maːṟ-t aːs ‘next house’",demonstrative noun,"bhaskararao-toda-notes[p. 75, 203]",,,,"amaːṟ dem.n. thatside, a-maːṟ-t aːs ‘next house’. PB 75, 203"
ingested,,bhaskararao-toda2025:p3:e13,19,3,a-maːṟ-s̱,a-maːṟ-s̱,,,"aside, beside",adv,bhaskararao-toda-notes[p. 86],,,,"a-maːṟ-s̱ adv. aside, beside. PB 86"
ingested,,bhaskararao-toda2025:p3:e14,19,3,amaːṟ-t,amaːṟ-t,,,"of that side, a maːṟt oːɫ ‘unrelateḍ people’",adj,bhaskararao-toda-notes[p. 7],,,,"amaːṟ-t a. of that side, a maːṟt oːɫ ‘unrelateḍ people’. PB 7"
ingested,,bhaskararao-toda2025:p3:e15,19,3,a-maːṟ-t oːɫ̣,a-maːṟ-t oːɫ̣,,,"a person not a close relative, a person from another community, person from the other side",noun,"bhaskararao-toda-notes[p. 75, 203]",,,,"a-maːṟ-t oːɫ̣ n. a person not a close relative, a person from another community, person from the other side. PB 75, 203"
ingested,,bhaskararao-toda2025:p3:e16,19,3,a-maː-s̱n,a-maː-s̱n,,,from the other side,abl,bhaskararao-toda-notes[p. 203],,,,a-maː-s̱n abl. from the other side. PB 203
ingested,,bhaskararao-toda2025:p3:e17,19,3,amerika noːḍ,amerika noːḍ,,,America,noun,bhaskararao-toda-notes[p. 181],,,,amerika noːḍ n. America. PB 181
ingested,,bhaskararao-toda2025:p3:e18,19,3,am-moḏ,am-moḏ,,,"that clan, that village; am-moḏ oːɫ ‘̣people of that clan’, am-moḏ-ṣ wïḍ-fy oːɫ ‘peoplẹ whostayinthat village’",noun,bhaskararao-toda-notes[p. 158],,,,"am-moḏ n. that clan, that village; am-moḏ oːɫ ‘̣people of that clan’, am-moḏ-ṣ wïḍ-fy oːɫ ‘peoplẹ whostayinthat village’. PB 158"
ingested,,bhaskararao-toda2025:p3:e19,19,3,amn,amn,,,"(1) god and goddess (Ta. ammaṉ, Malayalam amma, Kota amn, Kan- nada amma), goddess",noun,emeneau-toda1984[p. 375],,,,"amn n. (1) god and goddess (Ta. ammaṉ, Malayalam amma, Kota amn, Kan- nada amma), goddess. TGT 375; RSLST 33"
ingested,,bhaskararao-toda2025:p3:e20,19,3,amn,amn,,,"(2)smallpox, chicken pox, amn fodn-wïṛ swïːθyky koːtt ïyi ‘When amn strikes one should maintain purity.’",noun,bhaskararao-toda-notes[p. 7],,,,"amn n. (2)smallpox, chicken pox, amn fodn-wïṛ swïːθyky koːtt ïyi ‘When amn strikes one should maintain purity.’ PB 7"
ingested,,bhaskararao-toda2025:p3:e21,19,3,amun,amun,,,"thatside, the other side (obl. a mut)",noun,"emeneau-toda1984[p. 71]|bhaskararao-toda-notes[p. 7, 14, 89]",1,,,"amun n. thatside, the other side (obl. a mut). DEDR 1, TGT 71, PB 7, 14, 89"
ingested,,bhaskararao-toda2025:p3:e22,19,3,a-munnoːṛ,a-munnoːṛ,,,"theworldofthedead, theworldonthatside(cf.i-mun noːṛ ‘this living world’) (cf. DEDR 3638, Ta. nāṭu), a-mun noːṭ-ṣ ‘in the nether world (loc.)’",noun,"bhaskararao-toda-notes[p. 7, 89]",3638|1,,,"a-munnoːṛ n. theworldofthedead, theworldonthatside(cf.i-mun noːṛ ‘this living world’) (cf. DEDR 3638, Ta. nāṭu), a-mun noːṭ-ṣ ‘in the nether world (loc.)’. DEDR 1, PB 7, 89"
ingested,,bhaskararao-toda2025:p3:e23,19,3,a-munoːɫ̣,a-munoːɫ̣,,,people of that side,noun,bhaskararao-toda-notes[p. 89],,,,a-munoːɫ̣ n. people of that side. PB 89
ingested,,bhaskararao-toda2025:p3:e24,19,3,amunpaːkyt,amunpaːkyt,,,action of turning inside out in stitching puːtxuɫỵ,noun,bhaskararao-toda-notes[p. 191],,,,amunpaːkyt n. action of turning inside out in stitching puːtxuɫỵ. PB 191
ingested,,bhaskararao-toda2025:p3:e25,19,3,amut,amut,,,"obl. of a mun ‘that side, the other side’",noun,,,,,"amut n. obl. of a mun ‘that side, the other side’"
ingested,,bhaskararao-toda2025:p3:e26,19,3,amut-aːṟ,amut-aːṟ,,,on the other side,demonstrative adv,emeneau-toda1984[p. 86],,,,amut-aːṟ dem.adv. on the other side. TGT 86
ingested,,bhaskararao-toda2025:p4:e1,20,4,amut-k,amut-k,,,to that side (dat.),demonstrative adv,bhaskararao-toda-notes[p. 89],,,,amut-k dem.adv. to that side (dat.). PB 89
ingested,,bhaskararao-toda2025:p4:e2,20,4,a-mut oːɫ̣,a-mut oːɫ̣,,,"people of a-mun noːṛ, Todas in a-mun noːṛ ‘the other world’, dead Todas. cf. i-mut oːɫ ‘peoplẹof the living world’",noun,"bhaskararao-toda-notes[p. 7, 89]",,,,"a-mut oːɫ̣ n. people of a-mun noːṛ, Todas in a-mun noːṛ ‘the other world’, dead Todas. cf. i-mut oːɫ ‘peoplẹof the living world’. PB 7, 89"
ingested,,bhaskararao-toda2025:p4:e3,20,4,a mut-s̱,a mut-s̱,,,"on the other side, a-t waːs̱-s̱ püs̱y a mut-s̱ kuṟb ‘In the forest there is a tiger and on the other side there is a Kurumba person (Tiger is waiting to catch and kill, and a Kurumba is waiting to do sorcery).’",adj adv,"bhaskararao-toda-notes[p. 7, 89]",,,,"a mut-s̱ a., adv. on the other side, a-t waːs̱-s̱ püs̱y a mut-s̱ kuṟb ‘In the forest there is a tiger and on the other side there is a Kurumba person (Tiger is waiting to catch and kill, and a Kurumba is waiting to do sorcery).’ PB 7, 89"
ingested,,bhaskararao-toda2025:p4:e4,20,4,amut-s̱n,amut-s̱n,,,fromthat side (abl.),demonstrative adv,bhaskararao-toda-notes[p. 89],,,,amut-s̱n dem.adv. fromthat side (abl.). PB 89
ingested,,bhaskararao-toda2025:p4:e5,20,4,an-,an-,,,"human obl. of aθ ‘that person, he/she’",pron,,,,,"an- pron. human obl. of aθ ‘that person, he/she’"
ingested,,bhaskararao-toda2025:p4:e6,20,4,an,an,,,"his, her (obl. of aθ ‘that person’), an boḏy ‘following him/her’, anïṭ ‘with him/her’",demonstrative pron,"emeneau-toda1984[p. 97, 98]",,,,"an dem.pron. his, her (obl. of aθ ‘that person’), an boḏy ‘following him/her’, anïṭ ‘with him/her’. TGT 97, 98"
ingested,,bhaskararao-toda2025:p4:e7,20,4,anbuːfm,anbuːfm,,,experience (Skt. anubhavam),noun,bhaskararao-toda-notes[p. 7],,,,anbuːfm n. experience (Skt. anubhavam). PB 7
ingested,,bhaskararao-toda2025:p4:e8,20,4,andan-oːɫ̣,andan-oːɫ̣,,,her husband,noun,emeneau-toda1984[p. 37],,,,andan-oːɫ̣ n. her husband. TGT 37
ingested,,bhaskararao-toda2025:p4:e9,20,4,aneːrkiḷy,aneːrkiḷy,,,name of a person,proper-noun,,,,,aneːrkiḷy prop. name of a person. Sak. 268
ingested,,bhaskararao-toda2025:p4:e10,20,4,an-g,an-g,,,"to him, to her (dat. of aθ), cf. aθ-k non-human; an-g oːy ‘for his/her sake’",pron,"emeneau-toda1984[p. 79, 98]",,,,"an-g pron. to him, to her (dat. of aθ), cf. aθ-k non-human; an-g oːy ‘for his/her sake’. TGT 79,98"
ingested,,bhaskararao-toda2025:p4:e11,20,4,angaːṟm,angaːṟm,,,until then,demonstrative adv,emeneau-toda1984[p. 87],,,,angaːṟm dem.adv. until then. TGT 87
ingested,,bhaskararao-toda2025:p4:e12,20,4,an-ïd,an-ïd,,,"because of him/her, by him/her",caus,emeneau-toda1984[p. 98]|bhaskararao-toda-notes[p. 14],,,,"an-ïd caus. because of him/her, by him/her. TGT 98; PB 14"
ingested,,bhaskararao-toda2025:p4:e13,20,4,anoːxoːɫỵ,anoːxoːɫỵ,,,immediately then (TGT a noxoɫỵ ),demonstrative adv,emeneau-toda1984[p. 27]|bhaskararao-toda-notes[p. 13],,,,"anoːxoːɫỵ dem.adv. immediately then (TGT a noxoɫỵ ). TGT 27, PB 13"
ingested,,bhaskararao-toda2025:p4:e14,20,4,aṇil,aṇil,,,squirrel,noun,emeneau-toda1984[p. 26],2315,,,"aṇil n. squirrel. DEDR 2315, TGT 26"
ingested,,bhaskararao-toda2025:p4:e15,20,4,apiny mad,apiny mad,,,(also apiːny-mad) opium in paste consistency,noun,"bhaskararao-toda-notes[p. 7, 73]",,,,"apiny mad n. (also apiːny-mad) opium in paste consistency. PB 7,73"
ingested,,bhaskararao-toda2025:p4:e16,20,4,apkwïːṛ töw,apkwïːṛ töw,,,the Shiva temple in Appu Kodu village of Badagas,noun,bhaskararao-toda-notes[p. 7],,,,apkwïːṛ töw n. the Shiva temple in Appu Kodu village of Badagas. PB 7
ingested,,bhaskararao-toda2025:p4:e17,20,4,ar,ar,,,"half, half of the body = waist",noun,"emeneau-toda1984[p. 7]|bhaskararao-toda-notes[p. 8, 9]",229,,,"ar n. half, half of the body = waist.DEDR 229, TGT 7, PB 8, 9"
ingested,,bhaskararao-toda2025:p4:e18,20,4,arb,arb,,,good life (with nothing to do but eat),noun,,232,,,arb n. good life (with nothing to do but eat). DEDR 232
ingested,,bhaskararao-toda2025:p4:e19,20,4,ar-biṯ,ar-biṯ,,,"insane, also pronounced as /erbiṯ/ (?pïṟ (pïṯ) ‘carry’)",adj,bhaskararao-toda-notes[p. 10],,,,"ar-biṯ a. insane, also pronounced as /erbiṯ/ (?pïṟ (pïṯ) ‘carry’). PB 10 2"
ingested,,bhaskararao-toda2025:p4:e20,20,4,arc-,arc-,,,S of ary-,verb,,,,,arc- v. S of ary-
ingested,,bhaskararao-toda2025:p4:e21,20,4,arf,arf,,,knowledge,noun,bhaskararao-toda-notes[p. 10],,,,arf n. knowledge. PB 10
ingested,,bhaskararao-toda2025:p4:e22,20,4,arf eːf- (eːt-),arf eːf-,eːt-,,to control oneself and behave well,verb intr,bhaskararao-toda-notes[p. 10],,,,arf eːf- (eːt-) vi. to control oneself and behave well. PB 10
ingested,,bhaskararao-toda2025:p4:e23,20,4,ar-foːy,ar-foːy,,,half-opened door (poːy ‘mouth’),noun,bhaskararao-toda-notes[p. 8],,,,ar-foːy n. half-opened door (poːy ‘mouth’). PB 8
ingested,,bhaskararao-toda2025:p4:e24,20,4,ar-goṇ,ar-goṇ,,,half-asleep (cf. wïːṟ-goṇ),adj,bhaskararao-toda-notes[p. 8],,,,ar-goṇ a. half-asleep (cf. wïːṟ-goṇ). PB 8
