Row,Language_ID,Form,Gloss,Phonemic,Parameter_ID,Distance,Evidence_Language_ID,Evidence_Form,Basis
2571,ThuiYasin,čʰʌš,thorn,tɕʰɜɕ,2589,0.200,Domaaki,čʰõṣ̌,unique close phonological match
2582,Murtazabad,miˈwʌ,fruit,miˈβ̞ɜ,n772,0.250,Chapursan,miˈwɑ,unique close phonological match
2583,Haiderabad,miˈwʌ,fruit,miˈβ̞ɜ,n772,0.250,Chapursan,miˈwɑ,unique close phonological match
2584,Ganish,miˈwʌ,fruit,miˈβ̞ɜ,n772,0.250,Chapursan,miˈwɑ,unique close phonological match
2585,NazimabadUpperSust,miˈwʌ,fruit,miˈβ̞ɜ,n772,0.250,Chapursan,miˈwɑ,unique close phonological match
2586,UyumNagar,meˈwʌ,fruit,meˈβ̞ɜ,n772,0.250,Pashto,mewɑ,unique close phonological match
2587,Hoper,meˈwʌ,fruit,meˈβ̞ɜ,n772,0.250,Pashto,mewɑ,unique close phonological match
2589,ThuiYasin,miˈwʌ,fruit,miˈβ̞ɜ,n772,0.250,Chapursan,miˈwɑ,unique close phonological match
2590,Hussainabad,ɑˑm,mango,ɑˑm,1268,0.333,Urdu,ɑm,audited close correspondence
2591,Murtazabad,ɑˑm,mango,ɑˑm,1268,0.333,Urdu,ɑm,audited close correspondence
2592,Haiderabad,ɑˑm,mango,ɑˑm,1268,0.333,Urdu,ɑm,audited close correspondence
2593,Ganish,ɑˑm,mango,ɑˑm,1268,0.333,Urdu,ɑm,audited close correspondence
2594,NazimabadUpperSust,ɑˑm,mango,ɑˑm,1268,0.333,Urdu,ɑm,audited close correspondence
2595,UyumNagar,ɑˑm,mango,ɑˑm,1268,0.333,Urdu,ɑm,audited close correspondence
2596,Hoper,ɑˑm,mango,ɑˑm,1268,0.333,Urdu,ɑm,audited close correspondence
2597,YasinCenter,ɑˑm,mango,ɑˑm,1268,0.333,Urdu,ɑm,audited close correspondence
2598,ThuiYasin,ɑˑm,mango,ɑˑm,1268,0.333,Urdu,ɑm,audited close correspondence
2599,Hussainabad,keˈlʌ,banana,keˈlɜ,2712,0.250,Urdu,kelɑ,unique close phonological match
2600,Murtazabad,keˈlʌ,banana,keˈlɜ,2712,0.250,Urdu,kelɑ,unique close phonological match
2601,Haiderabad,keˈlʌ,banana,keˈlɜ,2712,0.250,Urdu,kelɑ,unique close phonological match
2606,YasinCenter,keˈlʌ,banana,keˈlɜ,2712,0.250,Urdu,kelɑ,unique close phonological match
2608,Hussainabad,gur,wheat,guɾ̪,4287,0.333,Rondu,gum,audited close correspondence
2609,Murtazabad,gur,wheat,guɾ̪,4287,0.333,Rondu,gum,audited close correspondence
2610,Haiderabad,gur,wheat,guɾ̪,4287,0.333,Rondu,gum,audited close correspondence
2611,Ganish,gur,wheat,guɾ̪,4287,0.333,Rondu,gum,audited close correspondence
2612,NazimabadUpperSust,gur,wheat,guɾ̪,4287,0.333,Rondu,gum,audited close correspondence
2613,UyumNagar,gur,wheat,guɾ̪,4287,0.333,Rondu,gum,audited close correspondence
2614,Hoper,gur,wheat,guɾ̪,4287,0.333,Rondu,gum,audited close correspondence
2615,YasinCenter,gur,wheat,guɾ̪,4287,0.333,Rondu,gum,audited close correspondence
2616,ThuiYasin,gur,wheat,guɾ̪,4287,0.333,Rondu,gum,audited close correspondence
2632,Hoper,brɪu,rice,br̪ɪu,12233,0.000,UyumNagar,briu,unique close phonological match
2644,Hussainabad,beŋˈgʌn,eggplant,beŋˈgɜn̪,11503,0.167,Domaaki,bæŋgʌn,unique close phonological match
2645,Murtazabad,beŋˈgʌn,eggplant,beŋˈgɜn̪,11503,0.167,Domaaki,bæŋgʌn,unique close phonological match
2661,Hussainabad,ˈmɑručo,chili,ˈmɑr̪utɕo,9875,0.143,UyumNagar,ˈmɑruč,unique close phonological match
2662,Murtazabad,ˈmɑrɪčo,chili,ˈmɑr̪ɪtɕo,9875,0.286,UyumNagar,ˈmɑruč,audited close correspondence
2663,Haiderabad,ˈmɑrɪčo,chili,ˈmɑr̪ɪtɕo,9875,0.286,UyumNagar,ˈmɑruč,audited close correspondence
2664,Ganish,ˈmɑričo,chili,ˈmɑr̪itɕo,9875,0.286,UyumNagar,ˈmɑruč,audited close correspondence
2665,NazimabadUpperSust,ˈmɑručo,chili,ˈmɑr̪utɕo,9875,0.143,UyumNagar,ˈmɑruč,unique close phonological match
2667,Hoper,ˈmɑručo,chili,ˈmɑr̪utɕo,9875,0.143,UyumNagar,ˈmɑruč,unique close phonological match
2668,YasinCenter,mɑrč,chili,mɑr̪tɕ,9875,0.167,UyumNagar,ˈmɑruč,unique close phonological match
2669,ThuiYasin,mɑrč,chili,mɑr̪tɕ,9875,0.167,UyumNagar,ˈmɑruč,unique close phonological match
2671,Murtazabad,hɑˈlɪč̣i,turmeric,hɑˈlɪʈʂi,13992,0.000,Ganish,hɑˈlič̣i,unique close phonological match
2672,Haiderabad,hɑˈlɪč̣i,turmeric,hɑˈlɪʈʂi,13992,0.000,Ganish,hɑˈlič̣i,unique close phonological match
2706,Hussainabad,bɑˈlogʌn,tomato,bɑˈlogɜn̪,11503,0.286,YasinCenter,bɑˈlugun,audited close correspondence
2707,Murtazabad,bɑˈlogʌn,tomato,bɑˈlogɜn̪,11503,0.286,YasinCenter,bɑˈlugun,audited close correspondence
2708,Haiderabad,bɑˈlogʌn,tomato,bɑˈlogɜn̪,11503,0.286,YasinCenter,bɑˈlugun,audited close correspondence
2709,Ganish,bɑˈlogʌn,tomato,bɑˈlogɜn̪,11503,0.286,YasinCenter,bɑˈlugun,audited close correspondence
2710,NazimabadUpperSust,bɑˈlogʌn,tomato,bɑˈlogɜn̪,11503,0.286,YasinCenter,bɑˈlugun,audited close correspondence
2711,UyumNagar,bɑˈlogʌn,tomato,bɑˈlogɜn̪,11503,0.286,YasinCenter,bɑˈlugun,audited close correspondence
2712,Hoper,bɑˈlogʌn,tomato,bɑˈlogɜn̪,11503,0.286,YasinCenter,bɑˈlugun,audited close correspondence
2802,Hoper,bɛ̃ns,buffalo,bɛ̃n̪s̪,9964,0.250,Kharmang,bɛ̃s,unique close phonological match
2873,UyumNagar,ˈpʰič̣o,mosquito,ˈpʰiʈʂo,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
2884,YasinCenter,pɪˈliili,ant,pɪˈliili,8201,0.143,NagarThol,pɪˈlili,unique close phonological match
2885,ThuiYasin,pɪˈliili,ant,pɪˈliili,8201,0.143,NagarThol,pɪˈlili,unique close phonological match
2891,UyumNagar,tʌlʌˈbuḍo,spider,t̪ɜlɜˈbuɖo,9268,0.125,HunzaNasirabad,tʌlʌˈbuṛo,unique close phonological match
2892,Hoper,tʌlʌˈbuḍo,spider,t̪ɜlɜˈbuɖo,9268,0.125,HunzaNasirabad,tʌlʌˈbuṛo,unique close phonological match
3195,Hussainabad,kʰuṭ,short,kʰuʈ,3895,0.200,Gupis,ˈkʰu̱ṭo̱,unique close phonological match
3199,NazimabadUpperSust,kʰuṭ,short,kʰuʈ,3895,0.200,Gupis,ˈkʰu̱ṭo̱,unique close phonological match
3200,UyumNagar,kʰuṭ,short,kʰuʈ,3895,0.200,Gupis,ˈkʰu̱ṭo̱,unique close phonological match
3202,Hoper,kʰuṭ,short,kʰuʈ,3895,0.200,Gupis,ˈkʰu̱ṭo̱,unique close phonological match
3986,Chapursan,hʌtʰɔrɑ,hammer,hɜtʰɔr̪ɑ,14028,0.286,Gupis,hɑtoˈṛɑ,audited close correspondence
4166,Passu,ɔˈlu,potato,ɔˈlu,1388,0.333,Urdu,ɑlu,audited close correspondence
4168,Chapursan,ɔˈlu,potato,ɔˈlu,1388,0.333,Urdu,ɑlu,audited close correspondence
4174,Yasin,mɪrč,chili,mɪr̪tɕ,9875,0.333,UyumNagar,ˈmɑruč,audited close correspondence
4175,Ishkoman,mʌrč,chili,mɜr̪tɕ,9875,0.200,KachuraJel,ˈmʌruš,unique close phonological match
4194,Shimshal,gubi,cauliflower,gubi,4270,0.250,Pashto,gobi,unique close phonological match
4198,Passu,bɑlogʌn,tomato,bɑlogɜn̪,11503,0.286,YasinCenter,bɑˈlugun,audited close correspondence
4199,Shimshal,bɑlogʌn,tomato,bɑlogɜn̪,11503,0.286,YasinCenter,bɑˈlugun,audited close correspondence
4248,Passu,išmɑyʊš,buffalo,iɕmɑjʊɕ,9964,0.286,NagarThol,mɑˈyuṣ̌,audited close correspondence
4251,Yasin,mɑiš,buffalo,mɑiɕ,9964,0.200,Gupis,mɑˈĩĩṣ̌,unique close phonological match
4482,Passu,kuṭʰ,short,kuʈʰ,3895,0.333,Palas,ˈkʰuṭʰu̥,audited close correspondence
4483,Shimshal,kuṭʰ,short,kuʈʰ,3895,0.333,Palas,ˈkʰuṭʰu̥,audited close correspondence
4484,Chapursan,kuṭʰ,short,kuʈʰ,3895,0.333,Palas,ˈkʰuṭʰu̥,audited close correspondence
4903,Domaaki,tɑˈɣo,mud,t̪ɑˈɣo,5626,0.250,Gilgit,tɑˈɣɑ,unique close phonological match
4919,Domaaki,muŋ ˈpʰʌli,groundnut,muŋ+ˈpʰɜli,10198,0.000,Hussainabad,muŋpʰʌˈli,unique close phonological match
4925,Domaaki,bɑlˈogʌn,tomato,bɑlˈogɜn̪,11503,0.286,YasinCenter,bɑˈlugun,audited close correspondence
5476,ChilasKhinar,hʌˈtɑ,palm of hand,hɜˈt̪ɑ,14029,0.200,DashkinAstor,ˈhʌtɑo,unique close phonological match
5483,Jalkot,hʌˈtʰo,palm of hand,hɜˈt̪ʰo,14029,0.200,DashkinAstor,ˈhʌtɑo,unique close phonological match
5484,Palas,hʌˈtʰo,palm of hand,hɜˈt̪ʰo,14029,0.200,DashkinAstor,ˈhʌtɑo,unique close phonological match
5571,Kharmang,pɑ,leg,pɑ,8056,0.000,Jalkot,pɑ̃,unique close phonological match
5743,Gupis,kui̱,village,kui̠,3232,0.000,HunzaNasirabad,kui,unique close phonological match
5744,Punial,kui̱,village,kui̠,3232,0.000,HunzaNasirabad,kui,unique close phonological match
5747,HunzaNasirabad,gɪˈroom,village,gɪˈɾ̪oom,4368,0.167,Domaaki,girom,unique close phonological match
5749,NagarThol,gɪˈrom,village,gɪˈɾ̪om,4368,0.000,Domaaki,girom,unique close phonological match
5826,Bunji,ˈšʌlto̱,roof,ˈɕɜlt̪o̠,12349,0.000,Gahorabad,šʌlto,unique close phonological match
6010,NagarThol,fʌˈṭil,hammer,fɜˈʈil,11385,0.333,Domaaki,pʰʌṭil,audited close correspondence
6016,Bagrot,pʰɑˈṭil,hammer,pʰɑˈʈil,11385,0.167,Domaaki,pʰʌṭil,unique close phonological match
6485,Rondu,mɛˈyɑr,cloud,mɛˈjɑɾ̪,6955c,0.000,NagarChalt,meˈyɑr̃,unique close phonological match
7895,HunzaNasirabad,ˈpʰič̣o̱,mosquito,ˈpʰiʈʂo̠,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
7896,NagarThol,ˈpʰɪč̣ʰu̱,mosquito,ˈpʰɪʈʂʰu̠,9085,0.286,Astor,ˈpʰɪtʰi,audited close correspondence
7897,NagarChalt,ˈpʰič̣u̱,mosquito,ˈpʰiʈʂu̠,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
7898,Gilgit,ˈpʰič̣ʰo̱,mosquito,ˈpʰiʈʂʰo̠,9085,0.286,Astor,ˈpʰɪtʰi,audited close correspondence
7900,Haramosh,pʰi̱č̣o̱,mosquito,pʰi̠ʈʂo̠,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
7901,Bagrot,ˈpʰič̣o̱,mosquito,ˈpʰiʈʂo̠,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
7905,Gahorabad,ˈpʰič̣u,mosquito,ˈpʰiʈʂu,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
7916,ChilasKhinar,ˈpʰič̣u̱,mosquito,ˈpʰiʈʂu̠,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
7918,ChilasJelil,ˈpʰič̣u̱,mosquito,ˈpʰiʈʂu̠,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
7920,Darel,ˈpʰič̣u,mosquito,ˈpʰiʈʂu,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
7921,Darel,ˈpʰič̣ʌ,mosquito,ˈpʰiʈʂɜ,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
7922,Tangir,ˈpʰič̣u,mosquito,ˈpʰiʈʂu,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
7924,Sazin,ˈpʰič̣o̱,mosquito,ˈpʰiʈʂo̠,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
7925,Harban,ˈpʰič̣o,mosquito,ˈpʰiʈʂo,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
7928,Kolai,ˈpʰiču̥,mosquito,ˈpʰitɕu̥,9085,0.333,Haramosh,pʰɪˈti,audited close correspondence
8609,Haramosh,bʌzᶺˈkɑl,evening,bɜz̪ɜˈkɑl,11626,0.286,Punial,bɪlʌˈkɑɑl,audited close correspondence
8629,Darel,bɪˈlɑdɑ,evening,bɪˈlɑdɑ,11626,0.333,ChilasKhinar,biˈlɑko̱,audited close correspondence
8800,NagarThol,sɑl,year,s̪ɑl,3084,0.333,Pashto,kɑl,audited close correspondence
8806,Haramosh,sɑl,year,s̪ɑl,3084,0.333,Pashto,kɑl,audited close correspondence
8810,Bunji,sɑl,year,s̪ɑl,3084,0.333,Pashto,kɑl,audited close correspondence
8814,DashkinAstor,sɑl,year,s̪ɑl,3084,0.333,Pashto,kɑl,audited close correspondence
8816,Astor,sɑl,year,s̪ɑl,3084,0.333,Pashto,kɑl,audited close correspondence
8821,Gultari,sɑl,year,s̪ɑl,3084,0.333,Pashto,kɑl,audited close correspondence
8823,Kharmang,sɑl,year,s̪ɑl,3084,0.333,Pashto,kɑl,audited close correspondence
9138,KachuraJel,čɑˈŋo,cold,tɕɑˈŋo,6013,0.200,DashkinAstor,č̣ɑˈõ,unique close phonological match
9140,Satpara,čɑˈŋo,cold,tɕɑˈŋo,6013,0.200,DashkinAstor,č̣ɑˈõ,unique close phonological match
9147,ChilasJelil,č̣ɑˈŋo,cold,ʈʂɑˈŋo,6013,0.200,DashkinAstor,č̣ɑˈõ,unique close phonological match
9149,Darel,č̣ɑˈŋo,cold,ʈʂɑˈŋo,6013,0.200,DashkinAstor,č̣ɑˈõ,unique close phonological match
9251,Gupis,dur̃,far,d̪ur̪,6495,0.000,Urdu,dur,unique close phonological match
10282,HunzaNasirabad,ˈʌlʌk ˈʌlʌk,different,ˈɜlɜk+ˈɜlɜk,700,0.250,Gahorabad,ɑlʌk ɑlʌk,unique close phonological match
174,Urdu,pʰul gobi,cauliflower,pʰul+gobi,4270,0.500,Pashto,gobi,shared lexical component
176,Pashto,gwʌl gopi,cauliflower,gβ̞ɜl+gopi,4270,0.500,Sazin,gopi,shared lexical component
179,Urdu,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
180,Pashto,bʌn gobi,cabbage,bɜn̪+gobi,4270,0.429,Hussainabad,gobi,shared lexical component
1081,KhapaluBalti,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
1083,KharmangBalti,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
1085,ChorbatBalti,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
1086,SkarduPurki,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
1197,ChorbatBalti,pʰišo,mosquito,pʰiɕo,9085,0.167,UyumNagar,ˈpʰič̣o,unique close phonological match
2409,Hussainabad,ˈsɪndʌ,river,ˈs̪ɪn̪dɜ,13415,0.200,Pashto,sind,unique close phonological match
2410,Murtazabad,ˈsɪndʌ,river,ˈs̪ɪn̪dɜ,13415,0.200,Pashto,sind,unique close phonological match
2411,Haiderabad,ˈsɪndʌ,river,ˈs̪ɪn̪dɜ,13415,0.200,Pashto,sind,unique close phonological match
2412,Ganish,ˈsɪndʌ,river,ˈs̪ɪn̪dɜ,13415,0.200,Pashto,sind,unique close phonological match
2413,NazimabadUpperSust,ˈsɪndʌ,river,ˈs̪ɪn̪dɜ,13415,0.200,Pashto,sind,unique close phonological match
2414,UyumNagar,ˈsɪndʌ,river,ˈs̪ɪn̪dɜ,13415,0.200,Pashto,sind,unique close phonological match
2415,Hoper,ˈsɪndʌ,river,ˈs̪ɪn̪dɜ,13415,0.200,Pashto,sind,unique close phonological match
2417,ThuiYasin,ˈsɪndʌ,river,ˈs̪ɪn̪dɜ,13415,0.200,Pashto,sind,unique close phonological match
2602,Ganish,kiˈlʌ,banana,kiˈlɜ,2712,0.250,Hussainabad,keˈlʌ,unique close phonological match
2604,UyumNagar,kiˈlʌ,banana,kiˈlɜ,2712,0.250,Hussainabad,keˈlʌ,unique close phonological match
2605,Hoper,kiˈlʌ,banana,kiˈlɜ,2712,0.250,Hussainabad,keˈlʌ,unique close phonological match
2607,ThuiYasin,kɪˈlʌ,banana,kɪˈlɜ,2712,0.250,Hussainabad,keˈlʌ,unique close phonological match
2697,Hussainabad,pʰul gobi,cauliflower,pʰul+gobi,4270,0.500,Pashto,gobi,shared lexical component
2700,Ganish,gobi ˈyɑṭumut͡s,cauliflower,gobi+ˈjɑʈumuts̪,4270,0.667,Pashto,gobi,shared lexical component
2701,NazimabadUpperSust,tʰʌr gobi,cauliflower,t̪ʰɜr̪+gobi,4270,0.500,Pashto,gobi,shared lexical component
2703,Hoper,pʰul gobi,cauliflower,pʰul+gobi,4270,0.500,Pashto,gobi,shared lexical component
2704,YasinCenter,pʰul gobi,cauliflower,pʰul+gobi,4270,0.500,Pashto,gobi,shared lexical component
2705,ThuiYasin,bʌn gubi,cauliflower,bɜn̪+gubi,4270,0.429,Shimshal,gubi,shared lexical component
2717,Haiderabad,bʌn gobi,cabbage,bɜn̪+gobi,4270,0.429,Hussainabad,gobi,shared lexical component
2719,NazimabadUpperSust,bʌn gobi,cabbage,bɜn̪+gobi,4270,0.429,Hussainabad,gobi,shared lexical component
2720,UyumNagar,mɑltʌṣ̌ gobi,cabbage,mɑlt̪ɜʂ+gobi,4270,0.600,Hussainabad,gobi,shared lexical component
2721,Hoper,bʌn gobi,cabbage,bɜn̪+gobi,4270,0.429,Hussainabad,gobi,shared lexical component
2722,YasinCenter,bʌnd gobi,cabbage,bɜn̪d+gobi,4270,0.500,Hussainabad,gobi,shared lexical component
2796,Hussainabad,hiṣ̌mɑˈhiiṣ̌,buffalo,hiʂmɑˈhiiʂ,10113,0.000,Domaaki,hiṣ̌mɑhíiṣ̌,shared lexical component
2797,Murtazabad,hiṣ̌mɑˈhiiṣ̌,buffalo,hiʂmɑˈhiiʂ,10113,0.000,Domaaki,hiṣ̌mɑhíiṣ̌,shared lexical component
2798,Haiderabad,hiṣ̌mɑˈhiiṣ̌,buffalo,hiʂmɑˈhiiʂ,10113,0.000,Domaaki,hiṣ̌mɑhíiṣ̌,shared lexical component
2799,Ganish,hiṣ̌mɑˈhiiṣ̌,buffalo,hiʂmɑˈhiiʂ,10113,0.000,Domaaki,hiṣ̌mɑhíiṣ̌,shared lexical component
