Tab,Sheet_Row,Variant,Form,Gloss,Page,Legacy_Key,Score,Reason
Nagaraja,23,1,kudari,pickaxe – single sided,,nagaraja2014-wiktionary:1053,1.0000,exact_form_gloss
Nagaraja,24,1,mata-be,"to be intoxicated, get dizzy",,nagaraja2014-wiktionary:1123,1.0000,exact_form_gloss
Nagaraja,25,1,pakka,"definite, good",,nagaraja2014-wiktionary:1302,1.0000,exact_form_gloss
Nagaraja,26,1,poːra tiwaːr,Pora festival,,nagaraja2014-wiktionary:1405,1.0000,exact_form_gloss
Nagaraja,27,1,sirap,only,,nagaraja2014-wiktionary:1542,1.0000,exact_form_gloss
Nagaraja,28,1,koːgon jeher,(old word) venom of snake,,nagaraja2014-wiktionary:1040,1.0000,exact_form_gloss
Nagaraja,29,1,acaːnak,all of a sudden,,nagaraja2014-wiktionary:1,1.0000,exact_form_gloss
Nagaraja,30,1,ajigaːr,python,,nagaraja2014-wiktionary:18,1.0000,exact_form_gloss
Nagaraja,31,1,aːṭho,eight,,nagaraja2014-wiktionary:83,1.0000,exact_form_gloss
Nagaraja,32,1,aːdat,habit,,nagaraja2014-wiktionary:57,1.0000,exact_form_gloss
Nagaraja,33,1,biḍi aːdha,one half,,nagaraja2014-wiktionary:244,1.0000,exact_form_gloss
Nagaraja,34,1,ulṭa,"up side down, opposite",,nagaraja2014-wiktionary:1673,1.0000,exact_form_gloss
Nagaraja,35,1,kaːkri,cucumber,,nagaraja2014-wiktionary:916,1.0000,exact_form_gloss
Nagaraja,36,1,kupra,"cloth, lady’s",,nagaraja2014-wiktionary:1058,1.0000,exact_form_gloss
Nagaraja,37,1,kemṭi-ki,to reduce (e.g. price),,nagaraja2014-wiktionary:940,1.0000,exact_form_gloss
Nagaraja,38,1,kemṭi,"less, a little, a few",,nagaraja2014-wiktionary:939,1.0000,exact_form_gloss
Nagaraja,38,2,kemti,"less, a little, a few",,nagaraja2014-wiktionary:939:v2,1.0000,exact_form_gloss
Nagaraja,39,1,kasay,butcher – (cattle),,nagaraja2014-wiktionary:890,1.0000,exact_form_gloss
Nagaraja,40,1,kaːc,glass,,nagaraja2014-wiktionary:911,1.0000,exact_form_gloss
Nagaraja,41,1,kimmat,price,,nagaraja2014-wiktionary:1012,1.0000,exact_form_gloss
Nagaraja,42,1,kunji,key (of a lock),,nagaraja2014-wiktionary:1057,1.0000,exact_form_gloss
Nagaraja,43,1,kaysi,scissor,,nagaraja2014-wiktionary:909,1.0000,exact_form_gloss
Nagaraja,44,1,kohal,cuckoo,,nagaraja2014-wiktionary:1022,1.0000,exact_form_gloss
Nagaraja,45,1,khaːṭa,sour,,nagaraja2014-wiktionary:971,1.0000,exact_form_gloss
Nagaraja,46,1,khaːli,empty,,nagaraja2014-wiktionary:973,1.0000,exact_form_gloss
Nagaraja,47,1,kheːto,field (land),,nagaraja2014-wiktionary:980,1.0000,exact_form_gloss
Nagaraja,48,1,gardan,neck,,nagaraja2014-wiktionary:599,1.0000,exact_form_gloss
Nagaraja,49,1,gelti-jere,to commit mistake,,nagaraja2014-wiktionary:620,1.0000,exact_form_gloss
Nagaraja,50,1,gajre,carrot,,nagaraja2014-wiktionary:593,1.0000,exact_form_gloss
Nagaraja,51,1,ga(ː)ra,cart (bullock),,nagaraja2014-wiktionary:607,1.0000,exact_form_gloss
Nagaraja,51,2,gaːṛi,cart (bullock),,nagaraja2014-wiktionary:607:v2,1.0000,exact_form_gloss
Nagaraja,52,1,gaːyab,to vanish,,nagaraja2014-wiktionary:615,1.0000,exact_form_gloss
Nagaraja,53,1,gaːl,cheek,,nagaraja2014-wiktionary:608,1.0000,exact_form_gloss
Nagaraja,54,1,giru,red ochre,,nagaraja2014-wiktionary:659,1.0000,exact_form_gloss
Nagaraja,55,1,genḍa,rhinoceros,,nagaraja2014-wiktionary:622,1.0000,exact_form_gloss
Nagaraja,56,1,goːl,round,,nagaraja2014-wiktionary:681,1.0000,exact_form_gloss
Nagaraja,57,1,cakri oːra,whirlwind,,nagaraja2014-wiktionary:311,1.0000,exact_form_gloss
Nagaraja,58,1,phaṭaːkri cappal,slipper – female only,,nagaraja2014-wiktionary:1376,1.0000,exact_form_gloss
Nagaraja,59,1,cappal,slipper,,nagaraja2014-wiktionary:317,1.0000,exact_form_gloss
Nagaraja,60,1,casma,eyeglass,,nagaraja2014-wiktionary:324,1.0000,exact_form_gloss
Nagaraja,61,1,caːko,wheel,,nagaraja2014-wiktionary:336,1.0000,exact_form_gloss
Nagaraja,62,1,caːku,knife,,nagaraja2014-wiktionary:339,1.0000,exact_form_gloss
Nagaraja,63,1,ciṭṭhi,letter,,nagaraja2014-wiktionary:404,1.0000,exact_form_gloss
Nagaraja,64,1,coːle,"cooking local stove, oven",,nagaraja2014-wiktionary:417,1.0000,exact_form_gloss
Nagaraja,65,1,cawḍa,broad,,nagaraja2014-wiktionary:328,1.0000,exact_form_gloss
Nagaraja,66,1,chaːti,chest,,nagaraja2014-wiktionary:375,1.0000,exact_form_gloss
Nagaraja,67,1,jakam/jekhmi,wound,,nagaraja2014-wiktionary:777,1.0000,exact_form_gloss
Nagaraja,68,1,jango,rust (n.),,nagaraja2014-wiktionary:783,1.0000,exact_form_gloss
Nagaraja,69,1,jango peṭe(k)-be,to get rusted,,nagaraja2014-wiktionary:784,1.0000,exact_form_gloss
Nagaraja,70,1,jebrya,jaw,,nagaraja2014-wiktionary:800,1.0000,exact_form_gloss
Nagaraja,71,1,jawaːn,young,,nagaraja2014-wiktionary:787,1.0000,exact_form_gloss
Nagaraja,72,1,jeher,poison,,nagaraja2014-wiktionary:801,1.0000,exact_form_gloss
Nagaraja,73,1,jaːn-,to know,,nagaraja2014-wiktionary:797,1.0000,exact_form_gloss
Nagaraja,74,1,jara,fever,,nagaraja2014-wiktionary:785,1.0000,exact_form_gloss
Nagaraja,75,1,joːri,a pair,,nagaraja2014-wiktionary:842,1.0000,exact_form_gloss
Nagaraja,76,1,joːrki,loudly,,nagaraja2014-wiktionary:843,1.0000,exact_form_gloss
Nagaraja,77,1,taːgo jagṛa-,quarrel between two groups,,nagaraja2014-wiktionary:1591,1.0000,exact_form_gloss
Nagaraja,78,1,jhanḍa,flag,,nagaraja2014-wiktionary:809,1.0000,exact_form_gloss
Nagaraja,79,1,ṭakkara-be,to collide,,nagaraja2014-wiktionary:1632,1.0000,exact_form_gloss
Nagaraja,80,1,ṭakkara,challenge,,nagaraja2014-wiktionary:1631,1.0000,exact_form_gloss
Nagaraja,81,1,ḍhila(ː)y,loose,,nagaraja2014-wiktionary:505,1.0000,exact_form_gloss
Nagaraja,82,1,ṭaːmko,tobacco,,nagaraja2014-wiktionary:1636,1.0000,exact_form_gloss
Nagaraja,83,1,takḍo,strength,,nagaraja2014-wiktionary:1580,1.0000,exact_form_gloss
Nagaraja,84,1,takliːpo,trouble,,nagaraja2014-wiktionary:1581,1.0000,exact_form_gloss
Nagaraja,85,1,taːraːḍḍo,palm tree,,nagaraja2014-wiktionary:1593,1.0000,exact_form_gloss
Nagaraja,86,1,tisra,third,,nagaraja2014-wiktionary:1616,1.0000,exact_form_gloss
Nagaraja,87,1,tisrapaːr,afternoon,,nagaraja2014-wiktionary:1617,1.0000,exact_form_gloss
Nagaraja,88,1,teːjo,sharp,,nagaraja2014-wiktionary:1599,1.0000,exact_form_gloss
Nagaraja,89,1,tel,oil,,nagaraja2014-wiktionary:1595,1.0000,exact_form_gloss
Nagaraja,90,1,tiwaːr,festival,,nagaraja2014-wiktionary:1618,1.0000,exact_form_gloss
Nagaraja,91,1,thapṭi,clap,,nagaraja2014-wiktionary:1606,1.0000,exact_form_gloss
Nagaraja,92,1,thora,a little,,nagaraja2014-wiktionary:1610,1.0000,exact_form_gloss
Nagaraja,93,1,dam,breath,,nagaraja2014-wiktionary:432,1.0000,exact_form_gloss
Nagaraja,94,1,darji,tailor,,nagaraja2014-wiktionary:435,1.0000,exact_form_gloss
Nagaraja,95,1,deccho,ten,,nagaraja2014-wiktionary:468,1.0000,exact_form_gloss
Nagaraja,96,1,ḍhẽyã,curd,,nagaraja2014-wiktionary:503,1.0000,exact_form_gloss
Nagaraja,97,1,dil jerey,"to wish, to be in love with",,nagaraja2014-wiktionary:521,1.0000,exact_form_gloss
Nagaraja,98,1,duːdo,milk,,nagaraja2014-wiktionary:558,1.0000,exact_form_gloss
Nagaraja,99,1,duːdomenge,milk tooth,,nagaraja2014-wiktionary:559,1.0000,exact_form_gloss
Nagaraja,100,1,duːsra,second,,nagaraja2014-wiktionary:560,1.0000,exact_form_gloss
Nagaraja,101,1,dherti ekhaːy,earthquake,,nagaraja2014-wiktionary:501,1.0000,exact_form_gloss
Nagaraja,102,1,dharti,earth,,nagaraja2014-wiktionary:489,1.0000,exact_form_gloss
Nagaraja,102,2,dherti,earth,,nagaraja2014-wiktionary:489:v2,1.0000,exact_form_gloss
Nagaraja,103,1,dherti,earth,,nagaraja2014-wiktionary:500,1.0000,exact_form_gloss
Nagaraja,104,1,dhoːkhaː-be,to cheat,,nagaraja2014-wiktionary:509,1.0000,exact_form_gloss
Nagaraja,105,1,nakkho,nail (of finger),,nagaraja2014-wiktionary:1203,1.0000,exact_form_gloss
Nagaraja,106,1,narom,soft,,nagaraja2014-wiktionary:1216,1.0000,exact_form_gloss
Nagaraja,107,1,naːri,"nerve, vein",,nagaraja2014-wiktionary:1231,1.0000,exact_form_gloss
Nagaraja,107,2,naːsa,"nerve, vein",,nagaraja2014-wiktionary:1231:v2,1.0000,exact_form_gloss
Nagaraja,108,1,nahni,bathing/washing place,,nagaraja2014-wiktionary:1201,1.0000,exact_form_gloss
Nagaraja,109,1,nimbu,lemon,,nagaraja2014-wiktionary:1245,1.0000,exact_form_gloss
Nagaraja,110,1,niːmbo aːḍḍo,neem tree,,nagaraja2014-wiktionary:1251,1.0000,exact_form_gloss
Nagaraja,111,1,lilaːmi-,to auction,,nagaraja2014-wiktionary:1098,1.0000,exact_form_gloss
Nagaraja,112,1,naw,nine,,nagaraja2014-wiktionary:1221,1.0000,exact_form_gloss
Nagaraja,113,1,nawhaːji,new skin (e.g. as of a snake),,nagaraja2014-wiktionary:1223,1.0000,exact_form_gloss
Nagaraja,114,1,pankha,fan,,nagaraja2014-wiktionary:1305,1.0000,exact_form_gloss
Nagaraja,115,1,pariwar,family,,nagaraja2014-wiktionary:1310,1.0000,exact_form_gloss
Nagaraja,116,1,pãːsõ,five,,nagaraja2014-wiktionary:1349,1.0000,exact_form_gloss
Nagaraja,117,1,paːn,betel leaf,,nagaraja2014-wiktionary:1334,1.0000,exact_form_gloss
Nagaraja,118,1,paːn ṭaːnḍa,plantation – betel,,nagaraja2014-wiktionary:1335,1.0000,exact_form_gloss
Nagaraja,119,1,puːl,bridge,,nagaraja2014-wiktionary:1435,1.0000,exact_form_gloss
Nagaraja,120,1,pustok,book,,nagaraja2014-wiktionary:1429,1.0000,exact_form_gloss
Nagaraja,121,1,iːr pustok,two books,,nagaraja2014-wiktionary:766,1.0000,exact_form_gloss
Nagaraja,122,1,paːyri,step,,nagaraja2014-wiktionary:1348,1.0000,exact_form_gloss
Nagaraja,123,1,puːco-be,to wipe away/out,,nagaraja2014-wiktionary:1433,1.0000,exact_form_gloss
Nagaraja,124,1,pha(ː)wra,spade (to remove weed),,nagaraja2014-wiktionary:1372,1.0000,exact_form_gloss
Nagaraja,125,1,bakru,kid,,nagaraja2014-wiktionary:111,1.0000,exact_form_gloss
Nagaraja,126,1,bhaggo,stork (bird),,nagaraja2014-wiktionary:196,1.0000,exact_form_gloss
Nagaraja,127,1,backa/baska,"little, small, young",,nagaraja2014-wiktionary:91,1.0000,exact_form_gloss
Nagaraja,128,1,backari,child,,nagaraja2014-wiktionary:92,1.0000,exact_form_gloss
Nagaraja,129,1,backa akhanḍa,finger – little,,nagaraja2014-wiktionary:89,1.0000,exact_form_gloss
Nagaraja,130,1,basḍa,calf – (female),,nagaraja2014-wiktionary:127,1.0000,exact_form_gloss
Nagaraja,131,1,banḍo-be,"to close, shut (door) (intr.)",,nagaraja2014-wiktionary:118,1.0000,exact_form_gloss
Nagaraja,132,1,banḍo-kama-,to close (door) (tr.),,nagaraja2014-wiktionary:119,1.0000,exact_form_gloss
Nagaraja,133,1,baːrsaḍo,monsoon,,nagaraja2014-wiktionary:149,1.0000,exact_form_gloss
Nagaraja,134,1,baːba,father’s elder brother; father’s father,,nagaraja2014-wiktionary:139,1.0000,exact_form_gloss
Nagaraja,135,1,bijli,lightening,,nagaraja2014-wiktionary:255,1.0000,exact_form_gloss
Nagaraja,136,1,bidakam-be,to say goodbye,,nagaraja2014-wiktionary:241,1.0000,exact_form_gloss
Nagaraja,137,1,beymaːr-be,to become sick,,nagaraja2014-wiktionary:180,1.0000,exact_form_gloss
Nagaraja,138,1,bana-,to make cloth,,nagaraja2014-wiktionary:116,1.0000,exact_form_gloss
Nagaraja,139,1,buraːso,"bad, spoiled",,nagaraja2014-wiktionary:289,1.0000,exact_form_gloss
Nagaraja,140,1,bulbul,bubble,,nagaraja2014-wiktionary:285,1.0000,exact_form_gloss
Nagaraja,141,1,beːkaːr,"bad, useless",,nagaraja2014-wiktionary:185,1.0000,exact_form_gloss
Nagaraja,142,1,beːkaːrghani,bad smell,,nagaraja2014-wiktionary:186,1.0000,exact_form_gloss
Nagaraja,143,1,beːkaːr-kam-be,to get spoiled,,nagaraja2014-wiktionary:187,1.0000,exact_form_gloss
Nagaraja,144,1,beːhoːsi,to lose consciousness,,nagaraja2014-wiktionary:184,1.0000,exact_form_gloss
Nagaraja,145,1,bhaːnḍa,"pot, vessel",,nagaraja2014-wiktionary:214,1.0000,exact_form_gloss
Nagaraja,146,1,bhaːnḍa-kunḍa,"vessels, etc.",,nagaraja2014-wiktionary:215,1.0000,exact_form_gloss
Nagaraja,147,1,bhaːri,"heavy, difficult",,nagaraja2014-wiktionary:216,1.0000,exact_form_gloss
Nagaraja,148,1,bhaːw,price/value,,nagaraja2014-wiktionary:217,1.0000,exact_form_gloss
Nagaraja,149,1,bi,also,,nagaraja2014-wiktionary:239,1.0000,exact_form_gloss
Nagaraja,150,1,bhuːl,to forget,,nagaraja2014-wiktionary:237,1.0000,exact_form_gloss
Nagaraja,151,1,bhedra,tomato,,nagaraja2014-wiktionary:220,1.0000,exact_form_gloss
Nagaraja,152,1,maṭṭo,vote,,nagaraja2014-wiktionary:1124,1.0000,exact_form_gloss
Nagaraja,153,1,misan,machine,,nagaraja2014-wiktionary:1168,1.0000,exact_form_gloss
Nagaraja,154,1,masur,lentils,,nagaraja2014-wiktionary:1122,1.0000,exact_form_gloss
Nagaraja,155,1,maːlik,"owner, god",,nagaraja2014-wiktionary:1130,1.0000,exact_form_gloss
Nagaraja,156,1,mirca,chilly,,nagaraja2014-wiktionary:1165,1.0000,exact_form_gloss
Nagaraja,157,1,mucha,moustache,,nagaraja2014-wiktionary:1185,1.0000,exact_form_gloss
Nagaraja,158,1,meyndaːn,plain (land),,nagaraja2014-wiktionary:1150,1.0000,exact_form_gloss
Nagaraja,159,1,mawn-jere-be,to be silent,,nagaraja2014-wiktionary:1125,1.0000,exact_form_gloss
Nagaraja,160,1,ranḍa,carpenter’s plane,,nagaraja2014-wiktionary:1446,1.0000,exact_form_gloss
Nagaraja,161,1,rupya,rupee,,nagaraja2014-wiktionary:1472,1.0000,exact_form_gloss
Nagaraja,162,1,rakkil,line,,nagaraja2014-wiktionary:1445,1.0000,exact_form_gloss
Nagaraja,163,1,layrikhil,line in middle of the tongue,,nagaraja2014-wiktionary:1084,1.0000,exact_form_gloss
Nagaraja,164,1,roːjo,daily,,nagaraja2014-wiktionary:1470,1.0000,exact_form_gloss
Nagaraja,165,1,lusun,garlic,,nagaraja2014-wiktionary:1105,1.0000,exact_form_gloss
Nagaraja,166,1,laṭṭo-be,to kick,,nagaraja2014-wiktionary:1081,1.0000,exact_form_gloss
Nagaraja,167,1,sunduko,box,,nagaraja2014-wiktionary:1567,1.0000,exact_form_gloss
Nagaraja,168,1,sumjo-be,to understand,,nagaraja2014-wiktionary:1565,1.0000,exact_form_gloss
Nagaraja,169,1,saːto,seven,,nagaraja2014-wiktionary:1512,1.0000,exact_form_gloss
Nagaraja,170,1,eːrisaːl,last year,,nagaraja2014-wiktionary:589,1.0000,exact_form_gloss
Nagaraja,171,1,saːl,year,,nagaraja2014-wiktionary:1505,1.0000,exact_form_gloss
Nagaraja,172,1,siːko-be,to learn,,nagaraja2014-wiktionary:1548,1.0000,exact_form_gloss
Nagaraja,173,1,siːda,straight,,nagaraja2014-wiktionary:1547,1.0000,exact_form_gloss
Nagaraja,174,1,seːp,apple,,nagaraja2014-wiktionary:1525,1.0000,exact_form_gloss
Nagaraja,175,1,socatini-be,to think,,nagaraja2014-wiktionary:1552,1.0000,exact_form_gloss
Nagaraja,176,1,hetti,elephant,,nagaraja2014-wiktionary:720,1.0000,exact_form_gloss
Nagaraja,177,1,haraṭini,to defeat,,nagaraja2014-wiktionary:701,1.0000,exact_form_gloss
Nagaraja,178,1,birṭom,father-in-law,,nagaraja2014-wiktionary:259,1.0000,exact_form_gloss
Nagaraja,179,1,birtom napyom,mother-in-law,,nagaraja2014-wiktionary:260,1.0000,exact_form_gloss
Nagaraja,180,1,disoːki,show,,nagaraja2014-wiktionary:525,1.0000,exact_form_gloss
Nagaraja,181,1,diːso-ka,to look good,,nagaraja2014-wiktionary:529,1.0000,exact_form_gloss
Nagaraja,182,1,beddiso,"opaque, not clearly visible",,nagaraja2014-wiktionary:160,1.0000,exact_form_gloss
Nagaraja,183,1,girbo,poor man,,,,unmatched
Nagaraja,184,1,ḍhoːl,drum (musical),,nagaraja2014-wiktionary:515,1.0000,exact_form_gloss
Nagaraja,185,1,aḍek,to burn (intr.),,nagaraja2014-wiktionary:6,1.0000,exact_form_gloss
Nagaraja,186,1,aḍek-kamaː-be,to kindle (tr.),,nagaraja2014-wiktionary:7,1.0000,exact_form_gloss
Nagaraja,187,1,akoṛa,hook,,nagaraja2014-wiktionary:27,1.0000,exact_form_gloss
Nagaraja,188,1,bhaːga,"big, older",,nagaraja2014-wiktionary:207,1.0000,exact_form_gloss
Nagaraja,189,1,bhagaːn,loudly,,nagaraja2014-wiktionary:191,1.0000,exact_form_gloss
Nagaraja,190,1,bhagel,"big, long",,nagaraja2014-wiktionary:193,1.0000,exact_form_gloss
Nagaraja,191,1,bhagel hela,all big people,,nagaraja2014-wiktionary:194,1.0000,exact_form_gloss
Nagaraja,192,1,bhakka,big,,nagaraja2014-wiktionary:199,1.0000,exact_form_gloss
Nagaraja,193,1,bhayan,very (intensifier),,nagaraja2014-wiktionary:206,1.0000,exact_form_gloss
Nagaraja,194,1,bhaːga-be,to grow,,nagaraja2014-wiktionary:208,1.0000,exact_form_gloss
Nagaraja,195,1,bhaːga,very (broad),,nagaraja2014-wiktionary:209,1.0000,exact_form_gloss
Nagaraja,196,1,bhaːga minḍi,late night,,nagaraja2014-wiktionary:213,1.0000,exact_form_gloss
Nagaraja,197,1,bolgo,bear (n.),,nagaraja2014-wiktionary:273,1.0000,exact_form_gloss
Nagaraja,198,1,biṭṭhaːw,to join,,nagaraja2014-wiktionary:264,1.0000,exact_form_gloss
Nagaraja,199,1,biṭṭhaːwi,all fall into one place,,nagaraja2014-wiktionary:265,1.0000,exact_form_gloss
Nagaraja,200,1,bhum cippoka,to have relation with more than one man/woman,,nagaraja2014-wiktionary:232,1.0000,exact_form_gloss
Nagaraja,201,1,bhum-be,"to roam (a tiger), wander",,nagaraja2014-wiktionary:233,1.0000,exact_form_gloss
Nagaraja,202,1,bhum-bhum-ka,wandering-wandering,,nagaraja2014-wiktionary:234,1.0000,exact_form_gloss
Nagaraja,203,1,bakkuḍi,"to cringe, withdraw (in fear)",,nagaraja2014-wiktionary:110,1.0000,exact_form_gloss
Nagaraja,204,1,cacom,to taste good,,nagaraja2014-wiktionary:302,1.0000,exact_form_gloss
Nagaraja,205,1,citra,deer,,nagaraja2014-wiktionary:402,1.0000,exact_form_gloss
Nagaraja,206,1,co,urine,,,,unmatched
Nagaraja,206,2,cyo,urine,,,,unmatched
Nagaraja,207,1,co,to urinate,,,,unmatched
Nagaraja,207,2,cyo-be,to urinate,,nagaraja2014-wiktionary:409,0.8800,conservative_fuzzy
Nagaraja,208,1,cyoːkamaː-,to make to urinate,,nagaraja2014-wiktionary:429,1.0000,exact_form_gloss
Nagaraja,209,1,daːnḍya,stick,,nagaraja2014-wiktionary:448,1.0000,exact_form_gloss
Nagaraja,210,1,daːr-be,to pound (spices),,nagaraja2014-wiktionary:451,1.0000,exact_form_gloss
Nagaraja,211,1,dhapri,bank of river,,nagaraja2014-wiktionary:485,1.0000,exact_form_gloss
Nagaraja,212,1,gegeliya,"useless, unworthy",,nagaraja2014-wiktionary:617,1.0000,exact_form_gloss
Nagaraja,212,2,gengeliya,"useless, unworthy",,nagaraja2014-wiktionary:617:v2,1.0000,exact_form_gloss
Nagaraja,213,1,gegeliya,"useless, unworthy",,nagaraja2014-wiktionary:623,1.0000,exact_form_gloss
Nagaraja,213,2,gengeliya,"useless, unworthy",,nagaraja2014-wiktionary:623:v2,1.0000,exact_form_gloss
Nagaraja,214,1,he(ː)la,all,,nagaraja2014-wiktionary:716,1.0000,exact_form_gloss
Nagaraja,215,1,helle-helle,"this much, a handful",,nagaraja2014-wiktionary:717,1.0000,exact_form_gloss
Nagaraja,216,1,okuṛ-,hiccough,,nagaraja2014-wiktionary:1260,1.0000,exact_form_gloss
Nagaraja,217,1,jhaka-jhoko,to stagger (due to intoxication),,nagaraja2014-wiktionary:807,1.0000,exact_form_gloss
Nagaraja,218,1,jugu-jugu,to stagger (due to heavy load),,nagaraja2014-wiktionary:844,1.0000,exact_form_gloss
Nagaraja,219,1,senajhapon,mushroom grown in cow dung,,nagaraja2014-wiktionary:1520,1.0000,exact_form_gloss
Nagaraja,220,1,jhap(p)on,mushroom,,nagaraja2014-wiktionary:810,1.0000,exact_form_gloss
Nagaraja,221,1,khilaːri,"pulley, water wheel",,nagaraja2014-wiktionary:983,1.0000,exact_form_gloss
Nagaraja,222,1,kaːw,flesh,,nagaraja2014-wiktionary:934,1.0000,exact_form_gloss
Nagaraja,223,1,minjaːr,"inside, between",,nagaraja2014-wiktionary:1162,1.0000,exact_form_gloss
Nagaraja,223,2,mijaːr,"inside, between",,nagaraja2014-wiktionary:1162:v2,1.0000,exact_form_gloss
Nagaraja,224,1,minjaːr akhanḍa,finger – middle,,nagaraja2014-wiktionary:1163,1.0000,exact_form_gloss
Nagaraja,225,1,meːkha,sting of bee,,nagaraja2014-wiktionary:1151,1.0000,exact_form_gloss
Nagaraja,226,1,raːpi,blade – shaving,,nagaraja2014-wiktionary:1458,1.0000,exact_form_gloss
Nagaraja,227,1,barbar-,to speak indistinctly,,nagaraja2014-wiktionary:124,1.0000,exact_form_gloss
Nagaraja,228,1,kaːrya deːwta,a god in forest,,nagaraja2014-wiktionary:929,1.0000,exact_form_gloss
Nagaraja,229,1,dharampaːlso,adopted child,,nagaraja2014-wiktionary:487,1.0000,exact_form_gloss
Nagaraja,230,1,dhaw,to wash (cloth),,nagaraja2014-wiktionary:491,1.0000,exact_form_gloss
Nagaraja,231,1,ḍholla,hollow (of a tree),,nagaraja2014-wiktionary:510,1.0000,exact_form_gloss
Nagaraja,232,1,duy,smoke,,nagaraja2014-wiktionary:557,1.0000,exact_form_gloss
Nagaraja,233,1,jid,"a bet, to bet",,nagaraja2014-wiktionary:820,1.0000,exact_form_gloss
Nagaraja,233,2,jit-kamay,"a bet, to bet",,nagaraja2014-wiktionary:820:v2,1.0000,exact_form_gloss
Nagaraja,234,1,ḍaːla,big basket – for keeping chicks,,nagaraja2014-wiktionary:463,1.0000,exact_form_gloss
Nagaraja,235,1,ghani,fragrance,,nagaraja2014-wiktionary:633,1.0000,exact_form_gloss
Nagaraja,236,1,ghani,to smell,,,,unmatched
Nagaraja,237,1,ghani kokoyñ,ant – very small type,,nagaraja2014-wiktionary:634,0.9246,conservative_fuzzy
Nagaraja,238,1,hokuṭ-,to hiccough,,nagaraja2014-wiktionary:734,1.0000,exact_form_gloss
Nagaraja,239,1,him-,to feel cold,,nagaraja2014-wiktionary:723,1.0000,exact_form_gloss
Nagaraja,240,1,him(ka),cold,,nagaraja2014-wiktionary:724,1.0000,exact_form_gloss
Nagaraja,241,1,kakheñ,comb (n.),,nagaraja2014-wiktionary:859,1.0000,exact_form_gloss
Nagaraja,242,1,kakheñ-be,to comb hair,,nagaraja2014-wiktionary:860,1.0000,exact_form_gloss
Nagaraja,243,1,khaṭṭa,word(s),,nagaraja2014-wiktionary:966,1.0000,exact_form_gloss
Nagaraja,244,1,langka,a god (for a day during Holi festival),,nagaraja2014-wiktionary:1071,1.0000,exact_form_gloss
Nagaraja,245,1,maːyko,mahua (tree/flower),,nagaraja2014-wiktionary:1142,1.0000,exact_form_gloss
Nagaraja,246,1,maytko-ṭa,type of bee found in forest,,nagaraja2014-wiktionary:1129,1.0000,exact_form_gloss
Nagaraja,247,1,dharom maːnso,generous man,,nagaraja2014-wiktionary:488,1.0000,exact_form_gloss
Nagaraja,248,1,gidaːr-niːc-manso,very bad person,,nagaraja2014-wiktionary:655,1.0000,exact_form_gloss
Nagaraja,249,1,maccho,soot,,nagaraja2014-wiktionary:1107,1.0000,exact_form_gloss
