Snapshot_Date,Unit_ID,PDF_Page,Printed_Page,Section,Raw_Record_Type,Raw_Form,Raw_Gloss,Raw_Target_System,Raw_Target_ID,Raw_Claim_Status,Raw_Editorial_Action,Final_Status,Final_Form,Final_Parameter_ID,Final_Claim_Status,Emitted_Keys,Entry_Text_Targets,Resolution,Agent_Correction,Review,Material_Error,Source,Record_SHA256
2026-08-19,p442:s4:u04,4,442,4,attestation,be-,"up, over",DEDR,5086,accepted,add_citation,entry_text_only,,,accepted,,d5078,"comparative, phonological, or dictionary-correction prose retained without fabricating a lexical row",,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 442, §4]",a76705161f8b5e027fcb5dfd9857ac864532108169731031b29400d1199f6ee9
2026-08-19,p442:s3:u02,4,442,3,attestation,bēghing,"to knead, muddle up (and spoil)",none,,unresolved,context_only,entry_text_only,,,unresolved,,d996,"comparative, phonological, or dictionary-correction prose retained without fabricating a lexical row",,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 442, §3]",7d70bbbb6de1572abae70df5f80ec57b091a31bd930bba05287e19764b6d659d
2026-08-19,p443:s7:u06,5,443,7,derivation,pisf-; kasf-/kasif-; ka(h)-,to squeeze; to kill; to die,none,,suggested,record_rule,entry_text_only,,,suggested,,d4135|d4183,"comparative, phonological, or dictionary-correction prose retained without fabricating a lexical row",,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 443, §7]",b11a898663c73ce63ca955c4cae0d6726ae38bf8f6c5cbd35670528d88f4bf29
2026-08-19,p444:s8.2:u02,6,444,8.2,unresolved_etymology,-ūf- in šurūfing,,none,,unresolved,retain_unlinked,installed_form,šurūfing,d2712,accepted,emeneau1997brahui:p444:s8.2:shurufing,d2712,image-checked canonical form installed; accepted links are direct and tentative links use the ranked overlay,cleared spurious previous_target_id,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 444, §8.2]",117295968ee15719366ab70118032106e327d7392e25c1c8b5078d8013c1ac37
2026-08-19,p445:s13:u04,7,445,13,sound_change,*e,,none,,accepted,record_rule,entry_text_only,,,accepted,,d235,"comparative, phonological, or dictionary-correction prose retained without fabricating a lexical row",,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 445, §13]",bdbc4ee64ad80f8553530039b6983d57a91d463955be6c0067ea43cd91c9f445
2026-08-19,p443:s7:u05,5,443,7,reflex_claim,princ-,"to squeeze, squeeze out, etc.",DEDR,4183,accepted,add_citation,entry_text_only,,,accepted,,d4135|d4183,"comparative, phonological, or dictionary-correction prose retained without fabricating a lexical row",,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 443, §7]",7e77f45acb61bbb186e6e81cc48ef9d0b7bc77d6bc16a70ae3048fde92c28cbe
2026-08-19,p443:s6:u04,5,443,6,loan_claim,zhall,"gravel, pebble",none,,suggested,context_only,context_only,,,suggested,,,supporting example or repeated context; no independent installation action,,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 443, §6]",ee8dce415040ce1660d4283ab5a0b0958cf6588d8d7753cb77097071b8858c04
2026-08-19,p443:s6:u09,5,443,6,reflex_claim,kurring,"to shrink from, etc.",DEDR,2687,accepted,add_citation,entry_text_only,,,accepted,,d1876|d2687,"comparative, phonological, or dictionary-correction prose retained without fabricating a lexical row",,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 443, §6]",0672ae445574c5425ea359f7cbcdb6c16c62989cfcfd5a4a34d0c2b0fea7ca12
2026-08-19,p444:s8:u05,6,444,8,sound_change,mašing,"to wash the head, clean the head with fuller’s earth",none,,accepted,record_rule,entry_text_only,,,accepted,,d1876|d2687|d2621|d2712,"comparative, phonological, or dictionary-correction prose retained without fabricating a lexical row",,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 444, §8]",bcf1a639e59a1f21bab31993ef2ad7684c20304e56b67ba4f7cb6672794aa869
2026-08-19,p441:s2.2:u05,3,441,2.2,attestation,pālh; pl. pālhk,milk,none,,accepted,context_only,entry_text_only,,,accepted,,d5078|d996|d4986|d3133|d3098,"comparative, phonological, or dictionary-correction prose retained without fabricating a lexical row",,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 441, §2.2]",77c8fae0dd23219671f3ffd320d359e9cffdeaa9d37fefae44cd908dd8a4f299
