Row,Language_ID,Form,Gloss,Phonemic,Parameter_ID,Distance,Evidence_Language_ID,Evidence_Form,Evidence_Source,Decision,Notes
586,koh,sum,earth,sum,13493,0.000,Phal,sum,CDIAL,no,CDIAL labels the sum earth comparison very doubtful
587,Astor,sum,earth,sum,13493,0.000,Phal,sum,CDIAL,no,CDIAL labels the sum earth comparison very doubtful
591,gil,bu~yá~l,earthquake,bu~yá~l,9550,0.286,Sh,bũyāl,CDIAL,yes,audited Shinaic database match
593,gur,mu~yál,earthquake,mu~yál,9550,0.333,Sh,bũyāl,CDIAL,yes,audited Shinaic database match
596,gil,jeél,forest,jeél,5355,0.250,Sh,jēl,CDIAL,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
597,koh,jeél,forest,jeél,5355,0.250,Sh,jēl,CDIAL,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
598,gur,jeél,forest,jeél,5355,0.250,Sh,jēl,CDIAL,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
611,gil,khaṇ,mountain,khaṇ,3792,0.000,Phal,kʰā̂ṇ,liljegren,yes,audited Shinaic database match
612,koh,khoṇ,mountain,khoṇ,3792,0.000,jij,kʰɔ̌ṇ,CDIAL,yes,audited Shinaic database match
613,koh,khaṇ,mountain,khaṇ,3792,0.000,Phal,kʰā̂ṇ,liljegren,yes,audited Shinaic database match
614,gur,khoṇ,mountain,khoṇ,3792,0.000,jij,kʰɔ̌ṇ,CDIAL,yes,audited Shinaic database match
618,gil,sin,river,sin,13415,0.000,Gupis,sin,backstrom1992,yes,audited Shinaic database match
619,koh,sin,river,sin,13415,0.000,Gupis,sin,backstrom1992,yes,audited Shinaic database match
620,gur,sin,river,sin,13415,0.000,Gupis,sin,backstrom1992,yes,audited Shinaic database match
621,Astor,sin,river,sin,13415,0.000,Gupis,sin,backstrom1992,yes,audited Shinaic database match
626,gil,sígal,sand,sígal,13386,0.000,Kund,sígal,kund,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
627,koh,sígal,sand,sígal,13386,0.000,Kund,sígal,kund,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
630,gil,uts,spring (of water),uts,1869,0.000,Phal,uʦ,liljegren,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
631,koh,utsh,spring (of water),utsh,1869,0.250,Phal,uʦ,liljegren,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
632,gur,uts,spring (of water),uts,1869,0.000,Phal,uʦ,liljegren,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
633,Astor,uts,spring (of water),uts,1869,0.000,Phal,uʦ,liljegren,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
634,gil,baṭ,stone,baṭ,11348,0.000,Phal,bā̂ṭ,liljegren,yes,audited Shinaic database match
635,koh,baṭ,stone,baṭ,11348,0.000,Phal,bā̂ṭ,liljegren,yes,audited Shinaic database match
636,gur,baṭ,stone,baṭ,11348,0.000,Phal,bā̂ṭ,liljegren,yes,audited Shinaic database match
637,Astor,baṭ,stone,baṭ,11348,0.000,Phal,bā̂ṭ,liljegren,yes,audited Shinaic database match
639,gil,philíili,ant,philíili,8201,0.125,Gupis,pʰilīlī,backstrom1992,yes,audited Shinaic database match
640,koh,phibíili,ant,phibíili,8201,0.125,ChilasJelil,pʰibīlī,backstrom1992,yes,audited Shinaic database match
641,gur,pfiliíli,ant,pfiliíli,8201,0.250,Phal,pilī̂lu,liljegren,yes,audited Shinaic database match
642,Astor,philíili,ant,philíili,8201,0.125,Gupis,pʰilīlī,backstrom1992,yes,audited Shinaic database match
651,gil,briṅ,bird,briṅ,10264,0.250,Sh,briŋ,CDIAL,yes,audited Shinaic database match
659,gur,dóonu,bull,dóonu,6273,0.200,Sh,dōnu,CDIAL,yes,audited Shinaic database match
661,koh,bhaák,bull,bhaák,9330,0.200,Sh,bʰāk,CDIAL,yes,audited Shinaic database match
667,koh,púšo,cat (m.),púšo,8298,0.250,Phal,púśi,liljegren,yes,audited Shinaic database match
668,gur,púšu,cat (m.),púšu,8298,0.250,Phal,púśi,liljegren,yes,audited Shinaic database match
672,koh,púši,cat (f.),púši,8298,0.000,Phal,púśi,liljegren,yes,audited Shinaic database match
673,gur,púši,cat (f.),púši,8298,0.000,Phal,púśi,liljegren,yes,audited Shinaic database match
674,Astor,píši,cat (f.),píši,8298,0.250,Phal,púśi,liljegren,yes,audited Shinaic database match
677,gur,káa,crow,káa,2993,0.333,koh,kāh,CDIAL,yes,audited Shinaic database match
678,Astor,káa,crow,káa,2993,0.333,koh,kāh,CDIAL,yes,audited Shinaic database match
679,gil,goó,cow,goó,4147,0.000,HunzaNasirabad,gō̌,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
680,gil,gáaw,cow,gáaw,4093,0.250,Phal,gʰǎv,strand,yes,audited Shinaic database match
681,koh,gáao,cow,gáao,4147,0.250,Gupis,gāo,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
682,gur,gaáu,cow,gaáu,4147,0.250,Phal,gʰā̌u,liljegren,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
683,Astor,gaáo,cow,gaáo,4147,0.250,Gupis,gāo,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
684,gil,šu~,dog,šu~,12528,0.333,Gupis,śū,backstrom1992,yes,audited Shinaic database match
688,gil,haṇeé,egg,haṇeé,1111,0.000,NagarThol,hānē̌,backstrom1992,yes,audited Shinaic database match
689,koh,haṇó,egg,haṇó,1111,0.000,Phal,haṇṓ,CDIAL,yes,audited Shinaic database match
690,gur,haṇoó~,egg,haṇoó~,1111,0.333,Phal,haṇṓ,CDIAL,yes,audited Shinaic database match
691,gur,ṭhuúl,egg,ṭhuúl,13776,0.200,Kund,ṭʰūl,kund,no,egg versus sthula thick is semantically uncertain
692,Astor,ṭhuúl,egg,ṭhuúl,13776,0.200,Kund,ṭʰūl,kund,no,egg versus sthula thick is semantically uncertain
693,gur,páṭu,feather,páṭu,7627,0.200,Phal,pʰā́ṭu,strand,yes,audited Shinaic database match
705,gur,príij̣o,flea,príij̣o,9029,0.286,Phal,prī̂ṇṣu,liljegren,yes,audited Shinaic database match
706,Astor,príiẓu,flea,príiẓu,9029,0.333,Phal,prī̂ṇṣu,liljegren,yes,audited Shinaic database match
713,gil,ái,goat (f.),ái,145,0.000,Gupis,āī,backstrom1992,yes,audited Shinaic database match
714,koh,ái,goat (f.),ái,145,0.000,Gupis,āī,backstrom1992,yes,audited Shinaic database match
715,gur,ái,goat (f.),ái,145,0.000,Gupis,āī,backstrom1992,yes,audited Shinaic database match
716,Astor,ái,goat (f.),ái,145,0.000,Gupis,āī,backstrom1992,yes,audited Shinaic database match
721,gil,ṣíṅo,horn,ṣíṅo,12583,0.250,Bunji,ṣīŋo,backstrom1992,yes,audited Shinaic database match
722,koh,ṣígo,horn,ṣígo,12583,0.000,Jalkot,ṣīgo,backstrom1992,yes,audited Shinaic database match
723,gur,šíṅu,horn,šíṅu,12583,0.250,NagarThol,ṣīŋū,backstrom1992,yes,audited Shinaic database match
724,Astor,ṣíṅ,horn,ṣíṅ,12583,0.333,Sh,ṣiŋ,CDIAL,yes,audited Shinaic database match
751,gil,ijíili,ewe,ijíili,2512,0.333,Phal,yī̂ṛi,liljegren,yes,audited Shinaic database match; targets Indo-Aryan loan etymon rather than its Proto-Dravidian donor
761,gil,jon,snake,jon,5110,0.000,Gupis,jon,backstrom1992,yes,audited Shinaic database match
762,gur,jon,snake,jon,5110,0.000,Gupis,jon,backstrom1992,yes,audited Shinaic database match
763,Astor,jon,snake,jon,5110,0.000,Gupis,jon,backstrom1992,yes,audited Shinaic database match
764,koh,judraá,snake,judraá,5110,0.167,ChilasKhinar,jūdrāi,backstrom1992,yes,audited Shinaic database match
765,gil,phacoó,tail,phacoó,8249,0.167,punl,pʰacʰō̌,backstrom1992,yes,audited Shinaic database match
766,koh,lamṭoó,tail,lamṭoó,11009,0.333,KachuraJel,lāmūṭo,backstrom1992,yes,audited Shinaic database match
767,gur,lamóoṭu,tail,lamóoṭu,11009,0.286,Gupis,lāmoṭī,backstrom1992,yes,audited Shinaic database match
768,gur,lamṭoó,tail,lamṭoó,11009,0.333,KachuraJel,lāmūṭo,backstrom1992,yes,audited Shinaic database match
769,Astor,lamóṭi,tail,lamóṭi,11009,0.000,Gupis,lāmoṭī,backstrom1992,yes,audited Shinaic database match
810,gil,kac̣,grass/fodder,kac̣,2589,0.250,Phal,kāᵃc,CDIAL,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
811,koh,kac̣,grass/fodder,kac̣,2589,0.250,Phal,kāᵃc,CDIAL,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
812,gur,kac̣,grass/fodder,kac̣,2589,0.250,Phal,kāᵃc,CDIAL,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
814,gil,páṭo,leaf,páṭo,7733,0.000,Gupis,paṭo,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
815,koh,páṭho,leaf,páṭho,7733,0.000,pales,pāṭʰo,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
816,gur,páṭu,leaf,páṭu,7733,0.000,gur,pāṭu,CDIAL,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
817,Astor,páṭo,leaf,páṭo,7733,0.000,Gupis,paṭo,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
826,gil,daṇúu~,pomegranate,daṇúu~,6254-3,0.333,Sh,daṇū,CDIAL,yes,audited Shinaic database match
827,koh,daṇúu~,pomegranate,daṇúu~,6254-3,0.333,Sh,daṇū,CDIAL,yes,audited Shinaic database match
828,gur,daṇú~,pomegranate,daṇú~,6254-3,0.200,Sh,daṇū,CDIAL,yes,audited Shinaic database match
829,Astor,daṇúu~,pomegranate,daṇúu~,6254-3,0.333,Sh,daṇū,CDIAL,yes,audited Shinaic database match
836,gil,mulií,root,mulií,10250,0.000,Gupis,mūlī̌,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
837,gil,bíi,seed,bíi,9250,0.000,Phal,bī̂,liljegren,yes,audited Shinaic database match
838,koh,bíi,seed,bíi,9250,0.000,Phal,bī̂,liljegren,yes,audited Shinaic database match
839,gur,bíi,seed,bíi,9250,0.000,Phal,bī̂,liljegren,yes,audited Shinaic database match
840,Astor,bíi,seed,bíi,9250,0.000,Phal,bī̂,liljegren,yes,audited Shinaic database match
841,gil,múṭo,tree,múṭo,10187,0.200,Jalkot,mūṭʰo,backstrom1992,yes,audited Shinaic database match
842,koh,múṭho,tree,múṭho,10187,0.000,Jalkot,mūṭʰo,backstrom1992,yes,audited Shinaic database match
843,gil,tom,tree,tom,13682,0.000,Gupis,tom,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
844,koh,tom,tree,tom,13682,0.000,Gupis,tom,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
845,gur,tom,tree,tom,13682,0.000,Gupis,tom,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
846,Astor,tom,tree,tom,13682,0.000,Gupis,tom,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
851,Astor,kakái~,walnut,kakái~,2817,0.333,Sh,kakæi,CDIAL,yes,audited Shinaic database match
857,gur,kuṭyoónu,to beat,kuṭyoónu,3241,0.125,Sh,kuṭyōnu,CDIAL,yes,audited Shinaic database match
858,Astor,kuṭoónu,to beat,kuṭoónu,3241,0.143,Sh,kuṭyōnu,CDIAL,yes,audited Shinaic database match
864,koh,dajoón,to burn (intr.),dajoón,6324,0.333,koh,dayōnu,CDIAL,yes,audited Shinaic database match
865,gur,dajoónu,to burn (intr.),dajoónu,6324,0.143,koh,dayōnu,CDIAL,yes,audited Shinaic database match
866,Astor,dajoónu,to burn (intr.),dajoónu,6324,0.143,koh,dayōnu,CDIAL,yes,audited Shinaic database match
869,gur,dayoónu,to burn (tr.),dayoónu,6324,0.143,koh,dayōnu,CDIAL,yes,audited Shinaic database match
870,Astor,dayoónu,to burn (tr.),dayoónu,6324,0.143,koh,dayōnu,CDIAL,yes,audited Shinaic database match
873,gur,oónu,to come,oónu,1288,0.250,Sh,ōnu,CDIAL,yes,audited Shinaic database match
889,gil,khoók,to eat,khoók,3865,0.200,Phal,kʰō̂,liljegren,yes,audited Shinaic database match
890,koh,khoón,to eat,khoón,3865,0.200,Phal,kʰō̂,liljegren,yes,audited Shinaic database match
891,gur,khoónu,to eat,khoónu,3865,0.333,Phal,kʰō̂,liljegren,yes,audited Shinaic database match
892,Astor,khoónu,to eat,khoónu,3865,0.333,Phal,kʰō̂,liljegren,yes,audited Shinaic database match
934,gil,rayoók,to say,rayoók,10652,0.286,Sh,rayóiki̯,CDIAL,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
965,gil,yayoók,to walk,yayoók,10452,0.286,Sh,yayóiki̯,CDIAL,yes,audited Shinaic database match
975,gil,búṭo,all (countable),búṭo,9568,0.000,ChilasKhinar,būṭo,backstrom1992,yes,audited Shinaic database match
977,gil,búṭa,all (uncountable),búṭa,9568,0.000,Jalkot,būṭa,backstrom1992,yes,audited Shinaic database match
978,koh,búṭa,all (uncountable),búṭa,9568,0.000,Jalkot,būṭa,backstrom1992,yes,audited Shinaic database match
979,gur,búṭɨ,all (uncountable),búṭɨ,9568,0.250,Kund,buṭ,kund,yes,audited Shinaic database match
982,gil,báṛo,big,báṛo,11225,0.000,Gupis,baṛo,backstrom1992,yes,audited Shinaic database match
983,koh,báṛo,big,báṛo,11225,0.000,Gupis,baṛo,backstrom1992,yes,audited Shinaic database match
984,gur,báṛu,big,báṛu,11225,0.250,Sh,bɔ́ṛu,CDIAL,yes,audited Shinaic database match
985,Astor,báṛo,big,báṛo,11225,0.000,Gupis,baṛo,backstrom1992,yes,audited Shinaic database match
986,gil,c̣íṭo,bitter,c̣íṭo,5806,0.500,Sh,ʦ̣iṭu,CDIAL,yes,audited Shinaic database match
987,koh,cíṭo,bitter,cíṭo,5806,0.500,Sh,ʦ̣iṭu,CDIAL,yes,audited Shinaic database match
988,gur,cíṭu,bitter,cíṭu,5806,0.250,Sh,ʦ̣iṭu,CDIAL,yes,audited Shinaic database match
989,Astor,c̣íṭo,bitter,c̣íṭo,5806,0.500,Sh,ʦ̣iṭu,CDIAL,yes,audited Shinaic database match
990,gil,kíṇo,black,kíṇo,3451,0.000,Gupis,kīno,backstrom1992,yes,audited Shinaic database match
991,koh,kíṇo,black,kíṇo,3451,0.000,Gupis,kīno,backstrom1992,yes,audited Shinaic database match
992,gur,kíṇu,black,kíṇu,3451,0.000,NagarThol,kīnū,backstrom1992,yes,audited Shinaic database match
993,Astor,kíṇo,black,kíṇo,3451,0.000,Gupis,kīno,backstrom1992,yes,audited Shinaic database match
998,gil,šidálo,cold,šidálo,12487,0.000,Gupis,śidalo,backstrom1992,yes,audited Shinaic database match
1003,gil,súkho,dry,súkho,12548,0.200,Gupis,śūko,backstrom1992,yes,audited Shinaic database match
1004,koh,šúkho,dry,šúkho,12548,0.200,Gupis,śūko,backstrom1992,yes,audited Shinaic database match
1005,gur,šúku,dry,šúku,12548,0.000,NagarThol,śūkū,backstrom1992,yes,audited Shinaic database match
1006,Astor,šúku,dry,šúku,12548,0.000,NagarThol,śūkū,backstrom1992,yes,audited Shinaic database match
1007,gil,a~ṣ,eight,a~ṣ,941,0.333,punl,āṣ,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1008,koh,a~ṣ,eight,a~ṣ,941,0.333,punl,āṣ,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1009,gur,a~ṣṭ,eight,a~ṣṭ,941,0.250,Kund,ā̃ṣṭ,kund,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1010,Astor,a~ṣ,eight,a~ṣ,941,0.333,punl,āṣ,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1016,koh,akáai,eleven,akáai,2485,0.200,Gupis,akāī,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1017,gur,akáai,eleven,akáai,2485,0.200,Gupis,akāī,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1018,Astor,akáai,eleven,akáai,2485,0.200,Gupis,akāī,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1020,koh,ápa,few,ápa,722,0.333,Sh,āpu,CDIAL,yes,audited Shinaic database match
1021,gur,ápo,few,ápo,722,0.000,Gupis,āpo,backstrom1992,yes,audited Shinaic database match
1022,Astor,ápo,few,ápo,722,0.000,Gupis,āpo,backstrom1992,yes,audited Shinaic database match
1024,gil,panzéy,fifteen,panzéy,7662,0.333,biori,panjē̂ś,liljegren,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1028,gil,poš,five,poš,7655,0.000,Gupis,poś,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1029,koh,poš,five,poš,7655,0.000,Gupis,poś,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1030,gur,po~š,five,po~š,7655,0.250,Gupis,poś,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1031,Astor,po~š,five,po~š,7655,0.250,Gupis,poś,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1036,gil,cáar,four,cáar,4655,0.250,biori,cā̂r,liljegren,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1037,koh,cáar,four,cáar,4655,0.250,biori,cā̂r,liljegren,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1038,gur,cáar,four,cáar,4655,0.250,biori,cā̂r,liljegren,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1039,Astor,cáar,four,cáar,4655,0.250,biori,cā̂r,liljegren,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1049,gil,míṣṭo,good,míṣṭo,10299,0.000,Gupis,miṣṭo,backstrom1992,yes,audited Shinaic database match
1050,koh,míṣṭho,good,míṣṭho,10299,0.167,Gupis,miṣṭo,backstrom1992,yes,audited Shinaic database match
1051,gur,míṣṭhu,good,míṣṭhu,10299,0.167,Sh,miṣṭu,CDIAL,yes,audited Shinaic database match
1052,Astor,míṣṭhu,good,míṣṭhu,10299,0.167,Sh,miṣṭu,CDIAL,yes,audited Shinaic database match
1056,gil,níilo,green,níilo,7563,0.000,Phal,nī̂lu,liljegren,yes,audited Shinaic database match
1057,koh,níilo,green,níilo,7563,0.000,Phal,nī̂lu,liljegren,yes,audited Shinaic database match
1058,gur,níilu,green,níilu,7563,0.200,Phal,nī̂lu,liljegren,yes,audited Shinaic database match
1059,Astor,níilu,green,níilu,7563,0.200,Phal,nī̂lu,liljegren,yes,audited Shinaic database match
1060,gil,taáto,hot,taáto,5679,0.000,Haramosh,tā̌to,backstrom1992,yes,audited Shinaic database match
1061,koh,táto,hot,táto,5679,0.000,Gupis,tāto,backstrom1992,yes,audited Shinaic database match
1062,gur,tátu,hot,tátu,5679,0.000,Phal,tā̂tu,liljegren,yes,audited Shinaic database match
1063,Astor,tátto,hot,tátto,5679,0.200,Gupis,tāto,backstrom1992,yes,audited Shinaic database match
1064,gil,šal,hundred,šal,12278,0.333,Kund,śad,kund,yes,audited Shinaic database match
1065,koh,šal,hundred,šal,12278,0.333,Kund,śad,kund,yes,audited Shinaic database match
1066,gur,šal,hundred,šal,12278,0.333,Kund,śad,kund,yes,audited Shinaic database match
1067,Astor,šal,hundred,šal,12278,0.333,Kund,śad,kund,yes,audited Shinaic database match
1068,gil,uyáno,hungry,uyáno,1929,0.200,Sh,uyā́nu,CDIAL,yes,audited Shinaic database match
1070,gil,niráno,hungry,niráno,7266,0.167,Sh,niránu,CDIAL,yes,audited Shinaic database match
1072,gur,niróṇu,hungry,niróṇu,7266,0.167,Sh,niránu,CDIAL,yes,audited Shinaic database match
1073,Astor,nirónu,hungry,nirónu,7266,0.167,Sh,niránu,CDIAL,yes,audited Shinaic database match
1074,gil,khábo,left (direction),khábo,3832,0.000,Gupis,kʰabo,backstrom1992,yes,audited Shinaic database match
1075,koh,khábooto,left (direction),khábooto,3832,0.250,Sazin,kʰabuto,backstrom1992,yes,audited Shinaic database match
1077,gur,khái,left (direction),khái,3832,0.200,Darel,kʰābī,backstrom1992,yes,audited Shinaic database match
1078,Astor,kháau,left (direction),kháau,3832,0.200,gil,kʰabū,backstrom1992,yes,audited Shinaic database match
1079,gil,j̣ígo,long,j̣ígo,6368,0.000,Haramosh,jīgo,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1080,koh,ẓígo,long,ẓígo,6368,0.000,Gupis,ẓigo,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1081,gur,j̣ígu,long,j̣ígu,6368,0.250,NagarThol,ʣ̣igū,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1083,koh,láa,many,láa,9193,0.000,punl,lā,backstrom1992,yes,audited Shinaic database match
1084,gur,láa,many,láa,9193,0.000,punl,lā,backstrom1992,yes,audited Shinaic database match
1085,Astor,láa,many,láa,9193,0.000,punl,lā,backstrom1992,yes,audited Shinaic database match
1088,gil,naáwo,new,naáwo,6983,0.200,Phal,nā̂vu,liljegren,yes,audited Shinaic database match
1089,koh,nóo~,new,nóo~,6983,0.250,Sazin,nō,backstrom1992,yes,audited Shinaic database match
1090,gur,náa~,new,náa~,6983,0.250,Harban,nā,backstrom1992,yes,audited Shinaic database match
1091,Astor,náu~,new,náu~,6983,0.250,punl,nā̃ū,backstrom1992,yes,audited Shinaic database match
1092,gil,naw,nine,naw,6984,0.333,Kalk,nam,kalkoti,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1094,gur,náu,nine,náu,6984,0.000,gil,nāū,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1095,Astor,náu,nine,náu,6984,0.000,gil,nāū,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
1108,gil,loólyo,red,loólyo,11168,0.167,punl,lō̌lʸo,backstrom1992,yes,audited Shinaic database match
1109,koh,lhiílo,red,lhiílo,11168,0.167,Darel,līlo,backstrom1992,yes,audited Shinaic database match
1110,gur,loólu,red,loólu,11168,0.200,NagarThol,loilū,backstrom1992,yes,audited Shinaic database match
1111,Astor,loólo,red,loólo,11168,0.000,DashkinAstor,lō̌lo,backstrom1992,yes,audited Shinaic database match
1112,gil,dac̣híno,right (direction),dac̣híno,6119,0.143,Gupis,dāʦ̣ʰīno,backstrom1992,yes,audited Shinaic database match
1114,koh,dac̣híṇo,right (direction),dac̣híṇo,6119,0.143,Gupis,dāʦ̣ʰīno,backstrom1992,yes,audited Shinaic database match
1115,gur,dac̣íṇu,right (direction),dac̣íṇu,6119,0.167,pales,dācino,backstrom1992,yes,audited Shinaic database match
1116,Astor,daṣínu,right (direction),daṣínu,6119,0.167,Gupis,dāṣīno,backstrom1992,yes,audited Shinaic database match
