Record_Type,Item,Gloss,Site_Code,Site_Name,Role,PDF_Page,Printed_Page,Column,Manual_Transcription,Manual_Review,Uncertainty,OCR_Evidence,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Keys
wordlist cell,2,head,KHM,Khamalpur Bondoy,target,79,74,2,rui,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 74, item 2, Khamalpur Bondoy]",silkorku1985:khm:i002:v1
wordlist cell,2,head,LAH,Lahi Bouriya,target,68,63,2,dẽi/kapar,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 2, Lahi Bouriya]",silkorku1985:lah:i002:v1|silkorku1985:lah:i002:v2
wordlist cell,2,head,MOR,Moragao Bouriya,target,68,63,1,keppar,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 2, Moragao Bouriya]",silkorku1985:mor:i002:v1
wordlist cell,2,head,NIH,Jammat Jalgaon Nihali,comparison control,90,85,1,peni,manual-source-image,,tesseract_raw.txt#pdf90,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 85, item 2, Jammat Jalgaon Nihali]",
wordlist cell,2,head,WAR,Warsari Ruma,target,57,52,2,kapar,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 52, item 2, Warsari Ruma]",silkorku1985:war:i002:v1
wordlist cell,3,hair,AMD,Amdhana Mawasi,target,79,74,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf79,missing,source prints a ruled blank,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 74, item 3, Amdhana Mawasi]",
wordlist cell,3,hair,BAG,Bagdara Ruma,target,57,52,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf57,missing,source prints a ruled blank,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 52, item 3, Bagdara Ruma]",
wordlist cell,3,hair,CHI,Chikli Ruma,target,46,41,1,huːpʰ,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 41, item 3, Chikli Ruma]",silkorku1985:chi:i003:v1
wordlist cell,3,hair,KHA,Khanapur Ruma,target,46,41,2,hop,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 41, item 3, Khanapur Ruma]",silkorku1985:kha:i003:v1
wordlist cell,3,hair,KHM,Khamalpur Bondoy,target,79,74,2,tʃuti,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 74, item 3, Khamalpur Bondoy]",silkorku1985:khm:i003:v1
wordlist cell,3,hair,LAH,Lahi Bouriya,target,68,63,2,kaʈʰa,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 3, Lahi Bouriya]",silkorku1985:lah:i003:v1
wordlist cell,3,hair,MOR,Moragao Bouriya,target,68,63,1,ho,manual-source-image,collector question mark,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 3, Moragao Bouriya]",silkorku1985:mor:i003:v1
wordlist cell,3,hair,NIH,Jammat Jalgaon Nihali,comparison control,90,85,1,kugət,manual-source-image,final vowel/consonant glyph is faint; visually read as ət,tesseract_raw.txt#pdf90,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 85, item 3, Jammat Jalgaon Nihali]",
wordlist cell,3,hair,WAR,Warsari Ruma,target,57,52,2,hop,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 52, item 3, Warsari Ruma]",silkorku1985:war:i003:v1
wordlist cell,4,face,AMD,Amdhana Mawasi,target,79,74,1,muɛr,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 74, item 4, Amdhana Mawasi]",silkorku1985:amd:i004:v1
wordlist cell,4,face,BAG,Bagdara Ruma,target,57,52,1,tʃabu,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 52, item 4, Bagdara Ruma]",silkorku1985:bag:i004:v1
wordlist cell,4,face,CHI,Chikli Ruma,target,46,41,1,muɛr,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 41, item 4, Chikli Ruma]",silkorku1985:chi:i004:v1
wordlist cell,4,face,KHA,Khanapur Ruma,target,46,41,2,maʈ,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 41, item 4, Khanapur Ruma]",silkorku1985:kha:i004:v1
wordlist cell,4,face,KHM,Khamalpur Bondoy,target,79,74,2,tʃabu,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 74, item 4, Khamalpur Bondoy]",silkorku1985:khm:i004:v1
wordlist cell,4,face,LAH,Lahi Bouriya,target,68,63,2,tʃera/muar,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 4, Lahi Bouriya]",silkorku1985:lah:i004:v1|silkorku1985:lah:i004:v2
wordlist cell,4,face,MOR,Moragao Bouriya,target,68,63,1,tʃabu,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 4, Moragao Bouriya]",silkorku1985:mor:i004:v1
wordlist cell,4,face,NIH,Jammat Jalgaon Nihali,comparison control,90,85,1,mũhãr,manual-source-image,,tesseract_raw.txt#pdf90,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 85, item 4, Jammat Jalgaon Nihali]",
wordlist cell,4,face,WAR,Warsari Ruma,target,57,52,2,mwaʈ,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 52, item 4, Warsari Ruma]",silkorku1985:war:i004:v1
wordlist cell,5,eye,AMD,Amdhana Mawasi,target,79,74,1,mel,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 74, item 5, Amdhana Mawasi]",silkorku1985:amd:i005:v1
wordlist cell,5,eye,BAG,Bagdara Ruma,target,57,52,1,met,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 52, item 5, Bagdara Ruma]",silkorku1985:bag:i005:v1
wordlist cell,5,eye,CHI,Chikli Ruma,target,46,41,1,metʲ,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 41, item 5, Chikli Ruma]",silkorku1985:chi:i005:v1
wordlist cell,5,eye,KHA,Khanapur Ruma,target,46,41,2,metʰ,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 41, item 5, Khanapur Ruma]",silkorku1985:kha:i005:v1
wordlist cell,5,eye,KHM,Khamalpur Bondoy,target,79,74,2,met,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 74, item 5, Khamalpur Bondoy]",silkorku1985:khm:i005:v1
wordlist cell,5,eye,LAH,Lahi Bouriya,target,68,63,2,metʰ,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 5, Lahi Bouriya]",silkorku1985:lah:i005:v1
wordlist cell,5,eye,MOR,Moragao Bouriya,target,68,63,1,met,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 5, Moragao Bouriya]",silkorku1985:mor:i005:v1
wordlist cell,5,eye,NIH,Jammat Jalgaon Nihali,comparison control,90,85,1,dʒiki,manual-source-image,,tesseract_raw.txt#pdf90,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 85, item 5, Jammat Jalgaon Nihali]",
wordlist cell,5,eye,WAR,Warsari Ruma,target,57,52,2,metʰ,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 52, item 5, Warsari Ruma]",silkorku1985:war:i005:v1
wordlist cell,6,ear,AMD,Amdhana Mawasi,target,79,74,1,kan/lutur,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 74, item 6, Amdhana Mawasi]",silkorku1985:amd:i006:v1|silkorku1985:amd:i006:v2
wordlist cell,6,ear,BAG,Bagdara Ruma,target,57,52,1,luʈur,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 52, item 6, Bagdara Ruma]",silkorku1985:bag:i006:v1
wordlist cell,6,ear,CHI,Chikli Ruma,target,46,41,1,lutur,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 41, item 6, Chikli Ruma]",silkorku1985:chi:i006:v1
wordlist cell,6,ear,KHA,Khanapur Ruma,target,46,41,2,lotur,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 41, item 6, Khanapur Ruma]",silkorku1985:kha:i006:v1
wordlist cell,6,ear,KHM,Khamalpur Bondoy,target,79,74,2,lutur,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 74, item 6, Khamalpur Bondoy]",silkorku1985:khm:i006:v1
wordlist cell,6,ear,LAH,Lahi Bouriya,target,68,63,2,luʈer,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 6, Lahi Bouriya]",silkorku1985:lah:i006:v1
wordlist cell,6,ear,MOR,Moragao Bouriya,target,68,63,1,luʈar,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 6, Moragao Bouriya]",silkorku1985:mor:i006:v1
wordlist cell,6,ear,NIH,Jammat Jalgaon Nihali,comparison control,90,85,1,tʃigam,manual-source-image,,tesseract_raw.txt#pdf90,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 85, item 6, Jammat Jalgaon Nihali]",
wordlist cell,6,ear,WAR,Warsari Ruma,target,57,52,2,lutur,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 52, item 6, Warsari Ruma]",silkorku1985:war:i006:v1
wordlist cell,7,nose,AMD,Amdhana Mawasi,target,79,74,1,neskeda,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 74, item 7, Amdhana Mawasi]",silkorku1985:amd:i007:v1
wordlist cell,7,nose,BAG,Bagdara Ruma,target,57,52,1,mu,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 52, item 7, Bagdara Ruma]",silkorku1985:bag:i007:v1
wordlist cell,7,nose,CHI,Chikli Ruma,target,46,41,1,mu,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 41, item 7, Chikli Ruma]",silkorku1985:chi:i007:v1
wordlist cell,7,nose,KHA,Khanapur Ruma,target,46,41,2,mõ,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 41, item 7, Khanapur Ruma]",silkorku1985:kha:i007:v1
wordlist cell,7,nose,KHM,Khamalpur Bondoy,target,79,74,2,mũ,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 74, item 7, Khamalpur Bondoy]",silkorku1985:khm:i007:v1
wordlist cell,7,nose,LAH,Lahi Bouriya,target,68,63,2,mo,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 7, Lahi Bouriya]",silkorku1985:lah:i007:v1
wordlist cell,7,nose,MOR,Moragao Bouriya,target,68,63,1,mu,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 7, Moragao Bouriya]",silkorku1985:mor:i007:v1
wordlist cell,7,nose,NIH,Jammat Jalgaon Nihali,comparison control,90,85,1,tʃon,manual-source-image,,tesseract_raw.txt#pdf90,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 85, item 7, Jammat Jalgaon Nihali]",
wordlist cell,7,nose,WAR,Warsari Ruma,target,57,52,2,mã,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 52, item 7, Warsari Ruma]",silkorku1985:war:i007:v1
wordlist cell,8,mouth,AMD,Amdhana Mawasi,target,79,74,1,tʃabu,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 74, item 8, Amdhana Mawasi]",silkorku1985:amd:i008:v1
wordlist cell,8,mouth,BAG,Bagdara Ruma,target,57,52,1,tʃãbu,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 52, item 8, Bagdara Ruma]",silkorku1985:bag:i008:v1
wordlist cell,8,mouth,CHI,Chikli Ruma,target,46,41,1,tʃabu,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 41, item 8, Chikli Ruma]",silkorku1985:chi:i008:v1
wordlist cell,8,mouth,KHA,Khanapur Ruma,target,46,41,2,tʃabu,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 41, item 8, Khanapur Ruma]",silkorku1985:kha:i008:v1
wordlist cell,8,mouth,KHM,Khamalpur Bondoy,target,79,74,2,tʃabu,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 74, item 8, Khamalpur Bondoy]",silkorku1985:khm:i008:v1
wordlist cell,8,mouth,LAH,Lahi Bouriya,target,68,63,2,tʃabu,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 8, Lahi Bouriya]",silkorku1985:lah:i008:v1
wordlist cell,8,mouth,MOR,Moragao Bouriya,target,68,63,1,tʃabu,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 8, Moragao Bouriya]",silkorku1985:mor:i008:v1
wordlist cell,8,mouth,NIH,Jammat Jalgaon Nihali,comparison control,90,85,1,kagu,manual-source-image,,tesseract_raw.txt#pdf90,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 85, item 8, Jammat Jalgaon Nihali]",
wordlist cell,8,mouth,WAR,Warsari Ruma,target,57,52,2,koʈo,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 52, item 8, Warsari Ruma]",silkorku1985:war:i008:v1
wordlist cell,9,teeth,AMD,Amdhana Mawasi,target,79,74,1,tiriŋ,manual-source-image,source dental/alveolar marking is faint; broad IPA reading retained,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 74, item 9, Amdhana Mawasi]",silkorku1985:amd:i009:v1
wordlist cell,9,teeth,BAG,Bagdara Ruma,target,57,52,1,tiʈiŋ,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 52, item 9, Bagdara Ruma]",silkorku1985:bag:i009:v1
wordlist cell,9,teeth,CHI,Chikli Ruma,target,46,41,1,tiɖin,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 41, item 9, Chikli Ruma]",silkorku1985:chi:i009:v1
wordlist cell,9,teeth,KHA,Khanapur Ruma,target,46,41,2,tiɖinʲ,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 41, item 9, Khanapur Ruma]",silkorku1985:kha:i009:v1
wordlist cell,9,teeth,KHM,Khamalpur Bondoy,target,79,74,2,tiriŋ,manual-source-image,source dental/alveolar marking is faint; broad IPA reading retained,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 74, item 9, Khamalpur Bondoy]",silkorku1985:khm:i009:v1
wordlist cell,9,teeth,LAH,Lahi Bouriya,target,68,63,2,tiʈiŋ,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 9, Lahi Bouriya]",silkorku1985:lah:i009:v1
wordlist cell,9,teeth,MOR,Moragao Bouriya,target,68,63,1,tiɖiŋ,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 9, Moragao Bouriya]",silkorku1985:mor:i009:v1
wordlist cell,9,teeth,NIH,Jammat Jalgaon Nihali,comparison control,90,85,1,menge,manual-source-image,,tesseract_raw.txt#pdf90,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 85, item 9, Jammat Jalgaon Nihali]",
wordlist cell,9,teeth,WAR,Warsari Ruma,target,57,52,2,tiliŋ,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 52, item 9, Warsari Ruma]",silkorku1985:war:i009:v1
wordlist cell,10,tongue,AMD,Amdhana Mawasi,target,79,74,1,laŋg,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 74, item 10, Amdhana Mawasi]",silkorku1985:amd:i010:v1
wordlist cell,10,tongue,BAG,Bagdara Ruma,target,57,52,1,laŋ,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 52, item 10, Bagdara Ruma]",silkorku1985:bag:i010:v1
wordlist cell,10,tongue,CHI,Chikli Ruma,target,46,41,1,laŋ,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 41, item 10, Chikli Ruma]",silkorku1985:chi:i010:v1
wordlist cell,10,tongue,KHA,Khanapur Ruma,target,46,41,2,laŋ,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 41, item 10, Khanapur Ruma]",silkorku1985:kha:i010:v1
wordlist cell,10,tongue,KHM,Khamalpur Bondoy,target,79,74,2,laŋ,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 74, item 10, Khamalpur Bondoy]",silkorku1985:khm:i010:v1
wordlist cell,10,tongue,LAH,Lahi Bouriya,target,68,63,2,leŋ,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 10, Lahi Bouriya]",silkorku1985:lah:i010:v1
wordlist cell,10,tongue,MOR,Moragao Bouriya,target,68,63,1,la,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 10, Moragao Bouriya]",silkorku1985:mor:i010:v1
wordlist cell,10,tongue,NIH,Jammat Jalgaon Nihali,comparison control,90,85,1,lai,manual-source-image,,tesseract_raw.txt#pdf90,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 85, item 10, Jammat Jalgaon Nihali]",
wordlist cell,10,tongue,WAR,Warsari Ruma,target,57,52,2,lan,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 52, item 10, Warsari Ruma]",silkorku1985:war:i010:v1
wordlist cell,11,breast,AMD,Amdhana Mawasi,target,79,74,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf79,missing,source prints a ruled blank,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 74, item 11, Amdhana Mawasi]",
wordlist cell,11,breast,BAG,Bagdara Ruma,target,57,52,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf57,missing,source prints a ruled blank,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 52, item 11, Bagdara Ruma]",
wordlist cell,11,breast,CHI,Chikli Ruma,target,46,41,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf46,missing,source prints a ruled blank,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 41, item 11, Chikli Ruma]",
wordlist cell,11,breast,KHA,Khanapur Ruma,target,46,41,2,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf46,missing,source prints a ruled blank,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 41, item 11, Khanapur Ruma]",
wordlist cell,11,breast,KHM,Khamalpur Bondoy,target,79,74,2,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf79,missing,source prints a ruled blank,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 74, item 11, Khamalpur Bondoy]",
wordlist cell,11,breast,LAH,Lahi Bouriya,target,68,63,2,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf68,missing,source prints a ruled blank,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 11, Lahi Bouriya]",
wordlist cell,11,breast,MOR,Moragao Bouriya,target,68,63,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf68,missing,source prints a ruled blank,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 11, Moragao Bouriya]",
