Status,Reason,Review_State,Review_Reason,Entry_Key,PDF_Page,Printed_Page,Column,Top,Raw_OCR,Raw_Head,Form,Variants,POS,Gloss,Tags,Reference,DEDR_IDs,Unresolved_DEDR_IDs,Etymology,OCR_Confidence
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c2:y0120,23,3,2,120,"Aine:r np. priests’ division, name
of one of the clans (ku:ru) of Kota
society (cf. Kota ayn+ ker, ‘father
+line of houses’) DEDR 196a, 2007",Aine:r,Aine:r,,np.,"priests’ division, name of one of the clans (ku:ru) of Kota society",noun proper-noun uncertain,"hockings-pilotraichoor1992[p. 3, col. 2]",196|2007,,"(cf. Kota ayn+ ker, ‘father +line of houses’); Hockings and Pilot-Raichoor cite DEDR 196, 2007",93.70
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c2:y0164,23,3,2,164,"ailu n. dewdrops, beads of dew",ailu,ailu,,n.,"dewdrops, beads of dew",noun uncertain,"hockings-pilotraichoor1992[p. 3, col. 2]",,,,95.10
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c2:y0174,23,3,2,174,"ailupailu idiom. children, little
things (echo-words; cf. hayina,
‘progeny’, and Ka. hay, ‘child’)
‘ailu pailu sa:me a:gali —Let the beads of
dew and sprouts become grains (blessing)",ailupailu,ailupailu,,idiom.,"children, little things (echo-words; hayina",multiword-expression uncertain,"hockings-pilotraichoor1992[p. 3, col. 2]",,,,87.86
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c2:y0230,23,3,2,230,"aivatta:vadu num. fiftieth DEDR
2826,3918",aivatta:vadu,aivatta:vadu,,num.,fiftieth,num uncertain,"hockings-pilotraichoor1992[p. 3, col. 2]",2826|3918,,"Hockings and Pilot-Raichoor cite DEDR 2826, 3918",88.92
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c2:y0254,23,3,2,254,"aivattu num. fifty (Emeneau 1939:
47 recorded ayvatu) DEDR 2826,
3918",aivattu,aivattu,,num.,fifty,num uncertain,"hockings-pilotraichoor1992[p. 3, col. 2]",2826|3918,,"(Emeneau 1939: 47 recorded ayvatu); Hockings and Pilot-Raichoor cite DEDR 2826, 3918",93.57
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c2:y0287,23,3,2,287,"au/avu/avvu n. cry, moan, weep-
ing; vi. to cry, moan, weep, la-
ment, mew (avuv-, att-; cf. alu;
Emeneau 1939: 45 recorded áú;
archaic form was alu) DEDR 282",au/avu/avvu,au,avu|avvu,n.,"cry, moan, weeping; to cry, moan, weep, lament, mew",noun verb intr archaic uncertain alternate,"hockings-pilotraichoor1992[p. 3, col. 2]",282,,"(avuv-, att-; cf. alu; Emeneau 1939: 45 recorded áú; archaic form was alu); Hockings and Pilot-Raichoor cite DEDR 282",87.47
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c2:y0342,23,3,2,342,"au ikkudu idiom. auspicious
chanting, chanting the sound o:
hau hau/e: hau hau/ hau ko:/
hau hau (q.v.; cf. a:tikku; < au+
ikkudu, ‘auspicious+utterance of
chant) DEDR 282, 492",au ikkudu,au ikkudu,,idiom.,"auspicious chanting, chanting the sound o: hau hau/e: hau hau/ hau ko:/ hau hau",multiword-expression uncertain,"hockings-pilotraichoor1992[p. 3, col. 2]",282|492,,"(q.v.; cf. a:tikku; < au+ ikkudu, ‘auspicious+utterance of chant); Hockings and Pilot-Raichoor cite DEDR 282, 492",89.29
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c2:y0407,23,3,2,407,"au jina/a: jina n. third day after a
full moon (auspicious time; cf. u:
/u; jina, u:ka:lu, Emeneau 1939:
45-46 recorded 4ű(-jina), idem.)
DBIASI15",au jina/a:jina,au jina,a:jina,n.,"third day after a full moon (auspicious time; u: /u; jina, u:ka:lu, Emeneau 1939: 45-46 recorded 4ű(-jina), idem.) DBIASI15",noun uncertain alternate,"hockings-pilotraichoor1992[p. 3, col. 2]",,,,75.73
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c2:y0462,23,3,2,462,"(aunty) n. aunt, respected older
woman (< Eng.)",(aunty),(aunty),,n.,"aunt, respected older woman",noun uncertain,"hockings-pilotraichoor1992[p. 3, col. 2]",,,(< Eng.),92.24
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c2:y0484,23,3,2,484,"aum excl. om, aum, amen, sac-
red syllable uttered at the conclu-
sion of many Hindu prayers (cf.
Skt. om, aum, idem.)",aum,aum,,excl.,"om, aum, amen, sacred syllable uttered at the conclusion of many Hindu prayers",interj uncertain,"hockings-pilotraichoor1992[p. 3, col. 2]",,,"(cf. Skt. om, aum, idem.)",95.18
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c2:y0526,23,3,2,526,"auve/avve n. 1. mother, father’s
wife, wife's father’s sister; 2. Tore-
ya term of address for higher-status
Badaga women (cf. amma) DEDR
273",auve/avve,auve,avve,n.,"1. mother, father’s wife, wife's father’s sister; 2. Toreya term of address for higher-status Badaga women",noun uncertain alternate,"hockings-pilotraichoor1992[p. 3, col. 2]",273,,(cf. amma); Hockings and Pilot-Raichoor cite DEDR 273,91.16
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c1:y0074,24,4,1,74,"aus n. house (modern; cf. mane;
< Eng. house)",aus,aus,,n.,house,noun modern uncertain,"hockings-pilotraichoor1992[p. 4, col. 1]",,,(modern; cf. mane; < Eng. house),92.32
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c1:y0095,24,4,1,95,"ac vt. to measure, gauge (a:v-,
a:d-; Emeneau 1939: 45-46 recor-
ded áé, áde, ávile, ávi) DEDR 295",ac,ac,,vt.,"to measure, gauge",verb tr uncertain,"hockings-pilotraichoor1992[p. 4, col. 1]",295,,"(a:v-, a:d-; Emeneau 1939: 45-46 recorded áé, áde, ávile, ávi); Hockings and Pilot-Raichoor cite DEDR 295",90.95
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c1:y0128,24,4,1,128,"ae n. den of wild animals, tiger's
lair (ÆEmeneau 1939: 44-45 record-
ed áé) DEDR 308",ae,ae,,n.,"den of wild animals, tiger's lair",noun uncertain,"hockings-pilotraichoor1992[p. 4, col. 1]",308,,(ÆEmeneau 1939: 44-45 recorded áé); Hockings and Pilot-Raichoor cite DEDR 308,83.29
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c1:y0162,24,4,1,162,"aetu/haetu n. old things Emeneau
1939:45 recorded håčtu; cf. a:yi/
ha:li/ ha:yi) DEDR 3999",aetu/haetu,aetu,haetu,n.,old things Emeneau 1939:45 recorded håčtu; a:yi/ ha:li/ ha:yi),noun uncertain alternate,"hockings-pilotraichoor1992[p. 4, col. 1]",3999,,Hockings and Pilot-Raichoor cite DEDR 3999,74.00
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c1:y0195,24,4,1,195,"akanṭa pe:ranṭa adj. vast, unfrag-
mentary and omnipresent (Linga-
yat usage; echo-words)",akanṭa pe:ranṭa,akanṭa pe:ranṭa,,adj.,"vast, unfragmentary and omnipresent (Lingayat usage; echo-words)",adj uncertain,"hockings-pilotraichoor1992[p. 4, col. 1]",,,,91.25
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c1:y0227,24,4,1,227,"akasu n. white wattle, European
mimosa, silver wattle, silvery bi-
pinnate wattle (Acacia dealbata,
the bark of which is used industri-
ally; Kunde dial.; elsewhere called
sauku, si:ge, Hooker 1872-97: II,
292; Francis 1908: 213-17; Fyson
1915: 128; Lushington 1915: 265;
Gamble 1922: 301; Fyson 1932:
186; Krishnamurthi 1953: 33-34,
201-02, 236-38; Gamble & Fischer
1956-57: 304; < Eng. acacia)",akasu,akasu,,n.,"white wattle, European mimosa, silver wattle, silvery bipinnate wattle",noun uncertain,"hockings-pilotraichoor1992[p. 4, col. 1]",,,"(Acacia dealbata, the bark of which is used industrially; Kunde dial.; elsewhere called sauku, si:ge, Hooker 1872-97: II, 292; Francis 1908: 213-17; Fyson 1915: 128; Lushington 1915: 265; Gamble 1922: 301; Fyson 1932: 186; Krishnamurthi 1953: 33-34, 201-02, 236-38; Gamble & Fischer 1956-57: 304; < Eng. acacia)",94.90
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c1:y0355,24,4,1,355,"akka n. 1. sister, elder sister; 2. fa-
ther’s brother’s daughter, mother’s
sisters daughter, wife’s elder sister,
wife’s father’s sister (if older than
Ego), son’s wife’s mother (cf. dol-
li); 3. respectful term of address
for women; 4. stone sacred to the
goddess Hette and so treated as a
shrine (only found in the head vil-
lage of a commune; cf. akka gudi,
akka bakka) DEDR 23
‘akka tange naftu nafjana be:da'—Elder
and younger sisters don’t need a relation-
ship with an affine (Prov. 9c)",akka,akka,,n.,"1. sister, elder sister; 2. father’s brother’s daughter, mother’s sisters daughter, wife’s elder sister, wife’s father’s sister (if older than Ego), son’s wife’s mother ; 3. respectful term of address for women; 4. stone sacred to the goddess Hette and so treated as a shrine",noun uncertain,"hockings-pilotraichoor1992[p. 4, col. 1]",23,,"(cf. dolli); (only found in the head village of a commune; cf. akka gudi, akka bakka); Hockings and Pilot-Raichoor cite DEDR 23",92.99
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c1:y0509,24,4,1,509,"akka gudi n. stone sacred to the
goddess Hette and so treated as a
shrine (only found in the head vill-
age of a commune; also called ak-
ka, ajji gudi, Hette gudi, cf. akka
bakka) DEDR 23, 1655",akka gudi,akka gudi,,n.,stone sacred to the goddess Hette and so treated as a shrine,noun uncertain,"hockings-pilotraichoor1992[p. 4, col. 1]",23|1655,,"(only found in the head village of a commune; also called akka, ajji gudi, Hette gudi, cf. akka bakka); Hockings and Pilot-Raichoor cite DEDR 23, 1655",93.88
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c1:y0574,24,4,1,574,"akka tange n. sisters, elder and
younger sisters (cf. doḷJi) DEDR
23, 3015a",akka tange,akka tange,,n.,"sisters, elder and younger sisters",noun uncertain,"hockings-pilotraichoor1992[p. 4, col. 1]",23|3015,,"(cf. doḷJi); Hockings and Pilot-Raichoor cite DEDR 23, 3015",83.59
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c2:y0096,24,4,2,96,"akkana ma:ti n. nephew, elder
sisters son DEDR 23, 4616",akkana ma:ti,akkana ma:ti,,n.,"nephew, elder sisters son",noun uncertain,"hockings-pilotraichoor1992[p. 4, col. 2]",23|4616,,"Hockings and Pilot-Raichoor cite DEDR 23, 4616",92.05
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c2:y0119,24,4,2,119,"akkana heṇṇu n. niece, elder sis-
ter’s daughter DEDR 23, 4395a",akkana heṇṇu,akkana heṇṇu,,n.,"niece, elder sister’s daughter",noun uncertain,"hockings-pilotraichoor1992[p. 4, col. 2]",23|4395,,"Hockings and Pilot-Raichoor cite DEDR 23, 4395",86.66
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c2:y0141,24,4,2,141,"akka bakka n. ceremonial struc-
ture of wood or stone pillars to
mark the approach to the head vil-
lage of a commune. (Without these
nearby structures the village is not
the head of a commune, u:r; there
are 32 on the Nilgiri plateau, but
none in Wainad Gauda villages;
according to folklore Hakka and
Bakka were the names of two Ode-
ya chiefs of the Middle Ages who
drove out the Moslem invaders in
Southern Karnataka early in the Vi-
jayanagar period, for which reason
they are still worshipped by the
Badagas; those villages having
akka bakka are so indicated in this
dictionary and in Appendix A; cf.
akka, ajju gu:du, bakka, and the
South of India Observer, Feb. 13,
1926; < akka+tbakka, ‘set apart+
place’, or else < hakku bakku,
‘place where grain used to be col-
lected as tribute’)",akka bakka,akka bakka,,n.,"ceremonial structure of wood or stone pillars to mark the approach to the head village of a commune. (Without these nearby structures the village is not the head of a commune, u:r; there are 32 on the Nilgiri plateau, but none in Wainad Gauda villages; according to folklore Hakka and Bakka were the names of two Odeya chiefs of the Middle Ages who drove out the Moslem invaders in Southern Karnataka early in the Vijayanagar period, for which reason they are still worshipped by the Badagas; those villages having akka bakka are so indicated in this dictionary and in Appendix A; akka, ajju gu:du, bakka, and the South of India Observer, Feb. 13, 1926; < akka+tbakka, ‘set apart+ place’, or else < hakku bakku",noun uncertain,"hockings-pilotraichoor1992[p. 4, col. 2]",,,,94.45
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c2:y0399,24,4,2,399,"akkamma n. a good woman and
spinster; np. 1. a disciple of Bas-
savanna (q.v.); 2. female name
DEDR 23, 183",akkamma,akkamma,,n.,a good woman and spinster; 1. a disciple of Bassavanna ; 2. female name,noun proper-noun uncertain,"hockings-pilotraichoor1992[p. 4, col. 2]",23|183,,"(q.v.); Hockings and Pilot-Raichoor cite DEDR 23, 183",92.34
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c2:y0443,24,4,2,443,"akka:lu n. sisterly woman; np. fe-
male name (mainly used by Linga-
yats) DEDR 23",akka:lu,akka:lu,,n.,sisterly woman; female name (mainly used by Lingayats),noun proper-noun uncertain,"hockings-pilotraichoor1992[p. 4, col. 2]",23,,Hockings and Pilot-Raichoor cite DEDR 23,94.93
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c2:y0475,24,4,2,475,"akki n. 1. rice, husked
rice ( Oryza sativa), 2. millet grain
(Krishnamurthi 1953: 193-94)
DEDR 215
‘na: akkiya uricine’™—I soak the rice",akki,akki,,n.,"1. rice, husked rice (Oryza sativa), 2. millet grain",noun uncertain,"hockings-pilotraichoor1992[p. 4, col. 2]",215,,(Krishnamurthi 1953: 193-94); Hockings and Pilot-Raichoor cite DEDR 215,89.55
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p4:c2:y0537,24,4,2,537,"akki/akkilu/hakki/hakkilu n. bird,
avifauna (Francis 1908:77-83; Ba-
ker & Inglis 1930: passim; Whist-
ler 1935: passim; Ali 1949: passim;
1969: passim; Hawkins 1986: pas-
sim) DBIA 233b",akki/akkilu/hakki/hakkilu,akki,akkilu|hakki|hakkilu,n.,"bird, avifauna DBIA 233b",noun uncertain alternate,"hockings-pilotraichoor1992[p. 4, col. 2]",,,(Francis 1908:77-83; Baker & Inglis 1930: passim; Whistler 1935: passim; Ali 1949: passim; 1969: passim; Hawkins 1986: passim),94.60
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p5:c1:y0096,25,5,1,96,"akki ganje n. barley, bearded
barley, bearded wheat, six-rowed
naked barley, spiked barley, tail
wheat ( Hordeum sativum, Hooker
1872-97: VII, 371; Macleane 1893:
395; Watt 1908: 640-44; Krishna-
murthi 1953: 195; Maharashtra
1953: 117; Gamble & Fischer
1956-57: 1284, < akki+ganje,
‘millet+barley’) DEDR 215, 1107
akkiyettuvadu sa:stara/akki sukku
ettudu/akki ha:kudu sa:stara/
akkiye: sa:stara n. grain-carrying
rite (lit.), a part of the Badaga
funeral ceremony when grain is
placed on the corpse (not perform-
ed by Wodeyas; < akki+(y)ettu+
sa:stara, ‘millettcarry+command,
precept, instruction’) DEDR 215, 796
akkiye: sa:stara/akkiyettuvadu
sa:stara/akki sukkuettudu/akki
ha:kudu sa:stara idem. (< akki+
(y)e:+sa:stara, ‘graintalastcom-
mand, precept, instruction’) DEDR
215",akki ganje,akki ganje,,n.,"barley, bearded barley, bearded wheat, six-rowed naked barley, spiked barley, tail wheat (Hordeum sativum, Hooker 1872-97: VII, 371; Macleane 1893: 395; Watt 1908: 640-44; Krishnamurthi 1953: 195; Maharashtra 1953: 117; Gamble & Fischer 1956-57: 1284, < akki+ganje",noun uncertain,"hockings-pilotraichoor1992[p. 5, col. 1]",215|1107|796,,"Hockings and Pilot-Raichoor cite DEDR 215, 1107, 796",91.22
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p5:c1:y0368,25,5,1,368,"akkilu/hakkilu/hakki/akki cf.
above, akki/akkilu/ hakki/ hak-
kilu",akkilu/hakkilu/hakki/akki,akkilu,hakkilu|hakki|akki,cf.,"above, akki/akkilu/ hakki/ hakkilu",uncertain alternate,"hockings-pilotraichoor1992[p. 5, col. 1]",,,,94.36
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p5:c1:y0400,25,5,1,400,"akki sukku n. rice and grits, grain
given during a funeral ceremony
(always used as pair-words; < akki
+sukku, ‘millet+magical powder’)
DEDR 215, 2687
akki sukku ettudu/akkiyettuvadu
sa:stara/akkiye: sa:stara/akki
ha:kudu sa:stara cf. akkiyettu-
vadu sa:stara/ akki sukku ettudu/
akki ha:kudu sa:stara/ akkiye:
sa:stara (< akki+sukku+ettudu,
‘millet+grit+placing’) DEDR 215,
2687, 796
akki ha:kudu sa:stara/akkiyettu-
vadu sa:stara/akkiye: sa:stara/
akki sukku ettudu idem. (< akki
+ha:ku+sa:stara, ‘millet+place+
command, precept, instruction’)
DEDR 21, 333, 796",akki sukku,akki sukku,,n.,"rice and grits, grain given during a funeral ceremony akki sukku ettudu/akkiyettuvadu sa:stara/akkiye: sa:stara/akki ha:kudu sa:stara akkiyettuvadu sa:stara/ akki sukku ettudu/ akki ha:kudu sa:stara/ akkiye: sa:stara (< akki+sukku+ettudu",noun uncertain,"hockings-pilotraichoor1992[p. 5, col. 1]",215|2687|796|21|333,,"(always used as pair-words; < akki +sukku, ‘millet+magical powder’); Hockings and Pilot-Raichoor cite DEDR 215, 2687, 796, 21, 333",85.46
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p5:c2:y0097,25,5,2,97,akkurama n. atrocity,akkurama,akkurama,,n.,atrocity,noun uncertain,"hockings-pilotraichoor1992[p. 5, col. 2]",,,,91.39
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p5:c2:y0108,25,5,2,108,akkurogi n. multitude (cf. ko:di),akkurogi,akkurogi,,n.,multitude,noun uncertain,"hockings-pilotraichoor1992[p. 5, col. 2]",,,(cf. ko:di),82.27
