Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Raw_Note,Source_Language,Language_ID,Dialect_Tag,Page,Row,Item,Source_Record,Column,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Final_Notes,Final_Etymology,Note_Class,Crossref_Target_Raw,Crossref_Target_Key,Crossref_Status,Crossref_Reason,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256,Review_Result,Material_Error
2026-08-28,bhattacharya1968bonda:C:c1.p7.r19.i145.s143,un-,see <u:->,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,7,19,145,143,1,1,bhattacharya1968bonda:C:c1.p7.r19.i145.s143,bhattacharya1968bonda:C:c1.p9.r19.i189.s185,un-,to plant,Source cross-reference: see <u:->,,none,u:-,bhattacharya1968bonda:C:c1.p9.r19.i189.s185,resolved,unique normalized printed target,ingested,structured dictionary record,"bhattacharya1968bonda[p. 7, row 19, item 145]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,9df2c46b4163d12e7192590299ccf834c32bed934866c0c390b1bcdc2dc0cefc,pass,
2026-08-28,bhattacharya1968bonda:C:c1.p18.r2.i332.s326,ɔnɔkser,see <ɔkser>,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,18,2,332,326,1,1,bhattacharya1968bonda:C:c1.p18.r2.i332.s326,bhattacharya1968bonda:C:c1.p13.r4.i249.s244,ɔnɔkser,horizontal pole on which wet clothes are hung for drying,Source cross-reference: see <ɔkser>,,none,ɔkser,bhattacharya1968bonda:C:c1.p13.r4.i249.s244,resolved,unique normalized printed target,ingested,structured dictionary record,"bhattacharya1968bonda[p. 18, row 2, item 332]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,00eb371d3312bd22ad495f8ce8404a004f0a398b07f93005e7da7e99d3b73e9b,pass,
2026-08-28,bhattacharya1968bonda:C:c1.p5.r8.i92.s90,igme?,excreta of goat>,?*,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,5,8,92,90,1,1,bhattacharya1968bonda:C:c1.p5.r8.i92.s90,,igme?,excreta of goat>,Source query: *,,query,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 5, row 8, item 92]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,a5c984ca927eeb241f738200ebf0254f87fb9754f7be061ba4fa72d7ef5a3bf1,pass,
2026-08-28,bhattacharya1968bonda:C:c1.p68.r6.i1364.s1359,"ta:yɔ:, teɔ:",ant-hill>,?Note long vowel/rdg,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,68,6,1364,1359,1,2,bhattacharya1968bonda:C:c1.p68.r6.i1364.s1359:v2,bhattacharya1968bonda:C:c1.p68.r6.i1364.s1359,teɔ:,ant-hill>,Source query: Note long vowel/rdg,,query,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 68, row 6, item 1364]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,a985adca744cf7497f6de080d409f764bb1fd9b62ffe6148dd77aa9e8ca0502b,pass,
2026-08-28,bhattacharya1968bonda:C:c2.p142.r46.i2846.s,pɔdu(E?),,,Bondo [Hill],re,dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,142,46,2846,,2,1,bhattacharya1968bonda:C:c2.p142.r46.i2846.s,,pɔdu,,,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 142, row 46, item 2846]",dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,9d6b8ecd00ec79410f3bcda403bede992f14d0f156bf3e2a6e69daaf2d63fb07,pass,
2026-08-28,bhattacharya1968bonda:C:c2.p142.r13.i2813.s,gige(E?),,,Bondo [Hill],re,dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,142,13,2813,,2,1,bhattacharya1968bonda:C:c2.p142.r13.i2813.s,,gige,,,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 142, row 13, item 2813]",dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,32329b1e18d93afce7e41fb26697b808c0e0ed471842e46cff35fc7aba8e7550,pass,
2026-08-28,bhattacharya1968bonda:C:c2.p142.r50.i2850.s2849_Elwin194,bissa:s,"pollution, sin",,Bondo [Hill],re,dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,142,50,2850,2849_Elwin194,2,1,bhattacharya1968bonda:C:c2.p142.r50.i2850.s2849_Elwin194,,bissa:s,"pollution, sin",,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 142, row 50, item 2850]",dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,2c3c2444c71474cde6d4efc7200e9223330eb1372ac868b9b09deba28f370eed,pass,
2026-08-28,bhattacharya1968bonda:C:c2.p82.r15.i1647.s1642,nsaŋmɔ?,eyelashes,!see /nsa?mɔ?/,Bondo [Hill],re,dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,82,15,1647,1642,2,1,bhattacharya1968bonda:C:c2.p82.r15.i1647.s1642,,nsaŋmɔ?,eyelashes,see /nsa?mɔ?/,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 82, row 15, item 1647]",dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,b1d88bd622e6ac8b08ac056c68f02f96d41344e26833cbfe685f22f64a43d3e1,pass,
2026-08-28,bhattacharya1968bonda:C:c2.p80.r2.i1591.s1586,ninḍa sela:,see <DinDa sela:,,Bondo [Hill],re,dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,80,2,1591,1586,2,1,bhattacharya1968bonda:C:c2.p80.r2.i1591.s1586,,ninḍa sela:,,Source cross-reference: see <DinDa sela:,,none,DinDa sela:,,unresolved,no unique compatible printed target,ingested,structured dictionary record,"bhattacharya1968bonda[p. 80, row 2, item 1591]",dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,a9f26a1dc16dc2d1b4c6aad0b201cc8b5cdcc1d6a5572b2ef7e33616fa752832,pass,
2026-08-28,bhattacharya1968bonda:C:c1.p43.r7.i869.s862,gi?-,"to stick to something, to be attached",!see /ɔgi?-/,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,43,7,869,862,1,1,bhattacharya1968bonda:C:c1.p43.r7.i869.s862,,gi?-,"to stick to something, to be attached",see /ɔgi?-/,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 43, row 7, item 869]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,bc8ca6ed0af097118e9748d4157a2a8d58d55895873d8c79a63a7c45b8c32419,pass,
