Snapshot_Date,Unit_ID,Region,PDF_Page,Printed_Page,Locator,Raw_Form,Raw_Gloss,Raw_Context,Status,Reason,Final_Form,Final_Gloss,Final_Phonemic,Final_Tags,Final_Parameter,Emitted_Key,Merged_Into,Source,Record_SHA256
2026-08-25,t1:12,t1,5,132,"p. 132, table 1",irpäṣ,mother-in-law,palula=preṣ; gawri=čiš,installed,read from the PDF text layer and installed unchanged,irpäṣ,mother-in-law,,noun,12759,kalkoti:t1:12,,"kalkoti[p. 132, table 1]",07d8353b0bd4a1ff6f23be1e1ef8272cba1b5960883afc48bce0410138b12c25
2026-08-25,t18:fsg,t18,23,150,"p. 150, table 18",biš-iin,is/are sitting down,agreement=FSG; palula=bheš-éen-i; sawi=beeš-aa[ɛː]n-i,installed,read from the PDF text layer and installed unchanged,bišiin,is/are sitting down,,verb ipfv f sg,,kalkoti:t18:fsg,,"kalkoti[p. 150, table 18]",087112f4bf34ab4fc5f20d52e1cf464c9afc537e00f6b236ce647cdea3206d51
2026-08-25,t1:19,t1,5,132,"p. 132, table 1",pootr,son’s son,palula=púutru; gawri=pooɬ,installed,read from the PDF text layer and installed unchanged,pootr,son's son,,noun,8416,kalkoti:t1:19,,"kalkoti[p. 132, table 1]",08e0c7e6d152e3a35e4fc467fc8f09963a05ef3f6f501b40ed598b73a86b62a2
2026-08-25,seg:and,segment,7,134,"p. 134, table 6",tee,and,tags=conj; parent=t6:43; note=the article prints this element only inside the expression it cites in table 6; the segmentation is editorial,installed,read from the PDF text layer and installed unchanged,tee,and,,conj,5647,kalkoti:seg:and,,"kalkoti[p. 134, table 6]",090cb8ff1eb4f674d0c4ad133444f4769695429083727f92355a08e87653b00b
2026-08-25,t18:fpl,t18,23,150,"p. 150, table 18",biš-iin,is/are sitting down,agreement=FPL; palula=bheš-éen-im; sawi=beeš-aa[ɛː]n-e,installed,read from the PDF text layer and installed unchanged,bišiin,is/are sitting down,,verb ipfv f pl,,kalkoti:t18:fpl,kalkoti:t18:fsg,"kalkoti[p. 150, table 18]",0bcfc491b5c7fdd15c14b3ead0fcf1f046e0a6105cc0ad4eafe60298e6bf1a74
2026-08-25,ex2:1:4,interlinear,18,145,"p. 145, example 2",dris=ää,see.PFV.PST=Q,example=2; language=Kalk; translation=Did he see you yesterday?,installed,read from the PDF text layer and installed unchanged,dris,see,,pfv pret interr,,kalkoti:ex2:1:4,,"kalkoti[p. 145, example 2]",0c2b9f4753de0884dd6b5566a8316313d5cd7731b45f0bcada1f4842069d162f
2026-08-25,t1:22,t1,5,132,"p. 132, table 1",deed,father’s mother,palula=déedi; gawri=deed,installed,read from the PDF text layer and installed unchanged,deed,father's mother,,noun,6261,kalkoti:t1:22,,"kalkoti[p. 132, table 1]",0d34bb503f5e69fbbe3b8465ac7bb0348fac0720adf500ad33b34b22e2659bae
2026-08-25,t20:3,t20,25,152,"p. 152, table 20",čuṇ-uun-s,was writing,category=Past Imperfective; aspect=imperfective; tense=marked,installed,read from the PDF text layer and installed unchanged,čuṇuuns,was writing,,verb ipfv pret,,kalkoti:t20:3,,"kalkoti[p. 152, table 20]",0d47537bc96ceebf4bad4b30da12f0f974171ac931c611c01ca966944eec228f
2026-08-25,t14:2pl:obl2,t14,18,145,"p. 145, table 14",tis,2 PL,case=obl2; person=2 PL; printed=tis,installed,read from the PDF text layer and installed unchanged,tis,you (plural),,pron personal 2pl obl erg,,kalkoti:t14:2pl:obl2,kalkoti:t4:2pl:nom,"kalkoti[p. 145, table 14]",0d63b491ad6c3e15f20251b6ea9fb8f60a6cbe2e8c908d2d9f33fa1ef4a3a0b2
2026-08-25,t2:8:pfv,t2,6,133,"p. 133, table 2",khaal,ate,aspect=pfv; printed=khuun (khaal); palula=khaáanu (khóolu); gawri=khaant (khaay),installed,read from the PDF text layer and installed unchanged,khaal,ate,,verb pfv,,kalkoti:t2:8:pfv,,"kalkoti[p. 133, table 2]",0e65a1d1069ef22ba36e28fd88851d81183e8476f131314b9aca2868faafeb98
2026-08-25,t13:5,t13,17,144,"p. 144, table 13",taár,star,tone=H; palula=tóoru; oia=tāraká- (T: 5798),installed,read from the PDF text layer and installed unchanged,taár,star,,,5798,kalkoti:t13:5,kalkoti:t9:2,"kalkoti[p. 144, table 13]",0ffb4eefa3706d43d87de7d91d17a7061516e2eceba84f0663e143d80eec557b
2026-08-25,ex2:1:2,interlinear,18,145,"p. 145, example 2",tä,he,example=2; language=Kalk; translation=Did he see you yesterday?,installed,read from the PDF text layer and installed unchanged,tä,he,,,,kalkoti:ex2:1:2,,"kalkoti[p. 145, example 2]",10d364f17f99cd0b7e2807d921ae56590d68737d6912af7c9aa8af603b15211b
2026-08-25,prose:small:a2,prose,8,135,p. 135,[lʊɡuʈ],small,tags=adj; note=voicing alternation in the medial plosive; variant_of=prose:small; printed=[lʊkuʈ] ~ [lʊɡuʈ],installed,read from the PDF text layer and installed unchanged,luɡuṭ,small,lʊɡuʈ,adj,,kalkoti:prose:small:a2,,kalkoti[p. 135],1178367e2e470444dee380dda1a1aa4507005e18be3892b5aaee9b8c87e65224
2026-08-25,t17:l-verb:non-perfective,t17,22,149,"p. 149, table 17",trap-,run,verb_class=l-verb; stem=Non-perfective stem,installed,read from the PDF text layer and installed unchanged,trap,to run,,verb stem Kalkoti-verb-class-L,5727,kalkoti:t17:l-verb:non-perfective,,"kalkoti[p. 149, table 17]",1203643ce1415e1d8b47db23657ce9dbf32f99304b78b775e90d3062264437ee
2026-08-25,t14:3pl:near:obl1,t14,18,145,"p. 145, table 14",ränaa,3 PL,case=obl1; person=3 PL; deixis=near; printed=ränaa,installed,read from the PDF text layer and installed unchanged,ränaa,they (proximate),,pron personal prox 3pl obl acc,,kalkoti:t14:3pl:near:obl1,,"kalkoti[p. 145, table 14]",1217979a5142e4e722934705f4a9a73ee806198740b5bd47e00905b5caca8eb5
