Snapshot_Table,Source_Row,Concept_Number,Source_Item,Source_Gloss,Canonical_Gloss,Source_Lect,Upstream_Language_ID,Jambu_Language_ID,Dialect_ID,Raw_Cell,Form_Index,Transcription,Status,Reason,Entry_Key
monpa.tsv,4,3,,2nd pl. (familiar),2nd pl. (familiar),Monpa (Kalaktang),MonpaKalaktang,KalaktangMonpa,abrahammonpa2018_monpa_kalaktang,naiba,1,naiba,installed,source-matrix form,abrahammonpa2018:monpa:r004:h:v1
monpa.tsv,4,3,,2nd pl. (familiar),2nd pl. (familiar),Monpa (Balemu),MonpaBalemu,KalaktangMonpa,abrahammonpa2018_monpa_balemu,naiba,1,naiba,installed,source-matrix form,abrahammonpa2018:monpa:r004:p:v1
monpa.tsv,4,3,,2nd pl. (familiar),2nd pl. (familiar),Monpa (Tomko),MonpaTomko,KalaktangMonpa,abrahammonpa2018_monpa_tomko,naʃibak,1,naʃibak,installed,source-matrix form,abrahammonpa2018:monpa:r004:q:v1
monpa.tsv,4,3,,2nd pl. (familiar),2nd pl. (familiar),Monpa (Namsu),MonpaNamsu,KalaktangMonpa,abrahammonpa2018_monpa_namsu,naʃi,1,naʃi,installed,source-matrix form,abrahammonpa2018:monpa:r004:t:v1
monpa.tsv,4,3,,2nd pl. (familiar),2nd pl. (familiar),Monpa (Tembang),MonpaTembang,Tshangla,abrahammonpa2018_monpa_tembang,naʃtiba,1,naʃtiba,installed,source-matrix form,abrahammonpa2018:monpa:r004:u:v1
monpa.tsv,4,3,,2nd pl. (familiar),2nd pl. (familiar),Monpa (Dirang Dum),MonpaDirangDum,Tshangla,abrahammonpa2018_monpa_dirang_dum,nangam,1,nangam,installed,source-matrix form,abrahammonpa2018:monpa:r004:k:v1
monpa.tsv,4,3,,2nd pl. (familiar),2nd pl. (familiar),Monpa (Sangti),MonpaSangti,Tshangla,abrahammonpa2018_monpa_sangti,naʃi,1,naʃi,installed,source-matrix form,abrahammonpa2018:monpa:r004:n:v1
monpa.tsv,4,3,,2nd pl. (familiar),2nd pl. (familiar),Monpa (Dirang),MonpaDirang,Tshangla,abrahammonpa2018_monpa_dirang,naʃibak,1,naʃibak,installed,source-matrix form,abrahammonpa2018:monpa:r004:o:v1
monpa.tsv,5,4,,2nd pl. (honorific),2nd pl. (honorific),Monpa (Tawang Monastery),MonpaTawangMonastery,Dakpakha,abrahammonpa2018_monpa_tawang_monastery,itaŋbanaŋ,1,itaŋbanaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r005:f:v1
monpa.tsv,5,4,,2nd pl. (honorific),2nd pl. (honorific),Monpa (Zimithang),MonpaZimithang,Dakpakha,abrahammonpa2018_monpa_zimithang,jiɾa,1,jiɾa,installed,source-matrix form,abrahammonpa2018:monpa:r005:r:v1
monpa.tsv,5,4,,2nd pl. (honorific),2nd pl. (honorific),Monpa (Changprong),MonpaChangprong,Dakpakha,abrahammonpa2018_monpa_changprong,irbanaŋ,1,irbanaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r005:s:v1
monpa.tsv,5,4,,2nd pl. (honorific),2nd pl. (honorific),Monpa (Kalaktang),MonpaKalaktang,KalaktangMonpa,abrahammonpa2018_monpa_kalaktang,naiba,1,naiba,installed,source-matrix form,abrahammonpa2018:monpa:r005:h:v1
monpa.tsv,5,4,,2nd pl. (honorific),2nd pl. (honorific),Monpa (Balemu),MonpaBalemu,KalaktangMonpa,abrahammonpa2018_monpa_balemu,naiba,1,naiba,installed,source-matrix form,abrahammonpa2018:monpa:r005:p:v1
monpa.tsv,5,4,,2nd pl. (honorific),2nd pl. (honorific),Monpa (Tomko),MonpaTomko,KalaktangMonpa,abrahammonpa2018_monpa_tomko,naʃibak,1,naʃibak,installed,source-matrix form,abrahammonpa2018:monpa:r005:q:v1
monpa.tsv,5,4,,2nd pl. (honorific),2nd pl. (honorific),Monpa (Namsu),MonpaNamsu,KalaktangMonpa,abrahammonpa2018_monpa_namsu,naʃi,1,naʃi,installed,source-matrix form,abrahammonpa2018:monpa:r005:t:v1
monpa.tsv,5,4,,2nd pl. (honorific),2nd pl. (honorific),Monpa (Tembang),MonpaTembang,Tshangla,abrahammonpa2018_monpa_tembang,naʃtiba,1,naʃtiba,installed,source-matrix form,abrahammonpa2018:monpa:r005:u:v1
monpa.tsv,5,4,,2nd pl. (honorific),2nd pl. (honorific),Monpa (Dirang Dum),MonpaDirangDum,Tshangla,abrahammonpa2018_monpa_dirang_dum,nangam,1,nangam,installed,source-matrix form,abrahammonpa2018:monpa:r005:k:v1
monpa.tsv,5,4,,2nd pl. (honorific),2nd pl. (honorific),Monpa (Sangti),MonpaSangti,Tshangla,abrahammonpa2018_monpa_sangti,naʃibak,1,naʃibak,installed,source-matrix form,abrahammonpa2018:monpa:r005:n:v1
monpa.tsv,5,4,,2nd pl. (honorific),2nd pl. (honorific),Monpa (Dirang),MonpaDirang,Tshangla,abrahammonpa2018_monpa_dirang,naʃibak,1,naʃibak,installed,source-matrix form,abrahammonpa2018:monpa:r005:o:v1
monpa.tsv,6,5,,2nd sg. (familiar),2nd sg. (familiar),Monpa (Tawang Monastery),MonpaTawangMonastery,Dakpakha,abrahammonpa2018_monpa_tawang_monastery,inaŋ,1,inaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r006:f:v1
monpa.tsv,6,5,,2nd sg. (familiar),2nd sg. (familiar),Monpa (Zimithang),MonpaZimithang,Dakpakha,abrahammonpa2018_monpa_zimithang,ih,1,ih,installed,source-matrix form,abrahammonpa2018:monpa:r006:r:v1
monpa.tsv,6,5,,2nd sg. (familiar),2nd sg. (familiar),Monpa (Changprong),MonpaChangprong,Dakpakha,abrahammonpa2018_monpa_changprong,ih,1,ih,installed,source-matrix form,abrahammonpa2018:monpa:r006:s:v1
monpa.tsv,6,5,,2nd sg. (familiar),2nd sg. (familiar),Monpa (Kalaktang),MonpaKalaktang,KalaktangMonpa,abrahammonpa2018_monpa_kalaktang,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r006:h:v1
monpa.tsv,6,5,,2nd sg. (familiar),2nd sg. (familiar),Monpa (Balemu),MonpaBalemu,KalaktangMonpa,abrahammonpa2018_monpa_balemu,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r006:p:v1
monpa.tsv,6,5,,2nd sg. (familiar),2nd sg. (familiar),Monpa (Tomko),MonpaTomko,KalaktangMonpa,abrahammonpa2018_monpa_tomko,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r006:q:v1
monpa.tsv,6,5,,2nd sg. (familiar),2nd sg. (familiar),Monpa (Namsu),MonpaNamsu,KalaktangMonpa,abrahammonpa2018_monpa_namsu,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r006:t:v1
monpa.tsv,6,5,,2nd sg. (familiar),2nd sg. (familiar),Monpa (Tembang),MonpaTembang,Tshangla,abrahammonpa2018_monpa_tembang,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r006:u:v1
monpa.tsv,6,5,,2nd sg. (familiar),2nd sg. (familiar),Monpa (Dirang Dum),MonpaDirangDum,Tshangla,abrahammonpa2018_monpa_dirang_dum,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r006:k:v1
monpa.tsv,6,5,,2nd sg. (familiar),2nd sg. (familiar),Monpa (Sangti),MonpaSangti,Tshangla,abrahammonpa2018_monpa_sangti,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r006:n:v1
monpa.tsv,6,5,,2nd sg. (familiar),2nd sg. (familiar),Monpa (Dirang),MonpaDirang,Tshangla,abrahammonpa2018_monpa_dirang,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r006:o:v1
monpa.tsv,7,6,,2nd sg. (honorific),2nd sg. (honorific),Monpa (Tawang Monastery),MonpaTawangMonastery,Dakpakha,abrahammonpa2018_monpa_tawang_monastery,inaŋ,1,inaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r007:f:v1
monpa.tsv,7,6,,2nd sg. (honorific),2nd sg. (honorific),Monpa (Zimithang),MonpaZimithang,Dakpakha,abrahammonpa2018_monpa_zimithang,ih,1,ih,installed,source-matrix form,abrahammonpa2018:monpa:r007:r:v1
monpa.tsv,7,6,,2nd sg. (honorific),2nd sg. (honorific),Monpa (Changprong),MonpaChangprong,Dakpakha,abrahammonpa2018_monpa_changprong,ih,1,ih,installed,source-matrix form,abrahammonpa2018:monpa:r007:s:v1
monpa.tsv,7,6,,2nd sg. (honorific),2nd sg. (honorific),Monpa (Kalaktang),MonpaKalaktang,KalaktangMonpa,abrahammonpa2018_monpa_kalaktang,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r007:h:v1
monpa.tsv,7,6,,2nd sg. (honorific),2nd sg. (honorific),Monpa (Balemu),MonpaBalemu,KalaktangMonpa,abrahammonpa2018_monpa_balemu,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r007:p:v1
monpa.tsv,7,6,,2nd sg. (honorific),2nd sg. (honorific),Monpa (Tomko),MonpaTomko,KalaktangMonpa,abrahammonpa2018_monpa_tomko,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r007:q:v1
monpa.tsv,7,6,,2nd sg. (honorific),2nd sg. (honorific),Monpa (Namsu),MonpaNamsu,KalaktangMonpa,abrahammonpa2018_monpa_namsu,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r007:t:v1
monpa.tsv,7,6,,2nd sg. (honorific),2nd sg. (honorific),Monpa (Tembang),MonpaTembang,Tshangla,abrahammonpa2018_monpa_tembang,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r007:u:v1
monpa.tsv,7,6,,2nd sg. (honorific),2nd sg. (honorific),Monpa (Dirang Dum),MonpaDirangDum,Tshangla,abrahammonpa2018_monpa_dirang_dum,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r007:k:v1
monpa.tsv,7,6,,2nd sg. (honorific),2nd sg. (honorific),Monpa (Sangti),MonpaSangti,Tshangla,abrahammonpa2018_monpa_sangti,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r007:n:v1
monpa.tsv,7,6,,2nd sg. (honorific),2nd sg. (honorific),Monpa (Dirang),MonpaDirang,Tshangla,abrahammonpa2018_monpa_dirang,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r007:o:v1
monpa.tsv,8,7,,3rd pl.,3rd pl.,Monpa (Tawang Monastery),MonpaTawangMonastery,Dakpakha,abrahammonpa2018_monpa_tawang_monastery,ʔot; bad̪o,1,ʔot,installed,source-matrix form,abrahammonpa2018:monpa:r008:f:v1
monpa.tsv,8,7,,3rd pl.,3rd pl.,Monpa (Tawang Monastery),MonpaTawangMonastery,Dakpakha,abrahammonpa2018_monpa_tawang_monastery,ʔot; bad̪o,2,bad̪o,installed,source-matrix form,abrahammonpa2018:monpa:r008:f:v2
monpa.tsv,8,7,,3rd pl.,3rd pl.,Monpa (Zimithang),MonpaZimithang,Dakpakha,abrahammonpa2018_monpa_zimithang,beɾa,1,beɾa,installed,source-matrix form,abrahammonpa2018:monpa:r008:r:v1
monpa.tsv,8,7,,3rd pl.,3rd pl.,Monpa (Changprong),MonpaChangprong,Dakpakha,abrahammonpa2018_monpa_changprong,bhirbanaŋ,1,bhirbanaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r008:s:v1
monpa.tsv,8,7,,3rd pl.,3rd pl.,Monpa (Kalaktang),MonpaKalaktang,KalaktangMonpa,abrahammonpa2018_monpa_kalaktang,d̪aiba,1,d̪aiba,installed,source-matrix form,abrahammonpa2018:monpa:r008:h:v1
monpa.tsv,8,7,,3rd pl.,3rd pl.,Monpa (Balemu),MonpaBalemu,KalaktangMonpa,abrahammonpa2018_monpa_balemu,d̪aiba,1,d̪aiba,installed,source-matrix form,abrahammonpa2018:monpa:r008:p:v1
monpa.tsv,8,7,,3rd pl.,3rd pl.,Monpa (Tomko),MonpaTomko,KalaktangMonpa,abrahammonpa2018_monpa_tomko,d̪aʃibak,1,d̪aʃibak,installed,source-matrix form,abrahammonpa2018:monpa:r008:q:v1
monpa.tsv,8,7,,3rd pl.,3rd pl.,Monpa (Namsu),MonpaNamsu,KalaktangMonpa,abrahammonpa2018_monpa_namsu,oɲaba,1,oɲaba,installed,source-matrix form,abrahammonpa2018:monpa:r008:t:v1
monpa.tsv,8,7,,3rd pl.,3rd pl.,Monpa (Tembang),MonpaTembang,Tshangla,abrahammonpa2018_monpa_tembang,daʃi,1,daʃi,installed,source-matrix form,abrahammonpa2018:monpa:r008:u:v1
monpa.tsv,8,7,,3rd pl.,3rd pl.,Monpa (Dirang Dum),MonpaDirangDum,Tshangla,abrahammonpa2018_monpa_dirang_dum,naʃehane,1,naʃehane,installed,source-matrix form,abrahammonpa2018:monpa:r008:k:v1
monpa.tsv,8,7,,3rd pl.,3rd pl.,Monpa (Sangti),MonpaSangti,Tshangla,abrahammonpa2018_monpa_sangti,d̪aʃibak,1,d̪aʃibak,installed,source-matrix form,abrahammonpa2018:monpa:r008:n:v1
monpa.tsv,8,7,,3rd pl.,3rd pl.,Monpa (Dirang),MonpaDirang,Tshangla,abrahammonpa2018_monpa_dirang,d̪aʃibak,1,d̪aʃibak,installed,source-matrix form,abrahammonpa2018:monpa:r008:o:v1
monpa.tsv,9,8,,3rd sg. (female),3rd sg. (female),Monpa (Tawang Monastery),MonpaTawangMonastery,Dakpakha,abrahammonpa2018_monpa_tawang_monastery,be,1,be,installed,source-matrix form,abrahammonpa2018:monpa:r009:f:v1
monpa.tsv,9,8,,3rd sg. (female),3rd sg. (female),Monpa (Zimithang),MonpaZimithang,Dakpakha,abrahammonpa2018_monpa_zimithang,moi,1,moi,installed,source-matrix form,abrahammonpa2018:monpa:r009:r:v1
monpa.tsv,9,8,,3rd sg. (female),3rd sg. (female),Monpa (Changprong),MonpaChangprong,Dakpakha,abrahammonpa2018_monpa_changprong,umraŋ,1,umraŋ,installed,source-matrix form,abrahammonpa2018:monpa:r009:s:v1
monpa.tsv,9,8,,3rd sg. (female),3rd sg. (female),Monpa (Kalaktang),MonpaKalaktang,KalaktangMonpa,abrahammonpa2018_monpa_kalaktang,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r009:h:v1
monpa.tsv,9,8,,3rd sg. (female),3rd sg. (female),Monpa (Balemu),MonpaBalemu,KalaktangMonpa,abrahammonpa2018_monpa_balemu,d̪an,1,d̪an,installed,source-matrix form,abrahammonpa2018:monpa:r009:p:v1
monpa.tsv,9,8,,3rd sg. (female),3rd sg. (female),Monpa (Tomko),MonpaTomko,KalaktangMonpa,abrahammonpa2018_monpa_tomko,zaminzimbu,1,zaminzimbu,installed,source-matrix form,abrahammonpa2018:monpa:r009:q:v1
monpa.tsv,9,8,,3rd sg. (female),3rd sg. (female),Monpa (Namsu),MonpaNamsu,KalaktangMonpa,abrahammonpa2018_monpa_namsu,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r009:t:v1
monpa.tsv,9,8,,3rd sg. (female),3rd sg. (female),Monpa (Tembang),MonpaTembang,Tshangla,abrahammonpa2018_monpa_tembang,–,,,excluded,explicit dash or blank source cell,
monpa.tsv,9,8,,3rd sg. (female),3rd sg. (female),Monpa (Dirang Dum),MonpaDirangDum,Tshangla,abrahammonpa2018_monpa_dirang_dum,zamiŋ,1,zamiŋ,installed,source-matrix form,abrahammonpa2018:monpa:r009:k:v1
monpa.tsv,9,8,,3rd sg. (female),3rd sg. (female),Monpa (Sangti),MonpaSangti,Tshangla,abrahammonpa2018_monpa_sangti,zamin,1,zamin,installed,source-matrix form,abrahammonpa2018:monpa:r009:n:v1
monpa.tsv,9,8,,3rd sg. (female),3rd sg. (female),Monpa (Dirang),MonpaDirang,Tshangla,abrahammonpa2018_monpa_dirang,digi,1,digi,installed,source-matrix form,abrahammonpa2018:monpa:r009:o:v1
monpa.tsv,10,9,,3rd sg. (generic male),3rd sg. (generic male),Monpa (Tawang Monastery),MonpaTawangMonastery,Dakpakha,abrahammonpa2018_monpa_tawang_monastery,be,1,be,installed,source-matrix form,abrahammonpa2018:monpa:r010:f:v1
monpa.tsv,10,9,,3rd sg. (generic male),3rd sg. (generic male),Monpa (Zimithang),MonpaZimithang,Dakpakha,abrahammonpa2018_monpa_zimithang,be,1,be,installed,source-matrix form,abrahammonpa2018:monpa:r010:r:v1
monpa.tsv,10,9,,3rd sg. (generic male),3rd sg. (generic male),Monpa (Changprong),MonpaChangprong,Dakpakha,abrahammonpa2018_monpa_changprong,um,1,um,installed,source-matrix form,abrahammonpa2018:monpa:r010:s:v1
monpa.tsv,10,9,,3rd sg. (generic male),3rd sg. (generic male),Monpa (Kalaktang),MonpaKalaktang,KalaktangMonpa,abrahammonpa2018_monpa_kalaktang,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r010:h:v1
monpa.tsv,10,9,,3rd sg. (generic male),3rd sg. (generic male),Monpa (Balemu),MonpaBalemu,KalaktangMonpa,abrahammonpa2018_monpa_balemu,d̪an,1,d̪an,installed,source-matrix form,abrahammonpa2018:monpa:r010:p:v1
monpa.tsv,10,9,,3rd sg. (generic male),3rd sg. (generic male),Monpa (Tomko),MonpaTomko,KalaktangMonpa,abrahammonpa2018_monpa_tomko,nunuzimbu,1,nunuzimbu,installed,source-matrix form,abrahammonpa2018:monpa:r010:q:v1
monpa.tsv,10,9,,3rd sg. (generic male),3rd sg. (generic male),Monpa (Namsu),MonpaNamsu,KalaktangMonpa,abrahammonpa2018_monpa_namsu,nan,1,nan,installed,source-matrix form,abrahammonpa2018:monpa:r010:t:v1
monpa.tsv,10,9,,3rd sg. (generic male),3rd sg. (generic male),Monpa (Tembang),MonpaTembang,Tshangla,abrahammonpa2018_monpa_tembang,–,,,excluded,explicit dash or blank source cell,
monpa.tsv,10,9,,3rd sg. (generic male),3rd sg. (generic male),Monpa (Dirang Dum),MonpaDirangDum,Tshangla,abrahammonpa2018_monpa_dirang_dum,d̪an,1,d̪an,installed,source-matrix form,abrahammonpa2018:monpa:r010:k:v1
monpa.tsv,10,9,,3rd sg. (generic male),3rd sg. (generic male),Monpa (Sangti),MonpaSangti,Tshangla,abrahammonpa2018_monpa_sangti,d̪an,1,d̪an,installed,source-matrix form,abrahammonpa2018:monpa:r010:n:v1
monpa.tsv,10,9,,3rd sg. (generic male),3rd sg. (generic male),Monpa (Dirang),MonpaDirang,Tshangla,abrahammonpa2018_monpa_dirang,digi,1,digi,installed,source-matrix form,abrahammonpa2018:monpa:r010:o:v1
monpa.tsv,11,10,,above,above,Monpa (Tawang Monastery),MonpaTawangMonastery,Dakpakha,abrahammonpa2018_monpa_tawang_monastery,takpa,1,takpa,installed,source-matrix form,abrahammonpa2018:monpa:r011:f:v1
monpa.tsv,11,10,,above,above,Monpa (Zimithang),MonpaZimithang,Dakpakha,abrahammonpa2018_monpa_zimithang,jur,1,jur,installed,source-matrix form,abrahammonpa2018:monpa:r011:r:v1
monpa.tsv,11,10,,above,above,Monpa (Changprong),MonpaChangprong,Dakpakha,abrahammonpa2018_monpa_changprong,jur,1,jur,installed,source-matrix form,abrahammonpa2018:monpa:r011:s:v1
monpa.tsv,11,10,,above,above,Monpa (Kalaktang),MonpaKalaktang,KalaktangMonpa,abrahammonpa2018_monpa_kalaktang,thuŋga,1,thuŋga,installed,source-matrix form,abrahammonpa2018:monpa:r011:h:v1
monpa.tsv,11,10,,above,above,Monpa (Balemu),MonpaBalemu,KalaktangMonpa,abrahammonpa2018_monpa_balemu,thuŋa,1,thuŋa,installed,source-matrix form,abrahammonpa2018:monpa:r011:p:v1
monpa.tsv,11,10,,above,above,Monpa (Tomko),MonpaTomko,KalaktangMonpa,abrahammonpa2018_monpa_tomko,kate,1,kate,installed,source-matrix form,abrahammonpa2018:monpa:r011:q:v1
monpa.tsv,11,10,,above,above,Monpa (Namsu),MonpaNamsu,KalaktangMonpa,abrahammonpa2018_monpa_namsu,thuŋga,1,thuŋga,installed,source-matrix form,abrahammonpa2018:monpa:r011:t:v1
monpa.tsv,11,10,,above,above,Monpa (Tembang),MonpaTembang,Tshangla,abrahammonpa2018_monpa_tembang,thuŋga,1,thuŋga,installed,source-matrix form,abrahammonpa2018:monpa:r011:u:v1
monpa.tsv,11,10,,above,above,Monpa (Dirang Dum),MonpaDirangDum,Tshangla,abrahammonpa2018_monpa_dirang_dum,teka,1,teka,installed,source-matrix form,abrahammonpa2018:monpa:r011:k:v1
monpa.tsv,11,10,,above,above,Monpa (Sangti),MonpaSangti,Tshangla,abrahammonpa2018_monpa_sangti,thuŋga,1,thuŋga,installed,source-matrix form,abrahammonpa2018:monpa:r011:n:v1
monpa.tsv,11,10,,above,above,Monpa (Dirang),MonpaDirang,Tshangla,abrahammonpa2018_monpa_dirang,thuŋga,1,thuŋga,installed,source-matrix form,abrahammonpa2018:monpa:r011:o:v1
monpa.tsv,12,11,,all,all,Monpa (Tawang Monastery),MonpaTawangMonastery,Dakpakha,abrahammonpa2018_monpa_tawang_monastery,gaŋpo,1,gaŋpo,installed,source-matrix form,abrahammonpa2018:monpa:r012:f:v1
monpa.tsv,12,11,,all,all,Monpa (Zimithang),MonpaZimithang,Dakpakha,abrahammonpa2018_monpa_zimithang,tʃaŋma,1,tʃaŋma,installed,source-matrix form,abrahammonpa2018:monpa:r012:r:v1
