Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Raw_Note,Source_Language,Language_ID,Dialect_Tag,Page,Row,Item,Source_Record,Column,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Final_Notes,Final_Etymology,Note_Class,Crossref_Target_Raw,Crossref_Target_Key,Crossref_Status,Crossref_Reason,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256
2026-08-28,bhattacharya1968bonda:C:c1.p78.r18.i1563.s1558,-n-,"an infix which denotes reciprocity, emphasis, duality, etc.",!cf. /-nu-/,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,78,18,1563,1558,1,1,bhattacharya1968bonda:C:c1.p78.r18.i1563.s1558,,-n-,"an infix which denotes reciprocity, emphasis, duality, etc.",cf. /-nu-/,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 78, row 18, item 1563]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo du emph,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,13c5e8ab5a338eac361d9ec2e33dae7a94fb18cbbf76347d57f5d43ba061ac5f
2026-08-28,bhattacharya1968bonda:C:c1.p78.r19.i1564.s1559,"-na, -n",a gen. suffix,!/-na/ is also a suffix for conditional verbs,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,78,19,1564,1559,1,1,bhattacharya1968bonda:C:c1.p78.r19.i1564.s1559,,-na,a gen. suffix,/-na/ is also a suffix for conditional verbs,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 78, row 19, item 1564]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo suffix gen conditional,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,81007d30145e871e4ad2a4cabf94fd3f221f20ab5372929b784b80df2433d3cd
2026-08-28,bhattacharya1968bonda:C:c1.p78.r19.i1564.s1559,"-na, -n",a gen. suffix,!/-na/ is also a suffix for conditional verbs,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,78,19,1564,1559,1,2,bhattacharya1968bonda:C:c1.p78.r19.i1564.s1559:v2,bhattacharya1968bonda:C:c1.p78.r19.i1564.s1559,-n,a gen. suffix,/-na/ is also a suffix for conditional verbs,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 78, row 19, item 1564]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo suffix gen conditional,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,81007d30145e871e4ad2a4cabf94fd3f221f20ab5372929b784b80df2433d3cd
2026-08-28,bhattacharya1968bonda:C:c1.p79.r14.i1583.s1578,-ni,used to form progressive tense,!also used in De; /uiga-ni/ he is going; /tɔ?ga-ni/ it is becoming loose; /sumɔ?niŋ-ni/ I am eating,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,79,14,1583,1578,1,1,bhattacharya1968bonda:C:c1.p79.r14.i1583.s1578,,-ni,used to form progressive tense,also used in De; /uiga-ni/ he is going; /tɔ?ga-ni/ it is becoming loose; /sumɔ?niŋ-ni/ I am eating,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 79, row 14, item 1583]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo progressive,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,04af857f07d44d76ee272a2eb0e434c24a473efe4fae46b600bad8a7bc5b6484
2026-08-28,bhattacharya1968bonda:C:c1.p79.r15.i1584.s1579,-ni-,an infix denoting dual number,!cf. /-nu-/,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,79,15,1584,1579,1,1,bhattacharya1968bonda:C:c1.p79.r15.i1584.s1579,,-ni-,an infix denoting dual number,cf. /-nu-/,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 79, row 15, item 1584]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo du,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,caf7e4086094746fe8162a762f2e5ca0e989e2db8d4d32fc134e6a4bf49c12e4
2026-08-28,bhattacharya1968bonda:C:c1.p80.r11.i1600.s1595,"-nu-, -ni-","an infix (denoting dual number, reciprocity, etc.)",!cf. /-n-/,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,80,11,1600,1595,1,1,bhattacharya1968bonda:C:c1.p80.r11.i1600.s1595,,-nu-,"an infix (denoting dual number, reciprocity, etc.)",cf. /-n-/,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 80, row 11, item 1600]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo du,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,28db9c0ebff0f3ec5fdc850cdef7f3924e083719eb37d7e0fff7b404494ebbd7
2026-08-28,bhattacharya1968bonda:C:c1.p80.r11.i1600.s1595,"-nu-, -ni-","an infix (denoting dual number, reciprocity, etc.)",!cf. /-n-/,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,80,11,1600,1595,1,2,bhattacharya1968bonda:C:c1.p80.r11.i1600.s1595:v2,bhattacharya1968bonda:C:c1.p80.r11.i1600.s1595,-ni-,"an infix (denoting dual number, reciprocity, etc.)",cf. /-n-/,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 80, row 11, item 1600]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo du,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,28db9c0ebff0f3ec5fdc850cdef7f3924e083719eb37d7e0fff7b404494ebbd7
2026-08-28,bhattacharya1968bonda:C:c1.p123.r5.i2460.s2458,-sa,on account of,"!also used while swearing, see /bɔ?re-sa/",Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,123,5,2460,2458,1,1,bhattacharya1968bonda:C:c1.p123.r5.i2460.s2458,,-sa,on account of,"also used while swearing, see /bɔ?re-sa/",,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 123, row 5, item 2460]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,1464a016b0a5662ffdd3212d1821ce393737ef7f624f2eb7e68ec1ed20088ae2
2026-08-28,bhattacharya1968bonda:C:c1.p135.r15.i2708.s2707,-se,used as a fem. pl. suffix,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,135,15,2708,2707,1,1,bhattacharya1968bonda:C:c1.p135.r15.i2708.s2707,,-se,used as a fem. pl. suffix,,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 135, row 15, item 2708]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo suffix f,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,ee5ce02ba13cd1533815c436bcc05fae90a8e206a029789fb62b974d4d4cd00e
2026-08-28,bhattacharya1968bonda:C:c1.p137.r8.i2736.s2735,"-se?ta, -se?",having been,"!/tireleg-se?ta/ having been together; a particle used to form conjunctives or occasionally instr. case; /ǰulɔ?se?/, /ǰulɔ?-se?ta/ having seen; /neubɔ-se?ta/ with the help of a funnel",Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,137,8,2736,2735,1,1,bhattacharya1968bonda:C:c1.p137.r8.i2736.s2735,,-se?ta,having been,"/tireleg-se?ta/ having been together; a particle used to form conjunctives or occasionally instr. case; /ǰulɔ?se?/, /ǰulɔ?-se?ta/ having seen; /neubɔ-se?ta/ with the help of a funnel",,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 137, row 8, item 2736]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo part,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,8af337b77989a37aaa67ba5e14eec85a7859f8e477ca07da3d837c28fa9d6dc7
2026-08-28,bhattacharya1968bonda:C:c1.p137.r8.i2736.s2735,"-se?ta, -se?",having been,"!/tireleg-se?ta/ having been together; a particle used to form conjunctives or occasionally instr. case; /ǰulɔ?se?/, /ǰulɔ?-se?ta/ having seen; /neubɔ-se?ta/ with the help of a funnel",Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,137,8,2736,2735,1,2,bhattacharya1968bonda:C:c1.p137.r8.i2736.s2735:v2,bhattacharya1968bonda:C:c1.p137.r8.i2736.s2735,-se?,having been,"/tireleg-se?ta/ having been together; a particle used to form conjunctives or occasionally instr. case; /ǰulɔ?se?/, /ǰulɔ?-se?ta/ having seen; /neubɔ-se?ta/ with the help of a funnel",,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 137, row 8, item 2736]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo part,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,8af337b77989a37aaa67ba5e14eec85a7859f8e477ca07da3d837c28fa9d6dc7
2026-08-28,bhattacharya1968bonda:C:c1.p70.r9.i1406.s1401,-tui,contracted form of <ntui> mushroom,"!e.g. /a?a-tui/, /tirepa-tui/, etc.",Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,70,9,1406,1401,1,1,bhattacharya1968bonda:C:c1.p70.r9.i1406.s1401,,-tui,contracted form of <ntui> mushroom,"e.g. /a?a-tui/, /tirepa-tui/, etc.",,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 70, row 9, item 1406]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,484cb35b9fba2431c02549bd668dbb59fd4be99682ea4425b13033282a94ee53
2026-08-28,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259,"-ḍeŋ, -ṛeŋ, -reŋ",a third person possessive morpheme,"!/ba?ḍeŋ/ his father, etc.",Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,62,21,1265,1259,1,1,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259,,-ḍeŋ,a third person possessive morpheme,"/ba?ḍeŋ/ his father, etc.",,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 62, row 21, item 1265]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,e1a425fe644458ae28a3eb960220844a2a1119d0604981dcb57a97f2cbd861c6
2026-08-28,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259,"-ḍeŋ, -ṛeŋ, -reŋ",a third person possessive morpheme,"!/ba?ḍeŋ/ his father, etc.",Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,62,21,1265,1259,1,2,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259:v2,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259,-ṛeŋ,a third person possessive morpheme,"/ba?ḍeŋ/ his father, etc.",,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 62, row 21, item 1265]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,e1a425fe644458ae28a3eb960220844a2a1119d0604981dcb57a97f2cbd861c6
2026-08-28,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259,"-ḍeŋ, -ṛeŋ, -reŋ",a third person possessive morpheme,"!/ba?ḍeŋ/ his father, etc.",Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,62,21,1265,1259,1,3,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259:v3,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259,-reŋ,a third person possessive morpheme,"/ba?ḍeŋ/ his father, etc.",,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 62, row 21, item 1265]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,e1a425fe644458ae28a3eb960220844a2a1119d0604981dcb57a97f2cbd861c6
2026-08-28,bhattacharya1968bonda:C:c1.p60.r16.i1218.s1212,-ḍi,an ablative suffix,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,60,16,1218,1212,1,1,bhattacharya1968bonda:C:c1.p60.r16.i1218.s1212,,-ḍi,an ablative suffix,,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 60, row 16, item 1218]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo suffix,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,f1f22dc7126a5c4c05f2aff965626d66783a2b9aa44d03d52488bc323acb4574
2026-08-28,bhattacharya1968bonda:C:c1.p64.r16.i1299.s1293,"-ḍɔm, -ṛɔm",in spite of,!/ɔhɔ! kɔ?n ma kakurti inḍɔ mpɔ? ḍigiḍigi-ṛɔm/ oh! what is this trouble in spite of there being a cloth,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,64,16,1299,1293,1,1,bhattacharya1968bonda:C:c1.p64.r16.i1299.s1293,,-ḍɔm,in spite of,/ɔhɔ! kɔ?n ma kakurti inḍɔ mpɔ? ḍigiḍigi-ṛɔm/ oh! what is this trouble in spite of there being a cloth,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 64, row 16, item 1299]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,d0d48294161068d6c069228f1a2be8181c08c521dec4374f999dc35f70c81107
2026-08-28,bhattacharya1968bonda:C:c1.p64.r16.i1299.s1293,"-ḍɔm, -ṛɔm",in spite of,!/ɔhɔ! kɔ?n ma kakurti inḍɔ mpɔ? ḍigiḍigi-ṛɔm/ oh! what is this trouble in spite of there being a cloth,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,64,16,1299,1293,1,2,bhattacharya1968bonda:C:c1.p64.r16.i1299.s1293:v2,bhattacharya1968bonda:C:c1.p64.r16.i1299.s1293,-ṛɔm,in spite of,/ɔhɔ! kɔ?n ma kakurti inḍɔ mpɔ? ḍigiḍigi-ṛɔm/ oh! what is this trouble in spite of there being a cloth,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 64, row 16, item 1299]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,d0d48294161068d6c069228f1a2be8181c08c521dec4374f999dc35f70c81107
2026-08-28,bhattacharya1968bonda:C:c1.p1.r2.i2.s2,a-,a prefix forming accusative and other cases,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,1,2,2,2,1,1,bhattacharya1968bonda:C:c1.p1.r2.i2.s2,,a-,a prefix forming accusative and other cases,,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 1, row 2, item 2]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo prefix,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,702584de6c1b92a5090315091773cb300bcd507b9f4b57274b2fe0cffc5bedd4
2026-08-28,bhattacharya1968bonda:C:c1.p1.r1.i1.s1,a-,a prefix mostly used to form the negatives of imperatives and simple tenses,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,1,1,1,1,1,1,bhattacharya1968bonda:C:c1.p1.r1.i1.s1,,a-,a prefix mostly used to form the negatives of imperatives and simple tenses,,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 1, row 1, item 1]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo prefix,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,2aed24e64f774e55e8e7f1760da834346814118984cf6a39b88fbeba53b8a313
