Record_Type,Report,PDF_Page,Printed_Page,Gloss_Number,Gloss,Site_Code,Site_Name,Source_Label,Comparison_Role,Response,Similarity_Group,Transcription,Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Key
wordlist response,john2008jaunsari,40,40,3,hair,K,Korwa,Jaunsari-Korwa,target,1,1,bal,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 40, item 3, Korwa]",siljaunsari2008:g003:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,40,40,3,hair,D,Khanaad,Jaunsari-Khanaad,target,1,1,bal,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 40, item 3, Khanaad]",siljaunsari2008:g003:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,40,40,3,hair,C,Chapnu,Jaunsari-Chapnu,target,1,2,baw,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 40, item 3, Chapnu]",siljaunsari2008:g003:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,40,40,3,hair,B,Bhandroli,Jaunsari-Bhandroli,target,1,3,muːnɖou,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 40, item 3, Bhandroli]",siljaunsari2008:g003:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,40,40,3,hair,M,Maindrath,MixedJB-Maindrath,target,1,1,bal,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 40, item 3, Maindrath]",siljaunsari2008:g003:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,40,40,3,hair,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,1,bal,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 40, item 3, Lakhamandal]",siljaunsari2008:g003:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,40,40,3,hair,A,Chakrata,Jaunsari-Chakratha,target,1,3,muɳɖ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 40, item 3, Chakrata]",siljaunsari2008:g003:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,40,40,3,hair,h,Hindi,Hindi,comparison control,1,1,bal,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 3, Hindi]",
wordlist response,john2008jaunsari,40,40,3,hair,S,Bangani,Bangani,comparison control,1,1,bal,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 3, Bangani]",
wordlist response,john2008jaunsari,40,40,3,hair,J,Jaunpuri,Jaunpuri,comparison control,1,1,bal,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 3, Jaunpuri]",
wordlist response,john2008jaunsari,40,40,3,hair,N,Nagpuriya,Nagpuriya,comparison control,1,1,bal,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 3, Nagpuriya]",
wordlist response,john2008jaunsari,40,40,3,hair,G,Sirmauri,Sirmauri,comparison control,1,1,bal,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 3, Sirmauri]",
wordlist response,john2008jaunsari,40,40,4,face,K,Korwa,Jaunsari-Korwa,target,1,1,mu,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Korwa]",siljaunsari2008:g004:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,40,40,4,face,D,Khanaad,Jaunsari-Khanaad,target,1,3,tʃehəɾɐ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Khanaad]",siljaunsari2008:g004:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,40,40,4,face,C,Chapnu,Jaunsari-Chapnu,target,1,1,mu,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Chapnu]",siljaunsari2008:g004:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,40,40,4,face,B,Bhandroli,Jaunsari-Bhandroli,target,1,1,mu,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Bhandroli]",siljaunsari2008:g004:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,40,40,4,face,M,Maindrath,MixedJB-Maindrath,target,1,1,mu,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Maindrath]",siljaunsari2008:g004:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,40,40,4,face,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,2,mukh,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Lakhamandal]",siljaunsari2008:g004:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,40,40,4,face,A,Chakrata,Jaunsari-Chakratha,target,1,1,mũh,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Chakrata]",siljaunsari2008:g004:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,40,40,4,face,h,Hindi,Hindi,comparison control,1,1,mũh,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Hindi]",
wordlist response,john2008jaunsari,40,40,4,face,h,Hindi,Hindi,comparison control,2,3,tʃehəɾɐ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Hindi]",
wordlist response,john2008jaunsari,40,40,4,face,S,Bangani,Bangani,comparison control,1,1,mũh,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Bangani]",
wordlist response,john2008jaunsari,40,40,4,face,J,Jaunpuri,Jaunpuri,comparison control,1,2,mʊkh,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Jaunpuri]",
wordlist response,john2008jaunsari,40,40,4,face,N,Nagpuriya,Nagpuriya,comparison control,1,2,mʊkhʋ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Nagpuriya]",
wordlist response,john2008jaunsari,40,40,4,face,G,Sirmauri,Sirmauri,comparison control,1,4,ʃəkəl,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 4, Sirmauri]",
wordlist response,john2008jaunsari,40,40,5,eye,K,Korwa,Jaunsari-Korwa,target,1,1,akh,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 40, item 5, Korwa]",siljaunsari2008:g005:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,40,40,5,eye,D,Khanaad,Jaunsari-Khanaad,target,1,1,akh,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 40, item 5, Khanaad]",siljaunsari2008:g005:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,40,40,5,eye,C,Chapnu,Jaunsari-Chapnu,target,1,1,akh,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 40, item 5, Chapnu]",siljaunsari2008:g005:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,40,40,5,eye,B,Bhandroli,Jaunsari-Bhandroli,target,1,1,akh,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 40, item 5, Bhandroli]",siljaunsari2008:g005:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,40,40,5,eye,M,Maindrath,MixedJB-Maindrath,target,1,1,akhɐ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 40, item 5, Maindrath]",siljaunsari2008:g005:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,40,40,5,eye,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,1,akh,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 40, item 5, Lakhamandal]",siljaunsari2008:g005:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,40,40,5,eye,A,Chakrata,Jaunsari-Chakratha,target,1,1,akhə,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 40, item 5, Chakrata]",siljaunsari2008:g005:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,40,40,5,eye,h,Hindi,Hindi,comparison control,1,1,ãkh,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 5, Hindi]",
wordlist response,john2008jaunsari,40,40,5,eye,S,Bangani,Bangani,comparison control,1,1,ãŋkh,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 5, Bangani]",
wordlist response,john2008jaunsari,40,40,5,eye,J,Jaunpuri,Jaunpuri,comparison control,1,1,akhu,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 5, Jaunpuri]",
wordlist response,john2008jaunsari,40,40,5,eye,N,Nagpuriya,Nagpuriya,comparison control,1,1,akhɐ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 5, Nagpuriya]",
wordlist response,john2008jaunsari,40,40,5,eye,G,Sirmauri,Sirmauri,comparison control,1,1,ãkh,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 5, Sirmauri]",
wordlist response,john2008jaunsari,40,40,6,ear,K,Korwa,Jaunsari-Korwa,target,1,1,kan,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 40, item 6, Korwa]",siljaunsari2008:g006:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,40,40,6,ear,D,Khanaad,Jaunsari-Khanaad,target,1,1,kan,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 40, item 6, Khanaad]",siljaunsari2008:g006:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,40,40,6,ear,C,Chapnu,Jaunsari-Chapnu,target,1,1,kan,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 40, item 6, Chapnu]",siljaunsari2008:g006:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,40,40,6,ear,B,Bhandroli,Jaunsari-Bhandroli,target,1,1,kan,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 40, item 6, Bhandroli]",siljaunsari2008:g006:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,40,40,6,ear,M,Maindrath,MixedJB-Maindrath,target,1,1,kan,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 40, item 6, Maindrath]",siljaunsari2008:g006:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,40,40,6,ear,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,1,kan,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 40, item 6, Lakhamandal]",siljaunsari2008:g006:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,40,40,6,ear,A,Chakrata,Jaunsari-Chakratha,target,1,1,kan,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 40, item 6, Chakrata]",siljaunsari2008:g006:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,40,40,6,ear,h,Hindi,Hindi,comparison control,1,1,kan,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 6, Hindi]",
wordlist response,john2008jaunsari,41,41,6,ear,S,Bangani,Bangani,comparison control,1,1,kan,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 41, item 6, Bangani]",
wordlist response,john2008jaunsari,41,41,6,ear,J,Jaunpuri,Jaunpuri,comparison control,1,1,kanuɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 41, item 6, Jaunpuri]",
wordlist response,john2008jaunsari,41,41,6,ear,N,Nagpuriya,Nagpuriya,comparison control,1,1,kanoɽ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 41, item 6, Nagpuriya]",
wordlist response,john2008jaunsari,41,41,6,ear,G,Sirmauri,Sirmauri,comparison control,1,1,kan,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 41, item 6, Sirmauri]",
wordlist response,john2008jaunsari,41,41,7,nose,K,Korwa,Jaunsari-Korwa,target,1,1,nak,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 41, item 7, Korwa]",siljaunsari2008:g007:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,41,41,7,nose,D,Khanaad,Jaunsari-Khanaad,target,1,1,nak,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 41, item 7, Khanaad]",siljaunsari2008:g007:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,41,41,7,nose,C,Chapnu,Jaunsari-Chapnu,target,1,1,nak,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 41, item 7, Chapnu]",siljaunsari2008:g007:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,41,41,7,nose,B,Bhandroli,Jaunsari-Bhandroli,target,1,1,nak,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 41, item 7, Bhandroli]",siljaunsari2008:g007:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,41,41,7,nose,M,Maindrath,MixedJB-Maindrath,target,1,1,nak,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 41, item 7, Maindrath]",siljaunsari2008:g007:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,41,41,7,nose,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,1,nak,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 41, item 7, Lakhamandal]",siljaunsari2008:g007:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,41,41,7,nose,A,Chakrata,Jaunsari-Chakratha,target,1,1,nak,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 41, item 7, Chakrata]",siljaunsari2008:g007:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,41,41,7,nose,h,Hindi,Hindi,comparison control,1,1,nak,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 41, item 7, Hindi]",
wordlist response,john2008jaunsari,41,41,7,nose,S,Bangani,Bangani,comparison control,1,1,nak,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 41, item 7, Bangani]",
wordlist response,john2008jaunsari,41,41,7,nose,J,Jaunpuri,Jaunpuri,comparison control,1,1,nak,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 41, item 7, Jaunpuri]",
wordlist response,john2008jaunsari,41,41,7,nose,N,Nagpuriya,Nagpuriya,comparison control,1,1,nak,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 41, item 7, Nagpuriya]",
