Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Raw_Note,Source_Language,Language_ID,Item,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Final_Notes,Final_Etymology,Note_Class,Parameter_ID,Link_Status,Alignment_Method,Rau_Citation,Rau_Form,Rau_Gloss,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256
2026-08-28,pinnow1960beitraege:C:i1624,ab-ur-,"to give to drink, [to cause_to_drink]","E.g. /m-ab-ur-ɛ/ ""3 sg"", /m-ab-ur-i-ki/ ""3 pl"", /aiñ am-tɛ abuḍ-nɔm/=/aiñ am-tɛ ab-uḍ-ɛ-nɔm/ ""I give you to drink"".",Juang,ju,1624,1,pinnow1960beitraege:C:i1624,,ab-ur-,"to give to drink, [to cause to drink]","E.g. /m-ab-ur-ɛ/ ""3 sg"", /m-ab-ur-i-ki/ ""3 pl"", /aiñ am-tɛ abuḍ-nɔm/=/aiñ am-tɛ ab-uḍ-ɛ-nɔm/ ""I give you to drink"".",,comment,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 1624],caus,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,199a680f25a0a7a472999eb8aecb105efad9d22175850f518e4a88d0a77d4b05
2026-08-28,pinnow1960beitraege:C:i899,abɛkɔrai-,"to befriend, to embrace","#Kh./kaḍu'/, So./kondo(-lay)/ ""to embrace"", Pal./ko't/, /kər-ko't/.",Juang,ju,899,1,pinnow1960beitraege:C:i899,,abɛkɔrai-,"to befriend, to embrace",,"#Kh./kaḍu'/, So./kondo(-lay)/ ""to embrace"", Pal./ko't/, /kər-ko't/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 899],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,f187e29b619bbe1520ae3068b6df9df7dd0d809c99f7dc9fc0a273cab430928d
2026-08-28,pinnow1960beitraege:C:i21,acha-kuri,"well, lit. having done well","Cf. /acha/, /kuri/.",Juang,ju,21,1,pinnow1960beitraege:C:i21,,acha-kuri,"well, lit. having done well",,"Cf. /acha/, /kuri/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 21],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,e0164e0dbb4b5b8c37ef21bde8339fa77d0993121ff7fc776671b93b970a713a
2026-08-28,pinnow1960beitraege:C:i960,acha-kuri,"well, lit. having done well",,Juang,ju,960,1,pinnow1960beitraege:C:i960,,acha-kuri,"well, lit. having done well",,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 960],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,f7fd0c39f2437f2cc8121333eaf7f61291940c66c2cb7b2aae5d57eca2c8e656
2026-08-28,pinnow1960beitraege:C:i439,agila ɖiɲ-,"to order, lit. to give an order","Cf. /agila/, /ḍiñ(-ɛ)/ ""give"".",Juang,ju,439,1,pinnow1960beitraege:C:i439,,agila ɖiɲ-,"to order, lit. to give an order",,"Cf. /agila/, /ḍiñ(-ɛ)/ ""give"".",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 439],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,a0ac621ab0bfb2db95330c2b632449a36b1b6ea33d2ff4710d89e7a05e4cc22e
2026-08-28,pinnow1960beitraege:C:i30,agila ɖiɲ-,"to order, lit. to give_an_order",,Juang,ju,30,1,pinnow1960beitraege:C:i30,,agila ɖiɲ-,"to order, lit. to give an order",,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 30],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,7e69a0f9dd524610ed19ee0093268945d8ff006fae860c6301254789ab983ca5
2026-08-28,pinnow1960beitraege:C:i34,agɔ-ta,"before, in front of","E.g. /aiñ-jɛ agɔ-ta/ ""before me"".  #O./agɔ/ ""first"", Sk./əgre/ ""in front"".",Juang,ju,34,1,pinnow1960beitraege:C:i34,,agɔ-ta,"before, in front of","E.g. /aiñ-jɛ agɔ-ta/ ""before me"".","#O./agɔ/ ""first"", Sk./əgre/ ""in front"".",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 34],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,52f161e18678f7b94aab220a886735e0f0ab0263940180e3680336d13c884836
2026-08-28,pinnow1960beitraege:C:i44,aji-kaɖ,sister-in-law: wife's elder sister,,Juang,ju,44,1,pinnow1960beitraege:C:i44,,aji-kaɖ,sister-in-law: wife's elder sister,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 44],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,2d69a2b6494461b00fcd9f20af4febf8bee0ecfaec5cbb81d8ffe12c2eff4ec0
2026-08-28,pinnow1960beitraege:C:i52,aliŋ-a,"on, upon; above (with object in <-ta>); heaven, sky, year","E.g. /iña aliŋ-a/ ""on the house"", /iña-ta aliŋ-a/ ""above the house"".",Juang,ju,52,1,pinnow1960beitraege:C:i52,,aliŋ-a,"on, upon; above (with object in <-ta>); heaven, sky, year","E.g. /iña aliŋ-a/ ""on the house"", /iña-ta aliŋ-a/ ""above the house"".",,comment,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 52],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,365fa5f08a4af367221107aaa0153e8083f0610fdd89d4260b3918821cacdd0f
2026-08-28,pinnow1960beitraege:C:i53,aliŋ-bɔ,"up, upward","E.g. /aliŋ-bɔ ḍañ-a/ ""climb up"".",Juang,ju,53,1,pinnow1960beitraege:C:i53,,aliŋ-bɔ,"up, upward","E.g. /aliŋ-bɔ ḍañ-a/ ""climb up"".",,comment,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 53],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,f81f05b56aca06a2ac9c72b0f7528936d3c77fe55d8ce9ea647bfde4c57bdcf4
2026-08-28,pinnow1960beitraege:C:i54,"aliŋ-ta, aliŋ-a-ta","above, from above, on; up, upon (LSI86,227,230)",,Juang,ju,54,1,pinnow1960beitraege:C:i54,,aliŋ-ta,"above, from above, on; up, upon (LSI86,227,230)",,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 54],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,b9e6cba4f015502c74511fb42c110d84603cb049521aa3435ff0c4737cb480a4
2026-08-28,pinnow1960beitraege:C:i54,"aliŋ-ta, aliŋ-a-ta","above, from above, on; up, upon (LSI86,227,230)",,Juang,ju,54,2,pinnow1960beitraege:C:i54:v2,pinnow1960beitraege:C:i54,aliŋ-a-ta,"above, from above, on; up, upon (LSI86,227,230)",,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 54],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,b9e6cba4f015502c74511fb42c110d84603cb049521aa3435ff0c4737cb480a4
2026-08-28,pinnow1960beitraege:C:i1247,apa,you two,"#Ju./a-/ ""demonstrative element"", /pɛ/ ""you"", /-a/ ""dual""; Kh./am-bar/ ""you two"" (/am-/ by analogy to /am/ ""thou""); Pal./a:r/, Nic./ã:/.",Juang,ju,1247,1,pinnow1960beitraege:C:i1247,,apa,you two,,"#Ju./a-/ ""demonstrative element"", /pɛ/ ""you"", /-a/ ""dual""; Kh./am-bar/ ""you two"" (/am-/ by analogy to /am/ ""thou""); Pal./a:r/, Nic./ã:/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 1247],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,f58b615a2a1533b417adafd42d21bffc9642afa9e818686bd18bc7f4f1ea3e79
2026-08-28,pinnow1960beitraege:C:i7,apa,you two,"#Ju./a-/ ""demonstrative element"", /pɛ/ ""you""; Kh./am-bar/ ""you two"" (/am-/ by analogy to /am/ ""thou""); Pal./a:r/, Nic./ã:/.",Juang,ju,7,1,pinnow1960beitraege:C:i7,,apa,you two,,"#Ju./a-/ ""demonstrative element"", /pɛ/ ""you""; Kh./am-bar/ ""you two"" (/am-/ by analogy to /am/ ""thou""); Pal./a:r/, Nic./ã:/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 7],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,9f2b251b905d5039965bcb8c79baa983b7bb6af6e5b76c4f4ad81931ccebb252
2026-08-28,pinnow1960beitraege:C:i85,apa,you two,"#Ju./a-/ ""demonstrative element"", /pɛ/ ""you"", /-a/ ""dual""; Kh./am-bar/ ""you two"" (/am-/ by analogy to /am/ ""thou""); Pal./a:r/, Nic./ã:/.",Juang,ju,85,1,pinnow1960beitraege:C:i85,,apa,you two,,"#Ju./a-/ ""demonstrative element"", /pɛ/ ""you"", /-a/ ""dual""; Kh./am-bar/ ""you two"" (/am-/ by analogy to /am/ ""thou""); Pal./a:r/, Nic./ã:/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 85],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,a53c18e366e64133b79164265cfb29a21f97b97723a807760792588b26111b1c
2026-08-28,pinnow1960beitraege:C:i1245,"apɛ, ape",you_(pl.),"#Ju./a-/ ""demonstrative element"", /-pɛ/ ""you""; Kh./ampe/ ""you (pl.), So./amben/ (both with /am-/ by analogy to /am/ ""thou""), Sa./apɛ/, /ape/, Mu., Ho/ape/.",Juang,ju,1245,1,pinnow1960beitraege:C:i1245,,apɛ,you (pl.),,"#Ju./a-/ ""demonstrative element"", /-pɛ/ ""you""; Kh./ampe/ ""you (pl.), So./amben/ (both with /am-/ by analogy to /am/ ""thou""), Sa./apɛ/, /ape/, Mu., Ho/ape/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 1245],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,814af4602afbf79ed97313d3be7493db157aa2f9db2a1f3c2cc923b52599a6e7
2026-08-28,pinnow1960beitraege:C:i1245,"apɛ, ape",you_(pl.),"#Ju./a-/ ""demonstrative element"", /-pɛ/ ""you""; Kh./ampe/ ""you (pl.), So./amben/ (both with /am-/ by analogy to /am/ ""thou""), Sa./apɛ/, /ape/, Mu., Ho/ape/.",Juang,ju,1245,2,pinnow1960beitraege:C:i1245:v2,pinnow1960beitraege:C:i1245,ape,you (pl.),,"#Ju./a-/ ""demonstrative element"", /-pɛ/ ""you""; Kh./ampe/ ""you (pl.), So./amben/ (both with /am-/ by analogy to /am/ ""thou""), Sa./apɛ/, /ape/, Mu., Ho/ape/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 1245],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,814af4602afbf79ed97313d3be7493db157aa2f9db2a1f3c2cc923b52599a6e7
2026-08-28,pinnow1960beitraege:C:i824,arɔ-ki,"they, third person plural","#Ju. /arɔ/ ""he, she, it, this, that""; Kh./aṛ-ki/ ""they"", /-ki/ ""plural suffix"", So./-ji/ ""id."", Wa/ki'/, DS/kɛ/ ""they"".",Juang,ju,824,1,pinnow1960beitraege:C:i824,,arɔ-ki,"they, third person plural",,"#Ju. /arɔ/ ""he, she, it, this, that""; Kh./aṛ-ki/ ""they"", /-ki/ ""plural suffix"", So./-ji/ ""id."", Wa/ki'/, DS/kɛ/ ""they"".",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 824],pl 3,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,4f29d8de6fbcc60af2ec5eb85d29a1d67ad25f4aba34e211e914fedc3f60210e
2026-08-28,pinnow1960beitraege:C:i91,arɔ-ki,"they, third person plural","#Kh./aṛ-ki/ ""they"", /-ki/ ""plural suffix"", So./-ji/ ""id."", Wa/ki'/, DS/kɛ/ ""they"".",Juang,ju,91,1,pinnow1960beitraege:C:i91,,arɔ-ki,"they, third person plural",,"#Kh./aṛ-ki/ ""they"", /-ki/ ""plural suffix"", So./-ji/ ""id."", Wa/ki'/, DS/kɛ/ ""they"".",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 91],pl 3,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,c381dcbf39bad7f6db4d63095538d8edf403158d744ce411513d4874b0e0d471
2026-08-28,pinnow1960beitraege:C:i6,arɔ-kia,"they two, third person dual","#Ju. /arɔ/ ""he, she, it, this, that""; Kh./aṛ-kiar/ ""they two"".  Cf. /arɔ-ki/ ""they (pl.).",Juang,ju,6,1,pinnow1960beitraege:C:i6,,arɔ-kia,"they two, third person dual",,"#Ju. /arɔ/ ""he, she, it, this, that""; Kh./aṛ-kiar/ ""they two"".  Cf. /arɔ-ki/ ""they (pl.).",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 6],du 3,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,199a1b0d39650b917e30a8b5d0ccca87b06c09671e77007c71c90da959d5a2ee
2026-08-28,pinnow1960beitraege:C:i92,arɔ-kia,"they two, third person dual","#Kh./aṛ-kiar/ ""they two"".",Juang,ju,92,1,pinnow1960beitraege:C:i92,,arɔ-kia,"they two, third person dual",,"#Kh./aṛ-kiar/ ""they two"".",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 92],du 3,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,b41339f00a65b2ab809623bae396c03e8e889d37a43c772fb9ab7235955baefb
2026-08-28,pinnow1960beitraege:C:i114,au-bɔ,there,,Juang,ju,114,1,pinnow1960beitraege:C:i114,,au-bɔ,there,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 114],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,aca7b28e355649589b8c258fd4b6a4bc020318a79878830f0e155f0928384edd
2026-08-28,pinnow1960beitraege:C:i115,au-ta,"there, from?? there",,Juang,ju,115,1,pinnow1960beitraege:C:i115,,au-ta,"there, from?? there",,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 115],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,69f25c200ab3883bbe0ae6f2d94973103b937931ffbcf5fce782252b587fab92
2026-08-28,pinnow1960beitraege:C:i116,au-tae,from there,,Juang,ju,116,1,pinnow1960beitraege:C:i116,,au-tae,from there,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 116],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,016863877fbabc800ae727c47ae4caf88fa14bea2620d2663bc06798f4bea825
2026-08-28,pinnow1960beitraege:C:i433,aɖi,anybody,"#Ju./a-/ ""demonstrative element""; Kh./aḍi/ ""he, she, it"", Pal./de:/.",Juang,ju,433,1,pinnow1960beitraege:C:i433,,aɖi,anybody,,"#Ju./a-/ ""demonstrative element""; Kh./aḍi/ ""he, she, it"", Pal./de:/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 433],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,709572dbdf4b292d76ec945cfd7ac85d3840bfd2020af677927fac510f2e28b7
2026-08-28,pinnow1960beitraege:C:i27,aɖi,"who, which","E.g. /aḍi-a/ ""whose"".",Juang,ju,27,1,pinnow1960beitraege:C:i27,,aɖi,"who, which","E.g. /aḍi-a/ ""whose"".",,comment,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 27],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,a07d92f8c67662416efde33d542d3047484541f14e5c1bad614c0335cb0d6ef5
2026-08-28,pinnow1960beitraege:C:i434,aɖi,"who, which","E.g. /aḍi-a/ ""whose"".",Juang,ju,434,1,pinnow1960beitraege:C:i434,,aɖi,"who, which","E.g. /aḍi-a/ ""whose"".",,comment,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 434],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,4ba48fe451084e38bc97e73aa7c45a5f5591fc04f43b5f746d5a9df61ede8379
2026-08-28,pinnow1960beitraege:C:i124,baba,father,"#O., Bh./buba/.",Juang,ju,124,1,pinnow1960beitraege:C:i124,,baba,father,,"#O., Bh./buba/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 124],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,d0366549da7375e011bd66c9d04d5c44a4dd0b4337dbe6260487ce09d6a64faa
2026-08-28,pinnow1960beitraege:C:i121,ban-,two,,Juang,ju,121,1,pinnow1960beitraege:C:i121,,ban-,two,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 121],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,89293bde3229c312b36789607b5b67e26f04d5364aade9c71bbd633e1978c962
2026-08-28,pinnow1960beitraege:C:i150,banai-bɔg,name of a clan: the bear,"Cf. /banai/, /banaingeng bak/, /baningbok/.",Juang,ju,150,1,pinnow1960beitraege:C:i150,,banai-bɔg,name of a clan: the bear,,"Cf. /banai/, /banaingeng bak/, /baningbok/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 150],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,199034f8c850e33b4e2b2494c0b652edfbadab2625313117f15d0285342fd284
