Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Source_Language,Language_ID,SEAlang_Record,Page,Column,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Parameter_ID,Link_Status,Alignment_Method,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256
2026-08-28,munda1968proto:R:c3.p723.i106,*abɔ̀,"we,1st plural inclusive",proto Kherwarian,PKher,723,106,3,1,munda1968proto:R:c3.p723.i106,,*abɔ̀,"we,1st plural inclusive",pkh-723-106,linked,self,ingested,source reconstruction,"munda1968proto[p. 106, SEAlang record 723]",pl inclusive,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,0f10d0433f8921d473d1e88d360d92181a8c3772570036e6186eb5313359553f
2026-08-28,munda1968proto:R:c3.p249.i69,*acu,to employ,proto Kherwarian,PKher,249,69,3,1,munda1968proto:R:c3.p249.i69,,*acu,to employ,pkh-249-69,linked,self,ingested,source reconstruction,"munda1968proto[p. 69, SEAlang record 249]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,ef16cda5fbb3c05abae3b12451c0f3ea31e1626dd6c56fd79685a6eb776ac338
2026-08-28,munda1968proto:R:c3.p283.i72,*acur,to return,proto Kherwarian,PKher,283,72,3,1,munda1968proto:R:c3.p283.i72,,*acur,to return,pkh-283-72,linked,self,ingested,source reconstruction,"munda1968proto[p. 72, SEAlang record 283]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,2351e4556293c4aa548b80ee36a0352d0e83545b4e4cfb18e7d9d64c4d2030e6
2026-08-28,munda1968proto:R:c3.p756.i108,*ad,to lose; to loan,proto Kherwarian,PKher,756,108,3,1,munda1968proto:R:c3.p756.i108,,*ad,to lose; to loan,pkh-756-108,linked,self,ingested,source reconstruction,"munda1968proto[p. 108, SEAlang record 756]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,44d797590aa8af179827dc8703dfcfc5456d3ac31b4566616dbcabca8c067599
2026-08-28,munda1968proto:R:c3.p501.i89,*adɛr,to bring in,proto Kherwarian,PKher,501,89,3,1,munda1968proto:R:c3.p501.i89,,*adɛr,to bring in,pkh-501-89,linked,self,ingested,source reconstruction,"munda1968proto[p. 89, SEAlang record 501]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,60db2166c2d8c5d3e43973d92efae74ab6bfb05c6bd9716e4717c8b273ab8ed0
2026-08-28,munda1968proto:R:c3.p262.i70,*ajub,dark; evening,proto Kherwarian,PKher,262,70,3,1,munda1968proto:R:c3.p262.i70,,*ajub,dark; evening,pkh-262-70,linked,self,ingested,source reconstruction,"munda1968proto[p. 70, SEAlang record 262]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,953591525116c3b83d69bdf522ea59081a9bcf4a6e695e10f25ad9a3eff1c822
2026-08-28,munda1968proto:R:c3.p943.i121,*ajur ~ *ajar,ahead (adverb),proto Kherwarian,PKher,943,121,3,1,munda1968proto:R:c3.p943.i121,,*ajur,ahead,pkh-943-121,linked,self,ingested,source reconstruction,"munda1968proto[p. 121, SEAlang record 943]",adv,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,da9a856eb6afb762132b1477513d92e29aed6c6ed9ed048c3d50809f2bab47d3
2026-08-28,munda1968proto:R:c3.p943.i121,*ajur ~ *ajar,ahead (adverb),proto Kherwarian,PKher,943,121,3,2,munda1968proto:R:c3.p943.i121:v2,munda1968proto:R:c3.p943.i121,*ajar,ahead,pkh-943-121,linked,self,ingested,source reconstruction,"munda1968proto[p. 121, SEAlang record 943]",adv,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,da9a856eb6afb762132b1477513d92e29aed6c6ed9ed048c3d50809f2bab47d3
2026-08-28,munda1968proto:R:c3.p657.i100,*ajɔm ~ *ajɔ̀m,"to hear, listen",proto Kherwarian,PKher,657,100,3,1,munda1968proto:R:c3.p657.i100,,*ajɔm,"to hear, listen",pkh-657-100,linked,self,ingested,source reconstruction,"munda1968proto[p. 100, SEAlang record 657]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,981509b91d8387e9e7f80030ae8a36f40ad965eb4d605138d58f018e33913846
2026-08-28,munda1968proto:R:c3.p657.i100,*ajɔm ~ *ajɔ̀m,"to hear, listen",proto Kherwarian,PKher,657,100,3,2,munda1968proto:R:c3.p657.i100:v2,munda1968proto:R:c3.p657.i100,*ajɔ̀m,"to hear, listen",pkh-657-100,linked,self,ingested,source reconstruction,"munda1968proto[p. 100, SEAlang record 657]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,981509b91d8387e9e7f80030ae8a36f40ad965eb4d605138d58f018e33913846
2026-08-28,munda1968proto:R:c3.p111.i59,*aliɲ ~ *aliŋ,we two (exclusive),proto Kherwarian,PKher,111,59,3,1,munda1968proto:R:c3.p111.i59,,*aliɲ,we two (exclusive),pkh-111-59,linked,self,ingested,source reconstruction,"munda1968proto[p. 59, SEAlang record 111]",exclusive,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,fea94d3f8361fb2c65b70b108be72dc8a2340a45643d62d2cf064561baa7cbd8
2026-08-28,munda1968proto:R:c3.p111.i59,*aliɲ ~ *aliŋ,we two (exclusive),proto Kherwarian,PKher,111,59,3,2,munda1968proto:R:c3.p111.i59:v2,munda1968proto:R:c3.p111.i59,*aliŋ,we two (exclusive),pkh-111-59,linked,self,ingested,source reconstruction,"munda1968proto[p. 59, SEAlang record 111]",exclusive,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,fea94d3f8361fb2c65b70b108be72dc8a2340a45643d62d2cf064561baa7cbd8
2026-08-28,munda1968proto:R:c3.p670.i102,*alɔ,"no, negative particle",proto Kherwarian,PKher,670,102,3,1,munda1968proto:R:c3.p670.i102,,*alɔ,"no, negative particle",pkh-670-102,linked,self,ingested,source reconstruction,"munda1968proto[p. 102, SEAlang record 670]",part,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,9ae9fcdc503c6b9cfc4522c766289548ed255d24be0a7c10937c74ae09b5484b
2026-08-28,munda1968proto:R:c3.p767.i109,*am,"you, 2nd person singular",proto Kherwarian,PKher,767,109,3,1,munda1968proto:R:c3.p767.i109,,*am,"you, 2nd person singular",pkh-767-109,linked,self,ingested,source reconstruction,"munda1968proto[p. 109, SEAlang record 767]",sg 2sg,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,1c646a15264fbe6c57f7d7b1cf829d8e1185051249b14996ba96a9551af56eef
2026-08-28,munda1968proto:R:c3.p112.i59,*amiɲ ~ *amiŋ,to clear,proto Kherwarian,PKher,112,59,3,1,munda1968proto:R:c3.p112.i59,,*amiɲ,to clear,pkh-112-59,linked,self,ingested,source reconstruction,"munda1968proto[p. 59, SEAlang record 112]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,503056a85adff81293923e135c80b10b7898ebfe95cb932cb232ddd6ec73ada7
2026-08-28,munda1968proto:R:c3.p112.i59,*amiɲ ~ *amiŋ,to clear,proto Kherwarian,PKher,112,59,3,2,munda1968proto:R:c3.p112.i59:v2,munda1968proto:R:c3.p112.i59,*amiŋ,to clear,pkh-112-59,linked,self,ingested,source reconstruction,"munda1968proto[p. 59, SEAlang record 112]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,503056a85adff81293923e135c80b10b7898ebfe95cb932cb232ddd6ec73ada7
2026-08-28,munda1968proto:R:c3.p999.i126,*andaʔ,to fry,proto Kherwarian,PKher,999,126,3,1,munda1968proto:R:c3.p999.i126,,*andaʔ,to fry,pkh-999-126,linked,self,ingested,source reconstruction,"munda1968proto[p. 126, SEAlang record 999]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,ea58a5b4830317fa63f7c948a41199f1b0a08b38cf75348576d2d46a675273d9
2026-08-28,munda1968proto:R:c3.p117.i59,*apir,to fly,proto Kherwarian,PKher,117,59,3,1,munda1968proto:R:c3.p117.i59,,*apir,to fly,pkh-117-59,linked,self,ingested,source reconstruction,"munda1968proto[p. 59, SEAlang record 117]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,2045ce14a1935c951909f04f2996a7c21c244b1bcf2710a4533ab0300115fc07
2026-08-28,munda1968proto:R:c3.p252.i69,*apu,father,proto Kherwarian,PKher,252,69,3,1,munda1968proto:R:c3.p252.i69,,*apu,father,pkh-252-69,linked,self,ingested,source reconstruction,"munda1968proto[p. 69, SEAlang record 252]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,f77ec5ce0a0f80e817372c9923324272f639b4edd861cb48d8e8dd1ac8fd2830
2026-08-28,munda1968proto:R:c3.p1000.i126,*araʔ,"red, bright",proto Kherwarian,PKher,1000,126,3,1,munda1968proto:R:c3.p1000.i126,,*araʔ,"red, bright",pkh-1000-126,linked,self,ingested,source reconstruction,"munda1968proto[p. 126, SEAlang record 1000]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,0fabc2b15b00f88b760421586b481373a096a5ad530a1c8b1252b6c3b9c3163a
2026-08-28,munda1968proto:R:c3.p98.i58,*arid,to open eyes,proto Kherwarian,PKher,98,58,3,1,munda1968proto:R:c3.p98.i58,,*arid,to open eyes,pkh-98-58,linked,self,ingested,source reconstruction,"munda1968proto[p. 58, SEAlang record 98]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,88d22612531c285d8018f95f97f620e245a6c8ccec4e710c443f2e429f80fe7b
2026-08-28,munda1968proto:R:c3.p1037.i128,*arsal,"lit, light",proto Kherwarian,PKher,1037,128,3,1,munda1968proto:R:c3.p1037.i128,,*arsal,"lit, light",pkh-1037-128,linked,self,ingested,source reconstruction,"munda1968proto[p. 128, SEAlang record 1037]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,3bf56eab3e0c96badeb75e959500ec4f55d642ef574511fdeab0a89cbd2f5aaa
2026-08-28,munda1968proto:R:c3.p483.i88,*arɛ,nine,proto Kherwarian,PKher,483,88,3,1,munda1968proto:R:c3.p483.i88,,*arɛ,nine,pkh-483-88,linked,self,ingested,source reconstruction,"munda1968proto[p. 88, SEAlang record 483]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,931efb330bc20693508abac6c387557c7ac88a65a453b537aa1ff26967728d91
2026-08-28,munda1968proto:R:c3.p495.i88,*arɛɟ,to bail out (water),proto Kherwarian,PKher,495,88,3,1,munda1968proto:R:c3.p495.i88,,*arɛɟ,to bail out (water),pkh-495-88,linked,self,ingested,source reconstruction,"munda1968proto[p. 88, SEAlang record 495]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,a6a7937c5710c5fb9c21419ea61acdbd9f098017a1b6bc582002c0d7ef4ae5bf
2026-08-28,munda1968proto:R:c3.p698.i104,*arɛ̀l,hailstone,proto Kherwarian,PKher,698,104,3,1,munda1968proto:R:c3.p698.i104,,*arɛ̀l,hailstone,pkh-698-104,linked,self,ingested,source reconstruction,"munda1968proto[p. 104, SEAlang record 698]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,1f3df4ac2d6061da0a218570244821b7e0b23e850301bded5cdbc44bd99b57dc
2026-08-28,munda1968proto:R:c3.p704.i104,*asaɛ̀,gadfly,proto Kherwarian,PKher,704,104,3,1,munda1968proto:R:c3.p704.i104,,*asaɛ̀,gadfly,pkh-704-104,linked,self,ingested,source reconstruction,"munda1968proto[p. 104, SEAlang record 704]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,a1a8366c059e9b25adc66d6a4eb7e58658951f9bfff11b66ce5c6f7c472b65dd
2026-08-28,munda1968proto:R:c3.p99.i58,*asid,to cease breathing,proto Kherwarian,PKher,99,58,3,1,munda1968proto:R:c3.p99.i58,,*asid,to cease breathing,pkh-99-58,linked,self,ingested,source reconstruction,"munda1968proto[p. 58, SEAlang record 99]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,7ce9d5dc46368b056ff657cd8013542fd4c6292667089e2d152efbee8b7dba54
