Record_Type,Source_Key,PDF_Page,Printed_Page,Item,Gloss,Excluded_From_Similarity,Raw_Lect_Code,Lect_Code,Site,District,Reliability,Raw_Form,Form,Review,Source_Scope,Source_Status,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Key
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,THA,THA,Thandiani,Abbottabad District,A,mũ,mũ,,target,response,installed,,poth,sil-pahari-pothwari-2010-tha,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, THA]",silpaharipothwari2010:g004:tha
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,LOR,LOR,Lora,Abbottabad District,A,mũ,mũ,,target,response,installed,,poth,sil-pahari-pothwari-2010-lor,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, LOR]",silpaharipothwari2010:g004:lor
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,OSI,OSI,Osia,Rawalpindi District,A,mũ,mũ,,target,response,installed,,poth,sil-pahari-pothwari-2010-osi,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, OSI]",silpaharipothwari2010:g004:osi
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,MUZ,MUZ,Muzaffarabad,Muzaffarabad District,B,mṳ̃,mṳ̃,,target,response,installed,,poth,sil-pahari-pothwari-2010-muz,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, MUZ]",silpaharipothwari2010:g004:muz
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,DUN,DUN,Dunga Gali,Abbottabad District,A,čɛ̤rʌ,čɛ̤rʌ,,target,response,installed,,poth,sil-pahari-pothwari-2010-dun,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, DUN]",silpaharipothwari2010:g004:dun
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,BHA,BHA,Bharakoh,Islamabad District,B,mṳ̃,mṳ̃,,target,response,installed,,poth,sil-pahari-pothwari-2010-bha,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, BHA]",silpaharipothwari2010:g004:bha
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,ABB,ABB,Abbottabad,Abbottabad District,B,mũ,mũ,,hindko_control,response,excluded,Abbottabad/Mansehra Hindko comparison list retained audit-only,,,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, ABB]",
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,MAN,MAN,Mansehra,Mansehra District,B,mũ,mũ,,hindko_control,response,excluded,Abbottabad/Mansehra Hindko comparison list retained audit-only,,,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, MAN]",
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,MIR,MIR,Mirpur,"Mirpur, Azad Kashmir",B,mũ,mũ,,target,response,installed,,poth,sil-pahari-pothwari-2010-mir,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, MIR]",silpaharipothwari2010:g004:mir
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,GUJ,GUJ,Gujarkhan,Rawalpindi District,B,mũ,mũ,,target,response,installed,,poth,sil-pahari-pothwari-2010-guj,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, GUJ]",silpaharipothwari2010:g004:guj
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,MOS,MOS,Mosyari,Rawalpindi District,A,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-mos,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, MOS]",silpaharipothwari2010:g005:mos
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,GHO,GHO,Ghora Gali,Rawalpindi District,A,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-gho,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, GHO]",silpaharipothwari2010:g005:gho
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,DEW,DEW,Dewal,Rawalpindi District,B,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-dew,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, DEW]",silpaharipothwari2010:g005:dew
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,AYU,AYU,Ayubia,Abbottabad District,A,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-ayu,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, AYU]",silpaharipothwari2010:g005:ayu
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,KOH,KOH,Kohala,Rawalpindi District,A,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-koh,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, KOH]",silpaharipothwari2010:g005:koh
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,NIL,NIL,Nilabutt,"Bagh, Azad Kashmir",B,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-nil,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, NIL]",silpaharipothwari2010:g005:nil
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,THA,THA,Thandiani,Abbottabad District,A,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-tha,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, THA]",silpaharipothwari2010:g005:tha
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,LOR,LOR,Lora,Abbottabad District,A,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-lor,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, LOR]",silpaharipothwari2010:g005:lor
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,OSI,OSI,Osia,Rawalpindi District,A,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-osi,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, OSI]",silpaharipothwari2010:g005:osi
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,MUZ,MUZ,Muzaffarabad,Muzaffarabad District,B,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-muz,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, MUZ]",silpaharipothwari2010:g005:muz
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,DUN,DUN,Dunga Gali,Abbottabad District,A,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-dun,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, DUN]",silpaharipothwari2010:g005:dun
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,BHA,BHA,Bharakoh,Islamabad District,B,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-bha,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, BHA]",silpaharipothwari2010:g005:bha
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,ABB,ABB,Abbottabad,Abbottabad District,B,ʌkʰ,ʌkʰ,,hindko_control,response,excluded,Abbottabad/Mansehra Hindko comparison list retained audit-only,,,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, ABB]",
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,MAN,MAN,Mansehra,Mansehra District,B,ʌk,ʌk,,hindko_control,response,excluded,Abbottabad/Mansehra Hindko comparison list retained audit-only,,,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, MAN]",
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,MIR,MIR,Mirpur,"Mirpur, Azad Kashmir",B,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-mir,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, MIR]",silpaharipothwari2010:g005:mir
wordlist cell,lothers-lothers2010pahari,155,149,5,eye,No,GUJ,GUJ,Gujarkhan,Rawalpindi District,B,ʌkʰ,ʌkʰ,,target,response,installed,,poth,sil-pahari-pothwari-2010-guj,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 5, GUJ]",silpaharipothwari2010:g005:guj
wordlist cell,lothers-lothers2010pahari,155,149,6,ear,No,MOS,MOS,Mosyari,Rawalpindi District,A,kʌṇ,kʌṇ,,target,response,installed,,poth,sil-pahari-pothwari-2010-mos,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 6, MOS]",silpaharipothwari2010:g006:mos
wordlist cell,lothers-lothers2010pahari,155,149,6,ear,No,GHO,GHO,Ghora Gali,Rawalpindi District,A,kʌn,kʌn,,target,response,installed,,poth,sil-pahari-pothwari-2010-gho,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 6, GHO]",silpaharipothwari2010:g006:gho
wordlist cell,lothers-lothers2010pahari,155,149,6,ear,No,DEW,DEW,Dewal,Rawalpindi District,B,kan,kan,,target,response,installed,,poth,sil-pahari-pothwari-2010-dew,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 6, DEW]",silpaharipothwari2010:g006:dew
wordlist cell,lothers-lothers2010pahari,155,149,6,ear,No,AYU,AYU,Ayubia,Abbottabad District,A,kʌṇ,kʌṇ,,target,response,installed,,poth,sil-pahari-pothwari-2010-ayu,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 6, AYU]",silpaharipothwari2010:g006:ayu
wordlist cell,lothers-lothers2010pahari,155,149,6,ear,No,KOH,KOH,Kohala,Rawalpindi District,A,kʌṇ,kʌṇ,,target,response,installed,,poth,sil-pahari-pothwari-2010-koh,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 6, KOH]",silpaharipothwari2010:g006:koh
wordlist cell,lothers-lothers2010pahari,155,149,6,ear,No,NIL,NIL,Nilabutt,"Bagh, Azad Kashmir",B,kʌṇ,kʌṇ,,target,response,installed,,poth,sil-pahari-pothwari-2010-nil,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 6, NIL]",silpaharipothwari2010:g006:nil
wordlist cell,lothers-lothers2010pahari,155,149,6,ear,No,THA,THA,Thandiani,Abbottabad District,A,kʌṇ,kʌṇ,,target,response,installed,,poth,sil-pahari-pothwari-2010-tha,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 6, THA]",silpaharipothwari2010:g006:tha
wordlist cell,lothers-lothers2010pahari,155,149,6,ear,No,LOR,LOR,Lora,Abbottabad District,A,kʌṇ,kʌṇ,,target,response,installed,,poth,sil-pahari-pothwari-2010-lor,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 6, LOR]",silpaharipothwari2010:g006:lor
wordlist cell,lothers-lothers2010pahari,155,149,6,ear,No,OSI,OSI,Osia,Rawalpindi District,A,kʌn,kʌn,,target,response,installed,,poth,sil-pahari-pothwari-2010-osi,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 6, OSI]",silpaharipothwari2010:g006:osi
wordlist cell,lothers-lothers2010pahari,155,149,6,ear,No,MUZ,MUZ,Muzaffarabad,Muzaffarabad District,B,kʌṇ,kʌṇ,,target,response,installed,,poth,sil-pahari-pothwari-2010-muz,"lothers-lothers2010pahari[Appendix B.1, printed p. 149, item 6, MUZ]",silpaharipothwari2010:g006:muz
