Record_Type,Source_Key,PDF_Page,Printed_Page,Item,Gloss,Lect_Code,Language_Label,Site,Similarity_Group,Response_Index,Raw_Form,Form,Review,Uncertainty,Source_Scope,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Key
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Pa,Pattani,Gushal,4,1,phuk̚,phuk̚,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-gushal,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Pattani-Gushal]",sillahul2019:g001:sil-lahul-2019-pa-gushal:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Pa,Pattani,Mooling,5,1,mɐnuk,mɐnuk,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-mooling,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Pattani-Mooling]",sillahul2019:g001:sil-lahul-2019-pa-mooling:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Pa,Pattani,Tholang,4,1,phukh,phukh,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-tholang,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Pattani-Tholang]",sillahul2019:g001:sil-lahul-2019-pa-tholang:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Pa,Pattani,Chimrat,4,1,phug,phug,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-chimrat,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Pattani-Chimrat]",sillahul2019:g001:sil-lahul-2019-pa-chimrat:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Pa,Pattani,Salgram,4,1,phuk,phuk,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-salgram,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Pattani-Salgram]",sillahul2019:g001:sil-lahul-2019-pa-salgram:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Ti,Tinani,Sissu,2,1,dzuʔ,dzuʔ,Unicode Charis/Doulos SIL text layer,,target,installed,,lbf,sil-lahul-2019-ti-sissu,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Tinani-Sissu]",sillahul2019:g001:sil-lahul-2019-ti-sissu:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Ti,Tinani,Gondhla,2,1,dzugɐ,dzugɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lbf,sil-lahul-2019-ti-gondhla,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Tinani-Gondhla]",sillahul2019:g001:sil-lahul-2019-ti-gondhla:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Ga,Gahri,Keylong,2,1,dʒuks,dʒuks,Unicode Charis/Doulos SIL text layer,,target,installed,,bfu,sil-lahul-2019-ga-keylong,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Gahri-Keylong]",sillahul2019:g001:sil-lahul-2019-ga-keylong:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Ga,Gahri,Stingri,2,1,dʒuks,dʒuks,Unicode Charis/Doulos SIL text layer,,target,installed,,bfu,sil-lahul-2019-ga-stingri,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Gahri-Stingri]",sillahul2019:g001:sil-lahul-2019-ga-stingri:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Ga,Gahri,Gawzang,2,1,dzuks,dzuks,Unicode Charis/Doulos SIL text layer,,target,installed,,bfu,sil-lahul-2019-ga-gawzang,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Gahri-Gawzang]",sillahul2019:g001:sil-lahul-2019-ga-gawzang:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Bh,Bhoti,Darcha,2,1,dʒuŋ,dʒuŋ,Unicode Charis/Doulos SIL text layer,,target,installed,,sbu,sil-lahul-2019-bh-darcha,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Bhoti-Darcha]",sillahul2019:g001:sil-lahul-2019-bh-darcha:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Bh,Bhoti,Darcha,3,2,zukpo,zukpo,Unicode Charis/Doulos SIL text layer,,target,installed,,sbu,sil-lahul-2019-bh-darcha,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Bhoti-Darcha]",sillahul2019:g001:sil-lahul-2019-bh-darcha:i2
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Bh,Bhoti,Kolong,3,1,zuk̚po,zuk̚po,Unicode Charis/Doulos SIL text layer,,target,installed,,sbu,sil-lahul-2019-bh-kolong,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Bhoti-Kolong]",sillahul2019:g001:sil-lahul-2019-bh-kolong:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Bh,Bhoti,Rarig,3,1,zũŋpõ,zũŋpõ,Unicode Charis/Doulos SIL text layer,,target,installed,,sbu,sil-lahul-2019-bh-rarig,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Bhoti-Rarig]",sillahul2019:g001:sil-lahul-2019-bh-rarig:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Bh,Bhoti,Tingrat,3,1,dzupho,dzupho,Unicode Charis/Doulos SIL text layer,,target,installed,,sbu,sil-lahul-2019-bh-tingrat,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Bhoti-Tingrat]",sillahul2019:g001:sil-lahul-2019-bh-tingrat:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Bh,Bhoti,Tingrat,3,2,zuŋpo,zuŋpo,Unicode Charis/Doulos SIL text layer,,target,installed,,sbu,sil-lahul-2019-bh-tingrat,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Bhoti-Tingrat]",sillahul2019:g001:sil-lahul-2019-bh-tingrat:i2
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Bh,Bhoti,Khoksar,3,1,dʒupːo,dʒupːo,Unicode Charis/Doulos SIL text layer,,target,installed,,sbu,sil-lahul-2019-bh-khoksar,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Bhoti-Khoksar]",sillahul2019:g001:sil-lahul-2019-bh-khoksar:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Ld,Ladakhi,Leh,3,1,zukspo,zukspo,Unicode Charis/Doulos SIL text layer,,prior_list,excluded,previously collected regional comparison list; retained audit-only,,,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Ladakhi-Leh]",
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Bh,Bhoti,Spiti,2,1,dʒu,dʒu,Unicode Charis/Doulos SIL text layer,,prior_list,excluded,previously collected regional comparison list; retained audit-only,,,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Bhoti-Spiti]",
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Tb,Tibetan,Lhasa,3,1,sukpo,sukpo,Unicode Charis/Doulos SIL text layer,,comparison,excluded,standard comparison/control language; retained audit-only,,,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Tibetan-Lhasa]",
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Hi,Hindi,Standard,6,1,sɪɾ,sɪɾ,Unicode Charis/Doulos SIL text layer,,comparison,excluded,standard comparison/control language; retained audit-only,,,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Hindi-Standard]",
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Pg,Pangi,Tindi,4,1,kopʌli,kopʌli,Unicode Charis/Doulos SIL text layer,,prior_list,excluded,previously collected regional comparison list; retained audit-only,,,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Pangi-Tindi]",
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Ch,Chinali,Gushal,3,1,kəpɐ,kəpɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,cih,sil-lahul-2019-ch-gushal,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Chinali-Gushal]",sillahul2019:g002:sil-lahul-2019-ch-gushal:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Ch,Chinali,Nalda,3,1,kʌpɐ,kʌpɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,cih,sil-lahul-2019-ch-nalda,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Chinali-Nalda]",sillahul2019:g002:sil-lahul-2019-ch-nalda:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Lo,Lohari,Gondhla,3,1,kʌpɐ,kʌpɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lhl,sil-lahul-2019-lo-gondhla,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Lohari-Gondhla]",sillahul2019:g002:sil-lahul-2019-lo-gondhla:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Lo,Lohari,Gawzang,3,1,kʌpɐ,kʌpɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lhl,sil-lahul-2019-lo-gawzang,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Lohari-Gawzang]",sillahul2019:g002:sil-lahul-2019-lo-gawzang:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Pa,Pattani,Jobrang,5,1,pundzɐ,pundzɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-jobrang,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Pattani-Jobrang]",sillahul2019:g002:sil-lahul-2019-pa-jobrang:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Pa,Pattani,Thirot,5,1,pundʒɐ,pundʒɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-thirot,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Pattani-Thirot]",sillahul2019:g002:sil-lahul-2019-pa-thirot:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Pa,Pattani,Udeypur,5,1,puɲdʒɐ,puɲdʒɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-udeypur,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Pattani-Udeypur]",sillahul2019:g002:sil-lahul-2019-pa-udeypur:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Pa,Pattani,Gushal,5,1,puɲdʒɐ,puɲdʒɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-gushal,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Pattani-Gushal]",sillahul2019:g002:sil-lahul-2019-pa-gushal:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Pa,Pattani,Mooling,5,1,pũnzɐ,pũnzɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-mooling,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Pattani-Mooling]",sillahul2019:g002:sil-lahul-2019-pa-mooling:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Pa,Pattani,Tholang,5,1,phunzɐ,phunzɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-tholang,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Pattani-Tholang]",sillahul2019:g002:sil-lahul-2019-pa-tholang:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Pa,Pattani,Chimrat,5,1,pundʒ,pundʒ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-chimrat,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Pattani-Chimrat]",sillahul2019:g002:sil-lahul-2019-pa-chimrat:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Pa,Pattani,Salgram,5,1,pũndʒ,pũndʒ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-salgram,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Pattani-Salgram]",sillahul2019:g002:sil-lahul-2019-pa-salgram:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Ti,Tinani,Sissu,1,1,bəlo,bəlo,Unicode Charis/Doulos SIL text layer,,target,installed,,lbf,sil-lahul-2019-ti-sissu,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Tinani-Sissu]",sillahul2019:g002:sil-lahul-2019-ti-sissu:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Ti,Tinani,Gondhla,1,1,bɐlog,bɐlog,Unicode Charis/Doulos SIL text layer,,target,installed,,lbf,sil-lahul-2019-ti-gondhla,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Tinani-Gondhla]",sillahul2019:g002:sil-lahul-2019-ti-gondhla:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Ga,Gahri,Keylong,5,1,puʃɐ,puʃɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,bfu,sil-lahul-2019-ga-keylong,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Gahri-Keylong]",sillahul2019:g002:sil-lahul-2019-ga-keylong:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Ga,Gahri,Stingri,5,1,puʃɐ,puʃɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,bfu,sil-lahul-2019-ga-stingri,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Gahri-Stingri]",sillahul2019:g002:sil-lahul-2019-ga-stingri:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Ga,Gahri,Gawzang,5,1,puʃɐ,puʃɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,bfu,sil-lahul-2019-ga-gawzang,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Gahri-Gawzang]",sillahul2019:g002:sil-lahul-2019-ga-gawzang:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Bh,Bhoti,Darcha,2,1,gho,gho,Unicode Charis/Doulos SIL text layer,,target,installed,,sbu,sil-lahul-2019-bh-darcha,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Bhoti-Darcha]",sillahul2019:g002:sil-lahul-2019-bh-darcha:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Bh,Bhoti,Kolong,2,1,go,go,Unicode Charis/Doulos SIL text layer,,target,installed,,sbu,sil-lahul-2019-bh-kolong,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Bhoti-Kolong]",sillahul2019:g002:sil-lahul-2019-bh-kolong:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Bh,Bhoti,Rarig,2,1,go,go,Unicode Charis/Doulos SIL text layer,,target,installed,,sbu,sil-lahul-2019-bh-rarig,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Bhoti-Rarig]",sillahul2019:g002:sil-lahul-2019-bh-rarig:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Bh,Bhoti,Tingrat,2,1,gho,gho,Unicode Charis/Doulos SIL text layer,,target,installed,,sbu,sil-lahul-2019-bh-tingrat,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Bhoti-Tingrat]",sillahul2019:g002:sil-lahul-2019-bh-tingrat:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Bh,Bhoti,Khoksar,2,1,go,go,Unicode Charis/Doulos SIL text layer,,target,installed,,sbu,sil-lahul-2019-bh-khoksar,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Bhoti-Khoksar]",sillahul2019:g002:sil-lahul-2019-bh-khoksar:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Ld,Ladakhi,Leh,2,1,go,go,Unicode Charis/Doulos SIL text layer,,prior_list,excluded,previously collected regional comparison list; retained audit-only,,,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Ladakhi-Leh]",
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Bh,Bhoti,Spiti,2,1,gɔ,gɔ,Unicode Charis/Doulos SIL text layer,,prior_list,excluded,previously collected regional comparison list; retained audit-only,,,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Bhoti-Spiti]",
wordlist response,chamberlain-chamberlain2019lahul,46,38,2,head,Tb,Tibetan,Lhasa,2,1,go̥,go̥,Unicode Charis/Doulos SIL text layer,,comparison,excluded,standard comparison/control language; retained audit-only,,,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 2, Tibetan-Lhasa]",
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Hi,Hindi,Standard,1,1,bɐl,bɐl,Unicode Charis/Doulos SIL text layer,,comparison,excluded,standard comparison/control language; retained audit-only,,,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Hindi-Standard]",
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Pg,Pangi,Tindi,1,1,bɐl,bɐl,Unicode Charis/Doulos SIL text layer,,prior_list,excluded,previously collected regional comparison list; retained audit-only,,,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Pangi-Tindi]",
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Ch,Chinali,Gushal,5,1,ʃiɾɐ,ʃiɾɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,cih,sil-lahul-2019-ch-gushal,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Chinali-Gushal]",sillahul2019:g003:sil-lahul-2019-ch-gushal:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Ch,Chinali,Nalda,5,1,ʃiɾɐ,ʃiɾɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,cih,sil-lahul-2019-ch-nalda,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Chinali-Nalda]",sillahul2019:g003:sil-lahul-2019-ch-nalda:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Lo,Lohari,Gondhla,4,1,ʃik,ʃik,Unicode Charis/Doulos SIL text layer,,target,installed,,lhl,sil-lahul-2019-lo-gondhla,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Lohari-Gondhla]",sillahul2019:g003:sil-lahul-2019-lo-gondhla:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Lo,Lohari,Gawzang,4,1,ʃik,ʃik,Unicode Charis/Doulos SIL text layer,,target,installed,,lhl,sil-lahul-2019-lo-gawzang,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Lohari-Gawzang]",sillahul2019:g003:sil-lahul-2019-lo-gawzang:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Pa,Pattani,Jobrang,3,1,kɾɐh,kɾɐh,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-jobrang,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Pattani-Jobrang]",sillahul2019:g003:sil-lahul-2019-pa-jobrang:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Pa,Pattani,Thirot,3,1,kɾɐ,kɾɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-thirot,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Pattani-Thirot]",sillahul2019:g003:sil-lahul-2019-pa-thirot:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Pa,Pattani,Udeypur,3,1,kɾɐh,kɾɐh,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-udeypur,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Pattani-Udeypur]",sillahul2019:g003:sil-lahul-2019-pa-udeypur:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Pa,Pattani,Gushal,3,1,kɾɐ,kɾɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-gushal,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Pattani-Gushal]",sillahul2019:g003:sil-lahul-2019-pa-gushal:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Pa,Pattani,Mooling,3,1,kɾɐ,kɾɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-mooling,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Pattani-Mooling]",sillahul2019:g003:sil-lahul-2019-pa-mooling:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Pa,Pattani,Tholang,3,1,kɾɐ,kɾɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-tholang,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Pattani-Tholang]",sillahul2019:g003:sil-lahul-2019-pa-tholang:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Pa,Pattani,Chimrat,3,1,kɾɐ,kɾɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-chimrat,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Pattani-Chimrat]",sillahul2019:g003:sil-lahul-2019-pa-chimrat:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Pa,Pattani,Salgram,3,1,kɾɐ,kɾɐ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-salgram,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Pattani-Salgram]",sillahul2019:g003:sil-lahul-2019-pa-salgram:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Ti,Tinani,Sissu,1,1,bʌl,bʌl,Unicode Charis/Doulos SIL text layer,,target,installed,,lbf,sil-lahul-2019-ti-sissu,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Tinani-Sissu]",sillahul2019:g003:sil-lahul-2019-ti-sissu:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Ti,Tinani,Gondhla,1,1,bɐl,bɐl,Unicode Charis/Doulos SIL text layer,,target,installed,,lbf,sil-lahul-2019-ti-gondhla,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Tinani-Gondhla]",sillahul2019:g003:sil-lahul-2019-ti-gondhla:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Ga,Gahri,Keylong,3,1,kɾʌ,kɾʌ,Unicode Charis/Doulos SIL text layer,,target,installed,,bfu,sil-lahul-2019-ga-keylong,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Gahri-Keylong]",sillahul2019:g003:sil-lahul-2019-ga-keylong:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,3,hair,Ga,Gahri,Stingri,3,1,kɾʌ,kɾʌ,Unicode Charis/Doulos SIL text layer,,target,installed,,bfu,sil-lahul-2019-ga-stingri,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 3, Gahri-Stingri]",sillahul2019:g003:sil-lahul-2019-ga-stingri:i1
