Entry_Key,Form,Raw_Gloss_German,English_Gloss,Review,Translator,Model,Source_SHA256
berger:p009:c2:e008,áaąjo-páaąjo ét-,"17, ng","17, ng",machine-translated-unreviewed,Argos Translate,de_en 1.3,d6a808753dee66c495afce46297ec05145078459fef82150958cbe000d82e9b6
berger:p009:c2:e008:dialect:1,áajo-áajo,"17, ng","17, ng",machine-translated-unreviewed,Argos Translate,de_en 1.3,d6a808753dee66c495afce46297ec05145078459fef82150958cbe000d82e9b6
berger:p009:c2:e009,aalá,"überlegen, erstklassig","superior, first-class",machine-translated-unreviewed,Argos Translate,de_en 1.3,fc2c3e656b2dbf88e9fd8ac095dd20ca06c026c857c6587fb17db4f50fe2663f
berger:p009:c2:e010,aalám,"Welt, Gegend, Gebiet, Zustand","world, area, territory, state",machine-translated-unreviewed,Argos Translate,de_en 1.3,61f5f0d9773b8e2c8eec25a929f5a4fd99ae9916272d60cea76dcd871f6f9b3d
berger-entry-2,aalám,ìn,ìn,machine-translated-unreviewed,Argos Translate,de_en 1.3,83de5e36a82cc1dc1e0748ea2bbc51ecfdd7f0fec24bd9be1edd1b6fed438aea
berger-entry-3,áale,áali s. hairáan,áali s. hairáan,machine-translated-unreviewed,Argos Translate,de_en 1.3,e362d8e064530baf49501f384956ab2f8eddbe7fff3a0ee8b654272380949232
berger:p010:c1:e003,áam,"gewöhnlich, öffentlich, (Volk, Sprache) einfach ; 17. 2","ordinary, public, (people, language) simple; 17",machine-translated-unreviewed,Argos Translate,de_en 1.3,ec51f466931926fb057edd6195909d9df521f383f0d3bcc8ff7b2a9a12cf5358
berger:p010:c1:e004,áam-qháam,ds,same as preceding entry,machine-translated-unreviewed,Argos Translate,de_en 1.3,f9c7af7ebcbf098b9f5f37361d1b168bb2e5b98d930ceef0f055377a8c94db61
berger:p010:c1:e005,áam ét-,essen (Kindersprache),eating (children's language),machine-translated-unreviewed,Argos Translate,de_en 1.3,16f00baed9ab6fc3beb26d4b00b6491464983359c8492344f7e8c3ce18da0060
berger-entry-5,áam-qháam,s. !áam,see!áam!,machine-translated-unreviewed,Argos Translate,de_en 1.3,9ebc8a79b4950ee46460778ee28f937fbbf9b394d7436b33412abf1b3bf869b2
berger:p010:c1:e007,áao,da bin ich! (Antwort auf Zuruf) he! (Ruf in die Ferne),there I am! (answer to cry) he! (call to the distance),machine-translated-unreviewed,Argos Translate,de_en 1.3,3922f4b2340dc7fbe525aa5898c3a9113914edeffdd2ed9a53c62edc7db74b4b
berger-entry-7,åaq,s. oq,see also oq,machine-translated-unreviewed,Argos Translate,de_en 1.3,899dae71ba713dc085c3dd3330c5f94dd145249a827287096fca2c80f0f7fb58
berger-entry-8,aaqhér,"adv. schließlich, endlich","adv. finally, finally",machine-translated-unreviewed,Argos Translate,de_en 1.3,b4f2d2b737ebc3c235f92d4169e93692c8a2cb2e94861f305318f05aa3188e83
berger-entry-9,aaqhirí,"letzt-; adv. schließlich, endlich","last-; adv. finally, finally",machine-translated-unreviewed,Argos Translate,de_en 1.3,5d870b87e936c76af9be05ac27e3a018124aab6c3528c117bad597ca9580a4f5
berger-entry-10,aaqhiríkuś,"in aaqhiríkuśe gunċ, Glosse zu aaqhirí gunċ","in aaqhiríkuśe gunċ, gloss to aaqhirí gunċ",machine-translated-unreviewed,Argos Translate,de_en 1.3,b2df50568a2129b665b76e7f40bad541c657f25c89fa9dce7267c37ba0ce4ad4
berger-entry-11,aaqhirkáar,ds. wie aaqhér,same as aaqhér,machine-translated-unreviewed,Argos Translate,de_en 1.3,51da681004c6b80e5360b1bcea1507ce9f5a5261901a30f96d86aadaae20b1ef
berger-entry-12,aár,sS. -iaár|-aár,sS. -iaár|-aár,machine-translated-unreviewed,Argos Translate,de_en 1.3,2e3e8e56af94cf7bb0bfe7b7e3079d3072fccc968d2b5e15aa7668ca2afb7d99
berger-entry-13,aaráamy,"Ruhe, Beruhigung, Rast; Linderung (einer Krankheit) 40","rest, reassurance, rest; relief (of an illness) 40",machine-translated-unreviewed,Argos Translate,de_en 1.3,61c777e78c06c60b200a47e0aa2fdd4089a7173961539a9e19574a2f040ef139
berger-entry-14,aaráamkuś,ds,same as preceding entry,machine-translated-unreviewed,Argos Translate,de_en 1.3,f9c7af7ebcbf098b9f5f37361d1b168bb2e5b98d930ceef0f055377a8c94db61
berger:p010:c2:e004,di-áarč-,s. gáåarċ,see gáåarċ,machine-translated-unreviewed,Argos Translate,de_en 1.3,eea85c4099ff12be6ef1dd1914f5b9d0c884975bc39fd959ca06e5b49ba641ae
berger:p010:c2:e005,as,s. -as i,see also as I,machine-translated-unreviewed,Argos Translate,de_en 1.3,feb2a609eec479558fe60416aad93ab8afba87db656f166e4968848192a18996
berger-entry-15,aasáan,leicht (zu machen) ; Leichtigkeit,easy (to make); ease,machine-translated-unreviewed,Argos Translate,de_en 1.3,ee1e9bfed6e502c6390120cbd11a55bef89c595722d3f86daf618f2519576cc2
berger-entry-16,áaski,s. -ki,see -ki,machine-translated-unreviewed,Argos Translate,de_en 1.3,a41b7e82ac1b9242859f0ce05fd64680bd225edfc1592e78b714bd417e9e7182
berger-entry-17,aasman,s. asmåáan,see asmåáan,machine-translated-unreviewed,Argos Translate,de_en 1.3,f9ba530c39cee5dcd6b052c33f4a002c9f1e36b9a550539adf2ecbad4103c838
berger-entry-18,aaśíq -mán-,sich verlieben (in -ċe),fall in love (in -ċe),machine-translated-unreviewed,Argos Translate,de_en 1.3,c9ba948e7ce653fbeb38c05100a74f0f429f20e25ea5dd6798fb562bded275d0
berger-entry-19,ãáü-kãáűŭ ét-,` bitter weinen Gh. ái),` bitter weep Gh. ái,machine-translated-unreviewed,Argos Translate,de_en 1.3,e51207c46c94e7041a7b1b03f488096338840b979046712642170b01c08667b6
berger-entry-20,aayáa,ayáa Fragepartikel: ob ... (oder nicht)?,ayáa question particles: whether ... (or not)?,machine-translated-unreviewed,Argos Translate,de_en 1.3,4a24754646dc0d0dccc8999b81c0eec5dd6e63d8d806a974b936c29184c36250
berger-entry-21,áay,"Patronymsuffix, vgl. Gr.19. (zu tuy}","patronymsuffix, cf. Gr.19. (to tuy )",machine-translated-unreviewed,Argos Translate,de_en 1.3,a810e534e84f355f2048324b5faa722792b234006468ba5569428af8d0d6fabb
berger:p011:c1:e002,aazáan,Gebetsruf . @. äzān}),call of prayer . @. äzān},machine-translated-unreviewed,Argos Translate,de_en 1.3,146668913735a05723d361a37f2380536679bcb9657111c8c1cc409e480949b4
berger:p011:c1:e003,abáa,(königliches) Gewand,(royal) robe,machine-translated-unreviewed,Argos Translate,de_en 1.3,dceddd5a5a1b04daad0643b8a41d74cece59725495c38933155178a0862f0bf6
berger-entry-22,abáaśo,"Blick, schwachsichtig, in der Nacht schlecht sehend","look, weak sighted, poorly sighted at night",machine-translated-unreviewed,Argos Translate,de_en 1.3,6cc7b4e2bbda3ae175b340d5ece8f48305e703904166b90bbadf5f711222e37b
berger:p011:c1:e005,abáat,"(Land) besiedelt, bewohnt, bebaut; reichlich, viel (meist -an)","(land) populated, inhabited, cultivated; plentiful, much (mostly -an)",machine-translated-unreviewed,Argos Translate,de_en 1.3,d2a754f7faa309e2a00485242d80ec9b5c74036bdb417a5ffb13fc6ee5ca1e9e
berger-entry-23,aabaadí,Bevölkerung,population,machine-translated-unreviewed,Argos Translate,de_en 1.3,51189f33cea8fb37e8f0d92f2633405e32cda58cff8d2954e111848230c9558e
berger-entry-25-dialect-1,abáato,abáałṭo ng. s. abádo schwache Person,abáałṭo ng. s. abádo weak person,machine-translated-unreviewed,Argos Translate,de_en 1.3,261ea96edb1f50fee9bc87d1a2e739e4fac65d0679a4994df88801d767d1b99c
berger-entry-24,abaććhálo,oder Tier,or animal,machine-translated-unreviewed,Argos Translate,de_en 1.3,3a35f9b0123b9bef6bb504460c366ff6e4243b0296b0bbe94d461d613122e89e
berger-entry-25,abádo,"abáato, abáato faul, stumpfsinnig, träge","abáato, abáato lazy, dull, lazy",machine-translated-unreviewed,Argos Translate,de_en 1.3,643e586c6bf6781cb32031acc8e8412df00ab2940d7464f0cea581715b365027
berger-entry-25:dialect:1,abáato,"abáato, abáato faul, stumpfsinnig, träge","abáato, abáato lazy, dull, lazy",machine-translated-unreviewed,Argos Translate,de_en 1.3,643e586c6bf6781cb32031acc8e8412df00ab2940d7464f0cea581715b365027
berger-entry-26,abatéi,Faulheit usw,"laziness, etc",machine-translated-unreviewed,Argos Translate,de_en 1.3,24200e9c1db5939b77d3953d077c7da310aafd8d1effe1fce7d3d71ff891c8e5
berger-entry-27,abáś,"difficulty, unhappiness; difficult","difficulty, unhappiness; difficult",machine-translated-unreviewed,Argos Translate,de_en 1.3,22173a6197b06b404f2b561672fe016be144e05562392f9abd7d96e577b94d36
berger-entry-28,abatá,"verloren, vom Weg abgekommen (astray)","lost, lost from the way (astray)",machine-translated-unreviewed,Argos Translate,de_en 1.3,c92abd9961bef41322015afb8935f959f350a875dd254ab7d7235258fd02ce5a
berger:p011:c1:e013,abatéi,s. abádo,see Abadio,machine-translated-unreviewed,Argos Translate,de_en 1.3,1851762af8fad1386d6f36c7e0e574efdbf46d3f205cb162a95131c4569ac756
berger-entry-30,abdul-śaráṅ,Geld (scherzhaft nach Urdunamen mit ‘Abd,money (jokingly after Urduname with ‘Abd),machine-translated-unreviewed,Argos Translate,de_en 1.3,f5e8d4ab8243eb6d97bb882278219e48d3e2692feba759ce4754895cfeee9d5b
berger-entry-32,abóko,"(Tier, Mensch) klein, schwach","(animal, human) small, weak",machine-translated-unreviewed,Argos Translate,de_en 1.3,a0037c3ca756d1b4ff366cbca15cbb847a498354f97cc1717b33864cc9703c1a
berger-entry-33,aboóm,"unglücklich, unselig, Unglück bringend (Opp. suboóm)","unhappy, unfortunate, bringing unhappiness (Opp. suboóm)",machine-translated-unreviewed,Argos Translate,de_en 1.3,c75e035f7fcd1652f25877ab2dfa55930823555f090335ae3ef48968297af2c1
berger-entry-35,aćaáćo,"hastig, grob, sich vordrängend","hasty, crude, pushing forward",machine-translated-unreviewed,Argos Translate,de_en 1.3,7a82ee4a3622f6c48d514acbdedd8a16f9959dcf09bffd15fa352c59f60b0e04
berger-entry-36,aćaćéi ét-,"sich grob, rücksichtslos verhalten","behave rudely, ruthlessly",machine-translated-unreviewed,Argos Translate,de_en 1.3,9eee911fbad10767ccf21f1e8f96e4dfd810d349824495dc5c9f2de58a5a602d
berger-entry-37,aćaanák,ötzlich,divine,machine-translated-unreviewed,Argos Translate,de_en 1.3,98851b6faaf6c8190334846514b4c6ccddd27fc68f4295c403348c8dcdcbb6bc
berger-entry-38,aćaćéi,s. aćaáćo,see aćaáćo,machine-translated-unreviewed,Argos Translate,de_en 1.3,1912a554354cf4924264093e6376e08db5e842de00a522958f3d99fee0360866
berger-entry-39,aćaħáayo,einen bei der Arbeit störend; böse Antworten gebend,disturbing one at work; giving evil answers,machine-translated-unreviewed,Argos Translate,de_en 1.3,0ff6d881abe4b8ae7d438c2b1587bce94ea4bf4520fa84780428b36c7aa37534
berger-entry-40,aćári,"backward (village, area)","backward (village, area)",machine-translated-unreviewed,Argos Translate,de_en 1.3,66fca600be71ba3b537556ea959ccfe9ddd5fefa4f9294a4da2a1598f98a24a7
berger-entry-41,aćás,"Schaf, Ziege; Schafe und Ziegen, d.i. Kleinvieh { = kuyés)","sheep, goat; sheep and goats, i.e. small livestock { = kuyés]",machine-translated-unreviewed,Argos Translate,de_en 1.3,5cc2fc285c369c50aa1732436b7e2a9a91605514129971010945ffe6bbce2aa6
berger-entry-42,aćóq,s. !ćok,see! ćok,machine-translated-unreviewed,Argos Translate,de_en 1.3,c48e8a1d74acb77187efcc700159690eaac95eddf9b588302349b34c10d4aba7
berger-entry-43,aćhará,"confused, headless, frightened, mentally unstable; (soil) miserable, barren, (harvest year) bad","confused, headless, frightened, mentally unstable; (soil) miserable, barren, (harvest year) bad",machine-translated-unreviewed,Argos Translate,de_en 1.3,be866285312cbf303e1d58b349ad20b722e9dd48a33f59094e37ebadcbaa6d48
berger-entry-44,aćhará-babalá,"völlig verwirrt (von einem, dem eine sonderbare Arbeit aufgetragen worden ist) (vel. babalâ)",totally confused (by one to whom a strange work has been assigned) (vel. babalâ),machine-translated-unreviewed,Argos Translate,de_en 1.3,574811ec268d26bdbb954279c0ceb5a7ffe0c80d55d1500596ce5aa561a8d51a
berger-entry-45,aćharéi,Verwirrung usw,"confusion, etc",machine-translated-unreviewed,Argos Translate,de_en 1.3,1b111b73c6989788ab5525c40e996ae99f4ab6df15ed343e1841f50908644a0d
berger-entry-46,aćharáki,"Beklommenheit, Ungeduld, Nachlässigkeit","trepidation, impatience, negligence",machine-translated-unreviewed,Argos Translate,de_en 1.3,2560fc0b7f43cb31c3566fdce6498d7bf9bfe14df8af44471586ec5880e74aa0
berger-entry-47,aćharákiski,"nervös, verwirrt","nervous, confused",machine-translated-unreviewed,Argos Translate,de_en 1.3,a4c540ed99e1441fc4ebb4d88c8679a8317ec277d8323be8d65b707e4bed47d7
berger-entry-48,aćhó,"in warte(t)!, gleich!","in wait(t)!, equal!",machine-translated-unreviewed,Argos Translate,de_en 1.3,6f1154c7610ebd8afcbb57c695146fc77a892bb661c83d8fd056aac2a45af37a
berger-entry-48-dialect-1,aćó,"in warte(t)!, gleich!","in wait(t)!, equal!",machine-translated-unreviewed,Argos Translate,de_en 1.3,6f1154c7610ebd8afcbb57c695146fc77a892bb661c83d8fd056aac2a45af37a
berger-entry-49,áçoore,sS. +ço,sS. +ço,machine-translated-unreviewed,Argos Translate,de_en 1.3,d97a60f1fd9871a7b603b29b134a00fcd91dc9e94e61961a8c28dd7d366d5407
berger-entry-50,açhaláù,s. yaçhaláṅ,see also Yaçhaláṅ,machine-translated-unreviewed,Argos Translate,de_en 1.3,e636d2691048a8f4a628e4128594a47c7170b11dfbae156721e34aafe5a40b30
berger-entry-51,açhaméi,s. das Fg,see the following entry,machine-translated-unreviewed,Argos Translate,de_en 1.3,61dbdc58a24dd8de76a6987c796fd2730b8f76898a55eb0948e60abbd67eb0a0
berger-entry-52,ac̣héemo,"villainous, vicious, insidious; therefore harmless: severe killers (especially in love matters)","villainous, vicious, insidious; therefore harmless: severe killers (especially in love matters)",machine-translated-unreviewed,Argos Translate,de_en 1.3,fe19aedee830a89e485bf7ab7a3338259ff1c83d0f14eabc27ef3b325ccb6c69
berger-entry-53,açhuméi,"auch açhaméi -miù Untat, Schurkerei ; 80","also açhaméi -miù unchallenge, villainy ; 80",machine-translated-unreviewed,Argos Translate,de_en 1.3,df1511b7ac5be8a6aaa5af9df7de1f923131ef197dba569565555fa431d41a08
berger-entry-54,adaalát,Gerichtshof,court of Justice,machine-translated-unreviewed,Argos Translate,de_en 1.3,c43aa94cb41217800937fe8d713253a28548ae104a68179988ee0e1a626fffb2
berger:p012:c1:e011,adáp,"Jahresertrag, Ernte (pe. hadh?)","annual yield, harvest (pe. hadh?)",machine-translated-unreviewed,Argos Translate,de_en 1.3,d60420dbc3e1aa1fc36cd554179c2d7c0ffce93e6182918ee8fadad977aa3525
berger-entry-56,adáp,"Höflichkeit, Bildung","courtesy, education",machine-translated-unreviewed,Argos Translate,de_en 1.3,00d18e2bdc6ec20f2eda98db2fcd5b6645fd83fdbed7cc7c5224bc1a0e1d9290
berger-entry-57,adít,sunday,sunday,machine-translated-unreviewed,Argos Translate,de_en 1.3,b6ac44e3f415a3a8475647092d3ea45fda2c4480219b7a660cb67a32dcf0882d
berger-entry-58,áḍa,"remaining, remaining; lesser, unworthy","remaining, remaining; lesser, unworthy",machine-translated-unreviewed,Argos Translate,de_en 1.3,c257d3839cef6e90157014d1ad9f9ad73a661f5fee874241c93468dec2798689
berger-entry-58-dialect-1,áḍe,"remaining, remaining; less good, unworthy","remaining, remaining; less good, unworthy",machine-translated-unreviewed,Argos Translate,de_en 1.3,011d6189c5d0b0d8d96135be59f675890c2642605f3b60a745bba7f1154bdb63
berger-entry-59,adaqhár,"Mann der mittleren Gesellschaftsklasse, ng. von ferne kommend, unbekannt, seltsam (?)","man of the middle class, ng. coming from afar, unknown, strange (?)",machine-translated-unreviewed,Argos Translate,de_en 1.3,bcdfa945cc7f826cf1a544438eb8619aafce36afdaed075f66220a7cabab15a8
berger-entry-60,adímo,"kleiner, körperlich unterentwickelter Mensch oder Tier","small, physically underdeveloped human or animal",machine-translated-unreviewed,Argos Translate,de_en 1.3,d683b2c64fec0017243b0a6057fb42831ae39f548af56b574d42135effb812b1
berger-entry-61,afsúus,apsúus y Bedauern (pe. 'afsūs = u. 'afsõs),apsúus y Regret (pe. 'afsūs = u. 'afsõs),machine-translated-unreviewed,Argos Translate,de_en 1.3,138adb4f65c58599dcb8aff8263ef551f352e6c81a97589d321535435a7afc6f
berger-entry-62,agáayo,"schwach, unfähig (zu -ar), (Lebensmittel, Futter) nicht ` sättigend, nicht kräftigend; gefrä- Big, unersättlich; (Land) schlecht gedüngt, brach; unfruchtbar (Opp. suán)","weak, incapable (to -ar), (food, feed) not `satisfactory, not energizing; filthy- Big, insatiable; (land) poorly fertilized, broken; barren (Opp. suán)",machine-translated-unreviewed,Argos Translate,de_en 1.3,d9ebe459684d0911b01db737a06aa162524ac189d9bd1416d79ca4faceed8c06
berger-entry-65,agayéś,"ungedüngtes, schlechtes Land","unfertilized, bad land",machine-translated-unreviewed,Argos Translate,de_en 1.3,5b455096583f77b6f6283f72a1f3e93671901c00858dd97e000cd777d9e91707
berger-entry-66,ágar,"ke wenn ; ; ; ; ; , vgl. Gr","ke if ; ; ; ; ; , cf. Gr",machine-translated-unreviewed,Argos Translate,de_en 1.3,4e4edeb3322bd5ed67614a3cbf2ee26f96abf103f2c6aa70839104c75f60786f
berger-entry-67,ágarći,"agárći , agárki ; 9 selbst wenn, obwohl","agárći, agárki; 9 even if, though",machine-translated-unreviewed,Argos Translate,de_en 1.3,daeb05dbd469244883408c31ecff2e969c5f9813506a24ea925fb725eb56b2c3
berger:p013:c1:e002,agayéś,s. agáayo,see agáayo,machine-translated-unreviewed,Argos Translate,de_en 1.3,44c5e0d5b880b3b686f87d94687ab93dff63b3a41783242b485acc5dd9479b85
berger-entry-69,agón,"courtyard around the moon; circle (of people); upper room, veranda, reception room","courtyard around the moon; circle (of people); upper room, veranda, reception room",machine-translated-unreviewed,Argos Translate,de_en 1.3,3bb7544dd256d3f3ef585de541286243058236ffe9d151f3898f2eccfd7c8564
berger-entry-70,agúuųyo,"roh, unreif, geschmacklos; wenig oder gar nicht gedüngt; wenig fruchtbar","raw, immature, tasteless; little or no fertilized; little fertile",machine-translated-unreviewed,Argos Translate,de_en 1.3,9743546d4caa0efbe5d1e6a18c506cfefed1ab44dac66210e232edf3adb2c74c
berger-entry-71,agaápo,"ekelhaft schmeckend, geschmacklos","disgusting tasting, tasteless",machine-translated-unreviewed,Argos Translate,de_en 1.3,e3dc3644e455941969bbd6a1269f33ee9f26f0be1997304c0b3c93c409412b1b
berger-entry-72,agatéś,s. das Fg,see the following entry,machine-translated-unreviewed,Argos Translate,de_en 1.3,61dbdc58a24dd8de76a6987c796fd2730b8f76898a55eb0948e60abbd67eb0a0
berger-entry-73,agáto,sich schämend,being ashamed,machine-translated-unreviewed,Argos Translate,de_en 1.3,c1043c90b0f99cb319af4ac57f62325ee3163a77dcbe9487a1661995c07b44d6
berger-entry-74,agatés -mán-,sich schämen,to be ashamed,machine-translated-unreviewed,Argos Translate,de_en 1.3,9676beb3bd93933d85a48e9c38993c918a7f4076972824d51924c7aee95bdb4a
berger-entry-75,agél,"Hütte für Schafe auf der Weide , (Kr.) Nachtpferch für Kleinvieh in den Almsiedlungen","hut for sheep in the pasture, (Kr.) night pen for small livestock in the alpine settlements",machine-translated-unreviewed,Argos Translate,de_en 1.3,cbdb30502293df5bedf7c3dbc04f8f375614696888ed30bd54d892378a89f305
berger-entry-76,aiina,Spiegel ff,spiegel ff,machine-translated-unreviewed,Argos Translate,de_en 1.3,80580a564fbc1053327ef7f742c9628e685587be1e5ea889cffa120384b8bef2
berger-entry-77,ainák,"braune Wildkatze, NH Frettchen (ferret) (-q, ""marmot"")","brown wild cat, NH ferret (-q, ""marmot"")",machine-translated-unreviewed,Argos Translate,de_en 1.3,6404abbee64863f50c79159e391cbc9e89fe99f8b210d21e7ede1b7c53c5b9bf
berger-entry-78,(ajá-)biṭi( ét-),"to work hard, to work hard","to work hard, to work hard",machine-translated-unreviewed,Argos Translate,de_en 1.3,1a31880b11c6e5c5846b726b38f56ece980ec7d0a9697f70ff00fcce63e7f431
berger-entry-79,ajaíp,"28, ajáp seltsam, sonderbar","28, ajáp strange, strange",machine-translated-unreviewed,Argos Translate,de_en 1.3,e7a422278d0b13fe23140b08786506137c52f5cc049d2c204ef12fe79fcf207e
berger-entry-80,ájaly,Tod,death,machine-translated-unreviewed,Argos Translate,de_en 1.3,551768716253ec1774725bf7243e04a7a8bcf0c3e3bd3cca3c821403897a1138
berger-entry-81,ajáp,s. ajaíp,see ajaip,machine-translated-unreviewed,Argos Translate,de_en 1.3,241b3cfb5078c70eb77dc50bf9ac74e5620b30c94780b6833338043c8b243cdb
berger-entry-82,ajíibu-garíip,"vor Vokalen -b seltsam, merkwürdig, interessant 66. 1","before vowels -b strange, strange, interesting 66",machine-translated-unreviewed,Argos Translate,de_en 1.3,082e8ae713a9b34d956f5f0559522206dde74307c0e900251e15392903990e1f
berger-entry-83,ajól-ajól,"` man: zögern, etwas furchtsam sein (? ""quickly"")","`man: hesitate to be something fearful (? ""quickly"")",machine-translated-unreviewed,Argos Translate,de_en 1.3,2a2bf96bcf6cd2f1c00bbb1bc9d07bb5697510f311a41936bd10da60d2b9267c
