Item,Printed_Page,Nager_Forms,Hunza_Forms,Turner_IDs,Raw_Entry
8.11,310,yaaỵá|yaaỵé,yaaỵé,,"Ḍo.(Ng.) NOM.SG yaaỵá m. “summer”, NOM.PL yaaỵé, GEN.SG yaaỵéi, INEIL.SG yaaỵána “in the summer”; besides NOM.SG yaaỵé m., NOM.PL yaaỵéeŋa, INEIL.SG yaaỵéna ↔ Ḍo.(Hz.) NOM.SG yaaỵé “do.”, GEN.SG yaaỵéi, INEIL.SG yaaỵéna (52)."
8.12,310,tíir|kóon,kóon,3023,"Ḍo.(Ng.) NOM.SG tíir m. “arrow”, NOM.PL tíira, GEN.SG tíirei and tiiréi. – Pers./Urd. tīr; besides Ḍo.(Ng.) NOM.SG kóon m., NOM.PL káana, GEN.SG kaanéi and koonéi ↔ Ḍo.(Hz.) NOM.SG kóon m. “do.”, NOM.PL káana (61). – T. 3023; Sh. kóon f."
8.13,310,biráaya|biróoi,biráaya,9661,"Ḍo.(Ng.) NOM.SG biráaya m. and biróoi m. “brother”; NOM.PL biráara, GEN.SG biróoye and biroóye; ERGIN.SG birooín ↔ Ḍo.(Hz.) NOM.SG biráaya m. “do.”; NOM.PL biráara (63), GEN.SG biroˑyε (Lorimer 1939, p. 154). – T. 9661; Gawar-Bati blāya; Pashai (Gulbahar) brōi; Tirahi brāre “brothers”."
8.14,310,tumóq,tubóq,,"Ḍo.(Ng.) NOM.SG tumóq m. “rifle, pistol”, NOM.PL tumáqa, GEN. SG tumaqéi. – Bur.(Ng.) tumáq; Sh. tu(r)mák m. (Buddruss 1996, p. 49) ↔ Ḍo.(Hz.) NOM.SG tubóq m. “rifle”, NOM.PL tubáqa (66). – Bur.(Hz.) tubáq."
8.15,310,bičíl,daanú,6254,"Ḍo.(Ng.) NOM.SG bičíl m. “pomegranate”, NOM.PL bičíla, GEN.SG bičiléi. – Bur. bičíl ↔ Ḍo.(Hz.) NOM.SG daanú “do.”, NOM.PL daanúa (68). – T. 6254; Sh. daṇuú m."
8.16,311,manúuko|ġúrkuċ,miník,9746,"Ḍo.(Ng.) manúuko m. “frog”, NOM.PL manúukuŋ, GEN.SG manúukoi. – Sh. maṇúuko m.; T. 9746.2; besides Ḍo.(Ng.) NOM.SG ġúrkuċ m., NOM.PL ġúrkuċa, GEN.SG ġúrkuċei. – Bur.(Ng.) ġúrquċ ↔ Ḍo.(Hz.) NOM.SG miník m. “do.”, NOM.PL miníka (69). – T. 9746.2."
8.17,311,ṣiqáal|šiqáal,iṣqáara,,"Ḍo.(Ng.) NOM.SG ṣiqáal f. “wasp”, NOM.PL ṣiqáala; besides NOM. SG šiqáal f., NOM.PL šiqáala ↔ Ḍo.(Hz.) NOM.SG iṣqáara f. “do.”, NOM. PL iṣqaaróŋ (70). – Bur.(Ng.) ṣiqál, Bur.(Hz.) ṣiqár; Sh. iṣkáar (Buddruss 1984, p. 16), iškáara (Fussman 1972, p. 187) and iṣkár f."
8.18,311,hundekuná|hundá|hundé,hundé,14164,"Ḍo.(Ng.) NOM.SG hundekuná m. “winter”, NOM.PL hundekunáaŋa, GEN.SG hundekunái; besides NOM.SG hundá m., NOM.PL hundé, GEN. SG hundéi; besides NOM.SG hundé m., NOM.PL hundéeŋa, GEN.SG hundéi, INEIL.SG hundéna “in the winter” ↔ Ḍo.(Hz.) NOM.SG hundé “do.”, INEIL.SG hundéna (73). – T. 14164."
8.19,311,ačimóo õõṭo|miníino õõṭo,aċímo õõṭo|minéenio õõṭo,2563,"Ḍo.(Ng.) ačimóo / miníino õõṭo m. “upper / lower lip” (< ačimóo / miníino “from above / from below”; õõṭo m. “lip”) ↔ Ḍo.(Hz.) aċímo / minéenio õõṭo “upper / lower lip” (< atsimo “upper, pertaining to the upper side; from above”, mun'eˑni.o “pertaining to the lower side”, Lorimer 1939, pp. 144, 192) (81). – Sh. õõṭu m. “lip; upper lip”; T. 2563."
8.20,311,khoṭ,khaṭ,3781,"Ḍo.(Ng.) NOM.SG khoṭ m. “bed frame”, NOM.PL kháṭa, GEN.SG khaṭéi ↔ Ḍo.(Hz.) NOM.SG khaṭ m. “bed”, NOM.PL kháṭa (82). – Sh. khaṭ m., khaṭ f. (Buddruss 1996, p. 45); T. 3781."
8.21,311,miniindeenáaŋa,ʌtsideˑni,,"Ḍo.(Ng.) NOM.SG/PL miniindeenáaŋa “bedding” (< miní(i)n “down (place / direction)” + deená “to give”) ↔ Ḍo.(Hz.) NOM.SG ʌtsideˑni “upper-bedding” (Lorimer 1939, pp. 144) (< aċí “up; up above” + deená “to give”)."
8.22,311,č̣onč̣|č̣ónč̣a,ċonč̣,,"Ḍo.(Ng.) NOM.SG č̣onč̣ f. “moon”, GEN.SG č̣anẓéi; besides NOM.SG č̣ónč̣a f., GEN.SG č̣onč̣éi, INEIL.SG č̣onč̣ána “in the moon” ↔ Ḍo.(Hz.) NOM.SG ċonč̣ f. “do.”, GEN.SG ċanẓéi, INEIL.SG ċanẓána (84). – cf. Buddruss 1983, p. 17."
8.23,311,áaino|áaina,ayína,,"Ḍo.(Ng.) NOM.SG áaino m. “mirror”, NOM.PL áainuŋa, GEN.SG áainui; besides NOM.SG áaina f., NOM.PL aainóŋ ↔ Ḍo.(Hz.) NOM.SG ayína f. “do.”, NOM.PL ayinóŋ (88). – Bur. aíina ; Sh. ayíno m.; Pers./Urd. āina."
8.24,311,phúuŋi,salát,9083,"Ḍo.(Ng.) NOM.SG phúuŋi f. “moustache”, NOM.PL phúuŋiŋa, GEN. SG phúuŋii. – Bur.(Ng.) phúŋi; Sh. NOM.SG phuŋ m., NOM.PL phúŋe; T. 9083 ↔ Ḍo.(Hz.) NOM.SG salát “do.”, NOM.PL salatóŋ (91). But Lorimer 1939, p. 203 has still pf'uˑŋiŋa. – Bur. NOM.SG/PL salát."
8.25,312,khakaí|akhóo,akhóu|akhóoỵ,48,"Ḍo.(Ng.) NOM.SG khakaí f. “walnut”, NOM.PL khakaíŋ. – Bur. khakháayo; Sh. khakáaĩ (Berger 1998, p. 250) and khakããi f.; besides Ḍo.(Ng.) NOM.SG akhóo m., NOM.PL akhóowa and akhóoŋa, GEN.SG akhoowéi ↔ Ḍo.(Hz.) NOM.SG akhóu m. and akhóoỵ m. “do.”, NOM.PL akháaỵa (95). – T. 48; Sh. ač̣hóo m. (Buddruss 1996, p. 40)."
8.26,312,ač(h)|ač(h)a,ač,43,"Ḍo.(Ng.) NOM.SG ač(h) f. and ač(h)a f. “eye”, NOM.PL ač(h)íŋ ↔ Ḍo.(Hz.) ač f. “do.”, NOM.PL ačhíŋ, (98/9). – T. 43; Sh. ač̣híi f."
8.27,312,číi|číiya,číiỵ,4837,"Ḍo.(Ng.) NOM.SG číi f. and číiya f. “pine tree”, NOM.PL číiŋa, GEN. SG číiye ↔ Ḍo.(Hz.) NOM.SG číiỵ “do.” (110). – T. 4837; Sh. číi(h) f."
8.28,312,póo,póo,8056,"Ḍo.(Ng.) NOM.SG póo m. “foot, leg”, NOM.PL páaŋa and páa ↔ Ḍo.(Hz.) NOM.SG póo m. “do.”, NOM.PL páa (113). – T. 8056; Sh. páa m. “foot; leg of bed”."
8.29,312,bóot,bóot,11348,"Ḍo.(Ng.) NOM.SG bóot f. “big, flat stone”, NOM.PL baatúŋ; besides NOM.SG bóot m., NOM.PL báata ↔ Ḍo.(Hz.) NOM.SG bóot “do.”, NOM.PL báata (114). – Bur. bat “do”; Sh. baṭ m. “(round) stone”; T. 11348."
8.30,312,gíri|gíiri,gíiri,4161,"Ḍo.(Ng.) NOM.SG gíri f. “big stone, boulder”, NOM.PL gíriŋa, GEN.SG gírii; besides NOM.SG gíiri f., NOM.PL gíiriŋa, GEN.SG gíirii ↔ Ḍo.(Hz.) NOM.SG gíiri f. “do.” (114). – T. 4161; Sh. gíri f."
8.31,312,hangúṭ|baḍí agúla,báṛi agúla,137|11225|135,"Ḍo.(Ng.) NOM.SG hangúṭ m. “thumb”. – T. 137; Sh. agúṭo m.; besides Ḍo.(Ng.) baḍí agúla f. (< baḍí “big, large (f.)”; agúla f. “finger”) ↔ Ḍo.(Hz.) báṛi agúla f. “do.” (119). – T. 11225; 135."
8.32,312,čõúndei,čaundéi,4605,"Ḍo.(Ng.) čõúndei “fourteen” ↔ Ḍo.(Hz.) čaundéi “do.” (123). – Sh. čoóndei (Buddruss 1984, p. 20); T. 4605."
8.33,312,p(h)ačoó,čipóoỵ,8249|4818,"Ḍo.(Ng.) NOM.SG p(h)ačoó m. “tail”, NOM.PL p(h)ačoóŋa, GEN. SG p(h)ačoóye. – Sh. phačoó m. (Buddruss 1996, p. 47), phočoó m.; T. 8249 ↔ Ḍo.(Hz.) NOM.SG čipóoỵ “do.”, NOM.PL čipáaỵa (127). – T. 4818.4?"
8.34,312,ló(o)i,láač,11142|11003,"Ḍo.(Ng.) NOM.SG ló(o)i f. “fox”, NOM.PL ló(o)iŋa and lóiŋ and lóoya. – Sh.(Gilgit) lõi f., Sh.(Palas) lóoi; T. 11142 ↔ Ḍo.(Hz.) láač “do.”, NOM.PL laačíŋ (131). – T. 11003."
8.35,312,suuná|suuné,suuná,13481,"Ḍo.(Ng.) NOM.SG suuná m. “dream”, NOM.PL suuné; besides NOM. SG suuné m., NOM.PL suunéena ↔ Ḍo.(Hz.) NOM.SG suuná m. “do.”, NOM.PL suuné (132). – T. 13481."
8.36,312,briyú(u),bras,12233,"Ḍo.(Ng.) NOM.SG briyú(u) m. “rice”, NOM.SG briyuwéi. – Bur.(Ng.) briú; Sh. bríu, bryú (Berger 1998, p. 60) and brĩu; T. 12233 ↔ Ḍo.(Hz.) NOM.SG bras “do.”, GEN.SG braséi (135/6). – Bur.(Hz.) bras."
8.37,313,sáu,baalí,11580,"Ḍo.(Ng.) NOM.SG sáu m. “sand”, GEN.SG sa(u)wéi. – Bur.(Hz. and Ng.) sáo, Bur.(Yasin) sáu. ↔ Ḍo.(Hz.) NOM.SG baalí f. “do.” (138). – T. 11580."
8.38,313,ṣõõi,ṣõwéi,12812,"Ḍo.(Ng.) ṣõõi “sixteen”. – Sh. (Gilgit) ṣoĩ (Buddruss 1984, p. 21) and ṣóoĩ ↔ Ḍo.(Hz.) ṣõwéi “do.” (141). – Sh. (Kohistan) ṣõõei (Buddruss 1984, p. 21); T. 12812."
8.39,313,kirmá|jon,kirmá,3438|5110,"Ḍo.(Ng.) NOM.SG kirmá m. “worm”, NOM.PL kirmé, GEN.SG kirméi ↔ Ḍo.(Hz.) NOM.SG kirmá m. “snake”, NOM.PL kirmé (143). – T. 3438 // Ḍo.(Ng.) for “snake” is NOM.SG jon m., NOM.PL jóna, GEN. SG jonéi. – Sh. jon m.; T. 5110."
8.40,313,tóo,tóo,5767,"Ḍo.(Ng.) NOM.SG tóo m. “sun”, NOM.PL táaŋa, OBL.SG taás ↔ Ḍo.(Hz.) NOM.SG tóo m. “do.”, NOM.PL táa, OBL.SG taás (146). – T. 5767."
8.41,313,gúuwo|píni,píni,4479|8168,"Ḍo.(Ng.) NOM.SG gúuwo m. “heel”, NOM.PL gúuwe, GEN.SG gúuwoi. – T. 4479.1; besides Ḍo.(Ng.) NOM.SG píni f. “heel; leg from knee to ankle, calf; instep”, NOM.PL píniŋa, GEN.SG pínii ↔ Ḍo.(Hz.) NOM.SG píni “heel” (150); Lorimer 1939, p. 201 has piˑni “the lower leg”. – Bur. píni “menschliches Bein vom Knie bis zum Knöchel, Wade”; Sh: píni (Berger 1998, p. 315); T. 8168."
8.42,313,bóbok,bóbok,,"Ḍo.(Ng.) NOM.SG bóbok m. “buttock; thigh”, NOM.PL bóboka, GEN.SG bóbokei ↔ Ḍo.(Hz.) NOM.SG bóbok “calf” (150). – Bur.(Hz.) bubóq, Bur.(Yasin) bobóq “Fleischmasse, Hinterbacke, Wade”; Kho. bubuq (Berger 1998, p. 60) // Ḍo.(Ng.) for “calf” is píni f.; see 8.41."
8.43,313,gíṭa|giṭ,čut,4860,"Ḍo.(Ng.) NOM.SG gíṭa f. and giṭ f. “vagina”, NOM.PL giṭóŋ, GEN. SG giṭéi. – Bur.(Ng.) giṭ ↔ Ḍo.(Hz.) NOM.SG čut “do.” (150). – T. 4860."
8.44,313,širooṭá|iċhúṭi,ċhúṭo,12452,"Ḍo.(Ng.) NOM.SG širooṭá m. “head”, NOM.PL širooṭé, GEN.SG širooṭéi. – T. 12452 ↔ Ḍo.(Hz.) NOM.SG ċhúṭo m. “do.” (151). – Bur. -ċhúṭi “Gipfel (des Berges); Haarschopf der Hindus; Kopffedern der Vögel; Hahnenkamm” // In Ḍo.(Ng.) iċhúṭi (f. or m.) denotes “(tuft of hair on the) top of the head”."
8.45,313,kom,krom,2892,"Ḍo.(Ng.) NOM.SG kom m. “work”, NOM.PL káma; GEN.SG kaméi ↔ Ḍo.(Hz.) NOM.SG krom m. “do.” (153). – T. 2892; Sh. k(r)om m."
8.46,313,čaagá,ʌčaˑga,4564,"Ḍo.(Ng.) čaagá “bad (m.)” ↔ Ḍo.(Hz.) ʌčaˑga “do.” (Lorimer 1939, p. 139). – T. 4564."
8.47,314,šóo|poi-bíiš,põĩ bíiš,12278|7655|11616,"Ḍo.(Ng.) šóo “one hundred” – T. 12278; besides poi-bíiš (< pói “five” + bíiš “twenty”) ↔ Ḍo.(Hz.) põĩ bíiš “do.” (Tikkanen 1996, p. 4). – T. 7655, 11616."
8.48,314,núu|nũũ,náu,6984,"Ḍo.(Ng.) núu and nũũ “nine” ↔ Ḍo.(Hz.) náu “do.” (Tikkanen 1996, p. 4). – T. 6984; Sh. náũ."
