Source_Key,PDF_Page,Printed_Page,Page_Line,Item,Gloss,Source_Code,List,Role,Existing_SSNP_Dialect,Source_Cell,Verified_Cell,Similarity_Groups,Expanded_Forms,Record_Type,Review_Method,Review_Status,Confidence,Status,Reason,Language_ID,Dialect_ID,Citation,Installed_Count,Entry_Keys
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,74,3,hair,CHA,Chamba/H.P.,new Indian target,,1  bɑl /  1  bɑɭ,1  bɑl /  1  bɑɭ,1 | 1,bɑl | bɑɭ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-chamba,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list CHA]",2,sileasterngujari2023:p042:i003:CHA:a1 | sileasterngujari2023:p042:i003:CHA:a2
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,75,3,hair,RAM,Rampur/H.P.,new Indian target,,1  bɑɭ,1  bɑɭ,1,bɑɭ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-rampur,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list RAM]",1,sileasterngujari2023:p042:i003:RAM:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,76,3,hair,NAL,Nalagarh/H.P.,new Indian target,,1  bɑɭ,1  bɑɭ,1,bɑɭ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-nalagarh,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list NAL]",1,sileasterngujari2023:p042:i003:NAL:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,77,3,hair,DEH,Dehradun/U.P.,new Indian target,,1  bɑl,1  bɑl,1,bɑl,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-dehra-dun,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list DEH]",1,sileasterngujari2023:p042:i003:DEH:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,78,3,hair,KOT,Kotdwara/U.P.,new Indian target,,1  bɑɭ,1  bɑɭ,1,bɑɭ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-kotdwara,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list KOT]",1,sileasterngujari2023:p042:i003:KOT:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,79,3,hair,HAL,Haldwani/U.P.,new Indian target,,1  bɑl,1  bɑl,1,bɑl,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-haldwani,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list HAL]",1,sileasterngujari2023:p042:i003:HAL:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,101,4,face,URD,Urdu,Urdu control,,2  tʃɛhɾʌ,2  tʃɛhɾʌ,2,tʃɛhɾʌ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,Urdu comparison control,,,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list URD]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,102,4,face,CHT,Chitral/Pak,republished SSNP list,SSNP-gojri-CHT,1  mũ,1  mũ,1,mũ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-CHT,,SSNP-gojri-CHT,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list CHT]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,103,4,face,SSW,Settlet Swat/Pak,republished SSNP list,SSNP-gojri-SSW,1  mũ,1  mũ,1,mũ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-SSW,,SSNP-gojri-SSW,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list SSW]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,104,4,face,GLT,Gilgit/Pak,republished SSNP list,SSNP-gojri-GLT,1  mũ,1  mũ,1,mũ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-GLT,,SSNP-gojri-GLT,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list GLT]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,105,4,face,KGH,Kaghan/Pak,republished SSNP list,SSNP-gojri-KGH,1  mũ,1  mũ,1,mũ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-KGH,,SSNP-gojri-KGH,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list KGH]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,106,4,face,NAK,North. Azad/Pak,republished SSNP list,SSNP-gojri-NAK,1  mũ,1  mũ,1,mũ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-NAK,,SSNP-gojri-NAK,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list NAK]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,107,4,face,CAK,Centr. Azad/Pak,republished SSNP list,SSNP-gojri-CAK,1  mũ,1  mũ,1,mũ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-CAK,,SSNP-gojri-CAK,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list CAK]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,108,4,face,UDH,Udhampur/J&K,new Indian target,,1  mũ,1  mũ,1,mũ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-udhampur,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list UDH]",1,sileasterngujari2023:p042:i004:UDH:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,109,4,face,JAM,Jammu/J&K,new Indian target,,1  mũ,1  mũ,1,mũ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-jammu,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list JAM]",1,sileasterngujari2023:p042:i004:JAM:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,110,4,face,CHA,Chamba/H.P.,new Indian target,,1  mũ,1  mũ,1,mũ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-chamba,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list CHA]",1,sileasterngujari2023:p042:i004:CHA:a1
