Status,Entry_Key,Printed_Page,Column,Source_Label,Raw_OCR_Label,Raw_OCR_Block,Form,Gloss,POS,Loan,Uncertain
ocr_unreviewed,mundlay1996:78,18,2,78,78,"ārno (V) ‘to leave something behind one, when leaving a place’. This has religious significance for them.",ārno,"to leave something behind one, when leaving a place",V,no,no
ocr_unreviewed,mundlay1996:79,18,2,79,79,"ārom (V) ‘to break, fall off (as of teeth}, e.g. pār aromi mengé ‘all teeth are gone’.",ārom,"to break, fall off (as of teeth}, e.g. pār aromi mengé ‘all teeth are gone",V,no,no
ocr_unreviewed,mundlay1996:80,18,2,80,80,arom-kāmāy (VC) ‘to demolish’.,arom-kāmāy,to demolish,VC,no,no
ocr_unreviewed,mundlay1996:81,18,2,81,781,"aroyni (NV} ‘to respond to a call coming from a distance’, cf. M. aroli ‘a loud cry’.",aroyni,to respond to a call coming from a distance,NV,no,no
ocr_unreviewed,mundlay1996:82,18,2,82,82,árthi (V) ‘to cause to weep’.,árthi,to cause to weep,V,no,no
ocr_unreviewed,mundlay1996:83,19,1,83,L83,"āta (N) ‘foo’, cf. HM āta ‘wheat flour’, Kannada uta ‘meal’.",āta,foo,N,yes,no
ocr_unreviewed,mundlay1996:84,19,1,84,84,"āta (V) ‘to distribute (food, etc.)’, see 83.",āta,"to distribute (food, etc.)",V,no,no
ocr_unreviewed,mundlay1996:85,19,1,85,85,"ató (V) ‘to break (a stick, ete. Y.",ató,,V,no,no
ocr_unreviewed,mundlay1996:86,19,1,86,86,dto (V) ‘to twist’.,dto,to twist,V,no,no
ocr_unreviewed,mundlay1996:87,19,1,87,87,asudi (V) ‘to hang something on a line’.,asudi,to hang something on a line,V,no,no
ocr_unreviewed,mundlay1996:88,19,1,88,788,asud (V) ‘to be flat on one’s back in wrestling’.,asud,to be flat on one,V,no,no
ocr_unreviewed,mundlay1996:89,19,1,89,89,åtho (N) ‘husband’.,åtho,husband,N,no,no
ocr_unreviewed,mundlay1996:90,19,1,90,90,"athú (V) ‘to crack the finger joints, etc.’, see 85.",athú,"to crack the finger joints, etc.",V,no,no
ocr_unreviewed,mundlay1996:91,19,1,91,9i,"attú (V) ‘to stretch’, see 85, 90.",attú,to stretch,V,no,no
ocr_unreviewed,mundlay1996:92,19,1,92,92,"ãto (N) ‘tear (of the eyeY’, cf. 793.",ãto,tear (of the eyeY,N,no,no
ocr_unreviewed,mundlay1996:93,19,1,93,L93,"äwār (N) ‘house’, cf. M. āvār ‘compound area of a house’, Hd. vär ‘house’. a. āwār-nitti (VC) ‘wife who was formerly someone eẹlse’s wife’ -— either a divorcee or a widow who is remarried. b. āwar-ãthoka-bethey (NC) ‘spinster’.",äwār,house,N,yes,no
ocr_unreviewed,mundlay1996:94,19,1,94,L94,"awol (Adj - V) ‘good’, cf. HM. avval ‘of high quality’.",awol,good,Adj - V,yes,no
ocr_unreviewed,mundlay1996:95,19,1,95,95,awoli (V) ‘to keep away from’.,awoli,to keep away from,V,no,no
ocr_unreviewed,mundlay1996:96,19,1,96,96,"awolo (V) ‘to cure’, see 94.",awolo,to cure,V,no,no
ocr_unreviewed,mundlay1996:97,19,1,97,L97,"āy (N) ‘mother’, cf. Md. ãy.",āy,mother,N,yes,no
ocr_unreviewed,mundlay1996:98,19,1,98,98,"ayi (1I) ‘below’, used as a pp. also.",ayi,below,1I,no,no
ocr_unreviewed,mundlay1996:99,19,1,99,99,ayin-te (I) ‘gently’.,ayin-te,gently,I,no,no
ocr_unreviewed,mundlay1996:100,19,1,100,100,ayin (V) ‘to smell’. b,ayin,to smell,V,no,no
ocr_unreviewed,mundlay1996:101,19,1,101,L101,"bābā (N) ‘paddy’, cf. K. baba.",bābā,paddy,N,yes,no
ocr_unreviewed,mundlay1996:102,19,1,102,L102,"bäābā (N) ‘mother’s father’, cf. Md. bāba ‘grandfather on father’s side’. This then is a loan with a semantic change.",bäābā,mother,N,yes,no
ocr_unreviewed,mundlay1996:103,19,1,103,103,bābarā (N) ʻan edible root’.,bābarā,an edible root,N,no,no
ocr_unreviewed,mundlay1996:104,19,1,104,?104,"bābine (N) ‘priest for marriages; a brabmin’, cf. Md. bāman.",bābine,priest for marriages; a brabmin,N,no,yes
ocr_unreviewed,mundlay1996:105,19,1,105,L105,"bābur (N) ʻa thorny tree’, cf. Md. babhur, M. babhu]l.",bābur,a thorny tree,N,yes,no
ocr_unreviewed,mundlay1996:106,19,1,106,L106,"bacān (N) ‘abstaining, refraining’, cf H. bačānā (verb), M. bacaune.",bacān,"abstaining, refraining",N,yes,no
ocr_unreviewed,mundlay1996:107,19,1,107,L107,"bač(a)kā (N) ‘small boy, young one of an animal’, cf. H. bacca. -ka is a diminutive Nihali suffix. a. bačakā-re (N} ‘one’s own chilď’. -re is a personalizer suffix. b. bačka-ri (N) dialect variant of 107a. c. bačkā kol (NC) ‘female dwarf.",bač,"small boy, young one of an animal",a,yes,no
ocr_unreviewed,mundlay1996:108,19,2,108,108,"badā (num) ‘one’; see bidiko below, also ‘identical, alike’. When meaning ‘alike’, it is used as a nominal suffix.",badā,one,num,no,no
ocr_unreviewed,mundlay1996:109,19,2,109,109,"badār (V) ‘to scratch one’s skin’, cf. M. bhadarne ‘to shear, scrape’.",badār,to scratch one,V,no,no
ocr_unreviewed,mundlay1996:110,19,2,110,L110,"badmāšo (N) ‘criminal’, cf. H. badmāš.",badmāšo,criminal,N,yes,no
ocr_unreviewed,mundlay1996:111,19,2,111,Lili,"bādo (NV) ʻof a later origin’, cf. H. bād ‘later’ — notice change of form class from a pp. In H. to NV in Nihali.",bādo,of a later origin,NV,yes,no
ocr_unreviewed,mundlay1996:112,19,2,112,112,badago (N) ‘guava’.,badago,guava,N,no,no
ocr_unreviewed,mundlay1996:113,19,2,113,L113,"badla(y) (NV) ‘revenge’, cf. HM badlā,",badla,revenge,y,yes,no
ocr_unreviewed,mundlay1996:114,19,2,114,L114,"badrā (N) ‘cloud, sky’, cf. Hd. badri, H. bādal.",badrā,"cloud, sky",N,yes,no
ocr_unreviewed,mundlay1996:115,19,2,115,115,bagár (N) ‘young one of a buffalo’.,bagár,young one of a buffalo,N,no,no
ocr_unreviewed,mundlay1996:116,19,2,116,Lii6,"bage-bage (I) ‘quickly’, cf. K. bage bage, Md. bigi-bigi, which means ‘quickly’ but is not explained in M. Marathi could have borrowed it.",bage-bage,quickly,I,yes,no
ocr_unreviewed,mundlay1996:117,19,2,117,L117,"bagičā (N) ‘garden’, cf. H. bagicā.",bagičā,garden,N,yes,no
ocr_unreviewed,mundlay1996:118,19,2,118,L118,"bahirā (N) ‘deaf person’, cf. M. bahirā.",bahirā,deaf person,N,yes,no
ocr_unreviewed,mundlay1996:119,19,2,119,119,bahirā-čigám (NC) ‘deaf mute’.,bahirā-čigám,deaf mute,NC,no,no
ocr_unreviewed,mundlay1996:120,19,2,120,L120,"bai (N) ‘woman, elder sister’, cf. M. bāãi.",bai,"woman, elder sister",N,yes,no
ocr_unreviewed,mundlay1996:121,19,2,121,L121,"baika (N) ‘woman, sister’, cf. M. bayko, which means ‘wife, woman’.",baika,"woman, sister",N,yes,no
ocr_unreviewed,mundlay1996:122,19,2,122,L122,"bajā (I) denoting time by the clock, e.g. moth baja ‘three o'clock’, cf. H. bajā, baje.",bajā,three o'clock,I,yes,no
ocr_unreviewed,mundlay1996:123,19,2,123,L123,"bajān-doyra (NC) ‘religious singing by the Muslims and Hindus’, cf. H. bhajan, dohra.",bajān-doyra,religious singing by the Muslims and Hindus,NC,yes,no
ocr_unreviewed,mundlay1996:123/2,19,2,123/2,123/2,bajo (N) ‘arrow’. (Inserted later.),bajo,arrow,N,no,no
ocr_unreviewed,mundlay1996:124,19,2,124,L124,"bākā (V) ‘famous’, cf. M. bākā ‘brave’.",bākā,famous,V,yes,no
ocr_unreviewed,mundlay1996:125,19,2,125,125,baká (V) ‘to scare away’; see 128.,baká,to scare away,V,no,no
ocr_unreviewed,mundlay1996:126,19,2,126,126,"bakān (V) ‘to choke (on food, etc.)",bakān,,V,no,no
ocr_unreviewed,mundlay1996:127,19,2,127,127,bakán! (V) ‘to stick to the ground (an incense stick to appease gods)’.,bakán!,to stick to the ground (an incense stick to appease gods),V,no,no
ocr_unreviewed,mundlay1996:128,19,2,128,128,"bakánz (V) ‘to leave, release, divorce, abandon, set free’. N.B. 1: bakāne obscure verbal form ‘abandoned’, cf. K. bae ‘leave, abandon’, SM ban.",bakánz,"to leave, release, divorce, abandon, set free",V,no,no
ocr_unreviewed,mundlay1996:129,19,2,129,L129,"bakārā (N) ‘he-goat, cf. M. bakrā.",bakārā,,N,yes,no
ocr_unreviewed,mundlay1996:130,19,2,130,130,bakrā-kāv (N) ‘lamb curry’.,bakrā-kāv,lamb curry,N,no,no
ocr_unreviewed,mundlay1996:131,19,2,131,131,bakko (N) ‘palm of the hand’.,bakko,palm of the hand,N,no,no
ocr_unreviewed,mundlay1996:132,19,2,132,132,bakko-koddu-akhanda (NC) ‘thumb’.,bakko-koddu-akhanda,thumb,NC,no,no
ocr_unreviewed,mundlay1996:133,19,2,133,133,bakko-ko-mindi-jiki (NC) ‘wrist.,bakko-ko-mindi-jiki,,NC,no,no
ocr_unreviewed,mundlay1996:134,19,2,134,134,"bakko-tepre (NC) ‘knuckles, dorsum of hand’, re could be personalizer for body- parts.",bakko-tepre,"knuckles, dorsum of hand",NC,no,no
ocr_unreviewed,mundlay1996:135,20,1,135,L135,bakru (N) ‘kid’; see 129.,bakru,kid,N,yes,no
ocr_unreviewed,mundlay1996:136,20,1,136,?136,bakāy (V) ‘to bear fruit; to be plentiful; to be in abundance’.,bakāy,to bear fruit; to be plentiful; to be in abundance,V,no,yes
ocr_unreviewed,mundlay1996:137,20,1,137,137,báki (NV) ‘trap; cheat’.,báki,trap; cheat,NV,no,no
ocr_unreviewed,mundlay1996:138,20,1,138,138,"báka (NV) dialect variant of 137, cf. K. bag.",báka,,NV,no,no
ocr_unreviewed,mundlay1996:139,20,1,139,139,"baki-jeré (V) ‘to get caught (on a fish-hook, ete. Y,",baki-jeré,,V,no,no
ocr_unreviewed,mundlay1996:140,20,1,140,L140,"ballā (N) hill’, cf. K. balla. This could be of Dravidian origin — ballā is ‘stone/rock’ in D. a. ballā-kajārki kheto (NC) ʻhill field’. b. ballāta bāju (NC) ‘hillside’.",ballā,stone/rock,N,yes,no
ocr_unreviewed,mundlay1996:141,20,1,141,141,"bamāka (I) ‘otherwise’, cf. K. ban-ba-ken, lit. ‘if not, then’.",bamāka,otherwise,I,no,no
ocr_unreviewed,mundlay1996:142,20,1,142,142,bamāki (I) dialect variant of 141.,bamāki,,I,no,no
ocr_unreviewed,mundlay1996:143,20,1,143,143,bambay (N) ‘Bombay’. Proper name of the big city known to Nihals.,bambay,Bombay,N,no,no
ocr_unreviewed,mundlay1996:144,20,1,144,144,bambogo (Adj) ‘pointed’.,bambogo,pointed,Adj,no,no
ocr_unreviewed,mundlay1996:145,20,1,145,145,bamrā (N) ‘wick’.,bamrā,wick,N,no,no
ocr_unreviewed,mundlay1996:146,20,1,146,146,bambārā (N) dialect variant of 145.,bambārā,,N,no,no
ocr_unreviewed,mundlay1996:147,20,1,147,L147,"bana (N) ‘clothes’, cf. Md. bāp, M. vāņ.",bana,clothes,N,yes,no
ocr_unreviewed,mundlay1996:148,20,1,148,L148,"bāp (N) ‘father’, cf. M. bāp.",bāp,father,N,yes,no
ocr_unreviewed,mundlay1996:149,20,1,149,149,"baure (N) ʻone’s own father’, -re is personalizer suffix for kinship.",baure,one,N,no,no
ocr_unreviewed,mundlay1996:150,20,1,150,L150,"barā! (Adj) ‘big’, cf. H. bada.",barā!,big,Adj,yes,no
ocr_unreviewed,mundlay1996:151,20,1,151,151,bar? (N) ‘threshing floor’.,bar?,threshing floor,N,no,no
ocr_unreviewed,mundlay1996:152,20,1,152,L152,"barābor! (Adj - V) ‘approve, correct, to be equal to’, cf. M. barobar.",barābor!,"approve, correct, to be equal to",Adj - V,yes,no
ocr_unreviewed,mundlay1996:153,20,1,153,L153,"barāãbor? (pp) ‘together witt’, cf. M. barobar.",barāãbor?,together witt,pp,yes,no
ocr_unreviewed,mundlay1996:154,20,1,154,154,"bara joppó-ji (N) ‘wind-pipe’, which, according to them, is used for air and water intake; see 155.",bara joppó-ji,wind-pipe,N,no,no
ocr_unreviewed,mundlay1996:155,20,1,155,155,bara té-ji (N) ‘esophagus’.,bara té-ji,esophagus,N,no,no
ocr_unreviewed,mundlay1996:156,20,1,156,156,bardo (N) ‘sickle’.,bardo,sickle,N,no,no
ocr_unreviewed,mundlay1996:157,20,1,157,157,báro (NV) ‘sing; a song’.,báro,sing; a song,NV,no,no
ocr_unreviewed,mundlay1996:158,20,1,158,L158,"barsādo (N) ‘rain’, cf. H. barsāt. L a. barsādo dino (NC) ‘wet season’.",barsādo,rain,N,yes,no
ocr_unreviewed,mundlay1996:159,20,1,159,159,baru (N) ‘mulberry’.,baru,mulberry,N,no,no
ocr_unreviewed,mundlay1996:160,20,1,160,160,barú (V) ‘to bite’.,barú,to bite,V,no,no
ocr_unreviewed,mundlay1996:161,20,1,161,161,basin (Adj) ‘dangerous’.,basin,dangerous,Adj,no,no
ocr_unreviewed,mundlay1996:162,20,1,162,?162,base (Adj) ‘small’.,base,small,Adj,no,yes
ocr_unreviewed,mundlay1996:163,20,1,163,?163,basel addo (NC) ‘shrub’.,basel addo,shrub,NC,no,yes
ocr_unreviewed,mundlay1996:164,20,1,164,?164,base kol (NC) ‘younger wife’.,base kol,younger wife,NC,no,yes
ocr_unreviewed,mundlay1996:165,20,1,165,?165,"base la (Ad)) ‘little, small’.",base la,"little, small",Ad,no,yes
ocr_unreviewed,mundlay1996:166,20,1,166,?166,basel (Adj) ‘many’ in one dialect. This is very interesting. It could be ascribed to informant’s inadequate grasp of his own language. This phenomenon is quite common among younger Nihals.,basel,many,Adj,no,yes
ocr_unreviewed,mundlay1996:167,20,2,167,167,basonki. see 54a.,basonki,,,no,no
