Snapshot_Date,Collation_Date,Unit_ID,Printed_Page,Scan,Raw_Headline,Raw_Subparagraphs,Raw_Gloss_German,English_Gloss,Headwords,Labels,Turner_Claim,Final_Status,Final_Form,Final_Parameter_ID,Emitted_Keys,Resolution,Review,Material_Error,Source,Record_SHA256
2026-08-27,2026-08-27,p282:e11,282,TN447377,liilóo m. Veilchen. [Bur. lilióo].,Gen-s liilóo(e)i 686.,Veilchen,violet,liilóo,m.,,installed_form,liilóo,,degener-shina2008:p282:e11,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 282, glossary entry 11]",0199505842c13ced78daff66665d5bdc63aa21965aa0ed5c2e457434ea8b2980
2026-08-27,2026-08-27,p248:e10,248,TN446831,"balóo m. Blutegel, Holzbock.",pl balée 350.,"Blutegel, Holzbock","leech, tick",balóo,m.,,installed_form,balóo,,degener-shina2008:p248:e10,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 248, glossary entry 10]",01a3c6de32b035677c9c0e5a588b68bafdbd8476515c0769f43057f64cf56eff
2026-08-27,2026-08-27,p310:e01,310,TN447377,ṭaṭóri fem. Brot aus Mais oder Hirse. [Bur. ṭuṭóro].,Erg-s ṭaṭóri-s 467.,Brot aus Mais oder Hirse,bread made of maize or millet,ṭaṭóri,fem.,,installed_form,ṭaṭóri,,degener-shina2008:p310:e01,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 310, glossary entry 1]",020093b0caf82816497d501b5079458107df12d95f1054b3f66aa85644e649ba
2026-08-27,2026-08-27,p283:e18,283,TN447377,"manúuko m. Frosch. [T. 9746, Atlas 69].",679. Gen-s manúukei 394.,Frosch,frog,manúuko,m.,9746,installed_form,manúuko,9746,degener-shina2008:p283:e18,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 283, glossary entry 18]",0252efe8002f4820cd715df81282129b29787d7a8332764b3ef1d35adaf8b5e0
2026-08-27,2026-08-27,p247:e24,247,TN446831,bal b- itr. (sich) hängen an. [Bur. bal].,702.,(sich) hängen an,"hang on, cling to",bal b-,itr.,,installed_form,bal b-,,degener-shina2008:p247:e24,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 247, glossary entry 24]",026687f47b39fd52e8614084de6f420e8dc6565e77608c9ba5055c036e98166c
2026-08-27,2026-08-27,p313:e14,313,TN447377,"ya~c̣h eine Art Geist oder Dämon. [T. 10395, vgl. Berger 1983, 32].",ya~c̣ (mit Aspirationsschwächung im Auslaut) 60. Dat-s ya~c̣heṭ 544.,eine Art Geist oder Dämon,a kind of spirit or demon,ya~c̣h,,10395,installed_form,ya~c̣h,10395,degener-shina2008:p313:e14,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 313, glossary entry 14]",031ac5b3a7ac76d9fea4bb61e43c6cadba2194bd366f94611c01e7db4e09d040
2026-08-27,2026-08-27,p289:e19,289,TN447377,"oók fem. Erbrechen, Brechreiz. [Bur. oq, T. 2538].",674.,"Erbrechen, Brechreiz","vomiting, nausea",oók,fem.,2538,installed_form,oók,2538,degener-shina2008:p289:e19,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 289, glossary entry 19]",03282b3d95d75f853bd7508b9e08e1fe2e21e73c516c0da4512e6b017a2291b2
2026-08-27,2026-08-27,p291:e06,291,TN447377,"par- trans. (Kaus. von p-) fallen lassen, werfen.","Präs 3sm paréen 378; 3sf paríin 200. Fut 3pl paréen 378, 765.","(Kaus. von p-) fallen lassen, werfen","drop, throw",par-,trans.,,installed_form,par-,,degener-shina2008:p291:e06,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 291, glossary entry 6]",032e09fa7676681c49b3f0ec481bd126d302ac5cc5362349f3b33b685df3762d
2026-08-27,2026-08-27,p269:e02,269,TN446831,"hanii fem. Fruchtstein, Kern. [Bur. haní].",Gen-s haníiyei 6. pl haníiye 770.,"Fruchtstein, Kern","fruit stone, kernel",hanii,fem.,,installed_form,hanii,,degener-shina2008:p269:e02,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 269, glossary entry 2]",0342c4decb4d528c095a52bfab71cbdfd0805505d17099b6ebaaaba7b06fcae4
2026-08-27,2026-08-27,p248:e13,248,TN446831,báam fem. Stute. [Bur. báŷum].,Gen-s báamei 85. Dat-s báameṭ 25.,Stute,mare,báam,fem.,,installed_form,báam,,degener-shina2008:p248:e13,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 248, glossary entry 13]",03791121b220d1d7c13fc7f8df6626468d989459b765e25664689bac445c4670
2026-08-27,2026-08-27,p248:e25,248,TN446831,baár m. Last. [T. 9459].,"5, 98, 115, 116, 301, 440, 641. Dat-pl baróṭ 58.",Last,"load, burden",baár,m.,9459,installed_form,baár,9459,degener-shina2008:p248:e25,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 248, glossary entry 25]",037c6267a75b89e76fa0e7b3dfaac448692a5b1890d94e4bbec4e774bcbc5ea0
2026-08-27,2026-08-27,p277:e04,277,TN446831,kon (?) Decke (MAZ war dieses Wort in Lorimers Ms. unverständlich). [Ikoh khín Lumpendecke?].,Dat-s koneṭ 506.,(?) Decke (MAZ war dieses Wort in Lorimers Ms. unverständlich),blanket? (word unintelligible in Lorimer's manuscript),kon,,,installed_form,kon,,degener-shina2008:p277:e04,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 277, glossary entry 4]",03b9e57d1681b8f1978532dd19cc6a7645fe97a15e3451dadb80c4735b72530d
2026-08-27,2026-08-27,p252:e15,252,TN446831,"bubuúlo adj. m. lauwarm. [Bur. bubúlo, Ikoh bubúl].",674.,lauwarm,lukewarm,bubuúlo,adj. | m.,,installed_form,bubuúlo,,degener-shina2008:p252:e15,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 252, glossary entry 15]",03c35c2949ab88af20f478bc7a4c0b76770673833c64924f989cee24bb6d9956
2026-08-27,2026-08-27,p298:e15,298,TN447377,"saabít adj. m./ fem. bewiesen, sicher. [← Ar.-Ur. s̲aabit].","saabít th- nachweisen, beweisen. 766.1, 767.1.","bewiesen, sicher","proven, certain",saabít,adj. | m./ | fem.,,installed_form,saabít,,degener-shina2008:p298:e15,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 298, glossary entry 15]",03c6d1a0ee90c6196e3902b306e7981240e98899e4e461859f6cc42539583ddd
2026-08-27,2026-08-27,p301:e22,301,TN447377,šáraa (religiöses) Gesetz. [← Ar.-Ur. šarʿ].,Dat-s šáraaṭ 123.,(religiöses) Gesetz,(religious) law,šáraa,,,installed_form,šáraa,,degener-shina2008:p301:e22,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 301, glossary entry 22]",0435ab977decd57e7612f8ba216499a800c2578771aa3e4c140ad32404ef45f8
