Gold_Row,Form,Strategy,Evidence_Form,Evidence_Raw,Tags
14,aṅáro,aligned-source,aṅáro,"aùáro y, auch aṅgáro, hz.ng. ańgáa- ro Dienstag L 17 (ys. aṅãro L, sh. aṅgáaro, T 126)",noun alternate dialect:Yasin
15,aśamát,aligned-source,aśamát,"aśamát erste feste Nahrung der Kinder, Mehl in heißem Wasser mit Butter verrührt (vgl. kho. aśimát ""gekochte Speisen als Abgabe an den Fürsten""; zu T 1452?)",dialect:Hunza
16,atúulo,aligned-source,atúulo,"atúulo leicht, schwach (Opp. su- túulo) (sh. atúulo, vgl. T 5886)",dialect:Hunza
17,(a)théero,aligned-source,(a)théero,"athéero jung, unerfahren (sh. athéero, 'a2 + T 13747)",dialect:Hunza
18,awá,aligned-source,awá,awá ja 37.8; 40.27; 52.5; 55.1; L 34 (ys. sh. awá; T 2527?),dialect:Hunza
19,awaáji,aligned-source,awaáji,"awaáji hz.ng. -mu nötig, notwen- dig (nur als Prädikat, auch ohne Kopula, Gr. 16.8.) K 192; 334; L 6 (zje) (sh. awaájei 3.sg.fut. von awaáj- ""nötig sein"", T 1197 oder 1221)",dialect:Hunza dialect:Nager
20,awaáji,exact-form-source,awaáji,"awaáji bilá oder awaáji es ist nö- tig zu, man muß (mit Inf. wie in jáar júas awaáji bilá ich muß kommen) 4.8; 5.9; 27. 19; 31.9; 42.2; 63.11",dialect:Hunza
21,ayár,aligned-source,ayár,"ayáa s. aayáa áyalum sS. +yarum ayár -inċ, ng. aṅgičćér Hagel L 17 (sh. aïyaár, vgl. T 910)",dialect:Hunza
22,ayáś,aligned-source,ayáś,"ayáś y hz.ng. Himmel L 37 (ys. ayáś, sh. hagaái, B agái, T 1009)",noun dialect:Hunza dialect:Nager
23,ayáś,exact-form-source,ayáś,"ayáś y hz.ng. Himmel L 37 (ys. ayáś, sh. hagaái, B agái, T 1009)",noun dialect:Yasin alternate
24,báabo,aligned-source,báabo,"báabo -ċaro ng. Bruder des Vaters (sh. baábo, T 9209)",noun dialect:Hunza
25,báai,aligned-source,báai,"lbáai Geldsumme, früher 12, zu Lorimers Zeiten 16 Rupees wert, jetzt = 1 Ochse; = 2 qhar L 61 (sh. báai ""12"", T 6658)",dialect:Hunza
26,baák,aligned-source,baák,"baák NH Großzügigkeit, Freige- bigkeit (T 9434?)",noun dialect:Hunza dialect:NH
27,baát,aligned-source,baát,"baát -iù, ng. 3bat Brei in: (sh. bat, T 9331) bráse baát gekochter Reis L 73 aalúe baát Kartoffelbrei L 73 diráme bat ng. Brei aus dirám báato man: hz.ng. plötzlich -, mit einem Schlage geöffnet werden (Tür, Deckel) 51.18; 52.4; 65.2 (sh. báato, T 12196) báato (phat) +t- plötzlich öffnen baawár -mán-, sú- 34.15, ét- 34.15 glauben L 62 (u. bāwar)",verb dialect:Hunza
28,baɣ,exact-form-source,ba,ba (báan) ét- küssen (wen -aṭe); etwas berühren und sich dann die Finger küssen (als Zeichen der Verehrung) 31.14 (mit ċap ne),verb dialect:Hunza
29,biéḍo,legacy-printed-evidence,,"biéḍo hz. ng. baɣ-biéḍo: Luchs, nach anderen: Tier, das Leichen aus Grübem frißt",dialect:Hunza
30,baiḍaár,legacy-printed-evidence,,"baiḍaár y Unverschämtheit, Frechheit",noun dialect:Yasin alternate
31,bakór,legacy-printed-evidence,,"bakór ? Grasnarbe, ein Stück (ausgestochenen) Rasens; ng. auch: mit der Schaufel aus einem Kanal ausgehobene Erde",noun dialect:Hunza
32,bákur,aligned-source,bákur,"bákur hz.ng. -śo kleiner Üüberdach- ter Pferch für Lämmer und Zick- lein L 66 (sh. báakur, zu báa ""Hürde, T 11480)",dialect:Hunza dialect:Nager
33,balá,legacy-printed-evidence,,"balá  Vorteil, nutzlich",noun dialect:Hunza
34,baláac̣ man-́,legacy-printed-evidence,,"baláac̣ man-́ ? nach einem Wurf aufrecht zu stehen kommen, glückliches Omen, zählt beim Knochenwürfel (ćartán) 12 Punkte",verb dialect:Hunza
35,balán man-́,legacy-printed-evidence,,"balán man-́ ? sich winden, wälzen (bes. Pferde und Kühe); baumeln, (Brüste) schlaff herunterhüngen",verb dialect:Hunza
36,balaneéś man-́,legacy-printed-evidence,,balaneéś man-́ ? ,verb dialect:Hunza
37,balándo,legacy-printed-evidence,,"balándo  stark, mächtig",dialect:Hunza
38,baláṅ,aligned-source,baláṅ,"balken; Querbalken oder Leine zum Wäscheaufhängen; ng. Lei- ste, die den Trichter zur Mühle stützt; Leiste um den Webstuhl; Geländer L 67 (ys. baláħ, sh. balóṅń, T 11879) balaùćék -iśo0 Hängewiege aus Sei- len und Decken",noun dialect:Hunza
39,balóṅ,fuzzy-form-source,baláṅ,"balken; Querbalken oder Leine zum Wäscheaufhängen; ng. Lei- ste, die den Trichter zur Mühle stützt; Leiste um den Webstuhl; Geländer L 67 (ys. baláħ, sh. balóṅń, T 11879) balaùćék -iśo0 Hängewiege aus Sei- len und Decken",noun dialect:Hunza
