Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Raw_Note,Source_Language,Language_ID,Page,Row,Item,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Final_Notes,Final_Etymology,Note_Class,Parameter_ID,Link_Status,Alignment_Method,Rau_Citation,Rau_Form,Rau_Gloss,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256,Review_Result,Material_Error
2026-08-28,bahl1962korwa:C:c1.p81.r3.i1081,tikin,to hear intently.,2280.    ??CHECK ENTRY?,Korwa,kw,81,3,1081,1,bahl1962korwa:C:c1.p81.r3.i1081,,tikin,to hear intently.,2280.    ??CHECK ENTRY?,,other,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 81, row 3, item 1081]",uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,1b9909b448e6a61a5a8dd6cddd7328285814fcc2e799fa5e1d282b1d0545e5af,pass,
2026-08-28,bahl1962korwa:C:c1.p41.r13.i598,gadʰaː,donkey.,!??.  6460.,Korwa,kw,41,13,598,1,bahl1962korwa:C:c1.p41.r13.i598,,gadʰaː,donkey.,??.  6460.,,comment,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 41, row 13, item 598]",uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,8ce3d933691bb2bb436b78051440e5acbf84c06b5147a43b393e10c4afce9f4a,pass,
2026-08-28,bahl1962korwa:C:c1.p43.r10.i626,giraːo,to gnaw.,6760.  ??or grow (orig. graw).,Korwa,kw,43,10,626,1,bahl1962korwa:C:c1.p43.r10.i626,,giraːo,to gnaw.,6760.  ??or grow (orig. graw).,,other,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 43, row 10, item 626]",uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,ad4af8dfcc447d97414a7ebac7faa2d708da5f6c2480ad4ba595d24dd19df8b9,pass,
2026-08-28,bahl1962korwa:C:c1.p151.r22.i2039,"gũːgiaː, gũːgiaː-kin",cousin?: female ego and father's elder brother's wife.,"|/gū̃giā/ `', /kin/ `'.  3870.",Korwa,kw,151,22,2039,2,bahl1962korwa:C:c1.p151.r22.i2039:v2,bahl1962korwa:C:c1.p151.r22.i2039,gũːgiaː-kin,cousin?: female ego and father's elder brother's wife.,,"|/gū̃giā/ `', /kin/ `'.  3870.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 151, row 22, item 2039]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,ef06aaa47eac94e62330ed5052ffde69efcf36c8a784c238eec80b0483babccb,pass,
2026-08-28,bahl1962korwa:C:c1.p105.r5.i1419,"baːriː, baːɽiː",small kitchen garden near the house.,,Korwa,kw,105,5,1419,2,bahl1962korwa:C:c1.p105.r5.i1419:v2,bahl1962korwa:C:c1.p105.r5.i1419,baːɽiː,small kitchen garden near the house.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 105, row 5, item 1419]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,5e322811b31e44c92d96ce33deb63237a2a6071ca0407c60128e7643f6acb0fb,pass,
2026-08-28,bahl1962korwa:C:c1.p80.r4.i1065,"taɽkiː, taɽkaː",earring made of the leaf of palmyra tree.,,Korwa,kw,80,4,1065,2,bahl1962korwa:C:c1.p80.r4.i1065:v2,bahl1962korwa:C:c1.p80.r4.i1065,taɽkaː,earring made of the leaf of palmyra tree.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 80, row 4, item 1065]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,3598015f56480a886c15abef8583118bd231641d5a3ad0756530cd6df28ce075,pass,
2026-08-28,bahl1962korwa:C:c1.p133.r16.i1805,,,,Korwa,kw,133,16,1805,,,,,,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,excluded,empty source record,"BAHL[p. 133, row 16, item 1805]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,23a510f69cede683667aa2626351eb009a4c4730f4f47016e27e6cb27112eabd,pass,
2026-08-28,bahl1962korwa:C:c1.p56.r13.i804,corahaː,thief.,,Korwa,kw,56,13,804,1,bahl1962korwa:C:c1.p56.r13.i804,,corahaː,thief.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 56, row 13, item 804]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,124ce0a74b154d96e38fc71e1df42185d6e76691405e4b7691d5c52653d7ef34,pass,
2026-08-28,bahl1962korwa:C:c1.p82.r1.i1094,tiːlaːˀ,to smear with oil.,,Korwa,kw,82,1,1094,1,bahl1962korwa:C:c1.p82.r1.i1094,,tiːlaːˀ,to smear with oil.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 82, row 1, item 1094]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,4d90c88866db60785bc954ac08716df281274681ceaf6ebafa0c63567a2976ec,pass,
2026-08-28,bahl1962korwa:C:c1.p144.r5.i1932,hanaːmin,that much.,,Korwa,kw,144,5,1932,1,bahl1962korwa:C:c1.p144.r5.i1932,,hanaːmin,that much.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 144, row 5, item 1932]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,7622fd15a51d67f10e291af5b0ea2aad6dce02f71cef1156fca985718fd3e650,pass,
