Printed_Page|Column|Item|List|Letter|Headword|Grammar|Gloss_German|Gloss_English|Etymology|Editor_Note
312|R|31|ind|B|bal|m|Haar|hair|< ai. pk. vāla- "Haar, Schweifhaar"|
312|R|32|ind|B|balamo|m|Herr, Nichtzigeuner|master; non-Gypsy|ohne Etym.; kaum < slav. balav "rotzig"|
312|R|33|ind|B|balo|m|Schwein|pig|< ai. pk. bāla- "jung, dumm, Jungtier, kleiner Junge"; kaum < ai. pk. varāka- "Eber, Schwein"|
312|R|34|ind|B|balovas, balevas|m|Speck, Schweinefleisch|bacon; pork|< balo + mas ?; intervok. -m- > v|
312|R|35|ind|B|balval|m|Wind|wind|< ai. vāta- über Redupl.|
312|R|36|ind|B|bango|adj|krumm, schief|crooked; bent|< ai. vaṅka-, pa. vaṁka|
312|R|37|ind|B|bar|f|Garten, Zaun|garden; fence|< pk. vāḍa < ai. vāṭa-, vāṭī "Zaun, Einhegung"|
312|R|38|ind|B|baro|adj|groß|big|< pk. vaḍḍa- < ai. vaḍra-|
312|R|39|ind|B|barvalo, baravalo|adj|reich|rich|< pk. balavaṁta- "mit Kraft", zu ai. balavat- "Kraft"|
312|R|40|ind|B|bař|m (f)|Stein|stone|zu panjābī vaṭṭa- "Stein" < ai. varta(ka)- "gedreht"|
312|R|41|ind|B|bašalel|tr|spielen (Instrument)|to play (an instrument)|kaus vāśayati paßt lautlich nicht|
312|R|42|ind|B|bašel|itr|bellen, brüllen|to bark; to roar|< ai. vāśyate "brüllen, heulen, singen", pk. vāsaï|
312|R|43|ind|B|beli|f|Zeltpflock|tent peg|ohne Etym.|
313|L|01|ind|B|beng|m|Teufel|devil|< ai. vi-aṅga- "körperlos, deformiert"?; vgl. hi. bẽg "Frosch, Kröte"|
313|L|02|ind|B|berand|m|Zeltstange, Dachbalken|tent pole; roof beam|bero + and < ai. anta- ?|
313|L|03|ind|B|bero|m|Schiff, Boot|ship; boat|< ai. pk. beḍā (veḍā/velā) "Boot"; vgl. hi. beṛā|
313|L|04|ind|B|berš|m|Jahr|year|< ai. varṣa- "Regen; Jahr"; vgl. hi. baras "Jahr"|
313|L|05|ind|B|bešel|itr|sitzen, sich setzen|to sit; to sit down|< ved. upaviśati "sich nähern", im Aor "niedersitzen"; pk. uvavisaï; vgl. hi. baisnā (Turner)|
313|L|06|ind|B|bi, bi-|präp + gen|ohne, außer; Präfix un-|without; except; un-|< ai. vi- "un-" (nur Präfix) oder pers. bī "un-"?; vgl. hi. (-ke) binā "ohne, außer"; s.a. Iran. Etyma|
313|L|07|ind|B|bibi|f|Tante|aunt|hi. bībī "(Ehe-)Frau, Dame" vermutl. < pers.; s. Iran. Etyma|
313|L|08|ind|B|bičhalel|tr|schicken|to send|< ai. abhi-ajyate "geführt werden zu"; vgl. hi. bhejnā|
313|L|09|ind|B|bijanel|tr|gebären|to give birth|< ai. *vi-janati|
313|L|10|ind|B|bijavel|f|Abend|evening|< ai. vikāla- "Abenddämmerung" + velā- "Zeit" ?|
313|L|11|ind|B|bikinel|tr|verkaufen|to sell|< pa. vikkiṇāti < ai. vi-krīṇāti|
313|L|12|ind|B|bilal itr, bilavel|tr|schmelzen, auftauen|to melt; to thaw|< pk. vilāï < ai. vi-līyate|
313|L|13|ind|B|bili|f|Katze|cat|ohne Etym.|
313|L|14|ind|B|birovli|f|Biene, Wespe|bee; wasp|vgl. pk. varaḍa- < ai. varaṭa-, varola-, *varamba- "Wespe"; vgl. hi. bhiṛ, birnī (Turner)|
313|L|15|ind|B|bisko|präp|bis|until|ohne Etym.|
313|L|16|ind|B|bistarel|tr|vergessen|to forget|vgl. pk. vissaraï < ai. vi-smarati; vgl. hi. bisārnā|
313|L|17|ind|B|biš|num|zwanzig|twenty|< ai. viṁśati; pa. vīsati|
313|L|18|ind|B|bižaj|adj|schlau, listig|sly; cunning|ohne Etym.|
313|L|19|ind|B|bokh|f|Hunger|hunger|< pk. bubukkhā < ai. bubhukṣā; vgl. hi. bhūkh|
313|L|20|ind|B|boldel|tr|drehen, wenden, zurückbringen|to turn; to bring back|zu bolel ?|
313|R|21|ind|B|bolel|tr|taufen, eintunken|to baptise; to dip|< ai. bolayati < *boḍayati "untertauchen"; vgl. hi. būṛnā|
313|R|22|ind|B|bori|f|Braut, Schwiegertochter|bride; daughter-in-law|< pk. vahuliā- < ai. vadhūṭī "junge Frau"|
313|R|23|ind|B|bradźi|f|Kanne, Kübel|jug; pail|ohne Etym.|
313|R|24|ind|B|brek(h)|m (f)|Brust, Busen|breast; bosom|ohne Etym.; s.a. Iran. Etyma|
313|R|25|ind|B|brivel|tr|Wolle kämmen|to card wool|< pk. vivaraï "öffnen, ausbreiten, Haare machen"; vgl. ved. vi-vṛṇoti "kämmen"|
313|R|26|ind|B|bršind|m|Regen|rain|< mi. varisanta-, part. zu ai. varṣati "regnen"; vgl. hi. barasnā "regnen"; mögl. kontam. mit pers. barsanda|
313|R|27|ind|B|bučhol|itr|heißen|to be called|ohne Etym.|
313|R|28|ind|B|budžo|m|Bündel|bundle|ohne Etym.|
313|R|29|ind|B|buhlo|adj|breit, weit|broad; wide|< ai. bahula- "groß, dick" ?|
313|R|30|ind|B|buke pl, buko|m|:: kalo buko Leber; parne buke Lunge|liver (kalo buko); lungs (parne buke)|< ai. vṛkka- (pa. vakka-) "Nieren" ; vgl. auch ai. bukka- "Herz"|gloss given only through the printed phrases
313|R|31|ind|B|bul|f|Gesäß, Anus|buttocks; anus|< ai. buli- "vulva, anus"|
313|R|32|ind|B|buri|f|Leinen|linen|ohne Etym.|
313|R|33|ind|B|buř|m/f|Halm, Strauch|stalk; shrub|vgl. hi. būṭā "Kichererbse" (Turner)|
313|R|34|ind|B|bus(t)|f (m)|Spieß, Speer|spit; spear|ohne Etym.|
313|R|35|ind|B|but|adj/adv|viel(e); sehr|much, many; very|< pk. bahutta- < ai. bahutva- "Überfluß"; vgl. hi. bahut|
313|R|36|ind|B|buti|f|Arbeit, Sache|work; thing|< pa. vutti- "Praxis" < ai. vṛtti- "Lebensführung"; vgl. hi. buttī "Lebensunterhalt" (Turner)|
313|R|37|ind|C|cidel, crdel|tr|ziehen|to pull|kaum < čhiv-del (Mikl)|
313|R|38|ind|C|cikno|xref|s. tikno|||see-reference
313|R|39|ind|Č|čačo|adj|wahr, wirklich|true; real|< pk. sacca < ai. satya-/tathya- "wahr, richtig"|
313|R|40|ind|Č|čajlo|adj|satt|satiated|< ai. *čhādayati "zufriedenstellen", kaus zu čhadayati RV "gut erscheinen"; unsicher|
314|L|01|ind|Č|čakerel||(Sa) treten, trampeln; (So) zudecken|to tread; to trample; to cover up|ohne Etym.|no grammatical label; Sampson and Sowa senses distinguished
314|L|02|ind|Č|čalavel|tr|schlagen|to strike|< ai. cālayati "schütteln, verjagen" oder cārayati "schütteln, bewegen"; vgl. hi. cālnā|
314|L|03|ind|Č|čamb|xref|s. čhamb|||see-reference
314|L|04|ind|Č|čambel|tr|kauen, beißen|to chew; to bite|< ai. *cambati "kauen" (statt carvati) oder zu č(h)amb "Wange"?; vgl. hi. cabānā, cābnā (Turner); auch arm. čamel dass. paßt dazu|
314|L|05|ind|Č|čang|f|Bein|leg|< pk. ai. janghā "Schenkel"; vgl. hi. jã:gh "(Ober-)Schenkel, Hüfte"|
314|L|06|ind|Č|čar|f|Gras, Kraut|grass; herb|< pk. cāri- "Gras"; vgl. phalūṛa čār|
314|L|07|ind|Č|čarjavel tr, čarjol|itr|weiden|to graze|< ai. kaus cārayati ?, itr carati "grasen"; vgl. hi. carānā; vgl. auch pers. čarā kardan "weiden"|
314|L|08|ind|Č|čaro|m|Schüssel, Teller|bowl; plate|< ai. caru- "Topf, Soßenschüssel", vgl. hi. carū "Topf, Kessel"; vgl. auch pk. caḍḍa- (ai. cāṭṭa-/cāḍḍa-) u. hi. cāṭā|
314|L|09|ind|Č|čařel|tr|lecken|to lick|< pk. caṭṭēi "lecken"; vgl. hi. cāṭnā|
314|L|10|ind|Č|čen|f|Ohrring|earring|< ai. jhaṇ- in jhaṅkāra- "Klingeln, Läuten"|
314|L|11|ind|Č|čik|f|Lehm, Schlamm|clay; mud|< ai. cikka- "Augenbutter, Vogelleim"; vgl. hi. cīk "Schlamm" (Turner); semant. dazu paßt ćix "Augenbutter", aber nicht lautlich|
314|L|12|ind|Č|čikdel, del čhik|itr|niesen|to sneeze|< ai. pk. chikkā "Niesen", hi. chĩ:k denā "niesen"|
314|L|13|ind|Č|čiken|m|Fett, Schmalz|fat; lard|< pk. ai. cikkaṇa- "ölig, dick"; vgl. hi. ciknā "ölig, fettig"|
314|L|14|ind|Č|čingar, čhingar|m/f|Geschrei, Zank|shouting; quarrel|< ai. ciṅghāṭa-; hi. cĩghāṛ "Lärm, Geschrei"|
314|L|15|ind|Č|čirikli|f|Vogel|bird|< pk. ciḍiga-, ciḍigarī; ai. pa. caṭaka- "Spatz; Vogel"; vgl. hi. ciṛiyā|
314|L|16|ind|Č|čor|m|Dieb|thief|< ai. pk. cora-; vgl. hi. cor|
314|L|17|ind|Č|čorel|tr|stehlen|to steal|< pa. corēti < ai. corayati|
314|L|18|ind|Č|čořo|adj|arm|poor|vgl. sindhī choro "Waise", lahndā chorā|
314|L|19|ind|Č|čuči|f|Brust, Busen, Zitze|breast; bosom; teat|< pk. cucuya-/cuccuya- "Brustwarze"; vgl. hi. cūcī; ferner steht arm. čič|
314|R|20|ind|Č|čučo|adj|leer|empty|< pk. cuccha- < ai. tucchya-|
314|R|21|ind|Č|čuljal|itr|leck sein|to leak|< ai. cyotati "fließen, sickern, tröpfeln"; vgl. hi. cūnā "tropfen, lecken"|
314|R|22|ind|Č|čum|f|Kuß; čumi-del "küssen"|kiss|< ai. cumba- "Kuß", cumbati "küssen"; vgl. hi. cumbā|
314|R|23|ind|Č|čunř(a)|f|Zopf, Flechte|plait; braid|vgl. pk. cūḍa-, cūla- "Knoten, Haarknoten" < ai. cūḍa-; vgl. hi. cūṛ, cõḍā, cõṛā (Turner)|
314|R|24|ind|ČH|čhadel|tr|erbrechen|to vomit|< pk. chaḍḍaï < ai. chardayati kaus "überfließen machen; sich übergeben"; vgl. hi. chāṛnā (Turner)|
314|R|25|ind|ČH|čham|f|Wange|cheek|< ai. jambha- "Zahn", pl "Kinnlade, Kiefer"; vgl. hi. jabhṛā, jābṛā "Kiefer"|
314|R|26|ind|ČH|čhamb, čamb|m|Schale, Schwarte|rind; skin|< pk. camma- < ai. carman- "Leder, Haut"; kontamin. mit čham < ai. jambha-?|
314|R|27|ind|ČH|čhar, učhar|m/f|glühende Asche|glowing ashes|< pk. chāra- < ai. kṣāra- "Pottasche"; vgl. hi. chār "Asche"|
314|R|28|ind|ČH|čhavo|m|(Zigeuner-)Junge, Sohn|(Gypsy) boy; son|< pk. chāva- "Tierjunges" < pa. chāpa-; vgl. hi. chāwā, chāwṛā "Tierjunges" (Turner)|
314|R|29|ind|ČH|čhela|pl|Blattern|smallpox|< ai. śītalā "Blattern" mit unregelm. tabuis. Lautwandel ?; vgl. aber šil|
314|R|30|ind|ČH|čhib|f|Zunge, Sprache|tongue; language|< pk. jibbhā < ai. jihvā; vgl. hi. jībh "Zunge"|
314|R|31|ind|ČH|čhik|xref|s. čikdel|||see-reference
314|R|32|ind|ČH|čhinel|tr|schneiden|to cut|< pa. chindati < ai. chinatti/ chindanti "schneiden"; vgl. phalūṛa čhin-|
314|R|33|ind|ČH|čhingar|xref|s. čingar|||see-reference
314|R|34|ind|ČH|čhivel|xref|s. čhudel|||see-reference
314|R|35|ind|ČH|čholel|tr|(be)hauen, hacken, abschneiden|to hew; to chop; to cut off|< pk. chollaï "schälen"; vgl. hi. cholnā "schälen"|
314|R|36|ind|ČH|čhon, čhonut, čhomut|m|Mond, Monat|moon; month|čhon < pk. jonhā < ai. jyot-snā "Mondlicht"; čhonut/čhomut < pa. komudī < ai. kaumudī; Aspiration u. Palatalisation durch Kontamination mit čhon ?|
315|L|01|ind|ČH|čhor|m|Bart|beard|ohne Etym.; Sa verwechselt es mit čunř|
315|L|02|ind|ČH|čhorel|tr|gießen, schütten|to pour|< pk. choḍeï < ai. kṣoṭayati "werfen"|
315|L|03|ind|ČH|čhudel|tr|werfen, wegwerfen|to throw; to throw away|< *čhiv-del; zu pk. chivaï "berühren" < ai. kṣipati; s. a. ai. pa. chupati dass.|
315|L|04|ind|ČH|čhungar|m|Speichel, Spucke|saliva; spittle|vgl. hi. thūknā "spucken", pk. thukka- "Speichel"|
315|L|05|ind|ČH|čhuri|f|Messer|knife|< pk. ai. kṣuri-/churī; vgl. hi. churī|
315|L|06|ind|Ć|ćix|f|Augenbutter|rheum of the eye|zu pix ?; vgl. auch Etym. von čik|
315|L|07|ind|D|dab|f|Schlag, Stoß|blow; push|< ai. dabhati "verletzen", *dabb- "drükken"; vgl. hi. dāb "Druck", dābnā "drükken"|
315|L|08|ind|D|dad|m|Vater|father|vgl. hi. dādā "Großvater, älterer Bruder" (verbreitetes Lallwort)|
315|L|09|ind|D|daj|f|Mutter|mother|vgl. hi. dādī "Großmutter", dāī "Amme" kurd. dāē "Mutter" (verbreitetes Lallwort)|
315|L|10|ind|D|dand|m|Zahn|tooth|< pa. ai. danta-; vgl. hi. dã:t|
315|L|11|ind|D|dar|f|Angst, Furcht|fear|< pk. ai. dara- "Furcht" (mit kurzem a!)|
315|L|12|ind|D|daral|itr|sich fürchten|to be afraid|< ai. dārayati kaus "zerreißen, zerschmettern" !; in Bedeutung < pk. daraï < ai. darati "erschreckt sein"|
315|L|13|ind|D|das|m|(allg. Bezeichn. für Nicht-Roma) Bauer, Christ, Ehegatte|peasant; Christian; husband|< ai. dāsa- "Nichtarier, Sklave; vgl. hi. dās "Sklave, Diener"|printed quotation mark unbalanced in source
315|L|14|ind|D|del|tr|geben|to give|< ai. pa. dadāti (dāti); vgl. hi. denā|
315|L|15|ind|D|deš|num|zehn|ten|< ai. daśa-; vgl. hi. das|
315|L|16|ind|D|devel|m|Gott|god|ai. pa. devatā "Gottheit"; vgl. hi. dev|
315|L|17|ind|D|dik(h)lo|m|Tuch|cloth|kaum zu dt. Tüchel; vgl. Valt|
315|L|18|ind|D|dikhel|tr|sehen|to see|< pk. dekkhaï/dakkhaï < ai. dṛś-/dṛk-; vgl. hi. dekhnā|
315|L|19|ind|D|dilo, dilino, dinilo|adj|verrückt|mad|< pa. dīna- "elend, arm" < ai. dīna- ppp "knapp, beschränkt"; kontam. mit dino part zu del ?|
315|R|20|ind|D|dino|part zu del|||< ai. *dinna- statt datta-|label doubles as the gloss: participle of del
315|R|21|ind|D|dives|m|Tag|day|< ai. pa. divasa- "Himmel, Tag"; vgl. hi. daus (Turner)|
315|R|22|ind|D|dori|f|Band, Schnur|band; cord|< pk. dorā < ai. davara- "Strick"; vgl. hi. ḍorī|
315|R|23|ind|D|dorićarel, durućarel|tr|wahrsagen|to tell fortunes|< ai. dūri-kṛ- "vertreiben, austreiben" zu dūra- "fern" im Sinne von Exorzismus?; oder < "Fäden (dori) ziehen" (um die Zukunft abzulesen) ?|
315|R|24|ind|D|doš|f|Schuld, Sünde|guilt; sin|< ai. doṣa-; vgl. hi. doṣ|
315|R|25|ind|D|drab|m|Kraut, Heilmittel|herb; remedy|< ai. dravya- "Substanz, Eigenschaft, Droge"; vgl. oṛiyā dāba "ärztliche Vorschrift"|
315|R|26|ind|D|drakh|f|Traube|grape|< ai. drākṣā; vgl. hi. dāk(h)|
315|R|27|ind|D|drez|f|Bündel, Last|bundle; load|ohne Etym.|
315|R|28|ind|D|dromin|f|(Sinti) Goldmünze|gold coin|vgl. apabhr. pk. dramma; s.a. Griech. Etyma|
315|R|29|ind|D|droven|adv|(Sa) hart, heftig|hard; violent|< ai. dāruna- "hart, stark"?; vgl. hi. dārun|
315|R|30|ind|D|dud, judut (Rozw)|m|Licht, Helligkeit|light; brightness|< ai. dyuti- "Helligkeit" (pa. juti- "Glanz, Licht") ?|
315|R|31|ind|D|duj|num|zwei|two|< ai. d(u)vā; vgl. ni. do/du/dui|
315|R|32|ind|D|dukh|f|Schmerz|pain|< pk. dukkha- < ai. duḥkha- "Schwierigkeit, Schmerz"; vgl. oṛiyā dukha|
315|R|33|ind|D|dukhal|impers|es schmerzt|it hurts|< pa. dukkhati < ai. duḥkhati; vgl. hi. dukhnā|
315|R|34|ind|D|dumo|m|Schulter, Rücken|shoulder; back|vgl. hi. dum "Schwanz"; vgl. auch pers. dum(b) dass.|
315|R|35|ind|D|dumukh|f|Faust|fist|ohne Etym.|
315|R|36|ind|D|dunavel, zunavel|tr|aufrollen, aufkrempeln|to roll up|ohne Etym.|
315|R|37|ind|D|dur|adv|weit, fern|far|< ai. dūra-, vgl. hi. dūr|
315|R|38|ind|D|duruvli|f|Faß|barrel|ohne Etym.|
315|R|39|ind|D|dušel|xref|s. Iran Etyma|||see-reference to the Iranian list
316|L|01|ind|DŽ|džajela||(So) gefrieren|to freeze|ohne Etym.|no grammatical label
316|L|02|ind|DŽ|džal|itr|gehen|to go|< pk. jaï < ai. yāti; vgl. hi. jānā|
316|L|03|ind|DŽ|džamutro|m|Schwiegersohn|son-in-law|< pa. ai. jāmātar-; vgl. hi. jamāī|
316|L|04|ind|DŽ|džanel¹|tr|wissen, kennen|to know|< pa. ai. jānāti; hi. jānnā|homonym 1
316|L|05|ind|DŽ|džanel²||(Caló) gebären|to give birth|< ai. jan-|homonym 2; no grammatical label
316|L|06|ind|DŽ|dženo|m|(männliche) Person; dženi (weibliche) Person|person|< pa. ai. jana-/jani- ; vgl. hi. janā|
316|L|07|ind|DŽ|dži|präp|bis|until|ohne Etym.|
316|L|08|ind|DŽ|dživel|itr|leben|to live|< pa. ai. jīvati; vgl. hi. jīnā|
316|L|09|ind|DŽ|džov|f (m)|Hafer|oats|< pk. java- < ai. yava- "Gerste"; vgl. hi. jau|
316|L|10|ind|DŽ|džukel|m|Hund|dog|< ai. jakuṭa- (Valt)|
316|L|11|ind|DŽ|džung|f|Übel; džungalo adj schlecht|evil|nicht < ung csúnya (Valt)|
316|L|12|ind|DŽ|džungavel, džangavel|tr|aufwecken|to wake|< pk. kaus jaggāvaï- "wecken" zu ai. jāgrati "wach sein"; vgl. hi. jāganā|
316|L|13|ind|DŽ|džuto|m|Paar|pair|< pk. jutta- < ai. yukta- "vereint"; vgl. hi. jūtā|
316|L|14|ind|DŽ|džuv|f|Laus|louse|< ai. yūka-; vgl hi. jũ:|
316|L|15|ind|DŽ|džuvli|f|Frau|woman|< ai. yuvati- "junge Frau"; vgl hi. joī (Turner)|
316|L|16|ind|E|ekh, jekh|num|ein(s)|one|< mi. ekka- < ai. eka- ?; vgl. hi. ek; vgl. a. pers. yek|
316|L|17|ind|E|enderja, venderja|pl|Eingeweide|entrails|neben gr. Herkunft ist möglich ai. antra-/ āntra- "Eingeweide"|
316|L|18|ind|F|feder, fededer|adv komp|besser|better|< ai. bhadra- "glücklich, gut" + komp (d)er|
316|L|19|ind|F|fordel, frdel|tr|werfen, schütteln|to throw; to shake|< fr-/fər- onomat + del ?; vgl. a. bulg. xvərlja, maked. frla|
316|L|20|ind|F|fulavel|xref|s. ulavel|||see-reference
316|L|21|ind|G|gad|m|Hemd|shirt|< ai. gātrikā "Gürtel" (Valt) u. ai. gātra- "Glied"; vgl. hi. gāti "ländliche Bekleidung"|
316|R|22|ind|G|gadžo|m|Nichtzigeuner|non-Gypsy|< ai. gārhya- "häuslich"; mi. *gajjha-?; nach Sa < gaya- "Haus(halt)"|
316|R|23|ind|G|garavel|tr|verstecken|to hide|< ai. *gaḍḍ-; vgl. hi. gārnā "drücken, pressen", vgl. maithilī gaṛab-|
316|R|24|ind|G|gav|m|Dorf|village|< pk. gāma- < ai. grāma-; vgl. hi. gã:v|
316|R|25|ind|G|gelo|prät zu džal|||< ai. gata-; vgl. hi. gayā|label doubles as the gloss: preterite of džal
316|R|26|ind|G|ger|m|Krätze|scabies|< ai. gara-/*garu- Krankheit; vgl. hi. gar "Kratzen im Hals" (Turner)|
316|R|27|ind|G|gero adj arm, goro|m|(Rozw) Bauer; (Sinti) Verstorbener|peasant; dead person|ohne Etym.; kaum zu gr. ἱερός "heilig"|
316|R|28|ind|G|geš|m|Bruder des Mannes (Heinschink)|husband's brother|< ai. jyeṣṭha- Ältester, ältester Bruder|
316|R|29|ind|G|geštani (Heinschink)/džextani (Thesleff)|f|Schwester des Mannes|husband's sister|< ai. *jyeṣṭhajāni Frau des älteren Bruders|
316|R|30|ind|G|gilabel|tr|singen, lesen|to sing; to read|< ai. *gīta-payati ?; nicht direkt ai. gāyati|
316|R|31|ind|G|gili|f|Lied|song|pa. gītikā < ai. gīti-|
316|R|32|ind|G|gin|m|Zahl|number|< ai. gaṇa- "Menge"|
316|R|33|ind|G|ginel|tr|zählen|to count|< pk. gaṇeti < ai. gaṇayati "zählen"; vgl. hi. ginnā|
316|R|34|ind|G|giv|m|Getreide, Weizen|grain; wheat|< pk. gohūma- < ai. godhūma- "Weizen"; vgl. hi. gohũ: u. gehũ:|
316|R|35|ind|G|godi|f|Gehirn, Vernunft|brain; reason|< ai. gorda-/gordha- "Hirn", vgl. oṛiyā goda|
316|R|36|ind|G|godli|f|(Sa, Sinti) Lärm|noise|vgl. hi. gālī denā "beleidigen, schelten"|
316|R|37|ind|G|godźaver|adj|klug|clever|< ai. *gordha-bhara- ?; vgl. godi|
316|R|38|ind|G|goj|f|Wurst|sausage|< ai. guḍa- "Bällchen, Kern" ?|
316|R|39|ind|G|gono|m|Sack, Tasche|sack; bag|< pa. goṇaka- "wollene Matte"; ai. goṇi- "Sack"; vgl. hi. gon (Turner)|
316|R|40|ind|G|goro|xref|s. gero|||see-reference
316|R|41|ind|G|gošni|f|Dung|dung|< ai. goviṣ- "Kuhdung" + n-Suffix|
317|L|01|ind|G|gudlo, guglo|adj|süß|sweet|< ai. *guḍala-; vgl. ai. guḍa- "Melasse"; vgl. hi. guṛ "Rohzucker"|
317|L|02|ind|G|guruv|m|Rind|head of cattle|< pk. gorūva- < ai. garūpa- "kuhförmig"; vgl. hi. gorū|
317|L|03|ind|H|haćarel, haljarel, haljovel|tr|verstehen, fühlen, bemerken|to understand; to feel; to notice|< ai. ākhyā- "erklären, mitteilen" ?; vgl. So hačel|
317|L|04|ind|H|hačel||(So) verstehen (s. haćarel)|to understand||no bracket; cross-refers to haćarel
