Key,English_Gloss,Headwords_Override,Labels_Override,Gloss_De_Override,Resolution
p247:e07,king,,,,
p247:e08,"kingship, royal rule",,,,
p247:e09,"give credence to something, believe",,,,
p247:e10,place name,,,,
p247:e11,"misfortune, badness; captivity",,,,
p247:e12,"wind sickness, disorder caused by ""wind"" (e.g. rheumatism, flatulence, etc.)",,,,
p247:e13,"prisoner, slave; exile",,,,
p247:e14,,,,,
p247:e15,"silky little hairs, down",,,,
p247:e16,distributor of food,,,,
p247:e17,personal name,,,,
p247:e18,distribute,,,,
p247:e19,pretext,,,,
p247:e20,twelve,,,,
p247:e21,freeze,,,,
p247:e22,"talk, speak",,,,
p247:e23,branch,,,,
p247:e24,"hang on, cling to",,,,
p248:e01,"hang up, suspend",,,,
p248:e02,"child, boy",,,,
p248:e03,bird,,,,
p248:e04,"in the evening, in the late afternoon",,,,
p248:e05,"misfortune, evil",,,,
p248:e06,"misfortune, evil",,,,
p248:e07,sore (of a horse),,,,
p248:e08,rope,,,,
p248:e09,hair,,,,
p248:e10,"leech, tick",,,,
p248:e11,tomato,,,,
p248:e12,"howl, weep loudly",,,,
p248:e13,mare,,,,
p248:e14,joint,,,,
p248:e15,"stop, cease; be closed (of the hand)",,,,
p248:e16,put on (clothes),,,,
p248:e17,cultivated field,,,,
p248:e18,"cultivate, till the field",,,,
p248:e19,"servant, human being (as opposed to God)",,,,
p248:e20,put (something small) on the palm of one's hand and toss it into one's mouth,,,,
p248:e21,crow,,,,
p248:e22,"implement, object, vessel",,,,
p248:e23,,,,,
p248:e24,surpass,,,,
p248:e25,"load, burden",,,,
p249:e01,"cackle, crow",,,,
p249:e02,equal,,,,
p249:e03,(!) pregnant,,,,
p249:e04,lead animal (in threshing),,,,
p249:e05,"porter, carrier",,,,
p249:e06,over,,,,
p249:e07,buckwheat,,,,
p249:e08,husband,,,,
p249:e09,pond,,,,
p249:e10,level field,,,,
p249:e11,free (from ...),,,,
p249:e12,year,,,,
p249:e13,blessing,,,,
p249:e14,ring,,,,
p249:e15,duck,,,,
p249:e16,"finish, complete",,,,
p249:e17,grow,,,,
p249:e18,"come to an end, be completed",,,,
p249:e19,big,,,,
p249:e20,size,,,,
p249:e21,"night's lodging, residence",,,,
p249:e22,increase,,,,
p249:e23,"more, superabundant",,,,
p250:e01,grain (horse feed),,,,
p250:e02,"sound, speak, play (an instrument)",,,,
p250:e03,"about to ..., presumably ...",,,,
p250:e04,"language, voice",,,,
p250:e05,lung,,,,
p250:e06,"bedding, sleeping place",,,,
p250:e07,hearthstone,,,,
p250:e08,stone,,,,
p250:e09,stone and wood: material things; hardships of daily life,,,,
p250:e10,"find room, fit",,,,
p250:e11,falcon,,,,
p250:e12,falcon,,,,
p250:e13,bazaar,,,,
p250:e14,spring,,,,
p250:e15,we,,,,
p250:e16,"uneducated, impolite",,,,
p250:e17,lack of blessing,,,,
p250:e18,"armor, coat of mail",,,,
p250:e19,paradise,,,,
p250:e20,"sit, sit down, stay",,,,
p251:e01,offspring,,,,
p251:e02,enemy,,,,
p251:e03,"flattering trick, coquetry",,,,
p251:e04,be made to sit down,,,,
p251:e05,both,,,,
p251:e06,"clear sky, fine weather",,,,
p251:e07,seed,,,,
p251:e08,"request, ask for",,,,
p251:e09,,,,,
p251:e10,be afraid,,,,
p251:e11,"dip in, moisten, melt",,,,
p251:e12,darling,,,,
p251:e13,medicine,,,,
p251:e14,"become wet, be moistened; melt",,,,
p251:e15,treasure,,,,
p251:e16,sowing; sowing festival,,,,
p251:e17,"spill, pour out",,,,
p251:e18,earth,,,,
p251:e19,"be spilled, be spread out",,,,
p251:e20,"battle, fight",,,,
p251:e21,male,,,,
p251:e22,sickle,,,,
p251:e23,"remain lying, lie down",,,,
p251:e24,rainbow,,,,
p252:e01,"much, many",,,,
p252:e02,Wednesday,,,,
p252:e03,sleeve,,,,
p252:e04,echo word of oolo,,,,
p252:e05,ache (in shoulder and neck),,,,
p252:e06,"sink, go under, be sunk",,,,
p252:e07,"enough, sufficient",,,,
p252:e08,bottle,,,,
p252:e09,"wrinkle, fold",,,,
p252:e10,whirl around,,,,
p252:e11,Thursday,,,,
p252:e12,swarm,,,,
p252:e13,bird,,,,
p252:e14,"mumble, babble (of a small child)",,,,
p252:e15,lukewarm,,,,
p252:e16,little calf; also as personal name,,,,
p252:e17,"chinar, plane tree",,,,
p252:e18,rag,,,,
p252:e19,go; hence secondarily also: become,,,,
p252:e20,worm; insect,,,,
p252:e21,beans,,,,
p253:e01,a bird (kind of partridge),,,,
p253:e02,"high pasture, forest",,,,
p253:e03,set (of the sun),,,,
p253:e04,name of a thorny shrub,,,,
p253:e05,cat,,,,
p253:e06,pansy,,,,
p253:e07,"whole, all",,,,
p253:e08,(unpaid) helper,,,,
p253:e09,earthquake,,,,
p253:e10,a saint,,,,
p253:e11,willow (salix),,,,
p253:e12,"stop, wait",,,,
p253:e13,"stand still, straighten up",,,,
p253:e14,trousers,,,,
p253:e15,sandal,,,,
p253:e16,"braggart, show-off",,,,
p253:e17,hissing,,,,
p253:e18,"chip (of wood), small piece",,,,
p253:e19,"cold, flu",,,,
p253:e20,"row, line",,,,
p253:e21,give birth,,,,
p254:e01,story,,,,
p254:e02,"bird; (small) penis, clitoris",,,,
p254:e03,"axe; crack, incision",,,,
p254:e04,bite,,,,
p254:e05,"soon, early, earlier, first",,,,
p254:e06,early in the morning,,,,
p254:e07,early in the morning,,,,
p254:e08,"open (of the hand), wide, broad",,,,
p254:e09,pocket (in clothing),,,,
p254:e10,"chew, bite",,,,
p254:e11,"be bitten, chewed",,,,
p254:e12,"spot, piece",,,,
p254:e13,four,,,,
p254:e14,graze,,,,
p254:e15,"graze, pasture",,,,
p254:e16,straight,čaá~r theé,adv.,gerade,collocation headword with absolutive theé; Ikoh comparandum glosses 'straight'
p254:e17,,,,,
p254:e18,separation,,,,
p254:e19,"""fourfold"", i.e. occurring at four-day intervals",,,,
p254:e20,"be jammed, pinched",,,,
p254:e21,beating,,,,
p254:e22,"anus, arse",,,,
p254:e23,quadruped,,,,
p254:e24,come out (of a tree stump),,,,
p255:e01,"giving birth, childbed",,,,
p255:e02,tear,,,,
p255:e03,axe,,,,
p255:e04,"mute, weak; mute person; fool",,,,
p255:e05,woman,,,,
p255:e06,"chip, splinter",,,,
p255:e07,"chirp, twitter",,,,
p255:e08,place name Chilas,,,,
p255:e09,juniper,,,,
p255:e10,iron,,,,
p255:e11,"iron, made of iron",,,,
p255:e12,"thing, object",,,,
p255:e13,thief,,,,
p255:e14,"latrine, toilet",,,,
p255:e15,peach tree,,,,
p255:e16,"girl, young woman",,,,
p255:e17,small,,,,
p255:e18,pour,,,,
p255:e19,sour,,,,
p255:e20,a bird (swallow-like),,,,
p255:e21,"cut, trim (beard)",,,,
p255:e22,end; tip,,,,
p256:e01,"prick, pinch",,,,
p256:e02,thief,,,,
p256:e03,spark,,,,
p256:e04,"rag, cloth",,,,
p256:e05,green husk of walnuts,,,,
p256:e06,day,,,,
p256:e07,kid (young goat),,,,
p256:e08,children,,,,
p256:e09,vomiting,,,,
p256:e10,"mountain cliff, rock",,,,
p256:e11,"watchman, guard",,,,
p256:e12,"stallion, breeding stallion",,,,
p256:e13,young billy goat (up to 1 year),,,,
p256:e14,name of a shamanic ceremony,,,,
p256:e15,cricket,,,,
p256:e16,"be divided; be cut off, separated from; be trimmed, reduced",,,,
p256:e17,"shadow, shade",,,,
p256:e18,"cut off, trim",,,,
p256:e19,have cut off,,,,
p256:e20,mountain,,,,
p256:e21,"let, set, place",,,,
p256:e22,chin,,,,
p256:e23,small mound of earth,,,,
p257:e01,"set, place",,,,
p257:e02,fish,,,,
p257:e03,end,,,,
p257:e04,a thick bread,,,,
p257:e05,"set, lay, put down, place; hold",,,,
p257:e06,slowly; late,,,,
p257:e07,"up!, come on!",,,,
p257:e08,"look, gaze",,,,
p257:e09,"scales, balance",,,,
p257:e10,"lamp, torch",,,,
p257:e11,"crunch, creak, screech (e.g. a door, an infant)",,,,
p257:e12,three,,,,
p257:e13,third,,,,
p257:e14,(place) where three paths meet,,,,
p257:e15,supporting stone in a wall,,,,
p257:e16,"rustle, make a scratching sound",,,,
p257:e17,bitter,,,,
p257:e18,"weak, brittle",,,,
p257:e19,slag (from smelting iron),,,,
p257:e20,"running, race",,,,
p257:e21,"run, race",,,,
p258:e01,drive away,,,,
p258:e02,plant,,,,
p258:e03,blade of straw,,,,
p258:e04,cross over,,,,
p258:e05,field,,,,
p258:e06,"danger, harm, loss",,,,
p258:e07,"excrete, shit",,,,
p258:e08,shit,,,,
p258:e09,"garment, clothing",,,,
p258:e10,udder,,,,
p258:e11,small knife,,,,
p258:e12,"give; throw, hit",,,,
p258:e13,,,,,
p258:e14,"lord, master",,,,
p258:e15,right(-hand),,,,
p258:e16,grandmother,,,,
p258:e17,grandfather,,,,
p258:e18,burn,,,,
p258:e19,beard,,,,
p259:e01,burn; worry,,,,
p259:e02,ash,,,,
p259:e03,name of a month,,,,
p259:e04,harrow,,,,
p259:e05,"misfortune, trouble",,,,
p259:e06,a certain melody,,,,
p259:e07,"clever, learned",,,,
p259:e08,bow,,,,
p259:e09,pomegranate,,,,
p259:e10,pomegranate rind,,,,
p259:e11,dowry,,,,
p259:e12,"along, on, over, through",,,,
p259:e13,"turn around, turn inside out",,,,
p259:e14,be turned inside out,,,,
p259:e15,door,,,,
p259:e16,"mountain, hill",,,,
p259:e17,son,,,,
p259:e18,a tree with reddish hard wood,,,,
p259:e19,dance in the Darel manner,,,,
p259:e20,"door frame, gate; generation",,,,
p259:e21,"located outside, foreign",,,,
p259:e22,"appropriate, fitting, necessary",,,,
p259:e23,still; even now,daróm ga,adv.,immer noch,collocation headword with particle ga
p260:e01,"outside, out",,,,
p260:e02,"have diarrhea (""go out"")",,,,
p260:e03,into,darú,postpos.,(= da arú) (+ Rectus) hinein,headline equates darú with da arú; postposition
p260:e04,hunt,,,,
p260:e05,hunter,,,,
p260:e06,from outside,,,,
p260:e07,"desert, uncultivated land",,,,
p260:e08,wasteland,,,,
p260:e09,"know, recognize",,,,
p260:e10,,,,,
p260:e11,"crazy, mad",,,,
p260:e12,shaman,,,,
p260:e13,burn (something),,,,
p260:e14,"immorality, cuckoldry",,,,
p260:e15,in,,,,
p260:e16,look there!,,,,
p260:e17,day,,,,
p260:e18,daughter,,,,
p260:e19,leopard,,,,
p260:e20,horsefly,,,,
p260:e21,"fall, cave in",,,,
p260:e22,be given,,,,
p260:e23,religion,,,,
p260:e24,"daughter and son, children",,,,
p260:e25,boundary,,,,
p261:e01,"women, girls (coll.); female descendants of a clan",,,,
p261:e02,place,,,,
p261:e03,speak ill of,,,,
p261:e04,fruit juice from grapes or mulberries,,,,
p261:e05,measure of length: span,,,,
p261:e06,this,,,,
p261:e07,"roasted grain (coll., but also pl. grains)",,,,
p261:e08,rejoice over something one does not understand or that does not concern one; wrongly give credence to something,,,,
p261:e09,tooth,,,,
p261:e10,herd,,,,
p261:e11,"ox, bull",,,,
p261:e12,turn (one's turn),,,,
p261:e13,friend,,,,
p261:e14,hell,,,,
p261:e15,rope,,,,
p261:e16,two,,,,
p261:e17,be unable,,,,
p261:e18,personal name,,,,
p261:e19,"again, once more",,,,
p261:e20,"wash (oneself), wash (something)",,,,
p261:e21,"wash, pour water over something",,,,
p261:e22,be washed,,,,
p262:e01,"wash oneself, be washed by itself",,,,
p262:e02,"guilt, fault",,,,
p262:e03,shop,,,,
p262:e04,zinc; collyrium,,,,
p262:e05,build,,,,
p262:e06,build,,,,
p262:e07,smoke,,,,
p262:e08,fall ill with gonorrhea,,,,
p262:e09,second,,,,
p262:e10,world,,,,
p262:e11,"biped, two-footed creature",,,,
p262:e12,far,,,,
p262:e13,enemy,,,,
p262:e14,"envy, ill will",,,,
p262:e15,milk,,,,
p262:e16,drum,,,,
p262:e17,scree slope,,,,
p262:e18,"hammer blow, sound of hammering",,,,
p262:e19,rely on,,,,
p262:e20,"be struck, collide",,,,
p262:e21,"strike, beat",,,,
p262:e22,back,,,,
p262:e23,time (occasion),,,,
p263:e01,"slide off, roll off",,,,
p263:e02,pot,,,,
p263:e03,"belly, stomach",,,,
p263:e04,ball,,,,
p263:e05,body; self,,,,
p263:e06,"bump into one another, collide; quarrel",,,,
p263:e07,"be shoved down, roll on the ground, sacrifice oneself",,,,
p263:e08,"meet, come together",,,,
p263:e09,dimple,,,,
p263:e10,"Dom, member of the blacksmith and musician caste of Gilgit, Hunza, and Nager",,,,
p263:e11,mustard,,,,
p263:e12,ladle,,,,
p263:e13,crashed together,,,,
p263:e14,basket,,,,
p263:e15,"kinship group, lineage",,,,
p263:e16,small hut,,,,
p263:e17,this (the one previously mentioned),,,,
p263:e18,"fault, mistake",,,,
p263:e19,one; one and the same,,,,
p263:e20,"only, sole",,,,
p264:e01,one-year-old (billy goat),,,,
p264:e02,"solitude, loneliness",,,,
p264:e03,"equal, alike",,,,
p264:e04,mirror,,,,
p264:e05,angel,,,,
p264:e06,,,,,
p264:e07,,,,,gloss-less in print: only [T. 4402] is given
p264:e08,"value, price",,,,
p264:e09,"rod, twig",,,,
p264:e10,songs (pl),,,,
p264:e11,wave,,,,
p264:e12,wound,,,,
p264:e13,wounded,,,,
p264:e14,"become confused, get mixed up",,,,
p264:e15,"mountain pass, mountain ridge",,,,
p264:e16,enemy,,,,
p264:e17,retaining wall along a path or river,,,,
p264:e18,victorious,,,,
p264:e19,sick,,,,
p265:e01,village,,,,
p265:e02,neighbor,,,,
p265:e03,"ice, glacier",,,,
p265:e04,bind,,,,
p265:e05,"leg, especially the lower part of the leg",,,,
p265:e06,,,,,
p265:e07,"immoral woman, whore",,,,
p265:e08,wedding,,,,
p265:e09,ruin,,,,
p265:e10,"carry much water, roar loudly (of a river)",,,,
p265:e11,poor; poor person,,,,
p265:e12,poverty,,,,
p265:e13,"goitrous, person with a goiter",,,,
p265:e14,a plant,,,,
p265:e15,quarrel,,,,
p265:e16,"squabbling, bickering",,,,
p265:e17,win,,,,
p265:e18,"gather, assemble",,,,
p265:e19,"grind, rub",,,,
p265:e20,"with, through",,,,
p265:e21,wife,,,,
p265:e22,ghee,,,,
p266:e01,place name Gilgit,,,,
p266:e02,take,,,,
p266:e03,"difficult, hard",,,,
p266:e04,vulture,,,,
p266:e05,"large stone, boulder",,,,
p266:e06,swallow,,,,
p266:e07,cow (sg. and pl.),,,,
p266:e08,donkey foal,,,,
p266:e09,"of a cow, cow-",,,,
p266:e10,"grief, sorrow",,,,
p266:e11,"livestock, cattle",,,,
p266:e12,"order of turns, ranking (at the mill)",,,,
p266:e13,seam (on a cap),,,,
p266:e14,"clench, cramp",,,,
p266:e15,house,,,,
p266:e16,"from the cowshed, also as a personal name",,,,
p266:e17,"devourer (of the moon, cause of lunar eclipses)",,,,
p266:e18,collar,,,,
p266:e19,(threshed) straw,,,,
p266:e20,"excrement, feces",,,,
p266:e21,"free from; somehow, without reason, to no purpose",,,,
p267:e01,"otherwise, or else",,,,
p267:e02,irrigation channel,,,,
p267:e03,flame,,,,
p267:e04,"woman, lady of the house",,,,
p267:e05,Gujur,,,,
p267:e06,wheat,,,,
p267:e07,bowstring,,,,
p267:e08,thought,,,,
p267:e09,"something thought, a thought",,,,
p267:e10,thread,,,,
p267:e11,"seed, seed grains (coll.)",,,,
p267:e12,hiccups,,,,
p267:e13,barn for straw,,,,
p267:e14,deep,,,,
p267:e15,cheek,,,,
p267:e16,sky,,,,
p267:e17,wall of the sky,,,,
p267:e18,fire,,,,
p267:e19,"finger, toe",,,,
p267:e20,heavy,,,,
p267:e21,"big toe, thumb",,,,
p268:e01,"run, race",,,,
p268:e02,"laughter, joke",,,,
p268:e03,"grain measure, unit of weight equal to 2 seer, ca. 2 kg",,,,
p268:e04,"wish, hope",,,,
p268:e05,"high official, judge",,,,
p268:e06,"plow, plow beam",,,,
p268:e07,jump (over),,,,
p268:e08,"condition, state; good condition, prosperity",,,,
p268:e09,"fat, ghee",,,,
p268:e10,"religiously permitted, halal",,,,
p268:e11,"no score (in polo, when no goal has been shot)",,,,
p268:e12,"bet, wager",,,,
p268:e13,turn yellow (of the complexion),,,,
p268:e14,yellow,,,,
p268:e15,"goal (shot, in polo)",,,,
p268:e16,"web (of spiders), nest (of wasps, bees, ants)",,,,
p268:e17,neighbor,,,,
p268:e18,"grain pit, storage vessel",,,,
p268:e19,is (verbum substantivum); with genitive expresses possession,,,,
p268:e20,name of the Gilgit River,,,,
p269:e01,egg,,,,
p269:e02,"fruit stone, kernel",,,,
p269:e03,goose,,,,
p269:e04,answer (to the call hóo),,,,
p269:e05,"each, every",,,,
p269:e06,"take, take away; lay, put",,,,
p269:e07,"religiously forbidden, haram",,,,
p269:e08,cheek,,,,
p269:e09,lose,,,,
p269:e10,movement,,,,
p269:e11,elephant,,,,
p269:e12,hand,,,,
p269:e13,personal name,Hatám Thai,EN m.,,two-word personal name printed as one headword
p269:e14,palm(s) of the hand (pl),,,,
p269:e15,"desire, wish",,,,
p269:e16,make laugh,,,,
p269:e17,sign; target mark (in archery); gift,,,,
p269:e18,time (occasion),,,,
p269:e19,trader (obsolete),,,,
p269:e20,free,,,,
p269:e21,free,,,,
p269:e22,be sad,,,,
p270:e01,think of,,,,
p270:e02,bride,,,,
p270:e03,bridegroom,,,,
p270:e04,snow,,,,
p270:e05,breath,,,,
p270:e06,heart,,,,
p270:e07,call; call out to someone,,,,
p270:e08,then,,,,
p270:e09,personal name,,,,
p270:e10,collapse; fall down,,,,
p270:e11,tear down,,,,
p270:e12,owl,,,,
p270:e13,thistle,,,,
p270:e14,field wall; wall,,,,
p270:e15,get up; be awake,,,,
p270:e16,pick up; lift up,,,,
p270:e17,cleverness; skill; virtue,,,,
p270:e18,vow; oath,,,,
p270:e19,houri; beautiful woman of paradise,,,,
p270:e20,glad,,,,
p270:e21,Come here! (call to cattle),,,,
p270:e22,name of a month (February-March),,,,
p271:e01,bear,,,,
p271:e02,human being,,,,
p271:e03,around,,,,
p271:e04,then,,,,
p271:e05,taste,,,,
p271:e06,"rue, also used as a medicinal plant",,,,
p271:e07,sweet; tasty,,,,
p271:e08,a vegetable (chicory?),,,,
p271:e09,a kind of barberry,,,,
p271:e10,a festive dish,,,,
p271:e11,rolling pin; dough roller,,,,
p271:e12,yellow-green,,,,
p271:e13,be born,,,,
p271:e14,where to?,,,,
p271:e15,(other) people,,,,
p271:e16,pain,,,,
p271:e17,hair (of the head),,,,
p271:e18,be dishevelled (of hair),,,,
p271:e19,spread out,,,,
p271:e20,be singed,,,,
p271:e21,son-in-law,,,,
p272:e01,family; relatives (also used for: wife),,,,
p272:e02,yawn,,,,
p272:e03,forest-; wild,,,,
p272:e04,hide,,,,
p272:e05,grow old,,,,
p272:e06,friend; lover,,,,
p272:e07,be digested,,,,
p272:e08,placenta,,,,
p272:e09,grow old,,,,
p272:e10,old,,,,
p272:e11,"orphaned, orphan-; orphan boy",,,,
p272:e12,birth,,,,
p272:e13,body hair,,,,
p272:e14,youth; young man,,,,
p272:e15,preverbal modal particle,,,,
p272:e16,interrogative pronoun,,,,
p272:e17,prenominal interrogative pronoun,,,,
p272:e18,"interrogative, relative, and indefinite pronoun",,,,"German gloss is the compound ellipsis Interr.-, Relativ-, Indefinitpronomen"
p272:e19,sneezing,,,,
p272:e20,life,,,,
p273:e01,spirit; jinn,,,,
p273:e02,spirits,,,,
p273:e03,living; alive,,,,
p273:e04,alive; healthy,,,,
p273:e05,tongue,,,,
p273:e06,blanket made of cloth,,,,
p273:e07,snake,,,,
p273:e08,alive; living,,,,
p273:e09,chick; obsolete word for beloved?,,,,
p273:e10,louse,,,,
p273:e11,wood; firewood,,,,
p273:e12,pain,,,,
p273:e13,broth; sauce (with meat),,,,
p273:e14,squat on one's thighs,,,,
p273:e15,sluggishness; slackness,,,,
p273:e16,crime; guilt,,,,
p273:e17,greenery; grass; meadow,,,,
p273:e18,lice-ridden,,,,
p273:e19,birch bark,,,,
p273:e20,crow,,,,
p273:e21,caw (of the crow),,,,
p273:e22,grave,,,,
p274:e01,,,,,printed as an equivalence: kač = káči
p274:e02,near,,,,
p274:e03,nearby,,,,
p274:e04,awn; husk; chaff,,,,
p274:e05,ungrateful; unscrupulous,,,,
p274:e06,widow; widowed,,,,
p274:e07,famine,,,,
p274:e08,cook,,,,
p274:e09,wish; longing,,,,
p274:e10,noise; cackling,,,,
p274:e11,bleat (of a goat),,,,
p274:e12,partridge; chukar,,,,
p274:e13,year,,,,
p274:e14,counting; calculation,,,,
p274:e15,scrap of cloth; patch,,,,
p274:e16,quarrel,,,,
p274:e17,regard as,,,,
p274:e18,be counted; be considered as,,,,
p274:e19,regard as,,,,
p274:e20,little; scarce,,,,
p274:e21,earn,,,,
p274:e22,kinship group; relative,,,,
p275:e01,jaundice; liver disease,,,,
p275:e02,name of a qaum; member of that qaum,,,,
p275:e03,advice,,,,
p275:e04,pharyngeal tonsil,,,,
p275:e05,a bird of prey (harrier),,,,
p275:e06,rooster,,,,
p275:e07,,,,,
p275:e08,"shave (head hair, beard)",,,,
p275:e09,break (something of one's own),,,,
p275:e10,when?,,,,
p275:e11,basket,,,,
p275:e12,coal,,,,
p275:e13,hen,,,,
p275:e14,carrion-eating bird; eagle,,,,
p275:e15,larger piece of burning coal,,,,
p275:e16,crooked,,,,
p275:e17,for the sake of; because of,,,,
p275:e18,"Kashmiri, coming from Kashmir",,,,
p275:e19,onion,,,,
p275:e20,a bird of prey; magpie,,,,
p275:e21,violent jerky movement; tugging at something; flailing about,,,,
p275:e22,garment; clothing,,,,
p275:e23,spin,,,,
p276:e01,misfortune,,,,
p276:e02,"wood; branch, stick",,,,
p276:e03,,,,,
p276:e04,,,,,
p276:e05,at; to; on,,,,
p276:e06,,,,,
p276:e07,that,,,,
p276:e08,female ibex,,,,
p276:e09,nail; wedge,,,,
p276:e10,sell,,,,
p276:e11,black,,,,
p276:e12,"interrogative, relative, and indefinite pronoun",,,,
p276:e13,shoulder blade,,,,
p276:e14,moo,,,,
p276:e15,somewhere,,,,
p276:e16,to somewhere,,,,
p276:e17,"become crooked, warp; remain silent, without answer",,,,
p276:e18,crooked,,,,
p276:e19,dishonest; crooked person,kóolo ka~óolo,adj. m.,"unehrlich, „krummer Hund“",echo-compound headword; component gloss kept in etymology prose
p276:e20,work; deed,,,,
p277:e01,an activity,,,,
p277:e02,ear,,,,
p277:e03,famine,,,,
p277:e04,blanket? (word unintelligible in Lorimer's manuscript),,,,
p277:e05,arrow,,,,
p277:e06,thorn,,,,
p277:e07,from where?,,,,
p277:e08,"creak (of boots), rustle (of paper)",,,,
p277:e09,boot of ibex or goat leather,,,,
p277:e10,effort,,,,
p277:e11,broken bowl; shards,,,,
p277:e12,"detach, remove (meat from the bones)",,,,
p277:e13,"recently, just now",,,,
p277:e14,village fort,,,,
p277:e15,worm,,,,
p277:e16,be embraced,,,,
p277:e17,skull,,,,
p277:e18,heart; insides,,,,
p277:e19,chest; body between chest and belly,,,,
p277:e20,land; field,,,,
p277:e21,cackling; clucking,,,,
p277:e22,grain; grains (collective),,,,
p277:e23,eyelash,,,,
p278:e01,stick; walking staff,,,,
p278:e02,corpse,,,,
p278:e03,belly,,,,
p278:e04,dove,,,,
p278:e05,shirt,,,Hemd,gloss Hemd is printed at the start of the following sub-paragraph
p278:e06,mighty; strong,,,,
p278:e07,,,,,
p278:e08,hostility,,,,
p278:e09,malicious,,,,
p278:e10,goatskin bag,,,,
p278:e11,leather or skin sack,,,,
p278:e12,"female dog, also as a personal name",,,,
p278:e13,wall,,,,
p278:e14,thunder,,,,
p278:e15,"beat, thresh; castrate",,,,
p278:e16,knee,,,,
p278:e17,deaf,,,,
p278:e18,subject(s),,,,
p278:e19,what?,,,,
p278:e20,why?,,,,
p278:e21,eat,kha-,trans.,essen,attestation prose carried onto the headline by the p278/279 page break; inflected forms remain audit prose
p279:e01,news,,,,
p279:e02,left,,,,
p279:e03,be bad; suffer hardship,,,,
p279:e04,stingy; miser,,,,
p279:e05,bad,,,,
p279:e06,do someone harm; treat someone badly,kháčo th- | kháči th-,,"(+ Dat.) jdm. Schlechtes antun, jdn. schlecht behandeln",printed masculine/feminine alternation kháčo/ kháči th- promoted to two variant rows
p279:e07,badness; misfortune,,,,
p279:e08,scratch; itch,,,,
p279:e09,itch,,,,
p279:e10,inhabitant of Nager,,,,
p279:e11,threshing floor,,,,
p279:e12,clan name,,,,
p279:e13,lie,,,,
p279:e14,mountain,,,,
p279:e15,scratch,,,,
p279:e16,be scratched,,,,
p279:e17,sword,,,,
p279:e18,spoon,,,,
p279:e19,be slaughtered,,,,
p279:e20,slaughter,,,,
p279:e21,cutting; cut,,,,
p280:e01,stroke,,,,
p280:e02,bed,,,,
p280:e03,knife,,,,
