Record_Type,Item,Gloss,Site_Code,Site_Name,Source_Dialect_Label,PDF_Page,Printed_Page,Column,Cell_Image,Manual_Transcription,Manual_Review,Uncertainty,OCR_Evidence,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Keys
wordlist cell,11,leg,CHU,Churla,Kullui,34,27,1,cells/i011-CHU-pdf034.png,ˈdʒoŋgʰə,manual-source-image,,dzonghs,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 11, Churla]",silkullu1985:chu:i011:v1
wordlist cell,12,foot,CHU,Churla,Kullui,34,27,1,cells/i012-CHU-pdf034.png,peːr,manual-source-image,,5:3d,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 12, Churla]",silkullu1985:chu:i012:v1
wordlist cell,13,skin,CHU,Churla,Kullui,34,27,1,cells/i013-CHU-pdf034.png,kʰal,manual-source-image,,khal,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 13, Churla]",silkullu1985:chu:i013:v1
wordlist cell,14,bone,CHU,Churla,Kullui,34,27,1,cells/i014-CHU-pdf034.png,ˈhəɖokə,manual-source-image,,"vreJvy,",installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 14, Churla]",silkullu1985:chu:i014:v1
wordlist cell,15,blood,CHU,Churla,Kullui,34,27,1,cells/i015-CHU-pdf034.png,kʰuːn,manual-source-image,,k'un,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 15, Churla]",silkullu1985:chu:i015:v1
wordlist cell,16,bangle,CHU,Churla,Kullui,34,27,1,cells/i016-CHU-pdf034.png,bəŋgə,manual-source-image,,ban'ge,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 16, Churla]",silkullu1985:chu:i016:v1
wordlist cell,1,body,LOR,Loren,Kullui,34,27,2,cells/i001-LOR-pdf034.png,dʒɪsəm,manual-source-image,,,installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 1, Loren]",silkullu1985:lor:i001:v1
wordlist cell,2,head,LOR,Loren,Kullui,34,27,2,cells/i002-LOR-pdf034.png,ˈmʌɳɖɪ,manual-source-image,,rile,installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 2, Loren]",silkullu1985:lor:i002:v1
wordlist cell,3,face,LOR,Loren,Kullui,34,27,2,cells/i003-LOR-pdf034.png,mʌɳɖə,manual-source-image,,=p)+.,installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 3, Loren]",silkullu1985:lor:i003:v1
wordlist cell,4,eye,LOR,Loren,Kullui,34,27,2,cells/i004-LOR-pdf034.png,ˈteɳɖe / ˈakʰɪ,manual-source-image,,ti jakn,installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 4, Loren]",silkullu1985:lor:i004:v1|silkullu1985:lor:i004:v2
wordlist cell,5,nose,LOR,Loren,Kullui,34,27,2,cells/i005-LOR-pdf034.png,,manual-source-image,blank,,missing,source cell visually confirmed blank,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 5, Loren]",
wordlist cell,6,mouth,LOR,Loren,Kullui,34,27,2,cells/i006-LOR-pdf034.png,kʰakʰ / mũː,manual-source-image,,hakh wu,installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 6, Loren]",silkullu1985:lor:i006:v1|silkullu1985:lor:i006:v2
wordlist cell,7,arm,LOR,Loren,Kullui,34,27,2,cells/i007-LOR-pdf034.png,baː,manual-source-image,,sai,installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 7, Loren]",silkullu1985:lor:i007:v1
wordlist cell,8,palm,LOR,Loren,Kullui,34,27,2,cells/i008-LOR-pdf034.png,tʰuːl,manual-source-image,,,installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 8, Loren]",silkullu1985:lor:i008:v1
wordlist cell,9,finger,LOR,Loren,Kullui,34,27,2,cells/i009-LOR-pdf034.png,gʌtʰi,manual-source-image,,guftie,installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 9, Loren]",silkullu1985:lor:i009:v1
wordlist cell,10,belly,LOR,Loren,Kullui,34,27,2,cells/i010-LOR-pdf034.png,dʌɳɖə / petʰ / dʒidə,manual-source-image,,"drnd/pett/did""",installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 10, Loren]",silkullu1985:lor:i010:v1|silkullu1985:lor:i010:v2|silkullu1985:lor:i010:v3
wordlist cell,11,leg,LOR,Loren,Kullui,34,27,2,cells/i011-LOR-pdf034.png,ˈdʒoŋgə,manual-source-image,,dzongo,installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 11, Loren]",silkullu1985:lor:i011:v1
wordlist cell,12,foot,LOR,Loren,Kullui,34,27,2,cells/i012-LOR-pdf034.png,peːr,manual-source-image,,pe:I,installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 12, Loren]",silkullu1985:lor:i012:v1
wordlist cell,13,skin,LOR,Loren,Kullui,34,27,2,cells/i013-LOR-pdf034.png,kʰal,manual-source-image,,khal,installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 13, Loren]",silkullu1985:lor:i013:v1
wordlist cell,14,bone,LOR,Loren,Kullui,34,27,2,cells/i014-LOR-pdf034.png,həɖokə,manual-source-image,,"3,7,TV",installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 14, Loren]",silkullu1985:lor:i014:v1
wordlist cell,15,blood,LOR,Loren,Kullui,34,27,2,cells/i015-LOR-pdf034.png,kʰuːn / loː,manual-source-image,,"K'un/lo""",installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 15, Loren]",silkullu1985:lor:i015:v1|silkullu1985:lor:i015:v2
wordlist cell,16,bangle,LOR,Loren,Kullui,34,27,2,cells/i016-LOR-pdf034.png,bəŋgə,manual-source-image,,harjga,installed,,kul,sil-kullu-1985-loren,"blair2021kullu[Appendix C, printed p. 27, item 16, Loren]",silkullu1985:lor:i016:v1
wordlist cell,1,body,SHA,Shalwar,Inner Seraji,35,28,3,cells/i001-SHA-pdf035.png,deː / purɪdʒ,manual-source-image,,de:/puric,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 1, Shalwar]",silkullu1985:sha:i001:v1|silkullu1985:sha:i001:v2
wordlist cell,2,head,SHA,Shalwar,Inner Seraji,35,28,3,cells/i002-SHA-pdf035.png,pɪkʊlə / mʌɳɖə,manual-source-image,,pikula /m,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 2, Shalwar]",silkullu1985:sha:i002:v1|silkullu1985:sha:i002:v2
wordlist cell,3,face,SHA,Shalwar,Inner Seraji,35,28,3,cells/i003-SHA-pdf035.png,muː,manual-source-image,,:h M1,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 3, Shalwar]",silkullu1985:sha:i003:v1
wordlist cell,4,eye,SHA,Shalwar,Inner Seraji,35,28,3,cells/i004-SHA-pdf035.png,ətʃiː,manual-source-image,,itlii,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 4, Shalwar]",silkullu1985:sha:i004:v1
wordlist cell,5,nose,SHA,Shalwar,Inner Seraji,35,28,3,cells/i005-SHA-pdf035.png,naːk,manual-source-image,,na:k,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 5, Shalwar]",silkullu1985:sha:i005:v1
wordlist cell,6,mouth,SHA,Shalwar,Inner Seraji,35,28,3,cells/i006-SHA-pdf035.png,ˈtʰotʰə,manual-source-image,,l'othes,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 6, Shalwar]",silkullu1985:sha:i006:v1
wordlist cell,7,arm,SHA,Shalwar,Inner Seraji,35,28,3,cells/i007-SHA-pdf035.png,baː,manual-source-image,,,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 7, Shalwar]",silkullu1985:sha:i007:v1
wordlist cell,8,palm,SHA,Shalwar,Inner Seraji,35,28,3,cells/i008-SHA-pdf035.png,tʰəɳaːli,manual-source-image,,ihnnali,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 8, Shalwar]",silkullu1985:sha:i008:v1
wordlist cell,9,finger,SHA,Shalwar,Inner Seraji,35,28,3,cells/i009-SHA-pdf035.png,ˈgʌtʰiː,manual-source-image,,iguthi:.,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 9, Shalwar]",silkullu1985:sha:i009:v1
wordlist cell,10,belly,SHA,Shalwar,Inner Seraji,35,28,3,cells/i010-SHA-pdf035.png,dʌɳɖə / peːtʰ,manual-source-image,,dhaň/Y,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 10, Shalwar]",silkullu1985:sha:i010:v1|silkullu1985:sha:i010:v2
wordlist cell,11,leg,SHA,Shalwar,Inner Seraji,35,28,3,cells/i011-SHA-pdf035.png,ˈdʒəŋgə,manual-source-image,,"(l)znyy""",installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 11, Shalwar]",silkullu1985:sha:i011:v1
wordlist cell,12,foot,SHA,Shalwar,Inner Seraji,35,28,3,cells/i012-SHA-pdf035.png,tʃəkʰəːrə,manual-source-image,,tsakhasn,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 12, Shalwar]",silkullu1985:sha:i012:v1
wordlist cell,13,skin,SHA,Shalwar,Inner Seraji,35,28,3,cells/i013-SHA-pdf035.png,kʰapɽi,manual-source-image,,kMapli,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 13, Shalwar]",silkullu1985:sha:i013:v1
wordlist cell,14,bone,SHA,Shalwar,Inner Seraji,35,28,3,cells/i014-SHA-pdf035.png,haɖokʰə,manual-source-image,,"hla:""khn",installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 14, Shalwar]",silkullu1985:sha:i014:v1
wordlist cell,15,blood,SHA,Shalwar,Inner Seraji,35,28,3,cells/i015-SHA-pdf035.png,loː,manual-source-image,,"""91.",installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 15, Shalwar]",silkullu1985:sha:i015:v1
wordlist cell,16,bangle,SHA,Shalwar,Inner Seraji,35,28,3,cells/i016-SHA-pdf035.png,ˈbəŋgə / bʌnd / bəɖi / kəŋgʊː,manual-source-image,,'hrijgs/ bun badiii/ i,installed,,kul,sil-kullu-1985-shalwar,"blair2021kullu[Appendix C, printed p. 28, item 16, Shalwar]",silkullu1985:sha:i016:v1|silkullu1985:sha:i016:v2|silkullu1985:sha:i016:v3|silkullu1985:sha:i016:v4
wordlist cell,1,body,CHI,Chinninal,Inner Seraji,35,28,1,cells/i001-CHI-pdf035.png,dʌʈer,manual-source-image,,Jатe),installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 1, Chinninal]",silkullu1985:chi:i001:v1
wordlist cell,2,head,CHI,Chinninal,Inner Seraji,35,28,1,cells/i002-CHI-pdf035.png,mʌɳɖə,manual-source-image,,ungà mond?,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 2, Chinninal]",silkullu1985:chi:i002:v1
wordlist cell,3,face,CHI,Chinninal,Inner Seraji,35,28,1,cells/i003-CHI-pdf035.png,muː,manual-source-image,,mu:,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 3, Chinninal]",silkullu1985:chi:i003:v1
wordlist cell,4,eye,CHI,Chinninal,Inner Seraji,35,28,1,cells/i004-CHI-pdf035.png,əkʰo,manual-source-image,,1k/10,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 4, Chinninal]",silkullu1985:chi:i004:v1
wordlist cell,5,nose,CHI,Chinninal,Inner Seraji,35,28,1,cells/i005-CHI-pdf035.png,nak,manual-source-image,,nak,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 5, Chinninal]",silkullu1985:chi:i005:v1
wordlist cell,6,mouth,CHI,Chinninal,Inner Seraji,35,28,1,cells/i006-CHI-pdf035.png,kʰakʰ,manual-source-image,,khukh,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 6, Chinninal]",silkullu1985:chi:i006:v1
wordlist cell,7,arm,CHI,Chinninal,Inner Seraji,35,28,1,cells/i007-CHI-pdf035.png,baːdʒu,manual-source-image,,клаzu,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 7, Chinninal]",silkullu1985:chi:i007:v1
wordlist cell,8,palm,CHI,Chinninal,Inner Seraji,35,28,1,cells/i008-CHI-pdf035.png,tʰəɳaːl,manual-source-image,,1.) t'ana: l°,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 8, Chinninal]",silkullu1985:chi:i008:v1
wordlist cell,9,finger,CHI,Chinninal,Inner Seraji,35,28,1,cells/i009-CHI-pdf035.png,oŋgʊliː,manual-source-image,,oyguli:,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 9, Chinninal]",silkullu1985:chi:i009:v1
wordlist cell,10,belly,CHI,Chinninal,Inner Seraji,35,28,1,cells/i010-CHI-pdf035.png,dʌɳɖə,manual-source-image,,E:th qan°,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 10, Chinninal]",silkullu1985:chi:i010:v1
wordlist cell,11,leg,CHI,Chinninal,Inner Seraji,35,28,1,cells/i011-CHI-pdf035.png,toŋgə,manual-source-image,,tonga,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 11, Chinninal]",silkullu1985:chi:i011:v1
wordlist cell,12,foot,CHI,Chinninal,Inner Seraji,35,28,1,cells/i012-CHI-pdf035.png,tʃəː,manual-source-image,,ifa:,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 12, Chinninal]",silkullu1985:chi:i012:v1
wordlist cell,13,skin,CHI,Chinninal,Inner Seraji,35,28,1,cells/i013-CHI-pdf035.png,tʃʌmbəɖi,manual-source-image,,tfamnba,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 13, Chinninal]",silkullu1985:chi:i013:v1
wordlist cell,14,bone,CHI,Chinninal,Inner Seraji,35,28,1,cells/i014-CHI-pdf035.png,əɖiː,manual-source-image,,Ag:i:,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 14, Chinninal]",silkullu1985:chi:i014:v1
wordlist cell,15,blood,CHI,Chinninal,Inner Seraji,35,28,1,cells/i015-CHI-pdf035.png,kʰuːn,manual-source-image,,"un,)",installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 15, Chinninal]",silkullu1985:chi:i015:v1
wordlist cell,16,bangle,CHI,Chinninal,Inner Seraji,35,28,1,cells/i016-CHI-pdf035.png,bəŋgʊː / bəŋgə,manual-source-image,,d/ Kariğu: baggr,installed,,kul,sil-kullu-1985-chinninal,"blair2021kullu[Appendix C, printed p. 28, item 16, Chinninal]",silkullu1985:chi:i016:v1|silkullu1985:chi:i016:v2
wordlist cell,1,body,SHG,Shangarh,Inner Seraji,35,28,2,cells/i001-SHG-pdf035.png,deː,manual-source-image,,de:,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 1, Shangarh]",silkullu1985:shg:i001:v1
wordlist cell,2,head,SHG,Shangarh,Inner Seraji,35,28,2,cells/i002-SHG-pdf035.png,ˈmʊɳɖə,manual-source-image,,'mund,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 2, Shangarh]",silkullu1985:shg:i002:v1
wordlist cell,3,face,SHG,Shangarh,Inner Seraji,35,28,2,cells/i003-SHG-pdf035.png,muː,manual-source-image,,mu:,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 3, Shangarh]",silkullu1985:shg:i003:v1
wordlist cell,4,eye,SHG,Shangarh,Inner Seraji,35,28,2,cells/i004-SHG-pdf035.png,ətʃiː,manual-source-image,,^tfi:,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 4, Shangarh]",silkullu1985:shg:i004:v1
wordlist cell,5,nose,SHG,Shangarh,Inner Seraji,35,28,2,cells/i005-SHG-pdf035.png,nak,manual-source-image,,nak,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 5, Shangarh]",silkullu1985:shg:i005:v1
wordlist cell,6,mouth,SHG,Shangarh,Inner Seraji,35,28,2,cells/i006-SHG-pdf035.png,kʰakʰ,manual-source-image,,khakh,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 6, Shangarh]",silkullu1985:shg:i006:v1
wordlist cell,7,arm,SHG,Shangarh,Inner Seraji,35,28,2,cells/i007-SHG-pdf035.png,ba,manual-source-image,,,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 7, Shangarh]",silkullu1985:shg:i007:v1
wordlist cell,8,palm,SHG,Shangarh,Inner Seraji,35,28,2,cells/i008-SHG-pdf035.png,tʰəɳaːl,manual-source-image,,tana:(,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 8, Shangarh]",silkullu1985:shg:i008:v1
wordlist cell,9,finger,SHG,Shangarh,Inner Seraji,35,28,2,cells/i009-SHG-pdf035.png,gatʰi,manual-source-image,,gathi,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 9, Shangarh]",silkullu1985:shg:i009:v1
wordlist cell,10,belly,SHG,Shangarh,Inner Seraji,35,28,2,cells/i010-SHG-pdf035.png,ˈdʌɳɖə,manual-source-image,,eheyb.,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 10, Shangarh]",silkullu1985:shg:i010:v1
wordlist cell,11,leg,SHG,Shangarh,Inner Seraji,35,28,2,cells/i011-SHG-pdf035.png,latʰ / dʒoŋg,manual-source-image,,lath/t3ong,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 11, Shangarh]",silkullu1985:shg:i011:v1|silkullu1985:shg:i011:v2
wordlist cell,12,foot,SHG,Shangarh,Inner Seraji,35,28,2,cells/i012-SHG-pdf035.png,dʒəŋg,manual-source-image,,d3ong,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 12, Shangarh]",silkullu1985:shg:i012:v1
wordlist cell,13,skin,SHG,Shangarh,Inner Seraji,35,28,2,cells/i013-SHG-pdf035.png,kaːl,manual-source-image,,ka:l,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 13, Shangarh]",silkullu1985:shg:i013:v1
wordlist cell,14,bone,SHG,Shangarh,Inner Seraji,35,28,2,cells/i014-SHG-pdf035.png,həɖokə,manual-source-image,,hasaks,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 14, Shangarh]",silkullu1985:shg:i014:v1
wordlist cell,15,blood,SHG,Shangarh,Inner Seraji,35,28,2,cells/i015-SHG-pdf035.png,loː,manual-source-image,,"10""",installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 15, Shangarh]",silkullu1985:shg:i015:v1
wordlist cell,16,bangle,SHG,Shangarh,Inner Seraji,35,28,2,cells/i016-SHG-pdf035.png,bəŋgə,manual-source-image,,brng^,installed,,kul,sil-kullu-1985-shangarh,"blair2021kullu[Appendix C, printed p. 28, item 16, Shangarh]",silkullu1985:shg:i016:v1
wordlist cell,1,body,MAN,Manali,Kullui,36,29,3,cells/i001-MAN-pdf036.png,ˈdʒɪsəm,manual-source-image,,'dzisam,installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 1, Manali]",silkullu1985:man:i001:v1
wordlist cell,2,head,MAN,Manali,Kullui,36,29,3,cells/i002-MAN-pdf036.png,ˈsɪr,manual-source-image,,і 2. 'sIs,installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 2, Manali]",silkullu1985:man:i002:v1
wordlist cell,3,face,MAN,Manali,Kullui,36,29,3,cells/i003-MAN-pdf036.png,ˈmũː,manual-source-image,,'тũ,installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 3, Manali]",silkullu1985:man:i003:v1
wordlist cell,4,eye,MAN,Manali,Kullui,36,29,3,cells/i004-MAN-pdf036.png,ˈ(h)otʃi,manual-source-image,,(n)otshi,installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 4, Manali]",silkullu1985:man:i004:v1
wordlist cell,5,nose,MAN,Manali,Kullui,36,29,3,cells/i005-MAN-pdf036.png,ˈnaːk,manual-source-image,,'na:k,installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 5, Manali]",silkullu1985:man:i005:v1
wordlist cell,6,mouth,MAN,Manali,Kullui,36,29,3,cells/i006-MAN-pdf036.png,ˈmũː,manual-source-image,,6. 'mũ,installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 6, Manali]",silkullu1985:man:i006:v1
wordlist cell,7,arm,MAN,Manali,Kullui,36,29,3,cells/i007-MAN-pdf036.png,ˈhoːtʰ,manual-source-image,,7. 'ho :th,installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 7, Manali]",silkullu1985:man:i007:v1
wordlist cell,8,palm,MAN,Manali,Kullui,36,29,3,cells/i008-MAN-pdf036.png,ˈhoːtʰ,manual-source-image,,8. 'ho:t4,installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 8, Manali]",silkullu1985:man:i008:v1
wordlist cell,9,finger,MAN,Manali,Kullui,36,29,3,cells/i009-MAN-pdf036.png,ˈguːtʰi,manual-source-image,,9. gu: thi,installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 9, Manali]",silkullu1985:man:i009:v1
wordlist cell,10,belly,MAN,Manali,Kullui,36,29,3,cells/i010-MAN-pdf036.png,ˈpeːtʰə,manual-source-image,,10. pe tha,installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 10, Manali]",silkullu1985:man:i010:v1
wordlist cell,11,leg,MAN,Manali,Kullui,36,29,3,cells/i011-MAN-pdf036.png,ˈdʒəŋg,manual-source-image,,'dzang,installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 11, Manali]",silkullu1985:man:i011:v1
wordlist cell,12,foot,MAN,Manali,Kullui,36,29,3,cells/i012-MAN-pdf036.png,dʒoŋg,manual-source-image,,"12. Биотор, 37.",installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 12, Manali]",silkullu1985:man:i012:v1
wordlist cell,13,skin,MAN,Manali,Kullui,36,29,3,cells/i013-MAN-pdf036.png,ˈtʃʌmbəɖi,manual-source-image,,"13. ""tşombdi",installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 13, Manali]",silkullu1985:man:i013:v1
wordlist cell,14,bone,MAN,Manali,Kullui,36,29,3,cells/i014-MAN-pdf036.png,ˈhəɖiː,manual-source-image,,14. ! реч,installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 14, Manali]",silkullu1985:man:i014:v1
wordlist cell,15,blood,MAN,Manali,Kullui,36,29,3,cells/i015-MAN-pdf036.png,ˈloːhu,manual-source-image,,"15. lo""hu",installed,,kul,sil-kullu-1985-manali,"blair2021kullu[Appendix C, printed p. 29, item 15, Manali]",silkullu1985:man:i015:v1
