Action,Entry_Key,PDF_Page,Printed_Page,Entry,Form,POS,Definition,Locator,Reason
replace,ghatage-kasargod1970:p154:e20,162,154,20,pa:kɨ,N.,wing.,p. 154 entry 20,Removed a spurious OCR prefix and recovered the final vowel.
replace,ghatage-kasargod1970:p154:e34,162,154,34,pa:laki,N.,palanquin.,p. 154 entry 34,Removed reverse-page bleed after comparison with the source image.
replace,ghatage-kasargod1970:p154:e37,162,154,37,pikasɨ,N.,pick axe.,p. 154 entry 37,Removed reverse-page bleed and recovered the final central vowel.
replace,ghatage-kasargod1970:p154:e38,162,154,38,pikɛ ~ pi:kɛ,Adj.,ripe.,p. 154 entry 38,Recovered both printed alternatives and removed bleed-through.
replace,ghatage-kasargod1970:p155:e23,163,155,23,pu:rɨ,V.,to bury.,p. 155 entry 23,Separated a following headless OCR line from this definition.
add,ghatage-kasargod1970:p155:manual:pu-ra,163,155,24,pu:ra,,"all, full.",p. 155 between OCR entries 23 and 24,Recovered a printed entry whose head was missed while its gloss merged into the preceding row.
replace,ghatage-kasargod1970:p155:e26,163,155,26,peṭou,V.,"to burn, to light.",p. 155 entry 26,Recovered a head that OCR omitted completely.
replace,ghatage-kasargod1970:p155:e31,163,155,31,pɛu,V.,"to float, to swim.",p. 155 entry 31,Recovered a head that OCR omitted completely.
replace,ghatage-kasargod1970:p155:e34,163,155,34,pɛ:ṇṭɛ,N.,bazar.,p. 155 entry 34,Recovered a head that OCR omitted completely.
replace,ghatage-kasargod1970:p156:e28,164,156,28,bəjji,F.,a preparation.,p. 156 entry 28,Corrected an OCR breve-for-j confusion.
replace,ghatage-kasargod1970:p157:e37,165,157,37,ba:veli,N.,bat.,p. 157 entry 37,Removed a spurious prefix and reverse-page bleed.
replace,ghatage-kasargod1970:p158:e4,166,158,4,bittəlɨ,N.,fence.,p. 158 entry 4,Corrected an OCR thorn-for-b confusion and recovered the final vowel.
replace,ghatage-kasargod1970:p158:e5,166,158,5,bitturu,,"in, inside.",p. 158 entry 5,Corrected an OCR thorn-for-b confusion.
replace,ghatage-kasargod1970:p158:e21,166,158,21,buŋka ~ bu:ŋka,F.,land.,p. 158 entry 21,Recovered the velar nasal in both alternatives.
replace,ghatage-kasargod1970:p158:e28,166,158,28,bu:ŋka,F.,"land, earth.",p. 158 entry 28,Recovered the velar nasal from the source image.
replace,ghatage-kasargod1970:p159:e2,167,159,2,be:ŋkrɛ,N.,black-buck.,p. 159 entry 2,Removed reverse-page bleed and recovered the velar nasal and low front vowel.
replace,ghatage-kasargod1970:p159:e18,167,159,18,bo:rɨ,V.,to fill.,p. 159 entry 18,Recovered the central high vowel and POS.
replace,ghatage-kasargod1970:p159:e28,167,159,28,mədəpɨ,V.,to fold.,p. 159 entry 28,Separated a following headless OCR line from this definition.
add,ghatage-kasargod1970:p159:manual:madi,167,159,29,mədi,,middle.,p. 159 between OCR entries 28 and 29,Recovered a printed entry whose head was missed while its gloss merged into the preceding row.
replace,ghatage-kasargod1970:p159:e33,167,159,33,maggo,M.,weaving machine.,p. 159 entry 33,Recovered a head that OCR omitted completely.
replace,ghatage-kasargod1970:p159:e35,167,159,35,magtə,M.,beggar.,p. 159 entry 35,Removed a spurious prefix and reverse-page bleed.
replace,ghatage-kasargod1970:p161:e37,169,161,37,medulu,N.,brain.,p. 161 entry 37,Removed a spurious prefix and reverse-page bleed.
replace,ghatage-kasargod1970:p162:e14,170,162,14,mo:də ~ mə:də,M.,cloud.,p. 162 entry 14,Recovered the complete second printed alternative.
replace,ghatage-kasargod1970:p163:e36,171,163,36,lo:hə,N.,metal.,p. 163 entry 36,Removed a spurious initial vowel and reverse-page bleed.
replace,ghatage-kasargod1970:p166:e9,174,166,9,səri:rɨ,N.,body.,p. 166 entry 9,Removed reverse-page bleed and recovered the final central high vowel.
replace,ghatage-kasargod1970:p166:e17,174,166,17,sɨrtɨ kərɨ,V.,to straighten.,p. 166 entry 17,Removed bleed-through and recovered the source vowel qualities.
replace,ghatage-kasargod1970:p166:e20,174,166,20,saŋkə,M.,bridge.,p. 166 entry 20,Removed reverse-page bleed and recovered the velar nasal.
replace,ghatage-kasargod1970:p166:e23,174,166,23,saŋčari,,in the evening.,p. 166 entry 23,Removed reverse-page bleed and recovered the velar nasal.
replace,ghatage-kasargod1970:p166:e33,174,166,33,sa:ŋgɨ,V.,to tell.,p. 166 entry 33,Removed reverse-page bleed and recovered the velar nasal and final vowel.
replace,ghatage-kasargod1970:p166:e36,174,166,36,sa:ñjɨ,M.,evening.,p. 166 entry 36,Removed reverse-page bleed and recovered the palatal nasal and final vowel.
replace,ghatage-kasargod1970:p166:e38,174,166,38,sa:bəṇu,M.,soap.,p. 166 entry 38,Removed reverse-page bleed and restored the retroflex nasal.
replace,ghatage-kasargod1970:p167:e30,175,167,30,suru kərɨ,V.,to begin.,p. 167 entry 30,Removed reverse-page bleed and recovered the final central high vowel.
replace,ghatage-kasargod1970:p167:e38,175,167,38,su:li,N.,whirlpool.,p. 167 entry 38,Removed a leaked POS marker from the head.
replace,ghatage-kasargod1970:p168:e9,176,168,9,soččɛ,Adj.,clean.,p. 168 entry 9,Recovered the final low front vowel.
replace,ghatage-kasargod1970:p139:e27,147,139,27,u:ṭɨ,V.,to rise.,p. 139 entry 27,Recovered a head whose letters were completely misclassified by OCR.
replace,ghatage-kasargod1970:p141:e30,149,141,30,ka:pɨ,V.,"to reap, to cut.",p. 141 entry 30,Recovered a head whose letters were completely misclassified by OCR.
replace,ghatage-kasargod1970:p144:e34,152,144,34,gi:lɨ,V.,to swallow.,p. 144 entry 34,Separated the POS from the head and recovered the central high vowel.
replace,ghatage-kasargod1970:p145:e38,153,145,38,čəvkkə,M.,handkerchief.,p. 145 entry 38,Recovered a head whose letters were completely misclassified by OCR.
replace,ghatage-kasargod1970:p147:e12,155,147,12,ǰəbku,,whip.,p. 147 entry 12,Recovered the source palatal affricate and removed entry punctuation.
replace,ghatage-kasargod1970:p147:e13,155,147,13,ǰəmkena,N.,"carpet, rug.",p. 147 entry 13,Recovered the source palatal affricate.
replace,ghatage-kasargod1970:p147:e14,155,147,14,ǰage kə:rɨ,V.,to wake up.,p. 147 entry 14,Recovered the source palatal affricate and final central vowel.
replace,ghatage-kasargod1970:p147:e24,155,147,24,ǰa:ŋgɨ,N.,"thigh, hip.",p. 147 entry 24,Separated a leaked POS and recovered the velar nasal.
replace,ghatage-kasargod1970:p147:e26,155,147,26,ǰa:tɨ,F.,caste.,p. 147 entry 26,Recovered a head and POS severely distorted by OCR.
replace,ghatage-kasargod1970:p147:e30,155,147,30,ǰiledomru,N.,window.,p. 147 entry 30,Recovered the source palatal affricate.
replace,ghatage-kasargod1970:p147:e32,155,147,32,ǰi:dɛ,N.,hood of a cobra.,p. 147 entry 32,Separated a leaked POS and recovered the source vowels.
replace,ghatage-kasargod1970:p147:e33,155,147,33,ǰi:bi,F.,tongue.,p. 147 entry 33,Separated a leaked POS and recovered the source palatal affricate.
replace,ghatage-kasargod1970:p147:e36,155,147,36,ǰi:vənɨ,Adj.,alive.,p. 147 entry 36,Recovered the source palatal affricate and final central vowel.
replace,ghatage-kasargod1970:p147:e38,155,147,38,ǰune ~ ǰuṇɛ,Adj.,old.,p. 147 entry 38,Recovered both printed alternatives.
replace,ghatage-kasargod1970:p148:e5,156,148,5,ǰoiśə,M.,astrologer.,p. 148 entry 5,Recovered the source palatal affricate and final schwa.
replace,ghatage-kasargod1970:p148:e8,156,148,8,ǰo:rɨ,Adj.,brave.,p. 148 entry 8,Recovered the source palatal affricate and final central vowel.
replace,ghatage-kasargod1970:p148:e11,156,148,11,ǰo:lɛ,N.,saliva.,p. 148 entry 11,Recovered the source palatal affricate and low front vowel.
replace,ghatage-kasargod1970:p149:e24,157,149,24,tã:ŋkɨ,V.,to throw.,p. 149 entry 24,Recovered a head whose letters were completely misclassified by OCR.
replace,ghatage-kasargod1970:p153:e17,161,153,17,nə:ṭə,,aim.,p. 153 entry 17,Recovered a head whose letters were completely misclassified by OCR.
replace,ghatage-kasargod1970:p154:e21,162,154,21,pa:kɨ ǰo:ḍɨ,V.,to flutter.,p. 154 entry 21,Recovered the source affricate and retroflex stop.
replace,ghatage-kasargod1970:p155:e14,163,155,14,pude ǰa,V.,to lead.,p. 155 entry 14,Recovered the source palatal affricate.
replace,ghatage-kasargod1970:p157:e9,165,157,9,bandou,V.,to build.,p. 157 entry 9,Recovered a POS misread as a capital Y.
replace,ghatage-kasargod1970:p157:e29,165,157,29,ba:ndɨ,V.,"to tie, to build.",p. 157 entry 29,Recovered a POS misread as a capital Y and the final central vowel.
replace,ghatage-kasargod1970:p158:e15,166,158,15,bi,V.,to fear.,p. 158 entry 15,Recovered a head and POS whose characters were joined by OCR.
replace,ghatage-kasargod1970:p160:e32,168,160,32,ma:lɨ,V.,to wreathe (flowers).,p. 160 entry 32,Removed a spurious initial capital and recovered the final vowel.
replace,ghatage-kasargod1970:p160:e35,168,160,35,miŋge ~ miŋgɛ,,afterwards then.,p. 160 entry 35,Recovered the velar nasal and both printed alternatives.
replace,ghatage-kasargod1970:p163:e6,171,163,6,rə:kɨ,V.,to wait.,p. 163 entry 6,Recovered a head whose letters were completely misclassified by OCR.
replace,ghatage-kasargod1970:p165:e35,173,165,35,sənvarɨ,,Saturday.,p. 165 entry 35,Removed a spurious prefix and recovered the final central vowel.
replace,ghatage-kasargod1970:p167:e3,175,167,3,sa:su,F.,mother-in-law.,p. 167 entry 3,Recovered a head and POS obscured by reverse-page bleed.
replace,ghatage-kasargod1970:p167:e11,175,167,11,si:ŋkɨ,V.,to learn.,p. 167 entry 11,Recovered the velar nasal and final central vowel.
replace,ghatage-kasargod1970:p137:e37,145,137,37,a:dne de:sɨ,V.,to order.,p. 137 entry 37,Seeded audit correction of the final central high vowel.
replace,ghatage-kasargod1970:p138:e35,146,138,35,uḍu,N.,iguana.,p. 138 entry 35,Seeded audit correction of the retroflex stop.
replace,ghatage-kasargod1970:p140:e10,148,140,10,kərgəlɛ,N.,bangle.,p. 140 entry 10,Seeded audit correction of the final low front vowel.
replace,ghatage-kasargod1970:p140:e18,148,140,18,kə:lɨ,Adv.,yesterday.,p. 140 entry 18,Seeded audit correction of the final central high vowel.
replace,ghatage-kasargod1970:p142:e10,150,142,10,kuṭou,V.,to gather.,p. 142 entry 10,Seeded audit recovery of an omitted retroflex stop.
replace,ghatage-kasargod1970:p144:e5,152,144,5,gəṇṭɛ,N.,bell.,p. 144 entry 5,Seeded audit recovery of source vowel and consonant diacritics.
replace,ghatage-kasargod1970:p148:e7,156,148,7,ǰo:ḍɨ,V.,"to thrash, to beat.",p. 148 entry 7,Seeded audit recovery of the source affricate retroflex stop and final vowel.
replace,ghatage-kasargod1970:p150:e24,158,150,24,tə:ṇḍɨ pəsərɨ,V.,to yawn.,p. 150 entry 24,Seeded audit recovery of source vowel and consonant distinctions.
replace,ghatage-kasargod1970:p152:e19,160,152,19,naysɛ kə:rɨ,V.,to destroy.,p. 152 entry 19,Seeded audit recovery of source vowel distinctions.
replace,ghatage-kasargod1970:p156:e37,164,156,37,bəssɨ,N.,bus.,p. 156 entry 37,Seeded audit correction of both head and gloss OCR.
replace,ghatage-kasargod1970:p163:e21,171,163,21,reḍə,M.,buffalo.,p. 163 entry 21,Seeded audit correction of the retroflex stop and final schwa.
replace,ghatage-kasargod1970:p166:e12,174,166,12,səvkkɛ kə:rɨ,V.,to cure.,p. 166 entry 12,Seeded audit recovery of source vowels and spacing.
replace,ghatage-kasargod1970:p166:e14,174,166,14,sɨttɨ,,truth.,p. 166 entry 14,Seeded audit correction of two central high vowels.
replace,ghatage-kasargod1970:p167:e13,175,167,13,si:ŋki,V.,to sneeze.,p. 167 entry 13,Seeded audit recovery of the velar nasal.
replace,ghatage-kasargod1970:p136:e6,144,136,6,ɨ:stɨ,N.,elephant.,p. 136 entry 6,Recovered the contrastive central high vowels from the source image.
replace,ghatage-kasargod1970:p138:e6,146,138,6,ã:stɨ,V.,"to smile, laugh.",p. 138 entry 6,Recovered nasalization and the final central high vowel.
replace,ghatage-kasargod1970:p140:e38,148,140,38,kannaḍəka,N.,mirror.,p. 140 entry 38,Recovered the retroflex stop and schwa from the source image.
replace,ghatage-kasargod1970:p143:e3,151,143,3,kɛ̃:sɨ,M.,hair.,p. 143 entry 3,Recovered nasalization and the source vowel qualities.
replace,ghatage-kasargod1970:p144:e22,152,144,22,gã:u,N.,village.,p. 144 entry 22,Recovered the source nasalized vowel.
replace,ghatage-kasargod1970:p154:e9,162,154,9,pãyãčɛ mu:ndu,N.,foot.,p. 154 entry 9,Recovered source nasalization and removed duplicated OCR marks.
replace,ghatage-kasargod1970:p155:e25,163,155,25,pu:sɨ,V.,to wipe.,p. 155 entry 25,Recovered the source length mark and final central vowel.
replace,ghatage-kasargod1970:p162:e6,170,162,6,mɛ:ṇɨ,N.,wax.,p. 162 entry 6,Recovered source vowel quality and the retroflex nasal.
replace,ghatage-kasargod1970:p162:e20,170,162,20,mə:u,M.,honey.,p. 162 entry 20,Recovered the source central vowel.
replace,ghatage-kasargod1970:p163:e37,171,163,37,ləŋkaḍɨ,N.,iron.,p. 163 entry 37,Recovered the velar nasal retroflex stop and final central vowel.
replace,ghatage-kasargod1970:p168:e27,176,168,27,hɨ:gɨ,V.,to void excrement.,p. 168 entry 27,Recovered a head whose letters were completely misclassified by OCR.
