Snapshot_Date,Entry_Key,GUID,Letter,Page,Entry_Kind,Headword,Homograph,IPA,Part_Of_Speech,Sense_Count,Sense_Number,Gloss_English,Gloss_Hindi,Definition_Kind,Usage_Note,Semantic_Domains,Example,Example_Translation,Complex_Form_Type,Complex_Form_Parts,Variant_Of_Type,Variant_Of_Target,Variant_Of_Key,Variant_Backref_Type,Variant_Backref_Target,Cross_Reference_Type,Cross_Reference_Target,Status,Reason,Record_SHA256
2026-08-26,woods2019halbi:g005a0ea8-b217-4710-bbf0-1a9e3af571cb,g005a0ea8-b217-4710-bbf0-1a9e3af571cb,र,5,entry,राँदा,,rãda,n,1,,prepared food,खाना,definition,,5.2 Food,राँदा ऊतरालास।,You put the prepared food down (off the stove).,,,,,,,,cf; cf,राँदा बाड़ा; खोली,installed,,35d6a9c1c800191ed1ab72e3753bce52115743bb64c045c365fa704609f7719b
2026-08-26,woods2019halbi:g005d4fe9-9fa4-4572-b298-eb3d0fb9a0ab,g005d4fe9-9fa4-4572-b298-eb3d0fb9a0ab,क,6,minorentrycomplex,हीनमान करूक,,hinman kəruk,comVb,1,,to insult,अपमान करना,definition,,3.5.1.8.2 Insult,,,ph. v. of,हीनमान + करूक,,,,,,,,installed,,bf50dfbc79c9adeb7759cd5c80a7a8b6a63bf409d806970efb28a2b963c4dd1a
2026-08-26,woods2019halbi:g00602e40-4de8-40ff-9b19-f3ebf873cc1b,g00602e40-4de8-40ff-9b19-f3ebf873cc1b,ब,7,minorentrycomplex,बापूर मारूक,,bapur maruk,comVb,2,1,to have a fit,,definition,"includes people, horses, buffaloes, goats, cows, etc","2.5.6.5 Dazed, confused; 2.5.6 Symptom of disease; 2.5.6.4 Lose consciousness",,,ph. v. of,मारूक,,,,,,,,installed,,9c4318f4441744722e68415c727264ef79fd600f89863382317810595b60f2eb
2026-08-26,woods2019halbi:g00602e40-4de8-40ff-9b19-f3ebf873cc1b,g00602e40-4de8-40ff-9b19-f3ebf873cc1b,ब,7,minorentrycomplex,बापूर मारूक,,bapur maruk,comVb,2,2,to convulse,ऐंठना,definition,,2.5.6.1 Pain; 2.5.2 Disease,,,ph. v. of,मारूक,,,,,,,,installed,,7c1ad5e3d84361f958998fb9c9ad574a2190ee037e7f9ef32334a4f0da92cc57
2026-08-26,woods2019halbi:g0070cfe7-e9b1-4692-b1f3-e939c23d9add,g0070cfe7-e9b1-4692-b1f3-e939c23d9add,अ,3,entry,अदालत,,ədalət,n,1,,court,अदालत,definition,,6.5.1 Building,,,,,,,,,,,,installed,,26a3a9e1ab1048197d0cbbab790cba5883664669d1f2f409c717191898030c4a
2026-08-26,woods2019halbi:g00827be8-3c51-4afc-8fb5-dd58193c410c,g00827be8-3c51-4afc-8fb5-dd58193c410c,क,20,entry,केरा,,kera,n,1,,banana,केला,definition,,5.2.3.1.2 Food from fruit; 6.2.1.4.2 Growing bananas,,,,,,,,ori,कदली,,,installed,,167a2188be8a4b82ff3c862afb275341ee9be707e757b47eaaefd2358d626c6b
2026-08-26,woods2019halbi:g008fad16-b14f-460c-947e-9dc4b7c726ad,g008fad16-b14f-460c-947e-9dc4b7c726ad,ख,2,entry,खँदा,,kʰə̃da,n,1,,branch,डाली; शाखा,definition,,1.5.1 Tree; 1.5.5 Parts of a plant,,,,,,,,,,,,installed,,c659db4d0660e939ee7a09d3a64e025bfeff6a0315f7ed75049ec8c1e4e5084c
2026-08-26,woods2019halbi:g0091c2d9-9967-4f4e-859b-62a9fcabe42c,g0091c2d9-9967-4f4e-859b-62a9fcabe42c,भ,3,minorentrycomplex,भात भाती,,bʰat bʰati,cn,1,,large quantity of cooked rice; much rice,भात,definition,,5.2 Food,,,rhy. ph.,भात + ई,,,,,,,,installed,,28ae7af1406aa7c359e8816fb442d2c5e63d4462ae444eb717d46b2d54e87246
2026-08-26,woods2019halbi:g009b5210-2a78-4544-a2c2-c30017e4fe8b,g009b5210-2a78-4544-a2c2-c30017e4fe8b,अ,6,minorentrycomplex,असकान करूक,,əskan kəruk,comVb,1,,to sit tiredly,थक कर बैठ जाना,definition,,7.1.2 Sit,आऊर डँडीक असकान करला।,And for a while they rested.,ph. v. of,असकट + करूक,,,,,,,,installed,,bec9d92519b607eca1a7f69b38b8996f4f2a042ada7eba5d7104d1a6f19b6662
2026-08-26,woods2019halbi:g00a49155-2838-44bc-a4cd-a2e2aefa8a44,g00a49155-2838-44bc-a4cd-a2e2aefa8a44,ग,1,entry,गँड,,ɡə̃ɖ,n,1,,menstrual flow,मासिक धरा; माहवारी,definition,,2.2 Body functions,तूचो अएआ चो गँड के खा!,Eat your mother's menstrual flow! (obscene),,,,,,,,,,installed,,15963221b52fa94df44447427686f189a463da3864e1911e4fe21bdeabbf4737
2026-08-26,woods2019halbi:g00b49301-3fc3-48b9-8f72-8d1474fab0e7,g00b49301-3fc3-48b9-8f72-8d1474fab0e7,ऊँ,1,minorentryvariant,ऊँगा,,ũɡa,,0,,,,,,,,,,,borr. fr. Hin,ऊँदे,woods2019halbi:g55c87b54-223f-4d21-82b8-0b91b7d8a165,,,,,installed,,033b084a1b78c31b8566df18af7c347078aa01df8f121de386f9b7ee4ce6e91c
2026-08-26,woods2019halbi:g00b973c1-ecd4-415e-9de7-c38729491b68,g00b973c1-ecd4-415e-9de7-c38729491b68,ह,6,minorentrycomplex,हासी नाता,,hasi nata,cn,1,,cross-cousin relative,,definition,,4.1.9 Kinship,,,,,,,,,,,,installed,,f0186d78202717c3d3262a5e1fd20b7e58469aba6d373c803256b401b23aa0cb
2026-08-26,woods2019halbi:g00b98936-be92-4bfa-b3f5-798717b01703,g00b98936-be92-4bfa-b3f5-798717b01703,आँ,1,minorentrycomplex,पाएँ चो आँडका,,paẽ tʃo ãɖka,cn,1,,big toe,,definition,,"8.2 Big; 2.1.3.3 Finger, toe",,,comp. of,पाएँ + चो + आँडका,,,,,,,,installed,,b4758eea2dad4ced964ed2a24b93e8ac088c492f478cb031a3d4abae67e8e5d5
2026-08-26,woods2019halbi:g00c03892-d83e-49db-ac73-b29e0ea46a7c,g00c03892-d83e-49db-ac73-b29e0ea46a7c,क,6,minorentrycomplex,तगाजा करूक,,təɡadʒa kəruk,comVb,1,,to demand repayment,,definition,,6.8.4.5 Pay; 3.3.2 Request; 3.3.3.4 Insist,,,ph. v. of,करूक,,,,,,,,installed,,c9f2e132c08a86704d8e68e3d890bce71970f400cdae1e7e5f08b946d6a98720
2026-08-26,woods2019halbi:g00c23e27-e1ed-4fd5-bd69-17bfd3a978d9,g00c23e27-e1ed-4fd5-bd69-17bfd3a978d9,न,10,minorentrycomplex,नो लाक बीलडींग,,no lak bilɖĩɡ,cn,1,,large building,,definition,,,,,comp. of,बीलडींग,,,,,,,,installed,,7dd7330908a9f9df28989664286abc229143c5ac5c6c8b43608749b02375228e
2026-08-26,woods2019halbi:g00c2fb13-862c-4792-a0a1-cf9bee3093ee,g00c2fb13-862c-4792-a0a1-cf9bee3093ee,र,2,minorentryvariant,रबी मोहेमा,,rəbi mohema,,0,,,,,,,,,,,dial. var. of,रबी महेमा,woods2019halbi:g618e516e-8725-41f6-b2b7-78c475cb31c9,,,,,installed,,7850da793e711346e7febe35e7aa11bfcdbd986cb23554d7843754bee49afa5b
2026-08-26,woods2019halbi:g00d84ba9-9280-429b-87c8-0a4e76fef74e,g00d84ba9-9280-429b-87c8-0a4e76fef74e,क,6,minorentrycomplex,काल करूक,,kal kəruk,comVb,1,,to die,,definition,can use to refer to all deaths,2.6.6 Die,चार मोएना होतो के राजा काल करलो मने।,"At the time of four months passing, the king died.",ph. v. of,करूक,,,,,,,,installed,,684702bf64017dd52dfac2e94ca632f3b9046ac6712e2c24a451159e918cc798
2026-08-26,woods2019halbi:g00df300e-1a2a-4f99-9486-4153b6485d10,g00df300e-1a2a-4f99-9486-4153b6485d10,त,6,entry,तूम,,tum,ppron,1,,you,आप,definition,,9.2.3 Pronouns,,,,,,,,,,,,installed,,613c88f9a7d3de2a4cca47e54d122e26265231d88908dfa8b2e2e8f705c533b5
2026-08-26,woods2019halbi:g00f705bf-4a4a-46a0-87f9-9d60ed1845d6,g00f705bf-4a4a-46a0-87f9-9d60ed1845d6,ट,2,entry,टाईम,,ʈaim,n,1,,time,समय,definition,,8.4 Time,,,,,,,,Hin. borr.,तेम,,,installed,,4690f40478746c7ed92e01d2f6b0cff55b57ed754769757c8ee87f2982e7e05f
2026-08-26,woods2019halbi:g01094c22-87e4-4685-b8df-bac7d086b9d0,g01094c22-87e4-4685-b8df-bac7d086b9d0,म,21,entry,मोसहा,,mosəha,adj,1,,very greedy and hungry (masc),लालची,definition,,,,,,,,,,,,cf,खावरा,installed,,cc77b054d09f14209e2da1838802c16e2d9f1a2efb4d03e0f8898781f28a7ce1
2026-08-26,woods2019halbi:g01196b58-2987-41f2-b3bb-ded8dd2efa18,g01196b58-2987-41f2-b3bb-ded8dd2efa18,ह,6,minorentrycomplex,हींडते,,hĩɖte,adv,1,,walking; on foot,चलना,definition,,7.2.1.1 Walk,,,der. of,हींडूक + ते,,,,,,,,installed,,89745b20e0327c99efe7fb7385bcf6048dc2e77d1f77129a1f7f942c1c97b7d9
2026-08-26,woods2019halbi:g012a284d-cf92-4f31-a4ff-9e1830b737b6,g012a284d-cf92-4f31-a4ff-9e1830b737b6,अ,4,minorentrycomplex,अमरा अमरी होऊक,,əmra əmri houk,comVb,2,1,to arrive,पहुँचना,definition,,7.2.3.3.1 Arrive,नावराँगपूर आँट बजे नीकरालू आऊर जालपूत दूई बजे अम्‍रा अम्‍री होलू।,We left Nowrangpur at 8am and arrived at Jalaput at 2pm.,ph. v. of,अमरा अमरी + होऊक,,,,,,,,installed,,ff1f64da542c80e81e5ca3a2ffe8a4c75e038ebdb3dccf1bc71434aa4824022e
2026-08-26,woods2019halbi:g012a284d-cf92-4f31-a4ff-9e1830b737b6,g012a284d-cf92-4f31-a4ff-9e1830b737b6,अ,4,minorentrycomplex,अमरा अमरी होऊक,,əmra əmri houk,comVb,2,2,to become due as when a baby's birth is due,,definition,,2.6.3 Birth; 2.6.4.1 Baby,,,ph. v. of,अमरा अमरी + होऊक,,,,,,,,installed,,f16a37226010a948bd4cb0624527553061d1e7319626a804c57bd032205ebb46
2026-08-26,woods2019halbi:g012db2ba-26c3-4891-a6e9-94f5f4852549,g012db2ba-26c3-4891-a6e9-94f5f4852549,र,6,entry,रावना,,rawna,n,1,,bird type,,definition,may be a vulture,1.6.1.2 Bird,,,,,,,,,,,,installed,,e22cacc7a6c69da9fb14008fca528053916246448c7c2d28e0398cfe19d447a9
2026-08-26,woods2019halbi:g013309a3-760c-4018-a174-19e6d6dd63f0,g013309a3-760c-4018-a174-19e6d6dd63f0,न,6,minorentrycomplex,बूद नाहालो,,bud nahalo,comAdj,1,,stupid; dull; senseless,मूर्ख,definition,,3.2.1.4 Stupid; 3.5.5 Foolish talk,,,comp. of,बूद + नाहालो,,,,,,,,installed,,0d9efef1f82f2718e1fc9c9c7a4561b4dcb1097846009a5bc01dc0039b866e25
2026-08-26,woods2019halbi:g01441136-59b6-46d8-8a1e-14ff4d109131,g01441136-59b6-46d8-8a1e-14ff4d109131,प,1,minorentryvariant,पचास,,pətʃas,,0,,,,,,,,,,,borr. fr. Hin,दूई कोड़ी दस,woods2019halbi:ga73eb0f5-5727-48ba-b503-eef9b5d71bf3,,,,,installed,,e2abda84c8f2af391fb6bfa51870788b9465f8aabc535e1df81e3fff3771b9ba
2026-08-26,woods2019halbi:g014b7a54-3605-4ae5-93dc-feffaddf7b06,g014b7a54-3605-4ae5-93dc-feffaddf7b06,स,1,entry,सकड़ाऊक,,səkɽauk,cvVb,1,,to cause to make smaller,घटाना,definition,,8.1.4.3 Decrease; 9.6.2.5 Cause,चका मन के बोले सकड़ाऊआए।,They will also make the wheels get smaller (disappear?).,,,,,,,,,,installed,,71149ce2018db21b90435535b234c43ee8a7bacb5095c8cacc0bc73deb22bfb0
2026-08-26,woods2019halbi:g014c3012-63d8-43a4-8cd1-678d003a7f26,g014c3012-63d8-43a4-8cd1-678d003a7f26,अ,3,entry,अनलेक गाहना,,ənlek ɡahna,cn,1,,uncertain meaning,,definition,,,ए राजा जानू हून पोरटी रानी मन काजे अनलेक गाहना मोनान दीलो मने।,This king made a bargain on behalf of the orphan queens.,,,,,,,,,,installed,,e962328dc5f936575c4e814ae8f3b6b9f1b2c720f0d50ddbf75510a53409822c
2026-08-26,woods2019halbi:g0150cf07-f299-41d9-8346-1ddba8f31f7c,g0150cf07-f299-41d9-8346-1ddba8f31f7c,प,5,minorentrycomplex,पोरा पाटा,,pora paʈa,cn,1,,sari,,definition,,5.3 Clothing,,,comp. of,पाटा,,,,,,,,installed,,39abc590180c30af0a9dd5494f8a98597ab9b2836e912ce5370b93bd8d3094b6
2026-08-26,woods2019halbi:g0163ad61-5c9a-43b2-993f-23462934aecc,g0163ad61-5c9a-43b2-993f-23462934aecc,क,10,minorentrycomplex,दरद काचा,,dərəd katʃa,comAdj,1,,very fresh,बहुत ताज़ा,definition,especially refers to meat and paddy rice,,,,comp. of,दरद + काचा,,,,,,cf,गड़ली काचा,installed,,231e846c855f7a009cb2874cbbd29f1f10f34d80ab4c95ddf0c8e73c44b133ab
2026-08-26,woods2019halbi:g016645c1-e799-4b7b-b3a6-e31319484388,g016645c1-e799-4b7b-b3a6-e31319484388,च,9,entry,चीप,2,tʃip,adj,1,,golden,सुनहरा,definition,,1.2.2.5 Jewel; 1.2.2.3 Metal,,,,,,,,,,cf,करली,installed,,aae7ee2b2795a665ca05d06c7dedc2246de1e8c439d5e3d609dce83a7d3eb21d
2026-08-26,woods2019halbi:g01682df8-2cbf-4c47-a656-1727c8ad908d,g01682df8-2cbf-4c47-a656-1727c8ad908d,ऊ,2,minorentrycomplex,ऊचकी मारूक,,utʃki maruk,comVb,1,,to hiccough,हिचकी लेना,definition,,"2.2.2 Cough, sneeze",लेका ऊच्‍की मारलो।,The boy hiccoughed.,ph. v. of,ऊचकी + मारूक,,,,,,,,installed,,62fdddf8a6ecacd9c5bc42c987482f6955b6e72df017c0c13e432e02d7627227
2026-08-26,woods2019halbi:g016fc5f9-60b5-49ad-9323-b84a62a3ecf9,g016fc5f9-60b5-49ad-9323-b84a62a3ecf9,प,9,entry,पीऊक,,piuk,v,2,1,to drink,,definition,,,आमी मोंद पीऊक जाते रोऊँ।,We were going to drink liquor.,,,,,,,,cf,ऊपास,installed,,1e0c5a1d61afa17e0e7ef2de42e6e98694289497f75bbee29cb026c5da4ab770
2026-08-26,woods2019halbi:g016fc5f9-60b5-49ad-9323-b84a62a3ecf9,g016fc5f9-60b5-49ad-9323-b84a62a3ecf9,प,9,entry,पीऊक,,piuk,v,2,2,to smoke a cigarette,,definition,,,नेपाल देस चो बाएले पीला मोनूक जमाए सीकरेट पीऊआत।,"Nepal's women, children and men all smoke cigarettes.",,,,,,,,cf,ऊपास,installed,,c4587702de6943237964851b2ea7ab5a20601e4bf4fa2b4fe5b6bfb95e29ed6e
2026-08-26,woods2019halbi:g017c10bb-0304-4bd7-aa12-314ac9b5db48,g017c10bb-0304-4bd7-aa12-314ac9b5db48,ढ,2,minorentrycomplex,पेलना ढूटी,,pelna ɖʰuʈi,cn,1,,fish basket,,definition,,6.7.3 Carrying tool; 1.6.1.5 Fish; 6.4.5.3 Fishing equipment; 6.7.7 Container,,,comp. of,पेलना + ढूटी,,,,,,,,installed,,7371a464d35a6b12f10b0e125969e26836d0eac67b07f4852814d54d7afe3897
2026-08-26,woods2019halbi:g0183718d-198a-438d-9e1e-04dfbfbccd3b,g0183718d-198a-438d-9e1e-04dfbfbccd3b,अ,3,minorentrycomplex,एक अदली,,ek ədli,cn,1,,monetary unit; one pice,,definition,,6.8.6 Money,,,comp. of,एक + अदली,,,,,,,,installed,,cd0086ddeb2abfb2d47e4fdbbd8c003f4b555ad05e862f3a8a6afc9746343106
2026-08-26,woods2019halbi:g018f893b-ece8-4508-8759-804e485dbfe3,g018f893b-ece8-4508-8759-804e485dbfe3,ओं,1,entry,ओंडका,,õɖka,n,1,,intestines; bowels,अँतड़ी,definition,,2.1.8 Internal organs,,,,,,,,,,,,installed,,89ae5fb8b9cd76f1e6cb82d002cc2d87fe3f11b3a4cb68c13c20df0c6bc0721d
2026-08-26,woods2019halbi:g0190bedc-6de0-4cbc-9c96-effffb0c28dc,g0190bedc-6de0-4cbc-9c96-effffb0c28dc,ब,20,entry,बोजर,,bodʒər,adj,1,,hard,कड़ा; मुश्किल,definition,,"8.3.6.2 Hard, firm",,,,,,,,,,cf,बोज,installed,,c18a207d33cafa4ec4fa3b72b3b294ab10831d9073fa760a7e17a3931a083103
2026-08-26,woods2019halbi:g019ebbd8-ccbb-4fe2-814f-ed61ebd1abe4,g019ebbd8-ccbb-4fe2-814f-ed61ebd1abe4,न,3,entry,नाईक,,naik,n,1,,government official,,definition,,,,,,,,,,,,,,installed,,e171d8d7dcb6c8fa817dc1e6081b6b1c908c47917fb8207fb2acf87731a905fb
2026-08-26,woods2019halbi:g01a37b30-b8e0-48ad-870a-61174b2738e3,g01a37b30-b8e0-48ad-870a-61174b2738e3,घ,1,minorentrycomplex,घड़ घड़ूक,,ɡʰəɽ ɡʰəɽuk,comVb,1,,to flare up,,definition,as flames when a lot of timber on fire,5.5 Fire,,,ph. v. of,घड़ूक,,,,,,,,installed,,781a0d873e84bf152992f986576854464bede632887ec3182cf4db346d1a8574
2026-08-26,woods2019halbi:g01b27f4e-4aa4-4fba-9b3b-8dc6ab858634,g01b27f4e-4aa4-4fba-9b3b-8dc6ab858634,ज,11,minorentrycomplex,बीआ जोड़ा होऊक,,bia dʒoɽa houk,comVb,1,,to become married,विवाहित होना,definition,,,,,ph. v. of,बीआ जोड़ा + होऊक,,,,,,,,installed,,9ee3807ec2f59719536740d86c097df29de1a3768a22823e5c7213c9925887ab
2026-08-26,woods2019halbi:g01b546bc-080b-4b0a-b8c2-3f5f74e3de55,g01b546bc-080b-4b0a-b8c2-3f5f74e3de55,ब,19,entry,बेसरा,,besra,n,2,1,bird name,,definition,,1.6.1.2 Bird,,,,,,,,,,,,installed,,59eaf5b0f98261c1ef425a6e6fd54fe59e038e282546f363cb245aee420709dd
2026-08-26,woods2019halbi:g01b546bc-080b-4b0a-b8c2-3f5f74e3de55,g01b546bc-080b-4b0a-b8c2-3f5f74e3de55,ब,19,entry,बेसरा,,besra,n,2,2,totem name,,definition,,,,,,,,,,,,,,installed,,04ced615c849d727b18fb9e604659107733b2b7d9ba28f0b9865e50034b11375
2026-08-26,woods2019halbi:g01cbd303-0c53-4f69-881e-e39f1752e37c,g01cbd303-0c53-4f69-881e-e39f1752e37c,क,18,minorentrycomplex,कूड़ही पान,,kuɽhi pan,cn,1,,a leaf type,,definition,"used when eating the new rice, has small white flowers but no smell",1.5.5 Parts of a plant,,,comp. of,पान,,,,,,cf,कूड़ीई पान,installed,,9c3e1a6000bbf3a0e3a77407e1a497d2e6ad63414f78f07ade30827709170f35
2026-08-26,woods2019halbi:g01cd651b-22c2-4e2f-9403-524e91c391ff,g01cd651b-22c2-4e2f-9403-524e91c391ff,क,5,entry,करपन,,kərpən,n,1,,cave,गुफा,definition,,1.2.1.5 Underground,,,,,,,,,,cf,भील,installed,,593c8a0749e42858daea6e3e08ad8a1b1b10769ee569bc888488462308f6c684
2026-08-26,woods2019halbi:g01d149ef-6710-435f-80a8-4c9612413fe6,g01d149ef-6710-435f-80a8-4c9612413fe6,ज,3,minorentrycomplex,जर मूँड पोड़ूक,,dʒər mũɖ poɽuk,comVb,1,,to get fever and headaches; to have fever with headaches,,definition,,2.5.6.2 Fever; 2.5.6.1 Pain; 2.5.1 Sick; 2.5.2 Disease,,,ph. v. of,जर मूँड + पोड़ूक,,,,,,,,installed,,ff712a0728737dc005081871fd6ae41725e913bca47f6a851b72e4627259e778
2026-08-26,woods2019halbi:g01d20fb0-d673-4785-acd5-2cb2b79d2011,g01d20fb0-d673-4785-acd5-2cb2b79d2011,क,22,entry,कोगरी,,koɖri,n,1,,cheetal deer; deer type,अक्ष हिरण; चीतल हिरण,definition,small red-spotted without horns and about the size of a goat,1.6.1 Types of animals,,,,,,,,,,,,installed,,dd1262d8652edecab518ab50b30fa1cb85cc4775d2ed3b864f64d8b156d2ae92
2026-08-26,woods2019halbi:g01f68e88-b8f9-461d-9d7b-868ef533672d,g01f68e88-b8f9-461d-9d7b-868ef533672d,ध,4,minorentrycomplex,बान धूर मारूक,,ban dʰur maruk,comVb,1,,to curse,शाप देना,definition,"animals, people, and inanimate things such as trees, paddy rice, etc.",,,,ph. v. of,बान धूर + मारूक,,,,,,,,installed,,be6f78b508f337cca34a07909814f6311361d37d5c263b45b8b690276544cb1e
2026-08-26,woods2019halbi:g020ea50c-7bee-4d1c-a374-dc05ffa58a45,g020ea50c-7bee-4d1c-a374-dc05ffa58a45,ल,1,minorentrycomplex,लक लक लक लक लक लखोऊक,,lək lək lək lək lək ləkʰouk,comVb,1,,to pulsate with light,रौनक से कमघटित होना,definition,,,लक लक लक लक लक लखोएसोत मने।,She is pulsating with light.,,,,,,,,,,installed,,b2a44ca598062c00f99fc8583a9e0831d222c39088f39f88a736081cbe09d576
2026-08-26,woods2019halbi:g020f8ed7-bd1c-4ad6-9f14-38ac5ab1bc4f,g020f8ed7-bd1c-4ad6-9f14-38ac5ab1bc4f,ऊ,7,entry,ऊल‍ठाऊक,,ulʈʰauk,v,4,1,to tip over,,definition,,,,,,,,,,,,,,installed,,4eab675db166ffdf0da4deb54f5302c98318e91ed80b76d98ab4f793c0a4790e
2026-08-26,woods2019halbi:g020f8ed7-bd1c-4ad6-9f14-38ac5ab1bc4f,g020f8ed7-bd1c-4ad6-9f14-38ac5ab1bc4f,ऊ,7,entry,ऊल‍ठाऊक,,ulʈʰauk,v,4,2,to return or give back a borrowed thing,,definition,,,,,,,,,,,,,,installed,,03852557b7d106a265e4f8c071f2c6925d213bbaa3837c5dbe785731217eb174
2026-08-26,woods2019halbi:g020f8ed7-bd1c-4ad6-9f14-38ac5ab1bc4f,g020f8ed7-bd1c-4ad6-9f14-38ac5ab1bc4f,ऊ,7,entry,ऊल‍ठाऊक,,ulʈʰauk,v,4,3,to remove something,,definition,,,,,,,,,,,,,,installed,,1478b427f9993d333e041781ea3e4cf06628f09a960e6eb871c1b958cd79600c
2026-08-26,woods2019halbi:g020f8ed7-bd1c-4ad6-9f14-38ac5ab1bc4f,g020f8ed7-bd1c-4ad6-9f14-38ac5ab1bc4f,ऊ,7,entry,ऊल‍ठाऊक,,ulʈʰauk,v,4,4,to demolish,,definition,,7.9.2 Tear down,,,,,,,,,,,,installed,,b5765257019817ac8a2eb12fcbb6b2c93d7173c450459ae59a0cd5635e565a5d
2026-08-26,woods2019halbi:g0217d30f-fd5d-4107-944c-8e2f09719efb,g0217d30f-fd5d-4107-944c-8e2f09719efb,फ,2,entry,फापड़ूक,,pʰapɽuk,v,2,1,to shake out,,definition,"with hands, back and forth",7.3.1.3 Shake; 7.2.2.8 Move back and forth,,,,,,,,,,,,installed,,8bb0601cf970bf1df9595f88318da17906ed257de958caec73a898f71e33bfa2
