Record_Type,Item,Gloss,Site_Code,Site_Name,Role,PDF_Page,Printed_Page,Column,Raw_Response,Similarity_Groups,Reviewed_Transcription,Manual_Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Keys
wordlist cell,1,body,PAR,Kinumun Parenga Parja,comparison control,21,16,1,4 uɾɐ,4,uɾɐ,visual-source-page,,excluded,excluded comparison control,go,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Kinumun Parenga Parja]",
wordlist cell,1,body,RON,Malenga Rona Desiya,comparison control,21,16,1,1 gɐgɔɽ,1,gɐgɔɽ,visual-source-page,,excluded,excluded comparison control,AdivasiOriya,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Malenga Rona Desiya]",
wordlist cell,1,body,ODI,Cuttack Oriya,comparison control,21,16,1,3 soɾiɾo,3,soɾiɾo,visual-source-page,,excluded,excluded comparison control,Or,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Cuttack Oriya]",
wordlist cell,2,head,BIA,Biapada U. Didayi,target,21,16,1,2 bhaha,2,bhaha,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-biapada-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Biapada U. Didayi]",silbondadidayi1997:bia:i002:v1
wordlist cell,2,head,CHI,Chitrakonda L. Didayi,target,21,16,1,2 baha,2,baha,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-chitrakonda-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Chitrakonda L. Didayi]",silbondadidayi1997:chi:i002:v1
wordlist cell,2,head,KAL,Kaluguda U. Didayi,target,21,16,1,2 bʌha,2,bʌha,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-kaluguda-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Kaluguda U. Didayi]",silbondadidayi1997:kal:i002:v1
wordlist cell,2,head,ORA,Orapadar U. Didayi,target,21,16,1,2 bhaha,2,bhaha,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-orapadar-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Orapadar U. Didayi]",silbondadidayi1997:ora:i002:v1
wordlist cell,2,head,ORI,Oringi L. Didayi,target,21,16,1,2 baha,2,baha,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-oringi-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Oringi L. Didayi]",silbondadidayi1997:ori:i002:v1
wordlist cell,2,head,RAS,Rasabeda L. Bonda,target,21,16,1,3 boːb,3,boːb,visual-source-page,,installed,,re,sil-bonda-didayi-1997-rasabeda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Rasabeda L. Bonda]",silbondadidayi1997:ras:i002:v1
wordlist cell,2,head,KEN,Kendhuguda L. Bonda,target,21,16,1,3 boː,3,boː,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kendhuguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Kendhuguda L. Bonda]",silbondadidayi1997:ken:i002:v1
wordlist cell,2,head,KAD,Kadamguda L. Bonda,target,21,16,1,3 boːb,3,boːb,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kadamguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Kadamguda L. Bonda]",silbondadidayi1997:kad:i002:v1
wordlist cell,2,head,DUM,Dumripada U. Bonda,target,21,16,1,3 boːb,3,boːb,visual-source-page,,installed,,re,sil-bonda-didayi-1997-dumripada-u-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Dumripada U. Bonda]",silbondadidayi1997:dum:i002:v1
wordlist cell,2,head,GUT,Tikrapada Gutob,comparison control,21,16,1,3 bob,3,bob,visual-source-page,,excluded,excluded comparison control,gu,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Tikrapada Gutob]",
wordlist cell,2,head,PAR,Kinumun Parenga Parja,comparison control,21,16,1,2 bɐ,2,bɐ,visual-source-page,,excluded,excluded comparison control,go,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Kinumun Parenga Parja]",
wordlist cell,2,head,RON,Malenga Rona Desiya,comparison control,21,16,1,1 muɳɖ,1,muɳɖ,visual-source-page,,excluded,excluded comparison control,AdivasiOriya,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Malenga Rona Desiya]",
wordlist cell,2,head,ODI,Cuttack Oriya,comparison control,21,16,1,1 mũnɖɔ,1,mũnɖɔ,visual-source-page,,excluded,excluded comparison control,Or,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 2, Cuttack Oriya]",
wordlist cell,3,hair,BIA,Biapada U. Didayi,target,21,16,1,2 ʊbɔ,2,ʊbɔ,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-biapada-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Biapada U. Didayi]",silbondadidayi1997:bia:i003:v1
wordlist cell,3,hair,CHI,Chitrakonda L. Didayi,target,21,16,1,2 ʊgʔbo,2,ʊgʔbo,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-chitrakonda-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Chitrakonda L. Didayi]",silbondadidayi1997:chi:i003:v1
wordlist cell,3,hair,KAL,Kaluguda U. Didayi,target,21,16,1,2 ʊbe,2,ʊbe,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-kaluguda-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Kaluguda U. Didayi]",silbondadidayi1997:kal:i003:v1
wordlist cell,3,hair,ORA,Orapadar U. Didayi,target,21,16,1,2 ʊbɔ,2,ʊbɔ,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-orapadar-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Orapadar U. Didayi]",silbondadidayi1997:ora:i003:v1
wordlist cell,3,hair,ORI,Oringi L. Didayi,target,21,16,1,2 ʊbɔ,2,ʊbɔ,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-oringi-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Oringi L. Didayi]",silbondadidayi1997:ori:i003:v1
wordlist cell,3,hair,RAS,Rasabeda L. Bonda,target,21,16,1,2 ʊkʔbo,2,ʊkʔbo,visual-source-page,,installed,,re,sil-bonda-didayi-1997-rasabeda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Rasabeda L. Bonda]",silbondadidayi1997:ras:i003:v1
wordlist cell,3,hair,KEN,Kendhuguda L. Bonda,target,21,16,1,2 ʊkʔbo,2,ʊkʔbo,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kendhuguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Kendhuguda L. Bonda]",silbondadidayi1997:ken:i003:v1
wordlist cell,3,hair,KAD,Kadamguda L. Bonda,target,21,16,1,2 ʊgʔbo,2,ʊgʔbo,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kadamguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Kadamguda L. Bonda]",silbondadidayi1997:kad:i003:v1
wordlist cell,3,hair,DUM,Dumripada U. Bonda,target,21,16,1,2 ʊgʔbo,2,ʊgʔbo,visual-source-page,,installed,,re,sil-bonda-didayi-1997-dumripada-u-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Dumripada U. Bonda]",silbondadidayi1997:dum:i003:v1
wordlist cell,3,hair,GUT,Tikrapada Gutob,comparison control,21,16,1,1 seɳɖi,1,seɳɖi,visual-source-page,,excluded,excluded comparison control,gu,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Tikrapada Gutob]",
wordlist cell,3,hair,PAR,Kinumun Parenga Parja,comparison control,21,16,1,4 tɪ̪kuɪ,4,tɪ̪kuɪ,visual-source-page,,excluded,excluded comparison control,go,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Kinumun Parenga Parja]",
wordlist cell,3,hair,RON,Malenga Rona Desiya,comparison control,21,16,1,1 tʃeɳɖɪ,1,tʃeɳɖɪ,visual-source-page,,excluded,excluded comparison control,AdivasiOriya,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Malenga Rona Desiya]",
wordlist cell,3,hair,ODI,Cuttack Oriya,comparison control,21,16,1,3 bɑlə,3,bɑlə,visual-source-page,,excluded,excluded comparison control,Or,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 3, Cuttack Oriya]",
wordlist cell,4,face,BIA,Biapada U. Didayi,target,21,16,1,1 saɾmua,1,saɾmua,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-biapada-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Biapada U. Didayi]",silbondadidayi1997:bia:i004:v1
wordlist cell,4,face,CHI,Chitrakonda L. Didayi,target,21,16,1,1 saɾmua,1,saɾmua,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-chitrakonda-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Chitrakonda L. Didayi]",silbondadidayi1997:chi:i004:v1
wordlist cell,4,face,KAL,Kaluguda U. Didayi,target,21,16,1,1 sʌɾmo,1,sʌɾmo,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-kaluguda-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Kaluguda U. Didayi]",silbondadidayi1997:kal:i004:v1
wordlist cell,4,face,ORA,Orapadar U. Didayi,target,21,16,1,1 sʌɾmo,1,sʌɾmo,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-orapadar-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Orapadar U. Didayi]",silbondadidayi1997:ora:i004:v1
wordlist cell,4,face,ORI,Oringi L. Didayi,target,21,16,1,1 saɾmua,1,saɾmua,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-oringi-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Oringi L. Didayi]",silbondadidayi1997:ori:i004:v1
wordlist cell,4,face,RAS,Rasabeda L. Bonda,target,21,16,1,1 sʌɾmo,1,sʌɾmo,visual-source-page,,installed,,re,sil-bonda-didayi-1997-rasabeda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Rasabeda L. Bonda]",silbondadidayi1997:ras:i004:v1
wordlist cell,4,face,KEN,Kendhuguda L. Bonda,target,21,16,2,1 sʌɾmo,1,sʌɾmo,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kendhuguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Kendhuguda L. Bonda]",silbondadidayi1997:ken:i004:v1
wordlist cell,4,face,KAD,Kadamguda L. Bonda,target,21,16,2,1 sʌɾmo,1,sʌɾmo,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kadamguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Kadamguda L. Bonda]",silbondadidayi1997:kad:i004:v1
wordlist cell,4,face,DUM,Dumripada U. Bonda,target,21,16,2,1 sʌɾmo,1,sʌɾmo,visual-source-page,,installed,,re,sil-bonda-didayi-1997-dumripada-u-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Dumripada U. Bonda]",silbondadidayi1997:dum:i004:v1
wordlist cell,4,face,GUT,Tikrapada Gutob,comparison control,21,16,2,1 səɾmo,1,səɾmo,visual-source-page,,excluded,excluded comparison control,gu,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Tikrapada Gutob]",
wordlist cell,4,face,PAR,Kinumun Parenga Parja,comparison control,21,16,2,2 mokʌm,2,mokʌm,visual-source-page,,excluded,excluded comparison control,go,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Kinumun Parenga Parja]",
wordlist cell,4,face,RON,Malenga Rona Desiya,comparison control,21,16,2,3 mʊ̃,3,mʊ̃,visual-source-page,,excluded,excluded comparison control,AdivasiOriya,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Malenga Rona Desiya]",
wordlist cell,4,face,ODI,Cuttack Oriya,comparison control,21,16,2,3 mũhə,3,mũhə,visual-source-page,,excluded,excluded comparison control,Or,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 4, Cuttack Oriya]",
wordlist cell,5,eye,BIA,Biapada U. Didayi,target,21,16,2,2 mʊa,2,mʊa,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-biapada-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Biapada U. Didayi]",silbondadidayi1997:bia:i005:v1
wordlist cell,5,eye,CHI,Chitrakonda L. Didayi,target,21,16,2,2 mʊa,2,mʊa,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-chitrakonda-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Chitrakonda L. Didayi]",silbondadidayi1997:chi:i005:v1
wordlist cell,5,eye,KAL,Kaluguda U. Didayi,target,21,16,2,2 moː,2,moː,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-kaluguda-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Kaluguda U. Didayi]",silbondadidayi1997:kal:i005:v1
wordlist cell,5,eye,ORA,Orapadar U. Didayi,target,21,16,2,"2 m̩õː, 3 m̩õː",2|3,m̩õː | m̩õː,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-orapadar-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Orapadar U. Didayi]",silbondadidayi1997:ora:i005:v1|silbondadidayi1997:ora:i005:v2
wordlist cell,5,eye,ORI,Oringi L. Didayi,target,21,16,2,2 mʊa,2,mʊa,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-oringi-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Oringi L. Didayi]",silbondadidayi1997:ori:i005:v1
wordlist cell,5,eye,RAS,Rasabeda L. Bonda,target,21,16,2,2 moː,2,moː,visual-source-page,,installed,,re,sil-bonda-didayi-1997-rasabeda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Rasabeda L. Bonda]",silbondadidayi1997:ras:i005:v1
wordlist cell,5,eye,KEN,Kendhuguda L. Bonda,target,21,16,2,2 mʊo,2,mʊo,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kendhuguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Kendhuguda L. Bonda]",silbondadidayi1997:ken:i005:v1
wordlist cell,5,eye,KAD,Kadamguda L. Bonda,target,21,16,2,2 moː,2,moː,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kadamguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Kadamguda L. Bonda]",silbondadidayi1997:kad:i005:v1
wordlist cell,5,eye,DUM,Dumripada U. Bonda,target,21,16,2,2 moː,2,moː,visual-source-page,,installed,,re,sil-bonda-didayi-1997-dumripada-u-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Dumripada U. Bonda]",silbondadidayi1997:dum:i005:v1
wordlist cell,5,eye,GUT,Tikrapada Gutob,comparison control,21,16,2,2 mo,2,mo,visual-source-page,,excluded,excluded comparison control,gu,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Tikrapada Gutob]",
wordlist cell,5,eye,PAR,Kinumun Parenga Parja,comparison control,21,16,2,3 mɐn,3,mɐn,visual-source-page,,excluded,excluded comparison control,go,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Kinumun Parenga Parja]",
wordlist cell,5,eye,RON,Malenga Rona Desiya,comparison control,21,16,2,1 ɐk̃ɪ,1,ɐk̃ɪ,visual-source-page,,excluded,excluded comparison control,AdivasiOriya,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Malenga Rona Desiya]",
wordlist cell,5,eye,ODI,Cuttack Oriya,comparison control,21,16,2,1 ɑkhi,1,ɑkhi,visual-source-page,,excluded,excluded comparison control,Or,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 5, Cuttack Oriya]",
wordlist cell,6,ear,BIA,Biapada U. Didayi,target,21,16,2,2 n̩lʊg̚,2,n̩lʊg̚,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-biapada-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Biapada U. Didayi]",silbondadidayi1997:bia:i006:v1
wordlist cell,6,ear,CHI,Chitrakonda L. Didayi,target,21,16,2,2 n̩lʊg̚,2,n̩lʊg̚,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-chitrakonda-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Chitrakonda L. Didayi]",silbondadidayi1997:chi:i006:v1
wordlist cell,6,ear,KAL,Kaluguda U. Didayi,target,21,16,2,2 n̩lʊg̚,2,n̩lʊg̚,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-kaluguda-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Kaluguda U. Didayi]",silbondadidayi1997:kal:i006:v1
wordlist cell,6,ear,ORA,Orapadar U. Didayi,target,21,16,2,2 n̩lʊg̚,2,n̩lʊg̚,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-orapadar-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Orapadar U. Didayi]",silbondadidayi1997:ora:i006:v1
wordlist cell,6,ear,ORI,Oringi L. Didayi,target,21,16,2,2 n̩lʊg̚,2,n̩lʊg̚,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-oringi-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Oringi L. Didayi]",silbondadidayi1997:ori:i006:v1
wordlist cell,6,ear,RAS,Rasabeda L. Bonda,target,21,16,2,5 luntu̪ɾ,5,luntu̪ɾ,visual-source-page,,installed,,re,sil-bonda-didayi-1997-rasabeda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Rasabeda L. Bonda]",silbondadidayi1997:ras:i006:v1
wordlist cell,6,ear,KEN,Kendhuguda L. Bonda,target,21,16,2,5 luntu̪ɾ,5,luntu̪ɾ,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kendhuguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Kendhuguda L. Bonda]",silbondadidayi1997:ken:i006:v1
wordlist cell,6,ear,KAD,Kadamguda L. Bonda,target,21,16,2,5 luntu̪ɾ,5,luntu̪ɾ,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kadamguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Kadamguda L. Bonda]",silbondadidayi1997:kad:i006:v1
wordlist cell,6,ear,DUM,Dumripada U. Bonda,target,21,16,2,5 luntu̪ɾ,5,luntu̪ɾ,visual-source-page,,installed,,re,sil-bonda-didayi-1997-dumripada-u-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Dumripada U. Bonda]",silbondadidayi1997:dum:i006:v1
wordlist cell,6,ear,GUT,Tikrapada Gutob,comparison control,21,16,2,3 lɪ̪ti̪ɾ,3,lɪ̪ti̪ɾ,visual-source-page,,excluded,excluded comparison control,gu,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Tikrapada Gutob]",
wordlist cell,6,ear,PAR,Kinumun Parenga Parja,comparison control,21,16,2,"2 lũ, 4 lũ, 5 lũ",2|4|5,lũ | lũ | lũ,visual-source-page,,excluded,excluded comparison control,go,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Kinumun Parenga Parja]",
wordlist cell,6,ear,RON,Malenga Rona Desiya,comparison control,21,16,2,1 kan,1,kan,visual-source-page,,excluded,excluded comparison control,AdivasiOriya,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Malenga Rona Desiya]",
wordlist cell,6,ear,ODI,Cuttack Oriya,comparison control,21,16,2,1 kɑɳo,1,kɑɳo,visual-source-page,,excluded,excluded comparison control,Or,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 6, Cuttack Oriya]",
wordlist cell,7,nose,BIA,Biapada U. Didayi,target,21,16,2,1 mu,1,mu,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-biapada-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 7, Biapada U. Didayi]",silbondadidayi1997:bia:i007:v1
wordlist cell,7,nose,CHI,Chitrakonda L. Didayi,target,21,16,2,1 mu,1,mu,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-chitrakonda-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 7, Chitrakonda L. Didayi]",silbondadidayi1997:chi:i007:v1
wordlist cell,7,nose,KAL,Kaluguda U. Didayi,target,21,16,2,1 muːi,1,muːi,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-kaluguda-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 7, Kaluguda U. Didayi]",silbondadidayi1997:kal:i007:v1
wordlist cell,7,nose,ORA,Orapadar U. Didayi,target,21,16,2,1 m̩u,1,m̩u,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-orapadar-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 7, Orapadar U. Didayi]",silbondadidayi1997:ora:i007:v1
wordlist cell,7,nose,ORI,Oringi L. Didayi,target,21,16,2,1 mu,1,mu,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-oringi-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 7, Oringi L. Didayi]",silbondadidayi1997:ori:i007:v1
wordlist cell,7,nose,RAS,Rasabeda L. Bonda,target,21,16,2,4 n̩tʃemi,4,n̩tʃemi,visual-source-page,,installed,,re,sil-bonda-didayi-1997-rasabeda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 7, Rasabeda L. Bonda]",silbondadidayi1997:ras:i007:v1
wordlist cell,7,nose,KEN,Kendhuguda L. Bonda,target,21,16,2,4 n̩tʃeʔmui,4,n̩tʃeʔmui,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kendhuguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 7, Kendhuguda L. Bonda]",silbondadidayi1997:ken:i007:v1
wordlist cell,7,nose,KAD,Kadamguda L. Bonda,target,21,16,2,4 n̩tʃemi,4,n̩tʃemi,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kadamguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 7, Kadamguda L. Bonda]",silbondadidayi1997:kad:i007:v1
wordlist cell,7,nose,DUM,Dumripada U. Bonda,target,21,16,2,4 n̩tʃemi,4,n̩tʃemi,visual-source-page,,installed,,re,sil-bonda-didayi-1997-dumripada-u-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 7, Dumripada U. Bonda]",silbondadidayi1997:dum:i007:v1
wordlist cell,7,nose,GUT,Tikrapada Gutob,comparison control,21,16,2,3 mi,3,mi,visual-source-page,,excluded,excluded comparison control,gu,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 7, Tikrapada Gutob]",
