Record_Type,Report,Printed_Page,Column,Gloss_Number,Gloss,Site_Code,Site_Name,Dialect_Group,Response,Similarity_Group,Raw_Transcription,Transcription,Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Key
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,2,sun,d,Dhonitila,Rajar Gang,1,2,bli,bɛli,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-dhonitila,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 2, Dhonitila]",silbishnupriya2008:g002:sil-bishnupriya-2008-dhonitila:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,2,sun,e,Machimpur,Rajar Gang,1,2,bli,bɛli,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-machimpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 2, Machimpur]",silbishnupriya2008:g002:sil-bishnupriya-2008-machimpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,2,sun,a,Tilakpur,Madoi Gang,1,2,bni,bɛni,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-tilakpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 2, Tilakpur]",silbishnupriya2008:g002:sil-bishnupriya-2008-tilakpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,2,sun,f,Madhapur,Madoi Gang,1,2,bni,bɛni,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-madhapur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 2, Madhapur]",silbishnupriya2008:g002:sil-bishnupriya-2008-madhapur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,3,moon,0,Standard Bangla,comparison control,1,1,ad,tʃãd,source text-layer transcript; legacy glyphs checked against page image,,excluded,standard Bangla comparison list; not Bishnupriya,,,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 3, Standard Bangla]",
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,3,moon,a,Tilakpur,Madoi Gang,1,2,dunak,dʒunak,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-tilakpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 3, Tilakpur]",silbishnupriya2008:g003:sil-bishnupriya-2008-tilakpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,3,moon,b,Soi Sri,Rajar Gang,1,2,dunak,dʒunak,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-soi-sri,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 3, Soi Sri]",silbishnupriya2008:g003:sil-bishnupriya-2008-soi-sri:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,3,moon,c,Gulerhaor,Rajar Gang,1,2,dunak,dʒunak,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-gulerhaor,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 3, Gulerhaor]",silbishnupriya2008:g003:sil-bishnupriya-2008-gulerhaor:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,3,moon,d,Dhonitila,Rajar Gang,1,2,dunak,dʒunak,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-dhonitila,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 3, Dhonitila]",silbishnupriya2008:g003:sil-bishnupriya-2008-dhonitila:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,3,moon,e,Machimpur,Rajar Gang,1,2,dunak,dʒunak,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-machimpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 3, Machimpur]",silbishnupriya2008:g003:sil-bishnupriya-2008-machimpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,3,moon,f,Madhapur,Madoi Gang,1,2,dunak,dʒunak,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-madhapur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 3, Madhapur]",silbishnupriya2008:g003:sil-bishnupriya-2008-madhapur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,4,star,0,Standard Bangla,comparison control,1,1,taa,taɾa,source text-layer transcript; legacy glyphs checked against page image,,excluded,standard Bangla comparison list; not Bishnupriya,,,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 4, Standard Bangla]",
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,4,star,a,Tilakpur,Madoi Gang,1,1,taa,taɾa,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-tilakpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 4, Tilakpur]",silbishnupriya2008:g004:sil-bishnupriya-2008-tilakpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,4,star,b,Soi Sri,Rajar Gang,1,1,taa,taɾa,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-soi-sri,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 4, Soi Sri]",silbishnupriya2008:g004:sil-bishnupriya-2008-soi-sri:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,4,star,c,Gulerhaor,Rajar Gang,1,1,taa,taɾa,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-gulerhaor,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 4, Gulerhaor]",silbishnupriya2008:g004:sil-bishnupriya-2008-gulerhaor:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,4,star,d,Dhonitila,Rajar Gang,1,1,taa,taɾa,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-dhonitila,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 4, Dhonitila]",silbishnupriya2008:g004:sil-bishnupriya-2008-dhonitila:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,4,star,e,Machimpur,Rajar Gang,1,1,taa,taɾa,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-machimpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 4, Machimpur]",silbishnupriya2008:g004:sil-bishnupriya-2008-machimpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,4,star,f,Madhapur,Madoi Gang,1,1,taa,taɾa,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-madhapur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 4, Madhapur]",silbishnupriya2008:g004:sil-bishnupriya-2008-madhapur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,5,cloud,0,Standard Bangla,comparison control,1,1,m,mɛɡʰ,source text-layer transcript; legacy glyphs checked against page image,,excluded,standard Bangla comparison list; not Bishnupriya,,,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 5, Standard Bangla]",
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,5,cloud,b,Soi Sri,Rajar Gang,1,1,m,mɛɡʰ,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-soi-sri,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 5, Soi Sri]",silbishnupriya2008:g005:sil-bishnupriya-2008-soi-sri:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,5,cloud,c,Gulerhaor,Rajar Gang,1,1,m,mɛɡʰ,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-gulerhaor,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 5, Gulerhaor]",silbishnupriya2008:g005:sil-bishnupriya-2008-gulerhaor:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,5,cloud,d,Dhonitila,Rajar Gang,1,1,m,mɛɡʰ,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-dhonitila,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 5, Dhonitila]",silbishnupriya2008:g005:sil-bishnupriya-2008-dhonitila:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,5,cloud,e,Machimpur,Rajar Gang,1,1,m,mɛɡʰ,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-machimpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 5, Machimpur]",silbishnupriya2008:g005:sil-bishnupriya-2008-machimpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,5,cloud,a,Tilakpur,Madoi Gang,1,1,m ala,mɛɡʰala,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-tilakpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 5, Tilakpur]",silbishnupriya2008:g005:sil-bishnupriya-2008-tilakpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,5,cloud,f,Madhapur,Madoi Gang,1,1,m ala,mɛɡʰala,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-madhapur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 5, Madhapur]",silbishnupriya2008:g005:sil-bishnupriya-2008-madhapur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,6,rain,0,Standard Bangla,comparison control,1,1,bri,brɪʃti,source text-layer transcript; legacy glyphs checked against page image,,excluded,standard Bangla comparison list; not Bishnupriya,,,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 6, Standard Bangla]",
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,6,rain,a,Tilakpur,Madoi Gang,1,2,boon,boɾon,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-tilakpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 6, Tilakpur]",silbishnupriya2008:g006:sil-bishnupriya-2008-tilakpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,6,rain,b,Soi Sri,Rajar Gang,1,2,boon,boɾon,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-soi-sri,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 6, Soi Sri]",silbishnupriya2008:g006:sil-bishnupriya-2008-soi-sri:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,6,rain,c,Gulerhaor,Rajar Gang,1,2,boon,boɾon,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-gulerhaor,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 6, Gulerhaor]",silbishnupriya2008:g006:sil-bishnupriya-2008-gulerhaor:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,6,rain,d,Dhonitila,Rajar Gang,1,2,boon,boɾon,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-dhonitila,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 6, Dhonitila]",silbishnupriya2008:g006:sil-bishnupriya-2008-dhonitila:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,6,rain,e,Machimpur,Rajar Gang,1,2,boon,boɾon,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-machimpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 6, Machimpur]",silbishnupriya2008:g006:sil-bishnupriya-2008-machimpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,6,rain,f,Madhapur,Madoi Gang,1,2,boon,boɾon,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-madhapur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 6, Madhapur]",silbishnupriya2008:g006:sil-bishnupriya-2008-madhapur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,7,rainbow,a,Tilakpur,Madoi Gang,1,1,d onuk,dʰonuk,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-tilakpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 7, Tilakpur]",silbishnupriya2008:g007:sil-bishnupriya-2008-tilakpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,7,rainbow,c,Gulerhaor,Rajar Gang,1,1,p nd onu,pʰɛndʰonu,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-gulerhaor,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 7, Gulerhaor]",silbishnupriya2008:g007:sil-bishnupriya-2008-gulerhaor:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,7,rainbow,e,Machimpur,Rajar Gang,1,1,p nd onu,pʰɛndʰonu,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-machimpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 7, Machimpur]",silbishnupriya2008:g007:sil-bishnupriya-2008-machimpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,7,rainbow,b,Soi Sri,Rajar Gang,1,2,ramd anu,ramdʰanu,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-soi-sri,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 7, Soi Sri]",silbishnupriya2008:g007:sil-bishnupriya-2008-soi-sri:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,7,rainbow,d,Dhonitila,Rajar Gang,1,2,ramrd onu,ramɛrdʰonu,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-dhonitila,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 7, Dhonitila]",silbishnupriya2008:g007:sil-bishnupriya-2008-dhonitila:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,7,rainbow,f,Madhapur,Madoi Gang,1,2,ramord onu,ramordʰonu,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-madhapur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 7, Madhapur]",silbishnupriya2008:g007:sil-bishnupriya-2008-madhapur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,7,rainbow,b,Soi Sri,Rajar Gang,2,3,ramd anu,ramdʰanu,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-soi-sri,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 7, Soi Sri]",silbishnupriya2008:g007:sil-bishnupriya-2008-soi-sri:i2
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,7,rainbow,0,Standard Bangla,comparison control,1,3,rd nu,rɔŋdʰɔnu,source text-layer transcript; legacy glyphs checked against page image,,excluded,standard Bangla comparison list; not Bishnupriya,,,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 7, Standard Bangla]",
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,8,wind,0,Standard Bangla,comparison control,1,1,bata,bataʃ,source text-layer transcript; legacy glyphs checked against page image,,excluded,standard Bangla comparison list; not Bishnupriya,,,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 8, Standard Bangla]",
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,8,wind,a,Tilakpur,Madoi Gang,1,2,bou,bou̯,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-tilakpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 8, Tilakpur]",silbishnupriya2008:g008:sil-bishnupriya-2008-tilakpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,8,wind,b,Soi Sri,Rajar Gang,1,2,bou,bou̯,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-soi-sri,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 8, Soi Sri]",silbishnupriya2008:g008:sil-bishnupriya-2008-soi-sri:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,8,wind,c,Gulerhaor,Rajar Gang,1,2,bou,bou̯,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-gulerhaor,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 8, Gulerhaor]",silbishnupriya2008:g008:sil-bishnupriya-2008-gulerhaor:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,8,wind,d,Dhonitila,Rajar Gang,1,2,bou,bou̯,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-dhonitila,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 8, Dhonitila]",silbishnupriya2008:g008:sil-bishnupriya-2008-dhonitila:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,8,wind,e,Machimpur,Rajar Gang,1,2,bou,bou̯,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-machimpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 8, Machimpur]",silbishnupriya2008:g008:sil-bishnupriya-2008-machimpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,8,wind,f,Madhapur,Madoi Gang,1,2,bou,bou̯,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-madhapur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 8, Madhapur]",silbishnupriya2008:g008:sil-bishnupriya-2008-madhapur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,9,lightning,0,Standard Bangla,comparison control,1,1,bddut mkano,bɪddut tʃɔmkano,source text-layer transcript; legacy glyphs checked against page image,,excluded,standard Bangla comparison list; not Bishnupriya,,,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 9, Standard Bangla]",
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,9,lightning,a,Tilakpur,Madoi Gang,1,2,dou dilkar,dou̯ dʒilkar,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-tilakpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 9, Tilakpur]",silbishnupriya2008:g009:sil-bishnupriya-2008-tilakpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,9,lightning,c,Gulerhaor,Rajar Gang,1,2,dou dilkar,dou̯ dʒilkar,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-gulerhaor,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 9, Gulerhaor]",silbishnupriya2008:g009:sil-bishnupriya-2008-gulerhaor:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,9,lightning,d,Dhonitila,Rajar Gang,1,2,dou dilkar,dou̯ dʒilkar,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-dhonitila,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 9, Dhonitila]",silbishnupriya2008:g009:sil-bishnupriya-2008-dhonitila:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,9,lightning,e,Machimpur,Rajar Gang,1,2,dou dilkar,dou̯ dʒilkar,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-machimpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 9, Machimpur]",silbishnupriya2008:g009:sil-bishnupriya-2008-machimpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,9,lightning,b,Soi Sri,Rajar Gang,1,2,dilkar,dʒilkar,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-soi-sri,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 9, Soi Sri]",silbishnupriya2008:g009:sil-bishnupriya-2008-soi-sri:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,9,lightning,f,Madhapur,Madoi Gang,1,2,dilkar,dʒilkar,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-madhapur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 9, Madhapur]",silbishnupriya2008:g009:sil-bishnupriya-2008-madhapur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,10,thunder,0,Standard Bangla,comparison control,1,1,m    don,mɛɡʰ ɡɔɹdʒon,source text-layer transcript; legacy glyphs checked against page image,,excluded,standard Bangla comparison list; not Bishnupriya,,,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 10, Standard Bangla]",
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,10,thunder,a,Tilakpur,Madoi Gang,1,2,dou dilkar,dou̯ dʒilkar,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-tilakpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 10, Tilakpur]",silbishnupriya2008:g010:sil-bishnupriya-2008-tilakpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,10,thunder,c,Gulerhaor,Rajar Gang,1,3,dn uduan,dɪn ɡudʒuɾan,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-gulerhaor,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 10, Gulerhaor]",silbishnupriya2008:g010:sil-bishnupriya-2008-gulerhaor:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,10,thunder,e,Machimpur,Rajar Gang,1,3,dn uduan,dɪn ɡudʒuɾan,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-machimpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 10, Machimpur]",silbishnupriya2008:g010:sil-bishnupriya-2008-machimpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,10,thunder,f,Madhapur,Madoi Gang,1,3,dn uduani,dɪn ɡudʒuɾani,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-madhapur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 10, Madhapur]",silbishnupriya2008:g010:sil-bishnupriya-2008-madhapur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,10,thunder,d,Dhonitila,Rajar Gang,1,3,dn udul,dɪn ɡudʒuɾɛl,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-dhonitila,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 10, Dhonitila]",silbishnupriya2008:g010:sil-bishnupriya-2008-dhonitila:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,2,10,thunder,b,Soi Sri,Rajar Gang,1,3,uduel,ɡudʒuɾel,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-soi-sri,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 10, Soi Sri]",silbishnupriya2008:g010:sil-bishnupriya-2008-soi-sri:i1
