Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Source_Language,Language_ID,SEAlang_Record,Page,Column,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Parameter_ID,Link_Status,Alignment_Method,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256,Review_Result,Material_Error
2026-08-28,munda1968proto:C:c1.p455.i86,rɛŋɡɛɟ,to hunger,Santali,sa,455,86,1,1,munda1968proto:C:c1.p455.i86,,rɛŋɡɛɟ,to hunger,pkh-455-86,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 86, SEAlang record 455]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,4c0aa8d5cf7e51f144884cfe6e744c9af5bb3cbc7fc69b9042679ca1606e9be1,pass,
2026-08-28,munda1968proto:R:c2.p551.i93,bɔɛha,brother,pre Mundari,PreMu,551,93,2,1,munda1968proto:R:c2.p551.i93,,bɔɛha,brother,pkh-551-93,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 93, SEAlang record 551]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,9b74902f46cae497b876b0bfe3244d29df1920eecaa17e33bb68165b0843fa02,pass,
2026-08-28,munda1968proto:C:c1.p204.i65,ku-k-mu,to dream,Santali,sa,204,65,1,1,munda1968proto:C:c1.p204.i65,,ku-k-mu,to dream,pkh-204-65,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 65, SEAlang record 204]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,94c30638ed46fb966f8df7a8e09ece6a76b67c195985a1348d20cff28481da4f,pass,
2026-08-28,munda1968proto:R:c2.p68.i56,itkid,to massage,pre Mundari,PreMu,68,56,2,1,munda1968proto:R:c2.p68.i56,,itkid,to massage,pkh-68-56,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 56, SEAlang record 68]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,61b003145ce2eb126017ee6b09ce4abd9f34baff0df81c9916ac97154b96cc96,pass,
2026-08-28,munda1968proto:R:c2.p720.i105,tuluɟ,to squeeze,pre Mundari,PreMu,720,105,2,1,munda1968proto:R:c2.p720.i105,,tuluɟ,to squeeze,pkh-720-105,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 105, SEAlang record 720]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,8d4ddea443af435ca0a4d5b6d6f59c7684e84aa643465f5fab00cd6cc891d22e,pass,
2026-08-28,munda1968proto:R:c3.p1043.i128-3,*rabal ~ *rawal,light,proto Kherwarian,PKher,1043,128-3,3,2,munda1968proto:R:c3.p1043.i128-3:v2,munda1968proto:R:c3.p1043.i128-3,*rawal,light,pkh-1043-128x3,linked,self,ingested,source reconstruction,"munda1968proto[p. 128-3, SEAlang record 1043]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,b4b0d39f632c8257adf1932ab93bd7cd30c07bdf91b5dcabe771bc44b6701415,pass,
2026-08-28,munda1968proto:R:c2.p369.i78,tɛŋ,to weave,pre Mundari,PreMu,369,78,2,1,munda1968proto:R:c2.p369.i78,,tɛŋ,to weave,pkh-369-78,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 78, SEAlang record 369]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,8958c77397a240f2e3d030e2facce0c8c7782d22507b97d6bdf34229cc080e1b,pass,
2026-08-28,munda1968proto:C:c1.p610.i96,sɔmbɔd,to stumble,Santali,sa,610,96,1,1,munda1968proto:C:c1.p610.i96,,sɔmbɔd,to stumble,pkh-610-96,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 96, SEAlang record 610]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,496e649545b328aecbe1406f98981e4cfde8a6ed219df2add0e8ab688e6e3102,pass,
2026-08-28,munda1968proto:R:c3.p540.i92,*kɔcɛ,slant (adjective),proto Kherwarian,PKher,540,92,3,1,munda1968proto:R:c3.p540.i92,,*kɔcɛ,slant,pkh-540-92,linked,self,ingested,source reconstruction,"munda1968proto[p. 92, SEAlang record 540]",adj,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,8d30aef57b2cf816f105b5a123dac56b63807b683efd660b1024dfd9d8bf9532,pass,
2026-08-28,munda1968proto:R:c2.p237.i68,um(b)ul,"shadow, shade",pre Mundari,PreMu,237,68,2,1,munda1968proto:R:c2.p237.i68,,um(b)ul,"shadow, shade",pkh-237-68,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 68, SEAlang record 237]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,3386b4a7cfe334c370a9cc823f9fd4fbf6cd4034f4e5253ac40711b900100fc2,pass,
