Snapshot_Date,Collation_Date,Printed_Page,PDF_Page,Column,Item,List,Letter,Raw_Headword,Raw_Grammar,Raw_Gloss_German,Raw_Etymology,Unit_Form,Unit_Relation,Status,Reason,Entry_Key,Language_ID,Tags,Gloss_English,Source_Marks,Citations,Etymon_Cited,Etymon_Status,Etymon_Candidates,Parameter_ID,Review,Record_SHA256
2026-08-25,2026-08-25,324,325,R,31,Indische Etyma,PH,phukavel,tr,verleumden,"< pk. bhukkaï < ai. bukkati ""bellen""; vgl. hi. bhūknā ""bellen""",phukavel,head,ingested,,boretzky1994romani:ind:324:R:31,eur,verb tr,to slander,,,bukkati,linked,9265,9265,,50a0aa8395f2740ee0f5dedc4a1bbcbb6559e9a903dbaf04940ef405fd890db2
2026-08-25,2026-08-25,325,326,R,41,Indische Etyma,S,"sevi; sevli, suvli (Sa)",f,Korb,"< ai. śūrpa ""Korb zum Getreideworfeln""",suvli,variant,ingested,,boretzky1994romani:ind:325:R:41:variant:3,eur,f noun alternate,basket,Sa,sampson1926welsh,śūrpa,linked,12573,12573,,a50c688098b4bac1610235c7ebd3f60b0254d9253a16fbd31362bbd0149fae47
2026-08-25,2026-08-25,327,328,L,10,Indische Etyma,T,te¹,,daß (Konjunktivpartikel),"< ai. tad ""das""; arm. the unwahrscheinlich wegen Aspiration",te,head,ingested,,boretzky1994romani:ind:327:L:10,eur,,that (subjunctive particle),,,tad,unmatched,,,homonym 1; no grammatical label,16ea08c46af3db1a051b93886630088be41048d4a9a7228f19b1c8414d393d9b
2026-08-25,2026-08-25,328,329,R,25,Indische Etyma,V,"vago (So), avgo",,erster,"zu ai. agra-?; vgl. hi. āgū ""vorwärts""",avgo,variant,ingested,,boretzky1994romani:ind:328:R:25:variant:2,eur,alternate uncertain,first,,,agra-,linked,68,68,no grammatical label,b8d31791afb47c4242b2eb6ac776f1d2ec914564119e9be92e73054bc3381968
2026-08-25,2026-08-25,330,331,R,31,Iranische Etyma,PH,phurt,f,Brücke,< pers. dial. purd,phurt,head,ingested,,boretzky1994romani:iran:330:R:31,eur,f noun,bridge,,,,no-etymon,,,,fb86d04570b84fb6c82ea3b4129e2df063f75197cfe64f357476dd734680cd33
2026-08-25,2026-08-25,332,333,R,36,Armenische Etyma,TH,thagar,m,König,"< arm. thagavor ""Kronenträger""",thagar,head,ingested,,boretzky1994romani:arm:332:R:36,eur,m noun,king,,,,no-etymon,,,,1e449d7e017b4b281b02df85e4b75aa343321a219dbe0db93ef9bde2b5a51298
2026-08-25,2026-08-25,334,335,L,20,Griechische Etyma,X,xamos,m,Streit,"vgl. gr. χαμός ""Durcheinander""; möglicherweise Verbalnomen zu xal nach balk. Vorbild, vgl. gr. τρώγεται, alb. hahet ""sich streiten""",xamos,head,ingested,,boretzky1994romani:gr:334:L:20,eur,m noun,quarrel,,,,no-etymon,,,,c9f7229a5559ecd7cabd7fd8e6408b995f0831c3b66c357dd2c9cbf1417fffa6
2026-08-25,2026-08-25,335,336,R,27,Griechische Etyma,K,kraj,m,Kornelkirsche (Frucht),< gr. κρανιά,kraj,head,ingested,,boretzky1994romani:gr:335:R:27,eur,m noun,cornelian cherry,,,,no-etymon,,,,272234dcd1b809f6a769efbdbe907be45a6eb212da726da12d14e4764cf6cdd6
2026-08-25,2026-08-25,336,337,R,29,Griechische Etyma,O,"orta, vorta",adv,"aufrecht, geradeaus, richtig","< gr. ὀρθός, adv ὀρθά",orta,head,ingested,,boretzky1994romani:gr:336:R:29,eur,adv,upright; straight ahead; correct,,,,no-etymon,,,,dd7cc1d03b9bf18fccfaa302a21845639d00088227e5f3a1958d5d6b31610fe4
2026-08-25,2026-08-25,337,338,R,34,Griechische Etyma,S,"sali f, pl salja",,Speichel,"< gr. σάλιο, pl σάλια; sali mit eigener Singularisierung",salja,variant,ingested,,boretzky1994romani:gr:337:R:34:variant:2,eur,pl noun alternate,saliva,,,,no-etymon,,,,4c88a90b2633bb411036bcf4ef4871e2511a2afc7199e5e569c4898d5f5317b7
