Sequence|Unit_ID|Region|Section|Printed_Page|Raw_Form|Raw_Phonetic|Raw_Before|Raw_Gloss|Raw_After|Raw_Context
15|s1.1:q1|prose|1.1 Vowels|5|pāpī́r|pæːˈpiːr| the main allophones of these long vowels are respectively [ æː ] ( |grand-father|), [ ɑː ] pɑ̄sṓm [ pɑː'soːm ] “at me, at my place”, [ iː ] ps|ū /, / ē / and / ō /. In plain context, the main allophones of these long vowels are respectively [ æː ] ( pāpī́r [ pæːʾpiːr ] “grand-father”), [ ɑː ] pɑ̄sṓm [ pɑːʾsoːm ] “at
16|s1.1:q2|prose|1.1 Vowels|5|pɑ̄sṓm|pɑːˈsoːm|ectively [ æː ] ( pāpī́r [ pæː'piːr ] “grand-father”), [ ɑː ] |at me, at my place|, [ iː ] psīk [ psiːk ] “cat”, [ uː ] kūkár [ kuː'kær ] “c|main allophones of these long vowels are respectively [ æː ] ( pāpī́r [ pæːʾpiːr ] “grand-father”), [ ɑː ] pɑ̄sṓm [ pɑːʾsoːm ] “at me, at my place”, [ iː ] psīk [ psiːk ] “cat”, [
17|s1.1:q3|prose|1.1 Vowels|5|psīk|psiːk|er”), [ ɑː ] pɑ̄sṓm [ pɑː'soːm ] “at me, at my place”, [ iː ] |cat|, [ uː ] kūkár [ kuː'kær ] “cock”, [ eː ] čēzə́k [ ʧeː'zək|vely [ æː ] ( pāpī́r [ pæːʾpiːr ] “grand-father”), [ ɑː ] pɑ̄sṓm [ pɑːʾsoːm ] “at me, at my place”, [ iː ] psīk [ psiːk ] “cat”, [ uː ] kūkár [ kuːʾkær ] “cock”
18|s1.1:q4|prose|1.1 Vowels|5|kūkár|kuːˈkær| ] “at me, at my place”, [ iː ] psīk [ psiːk ] “cat”, [ uː ] |cock|, [ eː ] čēzə́k [ ʧeː'zək ] “child”, [ oː ] ōšt [ oːʃt ] “|] “grand-father”), [ ɑː ] pɑ̄sṓm [ pɑːʾsoːm ] “at me, at my place”, [ iː ] psīk [ psiːk ] “cat”, [ uː ] kūkár [ kuːʾkær ] “cock”, [ eː ] čēzə́k [ ʧeːʾzək ] “child
19|s1.1:q5|prose|1.1 Vowels|5|čēzə́k|ʧeːˈzək|k [ psiːk ] “cat”, [ uː ] kūkár [ kuː'kær ] “cock”, [ eː ] |child|, [ oː ] ōšt [ oːʃt ] “lip”. The vowel / ē /, although the mai|pɑːʾsoːm ] “at me, at my place”, [ iː ] psīk [ psiːk ] “cat”, [ uː ] kūkár [ kuːʾkær ] “cock”, [ eː ] čēzə́k [ ʧeːʾzək ] “child”, [ oː ] ōšt [ oːʃt ] “lip”. The v
20|s1.1:q6|prose|1.1 Vowels|5|ōšt|oːʃt|kuː'kær ] “cock”, [ eː ] čēzə́k [ ʧeː'zək ] “child”, [ oː ] |lip|. The vowel / ē /, although the main realisation is [ eː ], was al|iː ] psīk [ psiːk ] “cat”, [ uː ] kūkár [ kuːʾkær ] “cock”, [ eː ] čēzə́k [ ʧeːʾzək ] “child”, [ oː ] ōšt [ oːʃt ] “lip”. The vowel / ē /, although the main r
21|s1.1:q7|prose|1.1 Vowels|5||ksɪː ~ kseː|n realisation is [ eː ], was also recorded [ ɪː ] in items like [ |why| and [ kɪːtæ ] (~ [ keːtæ ]) “where”. In final position, a nasalis|t ] “lip”. The vowel / ē /, although the main realisation is [ eː ], was also recorded [ ɪː ] in items like [ ksɪː ] (~[ kseː ]) “why” and [ kɪːtæ ] (~ [ keːtæ ]) “where”
22|s1.1:q8|prose|1.1 Vowels|5||kɪːtæ ~ keːtæ| recorded [ ɪː ] in items like [ ksɪː ] (~[ kseː ]) “why” and [ |where|. In final position, a nasalised reflex of / ɑ̄ / appears: tətã́ [|h the main realisation is [ eː ], was also recorded [ ɪː ] in items like [ ksɪː ] (~[ kseː ]) “why” and [ kɪːtæ ] (~ [ keːtæ ]) “where”. In final position, a nasalised reflex
23|s1.1:q9|prose|1.1 Vowels|5|tətã́|təˈtɑ̃ː|) “where”. In final position, a nasalised reflex of / ɑ̄ / appears: |he gave|, laʋrã́ [ læ'ʋrɑ̃ː ] “tree”, drōngã́ [ droːn'gɑ̃: ] “long, bi|[ kseː ]) “why” and [ kɪːtæ ] (~ [ keːtæ ]) “where”. In final position, a nasalised reflex of / ɑ̄ / appears: tətã́ [ təʾtɑ̃ː ] “he gave”, laʋrã́ [ læʾʋrɑ̃ː ] “tree”, drōng
24|s1.1:q10|prose|1.1 Vowels|5|laʋrã́|læˈʋrɑ̃ː|asalised reflex of / ɑ̄ / appears: tətã́ [ tə'tɑ̃ː ] “he gave”, |tree|, drōngã́ [ droːn'gɑ̃: ] “long, big”. This may be a pausal phenome|~ [ keːtæ ]) “where”. In final position, a nasalised reflex of / ɑ̄ / appears: tətã́ [ təʾtɑ̃ː ] “he gave”, laʋrã́ [ læʾʋrɑ̃ː ] “tree”, drōngã́ [ droːnʾgɑ̃: ] “long, big”
25|s1.1:q11|prose|1.1 Vowels|5|drōngã́|droːnˈgɑ̃:|ars: tətã́ [ tə'tɑ̃ː ] “he gave”, laʋrã́ [ læ'ʋrɑ̃ː ] “tree”, |long, big|. This may be a pausal phenomenon. This is further suggested by the be|sition, a nasalised reflex of / ɑ̄ / appears: tətã́ [ təʾtɑ̃ː ] “he gave”, laʋrã́ [ læʾʋrɑ̃ː ] “tree”, drōngã́ [ droːnʾgɑ̃: ] “long, big”. This may be a pausal phenomenon. This
26|s1.1:q12|prose|1.1 Vowels|5|sã||henomenon. This is further suggested by the behaviour of the morpheme |all|, clearly realised with nasalisation when followed by a pause: čāġēm |”, drōngã́ [ droːnʾgɑ̃: ] “long, big”. This may be a pausal phenomenon. This is further suggested by the behaviour of the morpheme sã “all”, clearly realised with nasalisation whe
27|s1.1:q13|prose|1.1 Vowels|5|čāġēm sã|ʧæːɣeːm sɑ̃ː| “all”, clearly realised with nasalisation when followed by a pause: |all my kids|; but otherwise realised [ ɑː ] when other morphological material is|ted by the behaviour of the morpheme sã “all”, clearly realised with nasalisation when followed by a pause: čāġēm sã [ ʧæːɣeːm sɑ̃ː ] “all my kids”; but otherwise realised [ ɑː ] when o
28|s1.1:q14|prose|1.1 Vowels|5|sɑ̄-ē-mā|sɑːeːmæ:|wise realised [ ɑː ] when other morphological material is suffixed: |all of us|. As far as short vowels are concerned, one finds a great deal of vari|[ ʧæːɣeːm sɑ̃ː ] “all my kids”; but otherwise realised [ ɑː ] when other morphological material is suffixed: sɑ̄-ē-mā [ sɑːeːmæ: ] “all of us”. As far as short vowels are concerned
29|s1.1:q15|prose|1.1 Vowels|5|ahlōm kərī́ ~ ahlōm krī́||is also suggested by the tendency to elision in unstressed positions: |the house of my family|, čərī́ ~ črī́ “knife”, māmōm qər “my cousin (the son of my uncle)|of phonemic contrast between short vowels is also suggested by the tendency to elision in unstressed positions: ahlōm kərī́ ~ ahlōm krī́ “the house of my family”, čərī́ ~ črī́ “knife”, māmōm qər “m
30|s1.1:q16|prose|1.1 Vowels|5|čərī́ ~ črī́||essed positions: ahlōm kərī́ ~ ahlōm krī́ “the house of my family”, |knife|, māmōm qər “my cousin (the son of my uncle)” but qr-ōm “my son”. |s is also suggested by the tendency to elision in unstressed positions: ahlōm kərī́ ~ ahlōm krī́ “the house of my family”, čərī́ ~ črī́ “knife”, māmōm qər “my cousin (the son of my
31|s1.1:q17|prose|1.1 Vowels|5|māmōm qər||kərī́ ~ ahlōm krī́ “the house of my family”, čərī́ ~ črī́ “knife”, |my cousin (the son of my uncle)| but qr-ōm “my son”. One may posit a symmetrical system of long and |y the tendency to elision in unstressed positions: ahlōm kərī́ ~ ahlōm krī́ “the house of my family”, čərī́ ~ črī́ “knife”, māmōm qər “my cousin (the son of my uncle)” but qr-ōm “my son”. One may posit a s
32|s1.1:q18|prose|1.1 Vowels|5|qr-ōm||ī́ ~ črī́ “knife”, māmōm qər “my cousin (the son of my uncle)” but |my son|. One may posit a symmetrical system of long and short vowels and reco|ons: ahlōm kərī́ ~ ahlōm krī́ “the house of my family”, čərī́ ~ črī́ “knife”, māmōm qər “my cousin (the son of my uncle)” but qr-ōm “my son”. One may posit a symmetrical system of
33|s1.1:q19|prose|1.1 Vowels|5||manˈʊs|ing some of the items given by Matras (1999:9) in I.P.A.: Jerusalem [ |person| vs. Aleppo [ mə'nəs ] “husband”, Jerusalem [ lakʌ'dom, laka'dom, l|ʉ ] and [ ɵ ]. This is further exemplified when comparing some of the items given by Matras (1999:9) in I.P.A.: Jerusalem [ manʾʊs ] “person” vs. Aleppo [ məʾnəs ] “husband”, Jeru
34|s1.1:q20|prose|1.1 Vowels|5||məˈnəs|tras (1999:9) in I.P.A.: Jerusalem [ man'ʊs ] “person” vs. Aleppo [ |husband|, Jerusalem [ lakʌ'dom, laka'dom, lake'dom ] “I saw” vs. Aleppo [ l|er exemplified when comparing some of the items given by Matras (1999:9) in I.P.A.: Jerusalem [ manʾʊs ] “person” vs. Aleppo [ məʾnəs ] “husband”, Jerusalem [ lakʌʾdom, lakaʾdom, lakeʾ
35|s1.1:q21|prose|1.1 Vowels|5||lakʌˈdom, lakaˈdom, lakeˈdom| [ man'ʊs ] “person” vs. Aleppo [ mə'nəs ] “husband”, Jerusalem [ |I saw| vs. Aleppo [ lakər'doːm ~ dakǝrdoːm ] “I saw ~ I found”. The vowel |Matras (1999:9) in I.P.A.: Jerusalem [ manʾʊs ] “person” vs. Aleppo [ məʾnəs ] “husband”, Jerusalem [ lakʌʾdom, lakaʾdom, lakeʾdom ] “I saw” vs. Aleppo [ lakərʾdoːm ~ dakǝrdoːm ]
36|s1.1:q22|prose|1.1 Vowels|5||lakərˈdoːm ~ dakǝrdoːm|d”, Jerusalem [ lakʌ'dom, laka'dom, lake'dom ] “I saw” vs. Aleppo [ |I saw ~ I found|. The vowel [ ɨ ] was mostly recorded in final stressed closed sylla|] “person” vs. Aleppo [ məʾnəs ] “husband”, Jerusalem [ lakʌʾdom, lakaʾdom, lakeʾdom ] “I saw” vs. Aleppo [ lakərʾdoːm ~ dakǝrdoːm ] “I saw ~ I found”. The vowel [ ɨ ] was mostly recorded
37|s1.1:q23|prose|1.1 Vowels|5|kō wāṭ-əs|koː wɑːˈt̴ɨs|vowel [ ɨ ] was mostly recorded in final stressed closed syllables: |throw the stone|, štāl čēsk-əs [ ʃtæːl ʧeːs'kɨs ] “lift the boy!”; and also in loa|~ dakǝrdoːm ] “I saw ~ I found”. The vowel [ ɨ ] was mostly recorded in final stressed closed syllables: kō wāṭ-əs [ koː wɑːʾt̴ɨs ] “throw the stone”, štāl čēsk-əs [ ʃtæːl ʧeːsʾkɨs ] “l
38|s1.1:q24|prose|1.1 Vowels|5|štāl čēsk-əs|ʃtæːl ʧeːsˈkɨs|d closed syllables: kō wāṭ-əs [ koː wɑː't̴ɨs ] “throw the stone”, |lift the boy!|; and also in loans from Turkish: yēldəz [ jeːl'dɨz ] “star” (< Tu|s mostly recorded in final stressed closed syllables: kō wāṭ-əs [ koː wɑːʾt̴ɨs ] “throw the stone”, štāl čēsk-əs [ ʃtæːl ʧeːsʾkɨs ] “lift the boy!”; and also in loans from Turkish: yēldə
39|s1.1:q25|prose|1.1 Vowels|5|yēldəz|jeːlˈdɨz|[ ʃtæːl ʧeːs'kɨs ] “lift the boy!”; and also in loans from Turkish: |star| (< Turkish yɪldɪz “star”). Central rounded realisations were also r|wɑːʾt̴ɨs ] “throw the stone”, štāl čēsk-əs [ ʃtæːl ʧeːsʾkɨs ] “lift the boy!”; and also in loans from Turkish: yēldəz [ jeːlʾdɨz ] “star” (< Turkish yɪldɪz “star”). Central ro
40|s1.1:q26|prose|1.1 Vowels|5|yɪldɪz||also in loans from Turkish: yēldəz [ jeːl'dɨz ] “star” (< Turkish |star|). Central rounded realisations were also recorded in kərī́ [ kɵr'i|e”, štāl čēsk-əs [ ʃtæːl ʧeːsʾkɨs ] “lift the boy!”; and also in loans from Turkish: yēldəz [ jeːlʾdɨz ] “star” (< Turkish yɪldɪz “star”). Central rounded realisations were als
41|s1.1:q27|prose|1.1 Vowels|5|kərī́|kɵrˈiː| yɪldɪz “star”). Central rounded realisations were also recorded in |house|, xəǧã [ xɵ'ʤɑ̃ː ] (~ [ 'xɵʤɑ̃ː ]) “yesterday”, gəldʋānī́ [ g|urkish: yēldəz [ jeːlʾdɨz ] “star” (< Turkish yɪldɪz “star”). Central rounded realisations were also recorded in kərī́ [ kɵrʾiː ] “house”, xəǧã [ xɵʾʤɑ̃ː ] (~ [ ʾxɵʤɑ̃ː ])
42|s1.1:q28|prose|1.1 Vowels|5|xəǧã|xɵˈʤɑ̃ː ~ ˈxɵʤɑ̃ː|nded realisations were also recorded in kərī́ [ kɵr'iː ] “house”, |yesterday|, gəldʋānī́ [ gɵldʋæː'niː ] “sweets”. It is however premature to a|h yɪldɪz “star”). Central rounded realisations were also recorded in kərī́ [ kɵrʾiː ] “house”, xəǧã [ xɵʾʤɑ̃ː ] (~ [ ʾxɵʤɑ̃ː ]) “yesterday”, gəldʋānī́ [ gɵldʋæːʾniː ] “sweets”
43|s1.1:q29|prose|1.1 Vowels|5|gəldʋānī́|gɵldʋæːˈniː|ɵr'iː ] “house”, xəǧã [ xɵ'ʤɑ̃ː ] (~ [ 'xɵʤɑ̃ː ]) “yesterday”, |sweets|. It is however premature to assign these various allophones to their |tions were also recorded in kərī́ [ kɵrʾiː ] “house”, xəǧã [ xɵʾʤɑ̃ː ] (~ [ ʾxɵʤɑ̃ː ]) “yesterday”, gəldʋānī́ [ gɵldʋæːʾniː ] “sweets”. It is however premature to assign thes
44|t1:r1c1|paradigm|1.2 Consonants|6|m|||||"Table 1: Inventory of Consonants | row label 'Nasal' | column label 'Bilabial'"
45|t1:r1c4|paradigm|1.2 Consonants|6|n|||||"Table 1: Inventory of Consonants | row label 'Nasal' | column label 'Alveolar'"
46|t1:r2c1|paradigm|1.2 Consonants|6|p  b|||||"Table 1: Inventory of Consonants | row label 'Plosive' | column label 'Bilabial'"
47|t1:r2c4|paradigm|1.2 Consonants|6|t  d|||||"Table 1: Inventory of Consonants | row label 'Plosive' | column label 'Alveolar'"
48|t1:r2c7|paradigm|1.2 Consonants|6|k  g|||||"Table 1: Inventory of Consonants | row label 'Plosive' | column label 'Velar'"
49|t1:r2c8|paradigm|1.2 Consonants|6|q|||||"Table 1: Inventory of Consonants | row label 'Plosive' | column label 'Uvular'"
50|t1:r2c10|paradigm|1.2 Consonants|6|(ʾ)|||||"Table 1: Inventory of Consonants | row label 'Plosive' | column label 'Glottal'"
51|t1:r3c2|paradigm|1.2 Consonants|6|f|||||"Table 1: Inventory of Consonants | row label 'Fricative' | column label 'Labiodental'"
52|t1:r3c4|paradigm|1.2 Consonants|6|s  z|||||"Table 1: Inventory of Consonants | row label 'Fricative' | column label 'Alveolar'"
53|t1:r3c5|paradigm|1.2 Consonants|6|š|||||"Table 1: Inventory of Consonants | row label 'Fricative' | column label 'Postalveolar'"
54|t1:r3c7|paradigm|1.2 Consonants|6|x  ġ|||||"Table 1: Inventory of Consonants | row label 'Fricative' | column label 'Velar'"
55|t1:r3c9|paradigm|1.2 Consonants|6|ḥ  ʿ|||||"Table 1: Inventory of Consonants | row label 'Fricative' | column label 'Pharyngeal'"
56|t1:r3c10|paradigm|1.2 Consonants|6|h|||||"Table 1: Inventory of Consonants | row label 'Fricative' | column label 'Glottal'"
57|t1:r4c4|paradigm|1.2 Consonants|6|ṭ  ḍ ẓ|||||"Table 1: Inventory of Consonants | row label 'Velarised' | column label 'Alveolar'"
58|t1:r5c5|paradigm|1.2 Consonants|6|č  ǧ|||||"Table 1: Inventory of Consonants | row label 'Affricate' | column label 'Postalveolar'"
59|t1:r6c1|paradigm|1.2 Consonants|6|(w)|||||"Table 1: Inventory of Consonants | row label 'Approximant' | column label 'Bilabial'"
60|t1:r6c2|paradigm|1.2 Consonants|6|ʋ|||||"Table 1: Inventory of Consonants | row label 'Approximant' | column label 'Labiodental'"
61|t1:r6c6|paradigm|1.2 Consonants|6|y|||||"Table 1: Inventory of Consonants | row label 'Approximant' | column label 'Palatal'"
62|t1:r7c4|paradigm|1.2 Consonants|6|r|||||"Table 1: Inventory of Consonants | row label 'Tap' | column label 'Alveolar'"
63|s1.2:q1|prose|1.2 Consonants|7|fəmmōme||marginally, /h/ may undergo elision in material borrowed from Arabic. |I understand| (< Arabic fham “understand”). Otherwise, / h / is normally mainta|stematically only in the demonstrative hā . Although only marginally, /h/ may undergo elision in material borrowed from Arabic. fəmmōme “I understand” (< Arabic fham “understand”). Otherwi
64|s1.2:q2|prose|1.2 Consonants|7|fham|| in material borrowed from Arabic. fəmmōme “I understand” (< Arabic |understand|). Otherwise, / h / is normally maintained in Arabic and Kurdish ite|rative hā . Although only marginally, /h/ may undergo elision in material borrowed from Arabic. fəmmōme “I understand” (< Arabic fham “understand”). Otherwise, / h / is normally mainta
65|s1.2:q3|prose|1.2 Consonants|7|dahn ~ dāhín kar-||therwise, / h / is normally maintained in Arabic and Kurdish items: |to paint|, har “each”, hazz “still”.The pharyngeals / ḥ / and / ʿ / are|“I understand” (< Arabic fham “understand”). Otherwise, / h / is normally maintained in Arabic and Kurdish items: dahn ~ dāhín kar- “to paint”, har “each”, hazz “still”.The phary
66|s1.2:q4|prose|1.2 Consonants|7|har||intained in Arabic and Kurdish items: dahn ~ dāhín kar- “to paint”, |each|, hazz “still”.The pharyngeals / ḥ / and / ʿ / are of course mai|< Arabic fham “understand”). Otherwise, / h / is normally maintained in Arabic and Kurdish items: dahn ~ dāhín kar- “to paint”, har “each”, hazz “still”.The pharyngeals / ḥ /
67|s1.2:q5|prose|1.2 Consonants|7|hazz||abic and Kurdish items: dahn ~ dāhín kar- “to paint”, har “each”, |still|.The pharyngeals / ḥ / and / ʿ / are of course mainly found in ite|“understand”). Otherwise, / h / is normally maintained in Arabic and Kurdish items: dahn ~ dāhín kar- “to paint”, har “each”, hazz “still”.The pharyngeals / ḥ / and / ʿ / are
68|s1.2:q6|prose|1.2 Consonants|7|ḥawt ~ ḥaft||se mainly found in items borrowed from Arabic, but also from Kurdish: |seven|, ḥašt “eight”, moʿōri “ant”. Interestingly, the pharyngeal / ʿ |“still”.The pharyngeals / ḥ / and / ʿ / are of course mainly found in items borrowed from Arabic, but also from Kurdish: ḥawt ~ ḥaft “seven”, ḥašt “eight”, moʿōri “ant”. Intere
69|s1.2:q7|prose|1.2 Consonants|7|ḥašt||s borrowed from Arabic, but also from Kurdish: ḥawt ~ ḥaft “seven”, |eight|, moʿōri “ant”. Interestingly, the pharyngeal / ʿ / was also recor|ryngeals / ḥ / and / ʿ / are of course mainly found in items borrowed from Arabic, but also from Kurdish: ḥawt ~ ḥaft “seven”, ḥašt “eight”, moʿōri “ant”. Interestingly, the pha
70|s1.2:q8|prose|1.2 Consonants|7|moʿōri||Arabic, but also from Kurdish: ḥawt ~ ḥaft “seven”, ḥašt “eight”, |ant|. Interestingly, the pharyngeal / ʿ / was also recorded in the word |nd / ʿ / are of course mainly found in items borrowed from Arabic, but also from Kurdish: ḥawt ~ ḥaft “seven”, ḥašt “eight”, moʿōri “ant”. Interestingly, the pharyngeal / ʿ /
71|s1.2:q9|prose|1.2 Consonants|7|ʿārḍ||. Interestingly, the pharyngeal / ʿ / was also recorded in the word |earth|. The word for “coffee” is borrowed from Arabic but appears with / ḥ|Kurdish: ḥawt ~ ḥaft “seven”, ḥašt “eight”, moʿōri “ant”. Interestingly, the pharyngeal / ʿ / was also recorded in the word ʿārḍ “earth”. The word for “coffee” is borrowed from
72|s1.2:q10|prose|1.2 Consonants|7||||coffee| is borrowed from Arabic but appears with / ḥ /: qaḥwa “coffee” (<|“seven”, ḥašt “eight”, moʿōri “ant”. Interestingly, the pharyngeal / ʿ / was also recorded in the word ʿārḍ “earth”. The word for “coffee” is borrowed from Arabic but appears wit
73|s1.2:q11|prose|1.2 Consonants|7|qaḥwa||e word for “coffee” is borrowed from Arabic but appears with / ḥ /: |coffee| (< Arabic qahwa ). The uvular / q / is common in loanwords from A|ngeal / ʿ / was also recorded in the word ʿārḍ “earth”. The word for “coffee” is borrowed from Arabic but appears with / ḥ /: qaḥwa “coffee” (< Arabic qahwa ). The uvular / q /
74|s1.2:q12|prose|1.2 Consonants|7|qāpī́|| common in loanwords from Arabic, Kurdish or (varieties of) Turkish ( |door|, qārčī́ “in front of”, qāšəq “spoon”, qər “son”) and also in th|/: qaḥwa “coffee” (< Arabic qahwa ). The uvular / q / is common in loanwords from Arabic, Kurdish or (varieties of) Turkish ( qāpī́ “door”, qārčī́ “in front of”, qāšəq “spoon
75|s1.2:q13|prose|1.2 Consonants|7|qārčī́||ords from Arabic, Kurdish or (varieties of) Turkish ( qāpī́ “door”, |in front of|, qāšəq “spoon”, qər “son”) and also in the inherited lexicon ( q|e” (< Arabic qahwa ). The uvular / q / is common in loanwords from Arabic, Kurdish or (varieties of) Turkish ( qāpī́ “door”, qārčī́ “in front of”, qāšəq “spoon”, qər “son”) and also
76|s1.2:q14|prose|1.2 Consonants|7|qāšəq||h or (varieties of) Turkish ( qāpī́ “door”, qārčī́ “in front of”, |spoon|, qər “son”) and also in the inherited lexicon ( qālã́ “black”, q|The uvular / q / is common in loanwords from Arabic, Kurdish or (varieties of) Turkish ( qāpī́ “door”, qārčī́ “in front of”, qāšəq “spoon”, qər “son”) and also in the inherited
77|s1.2:q15|prose|1.2 Consonants|7|qər||f) Turkish ( qāpī́ “door”, qārčī́ “in front of”, qāšəq “spoon”, |son|) and also in the inherited lexicon ( qālã́ “black”, qāyī́š “food”|q / is common in loanwords from Arabic, Kurdish or (varieties of) Turkish ( qāpī́ “door”, qārčī́ “in front of”, qāšəq “spoon”, qər “son”) and also in the inherited lexicon ( q
78|s1.2:q16|prose|1.2 Consonants|7|qālã́||f”, qāšəq “spoon”, qər “son”) and also in the inherited lexicon ( |black|, qāyī́š “food”). The uvular / q / was also recorded as [x] in wa|(varieties of) Turkish ( qāpī́ “door”, qārčī́ “in front of”, qāšəq “spoon”, qər “son”) and also in the inherited lexicon ( qālã́ “black”, qāyī́š “food”). The uvular / q / w
79|s1.2:q17|prose|1.2 Consonants|7|qāyī́š||n”, qər “son”) and also in the inherited lexicon ( qālã́ “black”, |food|). The uvular / q / was also recorded as [x] in waxti “when”, prob|rkish ( qāpī́ “door”, qārčī́ “in front of”, qāšəq “spoon”, qər “son”) and also in the inherited lexicon ( qālã́ “black”, qāyī́š “food”). The uvular / q / was also recorded
80|s1.2:q18|prose|1.2 Consonants|7|waxti||ck”, qāyī́š “food”). The uvular / q / was also recorded as [x] in |when|, probably from Kurdish (initially from Arabic waqt “time”). This co|qər “son”) and also in the inherited lexicon ( qālã́ “black”, qāyī́š “food”). The uvular / q / was also recorded as [x] in waxti “when”, probably from Kurdish (initially from
81|s1.2:q19|prose|1.2 Consonants|7|waqt||s [x] in waxti “when”, probably from Kurdish (initially from Arabic |time|). This conjunction however was not recognised by all the informants. |lack”, qāyī́š “food”). The uvular / q / was also recorded as [x] in waxti “when”, probably from Kurdish (initially from Arabic waqt “time”). This conjunction however was not reco
82|s1.2:q20|prose|1.2 Consonants|7|taxt||s velar /x/ is very common and appears in all layers of the language: |bed| (< colloquial Arabic taxt , originally a loan from Persian), xašt|however was not recognised by all the informants. The voiceless velar /x/ is very common and appears in all layers of the language: taxt “bed” (< colloquial Arabic taxt , originall
