PDF_Page,Printed_Page,OIA_Source,OIA_Match_Form,CDIAL_ID,Match_Status,Candidates,RHS_Source,Indus_Kohistani_Forms
1,477,adyá,adyá,242,exact,242,ā́z,ā́z
1,477,adhunaiva,adhunaiva,270,exact,270,hī̃̀,hī̃̀
1,477,anāhāra,anāhāra,299,exact,299,nihā́r 2,nihā́r
1,477,ánna,ánna,395,exact,395,ā̀n,ā̀n
1,477,anyá,anyá,399,exact,399,án-an (G); hā̃́ 1 (J),án-an;hā̃́
1,477,áp,áp,407,exact,407,in khʌṣā̀,khʌṣā̀
1,477,*apanthaka,apanthaka,431,exact,431,ʌvā́n 1,ʌvā́n
1,477,áparam,áparam,434-3,exact,434-3,-o- (J); -ü- (B),-o-;-ü-
1,477,apavāda,apavāda,456,exact,456,hʌvʌ́ī,hʌvʌ́ī
1,477,*apaśrāpaṇa,apaśrāpaṇa,463-2,exact,463-2,ōšʌ́ṽ,ōšʌ́ṽ
1,477,apuṇya,apuṇya,489,exact,489,ʌvā́n 2,ʌvā́n
1,477,apūpía,apūpía,,unmatched,,āoh (G); háv 3 (J),āoh;háv
1,477,†*apūraka,apūraka,492a,exact,492a,in ʌrgʌ̀ṭh,ʌrgʌ̀ṭh
1,477,ápaiti,ápaiti,497,exact,497,biyʌ́ṽ (see also *vrajyati),biyʌ́ṽ
1,477,abhikaroti,abhikaroti,509a,loose,509a,hḕṛ,hḕṛ
2,478,ɑbhrɑ́-1,ɑbhrɑ́,550,exact,550,ʌ̀z,ʌ̀z
2,478,abhríya,abhríya,549-2,exact,549-2,ʌzʌ́ṽ,ʌzʌ́ṽ
2,478,*ayaskāra,ayaskāra,,unmatched,,ʌkhā́r,ʌkhā́r
2,478,araghaṭṭa,araghaṭṭa,596,exact,596,arʌ̀ṭh 1,arʌ̀ṭh
2,478,arasá,arasá,606,exact,606,ʌrʌ̀s,ʌrʌ̀s
2,478,ardhá-2,ardhá,644,exact,644,ʌ̀ṛ,ʌ̀ṛ
2,478,*ardhakuḍava,ardhakuḍava,646,exact,646,òeṛī,òeṛī
2,478,ardhadróṇa,ardhadróṇa,,unmatched,,ʌ̀ṛ-dī̃̀ 2,ʌ̀ṛ-dī̃̀
2,478,ardharātra,ardharātra,671,exact,671,ɛ̀ṛi-rā̀l,ɛ̀ṛi-rā̀l
2,478,alavaṇa,alavaṇa,707,exact,707,alʌ̀ṽ,alʌ̀ṽ
2,478,alā́bu,alā́bu,711,exact,711,aloe (G),aloe
2,478,álpa,álpa,722,exact,722,apʌ̀ṭh,apʌ̀ṭh
2,478,†*avakasati,avakasati,727b,exact,727b,vʌ́ṽ 1,vʌ́ṽ
2,478,avamūrdha,avamūrdha,804,exact,804,mʌ́n 1,mʌ́n
2,478,ávara,ávara,805,exact,805,"-ṓr, -vṓr",-ṓr;-vṓr
2,478,*avavahati,avavahati,841,exact,841,"vʌ́ṽ 2 , vʌ̀hē",vʌ́ṽ;vʌ̀hē
2,478,*avipaṣṭha,avipaṣṭha,892,exact,892,ʌvā́ṭh,ʌvā́ṭh
2,478,aśakta,aśakta,905,exact,905,ʌšʌ̀th,ʌšʌ̀th
2,478,aśubha,aśubha,913,exact,913,in šʌkɑ̄̀l,šʌkɑ̄̀l
2,478,aśubha- plus *puṭṭa-2,aśubha,913,exact,913,šupʌ̀ṭh,šupʌ̀ṭh
2,478,áśru,áśru,919,exact,919,ā̃́c̣h,ā̃́c̣h
2,478,aṣṭā́,aṣṭā́,941,exact,941,ā̀ṭh,ā̀ṭh
2,478,aṣṭā́daśa,aṣṭā́daśa,946,exact,946,"ʌṭhā̀lʌš (J, Š); aṭhɑ̈̄́š (B); aṭhāš (G)",ʌṭhā̀lʌš;aṭhɑ̈̄́š;aṭhāš
2,478,asáu,asáu,972,exact,972,ũ̀h (J); óh 2 (G),ũ̀h;óh
2,478,asmad,asmad,986,exact,986,zʌ̀ỹ,zʌ̀ỹ
2,478,aho,aho,996,manual,996;1548,ʌhṑ,ʌhṑ
2,478,ākāśá,ākāśá,1008,exact,1008,in lìṛōkh,lìṛōkh
2,478,*ākāśiya,ākāśiya,1009,exact,1009,hagʌ́y,hagʌ́y
2,478,ākula,ākula,1012,exact,1012,in kʌṭākū̀l,kʌṭākū̀l
2,478,ākṣika,ākṣika,1025,exact,1025,àc̣h,àc̣h
2,478,ā́kṣeti,ā́kṣeti,1031,loose,1031,ċhḕ 2,ċhḕ
2,478,*āḍu,āḍu,1103,exact,1103,ʌ̀rʌṽ,ʌ̀rʌṽ
2,478,āṇḍá,āṇḍá,1111,manual,1111,ʌ̃ṛàh (J); aṭáh and haṇóali (G),ʌ̃ṛàh;aṭáh and haṇóali
2,478,*ātmanaka,ātmanaka,1135-2,exact,1135-2,apō̃ (G),apō̃
2,478,ātmā́nam,ātmā́nam,1135,exact,1135,ʌmā̃̀,ʌmā̃̀
2,478,āntrá,āntrá,1182,exact,1182,ā̃́ẓ,ā̃́ẓ
2,478,āntrika,āntrika,1186,exact,1186,aỹẓ,aỹẓ
2,478,ā́patati,ā́patati,1193,exact,1193,apʌṛō̃́ (G),apʌṛō̃́
2,478,āptá,āptá,1217,exact,1217,hatō̃́ 1 (G),hatō̃́
2,478,ām,ām,1235,exact,1235,ɑ̄̃̀ 1,ɑ̄̃̀
2,478,āmá,āmá,1236,exact,1236,ʌ̀ṽ 1,ʌ̀ṽ
2,478,*āmucati,āmucati,1260-2,exact,1260-2,uiʌ́ṽ 2,uiʌ́ṽ
2,478,āmrá,āmrá,1268,exact,1268,ʌ́m,ʌ́m
2,478,āmṛṣyate,āmṛṣyate,1265,loose,1265;1263a-2,ō̃ṣʌ́ṽ,ō̃ṣʌ́ṽ
2,478,ā́yāti,ā́yāti,1288,exact,1288,iʌ́ṽ,iʌ́ṽ
2,478,**āyāpayati,āyāpayati,,unmatched,,ɑ́ṽ,ɑ́ṽ
2,478,ārá-1,ārá,1295,exact,1295,ā́r,ā́r
2,478,ārambhá-1,ārambhá,1307,exact,1307,ʌṛʌ́m karʌ́ṽ,ʌṛʌ́m karʌ́ṽ
2,478,ārdrá,ārdrá,1340,exact,1340,ā̀c̣h (J); àẓ (B),ā̀c̣h;àẓ
2,478,āryikā,āryikā,1351,exact,1351,yɑ̄̀ 1,yɑ̄̀
2,478,ālapati,ālapati,1358,exact,1358,alō̃́ 2 (G),alō̃́
2,478,ālu,ālu,1388,exact,1388,ʌlū́,ʌlū́
2,478,*āścariya,āścariya,1464-2,exact,1464-2,ʌsrà-bʌblàh,ʌsrà-bʌblàh
2,478,**āśroṇika,āśroṇika,,unmatched,,ʌṣìṅg,ʌṣìṅg
2,478,āṣāḍhá,āṣāḍhá,1473,exact,1473,ʌhā́ṛ,ʌhā́ṛ
2,478,āṣāḍhīya,āṣāḍhīya,1474,exact,1474,ʌṣʌ̀y,ʌṣʌ̀y
2,478,ā́sate,ā́sate,1480,loose,1480,ā̃́s,ā̃́s
2,478,āsita,āsita,1493,exact,1493,in hisɑ̄́r,hisɑ̄́r
2,478,āsyá,āsyá,1533,loose,1533,ʌ̀ỹ 2,ʌ̀ỹ
2,478,*āhallati,āhallati,1542,exact,1542,alō̃́ 1 (G),alō̃́
2,478,iyattaká,iyattaká,1589,exact,1589,ʌytúkh,ʌytúkh
2,478,íṣṭakā,íṣṭakā,1600,exact,1600,ī̀ṭh,ī̀ṭh
2,478,*isprɑṣū (see śvaśrū́-),śvaśrū́,12759,exact,12759,c̣òeṣ,c̣òeṣ
3,479,*ukkɑ,ukkɑ,1625,exact,1625,òk-bokh,òk-bokh
3,479,*ujjavati,ujjavati,1664,exact,1664,uzḕ,uzḕ
3,479,*ujjāṭa,ujjāṭa,1660b-2,exact,1660b-2,užā̀ṛ,užā̀ṛ
3,479,ujjvala,ujjvala,1670,exact,1670,uzál or uzálu (G),uzál;uzálu
3,479,*utthala,utthala,1804,exact,1804,uthʌ̀l,uthʌ̀l
3,479,útthita,útthita,1907-2,exact,1907-2,uithʌ́ṽ,uithʌ́ṽ
3,479,*utśrāpayati,utśrāpayati,1858-2,exact,1858-2,uc̣hʌ́ṽ,uc̣hʌ́ṽ
3,479,útsa,útsa,1869,exact,1869,ū̀ċh,ū̀ċh
3,479,*ut-sthita,ut-sthita,1907,exact,1907,uṭhīrō̃́ (G),uṭhīrō̃́
3,479,udaká,udaká,1921,exact,1921,vī̀,vī̀
3,479,udára,udára,1932,exact,1932,vʌỳri 2,vʌỳri
3,479,*udguru,udguru,1962,exact,1962,ugúru,ugúru
3,479,udgṛta,udgṛta,1963,loose,1963,uglʌ́ṽ,uglʌ́ṽ
3,479,udghāṭa,udghāṭa,1972,exact,1972,ugh́āṛ (B),ugh́āṛ
3,479,uddhí,uddhí,2021,exact,2021,údi (G),údi
3,479,*uddhūḍi,uddhūḍi,2025,exact,2025,òdhõ (Š),òdhõ
3,479,*uddhūḍi- × dhūmá,uddhūḍi- × dhūmá,,unmatched,,ū̀dhʌm,ū̀dhʌm
3,479,údbharati,údbharati,2038,exact,2038,bhár 2 hō̃́,bhár  hō̃́
3,479,*uparalla- or *upparalla,uparalla- or *upparalla,,unmatched,,bṓ,bṓ
3,479,**upparalla-pāḍi- or **uppari-pāḍi,upparalla-pāḍi- or **uppari-pāḍi,,unmatched,,buíṛi,buíṛi
3,479,úpaviśati,úpaviśati,2245,exact,2245,bīšō̃́ (G),bīšō̃́
3,479,upaviṣṭa,upaviṣṭa,14327,exact,14327,in bayṭhāzʌ́ṽ,bayṭhāzʌ́ṽ
3,479,*upaviṣṭi,upaviṣṭi,2246,exact,2246,bìṭhi,bìṭhi
3,479,upānáh,upānáh,2302,exact,2302,biǟn (B); pʌṛúĩ (J),biǟn;pʌṛúĩ
3,479,upāntá,upāntá,2303,exact,2303,ún,ún
3,479,*ubbakka,ubbakka,2337,exact,2337,ubāykhi (G),ubāykhi
3,479,*ullaṭyate,ullaṭyate,2368-2,loose,2368-2,u.lṭʌ́ṽ,u.lṭʌ́ṽ
3,479,úṣṭra,úṣṭra,2387,exact,2387,ū̃̀ṭ (Š),ū̃̀ṭ
3,479,ū́dhas,ū́dhas,2403,exact,2403,ùī,ùī
3,479,ūnaviṁśati,ūnaviṁśati,2411,exact,2411,āmbìš (J); āmbī̀š (Š); umbíš,āmbìš;āmbī̀š;umbíš
3,479,ŕ.kṣa,ŕ.kṣa,2445,exact,2445,ī̀c̣h,ī̀c̣h
3,479,ékādaśa,ékādaśa,2485,disambiguated,2485;2486,"ʌgā̀lʌš (J, Š), yḕš (B), ayayš (G)",ʌgā̀lʌš;yḕš;ayayš
3,479,*ekka,ekka,2462-2,loose,2462-2,ʌ́kh 1 (J); èk (Š); ekh (G),ʌ́kh;èk;ekh
3,479,*ekkala,ekkala,2506,loose,2506,kʌyli 2 (G); kḕlʌṽ (J);,kʌyli;kḕlʌṽ
3,479,*ekkasthá,ekkasthá,,unmatched,,"akṭhiʌ́ṽ, ʌkṭhī́",akṭhiʌ́ṽ;ʌkṭhī́
3,479,eḍa- plus -kk- exṭ,eḍa,2512,loose,2512,ḕg˚,ḕg˚
3,479,eḍī,eḍī,191-4,loose,191-4,ī̀,ī̀
3,479,eraṇḍa,eraṇḍa,2517,loose,2517,arʌ̀ṇḍ˚,arʌ̀ṇḍ˚
3,479,evá-1,evá,2524,loose,2524,"ʌ́y 2 , -ī",ʌ́y;-ī
3,479,*okk,okk,2538,loose,2538,ṓqh,ṓqh
3,479,*oggara,oggara,2539,loose,2539,ugrā̀,ugrā̀
3,479,ka-2,ka,385,exact,385,"kū 2 , kašā̃́ (G); kʌsī̃̀ (J)",kū;kašā̃́;kʌsī̃̀
3,479,kah. punar,kah. punar,2575,common-base,2575;2575-2,kā̃́ 1,kā̃́
3,479,kákṣa-1,kákṣa,2588,exact,2588,kʌċh (G); kʌšā̀l (J); khačàl (B),kʌċh;kʌšā̀l;khačàl
3,479,káṅkata,káṅkata,2598,exact,2598,kʌ́ṅg,kʌ́ṅg
3,479,*kaṅkāla2,kaṅkāla,2604,exact,2604,kʌṅgā̀l 1,kʌṅgā̀l
3,479,*kacca-1,kacca,2613,exact,2613,kʌčàh 1,kʌčàh
3,479,kaccha,kaccha,2618,exact,2618,"kʌ̀ċh, kʌ̀s",kʌ̀ċh;kʌ̀s
3,479,kajjala,kajjala,2622,exact,2622,kʌžʌ́l,kʌžʌ́l
3,479,káṭa-1,káṭa,2629,exact,2629,kaṛkaṛey (G); in hʌ́t-kʌṛī́ (J),kaṛkaṛey;hʌ́t-kʌṛī́
3,479,kaṭa-2,kaṭa,2630,exact,2630,kʌṛī̀ (Š),kʌṛī̀
3,479,*kaṭāṅka,kaṭāṅka,2637,exact,2637,kʌṛʌ́ṅg-kʌṛʌṅg,kʌṛʌ́ṅg-kʌṛʌṅg
3,479,kaṭāha-1,kaṭāha,2638,exact,2638,kaṛhʌ̀y,kaṛhʌ̀y
3,479,*kaṭṭ,kaṭṭ,2644,exact,2644,kháṭ-khaṭ (B),kháṭ-khaṭ
3,479,*kɑṭṭɑ-2,kɑṭṭɑ,2645,exact,2645,"kʌṭū́, khʌ́ṭh 2",kʌṭū́;khʌ́ṭh
4,480,kɑḍɑmbī,kɑḍɑmbī,2654,exact,2654,kā́m 1,kā́m
4,480,*kaṇa- plus ḍolla,kaṇa,2661,disambiguated,2661;3019,kʌṇḍṑl,kʌṇḍṑl
4,480,kaṇṭa-1,kaṇṭa,2668,exact,2668,kʌ̀ṇḍ˚ and in phēkʌ̀ṇḍ˚,kʌ̀ṇḍ˚;phēkʌ̀ṇḍ˚
4,480,káṇṭaka,káṇṭaka,14348,disambiguated,14348;2668-2,kā̃ṭhàh,kā̃ṭhàh
4,480,kaṇṭakāra,kaṇṭakāra,2672,exact,2672,kʌṇṭā̀r,kʌṇṭā̀r
4,480,kaṇṭhá,kaṇṭhá,2680,exact,2680,"kʌṇḍàh, kʌ̀n, kā̃́ṇḍ˚ and khʌ́ṛ (J);",kʌṇḍàh;kʌ̀n;kā̃́ṇḍ˚ and khʌ́ṛ
4,480,kaṇṭhaka,kaṇṭhaka,2681,exact,2681,khaṇḍī̀ (B); kʌṇḍī̀ (J),khaṇḍī̀;kʌṇḍī̀
4,480,kaṇḍū,kaṇḍū,2688,exact,2688,kā́n 2,kā́n
4,480,kaṇḍūyáti,kaṇḍūyáti,2689,exact,2689,kanʌ́ṽ,kanʌ́ṽ
4,480,katipayá,katipayá,2696,exact,2696,kū 1 (G),kū
4,480,kadala,kadala,2712,exact,2712,kēlàh,kēlàh
4,480,kaniṣṭhá,kaniṣṭhá,2718,exact,2718,kē̃ṭhàh,kē̃ṭhàh
4,480,kándu,kándu,2726,exact,2726,kʌyndlū́,kʌyndlū́
4,480,kapi-2,kapi,2747,exact,2747,kʌ́v 1,kʌ́v
4,480,kapolá,kapolá,2755,loose,2755,khol (G),khol
4,480,*kappāla,kappāla,2744-4,exact,2744-4,kʌpā̀l,kʌpā̀l
4,480,kaphoṇi,kaphoṇi,2757,loose,2757,khvə̀ĩ (B),khvə̀ĩ
4,480,kambalá1,kambalá,2771,exact,2771,kʌmʌ̀l,kʌmʌ̀l
4,480,karóti,karóti,2814,disambiguated,2813;2814,karʌ́ṽ,karʌ́ṽ
4,480,karkaṭa-2,karkaṭa,2817,exact,2817,khākuṛéh (G); khʌkʌ̀y (J),khākuṛéh;khʌkʌ̀y
4,480,karkara-1,karkara,2819,exact,2819,kʌ́r-kʌr,kʌ́r-kʌr
4,480,karkara-2,karkara,2820,exact,2820,kʌkrī̀,kʌkrī̀
4,480,kárjati,kárjati,2829,exact,2829,kazʌ́ṽ,kazʌ́ṽ
4,480,kárṇa,kárṇa,2830,exact,2830,kā̀n 1,kā̀n
4,480,kárṇa- plus vartaka-1,kárṇa,2830,exact,2830,kʌnvʌ̀ṭh,kʌnvʌ̀ṭh
4,480,kárṇikā,kárṇikā,2849,exact,2849,kannī́ (G),kannī́
4,480,karta-2,karta,2852,exact,2852,in khʌṭērõ (G); khʌyṭrʌ́ṽ (J),khʌṭērõ;khʌyṭrʌ́ṽ
4,480,*karttāra,karttāra,2860,exact,2860,kaṭārə̀i (B),kaṭārə̀i
4,480,*karpa,karpa,2941-2,exact,2941-2,karpʌ́ṽ,karpʌ́ṽ
4,480,karpara,karpara,2876,exact,2876,kapʌỳri,kapʌỳri
4,480,kárman-1,kárman,2892,exact,2892,kā̀m 2,kā̀m
4,480,*karmayati,karmayati,2894,exact,2894,kamʌ́ṽ 2,kamʌ́ṽ
4,480,*karmāpayati,karmāpayati,2897,exact,2897,kamʌ́ṽ 1,kamʌ́ṽ
4,480,karmín,karmín,2900,exact,2900,kʌmĩ́ṛ,kʌmĩ́ṛ
4,480,karmiṣṭha,karmiṣṭha,2901,exact,2901,käḿäṭ (B),käḿäṭ
4,480,kalaha,kalaha,2922,exact,2922,kʌỳli 2,kʌỳli
4,480,kali-2,kali,2934,exact,2934,kʌỳli 3,kʌỳli
4,480,kalpáyati,kalpáyati,2944,exact,2944,kapō̃́ (G),kapō̃́
4,480,**kalyādya,kalyādya,,unmatched,,kālèẓ (B),kālèẓ
4,480,kaṣá,kaṣá,2970,exact,2970,kʌṣʌ̀y and in phutʌ̀ṣ,kʌṣʌ̀y;phutʌ̀ṣ
4,480,kaṣati,kaṣati,2972,exact,2972,khaṣ,khaṣ
4,480,kā́ka,kā́ka,2993,exact,2993,qā̀,qā̀
4,480,*kākka,kākka,2998,exact,2998,"kʌkū́, kākū́",kʌkū́;kākū́
4,480,kāca-3,kāca,3009,exact,3009,kā̀ 1,kā̀
4,480,*kācca,kācca,3007-2,exact,3007-2,kā̀ċ,kā̀ċ
4,480,kāṭha,kāṭha,3018,exact,3018,kā̀ṛ,kā̀ṛ
4,480,kāṇá,kāṇá,3019,exact,3019,kāṇĩã́ (G); kɑ̄̃̀ṛ (J),kāṇĩã́;kɑ̄̃̀ṛ
4,480,kā́ṇḍa,kā́ṇḍa,3023,exact,3023,kaṽ (G); kɑ̄̃̀ 3 (J); kṑṇḍ˚ (Š),kaṽ;kɑ̄̃̀;kṑṇḍ˚
4,480,*kāríya,kāríya,,unmatched,,kirā̃̀,kirā̃̀
4,480,kāla-1,kāla,3083,exact,3083,kā̀l (B),kā̀l
4,480,kālá-2,kālá,3084,exact,3084,kā́l,kā́l
4,480,kāláyati1,kāláyati,3091,exact,3091,kālʌ́ṽ,kālʌ́ṽ
4,480,kālya,kālya,3104,exact,3104,kālḗ,kālḗ
4,480,*kāvaraka,kāvaraka,3107,exact,3107,qā̃víli,qā̃víli
4,480,kā́śa,kā́śa,3112,exact,3112,kārā́ (G),kārā́
4,480,kɑ̄́sikā,kɑ̄́sikā,3138,loose,3138,in ghʌ̀ỹ khʌ́ỹ (G),ghʌ̀ỹ khʌ́ỹ
4,480,kiṁcid,kiṁcid,3144,loose,3144,kiz (G),kiz
4,480,kiṁśā́ru,kiṁśā́ru,3148,exact,3148,kišār (G),kišār
4,480,kím,kím,3164,exact,3164,gìh 1,gìh
4,480,*kiyatta,kiyatta,3167,exact,3167,kië̀t (B); kʌytùkh (J),kië̀t;kʌytùkh
4,480,kirāṭa,kirāṭa,3173,exact,3173,kirāṛī́,kirāṛī́
4,480,kiri,kiri,3175,exact,3175,kī̀r,kī̀r
4,480,kílāṭa,kílāṭa,3181,disambiguated,3181;3182,kilāṛī̀,kilāṛī̀
4,480,kilima,kilima,3187,exact,3187,kʌyliēl (G),kʌyliēl
4,480,kīdṛśa,kīdṛśa,3197,loose,3197,khia (G),khia
4,480,kīryate,kīryate,3201,loose,3201,kizʌ́ṽ,kizʌ́ṽ
4,480,kīla-1,kīla,3202,exact,3202,"kī̀l 2 , kḕl",kī̀l;kḕl
4,480,*kukka-1,kukka,3206,exact,3206,kùkh 2,kùkh
4,480,kukkuṭá-1,kukkuṭá,3208,exact,3208,kukī̃̀,kukī̃̀
4,480,kukkubha,kukkubha,3210,exact,3210,kùkh 1,kùkh
4,480,kukṣí,kukṣí,3213,exact,3213,kúc̣ (B); kuíc̣hi (J),kúc̣;kuíc̣hi
4,480,*kuccura,kuccura,3219,exact,3219,kuċʌ̀r,kuċʌ̀r
4,480,*kucyate,kucyate,3221,loose,3221,kuiċhʌ́ṽ,kuiċhʌ́ṽ
4,480,*kuñca-1,kuñca,3223,exact,3223,"kunžàh, kū̃ċī̀",kunžàh;kū̃ċī̀
4,480,kuñcikā-1,kuñcikā,3225,exact,3225,kunžī 2 (G); kū̃̀žī (J),kunžī;kū̃̀žī
4,480,kuñjikā,kuñjikā,,unmatched,,kunžī 1 (G); kúī̃z (J),kunžī;kúī̃z
4,480,kuṭɑ-1,kuṭɑ,3227,exact,3227,in xutkuṛī̃̀,xutkuṛī̃̀
5,481,kuṭī,kuṭī,3232,exact,3232,kuṛkī̀2,kuṛkī̀
5,481,kuṭṭáyati,kuṭṭáyati,3241,exact,3241,kàṭʌr 2 and kuṭʌ́ṽ,kàṭʌr  and kuṭʌ́ṽ
5,481,*kuṭṭha,kuṭṭha,3243,exact,3243,kùṭh 1,kùṭh
5,481,*kuḍa-2,kuḍa,3251-3,exact,3251-3,kū̀ṛ,kū̀ṛ
5,481,*kuṇṭa-1,kuṇṭa,3260,exact,3260,kùṇḍ˚,kùṇḍ˚
5,481,*kuṇṭa-2,kuṇṭa,3898-2,exact,3898-2,"kùṭh 2 (G, J); kū̀ṭ (Š)",kùṭh;kū̀ṭ
5,481,kuṇḍa-2,kuṇḍa,3265,manual,3265,in šìš 3 -kũṛū̃́,šìš  -kũṛū̃́
5,481,kuṇḍa-3,kuṇḍa,3265,manual,3266,kuṇḍrū́,kuṇḍrū́
5,481,kuṇḍalākāra,kuṇḍalākāra,3269,exact,3269,kuṇḍḕr,kuṇḍḕr
5,481,kútah.,kútah.,3271,loose,3271,gulàh,gulàh
5,481,*kutta-1,kutta,3275,exact,3275,khutey (G); kutʌ̀ỹ (Š),khutey;kutʌ̀ỹ
5,481,*kuttūra,kuttūra,3278,exact,3278,khutrū (G),khutrū
5,481,kuddāla-1,kuddāla,3286,exact,3286,kudā́eli,kudā́eli
5,481,*kudriṣṭi,kudriṣṭi,,unmatched,,kū̃dīṭh (G); kōḍī́ṭh (J),kū̃dīṭh;kōḍī́ṭh
5,481,*kuppa,kuppa,3402-3,exact,3402-3,kṑph,kṑph
5,481,*kura,kura,3319,exact,3319,in kā̀n 1 -kurī̀,kā̀n  -kurī̀
5,481,kúla,kúla,3330,exact,3330,kúl 2,kúl
5,481,kulaka,kulaka,3331,exact,3331,"kùl 1 , kùlī",kùl;kùlī
5,481,kulattha,kulattha,3335,exact,3335,kulā̀th,kulā̀th
5,481,kúlāla,kúlāla,3341,exact,3341,kulā̀l,kulā̀l
5,481,*kulla-3,kulla,3354,exact,3354,kōlʌ́r,kōlʌ́r
5,481,kuvākya,kuvākya,3359,exact,3359,kāvā̀kh,kāvā̀kh
5,481,kúṣṭha-1,kúṣṭha,3370,exact,3370,kùṭh 3,kùṭh
5,481,kúha,kúha,3384,exact,3384,in guā̃ (G),guā̃
5,481,*kūkkā,kūkkā,3390-2,exact,3390-2,kùkh 3,kùkh
5,481,kū́la-1 plus ārá-1,kū́la,3416,exact,3416,kulār (G),kulār
5,481,*kṛkkala,kṛkkala,3418-3,loose,3418-3,kìkʌl,kìkʌl
5,481,kṛti-2,kṛti,3425,loose,3425,karʌ̀y,karʌ̀y
5,481,*kṛtyagharikā,kṛtyagharikā,3429,loose,3429,kʌčārī̀,kʌčārī̀
5,481,kŕ.mi,kŕ.mi,3438,exact,3438,kimʌ̀ṭh,kimʌ̀ṭh
5,481,kṛṣí,kṛṣí,3448,loose,3448,khiṣī̀,khiṣī̀
5,481,kṛṣṇá,kṛṣṇá,3451,loose,3451,"kién (G); kirʌ́ṇḍ˚, kiṣʌ̀ṽ (J)",kién;kirʌ́ṇḍ˚;kiṣʌ̀ṽ
5,481,kokila-2,kokila,3484,loose,3484,kōlàh 2,kōlàh
5,481,*koṭa-4,koṭa,3227-3,loose,3227-3,kōrī̀,kōrī̀
5,481,koṭi-2,koṭi,3498,loose,3498,krṑṛ,krṑṛ
5,481,koṭṭapāla,koṭṭapāla,3501,loose,3501,kōṭvā́l,kōṭvā́l
5,481,*kotthala,kotthala,3511,loose,3511,kuthlī̀,kuthlī̀
5,481,*koppara,koppara,3519,loose,3519,kōpràh,kōpràh
5,481,komalá,komalá,3523,loose,3523,kʌṽʌ̀l,kʌṽʌ̀l
5,481,*koraḍa,koraḍa,3528,loose,3528,kōṛàh,kōṛàh
5,481,*korati,korati,3530,loose,3530,kōrʌ́ṽ (J) and in khukōrō̃́ (G),kōrʌ́ṽ (J);khukōrō̃́
5,481,*kola-4,kola,3533,loose,3533,kòl (B); kōl (G) and in kōlērō̃́ (G),kòl;kōl (G);kōlērō̃́
5,481,*kaurma,kaurma,3415-2,exact,3415-2,kom (G),kom
5,481,krayāṇaka,krayāṇaka,3584,exact,3584,kirā̃ṛã̀h 1,kirā̃ṛã̀h
5,481,*kriśyate,kriśyate,3590,loose,3590,kiṣʌ́ṽ,kiṣʌ́ṽ
5,481,krūrá,krūrá,3602,exact,3602,"kurʌ̀ṭh, kū̀r",kurʌ̀ṭh;kū̀r
