Snapshot_Date,Unit_ID,Parent_Unit_ID,PDF_Page,Printed_Page,Entry_Label,Series,Item_Type,Language,Dialect_Or_Source,Raw_Form,Raw_Gloss,Raw_Status,Raw_Relation,Old_Targets,Resolved_Targets,Final_Status,Final_Language_ID,Final_Parameter_ID,Emitted_Key,Resolution,Agent_Correction,Review,Material_Error,Source,Record_SHA256
2026-08-19,p399:u004,,4,399,13,DED,record,,,,,,,main:13,d2265,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 13]",ff5607d30caea50e03f689970be86295c056db005f85eba206451470457a6173
2026-08-19,p399:u004:f001,p399:u004,4,399,13,DED,form,Kannada,Hal.,jēgi,to chew,queried,reflex,main:13,d2265,excluded_nonaccepted,,,,tentative form retained in source prose without a rank-1 reflex edge,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 13]",20eb6ba31a2d1c2e64912e186fb1deb1ad9a6e6f9b68f974a1216aad75151b33
2026-08-19,p399:u005,,4,399,44,DED,record,,,,,,,main:44|main:2949|supplement:56,d3574|d395|d47,raw_segment_audited,,,,structured raw segment retained in audit; 3 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 44]",0e30dd9156bb33f72d295feca564ddc0596e84dc11b84fa07563f67f850d6991
2026-08-19,p399:u005:f001,p399:u005,4,399,44,DED,form,Pengo,,,,deleted,reflex,main:44|main:2949|supplement:56,d47,excluded_nonaccepted,,,,source-deleted form retained in the audit and correction prose only,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 44]",4314a59917426a4d67233a445830e278403be7c1d5c6c6f364836131c6785ae9
2026-08-19,p399:u005:f002,p399:u005,4,399,44,DED,form,Gondi,,,,deleted,reflex,main:44|main:2949|supplement:56,d47,excluded_nonaccepted,,,,source-deleted form retained in the audit and correction prose only,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 44]",0899792a6d627e5d0126871d06f75ba405f0bbf980523ba269be334df6b161b3
2026-08-19,p399:u005:f003,p399:u005,4,399,44,DED,form,Sanskrit,,sañcaka-,mould,comparison_only,comparison_only,main:44|main:2949|supplement:56,d47,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 44]",f540b7f94e3a743f45ab5d47cf5eddd1bfcead52bbe233b4a77fb6a9201eba45
2026-08-19,p399:u005:f004,p399:u005,4,399,44,DED,form,Pengo,,"sañca, saccā",mould,comparison_only,comparison_only,main:44|main:2949|supplement:56,d47,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 44]",a9d5121a99c598e2c04287449f2043b9519b94c67cc9a19e80de824b01f44df1
2026-08-19,p399:u006,,4,399,47,DED,record,,,,,,,main:47,da6,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 47]",941f77fd8674c28fef8a0df2e1a1315b2d68b8eae2fb3f44284bb165872c0db8
2026-08-19,p399:u006:f001,p399:u006,4,399,47,DED,form,Kota,,ajja,,deleted,reflex,main:47,da6,excluded_nonaccepted,,,,source-deleted form retained in the audit and correction prose only,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 47]",671926da17803816561c8c98a21298cce1984a5556384ce1119dc492baa89aea
2026-08-19,p399:u006:f002,p399:u006,4,399,47,DED,form,Toda,,ajja,,deleted,reflex,main:47,da6,excluded_nonaccepted,,,,source-deleted form retained in the audit and correction prose only,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 47]",bdd176757e748ffb68a90ebc4411b3ef82c538a8936903a1a67ca032aa88ffb6
2026-08-19,p399:u006:f003,p399:u006,4,399,47,DED,form,Tulu,,ajja,,deleted,reflex,main:47,da6,excluded_nonaccepted,,,,source-deleted form retained in the audit and correction prose only,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 47]",910043bf27d9ccaca480fd245a55817f6dfa3f547d880b3e2c7a484c2e8c8ccd
2026-08-19,p399:u006:f004,p399:u006,4,399,47,DED,form,Telugu,,ajja,,deleted,reflex,main:47,da6,excluded_nonaccepted,,,,source-deleted form retained in the audit and correction prose only,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 47]",c683abc01b95d2365b022211440ed2a16e32e3c3435ca829c7afb97b291d1929
2026-08-19,p399:u006:f005,p399:u006,4,399,47,DED,form,Kota,,aj,,comparison_only,comparison_only,main:47,da6,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 47]",818bde14961b059b7322ee0eb2d62df0f2e0f13d245960e947e25c337f34b498
2026-08-19,p399:u006:f006,p399:u006,4,399,47,DED,form,Telugu,,anja,,comparison_only,comparison_only,main:47,da6,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 47]",642685ffbf95448c08277cce5771a574f8392cd62b24431c22ab050fa674bd5a
2026-08-19,p399:u006:f007,p399:u006,4,399,47,DED,form,Tulu,,aipuni,,comparison_only,comparison_only,main:47,da6,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 47]",9317fc3c5df6916a31c6735ed6ef28eedaa54f4537e204b8398c629e1d408cc8
2026-08-19,p399:u007,,4,399,54,DED,record,,,,,,,main:54|supplement:22,d134|d141|d59,raw_segment_audited,,,,structured raw segment retained in audit; 3 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 54]",3e56aa6cf121e0215f4367c5dd1bad3f87ff07f785edd8a475d9357e01915dc3
2026-08-19,p399:u007:f001,p399:u007,4,399,54,DED,form,Kurukh,,arkhā,any leguminous plant or eatable greens,active,reflex,main:54|supplement:22,d141|d59,installed_form,Kurux,d59,burrow-emeneau1972den1:p399:u007:f001,old 54 split; the leguminous-greens form occurs in d59; agent transcription exactly corroborated by current DEDR,current-DEDR descendant restores the source retroflex/fricative sequence,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 54]",ee84f4789837f79419700f61a77b62df5e6867ea7045a8c198140f482c98de44
2026-08-19,p399:u007:f002,p399:u007,4,399,54,DED,form,Kurukh,,arkhā-cekhēl,"the vegetable kingdom, plants in general",active,derived,main:54|supplement:22,d141|d59,installed_form,Kurux,d59,burrow-emeneau1972den1:p399:u007:f002,old 54 split; the plant-kingdom compound occurs in d59; agent transcription exactly corroborated by current DEDR,"current-DEDR descendant restores retroflexion, fricative, and length",source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 54]",9c85eeb17769ddc86d5c74aee0e86bfdffa086a6a64257c426d8734a91eaba49
2026-08-19,p399:u007:f003,p399:u007,4,399,54,DED,form,Kurukh,,cekhel,,comparison_only,comparison_only,main:54|supplement:22,d141|d59,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 54]",4b9a32e866973dc4429a3c6c45669955989a1303faf8c15008fac25c6bc8b7de
2026-08-19,p399:u007:f004,p399:u007,4,399,54,DED,form,Kurukh,,atkha,,deleted,reflex,main:54|supplement:22,d141|d59,excluded_nonaccepted,,,,source-deleted form retained in the audit and correction prose only,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 54]",f77de6595c264dea0faaef69a1cb6d50ef3308caf98913f022bc7977e44af36e
2026-08-19,p399:u007:f005,p399:u007,4,399,54,DED,form,Malto,,,,deleted,reflex,main:54|supplement:22,d141|d59,excluded_nonaccepted,,,,source-deleted form retained in the audit and correction prose only,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 54]",f1a66538933663985719bd2d7f1825fa74ff5ac83a7bebebe980bc839f7c5723
2026-08-19,p399:u008,,4,399,56(a),DED,record,,,,,,,main:56,d112|d63,raw_segment_audited,,,,structured raw segment retained in audit; 2 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 56(a)]",90075351912bd04de546fccc5ee95dcc1e24f4c130b2406f14d775f204150772
2026-08-19,p399:u008:f001,p399:u008,4,399,56(a),DED,form,Tulu,B-K,"adeṅgu, deṅgu",to hide,active,variant,main:56,d112|d63,unreconciled_transcription,Tulu,d63,,old 56 split; 'hide' occurs in d63; agent transcription lacks a unique exact or diacritic-insensitive current-DEDR corroboration,current-DEDR descendant restores both printed variants and diacritics,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 56(a)]",6396be92c3db4b7956ba6357544843e4702386ccd1169bc33c6fc14f6809f8a4
2026-08-19,p399:u008:f002,p399:u008,4,399,56(a),DED,form,Tulu,B-K,aḍeka,"small, narrow",active,reflex,main:56,d112|d63,installed_form,Tulu,d63,burrow-emeneau1972den1:p399:u008:f002,split old entry resolved by exact language-and-form match in current DEDR; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 56(a)]",74051346ed0d2bd5a112efb40b6eda3835e825102888b377259608dc92072c68
2026-08-19,p399:u009,,4,399,58,DED,record,,,,,,,main:58,d107|d3869,raw_segment_audited,,,,structured raw segment retained in audit; 2 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 58]",24295fa7a79070844859f4838308b80583662b05b3f4125b19a64ef9a8e71e2f
2026-08-19,p399:u009:f001,p399:u009,4,399,58,DED,form,Tamil,,paṭṭi,,comparison_only,comparison_only,main:58,d107|d3869,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 58]",35f6c1855eca89bff65e493d1aaf29d75862d2a279a809753504731404bdb894
2026-08-19,p399:u009:f002,p399:u009,4,399,58,DED,form,Kannada,,hadabe,,comparison_only,comparison_only,main:58,d107|d3869,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 58]",d818ccf7831df9db53968bfc38524fc7631b344a4335b610a69f27c464234abb
2026-08-19,p399:u010,,4,399,67,DED,record,,,,,,,main:67,d77,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 67]",5f1ce2d93c6d4681b05026eddc527fecd01e4511e51b2714432ec8a9b7b0c693
2026-08-19,p399:u010:f001,p399:u010,4,399,67,DED,form,Telugu,,atukulu,"rice wetted, parched and flattened, beaten rice",active,reflex,main:67,d77,installed_form,Telugu,d77,burrow-emeneau1972den1:p399:u010:f001,unique old-number resolution; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'atukulu' reconciled as 'aṭukulu',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 67]",80b2fc2ad57324f5a9b460a497ecbd484a3050ef222181c38f47ab8b8cbce404
2026-08-19,p399:u011,,4,399,69(a),DED,record,,,,,,,main:69,d120|d79,raw_segment_audited,,,,structured raw segment retained in audit; 2 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 69(a)]",99254351b5c6933537c5a0ac3e5df343f2756805aa9d3aa9e31df1841b43ded7
2026-08-19,p399:u011:f001,p399:u011,4,399,69(a),DED,form,Telugu,,ḍāparamu,"getting, obtaining, coming or lighting upon",active,reflex,main:69,d120|d79,installed_form,Telugu,d79,burrow-emeneau1972den1:p399:u011:f001,"old 69 split; 'getting, obtaining' occurs in d79; agent transcription exactly corroborated by current DEDR",current-DEDR descendant confirms plain d and vowel length,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 69(a)]",5dab72883e1e3514c85de8f176dc9d7265b7f5fd2e496ff4244a806652fa9185
2026-08-19,p399:u011:f002,p399:u011,4,399,69(a),DED,form,Telugu,,ḍāparincu,"to be obtained, happen, occur, fall to one's lot",active,derived,main:69,d120|d79,installed_form,Telugu,d79,burrow-emeneau1972den1:p399:u011:f002,"old 69 split; 'be obtained, happen' occurs in d79; agent transcription exactly corroborated by current DEDR",current-DEDR descendant confirms plain d and vowel length,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 69(a)]",65d44bed6ad0caff6f7dc22aa9c8aed706162d34c5db1728b7d93ed57a83d214
2026-08-19,p399:u012,,4,399,69(b),DED,record,,,,,,,main:69,d120|d79,raw_segment_audited,,,,structured raw segment retained in audit; 2 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 69(b)]",32096b0eabe5567787fe9e3e3b1e6e6a495f492dd0301986e550d5e93e90c451
2026-08-19,p399:u012:f001,p399:u012,4,399,69(b),DED,form,Kuwi,F.,antū,menses,active,reflex,main:69,d120|d79,installed_form,Kuwi,d120,burrow-emeneau1972den1:p399:u012:f001,split old entry resolved by exact language-and-form match in current DEDR; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 69(b)]",8ac30da4c54306eac3d78b33212b8ed09615b1014b769ee3fc554305574627c2
2026-08-19,p399:u013,,4,399,71,DED,record,,,,,,,main:71,d81,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 71]",34cc87999a42c52c19660eabaf05ca526c7518a66ce1260ef11de70ead44ab01
2026-08-19,p399:u013:f001,p399:u013,4,399,71,DED,form,Kui,,jāpa (jāt-),"to request a favor, beg, ask, borrow, pray; request, entreaty, act of begging",active,reflex,main:71,d81,installed_form,Kui,d81,burrow-emeneau1972den1:p399:u013:f001,unique old-number resolution; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 71]",fab456735d5fdaaf618ad3ae7e2c72bff9f9e7e1e8a8ac72b0ee1eafffb83a0b
2026-08-19,p399:u013:f002,p399:u013,4,399,71,DED,form,Kui,,j,,corrected,variant,main:71,d81,unreconciled_transcription,Kui,d81,,unique old-number resolution; agent transcription lacks a unique exact or diacritic-insensitive current-DEDR corroboration,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 71]",e950e92328f8d6e09482bd3e30b9b3a6ae156b6f495d80a0408245587d3e5ca2
2026-08-19,p399:u014,,4,399,83,DED,record,,,,,,,main:83,d93,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 83]",a67e9a342c7a661d14e68387935a8a0a688ae56179363849a9765a11dff48154
2026-08-19,p399:u014:f001,p399:u014,4,399,83,DED,form,Pengo,,aṭu,attic,loan,borrowed,main:83,d93,excluded_nonaccepted,,,,"loan reanalysis retained as typed source prose, not an inherited reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 83]",ec1db228d9b3139c9d4404b4b1051c3f1f6970b472b78a28f4f8fb35a4ab5b40
2026-08-19,p399:u015,,4,399,87,DED,record,,,,,,,main:87,d97,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 87]",79c8965a51cdfe302b274c92ca7942cb8c8fb0f13e0b5499c7efb934fbf97d87
2026-08-19,p399:u015:f001,p399:u015,4,399,87,DED,form,Malayalam,Kauṭ.,aṭṭuka,to discharge (urine),active,reflex,main:87,d97,installed_form,Malayalam,d97,burrow-emeneau1972den1:p399:u015:f001,unique old-number resolution; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 87]",25452c1810de3957eedef8c871819e612d37a2e03bd885f8492ded9ffc339c7e
2026-08-19,p399:u016,,4,399,97,DED,record,,,,,,,main:97,d114,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 97]",2c5fbdd6e3b584b39363319b84209f73cde474fb6e9f780626fb4aa4757ff194
2026-08-19,p399:u016:f001,p399:u016,4,399,97,DED,form,Malayalam,,aṇali,viper,active,reflex,main:97,d114,installed_form,Malayalam,d114,burrow-emeneau1972den1:p399:u016:f001,unique old-number resolution; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 97]",8652eba7691cb9a659ee85d560146f0dd6d5ed28d8b8a631e900450dcbd473b6
2026-08-19,p399:u016:f002,p399:u016,4,399,97,DED,form,Toda,,oḷ,molar tooth,active,reflex,main:97,d114,installed_form,Toda,d114,burrow-emeneau1972den1:p399:u016:f002,unique old-number resolution; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 97]",6f79503f151bd2f37fd17fa757d8e3b4a6eafb107ad9dc89933d738934538cb4
2026-08-19,p399:u017,,4,399,104,DED,record,,,,,,,main:104,d121,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 104]",aee438618f7715d727f0ff59a1c2f936180ed5b24fac77ebdaa27bd547afe29b
2026-08-19,p399:u017:f001,p399:u017,4,399,104,DED,form,Malayalam,Tiyya,aṇa-,"to be put out, extinguished",active,reflex,main:104,d121,unreconciled_transcription,tiyya,d121,,unique old-number resolution; agent transcription lacks a unique exact or diacritic-insensitive current-DEDR corroboration,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 104]",142d71000f41d87caf48a4c587f4b36e7810f2fbafefd5f7a6e5fe02a5086998
2026-08-19,p399:u018,,4,399,111,DED,record,,,,,,,main:111,da7,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 111]",06ed147eb3653eeb95ae52ae20ad7dcf7c930084736980379a80719abc70d076
2026-08-19,p399:u018:f001,p399:u018,4,399,111,DED,form,Pengo,,enḍka,,comparison_only,borrowed,main:111,da7,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 111]",52324280ba9a861929cf17a20de9874f6f5b997febbd8e674a89149249725dd4
2026-08-19,p399:u019,,4,399,112,DED,record,,,,,,,main:112,d131,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 112]",a97b1420a5806ee35d8d4efc4643688cde5c578ba939689c4aceba2229810d01
2026-08-19,p399:u019:f001,p399:u019,4,399,112,DED,form,Gondi,Koya Su.,annāl,elder brother,active,reflex,main:112,d131,installed_form,koya,d131,burrow-emeneau1972den1:p399:u019:f001,unique old-number resolution; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 112]",7c3032b39138e5ad6c1068932f0676b58312d22c15fd46728d996cd5157ce454
2026-08-19,p399:u020,,4,399,115,DED,record,,,,,,,main:115,d135,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 115]",452ef9a684e0bc7ac9ea2538d70abcbdbc34b64f02522a4cb62b519f4dc7d497
2026-08-19,p399:u020:f001,p399:u020,4,399,115,DED,form,Tamil,,aṭāli,,comparison_only,comparison_only,main:115,d135,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 115]",29c4462a149edac3d8ca778e42d7a50301c4c85f555cb469aaa74516dac6331d
2026-08-19,p400:u001,,5,400,118,DED,record,,,,,,,main:118|main:1919,d2325,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 400, entry 118]",802d0fa3dc2b72e7eb643802d88515bfcae84a143ceb93e3d2f3532664b46be2
2026-08-19,p400:u002,,5,400,133,DED,record,,,,,,,main:133,d156,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 400, entry 133]",465489c62180f56b46383993f194a10b830fad8a812cfe039651e70c8b241952
2026-08-19,p400:u002:f001,p400:u002,5,400,133,DED,form,Gondi,Koya Su.,tappe,father (his/her),active,reflex,main:133,d156,installed_form,koya,d156,burrow-emeneau1972den1:p400:u002:f001,unique old-number resolution; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 400, entry 133]",14a23f63d54a5ac8af61116f7c2cca7db58bf99b468784990add4934732acf67
2026-08-19,p400:u003,,5,400,151,DED,record,,,,,,,main:151,d179,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 400, entry 151]",7d4bb792a6d25a71daafb080a41810b6a055d575c52c3a266b9536878a1c8fa2
2026-08-19,p400:u003:f001,p400:u003,5,400,151,DED,form,Telugu,,jabil(l)i,moon,queried,reflex,main:151,d179,excluded_nonaccepted,,,,tentative form retained in source prose without a rank-1 reflex edge,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 400, entry 151]",682e0a61f16fb15a9e0e8beec1777b625ca0e2bed8280098325d943735aa0473
