Language_ID,Form,Gloss,Notes
bro,caq,spinning wheel,Table 2 item 80
dr,gam kwii,village,Table 2 item 81
bro,ben,village,Table 2 item 81
dr,káaṭo,wood,Table 2 item 82
bro,'koot,wood,Table 2 item 82
dr,krom,work,Table 2 item 83
bro,krom,work,Table 2 item 83
dr,áẓo,cloud,Table 2 item 85
bro,a'zes,cloud,Table 2 item 85
dr,bícuṣ,lightning,Table 2 item 86
bro,brok,lightning,Table 2 item 86
dr,yaun,moon,Table 2 item 87
bro,gun,moon,Table 2 item 87
dr,méi azo,rain,Table 2 item 88
bro,char'chy,rain,Table 2 item 88
dr,anai,sky,Table 2 item 89
bro,do'lo,sky,Table 2 item 89
dr,hin,snow,Table 2 item 90
bro,'azo,snow,Table 2 item 90
dr,tdéaro,star,Table 2 item 91
bro,'turi,star,Table 2 item 91
dr,súuri,sun,Table 2 item 92
bro,'sari,sun,Table 2 item 92
dr,wói,water,Table 2 item 93
bro,wɨɨ,water,Table 2 item 93
dr,dos,wind,Table 2 item 94
bro,yys,wind,Table 2 item 94
dr,belukhén,afternoon,Table 2 item 95
dr,bazukhén,afternoon,Table 2 item 95
bro,ba'zun,afternoon,Table 2 item 95
bro,ha'ray,afternoon,Table 2 item 95
dr,šaróo,autumn,Table 2 item 96
bro,taas 'yuuno,autumn,Table 2 item 96
dr,khíri,down(hill),Table 2 item 99
bro,dis ce khah,down(hill),Table 2 item 99
dr,déen wari sturi,east,Table 2 item 100
bro,šar,east,Table 2 item 100
dr,šáam,evening,Table 2 item 101
bro,bal'bul,evening,Table 2 item 101
bro,'beldan,evening,Table 2 item 101
dr,mdos,month,Table 2 item 102
dr,cal,morning,Table 2 item 103
bro,'cwalto,morning,Table 2 item 103
dr,ráati,night,Table 2 item 104
bro,raat,night,Table 2 item 104
dr,suryoon,sunny side of mountain,Table 2 item 105
bro,min,sunny side of mountain,Table 2 item 105
dr,churyéon,shady side of mountain,Table 2 item 106
bro,mys grib,shady side of mountain,Table 2 item 106
dr,niril,seasonal migration,Table 2 item 107
bro,'paae 'nakhlis,seasonal migration,Table 2 item 107
dr,uzaalo,spring (season),Table 2 item 108
bro,ba'zun,spring (season),Table 2 item 108
bro,'welo,spring (season),Table 2 item 108
dr,bazoéno,summer,Table 2 item 109
bro,'wulo,summer,Table 2 item 109
bro,ba'zun,summer,Table 2 item 109
dr,aš,today,Table 2 item 110
bro,aš,today,Table 2 item 110
dr,ajá,up(hill),Table 2 item 111
bro,hen,up(hill),Table 2 item 111
dr,sturi béen wari,west,Table 2 item 112
bro,nub,west,Table 2 item 112
dr,yoóno,winter,Table 2 item 113
bro,'yuuno,winter,Table 2 item 113
dr,awéelo,year,Table 2 item 114
bro,lo'kyr,year,Table 2 item 114
bro,saar,year,Table 2 item 114
dr,kwii,earth,Table 2 item 115
bro,pɨɨ,earth,Table 2 item 115
dr,biicdal,earthquake,Table 2 item 116
dr,tsangil,earthquake,Table 2 item 116
bro,tsan'gul,earthquake,Table 2 item 116
dr,jaṅgál,forest,Table 2 item 117
dr,jeél,forest,Table 2 item 117
bro,tshoq,forest,Table 2 item 117
bro,dzay'gal,forest,Table 2 item 117
dr,šday,highest summer pasture,Table 2 item 118
bro,alo tsib,highest summer pasture,Table 2 item 118
dr,ṭhóko,hill,Table 2 item 119
bro,caris,hill,Table 2 item 119
bro,nag'lis,hill,Table 2 item 119
bro,zuy,hill,Table 2 item 119
dr,šday,mountain,Table 2 item 120
bro,zuy,mountain,Table 2 item 120
dr,sin,river,Table 2 item 121
bro,sin,river,Table 2 item 121
dr,síṅel,sand,Table 2 item 122
bro,'siri,sand,Table 2 item 122
dr,uts,spring (of water),Table 2 item 123
bro,'ortsu,spring (of water),Table 2 item 123
dr,baṭ,stone,Table 2 item 124
bro,'naaro,stone,Table 2 item 124
dr,philíili,ant,Table 2 item 125
bro,pi'nili,ant,Table 2 item 125
dr,ẓakún,ass,Table 2 item 126
bro,kxar,ass,Table 2 item 126
dr,iš,bear,Table 2 item 127
bro,den'mo,bear,Table 2 item 127
dr,céei,bird,Table 2 item 128
bro,'cešok thog,bird,Table 2 item 128
dr,dóono,bull,Table 2 item 129
bro,lay'to zo,bull,Table 2 item 129
dr,zombuti,bumblebee,Table 2 item 130
bro,us''kuto,bumblebee,Table 2 item 130
dr,gajo,cat (m.),Table 2 item 131
dr,pišu,cat (m.),Table 2 item 131
bro,bi'lue,cat (m.),Table 2 item 131
dr,pisu,cat (f.),Table 2 item 132
bro,lee bi',cat (f.),Table 2 item 132
dr,koérkuts,crow,Table 2 item 133
bro,qoo,crow,Table 2 item 133
dr,gado,cow,Table 2 item 134
bro,goó,cow,Table 2 item 134
dr,siti,dog,Table 2 item 135
bro,šwaa,dog,Table 2 item 135
dr,ṭhuúli,egg,Table 2 item 136
bro,thul,egg,Table 2 item 136
dr,pato,feather,Table 2 item 137
bro,sok'paa,feather,Table 2 item 137
dr,chímo,fish,Table 2 item 138
bro,nyaa,fish,Table 2 item 138
dr,priíẓo,flea,Table 2 item 139
bro,'puzo,flea,Table 2 item 139
dr,chatíilu,goat (m.),Table 2 item 140
bro,'miar,goat (m.),Table 2 item 140
bro,ẓa'too,goat (m.),Table 2 item 140
dr,á~i~,goat (f.),Table 2 item 141
bro,'aau,goat (f.),Table 2 item 141
bro,'chaati,goat (f.),Table 2 item 141
bro,chal,goat (f.),Table 2 item 141
dr,kokói,hen,Table 2 item 142
bro,byaa mo,hen,Table 2 item 142
dr,ṣíṅo,horn,Table 2 item 143
bro,ṣíṅ,horn,Table 2 item 143
dr,ašup,horse,Table 2 item 144
bro,aays,horse,Table 2 item 144
dr,jua,louse,Table 2 item 145
bro,ẓwaa,louse,Table 2 item 145
dr,licf,louse (nit),Table 2 item 146
bro,lic'aa,louse (nit),Table 2 item 146
dr,miuuzi,"mouse, rat",Table 2 item 147
bro,'mauzi,"mouse, rat",Table 2 item 147
dr,kokoé biiro,rooster,Table 2 item 148
bro,pho byaa,rooster,Table 2 item 148
dr,lac̣,sheep,Table 2 item 149
bro,nílo,sheep,Table 2 item 149
dr,jon,snake,Table 2 item 150
bro,zon,snake,Table 2 item 150
dr,lamúṭi,tail,Table 2 item 151
bro,pi'coo,tail,Table 2 item 151
dr,cazda,wasp,Table 2 item 152
bro,ton'ze,wasp,Table 2 item 152
dr,paloó,apple,Table 2 item 153
bro,pa'laa,apple,Table 2 item 153
dr,phardor,apricot,Table 2 item 154
bro,phaa'tir,apricot,Table 2 item 154
dr,dílo,bark (of tree),Table 2 item 155
bro,phar'put,bark (of tree),Table 2 item 155
dr,yéo,barley,Table 2 item 156
bro,go'no,barley,Table 2 item 156
dr,jóo~ẓi,birch,Table 2 item 157
bro,'zozi,birch,Table 2 item 157
bro,zuru'zii,birch,Table 2 item 157
dr,diiv daar,cedar,Table 2 item 158
bro,dyo'daar,cedar,Table 2 item 158
dr,injfir,fig (fruit),Table 2 item 159
bro,an'jiir,fig (fruit),Table 2 item 159
dr,daṣ,grape(s),Table 2 item 160
bro,ẓas,grape(s),Table 2 item 160
dr,kas,grass/fodder,Table 2 item 161
bro,gaas,grass/fodder,Table 2 item 161
dr,páṭo,leaf,Table 2 item 162
bro,pan'nii,leaf,Table 2 item 162
dr,makái,maize,Table 2 item 163
bro,mak'kii chah,maize,Table 2 item 163
dr,maréos,mulberry tree,Table 2 item 164
bro,ma'téds,mulberry tree,Table 2 item 164
dr,andar,pomegranate,Table 2 item 165
bro,a'nar,pomegranate,Table 2 item 165
dr,fras,poplar,Table 2 item 166
bro,phal'tsaa,poplar,Table 2 item 166
dr,chiríṣ,root,Table 2 item 167
bro,pat'taq,root,Table 2 item 167
dr,bíi,seed,Table 2 item 168
bro,bíi,seed,Table 2 item 168
dr,byéi,tree,Table 2 item 169
bro,šin'tso,tree,Table 2 item 169
bro,laq'tshuks,tree,Table 2 item 169
dr,achooé,walnut,Table 2 item 170
bro,ac̣hoó,walnut,Table 2 item 170
dr,byéi,willow,Table 2 item 171
bro,can'ma,willow,Table 2 item 171
dr,kutyoéno,to beat,Table 2 item 172
bro,khu'tis,to beat,Table 2 item 172
dr,thyoono jan,to bite,Table 2 item 173
bro,this cay,to bite,Table 2 item 173
dr,dajoéno,to burn (intr.),Table 2 item 174
bro,'daazis,to burn (intr.),Table 2 item 174
dr,dayodéno,to burn (tr.),Table 2 item 175
bro,'daahis,to burn (tr.),Table 2 item 175
dr,odno,to come,Table 2 item 176
bro,is,to come,Table 2 item 176
dr,roóno,to cry,Table 2 item 177
bro,rus,to cry,Table 2 item 177
dr,miryoéno,to die,Table 2 item 178
bro,mi'nis,to die,Table 2 item 178
dr,piyoéno,to drink,Table 2 item 179
bro,pis,to drink,Table 2 item 179
dr,khodéno,to eat,Table 2 item 180
bro,kxus,to eat,Table 2 item 180
dr,talwi dyoéno,to fly,Table 2 item 181
bro,iu'this,to fly,Table 2 item 181
dr,dyooéno,to give,Table 2 item 182
bro,dis,to give,Table 2 item 182
dr,bojoéno,to go,Table 2 item 183
bro,byaas,to go,Table 2 item 183
dr,lyodno,to harvest,Table 2 item 184
bro,'ɨɨs,to harvest,Table 2 item 184
dr,parjooéno,to hear,Table 2 item 185
bro,kon this,to hear,Table 2 item 185
dr,maryoéno,to kill,Table 2 item 186
bro,ma'ris,to kill,Table 2 item 186
dr,dastyoéno,to know,Table 2 item 187
bro,ẓaš,to know,Table 2 item 187
dr,hdaji thyodno,to laugh,Table 2 item 188
bro,'haazis,to laugh,Table 2 item 188
dr,dil boéno,to lie (down),Table 2 item 189
bro,šus,to lie (down),Table 2 item 189
dr,tajoéno,to say,Table 2 item 190
bro,'raazis,to say,Table 2 item 190
dr,cakyoéno,to see,Table 2 item 191
bro,skis,to see,Table 2 item 191
dr,biyoéno,to sit,Table 2 item 192
bro,bɨɨs,to sit,Table 2 item 192
dr,soónu,to sleep,Table 2 item 193
bro,sas,to sleep,Table 2 item 193
dr,uthyodno,to stand,Table 2 item 194
bro,u'this,to stand,Table 2 item 194
dr,noosyooéno,to swim,Table 2 item 195
bro,škela'ris,to swim,Table 2 item 195
dr,yazoóno,to walk,Table 2 item 196
bro,ẓaa'zis,to walk,Table 2 item 196
dr,dowzeéno,to wash (tr.),Table 2 item 197
bro,dus,to wash (tr.),Table 2 item 197
dr,biro,all (countable),Table 2 item 198
bro,cuk,all (countable),Table 2 item 198
dr,ldaa,all (uncountable),Table 2 item 199
dr,bucé,all (uncountable),Table 2 item 199
bro,cuk,all (uncountable),Table 2 item 199
dr,báṛo,big,Table 2 item 200
bro,'bono,big,Table 2 item 200
dr,c̣íṭo,bitter,Table 2 item 201
bro,c̣íṭo,bitter,Table 2 item 201
bro,'tiito,bitter,Table 2 item 201
dr,kíṇo,black,Table 2 item 202
bro,'kyono,black,Table 2 item 202
dr,ṣéeo,blind,Table 2 item 203
bro,zar'baa,blind,Table 2 item 203
dr,caamiiti,cold,Table 2 item 204
bro,'cyya,cold,Table 2 item 204
dr,štko,dry,Table 2 item 205
bro,'šuko,dry,Table 2 item 205
dr,a~ṣṭ,eight,Table 2 item 206
bro,a~ṣ,eight,Table 2 item 206
dr,aṣṭáa~i,eighteen,Table 2 item 207
bro,as'toṣ,eighteen,Table 2 item 207
dr,akáai,eleven,Table 2 item 208
bro,'qudes,eleven,Table 2 item 208
dr,c̣eék,few,Table 2 item 209
bro,kiii 'apo,few,Table 2 item 209
dr,paziléi,fifteen,Table 2 item 210
bro,'paades,fifteen,Table 2 item 210
dr,poš,five,Table 2 item 211
bro,pods,five,Table 2 item 211
dr,díbu-ga ek,forty-one,Table 2 item 212
bro,'dobuẓu 'ek,forty-one,Table 2 item 212
dr,cáar,four,Table 2 item 213
bro,coor,four,Table 2 item 213
dr,codé~i~,fourteen,Table 2 item 214
bro,'cuudes,fourteen,Table 2 item 214
dr,phúuṇo,full,Table 2 item 215
dr,puji,full,Table 2 item 215
bro,pe'ree 'punjis,full,Table 2 item 215
dr,šaboko sfi,good,Table 2 item 216
bro,'thaalo,good,Table 2 item 216
dr,níilo,green,Table 2 item 217
bro,níilo,green,Table 2 item 217
dr,tátto,hot,Table 2 item 218
bro,taáto,hot,Table 2 item 218
dr,šal,hundred,Table 2 item 219
bro,šo,hundred,Table 2 item 219
dr,niráno,hungry,Table 2 item 220
bro,than'yaa thaa,hungry,Table 2 item 220
dr,khaibén,left (direction),Table 2 item 221
bro,bin,left (direction),Table 2 item 221
dr,jijo,long,Table 2 item 222
bro,ẓígo,long,Table 2 item 222
dr,lau maga,many,Table 2 item 223
bro,'bede,many,Table 2 item 223
dr,naáo,new,Table 2 item 224
bro,nyy,new,Table 2 item 224
dr,náu,nine,Table 2 item 225
bro,nur,nine,Table 2 item 225
dr,kuniíh,nineteen,Table 2 item 226
bro,'kunjaa,nineteen,Table 2 item 226
dr,járo,old (person),Table 2 item 227
bro,'jaaro,old (person),Table 2 item 227
dr,ek,one,Table 2 item 228
bro,ek,one,Table 2 item 228
dr,loólo,red,Table 2 item 229
bro,'loodo,red,Table 2 item 229
dr,dastibén,right (direction),Table 2 item 230
bro,wor'ji tray,right (direction),Table 2 item 230
dr,kirkiro,round,Table 2 item 231
bro,ḍiḍuúro,round,Table 2 item 231
bro,'rilbu,round,Table 2 item 231
dr,sat,seven,Table 2 item 232
bro,sat,seven,Table 2 item 232
dr,sattáa~i~,seventeen,Table 2 item 233
bro,sat'tóoṣ,seventeen,Table 2 item 233
dr,ṭíino,sharp,Table 2 item 234
bro,'tino,sharp,Table 2 item 234
bro,tsap tsap,sharp,Table 2 item 234
dr,ṣa,six,Table 2 item 235
bro,saa,six,Table 2 item 235
dr,ṣóoi,sixteen,Table 2 item 236
bro,'sobeš,sixteen,Table 2 item 236
dr,cino,small,Table 2 item 237
bro,'saeeeno 'titaq,small,Table 2 item 237
dr,cito,sour,Table 2 item 238
bro,'cukro,sour,Table 2 item 238
dr,dái,ten,Table 2 item 239
bro,daas,ten,Table 2 item 239
dr,c̣óoi,thirteen,Table 2 item 240
bro,trobes,thirteen,Table 2 item 240
dr,bií-ga kuniíh,thirty-nine,Table 2 item 241
bro,'bizum 'kunjaa,thirty-nine,Table 2 item 241
dr,c̣ée,three,Table 2 item 242
bro,traa,three,Table 2 item 242
dr,sáas,thousand,Table 2 item 243
bro,'ston,thousand,Table 2 item 243
dr,bwaai,twelve,Table 2 item 244
bro,'bude,twelve,Table 2 item 244
dr,bií,twenty,Table 2 item 245
bro,bi'ẓaa,twenty,Table 2 item 245
bro,bizi' nia,twenty-nine,Table 2 item 246
dr,du,two,Table 2 item 247
bro,dave,two,Table 2 item 247
dr,sydoo,white,Table 2 item 248
bro,šóo,white,Table 2 item 248
dr,gauro,yellow,Table 2 item 249
bro,hal'dzuro,yellow,Table 2 item 249
dr,j̣o,he,Table 2 item 250
bro,pho,he,Table 2 item 250
dr,moh,I,Table 2 item 251
bro,mo~,I,Table 2 item 251
dr,nuṣ,not,Table 2 item 252
bro,nurs,not,Table 2 item 252
dr,ze,she,Table 2 item 253
bro,mu'ley pho,she,Table 2 item 253
dr,paraa,"they (m., dist.)",Table 2 item 254
dr,ze,"they (m., dist.)",Table 2 item 254
bro,'pheeu,"they (m., dist.)",Table 2 item 254
dr,j̣o,"they (f., dist.)",Table 2 item 255
dr,paraáo,"they (f., dist.)",Table 2 item 255
bro,'pheeu,"they (f., dist.)",Table 2 item 255
dr,ana ze,"they (m., prox.)",Table 2 item 256
bro,alo,"they (m., prox.)",Table 2 item 256
dr,ani ẓe,"they (f., prox.)",Table 2 item 257
bro,a'lo,"they (f., prox.)",Table 2 item 257
dr,parado,that (m.),Table 2 item 258
bro,a'lo,that (m.),Table 2 item 258
dr,anúh,this (m.),Table 2 item 260
dr,áa,this (m.),Table 2 item 260
bro,a'lam,this (m.),Table 2 item 260
dr,beʔ,we,Table 2 item 263
bro,ben,we,Table 2 item 263
bro,bɨɨ,we,Table 2 item 263
dr,jok,what?,Table 2 item 264
bro,yee,what?,Table 2 item 264
dr,kodi,who?,Table 2 item 265
bro,koo,who?,Table 2 item 265
dr,tuh,you (sg.),Table 2 item 266
bro,ti,you (sg.),Table 2 item 266
dr,tsho~,you (pl.),Table 2 item 267
bro,tshur,you (pl.),Table 2 item 267
dr,iit,camel,Table 2 item 268
dr,šaṅaáli,chain,Table 2 item 269
dr,a~i~c̣i,cheese,Table 2 item 270
dr,téam,copper,Table 2 item 271
dr,dursman,enemy,Table 2 item 272
dr,parí,fairy,Table 2 item 273
dr,ašcaat,far,Table 2 item 274
dr,buxáar,fever,Table 2 item 275
dr,tsat,fever,Table 2 item 275
dr,aaite,flour,Table 2 item 276
dr,phíiṇɨ,foam,Table 2 item 277
dr,'oi,fox,Table 2 item 278
dr,maṇóo~k,frog,Table 2 item 279
dr,sdon,gold,Table 2 item 280
dr,tumaék,gun,Table 2 item 281
dr,ẓukil,hedgehog,Table 2 item 282
dr,thúri,heel,Table 2 item 283
dr,urán,lamb,Table 2 item 284
dr,dhit,leopard,Table 2 item 285
dr,anai tdaro,Milky Way,Table 2 item 286
dr,šiišá,mirror,Table 2 item 287
dr,achoo,nut,Table 2 item 288
dr,kali,nut,Table 2 item 288
dr,hattáa,palm of hand,Table 2 item 289
dr,bizoéni,rainbow,Table 2 item 290
dr,dayóo,rice (paddy),Table 2 item 291
dr,brím,rice (cooked),Table 2 item 292
dr,bic,scorpion,Table 2 item 293
dr,las šarm,shame,Table 2 item 294
dr,níiṣ,sleep,Table 2 item 295
dr,šooom,spleen,Table 2 item 296
dr,likhyoónu,to write,Table 2 item 297
dr,dées,day,Table 2 item 97
bro,dis,day,Table 2 item 97
bro,'súri,day,Table 2 item 97
dr,baṭavaár,Saturday,Table 2 item 97a
dr,adít,Sunday,Table 2 item 97b
dr,tsádraál,Monday,Table 2 item 97c
dr,aṅgaáro,Tuesday,Table 2 item 97d
dr,bóodo,Wednesday,Table 2 item 97e
dr,brésput,Thursday,Table 2 item 97f
dr,jumáa~,Friday,Table 2 item 97g
dr,c̣iírye,day after tomorrow,Table 2 item 98
bro,c̣e dis,day after tomorrow,Table 2 item 98
dr,eš,ewe,Table 2 item 149a
bro,eey,ewe,Table 2 item 149a
dr,karéelo,ram,Table 2 item 149b
bro,chur'di,ram,Table 2 item 149b
Astor,baṛo maálo,father's brother,Table 2 item 40 footnote: elder father
gil,ispo-ga dóoney pon,Milky Way,Table 2 item 286 footnote: path of the horse and bull
