Status,Entry_Key,PDF_Page,Printed_Head,Form,Variants,Gloss,DEDR_IDs,DEDR_Relations,Checked_Unlinked,Unresolved_DEDR_IDs,Raw_Entry
ingested,wolf-kota:p1:e21,1,aj,aj,,"“footprint”; tire track, snake track, etc.",6,related,,,"aj — (app. 6) “footprint”; tire track, snake track, etc."
ingested,wolf-kota:p2:e1,2,akatar / akotar,akatar,akotar,in addition to (kurgōj mānt / kolmēl mānt),,,yes,,akatar / akotar — [-] in addition to (kurgōj mānt / kolmēl mānt)
ingested,wolf-kota:p2:e2,2,akkatl,akkatl,,over there (I: 68),,,,,akkatl — over there (I: 68)
ingested,wolf-kota:p2:e3,2,aḷ,aḷ,,“cave”; cavity where bones are kept for varldāv,308,direct,,,aḷ — (308) “cave”; cavity where bones are kept for varldāv
ingested,wolf-kota:p2:e4,2,alapanayt,alapanayt,,y-shaped hair pin IV: 109a,,,,,alapanayt — y-shaped hair pin IV: 109a
ingested,wolf-kota:p2:e5,2,alād,alād,,"‘which is not so-and-so; bad; except; besides, not only but also’",234,direct,,,"alād — (234) ‘which is not so-and-so; bad; except; besides, not only but also’"
ingested,wolf-kota:p2:e6,2,alāmo,alāmo,,is it not? (equiv. in English of “you know?”),234,related,,,alāmo — [234] is it not? (equiv. in English of “you know?”)
ingested,wolf-kota:p2:e7,2,aḷk āṛ- / āṭ- (āc-),aḷk āṛ-,āṭ-|āc-,"“to shake (tr.) wag”; move slightly, to stagger with drunkenness. Swaying of kuṭam (sideways when carried by woman). See also ackāṭ-.",294,direct,,,"aḷk āṛ- / āṭ- (āc-) — (294) “to shake (tr.) wag”; move slightly, to stagger with drunkenness. Swaying of kuṭam (sideways when carried by woman). See also ackāṭ-."
ingested,wolf-kota:p2:e8,2,aḷv- (aḷd-),aḷv-,aḷd-,“to measure”,295,direct,,,aḷv- (aḷd-) — (295) “to measure”
ingested,wolf-kota:p2:e9,2,alv- (ald-),alv-,ald-,“become wearied by walking or searching”,236,direct,,,alv- (ald-) — (236) “become wearied by walking or searching”
ingested,wolf-kota:p2:e10,2,ambgalāṛa,ambgalāṛa,,place where Kota shot Toda with arrow from several km. away for revenge (I: 70- 71),,,,,ambgalāṛa — place where Kota shot Toda with arrow from several km. away for revenge (I: 70- 71)
ingested,wolf-kota:p2:e11,2,amb kuḍ,amb kuḍ,,piece of wood carved in diamond shape and kept under bier II: 29,,,,,amb kuḍ — piece of wood carved in diamond shape and kept under bier II: 29
ingested,wolf-kota:p2:e12,2,amk- (amky-),amk-,amky-,"“to press hard, to make keep quiet”",169,direct,,,"amk- (amky-) — (169) “to press hard, to make keep quiet”"
ingested,wolf-kota:p2:e13,2,amkacl,amkacl,,"possibly some kind of chick pea, see I: 45 and botanical",,,,,"amkacl — possibly some kind of chick pea, see I: 45 and botanical"
ingested,wolf-kota:p2:e14,2,aṇ,aṇ,,water channel IV: 95,,,,,aṇ — water channel IV: 95
ingested,wolf-kota:p2:e15,2,aṇ- (aṇḍ-),aṇ-,aṇḍ-,"to pick, pluck (fruit, flowers, plants)",,,yes,,"aṇ- (aṇḍ-) — [-] to pick, pluck (fruit, flowers, plants)"
ingested,wolf-kota:p2:e16,2,"anān/anōn, anōḷ, anōr, and",anān,anōn|anōḷ|anōr|and,"“such an important man, woman, etc. as that” [DEDR only]; anōr [1] brothers or sisters",1,direct,,,"anān/anōn, anōḷ, anōr, and (1) “such an important man, woman, etc. as that” [DEDR only]; anōr [1] brothers or sisters"
ingested,wolf-kota:p2:e17,2,andēl,andēl,,(EVS) “time after sunset (until about 9 p.m.)”,,,,,andēl — (EVS) “time after sunset (until about 9 p.m.)”
ingested,wolf-kota:p2:e18,2,ang,ang,,younger sister,3015,related,,,ang — [3015] younger sister
ingested,wolf-kota:p2:e19,2,angāl,angāl,,bottom of foot,7,direct,,,angāl — (7) bottom of foot
ingested,wolf-kota:p2:e20,2,angaṇm,angaṇm,,"details, evidence",,,yes,,"angaṇm — [-] details, evidence"
ingested,wolf-kota:p2:e21,2,angaram,angaram,,in a little while,,,,,angaram — in a little while
ingested,wolf-kota:p2:e22,2,angāp (mē-/kī-),angāp (mē-,kī-),throat (upper; lower),,,yes,,angāp (mē-/kī-) — [-] throat (upper; lower)
ingested,wolf-kota:p2:e23,2,angāṛy,angāṛy,,"shop [DEDR spelling, angāḍy]",35,direct,,,"angāṛy — (35) shop [DEDR spelling, angāḍy]"
ingested,wolf-kota:p2:e24,2,angāv- (angāt-),angāv-,angāt-,to turn head upwards,34,direct,,,angāv- (angāt-) — (34) to turn head upwards
ingested,wolf-kota:p2:e25,2,angay,angay,,inner part of hand,,,yes,,angay — [-] inner part of hand
ingested,wolf-kota:p2:e26,2,anglāpm,anglāpm,,"desire (to hear a song, etc.)",,,,,"anglāpm — desire (to hear a song, etc.)"
ingested,wolf-kota:p2:e27,2,anj- (anj-),anj-,,to fear,55,direct,,,anj- (anj-) — (55) to fear
ingested,wolf-kota:p2:e28,2,anjank,anjank,,feat,55,related,,,anjank — [55] feat
ingested,wolf-kota:p2:e29,2,ankārm,ankārm,,"happiness (prob related to tamil ānkāram: pride, vanity, haughtiness)",,,,,"ankārm — happiness (prob related to tamil ānkāram: pride, vanity, haughtiness)"
ingested,wolf-kota:p2:e30,2,aṇgval,aṇgval,,molars,,,yes,,aṇgval — [- + pal] molars
ingested,wolf-kota:p2:e31,2,anm,anm,,like that,1,direct,,,anm — (1) like that
ingested,wolf-kota:p2:e32,2,anm āyṭ,anm āyṭ,,therefore,,,,,anm āyṭ — [anm + ] therefore
ingested,wolf-kota:p2:e33,2,anmūṛ,anmūṛ,,like that,1,direct,,,anmūṛ — (1) like that
ingested,wolf-kota:p2:e34,2,anna,anna,,former unit of Indian currency equally 1/16 of a rupee,,,,,anna — former unit of Indian currency equally 1/16 of a rupee
ingested,wolf-kota:p2:e35,2,aṇtama,aṇtama,,"elder and younger brother, in ritual expressions IV: 18",,,,,"aṇtama — elder and younger brother, in ritual expressions IV: 18"
ingested,wolf-kota:p2:e36,2,aṇtamic,aṇtamic,,III:25 man’s brothers’ wives; a man’s wifes’ sisters—i.e. always in relationship of potential wife; III: 79a,,,,,aṇtamic — III:25 man’s brothers’ wives; a man’s wifes’ sisters—i.e. always in relationship of potential wife; III: 79a
ingested,wolf-kota:p2:e37,2,aṇtamn,aṇtamn,,III: 25 woman’s husband’s brothers III: 79a,,,,,aṇtamn — III: 25 woman’s husband’s brothers III: 79a
ingested,wolf-kota:p2:e38,2,apuṛo,apuṛo,,word expressing doubt concerning some fact or statement,,,yes,,apuṛo — [-] word expressing doubt concerning some fact or statement
ingested,wolf-kota:p2:e39,2,aṛ- (aṭ-),aṛ-,aṭ-,“cook by boiling” or frying etc.; fire (a pot),76,direct,,,aṛ- (aṭ-) — (76) “cook by boiling” or frying etc.; fire (a pot)
ingested,wolf-kota:p2:e40,2,arn,arn,,dried dung I: 148,,,,,arn — dried dung I: 148
ingested,wolf-kota:p3:e1,3,arb,arb,,"good luck, “extreme happiness (at getting a good meal, finding money, escaping death, etc)”",232,direct,,,"arb — (232) good luck, “extreme happiness (at getting a good meal, finding money, escaping death, etc)”"
ingested,wolf-kota:p3:e2,3,aṛc- / aṛc-,aṛc-,,"to strike up the band, as in “tāḷm aṛcgo antama” [Jaychandran interview: 97 koin11p7, IV: 18. [see also I: 41].",77,related,,,"aṛc- / aṛc- — [DEDR 77] to strike up the band, as in “tāḷm aṛcgo antama” [Jaychandran interview: 97 koin11p7, IV: 18. [see also I: 41]."
ingested,wolf-kota:p3:e3,3,aṛcāyḷ,aṛcāyḷ,,tent or canopy under which Kotas sleep during god ceremony or dry funeral,,,,,aṛcāyḷ — tent or canopy under which Kotas sleep during god ceremony or dry funeral
ingested,wolf-kota:p3:e4,3,arcn,arcn,,"yellow color and turmeric spice I: 82 (EVS gives saffron, i.e. turmeric)",220,direct,,,"arcn — (220) yellow color and turmeric spice I: 82 (EVS gives saffron, i.e. turmeric)"
ingested,wolf-kota:p3:e5,3,aṛd- / [ayd-] (ayd-/aṛdy-),aṛd-,ayd-] (ayd-|aṛdy-),tell,4003,direct,,,aṛd- / [ayd-] (ayd-/aṛdy-) — (4003) tell
ingested,wolf-kota:p3:e6,3,aṛēr āg- (āy-/ān-),aṛēr āg-,āy-|ān-,to be not bad,,,yes,,aṛēr āg- (āy-/ān-) — [-] to be not bad
ingested,wolf-kota:p3:e7,3,aṛg- (aṛgy-),aṛg-,aṛgy-,"“to stop, be obedient”",63,direct,,,"aṛg- (aṛgy-) — (63) “to stop, be obedient”"
ingested,wolf-kota:p3:e8,3,arg- (argy-),arg-,argy-,"“to be reduced (water by evaporation), (swelling) goes down, become reformed in character, be depressed (because of poverty)”",221,direct,,,"arg- (argy-) — (221) “to be reduced (water by evaporation), (swelling) goes down, become reformed in character, be depressed (because of poverty)”"
ingested,wolf-kota:p3:e9,3,arg- (argy-),arg-,argy-,to be patient; to cry out in pain; to roar (like a tiger),221,related,,,arg- (argy-) — [221] to be patient; to cry out in pain; to roar (like a tiger)
ingested,wolf-kota:p3:e10,3,arg gī- (gic-),arg gī-,gic-,to put out a fire (tr. or ayrgī-),1957,related,yes,,arg gī- (gic-) [- + 1957] to put out a fire (tr. or ayrgī-)
ingested,wolf-kota:p3:e11,3,argal,argal,,hail,,,,,argal — hail
ingested,wolf-kota:p3:e12,3,aṛguy,aṛguy,,place for cooking; during devr mē aṛguy for sastrangarans and kī for others (I: 45),,,,,aṛguy — place for cooking; during devr mē aṛguy for sastrangarans and kī for others (I: 45)
ingested,wolf-kota:p3:e13,3,aṛīko,aṛīko,,firewood is arranged for burning,,,,,aṛīko — firewood is arranged for burning
ingested,wolf-kota:p3:e14,3,arkl,arkl,,"“fear because discovery of one’s misdeeds is expected, feeling anxiety about getting a living, sorrow because of bereavement”",3605,direct,,,"arkl — (3605) “fear because discovery of one’s misdeeds is expected, feeling anxiety about getting a living, sorrow because of bereavement”"
ingested,wolf-kota:p3:e15,3,aṛkm,aṛkm,,“act of making submit; burial” II: 16,63,direct,,,aṛkm — (63) “act of making submit; burial” II: 16
ingested,wolf-kota:p3:e16,3,arkōl,arkōl,,copper,,,yes,,arkōl — [-] copper
ingested,wolf-kota:p3:e17,3,arḷ,arḷ,,“voice of god spoken through diviner” IV: 20a,227,direct,,,arḷ — (227) “voice of god spoken through diviner” IV: 20a
ingested,wolf-kota:p3:e18,3,aṛng- (aṛyng-),aṛng-,aṛyng-,"to calm down, submit (after a struggle)",63,related,,,"aṛng- (aṛyng-) — [63] to calm down, submit (after a struggle)"
ingested,wolf-kota:p3:e19,3,arṭ perṭ,arṭ perṭ,,crazy,,,yes,,arṭ perṭ — [-] crazy
ingested,wolf-kota:p3:e20,3,aṛv- (aṛt-),aṛv-,aṛt-,"“(door) shuts; to shut (door, hole), shut up (cattle)”; block",83,direct,,,"aṛv- (aṛt-) — (83) “(door) shuts; to shut (door, hole), shut up (cattle)”; block"
ingested,wolf-kota:p3:e21,3,arv- (ard-),arv-,ard-,panic stricken (see erv-),,,yes,,arv- (ard-) — [-] panic stricken (see erv-)
ingested,wolf-kota:p3:e22,3,aṛyāḷm,aṛyāḷm,,"mark, symbol emblem",,,,,"aṛyāḷm — [Tamil] mark, symbol emblem"
ingested,wolf-kota:p3:e23,3,aṛy gey- (gic-),aṛy gey-,gic-,to diminish (intr.),,,,,aṛy gey- (gic-) — [prob. 72 + gey-] to diminish (intr.)
ingested,wolf-kota:p3:e24,3,aṭ,aṭ,,"“ditch, ravine; perpendicular cliff” (I: 89 aṇk aṭ, the channel ditch, talaṇ)",101,direct,,,"aṭ — (101) “ditch, ravine; perpendicular cliff” (I: 89 aṇk aṭ, the channel ditch, talaṇ)"
ingested,wolf-kota:p3:e25,3,aṭ- (ac-),aṭ-,ac-,"pour, urinate (with moḷ); wash IV: 49",97,direct,,,"aṭ- (ac-) — (97) pour, urinate (with moḷ); wash IV: 49"
ingested,wolf-kota:p3:e26,3,aṭt,aṭt,,loft (divine spot in rafters of Kota house where god is said sometimes to reside),93,direct,,,aṭt— (93) loft (divine spot in rafters of Kota house where god is said sometimes to reside)
ingested,wolf-kota:p3:e27,3,at,at,,"“that direction” in that manner, on that side",1,direct,,,"at — (1) “that direction” in that manner, on that side"
ingested,wolf-kota:p3:e28,3,atāk,atāk,,a little in that direction,1,direct,,,atāk — (1) a little in that direction
ingested,wolf-kota:p3:e29,3,atē,atē,,go!,1,direct,,,atē — (1) go!
ingested,wolf-kota:p3:e30,3,at/atte!,at,atte!,(-) syllable used for scolding,,,,,at/atte! — (-) syllable used for scolding
ingested,wolf-kota:p3:e31,3,at- (aty-),at-,aty-,"“to climb, fight”",4034,direct,,,"at- (aty-) — (4034) “to climb, fight”"
ingested,wolf-kota:p3:e32,3,-atl,-atl,,"next to; to (attached to person who is being spoken to, like iṭam in Tamil)",,,yes,,"-atl — [-] next to; to (attached to person who is being spoken to, like iṭam in Tamil)"
ingested,wolf-kota:p3:e33,3,atūṛ,atūṛ,,that indeed,,,,,atūṛ — that indeed
ingested,wolf-kota:p3:e34,3,av- (avd-),av-,avd-,“to dig hole with tool”,11,direct,,,av- (avd-) — (11) “to dig hole with tool”
ingested,wolf-kota:p3:e35,3,avc-/avc-,avc-,,"to become less [DEDR 2334 is closest, means to chew, but conjugated ayv- avc-]; used in phrase nāṛ avckōtk devr eckōtk (let death decrease let god increase)",2334,related,,,"avc-/avc- — to become less [DEDR 2334 is closest, means to chew, but conjugated ayv- avc-]; used in phrase nāṛ avckōtk devr eckōtk (let death decrease let god increase)"
ingested,wolf-kota:p3:e36,3,avnōnk,avnōnk,,"for each, all",,,,,"avnōnk — for each, all"
ingested,wolf-kota:p3:e37,3,ayd-/aṛd- (ayd-/ayṛd-) (or with initial ‘p’),ayd-,aṛd- (ayd-|ayṛd-) (or with initial ‘p’),tell,4003,related,,,ayd-/aṛd- (ayd-/ayṛd-) (or with initial ‘p’) — [4003] tell
ingested,wolf-kota:p3:e38,3,ayk,ayk,,husked grain,,,,,ayk — husked grain
ingested,wolf-kota:p4:e1,4,ayḷ,ayḷ,,male’s classificatory brother-in-law (i.e. any male in the same generation as ego who is not his classificatory brother),,,,,ayḷ — male’s classificatory brother-in-law (i.e. any male in the same generation as ego who is not his classificatory brother)
ingested,wolf-kota:p4:e2,4,ayḷ bāvan,ayḷ bāvan,,brothers in law,,,,,ayḷ bāvan — brothers in law
ingested,wolf-kota:p4:e3,4,ayḷ mog,ayḷ mog,,twin children,301,direct,,,ayḷ mog — (301) twin children
ingested,wolf-kota:p4:e4,4,ayṛ- (aṛc-),ayṛ-,aṛc-,“to strike (ball in game)”,77,direct,,,ayṛ- (aṛc-) — (77) “to strike (ball in game)”
ingested,wolf-kota:p4:e5,4,"ayrgīpd, ayrgīko",ayrgīpd,ayrgīko,(fire) becomes reduced (intr.),,,yes,,"ayrgīpd, ayrgīko — [-] (fire) becomes reduced (intr.)"
ingested,wolf-kota:p4:e6,4,ābat,ābat,,danger (I: 66),,,,,ābat — danger (I: 66)
ingested,wolf-kota:p4:e7,4,āc,āc,,woman,,,yes,,āc — [-] woman
ingested,wolf-kota:p4:e8,4,āc,āc,,"beans for stew (avr, targīṇ) I: 45, 91 “āc is both the action of putting the beans and the beans themselves” (I: 91)",,,,,"āc — beans for stew (avr, targīṇ) I: 45, 91 “āc is both the action of putting the beans and the beans themselves” (I: 91)"
ingested,wolf-kota:p4:e9,4,ācārm,ācārm,,"culture (III:20a) [Tamil: ācāram: performance of prescribed rites, etc. given in EVS as ājārm; see below def of ājārm]",,,,,"ācārm — culture (III:20a) [Tamil: ācāram: performance of prescribed rites, etc. given in EVS as ājārm; see below def of ājārm]"
ingested,wolf-kota:p4:e10,4,-ācm,-ācm,,"just, merely",,,yes,,"-ācm — [-] just, merely"
ingested,wolf-kota:p4:e11,4,ācmār- (ācmāyr-),ācmār-,ācmāyr-,to enjoy,,,yes,,ācmār- (ācmāyr-) — [-] to enjoy
ingested,wolf-kota:p4:e12,4,ācvayrv,ācvayrv,,cooking pot for udk,,,,,ācvayrv — cooking pot for udk
ingested,wolf-kota:p4:e13,4,-ād,-ād,,,,,,,-ād — [future neg. adjectival participle]
ingested,wolf-kota:p4:e14,4,ādāry/āydēr,ādāry,āydēr,"route, “road, path”",3170,direct,,,"ādāry/āydēr — (3170) route, “road, path”"
ingested,wolf-kota:p4:e15,4,āg- (āy-/ān-),āg-,āy-|ān-,to become,333,direct,,,āg- (āy-/ān-) — (333) to become
ingested,wolf-kota:p4:e16,4,ājārm,ājārm,,"rule, ritual prescription, law [see also ācārm]",,,yes,,"ājārm — [-] rule, ritual prescription, law [see also ācārm]"
ingested,wolf-kota:p4:e17,4,āk- (āky-),āk-,āky-,"to beat, hit with force",,,yes,,"āk- (āky-) — [-] to beat, hit with force"
ingested,wolf-kota:p4:e18,4,āk/ākke,āk,ākke,“swamp”; spring IV: 95,336,direct,,,āk/ākke — (336) “swamp”; spring IV: 95
ingested,wolf-kota:p4:e19,4,ākc- (ākc-),ākc-,,"“to make to become, prepare”",333,direct,,,"ākc- (ākc-) — (333) “to make to become, prepare”"
ingested,wolf-kota:p4:e20,4,ākērmand,ākērmand,,"(land of dead? opposed to īkērmand, II: 9)",,,,,"ākērmand — (land of dead? opposed to īkērmand, II: 9)"
ingested,wolf-kota:p4:e21,4,ākic minj,ākic minj,,"kind of pat that ānāṭōr also use for washing hair, IV: 37",,,,,"ākic minj — kind of pat that ānāṭōr also use for washing hair, IV: 37"
ingested,wolf-kota:p4:e22,4,āl,āl,,cowshed (I:98),,,,,āl — cowshed (I:98)
ingested,wolf-kota:p4:e23,4,āḷ,āḷ,,ruin (from Badaga; 4110),,,,,āḷ — ruin (from Badaga; 4110)
ingested,wolf-kota:p4:e24,4,"āḷ āg- (āy-, ān-)",āḷ āg-,āy-|ān-,"to become ruined, spoiled (I: 64)",4110|333,related|related,,,"āḷ āg- (āy-, ān-) — [4110; 333] to become ruined, spoiled (I: 64)"
ingested,wolf-kota:p4:e25,4,āḷār (obl. āt-),āḷār (obl. āt-),,"route, way (not “distance”)",405,direct,,,"āḷār (obl. āt-) — (405) route, way (not “distance”)"
ingested,wolf-kota:p4:e26,4,āḷkal,āḷkal,,for/to everyone,,,,,āḷkal — [āḷ + k + elm] for/to everyone
ingested,wolf-kota:p4:e27,4,āḷmenyc,āḷmenyc,,vetl pak box,,,,,āḷmenyc — vetl pak box
ingested,wolf-kota:p4:e28,4,ālvāynvaṇ,ālvāynvaṇ,,type of plantain (unidentified),,,yes,,ālvāynvaṇ — [-] type of plantain (unidentified)
ingested,wolf-kota:p4:e29,4,āmnj,āmnj,,"rāgi, a type of millet (Eleusine coracana)",,,,,"āmnj — rāgi, a type of millet (Eleusine coracana)"
ingested,wolf-kota:p4:e30,4,āṇ- (āḍ-),āṇ-,āḍ-,"“possess, rule, keep, own”; raise a child; mundkānōn has to keep god, mundkanon devr āḍlkōṛo, i.e. keep it in the kakui",5157,direct,,,"āṇ- (āḍ-) — (5157) “possess, rule, keep, own”; raise a child; mundkānōn has to keep god, mundkanon devr āḍlkōṛo, i.e. keep it in the kakui"
ingested,wolf-kota:p4:e31,4,ānām,ānām,,but,333,related,,,ānām — [333 + conditional] but
ingested,wolf-kota:p4:e32,4,ānkōj,ānkōj,,spider,2195,related,,,ānkōj — [2195] spider
ingested,wolf-kota:p4:e33,4,āṇy,āṇy,,nail,,,,,āṇy — nail
ingested,wolf-kota:p4:e34,4,āpnīr,āpnīr,,mixed dung and water,,,,,āpnīr — mixed dung and water
ingested,wolf-kota:p4:e35,4,āṛ- (āc-),āṛ-,āc-,"“to move, move violently, dance, play, speak, have sexual intercourse”; to argue, do actions associated with a fight (a court case); nīr āṛ- to wash oneself",347,direct,,,"āṛ- (āc-) — (347) “to move, move violently, dance, play, speak, have sexual intercourse”; to argue, do actions associated with a fight (a court case); nīr āṛ- to wash oneself"
ingested,wolf-kota:p4:e36,4,ār- (āry-),ār-,āry-,"“to become cool (liquid or solid), (dew) dries. (wound) heals”",404,direct,,,"ār- (āry-) — (404) “to become cool (liquid or solid), (dew) dries. (wound) heals”"
ingested,wolf-kota:p4:e37,4,ār- (āry-),ār-,āry-,"“to do broad jump, jump”",373,direct,,,"ār- (āry-) — (373) “to do broad jump, jump”"
ingested,wolf-kota:p4:e38,4,ār- (āt-),ār-,āt-,“to call”,367,direct,,,ār- (āt-) — (367) “to call”
ingested,wolf-kota:p4:e39,4,ārakm,ārakm,,black piece of cloth laid on solar plexus of corpse at funeral IV: 44,,,,,ārakm — black piece of cloth laid on solar plexus of corpse at funeral IV: 44
ingested,wolf-kota:p5:e1,5,ārāṭ,ārāṭ,,clay pot,,,,,ārāṭ — clay pot
ingested,wolf-kota:p5:e2,5,ārcan,ārcan,,,,,,,"ārcan — [possibly saffron, for colored cloth at badrakali puja I: 82]"
ingested,wolf-kota:p5:e3,5,āṛd,āṛd,,"a spirit or deity to possess (III:20b) a person [DEDR 347, this particular meaning not mentioned, though contained in the general meaning of dance]; devr āṛlkōṛo I: 92",347,related,,,"āṛd — a spirit or deity to possess (III:20b) a person [DEDR 347, this particular meaning not mentioned, though contained in the general meaning of dance]; devr āṛlkōṛo I: 92"
ingested,wolf-kota:p5:e4,5,ārl,ārl,,fever,,,yes,,ārl — [-] fever
ingested,wolf-kota:p5:e5,5,āṛmbarmāyṛ,āṛmbarmāyṛ,,(<Tamil ātamparam<Skt. āḍambara) ostentatious I: 103,,,,,āṛmbarmāyṛ — (<Tamil ātamparam<Skt. āḍambara) ostentatious I: 103
ingested,wolf-kota:p5:e6,5,āṭ- (āc-),āṭ-,āc-,“to give birth to (child)”,347,direct,,,āṭ- (āc-) — (347) “to give birth to (child)”
ingested,wolf-kota:p5:e7,5,āṭ kupāc(m),āṭ kupāc(m),,dance costume,,,,,āṭ kupāc(m) — dance costume
ingested,wolf-kota:p5:e8,5,āṭm,āṭm,,dance,,,,,āṭm — dance
ingested,wolf-kota:p5:e9,5,āṭpūyṛo,āṭpūyṛo,,"means that they are ready to begin dancing, the kols are warming up, etc.",,,,,"āṭpūyṛo — means that they are ready to begin dancing, the kols are warming up, etc."
ingested,wolf-kota:p5:e10,5,āv,āv,,cow,334,direct,,,āv — (334) cow
ingested,wolf-kota:p5:e11,5,āv- (āt-),āv-,āt-,to give (name to child); to call,5149,direct,,,āv- (āt-) — (5149) to give (name to child); to call
ingested,wolf-kota:p5:e12,5,āyp,āyp,,manure,,,,,āyp — manure
ingested,wolf-kota:p5:e13,5,āyv,āyv,,"“soul, steam, vapor” IV: 25",393,direct,,,"āyv — (393) “soul, steam, vapor” IV: 25"
ingested,wolf-kota:p5:e14,5,babūr,babūr,,Bokkapuram,,,yes,,babūr — [-] Bokkapuram
ingested,wolf-kota:p5:e15,5,baḍāyg,baḍāyg,,stylish,,,yes,,baḍāyg — [-] stylish
ingested,wolf-kota:p5:e16,5,bamb,bamb,,issue leading to a quarrel (Kurgōj mānt: vampu in Tamil),,,yes,,bamb — [-] issue leading to a quarrel (Kurgōj mānt: vampu in Tamil)
ingested,wolf-kota:p5:e17,5,bandūbast,bandūbast,,"watch over carefully (Tamil pantōpastu, from Urdu bandōbast: 1.Agreement, settlement 2. care, safety, safe. TL]",,,,,"bandūbast — watch over carefully (Tamil pantōpastu, from Urdu bandōbast: 1.Agreement, settlement 2. care, safety, safe. TL]"
ingested,wolf-kota:p5:e18,5,baṇḍv,baṇḍv,,cattle,3902,direct,,,baṇḍv — (3902) cattle
