Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Source_Language,Language_ID,Page,Item,Column,Comparison_Group,Group_Status,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256,Review_Result,Material_Error
2026-08-28,zide1982reconstruction:C:c2.p302.i513,"iʔi, i",louse,Juray,Juray,302,513,2,Z82-p302-i513,paired,2,zide1982reconstruction:C:c2.p302.i513:v2,zide1982reconstruction:C:c2.p302.i513,i,louse,ingested,structured source comparison record,"zide1982reconstruction[p. 302, item 513]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,ef1ac40fc5df9676c6c8549691c437555d000129e31f8cf642db785990d042c7,pass,
2026-08-28,zide1982reconstruction:C:c2.p271.i347,kʌl-,"to mix, to dissolve into; fit in, insert",Juray,Juray,271,347,2,Z82-p271-i347,paired,1,zide1982reconstruction:C:c2.p271.i347,,kʌl-,"to mix, to dissolve into; fit in, insert",ingested,structured source comparison record,"zide1982reconstruction[p. 271, item 347]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,c42e37ada75fdcfc6a744a18d5adb9429efe97b2009d3879659356c89af9b7aa,pass,
2026-08-28,zide1982reconstruction:C:c1.p289.i479,tʌm-,to pile up,Sora,so,289,479,1,Z82-p289-i479,paired,1,zide1982reconstruction:C:c1.p289.i479,,tʌm-,to pile up,ingested,structured source comparison record,"zide1982reconstruction[p. 289, item 479]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,4ce10aa00807209c97e5c45403e47dc1c993c3022cb8c322dca901fdd45746f0,pass,
2026-08-28,zide1982reconstruction:C:c2.p589.i2347,ʌb-tuɟ-,"to point, show",Juray,Juray,589,2347,2,Z82-p589-i2347,paired,1,zide1982reconstruction:C:c2.p589.i2347,,ʌb-tuɟ-,"to point, show",ingested,structured source comparison record,"zide1982reconstruction[p. 589, item 2347]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,23fc791c37d94060988150ce0605604a32b7a0bf7c9489c27ed1700de95994b3,pass,
2026-08-28,zide1982reconstruction:C:c2.p268.i311,ɟʌb-mɔl,"seeding rice, paddy seed",Juray,Juray,268,311,2,Z82-p268-i311,paired,1,zide1982reconstruction:C:c2.p268.i311,,ɟʌb-mɔl,"seeding rice, paddy seed",ingested,structured source comparison record,"zide1982reconstruction[p. 268, item 311]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,75ebdce5813825e8df52b8f2271b478e782765ce05c05ecb910dcc9155779e0b,pass,
2026-08-28,zide1982reconstruction:C:c1.p588.i2339,sɛ-da-,to choose,Sora,so,588,2339,1,Z82-p588-i2339,singleton,1,zide1982reconstruction:C:c1.p588.i2339,,sɛ-da-,to choose,ingested,structured source comparison record,"zide1982reconstruction[p. 588, item 2339]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,8d6c5b4d0a475e03f186ce8a76ecbde262a7d9d852ab946c01013a32eae121c0,pass,
2026-08-28,zide1982reconstruction:C:c1.p488.i1735,pʌr-deɟ-tod,to give off sparks,Sora,so,488,1735,1,Z82-p488-i1735,paired,1,zide1982reconstruction:C:c1.p488.i1735,,pʌr-deɟ-tod,to give off sparks,ingested,structured source comparison record,"zide1982reconstruction[p. 488, item 1735]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,6502e621b53030c72030745bdc8966a79344a5e52c423edce38c1a0da186bc4d,pass,
2026-08-28,zide1982reconstruction:C:c1.p248.i169,ɔj-ɡɛb-sɨŋ-mʌr,arsonist,Sora,so,248,169,1,Z82-p248-i169,singleton,1,zide1982reconstruction:C:c1.p248.i169,,ɔj-ɡɛb-sɨŋ-mʌr,arsonist,ingested,structured source comparison record,"zide1982reconstruction[p. 248, item 169]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,99cedf64f52ac883c5c2199ef845e0c17d4681f5cdfbaf5521d01756ddcbb02f,pass,
2026-08-28,zide1982reconstruction:C:c2.p518.i1838,rʌb-,to fold,Juray,Juray,518,1838,2,Z82-p518-i1838,paired,1,zide1982reconstruction:C:c2.p518.i1838,,rʌb-,to fold,ingested,structured source comparison record,"zide1982reconstruction[p. 518, item 1838]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,a6d78cf953522ec138d9bb83ebfd137a387fb8d30c7e16f72840bb422b17330b,pass,
2026-08-28,zide1982reconstruction:C:c1.p273.i360,ɡʌm-ʌd,ant living on trees which builds mud anthills,Sora,so,273,360,1,Z82-p273-i360,paired,1,zide1982reconstruction:C:c1.p273.i360,,ɡʌm-ʌd,ant living on trees which builds mud anthills,ingested,structured source comparison record,"zide1982reconstruction[p. 273, item 360]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,4f936b41f5db17f3e4f0a9fe9f11b5b8a6db5268bef701661e8980c946867e01,pass,
