Record_Type,Source_Key,PDF_Page,Printed_Page,Item,Gloss,List_Code,List_Name,Source_Group,Reliability,Raw_Form,Form,Continuation_Lines,Review,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Key
wordlist cell,hallberg1992pashto,98,80,1,body,NIG,Ningrahar Pashto,Northern tribal,A,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-nig,"hallberg1992pashto[Appendix B, printed p. 80, item 1, NIG]",ssnp04:g001:nig
wordlist cell,hallberg1992pashto,98,80,2,head,NIG,Ningrahar Pashto,Northern tribal,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-nig,"hallberg1992pashto[Appendix B, printed p. 80, item 2, NIG]",ssnp04:g002:nig
wordlist cell,hallberg1992pashto,98,80,3,hair,NIG,Ningrahar Pashto,Northern tribal,A,wEx'tV,wɛx'tʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-nig,"hallberg1992pashto[Appendix B, printed p. 80, item 3, NIG]",ssnp04:g003:nig
wordlist cell,hallberg1992pashto,98,80,1,body,SHN,Shinwari Pashto,Northern tribal,A,bà'dVn,bɑ'dʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-shn,"hallberg1992pashto[Appendix B, printed p. 80, item 1, SHN]",ssnp04:g001:shn
wordlist cell,hallberg1992pashto,98,80,2,head,SHN,Shinwari Pashto,Northern tribal,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-shn,"hallberg1992pashto[Appendix B, printed p. 80, item 2, SHN]",ssnp04:g002:shn
wordlist cell,hallberg1992pashto,98,80,3,hair,SHN,Shinwari Pashto,Northern tribal,A,ixtV,ixtʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-shn,"hallberg1992pashto[Appendix B, printed p. 80, item 3, SHN]",ssnp04:g003:shn
wordlist cell,hallberg1992pashto,98,80,1,body,BAR,Bar/Loi Shilman Pashto,Northern tribal,B,bVdVn,bʌdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-bar,"hallberg1992pashto[Appendix B, printed p. 80, item 1, BAR]",ssnp04:g001:bar
wordlist cell,hallberg1992pashto,98,80,2,head,BAR,Bar/Loi Shilman Pashto,Northern tribal,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-bar,"hallberg1992pashto[Appendix B, printed p. 80, item 2, BAR]",ssnp04:g002:bar
wordlist cell,hallberg1992pashto,98,80,3,hair,BAR,Bar/Loi Shilman Pashto,Northern tribal,B,ixtV,ixtʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-bar,"hallberg1992pashto[Appendix B, printed p. 80, item 3, BAR]",ssnp04:g003:bar
wordlist cell,hallberg1992pashto,98,80,1,body,MAL,Mallagori Pashto,Northern tribal,B,bVdVn,bʌdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-mal,"hallberg1992pashto[Appendix B, printed p. 80, item 1, MAL]",ssnp04:g001:mal
wordlist cell,hallberg1992pashto,98,80,2,head,MAL,Mallagori Pashto,Northern tribal,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-mal,"hallberg1992pashto[Appendix B, printed p. 80, item 2, MAL]",ssnp04:g002:mal
wordlist cell,hallberg1992pashto,98,80,3,hair,MAL,Mallagori Pashto,Northern tribal,B,ixtV,ixtʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-mal,"hallberg1992pashto[Appendix B, printed p. 80, item 3, MAL]",ssnp04:g003:mal
wordlist cell,hallberg1992pashto,98,80,1,body,ZKH,Zakha Khel Afridi Pashto,Northern tribal,B,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-zkh,"hallberg1992pashto[Appendix B, printed p. 80, item 1, ZKH]",ssnp04:g001:zkh
wordlist cell,hallberg1992pashto,98,80,2,head,ZKH,Zakha Khel Afridi Pashto,Northern tribal,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-zkh,"hallberg1992pashto[Appendix B, printed p. 80, item 2, ZKH]",ssnp04:g002:zkh
wordlist cell,hallberg1992pashto,98,80,3,hair,ZKH,Zakha Khel Afridi Pashto,Northern tribal,B,wExtV,wɛxtʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-zkh,"hallberg1992pashto[Appendix B, printed p. 80, item 3, ZKH]",ssnp04:g003:zkh
wordlist cell,hallberg1992pashto,98,80,1,body,JAM,Jamrud Afridi Pashto,Northern tribal,A,bà'dVn,bɑ'dʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-jam,"hallberg1992pashto[Appendix B, printed p. 80, item 1, JAM]",ssnp04:g001:jam
wordlist cell,hallberg1992pashto,98,80,2,head,JAM,Jamrud Afridi Pashto,Northern tribal,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-jam,"hallberg1992pashto[Appendix B, printed p. 80, item 2, JAM]",ssnp04:g002:jam
wordlist cell,hallberg1992pashto,98,80,3,hair,JAM,Jamrud Afridi Pashto,Northern tribal,A,wex'tV,wex'tʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-jam,"hallberg1992pashto[Appendix B, printed p. 80, item 3, JAM]",ssnp04:g003:jam
wordlist cell,hallberg1992pashto,98,80,1,body,TIR,Tirah Afridi Pashto,Northern tribal,B,bà'dVn,bɑ'dʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-tir,"hallberg1992pashto[Appendix B, printed p. 80, item 1, TIR]",ssnp04:g001:tir
wordlist cell,hallberg1992pashto,98,80,2,head,TIR,Tirah Afridi Pashto,Northern tribal,B,sàr,sɑr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-tir,"hallberg1992pashto[Appendix B, printed p. 80, item 2, TIR]",ssnp04:g002:tir
wordlist cell,hallberg1992pashto,98,80,3,hair,TIR,Tirah Afridi Pashto,Northern tribal,B,wex'ton,wex'ton,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-tir,"hallberg1992pashto[Appendix B, printed p. 80, item 3, TIR]",ssnp04:g003:tir
wordlist cell,hallberg1992pashto,98,80,1,body,JAL,Jallozai Pashto,Northern,B,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-jal,"hallberg1992pashto[Appendix B, printed p. 80, item 1, JAL]",ssnp04:g001:jal
wordlist cell,hallberg1992pashto,98,80,2,head,JAL,Jallozai Pashto,Northern,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-jal,"hallberg1992pashto[Appendix B, printed p. 80, item 2, JAL]",ssnp04:g002:jal
wordlist cell,hallberg1992pashto,98,80,3,hair,JAL,Jallozai Pashto,Northern,B,wes7tV,weɕtʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-jal,"hallberg1992pashto[Appendix B, printed p. 80, item 3, JAL]",ssnp04:g003:jal
wordlist cell,hallberg1992pashto,98,80,1,body,CHE,Cherat Pashto,Northern,B,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-che,"hallberg1992pashto[Appendix B, printed p. 80, item 1, CHE]",ssnp04:g001:che
wordlist cell,hallberg1992pashto,98,80,2,head,CHE,Cherat Pashto,Northern,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-che,"hallberg1992pashto[Appendix B, printed p. 80, item 2, CHE]",ssnp04:g002:che
wordlist cell,hallberg1992pashto,98,80,3,hair,CHE,Cherat Pashto,Northern,B,wes7tV,weɕtʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-che,"hallberg1992pashto[Appendix B, printed p. 80, item 3, CHE]",ssnp04:g003:che
wordlist cell,hallberg1992pashto,98,80,1,body,PAR,Parachinar Pashto,Middle settled/tribal,B,bVdàn,bʌdɑn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-par,"hallberg1992pashto[Appendix B, printed p. 80, item 1, PAR]",ssnp04:g001:par
wordlist cell,hallberg1992pashto,98,80,2,head,PAR,Parachinar Pashto,Middle settled/tribal,B,sàr,sɑr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-par,"hallberg1992pashto[Appendix B, printed p. 80, item 2, PAR]",ssnp04:g002:par
wordlist cell,hallberg1992pashto,98,80,3,hair,PAR,Parachinar Pashto,Middle settled/tribal,B,wExtF,wɛxtə,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-par,"hallberg1992pashto[Appendix B, printed p. 80, item 3, PAR]",ssnp04:g003:par
wordlist cell,hallberg1992pashto,98,80,1,body,HAN,Hangu Pashto,Middle settled/tribal,B,bVdVn,bʌdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-han,"hallberg1992pashto[Appendix B, printed p. 80, item 1, HAN]",ssnp04:g001:han
wordlist cell,hallberg1992pashto,98,80,2,head,HAN,Hangu Pashto,Middle settled/tribal,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-han,"hallberg1992pashto[Appendix B, printed p. 80, item 2, HAN]",ssnp04:g002:han
wordlist cell,hallberg1992pashto,98,80,3,hair,HAN,Hangu Pashto,Middle settled/tribal,B,wextV,wextʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-han,"hallberg1992pashto[Appendix B, printed p. 80, item 3, HAN]",ssnp04:g003:han
wordlist cell,hallberg1992pashto,98,80,1,body,TAL,Thal Pashto,Middle settled/tribal,B,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-tal,"hallberg1992pashto[Appendix B, printed p. 80, item 1, TAL]",ssnp04:g001:tal
wordlist cell,hallberg1992pashto,98,80,2,head,TAL,Thal Pashto,Middle settled/tribal,B,sàr,sɑr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-tal,"hallberg1992pashto[Appendix B, printed p. 80, item 2, TAL]",ssnp04:g002:tal
wordlist cell,hallberg1992pashto,98,80,3,hair,TAL,Thal Pashto,Middle settled/tribal,B,wextF,wextə,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-tal,"hallberg1992pashto[Appendix B, printed p. 80, item 3, TAL]",ssnp04:g003:tal
wordlist cell,hallberg1992pashto,98,80,1,body,KRK,Karak Pashto,Central,,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-krk,"hallberg1992pashto[Appendix B, printed p. 80, item 1, KRK]",ssnp04:g001:krk
wordlist cell,hallberg1992pashto,98,80,2,head,KRK,Karak Pashto,Central,,sàr,sɑr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-krk,"hallberg1992pashto[Appendix B, printed p. 80, item 2, KRK]",ssnp04:g002:krk
wordlist cell,hallberg1992pashto,98,80,3,hair,KRK,Karak Pashto,Central,,wextV3,wextʌ̃,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-krk,"hallberg1992pashto[Appendix B, printed p. 80, item 3, KRK]",ssnp04:g003:krk
wordlist cell,hallberg1992pashto,98,80,1,body,LAK,Lakki Marwat Pashto,Central,B,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-lak,"hallberg1992pashto[Appendix B, printed p. 80, item 1, LAK]",ssnp04:g001:lak
wordlist cell,hallberg1992pashto,98,80,2,head,LAK,Lakki Marwat Pashto,Central,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-lak,"hallberg1992pashto[Appendix B, printed p. 80, item 2, LAK]",ssnp04:g002:lak
wordlist cell,hallberg1992pashto,98,80,3,hair,LAK,Lakki Marwat Pashto,Central,B,wes7tV,weɕtʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-lak,"hallberg1992pashto[Appendix B, printed p. 80, item 3, LAK]",ssnp04:g003:lak
wordlist cell,hallberg1992pashto,98,80,1,body,BAN,Bannu Pashto,Central,B,bVdVn,bʌdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-ban,"hallberg1992pashto[Appendix B, printed p. 80, item 1, BAN]",ssnp04:g001:ban
wordlist cell,hallberg1992pashto,98,80,2,head,BAN,Bannu Pashto,Central,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-ban,"hallberg1992pashto[Appendix B, printed p. 80, item 2, BAN]",ssnp04:g002:ban
wordlist cell,hallberg1992pashto,98,80,3,hair,BAN,Bannu Pashto,Central,B,wis7tV,wiɕtʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-ban,"hallberg1992pashto[Appendix B, printed p. 80, item 3, BAN]",ssnp04:g003:ban
wordlist cell,hallberg1992pashto,98,80,1,body,MIR,Miran Shah Pashto,Central,B,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-mir,"hallberg1992pashto[Appendix B, printed p. 80, item 1, MIR]",ssnp04:g001:mir
wordlist cell,hallberg1992pashto,98,80,2,head,MIR,Miran Shah Pashto,Central,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-mir,"hallberg1992pashto[Appendix B, printed p. 80, item 2, MIR]",ssnp04:g002:mir
wordlist cell,hallberg1992pashto,98,80,3,hair,MIR,Miran Shah Pashto,Central,B,wis7tV,wiɕtʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-mir,"hallberg1992pashto[Appendix B, printed p. 80, item 3, MIR]",ssnp04:g003:mir
wordlist cell,hallberg1992pashto,98,80,1,body,WAA,Wana Pashto,Central,B,--,,0,SILDoulosNP positioned text,excluded,source prints -- rather than a lexical response,Psht,ssnp04-waa,"hallberg1992pashto[Appendix B, printed p. 80, item 1, WAA]",
wordlist cell,hallberg1992pashto,98,80,2,head,WAA,Wana Pashto,Central,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-waa,"hallberg1992pashto[Appendix B, printed p. 80, item 2, WAA]",ssnp04:g002:waa
wordlist cell,hallberg1992pashto,98,80,3,hair,WAA,Wana Pashto,Central,B,wàs7ti,wɑɕti,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-waa,"hallberg1992pashto[Appendix B, printed p. 80, item 3, WAA]",ssnp04:g003:waa
wordlist cell,hallberg1992pashto,98,80,1,body,QUE,Quetta Pashto,Southern,A,bVdVn,bʌdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-que,"hallberg1992pashto[Appendix B, printed p. 80, item 1, QUE]",ssnp04:g001:que
wordlist cell,hallberg1992pashto,98,80,2,head,QUE,Quetta Pashto,Southern,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-que,"hallberg1992pashto[Appendix B, printed p. 80, item 2, QUE]",ssnp04:g002:que
wordlist cell,hallberg1992pashto,98,80,3,hair,QUE,Quetta Pashto,Southern,A,wes7tàn / wes7tV,weɕtɑn / weɕtʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-que,"hallberg1992pashto[Appendix B, printed p. 80, item 3, QUE]",ssnp04:g003:que
wordlist cell,hallberg1992pashto,98,80,1,body,CHA,Chaman Pashto,Southern,A,bVdVn,bʌdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-cha,"hallberg1992pashto[Appendix B, printed p. 80, item 1, CHA]",ssnp04:g001:cha
wordlist cell,hallberg1992pashto,98,80,2,head,CHA,Chaman Pashto,Southern,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-cha,"hallberg1992pashto[Appendix B, printed p. 80, item 2, CHA]",ssnp04:g002:cha
wordlist cell,hallberg1992pashto,98,80,3,hair,CHA,Chaman Pashto,Southern,A,wes7tàn,weɕtɑn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-cha,"hallberg1992pashto[Appendix B, printed p. 80, item 3, CHA]",ssnp04:g003:cha
wordlist cell,hallberg1992pashto,98,80,1,body,PAS,Pishin Pashto,Southern,A,bVdVn,bʌdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-pas,"hallberg1992pashto[Appendix B, printed p. 80, item 1, PAS]",ssnp04:g001:pas
wordlist cell,hallberg1992pashto,98,80,2,head,PAS,Pishin Pashto,Southern,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-pas,"hallberg1992pashto[Appendix B, printed p. 80, item 2, PAS]",ssnp04:g002:pas
wordlist cell,hallberg1992pashto,98,80,3,hair,PAS,Pishin Pashto,Southern,A,beS7tàn,beʂtɑn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-pas,"hallberg1992pashto[Appendix B, printed p. 80, item 3, PAS]",ssnp04:g003:pas
wordlist cell,hallberg1992pashto,98,80,1,body,KAK,Pishin Kakari Pashto,Southern,A,bVdVn,bʌdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-kak,"hallberg1992pashto[Appendix B, printed p. 80, item 1, KAK]",ssnp04:g001:kak
wordlist cell,hallberg1992pashto,98,80,2,head,KAK,Pishin Kakari Pashto,Southern,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-kak,"hallberg1992pashto[Appendix B, printed p. 80, item 2, KAK]",ssnp04:g002:kak
wordlist cell,hallberg1992pashto,98,80,3,hair,KAK,Pishin Kakari Pashto,Southern,A,wuS7tàn,wuʂtɑn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-kak,"hallberg1992pashto[Appendix B, printed p. 80, item 3, KAK]",ssnp04:g003:kak
wordlist cell,hallberg1992pashto,98,80,1,body,KHR,Kandahar Pashto,Southern,A,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-khr,"hallberg1992pashto[Appendix B, printed p. 80, item 1, KHR]",ssnp04:g001:khr
