Item,Gloss,Kashmiri,Kishtawari,Poguli,Siraji,Page
151,tail,lət,põ:sir,let,lenaņi,64
152,wasp,"tulir, dətir",tsræ:dă:P,cum'hær,trim'ri: træņdi'ha:l,64
153,apple,tsü:tʰ,tst,tsoh,se:0,64
154,apricot,tseir,kʰo'ba:n,ba'tsir,kʰoba:;'ni,64
155,bark (of tree),del,dial,d*il,šo'kar,64
156,barley,viški,vor,dža'war,džou,64
157,birch,kul burzu,da:l,rayil,da:'li:,65
158,cedar,dovda:r,do'dar,d'ov'da:r,di'yar,65
159,fig (fruit),an'džir,pʰo:g,pag,an'dži:r,65
160,grape(s),dac*,data no,dacʰ,data no,65
161,grass/fodder,kacʰ gasi,kă:si,g3:3S,gás,65
162,leaf,panivətir,patar,patiri,pat'tar,65
163,maize,ma'ka:i,kok're,ma'kai,kukari'ya,65
164,mulberry tree,kul tul,kul tul,tul,buta də tutta,65
165,pomegranate,dəm,dən,da:rim,"a'nar, dar'mo:li",65
166,poplar,fras,kul frast,phrasti k“ul,safe:'do:,65
167,root,muil,zil,mu:l,œil,65
168,seed,Þbio:l,bol,biol,bidžə,65
169,tree,kul,O kul,kwalə,butə,65
170,walnut,dumi,chu:r,ochur,acho:l,65
171,willow,viT,yir,kul yer,be:di də buto,65
172,to beat,laryun,cʰo:b din,deni~demi mar,mar'nõ,66
173,to bite,hon tsop,koron tsop,demu tsop,cak'ku dei'nõ,66
174,to burn i.,dazun,dazun,zalnu,¢al'nõ,66
175,to burn t.,zalun,za:lun,zajlnu,œa:l'nõ,66
176,to come,yun,yun,yemu,cæpõ,66
177,to cry,"bion, vadun vadun",run,demi baro,"k""a:'ņnõ lera",66
178,to die,marun,marun,pʰatnu,mar'nõ,66
179,to drink,con,con,pinu,pi'nõ,66
180,to eat,"k""ion",kon,kalnu,"k""a'nõ",66
181,to fly,vudun,udun,udnu,ud'nõ,66
182,to give,d'un,dun,demu,deņõ,66
183,to go,gatsun -,gatsun,gatsnu,garnõ,66
184,to harvest,lo:imun,loimun,tsatnu,lon'nõ,66
185,to hear,bo:zun,bo:zun,-hunnu,šun'nõ,66
186,to kill,marun,marun,an Pemu,mar'nõ,66
187,to know,zanun,zamun,za:mnu,¢œan'nõ,67
188,to laugh,asun,ăsun,hasnu,has'nõ,67
189,to lie (down),da:f tra:vun,da:f travin,šňgnu,œul'nõð,67
190,to say,vanun,zabun,vannu,nõ Œo,67
191,to see,vucʰun,ucun,ba:lnu,her'nð,67
192,to sit,bihun,b'un,bimnu,biš'nõ,67
193,to sleep,šagun,šonun,šūnnu,¢ul'nõð,67
194,to stand,vətřun thod,oši vatun l,"thod uthnu, kar hunu",kʰaro:tʲ'nő,67
195,to swim,tsãt vajin,torun,- demi tsiər,tar'nõ,67
196,to walk,pakʰun,õtʰun,cʰalnu,cal'nõ,67
197,to wash t.,cʰalun,cʰalun,dřaunu,"c""al'nõ",67
198,all (sārā),sari’,səri:,Sor,sai're,67
199,all (sab),kul,soru'wi:,sor'wi:,mat'te:,68
200,big,bod,bod,bor,ba'do:,68
201,bitter,data no,tot,tsihtu,ko:'ro:,68
202,black,kruhun,krišun,kribnu,ka;'lo:,68
203,blind,data no,kom,on,ka:'ņo:,68
204,cold,tir,thāʰ,tur,thã'do:,68
205,dry,kʰošik*,hukʰ,hukʰ,šuk'ro:,68
206,eight,at,eatʰ,aht,atʰ,68
207,eighteen,ardah,ar'dah,ar'dah,"at""ai'ra",68
208,eleven,kah,kah,kah,ya'ra:,68
209,few,kēh,kiē:,kīts,ke:,68
210,fifteen,pandah,pan'dah,pas'tah,pan'dra:,68
211,five,pã:tsʰ,pãtsʰ,pã:ts,pătsʰ,68
212,forty-one,akitə:džih,ak ta:lih,ta:lih yak,iktar'li:,68
213,four,tor,tsoir,tsarwar,tsut,68
214,fourteen,tso'dah,tso'dah,tso'dah,tsali:,68
215,full,"bərit*, puri",par'ye:otʰ,bʰer,břau'ro:,69
216,good,dža:n,džamn,laryex,ro'lo;,69
217,green,sabiz,nu:l,sabzi,ni:lo:,69
218,hot,garim tot,tot,garmə,tat'to:,69
219,hundred,"hatʰ, šat?",hat?,ha:thi,šou,69
220,hungry,data no,pocʲwi,bu:ch,buc'co:,69
221,left (direction),kʰə:vur,kʰə:vur,data no,ba:'mē:,69
222,long,zutʰ,lambi,zehtu,lam'mõ:,69
223,many,variyah,variyah,za:di,mat'te:,69
224,new,nov,nau,nau,na'vo,69
225,nine,nav,naŭ,nãŭ,nao,69
226,nineteen,kunivuh,kunnõ,kun'vih,un'ni:,69
227,old (person),budi,-bugi,buqʰ,bu'do: -,69
228,one,akʰ,ekʰ,yah,ekə,69
229,| red,vozul,la:l,uzlu,lal,69
230,right (direction),dəcʰun,dəcʰun,daš niš,dæ'nõ:,69
231,round,goil,goil,goial,goil,69
232,seven,satʰ,sat? -,sat,sartʰ,70
233,seventeen,sadah,sa'dah,sa'dah,sita:'ra:,70
234,sharp,teiz,te:z,teiz,data no,70
235,six,Še,še,šeh,šah,70
236,sixteen,šurah,šu'dah,šo'dah,Ššo'ra:,70
237,small,ləkut,lo'kur,loktʰu,nik'ro,70
238,sour,tsok,tsok,tsukʰ,am'lo,70
239,ten,dəh,dəh,dah,daš,70
240,thirteen,truvah,truvah,tro'vah,terra:,70
241,thirty-nine,kunitə:džih,kun'ta:lih,kun'ta:lih,unta:'li:,70
242,three,tre,tre,caji,trej,70
243,thousand,sats,sas,sas,ha'zar,70
244,twelve,bah,bah,bah,ba;'ra:,70
245,twenty,vuh,uh,vih,bi:,70
246,twenty-nine,kunitrih,kun'tri:h,kun'trih,una'tri:,70
247,two,zi,zi,dih,du'i,70
248,white,sapʰe:d,safe:d,safæ:əd,cʰit'to:,71
249,yellow,lʲodur,lʲodur,lidru,hal'dro,71
250,he,su,"hu, su",su,tænə,71
251,I,bi,bə,aŭ,aŭ,71
252,not,ni,no data,na,na,71
253,she,sə,"hu, sʲe",sa,tæ'ṇa,71
254,they m. far,tim,hum,tʲãũ,tæṇə,71
255,they f. far,timi,hum,tʲãũ vah,tæ'ṇa,71
256,they m. near,yim,yim,tʲãũ,æṇə,71
257,they f. near,yimi,yim,tʲãũ vah,æṇə,71
258,that (thing),ti,"su, sʲe",sa,tæn ci:z,71
259,that (person),su,su,su,tæ ma:'ṇũ:,71
260,this (thing),yi,yi,ya,in ci:z,71
261,this (person),yi,yi,yu,in ma:'ṇũ:,71
262,we,əsʲ,əsʲ,as,aũ,71
263,what?,kʲa:,kʲa:,kut,ko:,72
265,who?,kus,kə̃,kam,kʲe:,72
266,you sg.,tsi,tu,tu,tu,72
267,you pl.,tohʲ,tusʲ,tus,tu:,72
