Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Raw_Note,Source_Language,Language_ID,Item,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Final_Notes,Final_Etymology,Note_Class,Parameter_ID,Link_Status,Alignment_Method,Rau_Citation,Rau_Form,Rau_Gloss,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256,Review_Result,Material_Error
2026-08-28,pinnow1960beitraege:C:i457,ɖunɖuɽi ijiŋ,heel,"#Mu., Ho/inḍika/, Ho/ɛnḍika/, So./dənuŋ-kudi-je:ŋ-ən/, /dənuŋ-kul-je:ŋ-ɛn/ ??.",Juang,ju,457,1,pinnow1960beitraege:C:i457,,ɖunɖuɽi ijiŋ,heel,,"#Mu., Ho/inḍika/, Ho/ɛnḍika/, So./dənuŋ-kudi-je:ŋ-ən/, /dənuŋ-kul-je:ŋ-ɛn/ ??.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 457],uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,e2e4965afa79cf278b46c7cb09ea4860e958c208d30a8e081c02a9ece7cd23b8,pass,
2026-08-28,pinnow1960beitraege:C:i706,"jɛmiti, jɛmti",?,"#B./ỹemɔnɔ/ ""as"", O./jəmɔnntɔ/, Kh./jɛmɛ/, Sa./jɛmnɛ/ ""as"".  Cf. /jɛminmti/, /jiminiti/, /jɛbɛ/.",Juang,ju,706,2,pinnow1960beitraege:C:i706:v2,pinnow1960beitraege:C:i706,jɛmti,,Source gloss: ?,"#B./ỹemɔnɔ/ ""as"", O./jəmɔnntɔ/, Kh./jɛmɛ/, Sa./jɛmnɛ/ ""as"".  Cf. /jɛminmti/, /jiminiti/, /jɛbɛ/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 706],uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,a2a136bc1c8c536ccd2a7a31c70fcb33ff27ee4a72d5456013502ee318b2ae7a,pass,
2026-08-28,pinnow1960beitraege:C:i488,"e-r-a-ta-sun, ɛratasun",?,,Juang,ju,488,2,pinnow1960beitraege:C:i488:v2,pinnow1960beitraege:C:i488,ɛratasun,,Source gloss: ?,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 488],uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,49b337475dc3fecbb485f3fbc727f6687835eff44592a17701f922ac83bd1e7f,pass,
2026-08-28,pinnow1960beitraege:C:i617,"hasemɔɖ, hasi-mɔɖ",?,"#Sa./pəsi/ ""snare, loop, noose"".  Cf. /ɛmɔḍ/.",Juang,ju,617,2,pinnow1960beitraege:C:i617:v2,pinnow1960beitraege:C:i617,hasi-mɔɖ,,Source gloss: ?,"#Sa./pəsi/ ""snare, loop, noose"".  Cf. /ɛmɔḍ/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 617],uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,f6bfd7f2d4d80d8a275bade43f402685de183e42d91d3276b13af43cf1f2c40d,pass,
2026-08-28,pinnow1960beitraege:C:i250,"bɔrɔsa, bɔrsa",rain,#H./bərSa/.,Juang,ju,250,2,pinnow1960beitraege:C:i250:v2,pinnow1960beitraege:C:i250,bɔrsa,rain,,#H./bərSa/.,comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 250],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,5002e5854d349e70eb22a5f3ffa6bcd6e8adf0fc8ecbe6d67b7c0327d83f5ed3,pass,
2026-08-28,pinnow1960beitraege:C:i138,"baigɳɔ, baiŋŋɔ",the brinjal or eggplant,"#Sa./beŋgaṛ/, Mu./bɛŋgṛa/, Ho/bɛŋga/; H./bɛ̃gUnə/, /bɛ̃gənə/.  Cf. /belaiti baignɔ/, /baiŋgɔ/.",Juang,ju,138,2,pinnow1960beitraege:C:i138:v2,pinnow1960beitraege:C:i138,baiŋŋɔ,the brinjal or eggplant,,"#Sa./beŋgaṛ/, Mu./bɛŋgṛa/, Ho/bɛŋga/; H./bɛ̃gUnə/, /bɛ̃gənə/.  Cf. /belaiti baignɔ/, /baiŋgɔ/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 138],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,634bdc1f14c54bfad13e20eac860a8aaa6d0b0dfe36460a8a4ea0576fdf4eb56,pass,
2026-08-28,pinnow1960beitraege:C:i1407,"sɛkaɭɔ, sɛkaɭa","early morning, daybreak","#O./sɔkaḷɔ/, M./səkaḷə/.",Juang,ju,1407,2,pinnow1960beitraege:C:i1407:v2,pinnow1960beitraege:C:i1407,sɛkaɭa,"early morning, daybreak",,"#O./sɔkaḷɔ/, M./səkaḷə/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 1407],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,3846b495923133aa0c67f5d52abbe6698fecfbf6fcb610a3499aad934dd7f94f,pass,
2026-08-28,pinnow1960beitraege:C:i1619,unu kuɭɔua,,"#O./kaḷɔ/, H./kalə/, Sk./kalə/.  Cf. /unu und ??/.",Juang,ju,1619,1,pinnow1960beitraege:C:i1619,,unu kuɭɔua,,,"#O./kaḷɔ/, H./kalə/, Sk./kalə/.  Cf. /unu und ??/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 1619],uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,980c44692e843ea7c127fa2d861765a24cd6e9476c8f277095d4def057e8359a,pass,
2026-08-28,pinnow1960beitraege:C:i603,hakɔb-ɖag,?,,Juang,ju,603,1,pinnow1960beitraege:C:i603,,hakɔb-ɖag,,Source gloss: ?,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 603],uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,f06d7f82a67d2b9fc633c556f766b63d4441366acc0c01c88a092dc3b2eb58a7,pass,
2026-08-28,pinnow1960beitraege:C:i803,kaʈɛj-,to be angry,"#Ho/kurkur/; Sa./kur kur/ ""furious, to be furious"".",Juang,ju,803,1,pinnow1960beitraege:C:i803,,kaʈɛj-,to be angry,,"#Ho/kurkur/; Sa./kur kur/ ""furious, to be furious"".",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 803],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,02e7f6242f5c28ce9c1b4ebd564dfcea33693d67f49dc355fda310c1783e2f95,pass,
