Status,Entry_Key,PDF_Page,Printed_Page,Column,Column_Entry,Top,Raw_Form_POS,Form,POS,Raw_Gloss,Gloss,Duplicate_Raw_Form_POS,Duplicate_Raw_Gloss,Duplicate_Agrees,Reviewed_Form,Reviewed_Parameter_ID,Review_Match_Score
already_reviewed,thari:p186:c2:e1,1,186,2,1,291.7,fokhrut(n.m),fokhrut,noun masculine,walnut,walnut,ekbrut(ii.B),walnut ■* . ^ i,no,akhrūṭ,48,1.185
already_reviewed,thari:p186:c2:e2,1,186,2,2,317.1,s^g(n.in),sg,noun,front,front,egU.m),front,no,ag,68,1.110
prior_section,thari:p186:c2:e3,1,186,2,3,343.3,fagfath(n.m),fagfath,noun masculine,pyjama cord,pyjama cord,"egeth(n,B)",pyjaaa cord s,no,,,
already_reviewed,thari:p186:c2:e4,1,186,2,4,375.4,ege(adv),ege,adv,"already, bei'ore","already, bei'ore",ege(adT),"already, before",no,age,68,0.832
prior_section,thari:p186:c2:e5,1,186,2,5,401.3,&gkfothi(n.r),agkfothi,noun,enquiry,enquiry,egketbi(n.f),enquiry,no,,,
prior_section,thari:p186:c2:e6,1,186,2,6,426.5,"fet,ni(n.f)",fetni,noun feminine,fire,fire,egni(n.f),fire,no,,,
prior_section,thari:p186:c2:e7,1,186,2,7,452.5,fofcpUch(n.i’),fofcpuch,noun,inquiry,inquiry,"egpUch(n,f}",inquiry f,no,,,
already_reviewed,thari:p186:c2:e8,1,186,2,8,478.1,hs mi(acvj,hs mi(acvj,,before,before,eg lai(adv),before,no,agmī̃,68,1.063
already_reviewed,thari:p186:c2:e9,1,186,2,9,504.1,«tya(adv;,«tya,adv,"in front of, before","in front of, before",egya(adY),in front of* be,no,agyā̃,68,1.130
already_reviewed,thari:p186:c2:e10,1,186,2,10,536.9,"«filo(n.iL,a;",«filo,noun,succeeding,succeeding,eglo(a.a.a),succeeding,no,aglo,68,1.110
prior_section,thari:p186:c2:e11,1,186,2,11,562.6,6ch(n.ffi),6ch,noun,rate away f roiii,rate away f roiii,,,no,,,
already_reviewed,thari:p186:c2:e12,1,186,2,12,614.5,ucfeinto(aav),ucfeinto(aav),,suddenly,suddenly,ecento(adT),suddenly,no,acanto,420,1.102
prior_section,thari:p186:c2:e13,1,186,2,13,640.4,fecno paniUi.iu),fecno paniui.iu),,) leucorrhoea,) leucorrhoea,"ecbo pani(n,B)",) leucorrboea,no,,,
already_reviewed,thari:p186:c2:e14,1,186,2,14,672.3,fej(adv),fej,adv,to-day,to-day,e4(ady),to*day,no,aj,242,0.767
prior_section,thari:p186:c2:e15,1,186,2,15,698.0,"fejfob(a,n.m)",fejfob,noun masculine,"wonderful, strange, wonder","wonderful, strange, wonder","ejeb(a,n.«) ^","wonderful, stra wobder",no,,,
prior_section,thari:p186:c2:e16,1,186,2,16,736.9,ce fejbpo(n.ii),ce fejbpo,noun,restlessness,restlessness,ejepo(n.B),restlessness,no,,,
prior_section,thari:p186:c2:e17,1,186,2,17,762.3,&janyo(a;,ajanyo,adjective,i^^norant,iggnorant,ejaayo(a),ignorant,no,,,
prior_section,thari:p186:c2:e18,1,186,2,18,794.7,fojuyo(a),fojuyo,adjective,wiii.out any purpose,wiii.out any purpose,eJayoCa),vithout any pur,no,,,
already_reviewed,thari:p186:c2:e19,1,186,2,19,819.9,fajij (n.ui),fajij,noun,relative,relative,ejij(n*a),relative,no,ganātī,5279,1.072
already_reviewed,thari:p187:c1:e1,2,187,1,1,148.9,ejiLo(n.a),ejilo,noun,ajwain,ajwain,,,no,ajmo,152,1.094
prior_section,thari:p187:c1:e2,2,187,1,2,174.3,ejro(a),ejro,adjective,naughty,naughty,’ j/ nau,"ughty,",no,,,
already_reviewed,thari:p187:c1:e3,2,187,1,3,201.2,fojho{n.ia),fojho,noun,"snelter, protecti","snelter, protecti",,,no,ajho,277,0.822
already_reviewed,thari:p187:c1:e4,2,187,1,4,227.3,& to(n.i3i),a to,noun,flour,flour,,,no,aṭo,1338,1.250
already_reviewed,thari:p187:c1:e5,2,187,1,5,252.5,etkeKn.f),etkek,noun feminine,device,device,,,no,aṭkal,183,1.082
already_reviewed,thari:p187:c1:e6,2,187,1,6,278.9,eth(a),eth,adjective,eight,eight,Teara) %ft^,^-eight,no,aṭh,941,1.157
already_reviewed,thari:p187:c1:e7,2,187,1,7,304.4,ethem(n.f),ethem,noun feminine,ei^ihth day of mon,eigihth day of mon,aCn.f) elgh,htlx day of oonth,no,aṭham,937,0.830
prior_section,thari:p187:c1:e8,2,187,1,8,330.3,ethais(a),ethais,adjective,twelity-eifiht,twelity-eifiht,,,no,,,
already_reviewed,thari:p187:c1:e9,2,187,1,9,356.0,fethani(n.f),fethani,noun feminine,eight anna piece,eight anna piece,nitn/f) eig,ght anna piece,no,aṭhānī,941,1.185
prior_section,thari:p187:c1:e10,2,187,1,10,382.4,ethaiio(a),ethaiio,adjective,ninety-eight,ninety-eight,no{a) nin,nety-eight ;• -y,no,,,
prior_section,thari:p187:c1:e11,2,187,1,11,408.3,ethara(a),ethara,adjective,eighteen,eighteen,ra(a) eig,ghteen,no,,,
prior_section,thari:p187:c1:e12,2,187,1,12,434.7,ethav&n(a),ethavan,adjective,fif ty-ei^iit,fif ty-eigiit,,,no,,,
prior_section,thari:p187:c1:e13,2,187,1,13,460.6,&thoter(a),athoter,adjective,seventy-eight,seventy-eight,iaia) tve,enty*elgbt,no,,,
prior_section,thari:p187:c1:e14,2,187,1,14,486.3,8thyasi(a),8thyasi,adjective,eighty-eight,eighty-eight,Teara) %ft^,^-eight,no,,,
prior_section,thari:p187:c1:e15,2,187,1,15,512.7,edhai(a;,edhai,adjective,two and a half,two and a half,,,no,,,
prior_section,thari:p187:c1:e16,2,187,1,16,537.9,©nUhar(n.ifl),anuhar,noun,body-guard of bride/bridegroom,body-guard of bride/bridegroom,,,no,,,
prior_section,thari:p187:c1:e17,2,187,1,17,576.5,bdeb^n.m),bdeb,noun masculine,"regard, respect","regard, respect",in*a) rega,"gard, respect",no,,,
prior_section,thari:p187:c1:e18,2,187,1,18,602.2,edal^n.ffl),edaln.ffl),,elder brother,elder brother,n.n) eld,der brother,no,,,
prior_section,thari:p187:c1:e19,2,187,1,19,627.9,"edrfak\,n.f J",edrfakn.f j,,ginger,ginger,kla.f) ging,nger,no,,,
already_reviewed,thari:p187:c1:e20,2,187,1,20,654.5,ecih^a;,ecih,adjective,half,half,,,no,ardho,644,1.032
prior_section,thari:p187:c1:e21,2,187,1,21,681.4,fcahkarUi.iii),fcahkarui.iii),,right,right,aria.aj righ,ght,no,,,
prior_section,thari:p187:c1:e22,2,187,1,22,705.9,edhgoUn.ui^,edhgoun.ui,,seiii-circle,seiii-circle,lVniia} seai,ai-circle,no,,,
prior_section,thari:p187:c1:e23,2,187,1,23,731.3,edhpa^a),edhpa,adjective,1/8 of a seer,1/8 of a seer,erta) 1^2,2 of a seer,no,,,
already_reviewed,thari:p187:c1:e24,2,187,1,24,757.7,edhregUA.m;,edhregua.m,,paralysis,paralysis,Sgin.aj '’para,ralysis,no,adhrãg,679,1.119
prior_section,thari:p187:c1:e25,2,187,1,25,783.4,©dhsert.a),adhsert,adjective,1/2 of a seer,1/2 of a seer,erta) 1^2,2 of a seer,no,,,
already_reviewed,thari:p187:c1:e26,2,187,1,26,808.9,8naj(n.m),8naj,noun masculine,cereal,cereal,uii) ‘cer,real ',no,anāj,398,1.180
prior_section,thari:p187:c2:e1,2,187,2,1,149.6,"^nath(a,n.m;",nath,noun masculine,or^^han,orgghan,,,no,,,
prior_section,thari:p187:c2:e2,2,187,2,2,175.0,&nanas(n.iQ},ananas,noun,pine-apple,pine-apple,enanas(n*m),pin«-apple,no,,,
prior_section,thari:p187:c2:e3,2,187,2,3,200.9,n ent(n.iii),n ent,noun,end,end,,,no,,,
prior_section,thari:p187:c2:e4,2,187,2,4,226.9,©ntUrln.ia),anturln.ia),,perfume,perfume,entUr(n*a),perl^uae,no,,,
prior_section,thari:p187:c2:e5,2,187,2,5,252.8,spjesCn.in),spjescn.in),,disgrace,disgrace,©pJesCn.n) ^,disgrace,no,,,
prior_section,thari:p187:c2:e6,2,187,2,6,278.9,"©piaan(n,ifl} dis",apiaan,noun,"sgrace, disrespect","sgrace, disrespect",epnan(n»a) di,i8grace» disreapeo,no,,,
prior_section,thari:p187:c2:e7,2,187,2,7,304.4,h epradh(n.Bi),h epradh,noun,crime,crime,epradhCa.a),oriae,no,,,
prior_section,thari:p187:c2:e8,2,187,2,8,330.1,epradhi(n.iii),epradhi,noun,criwi:ial,criwi:ial,"epra^i(n,a}",criminal,no,,,
prior_section,thari:p187:c2:e9,2,187,2,9,356.0,feprel(n.f),feprel,noun feminine,April,April,©preKn.f),April,no,,,
prior_section,thari:p187:c2:e10,2,187,2,10,382.4,ephsos(n.m),ephsos,noun masculine,"sorrow, alas","sorrow, alas",epbsps(n.B),"sorrow, alas",no,,,
prior_section,thari:p187:c2:e11,2,187,2,11,421.0,ebaCn.m),ebac,noun masculine,grand-father,grand-father,"eba(n,») '",grand-fatlier,no,,,
prior_section,thari:p187:c2:e12,2,187,2,12,447.2,6Drek(n.f),6drek,noun feminine,fflica,fflica,e^rekCn.f),mica,no,,,
prior_section,thari:p187:c2:e13,2,187,2,13,473.1,"©bhenyo(a)_,",abhenyo,adjective,illiterate,illiterate,Q^i^(a)ill,Illiterate,no,,,
prior_section,thari:p187:c2:e14,2,187,2,14,499.5,©bhaCproJ,abhacproj,,"you(obi,j","you(obi, j",,,no,,,
already_reviewed,thari:p187:c2:e15,2,187,2,15,524.4,©bhi^pro;,abhi,pronoun,you,you,’lebbT(pro),you ’,no,abhī̃,10511,1.250
prior_section,thari:p187:c2:e16,2,187,2,16,550.6,©bochni^n.f),abochni,noun feminine,sash for waist,sash for waist,"eboctoiii, f )",sasb for vaist,no,,,
prior_section,thari:p187:c2:e17,2,187,2,17,576.3,©mar^a),amar,adjective,im;i.ortal,im; i.ortal,War(a)',"immortal""",no,,,
prior_section,thari:p187:c2:e18,2,187,2,18,601.7,©melCn.mj,amelcn.mj,,"opium, practice","opium, practice",emel(ii.'l!i/,"opium, practice",no,,,
prior_section,thari:p187:c2:e19,2,187,2,19,627.2,©iiieldas^n.m j,aiiieldasn.m j,,cassia fistula,cassia fistula,'eaeldaitnjm),cassia fistula,no,,,
already_reviewed,thari:p187:c2:e20,2,187,2,20,653.1,©mas(n.f),amas,noun feminine,new moon day,new moon day,©o8ls(ii:f)^,new moon day,no,amās,565,0.856
prior_section,thari:p187:c2:e21,2,187,2,21,678.8,erai(n.fj,erai,noun,piaple of prickly h,piaple of prickly h,ofailn.f)' * *,"* pimple of prick a b g - "" ’e& »’",no,,,
prior_section,thari:p187:c2:e22,2,187,2,22,704.9,©reUnterj},areunterj,,"ah,,oh","ah,, oh",,,no,,,
prior_section,thari:p187:c2:e23,2,187,2,23,731.0,©rgU.ffi),argu.ffi),,an oblation,an oblation,BTginin),an bbiation-,no,,,
prior_section,thari:p187:c2:e24,2,187,2,24,756.3,©rgfct^n.m),argfct,noun masculine,file,file,,,no,,,
prior_section,thari:p187:c2:e25,2,187,2,25,782.0,©rt^.n.JE),art.n.je),,spindle wheel,spindle wheel,""" ek’getin.a;","file ""■ spindle vheeib",no,,,
prior_section,thari:p187:c2:e26,2,187,2,26,807.7,©rtaris^a),artaris,adjective,forty-eight,forty-eight,^ ertaJ:ls(a),forty-eight,no,,,
prior_section,thari:p187:c2:e27,2,187,2,27,839.6,©rtris^a),artris,adjective,thirty-eight,thirty-eight,‘ertris^a)*,thirty-eight,no,,,
already_reviewed,thari:p187:c2:e28,2,187,2,28,870.8,©rdho^a),ardho,adjective,half,half,,,no,adh,644,1.180
prior_section,thari:p188:c1:e1,3,188,1,1,152.7,©rseth^aj,arsethaj,,sixty-eight,sixty-eight,ihia) sixt,ty-eight,no,,,
prior_section,thari:p188:c1:e2,3,188,1,2,177.9,eli torlo^n.iii,eli torlon.iii,,i) ornciment wO] forehead,i) ornciment wO] forehead,,,no,,,
prior_section,thari:p188:c1:e3,3,188,1,3,217.3,©lyumineiiiUi.ui,alyumineiiiui.ui,,i) alluciinium,i) alluciinium,,,no,,,
prior_section,thari:p188:c1:e4,3,188,1,4,242.5,evercai^n.f;,evercai,noun feminine,perseveranct,perseveranct,,,no,,,
prior_section,thari:p188:c1:e5,3,188,1,5,268.1,evna^pro;,evna,pronoun,yoUUbl. j,yoUUbl. j,,,no,,,
already_reviewed,thari:p188:c1:e6,3,188,1,6,294.3,GvhUpro;,gvhupro,,you,you,,,no,avhī̃,10511,1.072
prior_section,thari:p188:c1:e7,3,188,1,7,320.0,8sa^.pro;,8sa,pronoun,we;.^bl.),we;.gbl.),,,no,,,
prior_section,thari:p188:c1:e8,3,188,1,8,345.9,ssantHn. f;,ssanth,noun feminine,worrY,worrY,,,no,,,
already_reviewed,thari:p188:c1:e9,3,188,1,9,372.1,©si^proj,asiproj,,we,we,,,no,asī̃,986,1.138
already_reviewed,thari:p188:c1:e10,3,188,1,10,398.0,fesi^aj,fesiaj,,eignty,eignty,,,no,asī,911,0.724
prior_section,thari:p188:c1:e11,3,188,1,11,423.7,"©stuti(,n.f;",astuti(,noun feminine,prayer,prayer,,,no,,,
already_reviewed,thari:p188:c1:e12,3,188,1,12,449.1,esu^n.ru;,esun.ru,,"seventh mon' India*, year","seventh mon' India*, year",,,no,asū,925,0.758
prior_section,thari:p188:c1:e13,3,188,1,13,487.7,©sembli^n.fj,asemblin.fj,,assembly,assembly,asse,embly,no,,,
prior_section,thari:p188:c1:e14,3,188,1,14,513.7,"©hi\, V j",ahi v j,,are,are,,,no,,,
prior_section,thari:p188:c1:e15,3,188,1,15,539.6,©hevV;,ahevv,,is,is,,,no,,,
already_reviewed,thari:p188:c1:e16,3,188,1,16,567.4,©hnanU-i.j^),ahnanu-i.j),,si£n,sign,,,no,ahnān,516,1.185
prior_section,thari:p188:c1:e17,3,188,1,17,591.7,©hldnaSiO^n.m),ahldnasio,noun masculine,) treaty a,) treaty a,,,no,,,
already_reviewed,thari:p188:c1:e19,3,188,1,19,694.9,agutho^n.ffi;,aguthon.ffi,,thumb,thumb,,,no,ā̃gūṭho,137,1.180
already_reviewed,thari:p188:c1:e20,3,188,1,20,722.2,agriU.f;,agriu.f,,fin£er,finger,,,no,ā̃grī,135,1.194
already_reviewed,thari:p188:c1:e21,3,188,1,21,745.7,ajni^n.i;,ajnin.i,,sty,sty,,,no,ā̃jṇi,1101,1.194
prior_section,thari:p188:c1:e22,3,188,1,22,772.6,atn^a;,atn,adjective,curvea,curvea,,,no,,,
already_reviewed,thari:p188:c1:e23,3,188,1,23,798.1,"atra^,n.iu;",atran.iu,,intestinea,intestinea,,,no,ā̃trā,1182,0.852
already_reviewed,thari:p188:c1:e24,3,188,1,24,824.5,atroln.m;,atrol,noun masculine,"fcuts, small intestine","fcuts, small intestine",,,no,ā̃tro,1182,0.916
prior_section,thari:p188:c2:e1,3,188,2,1,152.5,aGo(n.mj,ago,noun,maxi^o,maxigo,a£o^h.ajl,mango,no,,,
prior_section,thari:p188:c2:e2,3,188,2,2,178.6,aiU'i.f;,aiui.f,,e^ranci-ffiotiier,egranci-ffiotiier,a i U . f ),grand->mother,no,,,
prior_section,thari:p188:c2:e3,3,188,2,3,204.1,akfor^n.mj,akforn.mj,,"foraj, shape","foraj, shape",tk e ru .a ),"form, shape",no,,,
prior_section,thari:p188:c2:e4,3,188,2,4,230.7,aKasui.iij,akasui.iij,,sky,sky,akasUfBj,aky,no,,,
prior_section,thari:p188:c2:e5,3,188,2,5,255.2,axitufliLi©r(.n.m^,axitufliliar(.n.m,,October,October,aktuBberin*a},October,no,,,
already_reviewed,thari:p188:c2:e6,3,188,2,6,280.9,"aKiiaro\,n.iii)",akiiaron.iii),,"arena, stadium","arena, stadium",akharoia.a),"arena, sta^iuB",no,ākhāro,39,1.135
already_reviewed,thari:p188:c2:e7,3,188,2,7,306.5,aKnero^n.m;,aknero,noun masculine,nest,nest,akheroin.a;,nest,no,ākheṛo,1021,1.203
prior_section,thari:p188:c2:e8,3,188,2,8,332.7,agest^n.iu;,agestn.iu,,August,August,agest^n.ffl/,August,no,,,
prior_section,thari:p188:c2:e9,3,188,2,9,358.9,apghat^n.mj,apghatn.mj,,suicide,suicide,apghatU*a;,suicide,no,,,
prior_section,thari:p188:c2:e10,3,188,2,10,384.1,"agpeti^,n.f;",agpeti,noun feminine,"match-box steamer, bhip","match-box steamer, bhip",agp etiU tf),match-box,no,,,
prior_section,thari:p188:c2:e11,3,188,2,11,413.6,aiiCutUi.iiJ J,aiicutui.iij j,,"steamer, bhip","steamer, bhip",ag^utin.B),"steaaer, ship",no,,,
prior_section,thari:p188:c2:e12,3,188,2,12,435.7,ajvn.iu),ajvn.iu),,ivory,ivory,"ajin,m;",ivory,no,,,
prior_section,thari:p188:c2:e13,3,188,2,13,461.3,ajad^a;,ajad,adjective,free,free,ajadva),free,no,,,
prior_section,thari:p188:c2:e14,3,188,2,14,486.8,ajadi(n.fj,ajadi,noun,freedom,freedom,aja d i(n .f;,freedom,yes,,,
prior_section,thari:p188:c2:e15,3,188,2,15,512.9,affotvn.fJ,affotvn.fj,,habit,habit,aietvn.f;,habit,no,,,
prior_section,thari:p188:c2:e16,3,188,2,16,538.6,a^ltar(n.ni;,altar,noun,Suiiuay,Suiiuay,adfliarin.oj,Sunday,no,,,
prior_section,thari:p188:c2:e17,3,188,2,17,566.5,atmawi.f;,atmawi.f,,"soul, spirit","soul, spirit",atmava*f;,souly spirit,no,,,
already_reviewed,thari:p188:c2:e18,3,188,2,18,590.5,"athar\,n.ia;",atharn.ia,,harness,harness,athervn.nj,hamesa,no,āthar,1505,1.185
prior_section,thari:p188:c2:e19,3,188,2,19,615.9,"atnan9^,n.iuj",atnan9n.iuj,,pickle,pickle,athanovn.mj,pickle,no,,,
prior_section,thari:p188:c2:e20,3,188,2,20,641.8,atnuno^n,atnunon,,west,west,akheroin.a;,nest,no,,,
prior_section,thari:p188:c2:e21,3,188,2,21,668.0,ademsUmari in,ademsumari in,,f)census,f)census,ademsUaari in* f,f Jcensus,no,,,
prior_section,thari:p188:c2:e22,3,188,2,22,693.7,admi(n.iu;,admi,noun,"husbaud, u*aii","husbaud, u*aii",adBi(n.m;,"husband, man",no,,,
prior_section,thari:p188:c2:e23,3,188,2,23,719.1,"ano \,n.n)",ano n.n),,oxie anna piece,oxie anna piece,anovn.m/,one anna piece,no,,,
already_reviewed,thari:p188:c2:e24,3,188,2,24,744.8,ap^pro;,ap,pronoun,"self, in person","self, in person",apvproj,aelf» in person,no,āp,1135,1.250
already_reviewed,thari:p188:c2:e25,3,188,2,25,770.9,apo\.n.in;,apo.n.in,,"pride, ego","pride, ego",apovn.B;,"pride, ego",no,āpo,1135,1.157
prior_section,thari:p188:c2:e26,3,188,2,26,796.1,aphis\n.f;,aphis,noun feminine,office,office,aphiavn.f;,office,no,,,
prior_section,thari:p188:c2:e27,3,188,2,27,848.9,aphis©r(n.m),aphisar,noun masculine,officer,officer,aphiavn.f;,office,no,,,
prior_section,thari:p189:c1:e1,4,189,1,1,146.9,absarln.ii J,absarln.ii j,,water-fall,water-fall,rlQ.a) vat,ter>fall,no,,,
already_reviewed,thari:p189:c1:e2,4,189,1,2,172.9,abho(n.m),abho,noun masculine,sky,sky,,,no,ābho,549,1.250
prior_section,thari:p189:c1:e3,4,189,1,3,198.8,an;(a),an,adjective,"public, coauiion","public, coauiion",,,no,,,
prior_section,thari:p189:c1:e4,4,189,1,4,224.9,amdeni^n.f),amdeni,noun feminine,"income, import","income, import","ni(n,f) Inc",coBe* iaport,no,,,
prior_section,thari:p189:c1:e5,4,189,1,5,250.1,am dorkhas^n. f,am dorkhas,noun feminine,f)public petition,f)public petition,orklm8(n«f}pub,blic petition,no,,,
already_reviewed,thari:p189:c1:e6,4,189,1,6,275.8,au*li(n. f),auli,noun feminine,tamarind,tamarind,,,no,āmlī,1280,1.180
prior_section,thari:p189:c1:e7,4,189,1,7,301.3,aram(n.ia),aram,noun,"rest, peace","rest, peace",,,no,,,
already_reviewed,thari:p189:c1:e8,4,189,1,8,326.7,aritho(n.m),aritho,noun masculine,"soap-nut, soap-'wor","soap-nut, soap-'wor",,,no,ārīṭho,1320,0.741
already_reviewed,thari:p189:c1:e9,4,189,1,9,352.6,arisotn»m),arisotn»m),,mirror,mirror,e(n.m) mir,rror,no,ārīso,1143,1.185
already_reviewed,thari:p189:c1:e10,4,189,1,10,379.5,aropar(adv),aropar,adv,throu^^h and througf,througgh and througf,ar(adT) thr,rough cuid through,no,āropār,1295,0.945
already_reviewed,thari:p189:c1:e11,4,189,1,11,404.9,aro paroCn.ffi),aro parocn.ffi),,neighbour-hood,neighbour-hood,"paro\|i,a) oei",ighbour^bood,no,āṛo pāṛo,8598,0.871
prior_section,thari:p189:c1:e12,4,189,1,12,430.4,artikeUn.f),artikeu,noun feminine,article,article,kelin«f) art,ticle,no,,,
prior_section,thari:p189:c1:e13,4,189,1,13,456.3,arti(n.f),arti,noun feminine,lanp worship,lanp worship,,,no,,,
prior_section,thari:p189:c1:e14,4,189,1,14,482.5,artvar(n.m),artvar,noun masculine,Sunday,Sunday,,,no,,,
already_reviewed,thari:p189:c1:e15,4,189,1,15,508.1,"arpar(,adv)",arpar(,adv,through,through,,,no,ārpār,1295,1.250
already_reviewed,thari:p189:c1:e16,4,189,1,16,534.1,arBu(a),arbu,adjective,lazy,lazy,,,no,ārsū,708,1.180
prior_section,thari:p189:c1:e17,4,189,1,17,559.5,alubkharo(n.m;,alubkharo,noun masculine,plum,plum,,,no,,,
prior_section,thari:p189:c1:e18,4,189,1,18,585.4,aljebra^n.f;,aljebra,noun feminine,algebra,algebra,train^f) alg,gebra,no,,,
prior_section,thari:p189:c1:e19,4,189,1,19,624.1,albeffiCn.il:),albefficn.il),,album,album,a(n.B) alb,bum,no,,,
prior_section,thari:p189:c1:e20,4,189,1,20,649.7,avaj(n.ffi),avaj,noun,"souna, voice","souna, voice",,,no,,,
already_reviewed,thari:p189:c1:e21,4,189,1,21,675.7,as<.n.f),as,noun feminine,hope,hope,,,no,ās,1456,1.250
already_reviewed,thari:p189:c1:e22,4,189,1,22,702.8,a s a U . f ),a s a u . f ),,hope,hope,,,no,āsā,1456,1.180
prior_section,thari:p189:c1:e23,4,189,1,23,727.5,asalta(a),asalta,adjective,hopeful,hopeful,,,no,,,
prior_section,thari:p189:c1:e24,4,189,1,24,752.5,"asa vari(a,n. f",asa vari,noun feminine,f)pretnant,f)pretnant,,,no,,,
prior_section,thari:p189:c1:e25,4,189,1,25,778.6,"aslk(a,n.m)",aslk,noun masculine,"fascinated, infatuated","fascinated, infatuated",,,no,,,
prior_section,thari:p189:c2:e1,4,189,2,1,147.2,asis^n.f),asis,noun feminine,blessing,blessing,a8l8(n.f),blessing,no,,,
prior_section,thari:p189:c2:e2,4,189,2,2,173.1,asuraCn.m),asurac,noun masculine,ttoharraui,ttoharraui,a8ura(a*a},moharraa,no,,,
prior_section,thari:p189:c2:e3,4,189,2,3,199.5,asmaniCa),asmanica),,sky blue,sky blue,asaanlia>,akj blue,no,,,
prior_section,thari:p189:c2:e4,4,189,2,4,224.7,asrem(n.m),asrem,noun masculine,"hermitag,e","hermitag, e",asrea^n.a),hermitage,no,,,
prior_section,thari:p189:c2:e5,4,189,2,5,250.1,ahbri(n.f),ahbri,noun feminine,salad,salad,aheri(B.tf),salad,no,,,
prior_section,thari:p189:c2:e6,4,189,2,6,326.7,t Ijfe»n^n.fji,t ijfe»nn.fji,,engine,engine,ljea(n«f),engine,no,,,
prior_section,thari:p189:c2:e7,4,189,2,7,353.6,IjneriU.f),ijneriu.f),,engineering,engineering,Ijnerl^n.f),engineering,no,,,
prior_section,thari:p189:c2:e8,4,189,2,8,379.0,t Idpen^n.fj,t idpenn.fj,,fountain-pen,fountain-pen,"ldpen(ii,f J",fountain-pen,no,,,
prior_section,thari:p189:c2:e9,4,189,2,9,404.5,Ikav8u(a),ikav8u,adjective,fifty-one,fifty-one,IkaTen(a),fifty-one,no,,,
prior_section,thari:p189:c2:e10,4,189,2,10,429.9,Ikis^a),ikis,adjective,"twent,y-one","twent, y-one",Xkls(a),tventy-one,no,,,
prior_section,thari:p189:c2:e11,4,189,2,11,456.1,Ikoterla),ikoterla),,seventy-one,seventy-one,Xkoter(a);,seventy-one,no,,,
prior_section,thari:p189:c2:e12,4,189,2,12,481.7,Iktaris(a),iktaris,adjective,forty-one,forty-one,Iktarisla),forty-one,no,,,
prior_section,thari:p189:c2:e13,4,189,2,13,507.9,Iktrisla),iktrisla),,thirty-one,thirty-one,Iktrls(a),thirty-one,no,,,
