Snapshot_Date,Collation_Date,Atlas_Numbers,PDF_Page,Printed_Page,Raw_Form,Raw_Gloss,Final_Status,Final_Form,Final_Parameter_ID,Emitted_Key,Resolution,Review,Material_Error,Source,Record_SHA256
2026-08-19,2026-08-20,10,6,25,xartī́,donkey,installed_form,xartī́,,buddruss-grangali1979:item-10,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 10]",f16ca8bdb777e961e9d50b1a223a8dd030d178177fd9475bc2b9eba34cb6c941
2026-08-19,2026-08-20,11,6,25,kal,year,installed_form,kal,,buddruss-grangali1979:item-11,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 11]",076b568c8f9190e0215fd42c854f2d0a9ba53001be00c658cd6505e87de0436c
2026-08-19,2026-08-20,12,6,25,tasā́m dēsā́,day after tomorrow,installed_form,tasā́m dēsā́,,buddruss-grangali1979:item-12,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 12]",2395f09df77ed7a2293526d0a06ec9228744831f7fc0792a4a0bfafb7d40b8ee
2026-08-19,2026-08-20,13,7,26,artə ra paləsā́ arilə́ wusī́sī,"rainbow (red, green, and yellow has risen)",installed_form,artə ra paləsā́ arilə́ wusī́sī,,buddruss-grangali1979:item-13,circumlocution; component etymologies are discussed by Buddruss but the phrase is not directly linked,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 26, item 13]",8bcf6c00c24ccc8aa8b5429b1b4b405b955c197badb13a60ddbe77d75d13fd84
2026-08-19,2026-08-20,14,7,26,kaširə́ zar,silver (white gold),installed_form,kaširə́ zar,,buddruss-grangali1979:item-14,calque of Pashto expression,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 26, item 14]",22c6f33a28c4d36d18cd70b5a04a483bb501c232112c3775fbe0585d44b8fe94
2026-08-19,2026-08-20,15,7,26,bis-,sit down,installed_form,bis-,,buddruss-grangali1979:item-15,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 26, item 15]",b561b74139d8f6e663aa1205d7d1b495a8dcda8d18ba622de44f88df6d74f5a9
2026-08-19,2026-08-20,16,7,26,ac,today,installed_form,ac,,buddruss-grangali1979:item-16,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 26, item 16]",88037a27a1892bd4eac34dfad5dd8347accaae6dca5fd1289231f16e67244cf6
2026-08-19,2026-08-20,17,7,26,sardumə́,autumn,installed_form,sardumə́,,buddruss-grangali1979:item-17,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 26, item 17]",bfcd33d00291b746278fe1346156c5674a0f3f4490587c5238d84eb6beefd66a
2026-08-19,2026-08-20,18,7,26,andə́,blind,installed_form,andə́,,buddruss-grangali1979:item-18,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 26, item 18]",62a21303012bc4d18f1c775ff237476fc07b023a59e010ebeb1ddbc1aee29613
2026-08-19,2026-08-20,19,7,26,darī́,beard,installed_form,darī́,,buddruss-grangali1979:item-19,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 26, item 19]",1e94f14b16710117c7e2a5279eb9214df6889cf285341383731ab8c2e1c52d43
2026-08-19,2026-08-20,20,7,26,la-,beat,installed_form,la-,,buddruss-grangali1979:item-20,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 26, item 20]",2d21da033dfd9ec3a89fef043169c54cd784854e66e9a2007c9ec26ce1373cc0
2026-08-19,2026-08-20,21,7,26,kaširə́,white,installed_form,kaširə́,,buddruss-grangali1979:item-21,borrowed form,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 26, item 21]",ec5a6af444cffab3a7a613584265d83fb135a28ba4cd51184c557165f6f346ad
2026-08-19,2026-08-20,21,7,26,kasirə́,white,installed_form,kasirə́,,buddruss-grangali1979:item-21:form-2,accepted alternate pronunciation,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 26, item 21]",829a7456fdc31f6f73d5c32b8bb2af9032629c3628bc806f931efe41d8ff7a54
2026-08-19,2026-08-20,22,8,27,bākəs,box,installed_form,bākəs,,buddruss-grangali1979:item-22,English via Pashto,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 22]",47ef10aaa3f39c49a8f0a07f3163c28e6272e9870c69b5417df1f5c93585497f
2026-08-19,2026-08-20,23,8,27,ā̃nsṭ,mouth,installed_form,ā̃nsṭ,,buddruss-grangali1979:item-23,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 23]",35453d7b9e23687c4234c654bef10cde7829975016c140df0080cf655727f245
2026-08-19,2026-08-20,23,8,27,ā̃sṭ,mouth,installed_form,ā̃sṭ,,buddruss-grangali1979:item-23:form-2,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 23]",3101a5d495c7f862d3f7e231c1edb7d41112308fa0f2ad55e6709def33dd2413
2026-08-19,2026-08-20,24,8,27,brəṣpā̃re,birch,installed_form,brəṣpā̃re,,buddruss-grangali1979:item-24,Buddruss treats it as a loan and tentatively discusses a Pashto source,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 24]",3f829678fd73c4a6c4ccda92e0fee259ca939ba54bf0d589f11fd3e3d9d91b9d
2026-08-19,2026-08-20,25,8,27,xantə́,irrigation canal,installed_form,xantə́,,buddruss-grangali1979:item-25,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 25]",08b7c33c8e9aa9de1537c6fc816b177bfe853cb2f4ea45ee87e32a69b98a0de4
2026-08-19,2026-08-20,26,8,27,basə́t,ashes,installed_form,basə́t,,buddruss-grangali1979:item-26,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 26]",1153c8f80bb54ec9a1c1165831ee93ee5c9313a5431eae46be1f6e82ffb4cf16
2026-08-19,2026-08-20,27,8,27,maλə́k,brain,installed_form,maλə́k,,buddruss-grangali1979:item-27,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 27]",ffceea67250b0593d6f7353fdfe0136e257bbdbea0e7fa62f7bdd18a356bc26c
2026-08-19,2026-08-20,28,8,27,zanzī́r,chain,installed_form,zanzī́r,,buddruss-grangali1979:item-28,from Pashto,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 28]",7186e476b3e0506950ac92f49745dd7c6572c9fadb49174d72e6b4f4ea0caf7e
2026-08-19,2026-08-20,29,8,27,šutū́r,camel,installed_form,šutū́r,,buddruss-grangali1979:item-29,from Persian,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 29]",541c8c051c6d60b3b029137bedd43526d27070d1c0566eb41a4db41ce72cb079
2026-08-19,2026-08-20,30,8,27,pisānsə́,cat,installed_form,pisānsə́,,buddruss-grangali1979:item-30,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 30]",b6db57f912b291aec385a9335ed294b1cf9c593dd4d8af544983028792866f46
2026-08-19,2026-08-20,31,8,27,gōrə́,horse,installed_form,gōrə́,,buddruss-grangali1979:item-31,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 31]",9b199181782097423a17059acfa226f0702e3a035f81b8157266f2b7186c3ec5
2026-08-19,2026-08-20,32,8,27,sūrə,dog,installed_form,sūrə,,buddruss-grangali1979:item-32,assimilated from šūrə,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 32]",a78252fc94ab79df4e0ef07be4a758e750082c4d0c59901a68a1fdcda549d730
2026-08-19,2026-08-20,33,8,27,rat,sky,installed_form,rat,,buddruss-grangali1979:item-33,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 33]",2e5056cac0c0d0ef6bf582bdbf9bef23cf116fe9c6ea4da4980f66c63ac68956
2026-08-19,2026-08-20,34,8,27,ratə anlə́ nāsi,blue sky (there is no cloud in the sky),installed_form,ratə anlə́ nāsi,,buddruss-grangali1979:item-34,source circumlocution,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 34]",b57624579bd907f14c020cd2dd0cd5f5267505b8612c73118f44c2de1b36b92d
2026-08-19,2026-08-20,35,8,27,yidə́,heart,installed_form,yidə́,,buddruss-grangali1979:item-35,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 35]",0268402987ba439234ac021740fd2196030a6384f9081ebdb47bcde8757e6b31
2026-08-19,2026-08-20,36,8,27,bangī́,rooster,installed_form,bangī́,,buddruss-grangali1979:item-36,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 36]",9949a1be92bd6c28184df06a4063b9f0a59fec3fb13cb398a4b3a99e2055b60b
2026-08-19,2026-08-20,37,8,27,ṣín,horn,installed_form,ṣín,,buddruss-grangali1979:item-37,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 37]",842fb9ceab7f8788cfcfe5677936e215a5bde29e105799a3c42ed008d6e48b5f
2026-08-19,2026-08-20,38,9,28,kērə́,crow,installed_form,kērə́,,buddruss-grangali1979:item-38,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 38]",a70894f0ad169287c28b07bf1253fc11975a0c4029ff67ae46fc96e883b44862
2026-08-19,2026-08-20,39,9,28,susík,elbow,installed_form,susík,,buddruss-grangali1979:item-39,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 39]",e52dc7db82ca69c28e8c2578b5c224a21b7f605b8c5368bf79c187e604de4460
2026-08-19,2026-08-20,40,9,28,mis,brass; copper,installed_form,mis,,buddruss-grangali1979:item-40,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 40]",1712f3c67efdb5101bddf5fbebee3226d3c25d65dd23f539e73e3e4b69f4149d
2026-08-19,2026-08-20,41,9,28,wisī́,nineteen,installed_form,wisī́,,buddruss-grangali1979:item-41,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 41]",52f6dbc2ec74dff98fbfeff238dac51f0ddf85aec8a23f54b10fec14bfd68889
2026-08-19,2026-08-20,42,9,28,da-,give,installed_form,da-,,buddruss-grangali1979:item-42,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 42]",9c3b7f0ffe2d1d0ecce2cbd56b1ad0182b741b26ba1978133d1133e5f7a7e294
2026-08-19,2026-08-20,43,9,28,bas,twelve,installed_form,bas,,buddruss-grangali1979:item-43,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 43]",b64c542d1b7578bdee34e295862af4838f26599b38ef9f8063ce63f23adaa37a
2026-08-19,2026-08-20,44,9,28,ū,water,installed_form,ū,,buddruss-grangali1979:item-44,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 44]",125cf949d5e4db8c7f677008117ffc68b9139f5db9a42ad581283b4e21bcd5a8
2026-08-19,2026-08-20,45,9,28,lambū́r,lightning,installed_form,lambū́r,,buddruss-grangali1979:item-45,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 45]",0fb546f88109b11fb39de180b6e85139992d8e7cdbf4197b8b52830648a6044e
2026-08-19,2026-08-20,46,9,28,lik-,write,installed_form,lik-,,buddruss-grangali1979:item-46,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 46]",5e096b5ae4fe271c9ff2ce31e75f89544ae40b1842258bd0a662887aab63ea59
2026-08-19,2026-08-20,47,9,28,,foam,excluded_unattested,,,,explicitly unattested,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 47]",77135d45c2108281978775a9645db4597986de3cef8ef2442322c4bc869cf762
2026-08-19,2026-08-20,48,9,28,list,span (hand measure),installed_form,list,,buddruss-grangali1979:item-48,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 48]",7fbd4d4c15e3becf8a05a5e97b63d8c6d29d3b76b30ca4d188210dcf0a97e17c
2026-08-19,2026-08-20,49,9,28,dusmā́n,enemy,installed_form,dusmā́n,,buddruss-grangali1979:item-49,from Persian,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 49]",6f36f61cc4ded49e9ec2c1b6c449ab2765abed6128c9e1fba7338bf016345ca1
2026-08-19,2026-08-20,50,9,28,ṣū́r-,hear,installed_form,ṣū́r-,,buddruss-grangali1979:item-50,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 50]",7466fd9f0f70b69ececf841fdbef13b293fc88c74d069405a8af04f16f80a953
2026-08-19,2026-08-20,51,9,28,kondī́r,shoulder,installed_form,kondī́r,,buddruss-grangali1979:item-51,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 51]",80615fa7045af46b75b31bbafc2ee44c1f0789f87738c878c27ec11a96b2cb49
2026-08-19,2026-08-20,52,9,28,sṓš,summer,installed_form,sṓš,,buddruss-grangali1979:item-52,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 52]",dcd913e751b63b75fc49be4ea0f86289853988e40a36178972c2d9aad8dd589f
2026-08-19,2026-08-20,53,10,29,āt,flour,installed_form,āt,,buddruss-grangali1979:item-53,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 53]",1281c0f131f054f28529b1630ed5b442e953f244efdf17892573d859aa594806
2026-08-19,2026-08-20,54,10,29,tūlakə́,sickle,installed_form,tūlakə́,,buddruss-grangali1979:item-54,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 54]",00ca30d9e0fc07d1322974e5e8331548e58ca3e65bea53b121be81c56ffdeac3
2026-08-19,2026-08-20,55,10,29,parī́,fairy,installed_form,parī́,,buddruss-grangali1979:item-55,from Persian,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 55]",312cfbc8378afa0ee8fc4f9a0bd0f098093e0935f448b1bec5a38ce9c9f38732
2026-08-19,2026-08-20,56,10,29,angā́r,fire,installed_form,angā́r,,buddruss-grangali1979:item-56,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 56]",5fe09bda5609391364821dfe52b5800762a0f8369f254be2b95a6ec4975455d0
2026-08-19,2026-08-20,57,10,29,tāu,fever,installed_form,tāu,,buddruss-grangali1979:item-57,from Kabuli Persian,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 57]",e84b2bbd44b9db5192fde981264bb7dd6af0349f6c9631204b1995863f31605b
2026-08-19,2026-08-20,58,10,29,kəít,fig,installed_form,kəít,,buddruss-grangali1979:item-58,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 58]",da4be11d4fadb67dfea1418fc314a5d66f80637c0ba9da519b3ee29c043febb3
2026-08-19,2026-08-20,59,10,29,zū,girl,installed_form,zū,,buddruss-grangali1979:item-59,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 59]",6750b7ff75e211388c0d597528cbc33a612fc907d9d6eca28283f348b92fa0fe
2026-08-19,2026-08-20,60,10,29,puλ,son,installed_form,puλ,,buddruss-grangali1979:item-60,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 60]",63e1220ff7fc9c25bbd578c51e6837dc9f7b1b4e8ac94a919b06beecc5787718
2026-08-19,2026-08-20,61,10,29,kā̃,arrow,installed_form,kā̃,,buddruss-grangali1979:item-61,"CDIAL 14622 in the commentary belongs to secondary diā 'wall', not this answer",full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 61]",79dfacad1c96127d9317fe8d57fb66036b1902ee48ba008ec6b58ad2842fc881
2026-08-19,2026-08-20,62,10,29,pimlə́,ant,installed_form,pimlə́,,buddruss-grangali1979:item-62,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 62]",c5b6af1dc7fc3a7c6ccb25a389ebe1125785b98fbe0bb7186638b4aea8f22486
2026-08-19,2026-08-20,63,10,29,la,brother,installed_form,la,,buddruss-grangali1979:item-63,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 63]",77794876bcdf93791405210986bd8ea2f1b390c687210c87bfa73453a849076c
2026-08-19,2026-08-20,64,10,29,kīlə́,cheese,installed_form,kīlə́,,buddruss-grangali1979:item-64,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 64]",d1e91276620d636ce6019b0ec650df1aa71808f7e5cc0ee1ca3490f271c03952
2026-08-19,2026-08-20,65,10,29,dum,smoke,installed_form,dum,,buddruss-grangali1979:item-65,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 65]",83236483f814b41b5738395dbe79d9e36364557e14faf573ab27fc03635f0ec4
2026-08-19,2026-08-20,66,10,29,tōpā́k,gun,installed_form,tōpā́k,,buddruss-grangali1979:item-66,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 66]",e079e5e5fe71c8edb50947a6dfded2d51b55bad04c8ef555d727e70052465553
2026-08-19,2026-08-20,67,10,29,goā́t,animal fat; ghee,installed_form,goā́t,,buddruss-grangali1979:item-67,Buddruss's Grangali answer; Grjunberg's comparative form gᵒat remains commentary only,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 67]",c0ec23293db39f57b87e51fc640c824198ee5b406e028c9473ceaf099d43d227
2026-08-19,2026-08-20,68,10,29,darím,pomegranate,installed_form,darím,,buddruss-grangali1979:item-68,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 68]",7b813d204a0477323abe5367e2d4b1717b926cbbee51aa7ae50a0fdf27f1b9d9
2026-08-19,2026-08-20,69,10,29,tutəmarkā́,frog,installed_form,tutəmarkā́,,buddruss-grangali1979:item-69,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 69]",45593367c0df40878e3489f80c4e9e427a841b446c4f71bd258d36771374d538
2026-08-19,2026-08-20,70,11,30,erā̃,wasp,installed_form,erā̃,,buddruss-grangali1979:item-70,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 70]",325e88351f1cdbf649ae6747d5ff7368134eb0f4b82144968f7ba745df82d55c
2026-08-19,2026-08-20,71,11,30,gā̃s,grass,installed_form,gā̃s,,buddruss-grangali1979:item-71,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 71]",fe71f68b2ed47a320de8cd6b27cdc1e2c3219e33205c9140fc675f5e657fe4c2
2026-08-19,2026-08-20,72,11,30,pau,hedgehog; porcupine,installed_form,pau,,buddruss-grangali1979:item-72,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 72]",2fa4f158e201449a9a10a9819d84ed8ba561d222ab6e5ae38b4ffc23bc715d6d
2026-08-19,2026-08-20,73,11,30,imā́n,winter,installed_form,imā́n,,buddruss-grangali1979:item-73,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 73]",36e3f5f8efe3d3c016fd6f0dd7f8ae67c366ed10c3e5c110e6341b137d18b22c
2026-08-19,2026-08-20,74,11,30,šarm-,be ashamed,installed_form,šarm-,,buddruss-grangali1979:item-74,from Persian,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 74]",ae2656e416a7af121fcf6393684553fe7db13170014ab957e6ba215422ce04e4
2026-08-19,2026-08-20,75,11,30,aṣṭ,eight,installed_form,aṣṭ,,buddruss-grangali1979:item-75,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 75]",5ccb5a3e6f9743ec24224e8a6b4643ae2b8e050bc3318b4dfbacb07f1c5093c8
2026-08-19,2026-08-20,76,11,30,basū́,day (24 hours),installed_form,basū́,,buddruss-grangali1979:item-76,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 76]",14520d37117c0ef031f43e4aabe101f4c2cbd5a41602b17d84acbbe3f90d7783
2026-08-19,2026-08-20,76,11,30,deswā́r,daylight; day,installed_form,deswā́r,,buddruss-grangali1979:item-76:form-2,"compared by Buddruss with Lahnda forms and CDIAL 6335, not asserted as a direct reflex",full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 76]",f4db62de74bce6d735dbf94631dfc391df8293f8dbf9e46461ce4d58df85270d
2026-08-19,2026-08-20,77,11,30,šudə́,milk,installed_form,šudə́,,buddruss-grangali1979:item-77,from Pashto,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 77]",264271a7439f2217c2d9469ed057a32c62f972afe87ab814972c0e2012c5f706
2026-08-19,2026-08-20,78,11,30,zíp,tongue,installed_form,zíp,,buddruss-grangali1979:item-78,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 78]",e59fe6cfa220d3707cd76fe69558b1fa0e4321fc423d3949afe26790d3ee9791
2026-08-19,2026-08-20,78,11,30,bāsə́,language,installed_form,bāsə́,,buddruss-grangali1979:item-78:form-2,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 78]",d3c639d497cb27812bbde67802b74ec66b3147a97f0bf4d73b703538e58f9d06
2026-08-19,2026-08-20,79,11,30,pala-,wash,installed_form,pala-,,buddruss-grangali1979:item-79,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 79]",f815bf227253d2b40e515f681a26aebc1374f37e9d5433f212a276f9d3bd2b2e
2026-08-19,2026-08-20,80,11,30,bōčā́r,leopard,installed_form,bōčā́r,,buddruss-grangali1979:item-80,borrowed form,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 80]",f9034cc91e53c29cc2f3095140a8f115b2f6010f5bf6ed762a468ecc3dfe26f3
2026-08-19,2026-08-20,81,11,30,bistṓ,lip,installed_form,bistṓ,,buddruss-grangali1979:item-81,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 81]",76ec85cf6b7d49d9dd245e6d0c66047fa83e27f4056b85fbf86671e1ad5da72d
2026-08-19,2026-08-20,82,11,30,xᵒat,bed,installed_form,xᵒat,,buddruss-grangali1979:item-82,source uses a raised o,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 82]",ab4b5e41db4dfc0deac3ca9d6da2a696fbed7eba0d91fc25b5345a5d62b582a2
2026-08-19,2026-08-20,83,11,30,dūrwarī́,far,installed_form,dūrwarī́,,buddruss-grangali1979:item-83,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 83]",0280ab4f4a9cf994fae4fec9014c4359b2220e1600c766d77db17b1f66f44896
2026-08-19,2026-08-20,84,11,30,mas,moon; month,installed_form,mas,,buddruss-grangali1979:item-84,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 84]",59f7c6b98b8f08f47d644517408408f6a8412c92b44fd8b3d0a0d92b95c28432
2026-08-19,2026-08-20,84,11,30,masulī́,moon,installed_form,masulī́,,buddruss-grangali1979:item-84:form-2,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 84]",db110874cad219d06738d6bf0d0267a515689a7d64e97a037cccb8288b20ddc4
2026-08-19,2026-08-20,85,12,31,ast,hand,installed_form,ast,,buddruss-grangali1979:item-85,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 31, item 85]",ec6fab85a4abd8c2cda03281487da5355f374d9aa249bcbcef981c8dcf506663
2026-08-19,2026-08-20,86,12,31,gē,house,installed_form,gē,4251,buddruss-grangali1979:item-86,derived from Sanskrit gēhá-; Buddruss corrects the Wg. form in CDIAL,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 31, item 86]",2387a1de33900145a7b61ccc20bf16b5353f925a925aa1109cfc1109eccbb810
2026-08-19,2026-08-20,87,12,31,xo-,eat,installed_form,xo-,,buddruss-grangali1979:item-87,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 31, item 87]",0b72486ce3481f4342d40342ab531139cda39fe12f03a24bd989e8d52e6f718e
