Gloss,Site,Form,Tulu,Malayalam,Kodava,Etymon,Note
Roof,MTV,mond̪ajʌm,maːɖ,melkːuɾa,moːn̪d̪aːja,,"Closely resembles the listed Kodava form mōndāya, but no secure DEDR set was found."
Roof,MTE,mond̪æjem,maːɖ,melkːuɾa,moːn̪d̪aːja,,"Closely resembles the listed Kodava form mōndāya, but no secure DEDR set was found."
Door,MTP,vakil,baːkːil,vaːt̪il,paɖi,d5354,
Door,MTV,vat̪il,baːkːil,vaːt̪il,paɖi,d5354,
Door,MTE,vakːil,baːkːil,vaːt̪il,paɖi,d5354,
Firewood,MTP,kolli,kaɳakː,viragə,puɭɭi,d2158,
Firewood,MTV,kolːi,kaɳakː,viragə,puɭɭi,d2158,
Firewood,MTE,kolli,kaɳakː,viragə,puɭɭi,d2158,
Broom,MTP,mɑːtʃi,maːjipː,tʃuːl,tʃiːpe,d4794,
Broom,MTV,matʃːi,maːjipː,tʃuːl,tʃiːpe,d4794,
Broom,MTE,mɑːtʃːi,maːjipː,tʃuːl,tʃiːpe,d4794,
Mortar (for grain),MTP,tʃigida,uɾʌl,uɾʌl,NA,,cigida has no secure DEDR match.
Mortar (for grain),MTV,tʃigida,uɾʌl,uɾʌl,NA,,cigida has no secure DEDR match.
Mortar (for grain),MTE,tʃigida,uɾʌl,uɾʌl,NA,,cigida has no secure DEDR match.
Pestle,MTP,dʒigar,udʒʌɭ,ulakka,Nill,d583,jigar has no secure DEDR match.
Pestle,MTV,dʒiːger,udʒʌɭ,ulakka,Nill,d583,jigar has no secure DEDR match.
Pestle,MTE,dʒigːer,udʒʌɭ,ulakka,Nill,d583,jigar has no secure DEDR match.
Hammer,MTP,tʃuttikɑ,tʃutigʌ,tʃuʈːika,muʈʈi,d2668,
Hammer,MTV,tsitːga,tʃutigʌ,tʃuʈːika,muʈʈi,d2668,
Hammer,MTE,tʃuttige,tʃutigʌ,tʃuʈːika,muʈʈi,d2668,
Knife (small),MTP,katːi,kat̪ːi,kat̪ːi,kaitʃaːku,d1204,
Knife (small),MTV,kat̪i,kat̪ːi,kat̪ːi,kaitʃaːku,d1204,
Knife (small),MTE,kæt̪i,kat̪ːi,kat̪ːi,kaitʃaːku,d1204,
Axe,MTP,kodɑli,maɖu,koɖali,koɖli,,"Pannithadam koḍāli matches Malayalam, but no defensible Dravidian set was found."
Axe,MTV,maoʋ,maɖu,koɖali,koɖli,d4749,"Pannithadam koḍāli matches Malayalam, but no defensible Dravidian set was found."
Axe,MTE,maɬu,maɖu,koɖali,koɖli,d4749,"Pannithadam koḍāli matches Malayalam, but no defensible Dravidian set was found."
Rope,MTP,kɑjʌr,baɭːᶤ,kajar,keːɾɨ,d1254,
Rope,MTV,kajʌr,baɭːᶤ,kajar,keːɾɨ,d1254,
Rope,MTE,kɑjer,baɭːᶤ,kajar,keːɾɨ,d1254,
Thread,MTP,nuːl,nuːl,nuːl,nuːlɨ,d3726,
Thread,MTV,nuːl,nuːl,nuːl,nuːlɨ,d3726,
Thread,MTE,nul,nuːl,nuːl,nuːlɨ,d3726,
Needle,MTP,suːtʃi,suːtʃi,suːtʃi,tʃuːd̪ɨ,~13551,sūci is an Indo-Aryan/Sanskrit loan.
Needle,MTV,suːtʃi,suːtʃi,suːtʃi,tʃuːd̪ɨ,~13551,sūci is an Indo-Aryan/Sanskrit loan.
Needle,MTE,suːdʒi,suːtʃi,suːtʃi,tʃuːd̪ɨ,~13551,sūci is an Indo-Aryan/Sanskrit loan.
Cloth,MTP,muɳdɨ,kuɳʈᵉ,vast̪ram,baʈʈe,d4947,
Cloth,MTV,muɳɖi,kuɳʈᵉ,vast̪ram,baʈʈe,d4947,
Cloth,MTE,muɳdi,kuɳʈᵉ,vast̪ram,baʈʈe,d4947,
Ring,MTP,mot̪iɾʌm,uŋgila,mot̪iɾam,moⁱra,~10203,motiram is an Indo-Aryan loan shared with Malayalam.
Ring,MTV,mot̪iɾam,uŋgila,mot̪iɾam,moⁱra,~10203,motiram is an Indo-Aryan loan shared with Malayalam.
Ring,MTE,mot̪iɾem,uŋgila,mot̪iɾam,moⁱra,~10203,motiram is an Indo-Aryan loan shared with Malayalam.
Sun,MTP,suːɾjʌm,suɾiʌn,surjan,suːɾja,~13574-2,sūryam is an Indo-Aryan/Sanskrit loan.
Sun,MTV,suːɾjʌn,suɾiʌn,surjan,suːɾja,~13574-2,sūryam is an Indo-Aryan/Sanskrit loan.
Sun,MTE,suːɾjᶏn,suɾiʌn,surjan,suːɾja,~13574-2,sūryam is an Indo-Aryan/Sanskrit loan.
Moon,MTP,tʃʌn̪ɖɾʌn,tʃan̪d̪ɾʌm,tʃan̪d̪ran,tʃannuːɾa,~4661,The unlinked candra forms are Indo-Aryan/Sanskrit loans.
Moon,MTV,nilaʋ,tʃan̪d̪ɾʌm,tʃan̪d̪ran,tʃannuːɾa,d3754,The unlinked candra forms are Indo-Aryan/Sanskrit loans.
Moon,MTE,tʃʌn̪ɖɾen,tʃan̪d̪ɾʌm,tʃan̪d̪ran,tʃannuːɾa,~4661,The unlinked candra forms are Indo-Aryan/Sanskrit loans.
Sky,MTP,akaːʃʌm,akaʃa,aːkaʃɑm,Nill,~1008,ākāśam is an Indo-Aryan/Sanskrit loan.
Sky,MTV,aːkaːʃʌm,akaʃa,aːkaʃɑm,Nill,~1008,ākāśam is an Indo-Aryan/Sanskrit loan.
Sky,MTE,akaːʃam,akaʃa,aːkaʃɑm,Nill,~1008,ākāśam is an Indo-Aryan/Sanskrit loan.
Star,MTP,nʌkʃʌt̪ɾʌm,nakʃʌt̪ɾʌm,n̪akʂat̪ram,miːɲtʃkki,~6913,Most forms are Indo-Aryan/Sanskrit nakṣatram; Vannarkadav koṭṭi remains unclear.
Star,MTV,koʈʈi,nakʃʌt̪ɾʌm,n̪akʂat̪ram,miːɲtʃkki,,Most forms are Indo-Aryan/Sanskrit nakṣatram; Vannarkadav koṭṭi remains unclear.
Star,MTE,nʌkʃʌt̪ɾʌm,nakʃʌt̪ɾʌm,n̪akʂat̪ram,miːɲtʃkki,~6913,Most forms are Indo-Aryan/Sanskrit nakṣatram; Vannarkadav koṭṭi remains unclear.
Rain,MTP,maːɾi,bərʃʌ,maɻa,maɭe,d4819,
Rain,MTV,maːɾi,bərʃʌ,maɻa,maɭe,d4819,
Rain,MTE,maːɾi,bərʃʌ,maɻa,maɭe,d4819,
Water,MTP,niɾᵘ,miːr,veɭːam,niːɾɨ,d3690,
Water,MTV,niːɾɨ,miːr,veɭːam,niːɾɨ,d3690,
Water,MTE,niɾᵊ,miːr,veɭːam,niːɾɨ,d3690,
River,MTP,tʃal,tʃoɖ,puɻa,poɭe,,cāl has no secure river etymon in the local DEDR data.
River,MTV,tʃaːl,tʃoɖ,puɻa,poɭe,,cāl has no secure river etymon in the local DEDR data.
River,MTE,tʃalᵉ,tʃoɖ,puɻa,poɭe,,cāl has no secure river etymon in the local DEDR data.
Cloud,MTP,məgʰʌm,megʌm,megʰam,moːɖa,~10302,megham is an Indo-Aryan/Sanskrit loan.
Cloud,MTV,megam,megʌm,megʰam,moːɖa,~10302,megham is an Indo-Aryan/Sanskrit loan.
Cloud,MTE,megʰəm,megʌm,megʰam,moːɖa,~10302,megham is an Indo-Aryan/Sanskrit loan.
Lightning,MTP,iɖimuʈʈuget̪,gədle,minːal,maɭəbillɨ,d438,
Lightning,MTV,idiminːʌl,gədle,minːal,maɭəbillɨ,d4876,
Lightning,MTE,iɖimuʈʈu,gədle,minːal,maɭəbillɨ,d438,
Rainbow,MTP,maɕvillɨ,Nill,maɻavilːɨ,kamanabille,,"A transparent 'rain-bow' compound, but not safely reducible to one DEDR etymon."
Rainbow,MTV,maɕʌvillɨ,Nill,maɻavilːɨ,kamanabille,,"A transparent 'rain-bow' compound, but not safely reducible to one DEDR etymon."
Rainbow,MTE,maɕvillᵊ,Nill,maɻavilːɨ,kamanabille,,"A transparent 'rain-bow' compound, but not safely reducible to one DEDR etymon."
Wind,MTP,kaʈʈ,gaːɭi,kaːtʰ,gaːɭi,d1481,
Wind,MTV,kaːt,gaːɭi,kaːtʰ,gaːɭi,d1481,
Wind,MTE,kaʈᵘ,gaːɭi,kaːtʰ,gaːɭi,d1481,
Stone,MTP,kɑllɨ,kalːᶤ,kalːɨ,kallɨ,d1298,
Stone,MTV,kallɨ,kalːᶤ,kalːɨ,kallɨ,d1298,
Stone,MTE,kɑll,kalːᶤ,kalːɨ,kallɨ,d1298,
Path,MTP,t̪eɾu,s̪aːdi,vaɻi,baʈʈe,,tēru has no convincing form-and-meaning match.
Path,MTV,t̪eru,s̪aːdi,vaɻi,baʈʈe,,tēru has no convincing form-and-meaning match.
Path,MTE,t̪əɾu,s̪aːdi,vaɻi,baʈʈe,,tēru has no convincing form-and-meaning match.
Sand,MTP,pojːa,pojːe,maɳal,maɳa,d4316,
Sand,MTV,pojːe,pojːe,maɳal,maɳa,d4316,
Sand,MTE,pojːɜ,pojːe,maɳal,maɳa,d4316,
Fire,MTP,tːu,tʃu,t̪i,t̪it̪t̪ɨ,d3266,
Fire,MTV,t̪uʋ,tʃu,t̪i,t̪it̪t̪ɨ,d3266,
Fire,MTE,tːuʋ,tʃu,t̪i,t̪it̪t̪ɨ,d3266,
Smoke,MTP,poge,poge,puga,poge,d4240,
Smoke,MTV,poge,poge,puga,poge,d4240,
Smoke,MTE,pogeɨ,poge,puga,poge,d4240,
Ash,MTP,vennerⁱ,kadʒaʋ,tʃaːɾam,buːd̪i,,vennīr is probably compound; no secure single DEDR etymon was found.
Ash,MTV,beɳːirᵊ,kadʒaʋ,tʃaːɾam,buːd̪i,,vennīr is probably compound; no secure single DEDR etymon was found.
Ash,MTE,vennerɜ,kadʒaʋ,tʃaːɾam,buːd̪i,,vennīr is probably compound; no secure single DEDR etymon was found.
Mud,MTP,tʃaɭi,tʃeɭid,maɳːᵊ,maɳɳɨ,d2412,
Mud,MTV,tʃaɭi,tʃeɭid,maɳːᵊ,maɳɳɨ,d2412,
Mud,MTE,tʃelɨ,tʃeɭid,maɳːᵊ,maɳɳɨ,d2412,
Gold,MTP,ponn,baŋgar,svorɳːam,ponnɨ,d4570,
Gold,MTV,ponːɨ,baŋgar,svorɳːam,ponnɨ,d4570,
Gold,MTE,ponː,baŋgar,svorɳːam,ponnɨ,d4570,
Tree,MTP,maɾʌm,maɾʌm,maɾam,mara,d4711,
Tree,MTV,maɾʌm,maɾʌm,maɾam,mara,d4711,
Tree,MTE,maɾʌm,maɾʌm,maɾam,mara,d4711,
Leaf,MTP,tʃʌppila,ire,ila,elekaɳɖa,d2673,
Leaf,MTV,tʃapːila,ire,ila,elekaɳɖa,d2673,
Leaf,MTE,tʃapːile,ire,ila,elekaɳɖa,d2673,
Root,MTP,ver,berᶤ,veɾɨ,beːɾɨ,d5535,
Root,MTV,beru,berᶤ,veɾɨ,beːɾɨ,d5535,
Root,MTE,vəru,berᶤ,veɾɨ,beːɾɨ,d5535,
Thorn,MTP,muɭɭɨ,muɭːᶤ,mulːe,muɭɭɨ,d4995,
Thorn,MTV,muɭɭɨ,muɭːᶤ,mulːe,muɭɭɨ,d4995,
Thorn,MTE,muɭː,muɭːᶤ,mulːe,muɭɭɨ,d4995,
Flower,MTP,puː,pu,puː,puːʋɨ,d4345,
Flower,MTV,puː,pu,puː,puːʋɨ,d4345,
Flower,MTE,pu,pu,puː,puːʋɨ,d4345,
Fruit,MTP,parən̪d̪,kai,paɻam,paɳɳɨ,d4004,
Fruit,MTV,paren̪d̪ᵊ,kai,paɻam,paɳɳɨ,d4004,
Fruit,MTE,pærənɖ,kai,paɻam,paɳɳɨ,d4004,
Mango,MTP,maŋʌ,kukːu,maŋa,maːŋge,d4782,
Mango,MTV,maŋa,kukːu,maŋa,maːŋge,d4782,
Mango,MTE,maŋɑ,kukːu,maŋa,maːŋge,d4782,
Banana,MTP,parən̪ɖkai,paran̪d̪,vaɻa paɻam,baːɭe,d4004,
Banana,MTV,paren̪d̪akɑi,paran̪d̪,vaɻa paɻam,baːɭe,d4004,
Banana,MTE,paren̪dkaɨ,paran̪d̪,vaɻa paɻam,baːɭe,d4004,
Wheat,MTP,got̪ʌmb,godʒi,got̪amb,goːd̪i,~4287,gōtamb is an Indo-Aryan loan.
Wheat,MTV,goːt̪ambɨ,godʒi,got̪amb,goːd̪i,~4287,gōtamb is an Indo-Aryan loan.
Wheat,MTE,got̪amb,godʒi,got̪amb,goːd̪i,~4287,gōtamb is an Indo-Aryan loan.
Rice (uncooked),MTP,var,aɾi,aɾi,akki,d5265,
Rice (uncooked),MTV,aɾi,aɾi,aɾi,akki,d215,
Rice (uncooked),MTE,vɐr,aɾi,aɾi,akki,d5265,
Potato,MTP,keɾʌŋg,batatːa,uɾulakiɻaŋ,haːləgaʈʈe,d1578,
Potato,MTV,keraŋg,batatːa,uɾulakiɻaŋ,haːləgaʈʈe,d1578,
Potato,MTE,kɜɾaŋgᶤ,batatːa,uɾulakiɻaŋ,haːləgaʈʈe,d1578,
Groundnut,MTP,nelakʌɖʌla,kadla,nilakadala,nelakɖale,,"Transparent compound ('ground' + 'gram'), not assigned to a single etymon."
Groundnut,MTV,nelakadʌla,kadla,nilakadala,nelakɖale,,"Transparent compound ('ground' + 'gram'), not assigned to a single etymon."
Groundnut,MTE,nɜlakəɖɑla,kadla,nilakadala,nelakɖale,,"Transparent compound ('ground' + 'gram'), not assigned to a single etymon."
Chili,MTP,kɑppa pareŋgi,muɲtʃi,muɭag,maɭu,,Compound including paraṅgi 'foreign'; no single Dravidian etymon assigned.
Chili,MTV,kapːa paraŋgi,muɲtʃi,muɭag,maɭu,,Compound including paraṅgi 'foreign'; no single Dravidian etymon assigned.
Chili,MTE,kapa parɜŋgi,muɲtʃi,muɭag,maɭu,,Compound including paraṅgi 'foreign'; no single Dravidian etymon assigned.
Turmeric,MTP,mɑndʒʌɭ,maɲdʒʌɭ,maɲaɭ,mandza,d4635,
Turmeric,MTV,maɲdʒʌɭ,maɲdʒʌɭ,maɲaɭ,mandza,d4635,
Turmeric,MTE,mɑndʒɐɭ,maɲdʒʌɭ,maɲaɭ,mandza,d4635,
Garlic,MTP,veɭɭuɭɭi,belut̪ːulːi,veɭut̪uɭːi,boɭɭuɭɭi,d705,
Garlic,MTV,beɭut̪uɭːi,belut̪ːulːi,veɭut̪uɭːi,boɭɭuɭɭi,d705,
Garlic,MTE,veɭɭuɭɨ,belut̪ːulːi,veɭut̪uɭːi,boɭɭuɭɭi,d705,
Onion,MTP,sɑvoɭʌ,niɾiɭi,uɭːi,iːɾuɭɭi,,Pannithadam sāvoḷa is a loan/innovation distinct from the other two sites.
Onion,MTV,niːruɭɭi,niɾiɭi,uɭːi,iːɾuɭɭi,d705,Pannithadam sāvoḷa is a loan/innovation distinct from the other two sites.
Onion,MTE,niːruɭɭɨ,niɾiɭi,uɭːi,iːɾuɭɭi,d705,Pannithadam sāvoḷa is a loan/innovation distinct from the other two sites.
Tomato,MTP,t̪akːɭi,t̪akːaːɭi,t̪akːaɭi,tometoː,,Recent crop term; no inherited Dravidian etymon assigned.
Tomato,MTV,t̪akːaɭi,t̪akːaːɭi,t̪akːaɭi,tometoː,,Recent crop term; no inherited Dravidian etymon assigned.
Tomato,MTE,t̪akːaːɭi,t̪akːaːɭi,t̪akːaɭi,tometoː,,Recent crop term; no inherited Dravidian etymon assigned.
Cabbage,MTP,kjʌbədʒ,kjabədʒ,kjabədʒɨ,goːsmuʈʈe,,English loan.
Cabbage,MTV,kjabadʒe,kjabədʒ,kjabədʒɨ,goːsmuʈʈe,,English loan.
Cabbage,MTE,kjabɛdʒ,kjabədʒ,kjabədʒɨ,goːsmuʈʈe,,English loan.
Oil,MTP,eɳɳa,eɳɳe,eɳːa,əɳɳe,d854,
Oil,MTV,veɭitʃeɳɳa,eɳɳe,eɳːa,əɳɳe,d854,
Oil,MTE,veɭɨtʃeːɳːa,eɳɳe,eɳːa,əɳɳe,d854,
Salt,MTP,upːɨ,upːᶤ,upːɨ,uppɨ,d2674,
Salt,MTV,uppɨ,upːᶤ,upːɨ,uppɨ,d2674,
Salt,MTE,uppⁱ,upːᶤ,upːɨ,uppɨ,d2674,
Meat,MTP,kadʒipːɨ,mas,iratʃi,jəɾtʃi,,kajippu appears to mean curry/food rather than continuing the eracci set.
Meat,MTV,eratʃi,mas,iratʃi,jəɾtʃi,d529,kajippu appears to mean curry/food rather than continuing the eracci set.
Meat,MTE,kədʒippɨ,mas,iratʃi,jəɾtʃi,,kajippu appears to mean curry/food rather than continuing the eracci set.
Fat,MTP,nejːɨ,nejːə,nejː,neɳa,d3746,
Fat,MTV,nejːɨ,nejːə,nejː,neɳa,d3746,
Fat,MTE,nejjɨ,nejːə,nejː,neɳa,d3746,
Fish,MTP,umːi,miːn,miːn,miːnɨ,,Pannithadam/Ennappara ummi has no secure DEDR match.
Fish,MTV,miːn,miːn,miːn,miːnɨ,d4885,Pannithadam/Ennappara ummi has no secure DEDR match.
Fish,MTE,ummɨ,miːn,miːn,miːnɨ,,Pannithadam/Ennappara ummi has no secure DEDR match.
Chicken,MTP,koi,koɾᵊ,koɻi,koːɭi,d2248,
Chicken,MTV,koi,koɾᵊ,koɻi,koːɭi,d2248,
Chicken,MTE,koji,koɾᵊ,koɻi,koːɭi,d2248,
Egg,MTP,muʈʈa,ket̪i,muʈːa,moʈʈe,d4939,
Egg,MTV,moʈʈa,ket̪i,muʈːa,moʈʈe,d4939,
Egg,MTE,moʈːɑ,ket̪i,muʈːa,moʈʈe,d4939,
Cow,MTP,kaːli,pet̪ːa,paʃu,pajju,d1479,The unlinked forms are morphologically/etymologically unclear (one may contain kāli).
Cow,MTV,pajʋu,pet̪ːa,paʃu,pajju,,The unlinked forms are morphologically/etymologically unclear (one may contain kāli).
Cow,MTE,kannukaːlɨ,pet̪ːa,paʃu,pajju,,The unlinked forms are morphologically/etymologically unclear (one may contain kāli).
Buffalo,MTP,pot̪,goɳa,eɾuma,poːt̪ɨ,d4586,
Buffalo,MTV,eruma,goɳa,eɾuma,poːt̪ɨ,d816,
Buffalo,MTE,eɾumɐ,goɳa,eɾuma,poːt̪ɨ,d816,
Milk,MTP,palɨ,perᵉ,pal,paːlɨ,d4096,
Milk,MTV,paːl,perᵉ,pal,paːlɨ,d4096,
Milk,MTE,paːl,perᵉ,pal,paːlɨ,d4096,
Horns,MTP,kombu,kombᶤ,komb,kombɨ,d2115,
Horns,MTV,komb,kombᶤ,komb,kombɨ,d2115,
Horns,MTE,komb,kombᶤ,komb,kombɨ,d2115,
Tail,MTP,valɨ,biːɭa,val,baːlɨ,da57,
Tail,MTV,baːl,biːɭa,val,baːlɨ,da57,
Tail,MTE,bɐːl,biːɭa,val,baːlɨ,da57,
Goat,MTP,aːdᵘ,eɖᵊ,aːɖɨ,aːɖɨ,d5152,
Goat,MTV,aːdɨ,eɖᵊ,aːɖɨ,aːɖɨ,d5152,
Goat,MTE,aːdᶤ,eɖᵊ,aːɖɨ,aːɖɨ,d5152,
Dog,MTP,nɑi,nai,paʈːi,naːji,d3650,
Dog,MTV,naji,nai,paʈːi,naːji,d3650,
Dog,MTE,naji,nai,paʈːi,naːji,d3650,
Snake,MTP,paːmb,paɾ,pamb,paːmbɨ,d4085,
Snake,MTV,pamb,paɾ,pamb,paːmbɨ,d4085,
Snake,MTE,pamb,paɾ,pamb,paːmbɨ,d4085,
Monkey,MTP,koɾŋʌn,maŋkej,kuɾaŋan,koːɖe,d1769,
Monkey,MTV,koɾaŋ,maŋkej,kuɾaŋan,koːɖe,d1769,
Monkey,MTE,koraŋ,maŋkej,kuɾaŋan,koːɖe,d1769,
Mosquito,MTP,pirəkʰ,kot̪ug,kot̪ugə,soɭɭe,d4203,
Mosquito,MTV,pirukʰe,kot̪ug,kot̪ugə,soɭɭe,d4203,
Mosquito,MTE,pirɐkʰ,kot̪ug,kot̪ugə,soɭɭe,d4203,
Ant,MTP,urumbu,pidʒiɳᵊ,urumbɨ,iɾpu,,"DEDR 864 matches uṟumpu, but local PDr d864 is 'hill'; withheld pending ID reconciliation."
Ant,MTV,urumbᶤ,pidʒiɳᵊ,urumbɨ,iɾpu,,"DEDR 864 matches uṟumpu, but local PDr d864 is 'hill'; withheld pending ID reconciliation."
Ant,MTE,uɾumbuɨ,pidʒiɳᵊ,urumbɨ,iɾpu,,"DEDR 864 matches uṟumpu, but local PDr d864 is 'hill'; withheld pending ID reconciliation."
Spider,MTP,urupuɭi,baɳːan pale,tʃilən̪d̪i,dzoɖe,,No secure DEDR match for either site form.
