number,gloss,lrp1,lrp2,lrp3
0204,brother (elder of f),ˈmo.ʈo bəi,ˈmo.ʈo bəi,ˈmo.ʈo bəi
0205,brother (elder of m),ˈmo.ʈo bəi,ˈmo.ʈo bəi,ˈmo.ʈo bəi
0206,sister (elder of f),ˈmo.ʈi ɓon,ˈmo.ʈi ɓon,ˈmo.ʈi ɓon
0207,sister (elder of m),ˈmo.ʈi ɓon,ˈmo.ʈi ɓon,ˈmo.ʈi ɓon
0208,brother (younger of f),ˈna.no bəi,ˈna.no bəi,ˈnã.ʧo bəi
0209,brother (younger of m),ˈna.no bəi,ˈna.no bəi,ˈnã.ʧo bəi
0210,sister (younger of f),ˈna.ni ɓon,ˈna.ni ɓon,ˈnã.ʧi ɓon
0211,sister (younger of m),ˈna.ni ɓon,ˈna.ni ɓon,ˈnã.ʧi ɓon
0212,friend,dost,dost,dost
0213,name,nam,nam,nam
0214,village,ɠam,ɠam,ɠam
0215,road/path,ˈɾəs.to,ˈɾəs.to,ˈɾəs.to
0216,boat,ˈɓe.ɽi,ˈɓe.ɽi,ˈɓe.ɽi
0217,house,ɡəɾ,ɡəɾ,ɡəɾ
0218,door,kə.ˈmaɽ,kə.ˈmaɽ,kə.ˈmaɽ
0219,roof,tʃʰɪt,tʃʰɪt,tʃʰɪt
0220,area under house,-,-,-
0221,wall of house,bit,bet,bit
0222,sleeping area,ˈɖa.jũ,ˈɦõ.dʒa ni ˈdʒə.ɡa,ˈɖa.ˈlə̃ɳ
0223,pallet,ʃi.ˈɾokʰ,ʃi.ˈɾokʰ,ʃi.ˈɾokʰ
0224,pillow,o.ˈʃi.ɡũ,o.ˈʃe.ɡũ,o.ˈʃe.ɡũ
0225,blanket,ʃi.ˈɾokʰ,ʃi.ˈɾokʰ,ʃi.ˈɾokʰ
0226,clothing,ˈlʊɡ.ɽũ,ˈlʊɡ.ɽa,ˈlʊɡ.ɽã
0227,to weave (cloth),-,ˈwãɳ.wũ,ˈwə̃ɳ.wũ
0228,to dye (cloth),ˈɾə̃ŋ.wũ,ˈɾə̃ŋ.wũ,ˈɾə̃ŋ.wũ
0229,sarong (male),ˈpot.ɽi,ˈpot.ɽi,ˈpot.ɽi
0230,sarong (female),ˈɡaɡ.ɾo,ˈɡaɡ.ɾo,ˈɡaɡ.ɾo
0231,trousers,ˈutʰ.ɳi,ˈutʰ.ɳi,ˈutʰ.ɳi
0232,to sew,ˈʃi.wũ,ˈʃi.wũ,ˈʃi.wũ
0233,needle,ɦoi,ɦoi,ɦoi
0234,comb,ˈɗãt.jo,ˈɗãt.jo,ˈɗãt.jo
0235,ring,ˈwe.ʈi,ˈwẽ.ʈi,ˈwẽ.ʈi
0236,pot (cooking),ˈɗeɡ.ɽi,ˈɗeɡ.ɽi,ˈɗeɡ.ɽi
0237,mortar (for peppers),ˈʊkʰ.ɾi,ˈukʰ.ɾi,ˈʊkʰ.ɾi
0238,pestle (for peppers),lo.ˈɖəɽ.jũ,lo.ˈɖəɽ.jũ,we.ˈləɽ.jũ
0239,spoon,ˈtʃɪm.tʃo,ˈsəm.si,ˈtʃɪm.tʃo
0240,plate,ˈtʰa.ɭi,ˈtʰa.ɭi,ˈtʰa.ɭi
0241,firewood,ˈɦẽd.ɽã,ˈɦẽd.ɽã,ˈɦẽd.ɽã
0242,fire,ˈɗet.wa,ˈɗet.wa,ˈɗew.ta
0243,to burn something,ɦəɭ.ˈɡa.wũ,ɦəɭ.ˈɡa.wũ,ɦəɭ.ˈɡa.wũ
0244,to extinguish (fire),ˈol.wũ,o.ˈlə.wũ,ˈol.wũ
0245,ashes,ˈʃe.li,ˈʃe.li,ˈʃe.li
0246,smoke,ɗə.ˈma.ɽo,ɗə.ˈma.ɽo,ɗə.ˈma.ɽo
0247,drum (musical instrument),ɖʱol,ɖʱol,ɖʱol
0248,tambourine,ˈᶑek.lũ,ˈᶑẽk.lũ,ˈᶑẽk.lũ
0249,bow,ɓãɳ,ɓãɳ,ɓãɳ
0250,slingshot,ɡɪ.ˈlol,ɡɪ.ˈlol,ɡɪ.ˈlol
0251,arrow,tiɾ,tiɾ,tiɾ
0252,spear,ˈba.lo,ˈba.lo,ˈba.lo
0253,knife,ˈsa.ku,ˈsa.ku,ˈsa.ku
0254,to hear,ɦam.ˈbəɭ.wũ,ɦã.ˈbəɭ.wũ,ɦam.ˈbəɭ.wũ
0255,to listen,ɦam.ˈbaɭ.wũ,ɦã.ˈbəɭ.wũ,ɦam.ˈbəɭ.wũ
0256,to be smelly,ɓaʃ ˈwa.ɭo,ɓaʃ ˈwa.ɭo,ɓaʃ ˈwa.ɭo
0257,to smell (sniff),ˈɦõŋ.wũ,ˈɦõŋ.wũ,ˈɦõŋ.wũ
0258,to see,ˈzo.wũ,ˈzo.wũ,ˈzo.wũ
0259,to stare,zoɾ te ˈza.wũ,ˈɡoɾ.wũ,ˈɡoɾ.wũ
0260,to weep,ˈɾo.wũ,ˈɾo.wũ,ˈɾo.wũ
0261,to eat,ˈkʰa.wũ,ˈkʰa.wũ,ˈkʰa.wũ
0262,to swallow,ˈɡəɭ.wũ,ˈɡaɭ.wũ,ˈɡəɭ.wũ
0263,to be hungry,ˈbʱu.ʃo,ˈbʱu.ʃo,ˈbʱu.ʃũ
0264,to be full (after eating),da.ˈpəl,da.ˈpəl,da.ˈpəl
0265,to be thirsty,ˈtə.ɾa,ˈtəɾ.ʃo,ˈtəɾ.ʃo
0266,to drink,ˈpi.wũ,ˈpi.wũ,ˈpi.wũ
0267,to be drunk (alcohol),ʈʊn,ʈʊn,ʈʊn
0268,to vomit,ˈʊl.ʈi ˈkəɾ.wũ,ˈʊl.ʈi ˈkəɾ.wũ,ˈʊl.ʈi ˈkəɾ.wũ
0269,to spit,ˈtʰʊk.wũ,ˈtʰuk.wũ,ˈtʰʊk.wũ
0270,to cough,ˈɦʊd.ɾa ˈkəɾ.wi,ˈɦʊd.ɾo ˈkəɾ.wũ,ˈɦʊd.ɾo ˈkəɾ.wũ
0271,to sneeze,ˈʃek.wũ,ˈʃek.wũ,ˈʃek.wũ
0272,to yawn,bə.ˈɡa.wũ,bə.ˈɡa.wũ,bə.ˈɡa.wũ
0273,to breathe,ɦaɦ ˈle.wũ,ɦaɦ ˈle.wũ,ɦaɦ ˈle.wũ
0274,to blow (on the fire),ˈpʰok.wũ,ˈpʰok.wũ,ˈpʰok.wũ
0275,to whistle,ˈsi.ʈi ˈɦə̃ɳ.wi,ˈsi.ʈi ˈɦə̃ɳ.wi,ˈsi.ʈi ˈɦə̃ɳ.wũ
0276,to suck (milk),ˈsu.wũ,ˈsu.wũ,ˈsa.wũ
0277,to lick,ˈsaʈ.wũ,ˈsaʈ.wũ,ˈsaʈ.wũ
0278,to smile,ˈɦəʃ.wũ,ˈɦəʃ.wũ,ˈɦəʃ.wũ
0279,to laugh,ˈɦəʃ.wũ,ˈɦəʃ.wũ,ˈɦəʃ.wũ
0280,to speak,ˈɓol.wo,ˈɓol.wũ,ˈɓol.wũ
0281,to tell about,ɦəb.ˈɽa.wo,ˈkeɦ.wũ,ˈkeɦ.wũ
0282,to shout,lə.ˈkʰa.ɾo,ɦʊl ˈkəɾ.wũ,ɦul ˈkəɾ.wũ
0283,to lie/fib,kuɽ ˈɓol.wũ,kuɽ ˈɓol.wũ,kuɽ ˈɓol.wũ
0284,to sing,ˈɠa.wũ,ˈɠa.wũ,ˈɠa.wũ
0285,to think,wɪ.ˈsaɾ ˈkəɾ.wũ,wɪ.ˈtʃaɾ ˈkəɾ.wũ,wɪ.ˈʧaɾ ˈkəɾ.wũ
0286,to know,ˈzãɳ.wũ,ˈzãɳ.wũ,o.ˈɭək.wũ
0287,to forget,ˈwi.ɾi dʒjũ,ˈwi.ɾi ˈza.wũ,ˈwi.ɾi ˈza.wũ
0288,to choose,-,pə.ˈsə̃d ˈkəɾ.wũ,-
0289,to love,pɾem ˈkəɾ.wũ,pɾem kəɾ.wũ,pɾem ˈkəɾ.wũ
0290,to hate,ˈɾi.ʃi ˈɓəɭ.wũ,ˈɾi.ʃi ˈɓaɭ.wũ,ˈɾi.ʃi ˈɓəɭ.wũ
0291,to be ashamed,ʃəɾ.ˈma.wũ,ʃəɾ.ˈma.wũ,ʃəɾ.ˈma.wũ
0292,to wait,waʈ ˈzo.wũ,waʈ ˈzo.wũ,waʈ ˈzo.wũ
0293,to count,ˈɠə̃ɳ.wa,ɠə̃ɳ.wũ,ˈɠə̃ɳ.wũ
0294,to be afraid,ɓi ˈa.wũ,ɓi ˈa.wũ,ˈɓi ˈa.wũ
0295,to be angry,ˈɾi.ʃi ˈɓaɭ.wũ,ˈɾi.ʃi ˈɓəɭ.wũ,ˈɾi.ʃi ˈɓaɭ.wũ
0296,to sleep,ˈɦõŋ.wũ,ˈɦõŋ.wũ,ˈɦõŋ.wũ
0297,to snore,ˈpʰəɭ.wũ,ˈkõŋ.ɾa ˈɡaɖ.wã,kʰə.ˈɾũ.ka ˈkəɾ.wa
0298,to dream,ˈɦõ.ɳũ ˈa.wũ,ˈɦõ.ɳũ ˈa.wũ,ˈɦõ.ɳũ ˈa.wũ
0299,to get up (from bed),ˈʊ.ʈʰi ˈza.wũ,ˈʊ.ʈʰi ˈza.wũ,ˈʊ.ʈʰi ˈza.wũ
0300,to be hurt (after hitting finger with hammer),dʱək ˈlaɡ.wũ,dʱək ˈlaɡ.wũ,dʱək ˈləɡ.wo
0301,medicine,ˈɗə.wa,ˈɗə.wa,ˈɗə.wa
0302,to be itchy,kʰaɭz ˈa.wi,kʰɾz ˈa.wi,kʰaɾz ˈa.wi
0303,to scratch oneself,ˈkʰəɽ.wũ,ˈkʰəɽ.wũ,kʰəɾz.ˈa.wũ
0304,to shiver,ˈᶑək.ɽi ˈa.wi,ˈᶑək.ɽi ˈa.wi,ˈᶑək.ɽi ˈa.wũ
0305,to die,ˈmə.ɾi ˈza.wũ,ˈmə.ɾi ˈza.wũ,ˈmə.ɾi ˈza.wũ
0306,epilepsy,ˈɡo.tʰũ,ˈɡo.tʰũ,ˈɡo.tʰũ
0307,to sit (remain),ˈɓeɦ.wũ,ˈɓeɦ.wũ,ˈɓeɦ.wũ
0308,to stand (remain),ˈʊ.bu ˈtʰa.wũ,ˈʊ.bu ˈtʰa.wũ,ˈʊ.bu ˈtʰa.wũ
0309,to kneel,ˈɡʊ.ᶑa ˈwa.ɭa,ˈɡʊ.ᶑa ˈwaɭ.wa,ˈɡʊ.ᶑa ˈwa.ɭ.wũ
0310,to walk,ˈɦẽ.ᶑo,ˈɦeᶑ.wũ,ˈɦeᶑ.wũ
