Glottolog_Key,Year,Title,SIL_Status,Disposition,Census_Anchor,Notes
hvw:Boehm:Tharu,1998,A Phonological Reconstruction of Proto-Tharu (Indo-Aryan),not_sil_false_positive,outside_scope,,University of Texas at Arlington MA thesis; no SIL publisher commission series or archive identity
wsoc:Chackoetal:Marwari-Merwari-Godwari,2012,"Sociolinguistic survey of selected Rajasthani speech varieties of Rajasthan, India, Volume 6: Marwari, Merwari, and Godwari",sil,covered_component,ESR 2012-029 Rajasthani overview + vols. 2-6,Installed Rajasthani source component
hwsoc:Decker:Chitral,1992,Languages of Chitral,sil,covered_component,SSNP vol. 5 Languages of Chitral,Installed SSNP volume
wsoc:Decker:Ushojo,1992,Ushojo,sil,covered_component,SSNP vol. 1 Languages of Kohistan,Installed SSNP component
hvsoc:Hallberg:Indus-Kohistan,1992,The languages of Indus Kohistan,sil,covered_component,SSNP vol. 1 Languages of Kohistan,Installed SSNP component
hvwsoc:Hallberg:PWO,1992,"Pashto, Waneci, Ormuri",sil,installed,"SSNP vol. 4 Pashto, Waneci, Ormuri",Installed complete positioned-font response tables
hwsoc:Brightbilletal:War-Jaintia,2007,The War-Jaintia in Bangladesh: A Sociolinguistic Survey,sil,installed,ESR 2007-013 War-Jaintia,Installed
wsoc:KelsallKoshy:Hadothi,2012,Sociolinguistic survey of selected Rajasthani speech varieties of Rajasthan India Volume 3: Hadothi,sil,covered_component,ESR 2012-029 Rajasthani overview + vols. 2-6,Installed Rajasthani source component
wsoc:KelsallMathai:Mewati,2012,Sociolinguistic survey of selected Rajasthani speech varieties of Rajasthan India Volume 4: Mewati,sil,covered_component,ESR 2012-029 Rajasthani overview + vols. 2-6,Installed Rajasthani source component
wsoc:Kimetal:Tripura,2011,The Tripura of Bangladesh: A Sociolinguistic Survey,sil,installed,ESR 2011-038 Tripura,Installed
wsoc:Kimetal:Kuki-Chin,2011,The Kuki-Chin Communities of Bangladesh: A Sociolinguistic Survey,sil,installed,ESR 2011-025 Kuki-Chin communities,Installed
vsoc:MathaiKelsall:Sambalpuri,2013,"Sambalpuri of Orissa, India: A brief sociolinguistic survey",sil,inspected_no_rows,ESR 2013-015 Sambalpuri,Report publishes aggregate similarity percentages but no lexical responses
vsoc:Mathai:Vaagri-Booli,2018,A Sociolinguistic Survey among the Vaagri Booli Speakers of South India,sil,inspected_no_rows,ESR 2018-005 Vaagri Booli,Report publishes aggregate similarity results but no lexical responses
hwdial:Radloff:Shina,1992,The dialects of Shina,sil,covered_component,SSNP vol. 2 Languages of Northern Areas,Installed SSNP volume component
w:Rensch:Indus-Kohistan,1992,Indus Kohistan Word Lists,sil,covered_component,SSNP vol. 1 Languages of Kohistan,Installed SSNP component
w:Rensch:Swat-Dir,1992,Swat and Dir Kohistani Word Lists,sil,covered_component,SSNP vol. 1 Languages of Kohistan,Installed SSNP component
hwsoc:Kimetal:Santali,2010,The Santali Cluster in Bangladesh: A Sociolinguistic Survey,sil,installed,ESR 2010-006 Santali cluster,Installed
