PDF_Page,Column,Gloss,Site_Code,Lect,Site,Raw_Form,Status,Reason,Entry_Key
11,0,tooth,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",fɑtoŋ,installed,,silkoch2011:G:i1:tooth
11,0,tooth,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",fɑ,installed,,silkoch2011:H:i1:tooth
11,0,tooth,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",pʰɑ,installed,,silkoch2011:D:i1:tooth
11,0,tooth,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",pʰɑ,installed,,silkoch2011:E:i1:tooth
11,0,tooth,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",pʰɑ,installed,,silkoch2011:C:i1:tooth
11,0,tooth,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",pʰɑ,installed,,silkoch2011:J:i1:tooth
11,0,tooth,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",pʰɑ,installed,,silkoch2011:K:i1:tooth
11,0,tongue,A,Garo,"Tura, West Garo Hills district, Meghalaya",ʃɾe,installed,,silkoch2011:A:i1:tongue
11,0,tongue,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",kʰútlɑj,installed,,silkoch2011:B:i1:tongue
11,0,tongue,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",tɨlɨj,installed,,silkoch2011:F:i1:tongue
11,0,tongue,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",tʰɑlɑj,installed,,silkoch2011:I:i1:tongue
11,0,tongue,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",təlɑj,installed,,silkoch2011:G:i1:tongue
11,0,tongue,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",telɑj,installed,,silkoch2011:H:i1:tongue
11,0,tongue,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",tʰelɑj,installed,,silkoch2011:D:i1:tongue
11,0,tongue,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",tʰelɑj,installed,,silkoch2011:E:i1:tongue
11,0,tongue,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",tʰelɑ,installed,,silkoch2011:C:i1:tongue
11,0,tongue,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",tʰəlɑj,installed,,silkoch2011:J:i1:tongue
11,0,tongue,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",tʰɑlɑj,installed,,silkoch2011:K:i1:tongue
11,0,chest,A,Garo,"Tura, West Garo Hills district, Meghalaya","t͡ʃel,",installed,,silkoch2011:A:i1:chest
11,0,chest,A,Garo,"Tura, West Garo Hills district, Meghalaya",kʰɑʔbɑk,installed,,silkoch2011:A:i2:chest
11,0,chest,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",kʰəṕ ək̚,installed,,silkoch2011:B:i1:chest
11,0,chest,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",hɑpɑk̚,installed,,silkoch2011:F:i1:chest
11,0,chest,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",buk,installed,,silkoch2011:I:i1:chest
11,0,chest,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",həpək,installed,,silkoch2011:G:i1:chest
11,0,chest,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",hɑpɑk,installed,,silkoch2011:H:i1:chest
11,0,chest,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",həpək,installed,,silkoch2011:D:i1:chest
11,0,chest,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",həpək,installed,,silkoch2011:E:i1:chest
11,0,chest,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",həpək,installed,,silkoch2011:C:i1:chest
11,0,chest,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam","buk, t͡ʃɑɾ",installed,,silkoch2011:J:i2:chest
11,0,chest,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",buk,installed,,silkoch2011:K:i1:chest
11,1,belly,A,Garo,"Tura, West Garo Hills district, Meghalaya",ok̚,installed,,silkoch2011:A:i1:belly
11,1,belly,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",bokdɑm,installed,,silkoch2011:B:i1:belly
11,1,belly,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",ok̚,installed,,silkoch2011:F:i1:belly
11,1,belly,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",hok̚,installed,,silkoch2011:I:i1:belly
11,1,belly,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",ok̚,installed,,silkoch2011:G:i1:belly
11,1,belly,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",ok̚,installed,,silkoch2011:H:i1:belly
11,1,belly,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",ok̚,installed,,silkoch2011:D:i1:belly
11,1,belly,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",ok̚,installed,,silkoch2011:E:i1:belly
11,1,belly,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",ok̚,installed,,silkoch2011:C:i1:belly
11,1,belly,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",hok̚,installed,,silkoch2011:J:i1:belly
11,1,belly,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",hok̚,installed,,silkoch2011:K:i1:belly
11,1,arm,A,Garo,"Tura, West Garo Hills district, Meghalaya",d͡ʒɑk̚,installed,,silkoch2011:A:i1:arm
11,1,arm,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",bɑhɑ,installed,,silkoch2011:B:i1:arm
11,1,arm,F,Koch-Rabha,"Debitola village, Dhubri district, Assam","t͡ʃɨbuk,",installed,,silkoch2011:F:i1:arm
11,1,arm,F,Koch-Rabha,"Debitola village, Dhubri district, Assam","t͡͡ʃotoŋ,",installed,,silkoch2011:F:i2:arm
11,1,arm,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",t͡ʃisi,installed,,silkoch2011:I:i1:arm
11,1,arm,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",t͡ʃɑk̚,installed,,silkoch2011:I:i2:arm
11,1,arm,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",t͡ʃɑtoŋ,installed,,silkoch2011:G:i1:arm
11,1,arm,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",t͡ʃɑkɑm,installed,,silkoch2011:H:i1:arm
11,1,arm,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",t͡ʃɑk̚,installed,,silkoch2011:D:i1:arm
11,1,arm,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",t͡ʃɑk̚,installed,,silkoch2011:E:i1:arm
11,1,arm,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",t͡ʃɑk̚,installed,,silkoch2011:C:i1:arm
11,1,arm,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",t͡ʃɑk̚,installed,,silkoch2011:J:i1:arm
11,1,arm,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",t͡ʃɑk̚,installed,,silkoch2011:K:i1:arm
11,1,elbow,A,Garo,"Tura, West Garo Hills district, Meghalaya",d͡ʒɑk̚sku,installed,,silkoch2011:A:i1:elbow
11,1,elbow,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",kelɑkʰoŋ,installed,,silkoch2011:B:i1:elbow
11,1,elbow,F,Koch-Rabha,"Debitola village, Dhubri district, Assam","t͡ʃəbuk ɡinti,",installed,,silkoch2011:F:i1:elbow
11,1,elbow,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",t͡ʃɨbuk kɾeŋ,installed,,silkoch2011:F:i2:elbow
11,1,elbow,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",ɡilɑj,installed,,silkoch2011:I:i1:elbow
11,1,elbow,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",kiɾkun t͡ʃɨbuk,installed,,silkoch2011:G:i1:elbow
11,1,elbow,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",kilkun,installed,,silkoch2011:H:i1:elbow
11,1,elbow,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",kiɾkun,installed,,silkoch2011:D:i1:elbow
11,1,elbow,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",kiɾkun,installed,,silkoch2011:E:i1:elbow
11,1,elbow,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",kilɑj ɡundɑ,installed,,silkoch2011:C:i1:elbow
11,1,elbow,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",ɡitʰu,installed,,silkoch2011:J:i1:elbow
11,1,elbow,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya","ɡiləj,ɡilu",installed,,silkoch2011:K:i2:elbow
12,0,palm,A,Garo,"Tura, West Garo Hills district, Meghalaya",d͡ʒɑk̚pʰɑ,installed,,silkoch2011:A:i1:palm
12,0,palm,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",tɑlɑ,installed,,silkoch2011:B:i1:palm
12,0,palm,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",t͡ʃɑftɑl,installed,,silkoch2011:F:i1:palm
12,0,palm,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",t͡ʃɑk tɑlɑ,installed,,silkoch2011:I:i1:palm
12,0,palm,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",t͡ʃɑton tɑlɑ,installed,,silkoch2011:G:i1:palm
12,0,palm,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",t͡ʃɑtoŋ tɑlɑ,installed,,silkoch2011:H:i1:palm
12,0,palm,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",t͡ʃɑk̚ tɑlɑ,installed,,silkoch2011:D:i1:palm
12,0,palm,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",t͡ʃɑk tɑlɑ,installed,,silkoch2011:E:i1:palm
12,0,palm,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",t͡ʃɑk pətɑ,installed,,silkoch2011:C:i1:palm
12,0,palm,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",t͡ʃɑk tɑlɑ,installed,,silkoch2011:J:i1:palm
12,0,palm,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",t͡ʃɑk̚ tɑlɑ,installed,,silkoch2011:K:i1:palm
12,0,finger,A,Garo,"Tura, West Garo Hills district, Meghalaya",d͡ʒɑk̚si,installed,,silkoch2011:A:i1:finger
12,0,finger,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya","t͡ʃɑskɑm,",installed,,silkoch2011:B:i1:finger
12,0,finger,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",tɑś ikʰu,installed,,silkoch2011:B:i2:finger
12,0,finger,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",t͡ʃeskɾeŋ,installed,,silkoch2011:F:i1:finger
12,0,finger,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",t͡ʃɑsi,installed,,silkoch2011:I:i1:finger
12,0,finger,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya","t͡ʃɑskiɾeŋ,",installed,,silkoch2011:G:i1:finger
12,0,finger,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",t͡ʃɑtoŋ t͡ʃɑsi,installed,,silkoch2011:G:i2:finger
12,0,finger,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",ɑŋul,installed,,silkoch2011:H:i1:finger
12,0,finger,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",t͡ʃɑsi,installed,,silkoch2011:D:i1:finger
12,0,finger,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",ɑŋul,installed,,silkoch2011:E:i1:finger
12,0,finger,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",ɑŋol,installed,,silkoch2011:C:i1:finger
12,0,finger,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",t͡ʃɑsi,installed,,silkoch2011:J:i1:finger
12,0,finger,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",t͡ʃɑsi,installed,,silkoch2011:K:i1:finger
12,0,fingernail,A,Garo,"Tura, West Garo Hills district, Meghalaya",d͡ʒɑk̚skɨl,installed,,silkoch2011:A:i1:fingernail
12,0,fingernail,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",t͡ʃɑskoɾ,installed,,silkoch2011:B:i1:fingernail
12,0,fingernail,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",t͡ʃeskoɾ,installed,,silkoch2011:F:i1:fingernail
12,0,fingernail,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",t͡ʃɑsikoɾ,installed,,silkoch2011:I:i1:fingernail
12,0,fingernail,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",t͡ʃɑsikoɾ,installed,,silkoch2011:G:i1:fingernail
12,0,fingernail,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",tʃɑsikoɾ,installed,,silkoch2011:H:i1:fingernail
12,0,fingernail,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",t͡ʃɑsikuɾi,installed,,silkoch2011:D:i1:fingernail
12,0,fingernail,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",t͡ʃɑsikuɾɪ,installed,,silkoch2011:E:i1:fingernail
12,0,fingernail,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",t͡ʃɑsɪkoɾ,installed,,silkoch2011:C:i1:fingernail
12,0,fingernail,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",t͡ʃɑsikʰoɾ,installed,,silkoch2011:J:i1:fingernail
12,0,fingernail,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",t͡ʃɑsikoɾ,installed,,silkoch2011:K:i1:fingernail
12,1,leg,A,Garo,"Tura, West Garo Hills district, Meghalaya",d͡ʒɑʔɑ,installed,,silkoch2011:A:i1:leg
12,1,leg,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",tɑt́ʰeŋ,installed,,silkoch2011:B:i1:leg
12,1,leg,F,Koch-Rabha,"Debitola village, Dhubri district, Assam","t͡ʃɑplɑk̚,",installed,,silkoch2011:F:i1:leg
12,1,leg,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",t͡ʃɑkɑm,installed,,silkoch2011:F:i2:leg
12,1,leg,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",t͡ʃɑkɾeŋ,installed,,silkoch2011:I:i1:leg
12,1,leg,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",t͡ʃɑdəm,installed,,silkoch2011:G:i1:leg
