Prompt_Key|Item|Gloss|Target_PDF_Page|Target_Printed_Page|Control_PDF_Page|Control_Printed_Page|Koraput|Visakh|Telugu|Adivasi_Oriya|Review_Status|Confidence|Review_Note
096|96|snake|92|87|101|96|1sarasu|1sara:s|2pa:mu|sa:p|manually_verified|high|
097|97|monkey|92|87|101|96|1kondza|1kondza|2ko:ṭi|----|manually_verified|high|
098|98|mosquito|92|87|101|96|1ḍoma|1ḍoma|2ḍo:ma|bursuṇḍi|manually_verified|high|
099|99|ant|92|87|101|96|1si:ma|1si:ma|1tʃi:ma|----|manually_verified|high|
100|100|spider|92|87|101|96|1gondzoru|1gondzori|2sa:le purugu|paṭ makɽi|manually_verified|high|
101|101|name|93|88|102|97|1ḍo:ru|2pe:ru|2pe:ru|na:v|manually_verified|high|
102|102|man|93|88|102|97|1me:mer koɽor|2mogavaṇḍru|3manuʃi|non:a|manually_verified|high|
103|103|woman|93|88|102|97|1ajli koɽo|1ajli koɽok|2a:ḍamanuʃi|non:i|manually_verified|high|
104|104|child|93|88|102|97|1piḷ:a/koɽor|1piḷ:a/koɽor|1piḷ:a|----|manually_verified|high|
105|105|father|93|88|102|97|1aposi|1aposi|2ṭaṇḍri|----|manually_verified|high|
106|106|mother|93|88|102|97|1ajsi|1ajsi|2ṭal:i/am:a|----|manually_verified|high|
107|107|older brother|93|88|102|97|1ḍatsi|1ḍaḍsi/aṇ:asi|1aṇ:a|----|manually_verified|high|
108|108|younger brother|93|88|102|97|1ṭoḍa:si|2tambersi|3tamuḍu|----|manually_verified|high|
109|109|older sister|93|88|102|97|1bibsi|1bibsi|2ak:a|----|manually_verified|high|
110|110|younger sister|93|88|102|97|1ṭaŋisi|1ṭaŋisi|2tʃel:i|----|manually_verified|high|
111|111|son|93|88|102|97|1marisi|1marsi|2koḍuku|----|manually_verified|high|
112|112|daughter|93|88|102|97|1ga:ɽsi|1ga:ɽsi|2kuṭru|----|manually_verified|high|
113|113|husband|93|88|102|97|1ma:si|1ma:si|2barṭa/moguḍu|----|manually_verified|high|
114|114|wife|93|88|102|97|1a:rsi|1a:lsi|2bharja/peḷam|----|manually_verified|high|
115|115|boy|93|88|102|97|1koɽo|1koɽo|2ba:luḍu|----|manually_verified|high|
116|116|girl|93|88|102|97|1ajli|1ajli|2ba:lika|----|manually_verified|high|
117|117|day|93|88|102|97|1ḍinam|2ro:dzu|2ro:dzu/ḍinamu|ḍi:n|manually_verified|high|
118|118|night|93|88|102|97|-mil:l|----|----|----|manually_verified|high|
119|119|morning|93|88|102|97|1salḍi|2peṇḍa:l|3uḍajamu/poḍuna|saka:l|manually_verified|high|
120|120|noon|93|88|102|97|-ve:ḍa|----|----|----|manually_verified|high|
121|121|evening/afternoon|93|88|102|97|----|1poḍoj|2sa:jamka:lam|so:ndz|manually_verified|high|
122|122|yesterday|93|88|102|97|1i?en|1i?en|2nin:a|kali|manually_verified|high|
123|123|today|93|88|102|97|1ne:ṇḍru|1ne:ṇḍru|2i:ḍinamu|adzi|manually_verified|high|
124|124|tomorrow|93|88|102|97|1vigehiŋ|1vigehiŋ|2re:pu|kallke|manually_verified|high|
125|125|week|93|88|102|97|1va:ram|1va:ram|1va:ramu|a:ṭ|manually_verified|high|
126|126|month|94|89|103|98|1ne:ndzu|2ṇela|2nela|mase:k|manually_verified|high|
127|127|year|94|89|103|98|1je:ṇḍa|1je:ṇḍaḍ|2savaṭsaramu|boros|manually_verified|high|
128|128|old|94|89|103|98|1paḍajika|1paɽajika|2pa:ṭa|porna:ṭa|manually_verified|high|
129|129|new|94|89|103|98|1pu:nika|2koṭa:ka|2koṭa|nua:ṭa|manually_verified|high|
130|130|good|94|89|103|98|1negika|1negika|2mantʃi|bo:l|manually_verified|high|
131|131|bad|94|89|103|98|1se?ika|1se?ika|2tʃeḍa|bo:lnaj|manually_verified|high|
132|132|wet|94|89|103|98|1u:ḍiṭika|1u:ḍiṭika|2ṭaḍi|ḍaṭambidzila|manually_verified|high|
133|133|dry|94|89|103|98|1vahṭika|1vahṭika|2poḍi|sukla|manually_verified|high|
134|134|long|94|89|103|98|1nirika|1nirika|2poḍavu|----|manually_verified|high|
135|135|short|94|89|103|98|1kurika|1kurika|2poṭi|----|manually_verified|high|
136|136|hot|94|89|103|98|1usum|2vesnika|2ve:ḍi|ṭop|manually_verified|high|
137|137|cold|94|89|103|98|1salanika|1salanika|1tʃal:ani|kakor|manually_verified|high|
138|138|right|94|89|103|98|1uṇer|1uṇer|2kuḍi|udza|manually_verified|high|
139|139|left|94|89|103|98|1ḍebra|1ḍebra|2eḍamu|ḍeba|manually_verified|high|
140|140|near|94|89|103|98|1ḍagru|1ḍagru|1ḍagra|loge|manually_verified|high|
141|141|far|94|89|103|98|1ako|2ḍu:ram|2du:ramu|ḍu:r|manually_verified|high|
142|142|big|94|89|103|98|1perika|1perika|2peḍa|----|manually_verified|high|
143|143|small|94|89|103|98|1idzirika|1idzirika|2tʃin:a|santa|manually_verified|high|
144|144|heavy|94|89|103|98|1baru|1baru|1baru|----|manually_verified|high|
145|145|light|94|89|103|98|1suḷukaŋ|1suḷkaŋ|2te:lika|----|manually_verified|high|
146|146|above|94|89|103|98|1musku|1musku|2eṭuna/pajna|----|manually_verified|high|
147|147|below|94|89|103|98|1aḍgi|1aḍgi|2kiṇḍa|----|manually_verified|high|
148|148|white|94|89|103|98|1orinika|2ṭela:ŋ|2telupu|ḍobla|manually_verified|high|
149|149|black|94|89|103|98|1karnika|1karnika|2nalupu|kalja|manually_verified|high|
150|150|red|94|89|103|98|1eranika|1eraŋ|2erupu|ro:ŋ|manually_verified|high|
151|151|one|95|90|104|99|1uṇḍre|1uṇḍre|2okaṭi|goṭek|manually_verified|high|
152|152|two|95|90|104|99|1ruṇḍi|1ruṇḍi|1raṇḍu|ḍujṭa|manually_verified|high|
153|153|three|95|90|104|99|1muṇḍri|1muṇḍri|2mu:ḍu|ṭi:n|manually_verified|high|
154|154|four|95|90|104|99|1nal:gi|1nal:gi|1na:lugu|sari|manually_verified|high|
155|155|five|95|90|104|99|1ajḍu|1ajḍu|1ajḍu|pa:nṭʃ|manually_verified|high|
156|156|six|95|90|104|99|1a:ru|1a:ru|1a:ru|so|manually_verified|high|
157|157|seven|95|90|104|99|1e:ru|1e:ḍu|1e:ḍu|sa:ṭ|manually_verified|high|
158|158|eight|95|90|104|99|1enimiḍi|1enimiḍi|1enimiḍi|a:ṭ|manually_verified|high|
159|159|nine|95|90|104|99|1ṭom:iḍi|1ṭomiḍi|1ṭomiḍi|no|manually_verified|high|
160|160|ten|95|90|104|99|1paḍi|1paḍi|1paḍi|ḍo:s|manually_verified|high|
161|161|eleven|95|90|104|99|1paḍakoṇḍu|1paḍakoṇḍu|1paḍakoṇḍu|ega:ro|manually_verified|high|
162|162|twelve|95|90|104|99|1paneṇḍu|1pan:eṇḍu|1pan:eṇḍu|ba:ro|manually_verified|high|
163|163|twenty|95|90|104|99|1irvaj|1irvaj|1irvaj|koḍe|manually_verified|high|
164|164|one hundred|95|90|104|99|1nu:ru|1nu:ru|1nu:ru/vanda|soje|manually_verified|high|
165|165|who?|95|90|104|99|1eje:ru|1ej:eru|2evaru|ko:n|manually_verified|high|
166|166|what?|95|90|104|99|1inika|1in:ika|2e:mi|ka:jaṭa|manually_verified|high|
167|167|where?|95|90|104|99|1embe|1embe|2ekaḍa|ko:j|manually_verified|high|
168|168|when?|95|90|104|99|1ese:ŋ|1es:eŋ|2epuḍu|kebe|manually_verified|high|
169|169|how many?|95|90|104|99|1es:o:ḍ|1es:o|2en:i|keṭek|manually_verified|high|
170|170|what kind?|95|90|104|99|----|----|----|----|manually_verified|high|
171|171|this|95|90|104|99|1ja:ka|1ja:ka|2iḍi|e:ṭa|manually_verified|high|
172|172|that|95|90|104|99|1aja:ka|1aja:ka|2aḍi|se:ṭa|manually_verified|high|
173|173|these|95|90|104|99|1ja:ke:ŋ|1ja:ke:ŋ|2ivi|e:ṭanon|manually_verified|high|
174|174|those|95|90|104|99|1aja:ke:ŋ|1aja:ke:ŋ|2avi|se:ṭanon|manually_verified|high|
175|175|same|95|90|104|99|-uṇḍre rakam a?eḍ|----|----|----|manually_verified|high|
176|176|different|96|91|105|100|----|----|----|----|manually_verified|high|
177|177|whole|96|91|105|100|----|----|----|----|manually_verified|high|
178|178|broken|96|91|105|100|----|----|----|----|manually_verified|high|
179|179|few|96|91|105|100|-idzrika|----|----|----|manually_verified|high|
180|180|many|96|91|105|100|-naṇḍo|----|----|----|manually_verified|high|
181|181|all|96|91|105|100|1vidzu|1vidzere|2an:i|sobu|manually_verified|high|
182|182|eat|96|91|105|100|1uṭa:n/uṇ?a/uṇḍeŋ|1uṭa:n/uṇ?a/uṇḍeŋ|2ṭinu|kajbar|manually_verified|high|
183|183|bite|96|91|105|100|1kaṭṭa:ḍ/kaṭ?a/kaṭṭeŋ|1kaṭṭa:ḍ/kaṭ?a/kaṭṭeŋ|2kuruku|sab?ar|manually_verified|high|
184|184|be hungry|96|91|105|100|----|----|----|----|manually_verified|high|
185|185|drink|96|91|105|100|1uṭa:n/uṇ?a/uṇḍeŋ|1uṭa:n/uṇ?a/uṇḍeŋ|2ṭa:gu|kajbar|manually_verified|high|
186|186|be thirsty|96|91|105|100|----|----|----|----|manually_verified|high|
187|187|sleep|96|91|105|100|1sundziṭa:n/sudz?a/----|2----/----/niḍrakiḍeŋ|2nidra po:vu|sojbar|manually_verified|high|
188|188|lie down|96|91|105|100|1gu:riṭa:n/gu:r?a/----|1gu:riṭa:n/gu:r?a/----|2paṭuko|ḍulbar|manually_verified|high|
189|189|sit down|96|91|105|100|1basino:n/bas?a/basṭeŋ|1basino:n/bas?a/basṭeŋ|2ku:tʃo|bosbar|manually_verified|high|
190|190|give|96|91|105|100|1siṭa:n/si?a/sideŋ|1siṭa:n/si?a/sideŋ|2itʃu/ij:i|ḍebar|manually_verified|high|
191|191|burn|96|91|105|100|----|----|----|----|manually_verified|high|
192|192|die|96|91|105|100|1saṭa:n/sa?a/sa:ḍeŋ|1saṭa:n/sa?a/sa:ḍeŋ|2tʃavu|morbar|manually_verified|high|
193|193|kill|96|91|105|100|1sapṭa:n/sap?a/sapṭeŋ|1sapṭa:n/sap?a/sapṭeŋ|2tʃampu|morajbar|manually_verified|high|
194|194|fly|96|91|105|100|1egriṭa:ḍ/----/egriḍeŋ|1egriṭa:ḍ/----/egriḍeŋ|1eguru|uḍbar|manually_verified|high|
195|195|walk|96|91|105|100|1bu:laṭa:n/bu:l?a/----|2----/----/naḍiḍeŋ|2naḍatʃu|iṇḍbar|manually_verified|high|
196|196|run|96|91|105|100|1uhkṭa:n/uhk?a/uhṭeŋ|1uhkṭa:n/uhk?a/uhṭeŋ|2parigiṭu|palajbar|manually_verified|high|
197|197|go|96|91|105|100|1soha:n/son?a/sonḍreŋ|1soha:n/son?a/sonḍreŋ|2vel:u|dzibar|manually_verified|high|
198|198|come|96|91|105|100|1vaṭa:n/va?a/va:ḍeŋ|1vaṭa:n/va?a/va:ḍeŋ|2ra:|ajbar|manually_verified|high|
199|199|speak|96|91|105|100|1vehṭa:n/veh?a/vargiḍeŋ|1vehṭa:n/veh?a/vargiḍeŋ|2tʃepu|katoŋbar|manually_verified|high|
200|200|hear|96|91|105|100|1ven?e:n/ven?a/venḍreŋ|1ven?e:n/ven?a/venḍreŋ|2vinu|sunbar|manually_verified|high|
201|201|see|97|92|106|101|1surṭa:n/sur?a/suḍḍeŋ|1surṭa:n/sur?a/suḍḍeŋ|2tʃu:tʃu|ḍekhbar|manually_verified|high|
202|202|I|97|92|106|101|1na:nu|1na:nu|1ne:nu|mui|manually_verified|high|
203|203|you (informal)|97|92|106|101|1ni:nu|1ni:nu|1ni:vu|tui|manually_verified|high|
204|204|you (formal)|97|92|106|101|----|----|----|----|manually_verified|high|
205|205|he|97|92|106|101|1va:ṇḍru|1va:ṇḍru|2aṭanu|seḍi|manually_verified|high|
206|206|she|97|92|106|101|1aḍi|1aḍi|2a:me|se|manually_verified|high|
207|207|we (inclusive)|97|92|106|101|1ma:tu|1matu|2manamu|amu|manually_verified|high|
208|208|we (exclusive)|97|92|106|101|1ma:pu|1mapu|2me:mu|amu|manually_verified|high|
209|209|you (plural)|97|92|106|101|1mi:ru|1mi:ru|1mi:ru|tumu|manually_verified|high|
210|210|they|97|92|106|101|1va:ru|1va:ru|1va:ru|se lo:k|manually_verified|high|
211|211|chest|97|92|106|101|1boka|2eduram|3tʃhaṭi|bu:k|manually_verified|high|
212-liver|212|liver|97|92|106|101|----|----|----|----|manually_verified|high|duplicate printed item number retained in prompt key
212-foot|212|foot|97|92|106|101|1pa:ḍam|1pa:ḍam|----|----|manually_verified|high|duplicate printed item number retained in prompt key
213|213|which?|97|92|106|101|1eme:ka|2en:ika|3e:|kojṭʃe|manually_verified|high|
