Item	Site_Code	Similarity_Group	Response_Order	Manual_Transcription	Manual_Status	Legacy_Raw_Form	Legacy_Status	Legacy_Reason	Exact_Codepoint_Equal	Reconciliation_Disposition	Frozen_Manual_Cells_SHA256	Independence_Note
6	j	3	1	slapʼ	attested	slap̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	k	3	1	slapʼ	attested	slap̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	l	2	1	raŋ	attested	raŋ	installed		yes	legacy exact comparison match (audit-only; not verification)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	m	2	1	raŋ	attested	raŋ	installed		yes	legacy exact comparison match (audit-only; not verification)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	n	1	1	mɨkʼkʰa	attested	mɨk̚kha	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	o	1	1	mɨkʼkʰa	attested	mɨk̚kha	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	p	3	1	slap	attested	slap	installed		yes	legacy exact comparison match (audit-only; not verification)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	0	4	1	rɔŋdʰɔnu	attested	rɔŋdhɔnu	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	a	1	1	ʃundari	attested	ʃundaɾi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	b	4	1	ramdʰonukʼ	attested	ramdhonuk̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	c	4	1	ramdʰonukʼ	attested	ramdhonuk̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	d	4	1	rɔŋdʰɔnu	attested	rɔŋdhɔnu	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	e	1	1	ʃundari	attested	ʃundaɾi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	f	0	1		source_blank	no entry	excluded	printed gap: the item was not elicited at this site	no	manual source blank; legacy audit also records a printed gap	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	g	4	1	rɔŋdʰɔnu	attested	rɔŋdhɔnu	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	h	4	1	ramdʰanu	attested	ramdhanu	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	i	1	1	ʃundari	attested	ʃundaɾi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	j	2	1	ʃim pʰleo̯	attested	ʃim phleo �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	k	2	1	ʃim pʰleo̯	attested	ʃim phleo �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	l	0	1		source_blank	no entry	excluded	printed gap: the item was not elicited at this site	no	manual source blank; legacy audit also records a printed gap	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	m	3	1	tʃɛŋroŋ	attested	tʃɛŋroŋ	installed		yes	legacy exact comparison match (audit-only; not verification)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	n	4	1	ramdʰonukʼ	attested	ramdhonuk̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	n	4	2	rɔŋdʰɔnu	attested	rɔŋdhɔnu	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	o	0	1		source_blank	no entry	excluded	printed gap: the item was not elicited at this site	no	manual source blank; legacy audit also records a printed gap	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
7	p	0	1		source_blank	no entry	excluded	printed gap: the item was not elicited at this site	no	manual source blank; legacy audit also records a printed gap	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	0	4	1	bataʃ	attested	bataʃ	installed		yes	legacy exact comparison match (audit-only; not verification)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	a	1	1	balua̯	attested	balua �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	b	2	1	lampar	attested	lampar	installed		yes	legacy exact comparison match (audit-only; not verification)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	c	2	1	lampar	attested	lampar	installed		yes	legacy exact comparison match (audit-only; not verification)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	d	1	1	balua̯	attested	balua �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	e	1	1	balua̯	attested	balua �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	f	1	1	balua̯	attested	balua �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	g	1	1	balua̯	attested	balua �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	h	1	1	balua̯	attested	balua �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	i	1	1	balua̯	attested	balua �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	j	3	1	lɨŋ ɪr	attested	lɨŋ #r	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	k	3	1	lɨŋ ɪr	attested	lɨŋ #r	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	l	1	1	balua̯	attested	balua �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	m	1	1	balua̯	attested	balua �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	n	1	1	balua̯	attested	balua �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	o	1	1	balua̯	attested	balua �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
8	p	3	1	lɨŋ ir	attested	lɨŋ ir	installed		yes	legacy exact comparison match (audit-only; not verification)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	0	7	1	bɪddut tʃomkano	attested	b#ddut tʃɔmkano	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	a	1	1	(mɨkʼkʰa) hɛlapuŋa	attested	(mɨk̚kha) hɛlapuŋa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	b	2	1	raŋtʃim lau̯ni	attested	raŋtʃim laun� i	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	c	2	1	raŋtʃi lou̯ni	attested	raŋtʃi loun� i	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	d	9	1	(mɨkʼkʰa) lɛŋʔlapa	attested	(mɨk̚kha) lɛŋ lapa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	e	9	1	(mɨkʼkʰa) lɛŋʔlapa	attested	(mɨk̚kha) lɛŋ lapa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	f	0	1		source_blank	no entry	excluded	printed gap: the item was not elicited at this site	no	manual source blank; legacy audit also records a printed gap	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	g	9	1	(mɨkʼkʰa) lɛŋʔlapa	attested	(mɨk̚kha) lɛŋ lapa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	h	4	1	(mɨkʼkʰa) dʒɨʔlɨka	attested	(mɨk̚kha) ɖʒɨ lɨka	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	i	3	1	(mɨkʼkʰa) lɛba	attested	(mɨk̚kha) lɛba	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	j	5	1	pɨrtʰatʼ	attested	pɨrthat̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	k	5	1	pɨrtʰatʼ	attested	pɨrthat̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	l	6	1	raŋ dilɪppa	attested	raŋ dil#ppa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	m	6	1	raŋ dilɪppa	attested	raŋ dil#ppa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	n	0	1		source_blank	no entry	excluded	printed gap: the item was not elicited at this site	no	manual source blank; legacy audit also records a printed gap	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	o	9	1	(mɨkʼkʰa) lɛŋʔlapa	attested	(mɨk̚kha) lɛŋ lapa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
9	p	8	1	kɨmbliŋ	attested	kɨmbliŋ	installed		yes	legacy exact comparison match (audit-only; not verification)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	0	7	1	mɛɡʰ ɡɔdʒoŋ	attested	mɛɡh ɡɔɹdʒon	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	a	1	1	(mɨkʼkʰa) kʰɨm pʰlɛʔtoŋa	attested	(mɨk̚kha) khɨm phlɛ toŋa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	b	0	1		source_blank	no entry	excluded	printed gap: the item was not elicited at this site	no	manual source blank; legacy audit also records a printed gap	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	c	4	1	raŋpatni	attested	raŋpatni	installed		yes	legacy exact comparison match (audit-only; not verification)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	d	3	1	(mɨkʼkʰa) kʰɨma	attested	(mɨk̚kha) khɨma	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	e	1	1	kʰum prɛʔta	attested	khum prɛ ta	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	e	2	2	kʰum prɛʔta	attested	khum prɛ ta	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	f	1	1	kʰum prɛʔta	attested	khum prɛ ta	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	f	2	2	kʰum prɛʔta	attested	khum prɛ ta	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	g	2	1	kʰɨm pʰrɛta	attested	khɨm phrɛta	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	h	3	1	(mɨkʼkʰa) kʰɨma	attested	(mɨk̚kha) khɨma	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	i	2	1	(mɨkʼkʰa) kʰɨm pʰrɛda	attested	(mɨk̚kha) khɨm phrɛda	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	j	5	1	pram bɨbri	attested	pɾam bɨbɾi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	k	5	1	pram bri	attested	pɾam bɾi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	l	6	1	raŋ kɨrɨŋwa	attested	raŋ kɨɾɨŋwa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	m	6	1	raŋ kɨrɨŋwa	attested	raŋ kɨɾɨŋwa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	n	2	1	kʰɨm pʰrɛta	attested	khɨm phrɛta	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	o	0	1		source_blank	no entry	excluded	printed gap: the item was not elicited at this site	no	manual source blank; legacy audit also records a printed gap	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
10	p	0	1		source_blank	no entry	excluded	printed gap: the item was not elicited at this site	no	manual source blank; legacy audit also records a printed gap	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
