PDF_Page	Printed_Page	Page_Line	Item	Gloss	List	Source_Cell	Record_Type	Verified_Cell	Review_Status	Confidence	Review_Note	Extraction_Note
42	34	58	2	head	Nalagarh/H.P.	1  sɪɾ	response	1  sɪɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	59	2	head	Dehradun/U.P.	1  sɛɾ /  1  sɪɾ	response	1  sɛɾ /  1  sɪɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	60	2	head	Kotdwara/U.P.	1  sɛɾ	response	1  sɛɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	61	2	head	Haldwani/U.P.	1  sɪɾ	response	1  sɪɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	65	3	hair	Urdu	1  bɑl	response	1  bɑl	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	66	3	hair	Chitral/Pak	2  bɑ	response	2  bɑ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	67	3	hair	Settlet Swat/Pak	2  bɑ	response	2  bɑ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	68	3	hair	Gilgit/Pak	1  bɑɽ	response	1  bɑɽ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	69	3	hair	Kaghan/Pak	1  bɑɽ	response	1  bɑɽ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	70	3	hair	North. Azad/Pak	1  bɑl	response	1  bɑl	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	71	3	hair	Centr. Azad/Pak	1  bɑl	response	1  bɑl	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	72	3	hair	Udhampur/J&K	1  bɑl	response	1  bɑl	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	73	3	hair	Jammu/J&K	1  bɑɭ	response	1  bɑɭ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	74	3	hair	Chamba/H.P.	1  bɑl /  1  bɑɭ	response	1  bɑl /  1  bɑɭ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	75	3	hair	Rampur/H.P.	1  bɑɭ	response	1  bɑɭ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	76	3	hair	Nalagarh/H.P.	1  bɑɭ	response	1  bɑɭ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	77	3	hair	Dehradun/U.P.	1  bɑl	response	1  bɑl	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	78	3	hair	Kotdwara/U.P.	1  bɑɭ	response	1  bɑɭ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	79	3	hair	Haldwani/U.P.	1  bɑl	response	1  bɑl	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	101	4	face	Urdu	2  tʃɛhɾʌ	response	2  tʃɛhɾʌ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	102	4	face	Chitral/Pak	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	103	4	face	Settlet Swat/Pak	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	104	4	face	Gilgit/Pak	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	105	4	face	Kaghan/Pak	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	106	4	face	North. Azad/Pak	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	107	4	face	Centr. Azad/Pak	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	108	4	face	Udhampur/J&K	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	109	4	face	Jammu/J&K	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	110	4	face	Chamba/H.P.	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	111	4	face	Rampur/H.P.	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	112	4	face	Nalagarh/H.P.	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	113	4	face	Dehradun/U.P.	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	114	4	face	Kotdwara/U.P.	1  mũ	response	1  mũ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	115	4	face	Haldwani/U.P.	1  mũ / 2  tʃɛhɾʌ	response	1  mũ / 2  tʃɛhɾʌ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	119	5	eye	Urdu	1  ɑ̃kh	response	1  ɑ̃kh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	120	5	eye	Chitral/Pak	1  ʌkh	response	1  ʌkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	121	5	eye	Settlet Swat/Pak	1  ʌkh	response	1  ʌkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	122	5	eye	Gilgit/Pak	1  ʌkh	response	1  ʌkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	123	5	eye	Kaghan/Pak	1  ʌkh	response	1  ʌkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	124	5	eye	North. Azad/Pak	1  ʌkh	response	1  ʌkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	125	5	eye	Centr. Azad/Pak	1  ʌkh	response	1  ʌkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	126	5	eye	Udhampur/J&K	1  ɑkh	response	1  ɑkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	127	5	eye	Jammu/J&K	1  ɑkh	response	1  ɑkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	128	5	eye	Chamba/H.P.	1  ʌkh	response	1  ʌkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	129	5	eye	Rampur/H.P.	1  ɑkh	response	1  ɑkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	130	5	eye	Nalagarh/H.P.	1  ɑkh	response	1  ɑkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	131	5	eye	Dehradun/U.P.	1  ɑkh / 1  ʌkh	response	1  ɑkh / 1  ʌkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	132	5	eye	Kotdwara/U.P.	1  ɑkh	response	1  ɑkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	133	5	eye	Haldwani/U.P.	1  ʌkh	response	1  ʌkh	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	137	6	ear	Urdu	1  kæn	response	1  kæn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	138	6	ear	Chitral/Pak	1  kɚs	response	1  kɚs	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	139	6	ear	Settlet Swat/Pak	1  kɚs	response	1  kɚs	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	140	6	ear	Gilgit/Pak	1  kɚn	response	1  kɚn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	141	6	ear	Kaghan/Pak	1  kɚɠ	response	1  kɚɠ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	142	6	ear	North. Azad/Pak	1  kʌɳ	response	1  kʌɳ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	143	6	ear	Centr. Azad/Pak	1  kʌɳ	response	1  kʌɳ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	144	6	ear	Udhampur/J&K	1  kɑn	response	1  kɑn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	145	6	ear	Jammu/J&K	1  kʌn	response	1  kʌn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	146	6	ear	Chamba/H.P.	1  kʌn	response	1  kʌn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	147	6	ear	Rampur/H.P.	1  kʌn	response	1  kʌn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	148	6	ear	Nalagarh/H.P.	1  kʌn	response	1  kʌn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	149	6	ear	Dehradun/U.P.	1  kʌn	response	1  kʌn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	150	6	ear	Kotdwara/U.P.	1  kʌn	response	1  kʌn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	151	6	ear	Haldwani/U.P.	1  kʌn	response	1  kʌn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	24	7	nose	Urdu	1  nɑk	response	1  nɑk	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	25	7	nose	Chitral/Pak	1  nʌk / 1  nɑs	response	1  nʌk / 1  nɑs	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	26	7	nose	Settlet Swat/Pak	1  nɑs	response	1  nɑs	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	27	7	nose	Gilgit/Pak	1  nʌk	response	1  nʌk	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	28	7	nose	Kaghan/Pak	1  nʌkh	response	1  nʌkh	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	29	7	nose	North. Azad/Pak	1  nʌkh	response	1  nʌkh	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	30	7	nose	Centr. Azad/Pak	1  nʌkh	response	1  nʌkh	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	31	7	nose	Udhampur/J&K	1  nʌk	response	1  nʌk	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	32	7	nose	Jammu/J&K	1  nʌk / 1  nɑs	response	1  nʌk / 1  nɑs	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	33	7	nose	Chamba/H.P.	1  nʌk	response	1  nʌk	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	34	7	nose	Rampur/H.P.	1  nʌk	response	1  nʌk	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	35	7	nose	Nalagarh/H.P.	1  nʌk	response	1  nʌk	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	36	7	nose	Dehradun/U.P.	1  nʌk	response	1  nʌk	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	37	7	nose	Kotdwara/U.P.	1  nʌk	response	1  nʌk	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	38	7	nose	Haldwani/U.P.	1  nʌk	response	1  nʌk	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	42	8	mouth	Urdu	2  mũh	response	2  mũh	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	43	8	mouth	Chitral/Pak	2  mũ	response	2  mũ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	44	8	mouth	Settlet Swat/Pak	2  mũ	response	2  mũ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	45	8	mouth	Gilgit/Pak	2  mũ	response	2  mũ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	46	8	mouth	Kaghan/Pak	2  mũ	response	2  mũ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	47	8	mouth	North. Azad/Pak	2  mũ	response	2  mũ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	48	8	mouth	Centr. Azad/Pak	2  mũ	response	2  mũ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	49	8	mouth	Udhampur/J&K	1  oʈh	response	1  oʈh	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	50	8	mouth	Jammu/J&K	2  mũ	response	2  mũ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	51	8	mouth	Chamba/H.P.	2  mũh	response	2  mũh	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	52	8	mouth	Rampur/H.P.	2  mũ	response	2  mũ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	53	8	mouth	Nalagarh/H.P.	2  mũ	response	2  mũ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	54	8	mouth	Dehradun/U.P.	2  mũ	response	2  mũ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	55	8	mouth	Kotdwara/U.P.	2  mũ	response	2  mũ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	56	8	mouth	Haldwani/U.P.	2  mũ	response	2  mũ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	60	9	teeth	Urdu	1  dɑ̃t	response	1  dɑ̃t	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	61	9	teeth	Chitral/Pak	1  dʌnd	response	1  dʌnd	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	62	9	teeth	Settlet Swat/Pak	1  dʌnth	response	1  dʌnth	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	63	9	teeth	Gilgit/Pak	1  dʌnd	response	1  dʌnd	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	64	9	teeth	Kaghan/Pak	1  dʌnd	response	1  dʌnd	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	65	9	teeth	North. Azad/Pak	1  dʌndh	response	1  dʌndh	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	66	9	teeth	Centr. Azad/Pak	1  dʌndh	response	1  dʌndh	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	67	9	teeth	Udhampur/J&K	1  dʌnd / 1  dʌnt	response	1  dʌnd / 1  dʌnt	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	68	9	teeth	Jammu/J&K	1  dʌnd	response	1  dʌnd	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	69	9	teeth	Chamba/H.P.	1  dʌnd	response	1  dʌnd	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	70	9	teeth	Rampur/H.P.	1  dʌnd	response	1  dʌnd	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	71	9	teeth	Nalagarh/H.P.	1  dʌnd	response	1  dʌnd	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	72	9	teeth	Dehradun/U.P.	1  dʌnd	response	1  dʌnd	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	73	9	teeth	Kotdwara/U.P.	1  dʌnd	response	1  dʌnd	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	74	9	teeth	Haldwani/U.P.	1  dʌnd	response	1  dʌnd	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	96	10	tongue	Urdu	2  zʌbɑn	response	2  zʌbɑn	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	97	10	tongue	Chitral/Pak	1  dʒib	response	1  dʒib	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	98	10	tongue	Settlet Swat/Pak	1  dʒib	response	1  dʒib	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	99	10	tongue	Gilgit/Pak	1  dʒib	response	1  dʒib	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	100	10	tongue	Kaghan/Pak	1  dʒib	response	1  dʒib	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	101	10	tongue	North. Azad/Pak	1  dʒib	response	1  dʒib	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	102	10	tongue	Centr. Azad/Pak	1  dʒiv / 1  dʒiβ	response	1  dʒiv / 1  dʒiβ	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	103	10	tongue	Udhampur/J&K	1  dʒib	response	1  dʒib	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	104	10	tongue	Jammu/J&K	1  dʒib	response	1  dʒib	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	105	10	tongue	Chamba/H.P.	1  dʒib	response	1  dʒib	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	106	10	tongue	Rampur/H.P.	1  dʒib	response	1  dʒib	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	107	10	tongue	Nalagarh/H.P.	1  dʒib	response	1  dʒib	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
43	35	108	10	tongue	Dehradun/U.P.	1  dʒib	response	1  dʒib	complete	high	PDF p. 43 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
