PDF_Page	Printed_Page	Page_Line	Item	Gloss	List	Source_Cell	Record_Type	Extraction_Note
42	34	77	3	hair	Dehradun/U.P.	1  bɑl	response	
42	34	78	3	hair	Kotdwara/U.P.	1  bɑɭ	response	
42	34	79	3	hair	Haldwani/U.P.	1  bɑl	response	
42	34	101	4	face	Urdu	2  tʃɛhɾʌ	response	
42	34	102	4	face	Chitral/Pak	1  mũ	response	
42	34	103	4	face	Settlet Swat/Pak	1  mũ	response	
42	34	104	4	face	Gilgit/Pak	1  mũ	response	
42	34	105	4	face	Kaghan/Pak	1  mũ	response	
42	34	106	4	face	North. Azad/Pak	1  mũ	response	
42	34	107	4	face	Centr. Azad/Pak	1  mũ	response	
42	34	108	4	face	Udhampur/J&K	1  mũ	response	
42	34	109	4	face	Jammu/J&K	1  mũ	response	
42	34	110	4	face	Chamba/H.P.	1  mũ	response	
42	34	111	4	face	Rampur/H.P.	1  mũ	response	
42	34	112	4	face	Nalagarh/H.P.	1  mũ	response	
42	34	113	4	face	Dehradun/U.P.	1  mũ	response	
42	34	114	4	face	Kotdwara/U.P.	1  mũ	response	
42	34	115	4	face	Haldwani/U.P.	1  mũ / 2  tʃɛhɾʌ	response	
42	34	119	5	eye	Urdu	1  ɑ̃kh	response	
42	34	120	5	eye	Chitral/Pak	1  ʌkh	response	
42	34	121	5	eye	Settlet Swat/Pak	1  ʌkh	response	
42	34	122	5	eye	Gilgit/Pak	1  ʌkh	response	
42	34	123	5	eye	Kaghan/Pak	1  ʌkh	response	
42	34	124	5	eye	North. Azad/Pak	1  ʌkh	response	
42	34	125	5	eye	Centr. Azad/Pak	1  ʌkh	response	
42	34	126	5	eye	Udhampur/J&K	1  ɑkh	response	
42	34	127	5	eye	Jammu/J&K	1  ɑkh	response	
42	34	128	5	eye	Chamba/H.P.	1  ʌkh	response	
42	34	129	5	eye	Rampur/H.P.	1  ɑkh	response	
42	34	130	5	eye	Nalagarh/H.P.	1  ɑkh	response	
42	34	131	5	eye	Dehradun/U.P.	1  ɑkh / 1  ʌkh	response	
42	34	132	5	eye	Kotdwara/U.P.	1  ɑkh	response	
42	34	133	5	eye	Haldwani/U.P.	1  ʌkh	response	
42	34	137	6	ear	Urdu	1  kæn	response	
42	34	138	6	ear	Chitral/Pak	1  kɚs	response	
42	34	139	6	ear	Settlet Swat/Pak	1  kɚs	response	
42	34	140	6	ear	Gilgit/Pak	1  kɚn	response	
42	34	141	6	ear	Kaghan/Pak	1  kɚɠ	response	
42	34	142	6	ear	North. Azad/Pak	1  kʌɳ	response	
42	34	143	6	ear	Centr. Azad/Pak	1  kʌɳ	response	
42	34	144	6	ear	Udhampur/J&K	1  kɑn	response	
42	34	145	6	ear	Jammu/J&K	1  kʌn	response	
42	34	146	6	ear	Chamba/H.P.	1  kʌn	response	
42	34	147	6	ear	Rampur/H.P.	1  kʌn	response	
42	34	148	6	ear	Nalagarh/H.P.	1  kʌn	response	
42	34	149	6	ear	Dehradun/U.P.	1  kʌn	response	
42	34	150	6	ear	Kotdwara/U.P.	1  kʌn	response	
42	34	151	6	ear	Haldwani/U.P.	1  kʌn	response	
43	35	24	7	nose	Urdu	1  nɑk	response	
43	35	25	7	nose	Chitral/Pak	1  nʌk / 1  nɑs	response	
43	35	26	7	nose	Settlet Swat/Pak	1  nɑs	response	
43	35	27	7	nose	Gilgit/Pak	1  nʌk	response	
43	35	28	7	nose	Kaghan/Pak	1  nʌkh	response	
43	35	29	7	nose	North. Azad/Pak	1  nʌkh	response	
43	35	30	7	nose	Centr. Azad/Pak	1  nʌkh	response	
43	35	31	7	nose	Udhampur/J&K	1  nʌk	response	
43	35	32	7	nose	Jammu/J&K	1  nʌk / 1  nɑs	response	
43	35	33	7	nose	Chamba/H.P.	1  nʌk	response	
43	35	34	7	nose	Rampur/H.P.	1  nʌk	response	
43	35	35	7	nose	Nalagarh/H.P.	1  nʌk	response	
43	35	36	7	nose	Dehradun/U.P.	1  nʌk	response	
43	35	37	7	nose	Kotdwara/U.P.	1  nʌk	response	
43	35	38	7	nose	Haldwani/U.P.	1  nʌk	response	
43	35	42	8	mouth	Urdu	2  mũh	response	
43	35	43	8	mouth	Chitral/Pak	2  mũ	response	
43	35	44	8	mouth	Settlet Swat/Pak	2  mũ	response	
43	35	45	8	mouth	Gilgit/Pak	2  mũ	response	
43	35	46	8	mouth	Kaghan/Pak	2  mũ	response	
43	35	47	8	mouth	North. Azad/Pak	2  mũ	response	
43	35	48	8	mouth	Centr. Azad/Pak	2  mũ	response	
43	35	49	8	mouth	Udhampur/J&K	1  oʈh	response	
43	35	50	8	mouth	Jammu/J&K	2  mũ	response	
43	35	51	8	mouth	Chamba/H.P.	2  mũh	response	
43	35	52	8	mouth	Rampur/H.P.	2  mũ	response	
43	35	53	8	mouth	Nalagarh/H.P.	2  mũ	response	
43	35	54	8	mouth	Dehradun/U.P.	2  mũ	response	
43	35	55	8	mouth	Kotdwara/U.P.	2  mũ	response	
43	35	56	8	mouth	Haldwani/U.P.	2  mũ	response	
43	35	60	9	teeth	Urdu	1  dɑ̃t	response	
43	35	61	9	teeth	Chitral/Pak	1  dʌnd	response	
43	35	62	9	teeth	Settlet Swat/Pak	1  dʌnth	response	
43	35	63	9	teeth	Gilgit/Pak	1  dʌnd	response	
43	35	64	9	teeth	Kaghan/Pak	1  dʌnd	response	
43	35	65	9	teeth	North. Azad/Pak	1  dʌndh	response	
43	35	66	9	teeth	Centr. Azad/Pak	1  dʌndh	response	
43	35	67	9	teeth	Udhampur/J&K	1  dʌnd / 1  dʌnt	response	
43	35	68	9	teeth	Jammu/J&K	1  dʌnd	response	
43	35	69	9	teeth	Chamba/H.P.	1  dʌnd	response	
43	35	70	9	teeth	Rampur/H.P.	1  dʌnd	response	
43	35	71	9	teeth	Nalagarh/H.P.	1  dʌnd	response	
43	35	72	9	teeth	Dehradun/U.P.	1  dʌnd	response	
43	35	73	9	teeth	Kotdwara/U.P.	1  dʌnd	response	
43	35	74	9	teeth	Haldwani/U.P.	1  dʌnd	response	
43	35	96	10	tongue	Urdu	2  zʌbɑn	response	
43	35	97	10	tongue	Chitral/Pak	1  dʒib	response	
43	35	98	10	tongue	Settlet Swat/Pak	1  dʒib	response	
43	35	99	10	tongue	Gilgit/Pak	1  dʒib	response	
43	35	100	10	tongue	Kaghan/Pak	1  dʒib	response	
43	35	101	10	tongue	North. Azad/Pak	1  dʒib	response	
43	35	102	10	tongue	Centr. Azad/Pak	1  dʒiv / 1  dʒiβ	response	
43	35	103	10	tongue	Udhampur/J&K	1  dʒib	response	
43	35	104	10	tongue	Jammu/J&K	1  dʒib	response	
43	35	105	10	tongue	Chamba/H.P.	1  dʒib	response	
43	35	106	10	tongue	Rampur/H.P.	1  dʒib	response	
43	35	107	10	tongue	Nalagarh/H.P.	1  dʒib	response	
43	35	108	10	tongue	Dehradun/U.P.	1  dʒib	response	
43	35	109	10	tongue	Kotdwara/U.P.	1  dʒib	response	
43	35	110	10	tongue	Haldwani/U.P.	1  dʒib	response	
43	35	114	11	breast	Urdu	1  tʃhɑti	response	
43	35	115	11	breast	Chitral/Pak	2  sino	response	
43	35	116	11	breast	Settlet Swat/Pak	2  sino	response	
43	35	117	11	breast	Gilgit/Pak	2  sinːʌ	response	
43	35	118	11	breast	Kaghan/Pak	2  sinːʌ	response	
43	35	119	11	breast	North. Azad/Pak	2  sino	response	
43	35	120	11	breast	Centr. Azad/Pak	1  tʃɑti	response	
43	35	121	11	breast	Udhampur/J&K	0    no entry	blank	
43	35	122	11	breast	Jammu/J&K	0    no entry	blank	
43	35	123	11	breast	Chamba/H.P.	0    no entry	blank	
43	35	124	11	breast	Rampur/H.P.	0    no entry	blank	
43	35	125	11	breast	Nalagarh/H.P.	0    no entry	blank	
43	35	126	11	breast	Dehradun/U.P.	0    no entry	blank	
43	35	127	11	breast	Kotdwara/U.P.	0    no entry	blank	
43	35	128	11	breast	Haldwani/U.P.	0    no entry	blank	
43	35	132	12	belly	Urdu	2  peʈ	response	
43	35	133	12	belly	Chitral/Pak	1  ɖɪɖ / 2  pɛʈ	response	
43	35	134	12	belly	Settlet Swat/Pak	1  ɖɪɖh	response	
43	35	135	12	belly	Gilgit/Pak	1  ɖɛɖ / 1  ɖhɛɖ	response	
43	35	136	12	belly	Kaghan/Pak	1  ʈɪɖh / 1  ɖɪɖ	response	
43	35	137	12	belly	North. Azad/Pak	1  ʈɛɖh	response	
43	35	138	12	belly	Centr. Azad/Pak	2  peth	response	
43	35	139	12	belly	Udhampur/J&K	1  ʈeɖ	response	
43	35	140	12	belly	Jammu/J&K	1  ʈeɖ	response	
43	35	141	12	belly	Chamba/H.P.	1  ʈeɖ	response	
43	35	142	12	belly	Rampur/H.P.	1  ʈeɖ	response	
43	35	143	12	belly	Nalagarh/H.P.	1  ʈeɖ	response	
43	35	144	12	belly	Dehradun/U.P.	1  ʈeɖ	response	
43	35	145	12	belly	Kotdwara/U.P.	1  ʈeɖ	response	
43	35	146	12	belly	Haldwani/U.P.	1  ʈeɖ	response	
44	36	24	13	arm	Urdu	2  bɑzu	response	
44	36	25	13	arm	Chitral/Pak	1  bʌ̃	response	
44	36	26	13	arm	Settlet Swat/Pak	1  bɑ̃	response	
44	36	27	13	arm	Gilgit/Pak	1  bɑ̃	response	
44	36	28	13	arm	Kaghan/Pak	1  bʌ̃	response	
44	36	29	13	arm	North. Azad/Pak	1  bɑ̃	response	
44	36	30	13	arm	Centr. Azad/Pak	1  bɑ̃	response	
44	36	31	13	arm	Udhampur/J&K	1  bɑ̃	response	
44	36	32	13	arm	Jammu/J&K	1  bɑ̃	response	
44	36	33	13	arm	Chamba/H.P.	1  bʌ̃	response	
44	36	34	13	arm	Rampur/H.P.	1  bɑ̃	response	
44	36	35	13	arm	Nalagarh/H.P.	1  bɑ̃	response	
44	36	36	13	arm	Dehradun/U.P.	1  bɑ̃	response	
44	36	37	13	arm	Kotdwara/U.P.	1  bɑ̃	response	
44	36	38	13	arm	Haldwani/U.P.	1  bɑ̃	response	
44	36	42	14	elbow	Urdu	1  kohni	response	
44	36	43	14	elbow	Chitral/Pak	1  qʊɳi	response	
44	36	44	14	elbow	Settlet Swat/Pak	1  kuni	response	
44	36	45	14	elbow	Gilgit/Pak	1  kuɳi	response	
44	36	46	14	elbow	Kaghan/Pak	1  kuɳi / 1  kʊɳi	response	
44	36	47	14	elbow	North. Azad/Pak	1  kuni	response	
44	36	48	14	elbow	Centr. Azad/Pak	1  kuni	response	
44	36	49	14	elbow	Udhampur/J&K	1  kuɳi	response	
44	36	50	14	elbow	Jammu/J&K	1  kuni	response	
44	36	51	14	elbow	Chamba/H.P.	1  kɔɳi	response	
44	36	52	14	elbow	Rampur/H.P.	1  kuni	response	
44	36	53	14	elbow	Nalagarh/H.P.	1  kuɳi	response	
44	36	54	14	elbow	Dehradun/U.P.	1  kʊɳi	response	
44	36	55	14	elbow	Kotdwara/U.P.	1  kʊɳi	response	
44	36	56	14	elbow	Haldwani/U.P.	1  kuni	response	
44	36	60	15	palm	Urdu	5  hʌtheli	response	
44	36	61	15	palm	Chitral/Pak	1  ʈʌi	response	
44	36	62	15	palm	Settlet Swat/Pak	1  ʈhɑi	response	
44	36	63	15	palm	Gilgit/Pak	1  tʌɽi	response	
44	36	64	15	palm	Kaghan/Pak	1  tʌli	response	
44	36	65	15	palm	North. Azad/Pak	1  tʌli	response	
44	36	66	15	palm	Centr. Azad/Pak	1  tʌli	response	
44	36	67	15	palm	Udhampur/J&K	1  tʌɭi	response	
44	36	68	15	palm	Jammu/J&K	1  thʌli	response	
44	36	69	15	palm	Chamba/H.P.	1  thʌɭi	response	
44	36	70	15	palm	Rampur/H.P.	1  thʌli	response	
44	36	71	15	palm	Nalagarh/H.P.	1  thʌɭi	response	
44	36	72	15	palm	Dehradun/U.P.	1  thʌli	response	
44	36	73	15	palm	Kotdwara/U.P.	1  thʌɭi	response	
44	36	74	15	palm	Haldwani/U.P.	1  thʌɭi	response	
44	36	96	16	finger	Urdu	1  ʊŋgli	response	
44	36	97	16	finger	Chitral/Pak	1  ʌŋgʌɾi	response	
44	36	98	16	finger	Settlet Swat/Pak	1  ʌŋgi	response	
44	36	99	16	finger	Gilgit/Pak	1  ʌŋgɽi	response	
44	36	100	16	finger	Kaghan/Pak	1  ʌŋgli / 1  ʌŋgɽi	response	
44	36	101	16	finger	North. Azad/Pak	1  ʌŋgli	response	
44	36	102	16	finger	Centr. Azad/Pak	1  ʌŋgʌli	response	
44	36	103	16	finger	Udhampur/J&K	1  ʌŋgəli	response	
44	36	104	16	finger	Jammu/J&K	1  ʊŋgli	response	
44	36	105	16	finger	Chamba/H.P.	1  ʌŋgɭi	response	
44	36	106	16	finger	Rampur/H.P.	1  ʌŋgəli	response	
44	36	107	16	finger	Nalagarh/H.P.	1  ʌŋgli	response	
44	36	108	16	finger	Dehradun/U.P.	1  ʌŋgli	response	
44	36	109	16	finger	Kotdwara/U.P.	1  ʌŋgli	response	
44	36	110	16	finger	Haldwani/U.P.	1  ʌŋgɭi	response	
44	36	114	17	fingernail	Urdu	3  nɑxʊn	response	
44	36	115	17	fingernail	Chitral/Pak	1  nũ	response	
44	36	116	17	fingernail	Settlet Swat/Pak	1  nũ	response	
44	36	117	17	fingernail	Gilgit/Pak	1  nũ	response	
44	36	118	17	fingernail	Kaghan/Pak	1  nũ / 1  nõ	response	
44	36	119	17	fingernail	North. Azad/Pak	1  nũ	response	
44	36	120	17	fingernail	Centr. Azad/Pak	1  nũ	response	
44	36	121	17	fingernail	Udhampur/J&K	1  nũ	response	
44	36	122	17	fingernail	Jammu/J&K	1  nɑu / 2  ni	response	
44	36	123	17	fingernail	Chamba/H.P.	1  nõu	response	
44	36	124	17	fingernail	Rampur/H.P.	1  nũ / 2  nɛ̃	response	
44	36	125	17	fingernail	Nalagarh/H.P.	2  nĩ	response	
44	36	126	17	fingernail	Dehradun/U.P.	2  ni	response	
44	36	127	17	fingernail	Kotdwara/U.P.	2  nĩ	response	
44	36	128	17	fingernail	Haldwani/U.P.	2  nĩ	response	
44	36	132	18	leg	Urdu	1  ʈɑŋ	response	
44	36	133	18	leg	Chitral/Pak	1  tʌŋg	response	
44	36	134	18	leg	Settlet Swat/Pak	1  ʈhʌŋg	response	
44	36	135	18	leg	Gilgit/Pak	1  tʌŋg	response	
44	36	136	18	leg	Kaghan/Pak	1  ʈʌŋg / 2  tʃʌŋg	response	
44	36	137	18	leg	North. Azad/Pak	3  pɛɾ	response	
44	36	138	18	leg	Centr. Azad/Pak	2  dʒʌŋg	response	
44	36	139	18	leg	Udhampur/J&K	1  tʌŋg	response	
44	36	140	18	leg	Jammu/J&K	2  dʒʌŋg / 4  lʌth	response	
44	36	141	18	leg	Chamba/H.P.	1  ʈɑŋ	response	
44	36	142	18	leg	Rampur/H.P.	2  dʒʌŋg	response	
44	36	143	18	leg	Nalagarh/H.P.	2  dʒʌŋg	response	
44	36	144	18	leg	Dehradun/U.P.	2  dʒɛŋg	response	
44	36	145	18	leg	Kotdwara/U.P.	2  dʒʌŋg	response	
44	36	146	18	leg	Haldwani/U.P.	2  dʒʌŋg	response	
45	37	24	19	skin	Urdu	4  dʒɪld	response	
45	37	25	19	skin	Chitral/Pak	1  tʃʌmɽi	response	
45	37	26	19	skin	Settlet Swat/Pak	2  tʃʌm	response	
45	37	27	19	skin	Gilgit/Pak	2  tʃʌm	response	
45	37	28	19	skin	Kaghan/Pak	1  tʃʌmɾʌ	response	
45	37	29	19	skin	North. Azad/Pak	1  tsʌmbɾi	response	
45	37	30	19	skin	Centr. Azad/Pak	1  tʃʌmbɽi / 1  tʃʌmbɽʌ	response	
45	37	31	19	skin	Udhampur/J&K	1  tʃʌməɽi	response	
45	37	32	19	skin	Jammu/J&K	1  tʃʌməɽi / 3  mɑs	response	
45	37	33	19	skin	Chamba/H.P.	1  tʃʌməɽɑ	response	
45	37	34	19	skin	Rampur/H.P.	1  tʃʌməɽi	response	
45	37	35	19	skin	Nalagarh/H.P.	1  tʃʌməɽɑ / 4  dʒɪnd	response	
45	37	36	19	skin	Dehradun/U.P.	3  mɑs	response	
45	37	37	19	skin	Kotdwara/U.P.	1  tʃʌməɽi	response	
45	37	38	19	skin	Haldwani/U.P.	1  tʃʌməɽi	response	
45	37	42	20	bone	Urdu	1  hʌɖːi	response	
45	37	43	20	bone	Chitral/Pak	1  hʌɖi	response	
45	37	44	20	bone	Settlet Swat/Pak	1  hʌɖi	response	
45	37	45	20	bone	Gilgit/Pak	1  hʌɖi	response	
45	37	46	20	bone	Kaghan/Pak	1  hʌɖːi	response	
45	37	47	20	bone	North. Azad/Pak	1  hʌɖi	response	
45	37	48	20	bone	Centr. Azad/Pak	1  hʌɖi	response	
45	37	49	20	bone	Udhampur/J&K	1  ʌɖːi	response	
45	37	50	20	bone	Jammu/J&K	1  ʌɖːi	response	
45	37	51	20	bone	Chamba/H.P.	1  hʌɖːi	response	
45	37	52	20	bone	Rampur/H.P.	1  ʌɖːi	response	
45	37	53	20	bone	Nalagarh/H.P.	1  ʌɖːi	response	
45	37	54	20	bone	Dehradun/U.P.	1  hʌɖːi	response	
45	37	55	20	bone	Kotdwara/U.P.	1  hʌɖːi	response	
45	37	56	20	bone	Haldwani/U.P.	1  ʌɖːi	response	
45	37	60	21	heart	Urdu	1  dɪl	response	
45	37	61	21	heart	Chitral/Pak	1  dɪl	response	
45	37	62	21	heart	Settlet Swat/Pak	1  dɪl	response	
45	37	63	21	heart	Gilgit/Pak	1  dɪl	response	
45	37	64	21	heart	Kaghan/Pak	1  dɪl	response	
45	37	65	21	heart	North. Azad/Pak	1  dɪl	response	
45	37	66	21	heart	Centr. Azad/Pak	1  dɪl	response	
45	37	67	21	heart	Udhampur/J&K	1  dɪl	response	
45	37	68	21	heart	Jammu/J&K	4  kʌledʒo	response	
45	37	69	21	heart	Chamba/H.P.	1  dɪl	response	
45	37	70	21	heart	Rampur/H.P.	1  dɛl / 3  ɾukuɽɑ	response	
45	37	71	21	heart	Nalagarh/H.P.	1  dɪl	response	
45	37	72	21	heart	Dehradun/U.P.	2  sino	response	
45	37	73	21	heart	Kotdwara/U.P.	1  dɛl	response	
45	37	74	21	heart	Haldwani/U.P.	1  dɪl	response	
45	37	96	22	blood	Urdu	3  xun	response	
45	37	97	22	blood	Chitral/Pak	1  rʌt	response	
45	37	98	22	blood	Settlet Swat/Pak	1  rʌth	response	
45	37	99	22	blood	Gilgit/Pak	1  rʌt	response	
45	37	100	22	blood	Kaghan/Pak	1  rʌth	response	
45	37	101	22	blood	North. Azad/Pak	2  ɭo	response	
45	37	102	22	blood	Centr. Azad/Pak	1  rʌt	response	
45	37	103	22	blood	Udhampur/J&K	1  rʌt	response	
45	37	104	22	blood	Jammu/J&K	2  lou	response	
45	37	105	22	blood	Chamba/H.P.	2  lou	response	
45	37	106	22	blood	Rampur/H.P.	2  lou	response	
45	37	107	22	blood	Nalagarh/H.P.	2  lou	response	
45	37	108	22	blood	Dehradun/U.P.	2  lou	response	
45	37	109	22	blood	Kotdwara/U.P.	2  lou	response	
45	37	110	22	blood	Haldwani/U.P.	2  lou	response	
45	37	114	23	urine	Urdu	ʊrdu  0    no entry	blank	
45	37	115	23	urine	Chitral/Pak	1  niko mũtʌr	response	
45	37	116	23	urine	Settlet Swat/Pak	2  mũt	response	
45	37	117	23	urine	Gilgit/Pak	2  mut	response	
45	37	118	23	urine	Kaghan/Pak	1  mutʌɾ / 2  muth	response	
45	37	119	23	urine	North. Azad/Pak	1  mutʌɾ	response	
45	37	120	23	urine	Centr. Azad/Pak	1  mutʌɾ / 2  mut	response	
45	37	121	23	urine	Udhampur/J&K	0    no entry	blank	
45	37	122	23	urine	Jammu/J&K	0    no entry	blank	
45	37	123	23	urine	Chamba/H.P.	0    no entry	blank	
45	37	124	23	urine	Rampur/H.P.	0    no entry	blank	
45	37	125	23	urine	Nalagarh/H.P.	0    no entry	blank	
45	37	126	23	urine	Dehradun/U.P.	0    no entry	blank	
45	37	127	23	urine	Kotdwara/U.P.	0    no entry	blank	
45	37	128	23	urine	Haldwani/U.P.	0    no entry	blank	
45	37	132	24	feces	Urdu	0    no entry	blank	
45	37	133	24	feces	Chitral/Pak	1  gũ / 2  bʌɾɑ mutʌɾ	response	
45	37	134	24	feces	Settlet Swat/Pak	1  gũ	response	
45	37	135	24	feces	Gilgit/Pak	1  gũ	response	
45	37	136	24	feces	Kaghan/Pak	1  gũ	response	
45	37	137	24	feces	North. Azad/Pak	1  gũ	response	
45	37	138	24	feces	Centr. Azad/Pak	3  tʌti	response	
45	37	139	24	feces	Udhampur/J&K	0    no entry	blank	
45	37	140	24	feces	Jammu/J&K	0    no entry	blank	
45	37	141	24	feces	Chamba/H.P.	0    no entry	blank	
45	37	142	24	feces	Rampur/H.P.	0    no entry	blank	
45	37	143	24	feces	Nalagarh/H.P.	0    no entry	blank	
45	37	144	24	feces	Dehradun/U.P.	0    no entry	blank	
45	37	145	24	feces	Kotdwara/U.P.	0    no entry	blank	
45	37	146	24	feces	Haldwani/U.P.	0    no entry	blank	
46	38	24	25	village	Urdu	2  gɑũ	response	
46	38	25	25	village	Chitral/Pak	1  gʌɾɑ̃	response	
46	38	26	25	village	Settlet Swat/Pak	1  gɪɾɑ	response	
46	38	27	25	village	Gilgit/Pak	1  gɪɾɑ̃	response	
46	38	28	25	village	Kaghan/Pak	1  gʌɾɑ̃	response	
46	38	29	25	village	North. Azad/Pak	1  gɪɾɑ̃	response	
46	38	30	25	village	Centr. Azad/Pak	1  gɪɾɑ̃	response	
46	38	31	25	village	Udhampur/J&K	1  gɾɑ̃	response	
46	38	32	25	village	Jammu/J&K	1  gɾɑ̃	response	
46	38	33	25	village	Chamba/H.P.	1  gɾɑ̃	response	
46	38	34	25	village	Rampur/H.P.	1  gɾɑ̃	response	
46	38	35	25	village	Nalagarh/H.P.	1  gɾɑ̃	response	
46	38	36	25	village	Dehradun/U.P.	1  gɾɑ̃	response	
46	38	37	25	village	Kotdwara/U.P.	1  gɾɑ̃	response	
46	38	38	25	village	Haldwani/U.P.	1  gɾɑ̃	response	
46	38	42	26	house	Urdu	3  ghʌɾ / 4  mʌkɑn	response	
46	38	43	26	house	Chitral/Pak	1  dɛɾo	response	
46	38	44	26	house	Settlet Swat/Pak	1  dɛɾo	response	
46	38	45	26	house	Gilgit/Pak	1  dɛɾo / 2  koʈo	response	
46	38	46	26	house	Kaghan/Pak	1  dɛɾo	response	
46	38	47	26	house	North. Azad/Pak	2  koʈo	response	
46	38	48	26	house	Centr. Azad/Pak	3  kʌɾ	response	
46	38	49	26	house	Udhampur/J&K	1  deɾo	response	
46	38	50	26	house	Jammu/J&K	3  kɑɾ	response	
46	38	51	26	house	Chamba/H.P.	3  ghɑɾ	response	
46	38	52	26	house	Rampur/H.P.	1  ɖeɾɑ / 3  kɑɾ	response	
46	38	53	26	house	Nalagarh/H.P.	1  ɖeɾɑ	response	
46	38	54	26	house	Dehradun/U.P.	1  deɾo	response	
46	38	55	26	house	Kotdwara/U.P.	1  deɾo	response	
46	38	56	26	house	Haldwani/U.P.	1  deɾɑ	response	
46	38	60	27	roof	Urdu	1  tʃhʌt	response	
46	38	61	27	roof	Chitral/Pak	4  koʈɑ	response	
46	38	62	27	roof	Settlet Swat/Pak	1  tʃʌth	response	
46	38	63	27	roof	Gilgit/Pak	5  tʌl	response	
46	38	64	27	roof	Kaghan/Pak	4  koʈɑ	response	
46	38	65	27	roof	North. Azad/Pak	1  tʃʌt	response	
46	38	66	27	roof	Centr. Azad/Pak	1  tʃʌt	response	
46	38	67	27	roof	Udhampur/J&K	1  tʃʌt	response	
46	38	68	27	roof	Jammu/J&K	1  ʃʌt	response	
46	38	69	27	roof	Chamba/H.P.	3  tʃʌtəɾi	response	
46	38	70	27	roof	Rampur/H.P.	1  ʃʌt	response	
46	38	71	27	roof	Nalagarh/H.P.	2  ʃʌn	response	
46	38	72	27	roof	Dehradun/U.P.	1  ʃʌt	response	
46	38	73	27	roof	Kotdwara/U.P.	1  tʃʌt	response	
46	38	74	27	roof	Haldwani/U.P.	2  tʃʌn	response	
46	38	96	28	door	Urdu	3  dʌɾwɑzʌ	response	
46	38	97	28	door	Chitral/Pak	1  buo	response	
46	38	98	28	door	Settlet Swat/Pak	1  buo	response	
46	38	99	28	door	Gilgit/Pak	2  bu	response	
46	38	100	28	door	Kaghan/Pak	1  buʌ / 1  bhuʌ	response	
46	38	101	28	door	North. Azad/Pak	1  buo	response	
46	38	102	28	door	Centr. Azad/Pak	3  dʌɾwɑzɑ / 4  pith	response	
46	38	103	28	door	Udhampur/J&K	1  buʋo	response	
46	38	104	28	door	Jammu/J&K	1  buo / 4  pet	response	
46	38	105	28	door	Chamba/H.P.	1  buwo	response	
46	38	106	28	door	Rampur/H.P.	4  pet	response	
