PSD1,d13,agil,eagle-wood,,,South Dravidian,"merriam2026dravidiandb[record 14, DEDR 13];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:14,,,,
PSTDr,d14,avúẓ-,"loose; to be unfastened, loosened, separated",,,,"merriam2026dravidiandb[record 15, DEDR 14];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:15,,,,
PDr,d15,ággai,"to sprout, flourish; seed-bud, sprout, shoot",,,,"merriam2026dravidiandb[record 16, DEDR 15];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:16,,,,
PDr,d16,agái,"to break; to break or go to pieces, burst; to be torn",,,,"merriam2026dravidiandb[record 17, DEDR 16];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:17,,,,
PKMDr,d17,āq-,to know,,,,"merriam2026dravidiandb[record 18, DEDR 17];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:18,,,,
PKMDr,d18,a[b]-q-,to warm (oneself),,,,"merriam2026dravidiandb[record 19, DEDR 18];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:19,,,,
PSD1,d19,akakāj,asunder,,,South Dravidian,"merriam2026dravidiandb[record 20, DEDR 19];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:20,,,,
PSTDr,d20,akaǯa,"wonder; wonder, surprise, astonishment; to be dumbfounded, confounded, confused through fear and awe",,,,"merriam2026dravidiandb[record 21, DEDR 20]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:21,,,,
PSD1,d21,akar_ai (?),necessity,,,South Dravidian,"merriam2026dravidiandb[record 22, DEDR 21];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:22,,,,
PSD1,d22,ajkaḷai,cockroach,,,South Dravidian,"merriam2026dravidiandb[record 23, DEDR 22];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:23,,,,
PDr,d23,ak-,elder sister,,,,"merriam2026dravidiandb[record 24, DEDR 23];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:24,,,,
PDr,d24,ak-,grandfather; maternal grandfather,,,,"merriam2026dravidiandb[record 25, DEDR 24]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:25,,,,
PSD1,d25,akil-,"confusion, fear; to be confused, bewildered",,,South Dravidian,"merriam2026dravidiandb[record 26, DEDR 25];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:26,,,,
PSD1,d26,aki,herpes; erysipelas,,,South Dravidian,"merriam2026dravidiandb[record 27, DEDR 26];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:27,,,,
PSTDr,d27,aŋa,"manner, way",,,,"merriam2026dravidiandb[record 28, DEDR 27]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:28,,,,
PSTDr,d28,áŋkaṇa-,space between pillars; space between any two beams or pillars,,,,"merriam2026dravidiandb[record 29, DEDR 28];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:29,,,,
PSTDr,d29,áŋka-,"battle, fight; a quarrelsome man",,,,"merriam2026dravidiandb[record 30, DEDR 29];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:30,,,,
PSTDr,d30,aŋ(k)-,beauty,,,,"merriam2026dravidiandb[record 31, DEDR 30]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:31,,,,
PDr,d31,áŋal-,"to grieve, lament; to grieve, lament, cry out from fear, grief, or pain; to weep loudly",,,,"merriam2026dravidiandb[record 32, DEDR 31];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:32,,,,
PSTDr,d32,aŋka-,stirrup,,,,"merriam2026dravidiandb[record 33, DEDR 32]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:33,,,,
PDr,d33,ńjáŋaḷ,palate; tongue; uvula,,,,"merriam2026dravidiandb[record 34, DEDR 33];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:34,,,,
PDr,d34,áŋāl-,"to gape, yawn; yawn; to gape; to open mouth; to gape",,,,"merriam2026dravidiandb[record 35, DEDR 34];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:35,,,,
PDr,d35,aŋā́ḍi,"shop, bazaar; shop, stall; market",,,,"merriam2026dravidiandb[record 36, DEDR 35];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:36,,,,
PSD1,d36,asa-,to wash,,,South Dravidian,"merriam2026dravidiandb[record 37, DEDR 36];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:37,,,,
PDr,d37,asái,"to stir, move; to drive, send; to move, tremble, hang as a pendulum; to tremble",,,,"merriam2026dravidiandb[record 38, DEDR 37];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:38,,,,
PSD1,d38,asaḍ-,stupid,,,South Dravidian,"merriam2026dravidiandb[record 39, DEDR 38];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:39,,,,
PSTDr,d39,asái,"faint, drowsy; an onom. word to express weariness",,,,"merriam2026dravidiandb[record 40, DEDR 39];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:40,,,,
PSD1,d40,ac-,a k. of insect,,,South Dravidian,"merriam2026dravidiandb[record 41, DEDR 40];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:41,,,,
PSD1,d40,asa-,a k. of insect,,,South Dravidian,"merriam2026dravidiandb[record 42, DEDR 40];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:42,,,,
PSTDr,d41,asár_-,"mud, mire",,,,"merriam2026dravidiandb[record 43, DEDR 41];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:43,,,,
PSD1,d42,akir_-,dandruff,,,South Dravidian,"merriam2026dravidiandb[record 44, DEDR 42];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:44,,,,
PDr,d43,asái,"to join with; to stick to, remain stable (in a village); to catch, hold, grasp; to stick",,,,"merriam2026dravidiandb[record 45, DEDR 43];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:45,,,,
PSD1,d44,aǯara,"a k. of moss, undershrub",,,South Dravidian,"merriam2026dravidiandb[record 46, DEDR 44];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:46,,,,
PKMDr,d45,ac,thorn,,,,"merriam2026dravidiandb[record 47, DEDR 45];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:47,,,,
PSTDr,d46,[p]ac-,to cut in pieces,,,,"merriam2026dravidiandb[record 48, DEDR 46]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:48,,,,
PSTDr,d47,ac-,"mould, type; stamp, impression, print, mould",,,,"merriam2026dravidiandb[record 49, DEDR 47];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:49,,,,
PSTDr,d48,ac-,weaver's reed,,,,"merriam2026dravidiandb[record 50, DEDR 48]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:50,,,,
PSTDr,d49,ac-,ridge in a field; to make a ridge along the boundary,,,,"merriam2026dravidiandb[record 51, DEDR 49]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:51,,,,
PDr,d50,áǯǯ-,"father, grandfather; grandfather; father's mother; paternal grandfather",,,,"merriam2026dravidiandb[record 52, DEDR 50];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:52,,,,
PSD2,d51,as-,to seize,,,,"merriam2026dravidiandb[record 53, DEDR 51]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:53,,,,
PKMDr,d52,as-gVl-,a k. of caterpillar,,,,"merriam2026dravidiandb[record 54, DEDR 52];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:54,,,,
PSTDr,d53,aǯǯa(i),opportunity,,,,"merriam2026dravidiandb[record 55, DEDR 53]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:55,,,,
PSTDr,d54,ancal,"relay, post; post, a relay of horses, palanquin-bearers, letter-carriers, etc.",,,,"merriam2026dravidiandb[record 56, DEDR 54]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:56,,,,
PSTDr,d54,anci,"relay, post; post, a relay of horses, palanquin-bearers, letter-carriers, etc.",,,,"merriam2026dravidiandb[record 57, DEDR 54]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:57,,,,
PDr,d55,anǯ-,"to fear; to fear, be alarmed; to be scared, startled",,,,"merriam2026dravidiandb[record 58, DEDR 55];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:58,,,,
PCDr,d56,anǯ-,to climb,,,,"merriam2026dravidiandb[record 59, DEDR 56];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:59,,,,
PSTDr,d57,anc-,"edge, brim; skirt, border or selvage of cloth, edge (of sword, etc.), shore, brim",,,,"merriam2026dravidiandb[record 60, DEDR 57];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:60,,,,
PDr,d58,annai,mother; aunt,,,,"merriam2026dravidiandb[record 61, DEDR 58]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:61,,,,
PDr,d59,aḍái,betel leaf; any leguminous plant or eatable greens.,,,,"merriam2026dravidiandb[record 62, DEDR 59];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:62,,,,
PDr,d60,aḍV-,"flesh, meat; curry made of meat, fish, or vegetables",,,,"merriam2026dravidiandb[record 63, DEDR 60]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:63,,,,
PSTDr,d61,aḍa-,"to throw, cast out; to discharge, shoot (as an arrow or other missile)",,,,"merriam2026dravidiandb[record 64, DEDR 61]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:64,,,,
PSD1,d62,aḍakai,a k. of plant/herb,,,South Dravidian,"merriam2026dravidiandb[record 65, DEDR 62];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:65,,,,
PDr,d63,aḍái,"to submit; to hide; to yield, submit, be humbled; to hide; to lie in wait for; to lie hidden, hide oneself; to knead; to press",,,,"merriam2026dravidiandb[record 66, DEDR 63];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:66,,,,
PSTDr,d64,aḍai-pa-,"pouch, bag; pouch for betel leaves and nuts, a barber's case for keeping razors, etc.",,,,"merriam2026dravidiandb[record 67, DEDR 64]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:67,,,,
PSD1,d65,aḍamb-,a k. of creeper,,,South Dravidian,"merriam2026dravidiandb[record 68, DEDR 65];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:68,,,,
PSD1,d66,aḍar-,"to burst, crack",,,South Dravidian,"merriam2026dravidiandb[record 69, DEDR 66];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:69,,,,
PSD1,d67,aḍar-,twig,,,South Dravidian,"merriam2026dravidiandb[record 70, DEDR 67];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:70,,,,
PSD1,d68,aḍal-,a k. of fish,,,South Dravidian,"merriam2026dravidiandb[record 71, DEDR 68];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:71,,,,
PSD1,d68,aḍav-,a k. of fish,,,South Dravidian,"merriam2026dravidiandb[record 72, DEDR 68];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:72,,,,
PSD2,d69,aṭavari,chin,,,,"merriam2026dravidiandb[record 73, DEDR 69];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:73,,,,
PSD1,d70,aḍV,"exclamation, interjection",,,South Dravidian,"merriam2026dravidiandb[record 74, DEDR 70];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:74,,,,
PSTDr,d71,aḍāpiḍi,"violence, confusion; confusion, uproar, fright",,,,"merriam2026dravidiandb[record 75, DEDR 71]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:75,,,,
PSTDr,d72,aḍí,"foot; foot, footstep, footprint, step, pace, measure of a foot, bottom, basis; below, underneath",,,,"merriam2026dravidiandb[record 76, DEDR 72];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:76,,,,
PSD1,d73,aḍi-,to sweep,,,South Dravidian,"merriam2026dravidiandb[record 77, DEDR 73];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:77,,,,
PDr,d74,aḍí-,"to flap, twitch, tremble; to be afraid; n. fear, alarm; (pulse) throbs",,,,"merriam2026dravidiandb[record 78, DEDR 74];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:78,,,,
PDr,d75,aṬ-,earthen pot; a small earthen pot with a large mouth; earthen waterpot,,,,"merriam2026dravidiandb[record 79, DEDR 75];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:79,,,,
PDr,d76,aṭ-,"to cook; to dry up, become exhausted; to dry up; to catch fire; to heat; to burn (heaps of hacked forest-wood, before starting pōṛu cultivation), set fire to",,,,"merriam2026dravidiandb[record 80, DEDR 76];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:80,,,,
PDr,d76,aḍú-,"to cook; to dry up, become exhausted; to dry up; to catch fire; to heat; to burn (heaps of hacked forest-wood, before starting pōṛu cultivation), set fire to",,,,"merriam2026dravidiandb[record 81, DEDR 76];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:81,,,,
PDr,d77,aḍV́-,"to pound, beat; to kill; to beat, strike, break, destroy; to strike; to pound, break; to hit, as an arrow",,,,"merriam2026dravidiandb[record 82, DEDR 77];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:82,,,,
PDr,d78,aḍú-,"to be fit; to be fit or proper; to be able; to be fit, be enough",,,,"merriam2026dravidiandb[record 83, DEDR 78];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:83,,,,
PDr,d79,aḍV́-,"to approach; to reach; to arise, issue; to be associated with, joined to, united with, associate with, accompany, aid, assist, help; n. association, assistance, help; near; to be married; marry; n. marriage; near, close",,,,"merriam2026dravidiandb[record 84, DEDR 79];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:84,,,,
PSTDr,d80,aḍ-[úŋ]-,"to pile up; to pile up, arrange in a set or series; n. a series or set of things, a compact pile of articles",,,,"merriam2026dravidiandb[record 85, DEDR 80];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:85,,,,
PDr,d81,aḍ-[úg-],"to ask about health; to beg; to ask, question, beg, solicit, request, demand; to ask; to request a favour, beg, ask, borrow, pray; n. request, entreaty, act of begging",,,,"merriam2026dravidiandb[record 86, DEDR 81];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:86,,,,
PSTDr,d82,[p]aḍ-,"mud, clay; mud, mire",,,,"merriam2026dravidiandb[record 87, DEDR 82]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:87,,,,
PDr,d83,áḍḍa-,"to shut, close; to obstruct; to become obstructed or choked, be stopped, choke; obstruction; in the way, intervening, obstructing; to obstruct; screen, interception; to stop, intercept; to conceal; to cover; to hinder; sheltered; shelter, protection",,,,"merriam2026dravidiandb[record 88, DEDR 83];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:88,,,,
PDr,d83,aḍái-,"to shut, close; to obstruct; to become obstructed or choked, be stopped, choke; obstruction; in the way, intervening, obstructing; to obstruct; screen, interception; to stop, intercept; to conceal; to cover; to hinder; sheltered; shelter, protection",,,,"merriam2026dravidiandb[record 89, DEDR 83];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:89,,,,
PSTDr,d84,aḍái,"heap; to collect; to increase; n. increase, excess; herd of cows; (BB) herd of cows",,,,"merriam2026dravidiandb[record 90, DEDR 84];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:90,,,,
PSTDr,d84,aḍí,"heap; to collect; to increase; n. increase, excess; herd of cows; (BB) herd of cows",,,,"merriam2026dravidiandb[record 91, DEDR 84];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:91,,,,
PSD1,d85,aḍai-,to preserve; pickle,,,South Dravidian,"merriam2026dravidiandb[record 92, DEDR 85];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:92,,,,
PSTDr,d86,aḍai,"support, prop; anvil; anvil",,,,"merriam2026dravidiandb[record 93, DEDR 86]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:93,,,,
PSTDr,d86,aḍai-kal,"support, prop; anvil; anvil",,,,"merriam2026dravidiandb[record 94, DEDR 86]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:94,,,,
PSD1,d87,aḍai,thin cake (wafer),,,South Dravidian,"merriam2026dravidiandb[record 95, DEDR 87];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:95,,,,
PSTDr,d88,aḍái[-kāj/-kat-],"areca-nut; nippers for cutting betel-nuts, betel-nut cracker",,,,"merriam2026dravidiandb[record 96, DEDR 88];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:96,,,,
PSTDr,d89,aḍái[j]āḷ- (?),"mark, sign, symbol; sign, token",,,,"merriam2026dravidiandb[record 97, DEDR 89];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:97,,,,
PSD1,d90,aḍikai-vīẓ-,"a k. of creeper, climber",,,South Dravidian,"merriam2026dravidiandb[record 98, DEDR 90];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:98,,,,
PKMDr,d91,aṛg-,spleen,,,,"merriam2026dravidiandb[record 99, DEDR 91];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:99,,,,
PSD1,d92,aḍVnd- (?),a k. of tree,,,South Dravidian,"merriam2026dravidiandb[record 100, DEDR 92];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:100,,,,
PDr,d93,áṭa-,"loft, upper story; attic (VPK); bamboo framework for roof; raised platform, scaffold, loft in house",,,,"merriam2026dravidiandb[record 101, DEDR 93];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:101,,,,
PSTDr,d94,aḍḍātiḍḍ- (?),"clumsy, awkward, perverse; froward, perverse",,,,"merriam2026dravidiandb[record 102, DEDR 94]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:102,,,,
PSTDr,d95,áḍḍi-,necklace; (pl) ornament worn round the neck by women,,,,"merriam2026dravidiandb[record 103, DEDR 95];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:103,,,,
PDr,d96,anṭ-,"to join, stick to; to stick or adhere to, smear or rub over; to stick; to stick to, adhere; to be stuck",,,,"merriam2026dravidiandb[record 104, DEDR 96];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:104,,,,
PSD1,d97,aṭ-,"to discharge, flow, urinate",,,South Dravidian,"merriam2026dravidiandb[record 105, DEDR 97];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:105,,,,
PSTDr,d98,áṭai,"sole of shoe; cardboard; sole of shoe or slipper, hide or leather, cardboard",,,,"merriam2026dravidiandb[record 106, DEDR 98];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:106,,,,
PSD1,d99,aṭai,leech,,,South Dravidian,"merriam2026dravidiandb[record 107, DEDR 99];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:107,,,,
PSTDr,d100,aṭai,headless trunk; a headless trunk,,,,"merriam2026dravidiandb[record 108, DEDR 100]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:108,,,,
PSD1,d101,aṭ- (?),ditch; cliff,,,South Dravidian,"merriam2026dravidiandb[record 109, DEDR 101];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:109,,,,
PKMDr,d102,aṭṭ-,to spread,,,,"merriam2026dravidiandb[record 110, DEDR 102];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:110,,,,
PSD1,d103,aḍḍagVl-,breadth,,,South Dravidian,"merriam2026dravidiandb[record 111, DEDR 103];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:111,,,,
PSTDr,d104,aḍḍa-,"a money unit; two-anna piece, half of a fanam",,,,"merriam2026dravidiandb[record 112, DEDR 104]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:112,,,,
PSD2,d105,aḍ-a,a dry measure; a unit of measure; a unit of one seer,,,,"merriam2026dravidiandb[record 113, DEDR 105]",,"Upstream reconstruction attribution: Merriam, 2025.",merriam2026dravidiandb:pdr:113,,,,
