so,m73,(ə-)ˈlʔuːd-ən,ear,,(ə-)ˈlʔuːd-ən,,"pinnow1959versuch[p. 97, item 1319, set V147]",,Pinnow comparative set V147. Linked to Rau m73 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p97.i1319.sV147,,,,
sa,m105,abon,"we, you and I (inclusive)",,abon,,"pinnow1959versuch[p. 368, item 975, set K508]",,Pinnow comparative set K508. Linked to Rau m105 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p368.i975.sK508:v2,pinnow1959versuch:C:c2.p368.i975.sK508,,,pron 1pl inclusive
mu,m105,abu,"we, you and I (inclusive)",,abu,,"pinnow1959versuch[p. 368, item 975, set K508]",,Pinnow comparative set K508. Linked to Rau m105 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p368.i975.sK508,,,,pron 1pl inclusive
Birhor,,abuŋ,to wash any part of the body,,abuŋ,,"pinnow1959versuch[p. 75, item 1208, set V46]",,Pinnow comparative set V46.,pinnow1959versuch:C:c7.p75.i1208.sV046,,,,
ko,,abuŋ,to wash any part of the body,,abuŋ,,"pinnow1959versuch[p. 75, item 1208, set V46]",,Pinnow comparative set V46.,pinnow1959versuch:C:c5.p75.i1208.sV046,,,,
mu,,abuŋ,to wash the hands and feet,,abuŋ,,"pinnow1959versuch[p. 75, item 1208, set V46]",,Pinnow comparative set V46.,pinnow1959versuch:C:c4.p75.i1208.sV046,,,,
ko,m105,abuŋ,"we, you and I (inclusive)",,abuŋ,,"pinnow1959versuch[p. 368, item 975, set K508]",,Pinnow comparative set K508. Linked to Rau m105 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p368.i975.sK508,,,,pron 1pl inclusive
mu,,abɛn,you two,,abɛn,,"pinnow1959versuch[p. 76, item 1217, set V55]",,Pinnow comparative set V55.,pinnow1959versuch:C:c4.p76.i1217.sV055,,,,
sa,,ader,to bring in,,ader,,"pinnow1959versuch[p. 211, item 160, set K149a]",,Pinnow comparative set K149a.,pinnow1959versuch:C:c2.p211.i160.sK149a,,,,
Birhor,,ader,to take inside,,ader,,"pinnow1959versuch[p. 211, item 160, set K149a]",,Pinnow comparative set K149a.,pinnow1959versuch:C:c7.p211.i160.sK149a,,,,
mu,m40,adiŋ,"kitchen, inner apartment of a house set apart for worship",,adiŋ,,"pinnow1959versuch[p. 162, item 1569, set V342]",,Pinnow comparative set V342. Linked to Rau m40 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p162.i1569.sV342,,,,
mu,,adɛr,"to take inside, to bring in, to enter",,adɛr,,"pinnow1959versuch[p. 211, item 160, set K149a]",,Pinnow comparative set K149a.,pinnow1959versuch:C:c4.p211.i160.sK149a,,,,
sa,,aha,alas,,aha,,"pinnow1959versuch[p. 212, item 162, set K150]",,Pinnow comparative set K150.,pinnow1959versuch:C:c2.p212.i162.sK150,,,,
sa,,ah,alas,,ah,,"pinnow1959versuch[p. 212, item 162, set K150]",,Pinnow comparative set K150.,pinnow1959versuch:C:c2.p212.i162.sK150:v2,pinnow1959versuch:C:c2.p212.i162.sK150,,,
ju,,ahaː,alas,,ahaː,,"pinnow1959versuch[p. 212, item 162, set K150]",,Pinnow comparative set K150.,pinnow1959versuch:C:c11.p212.i162.sK150,,,,
ho,,aia,seven,,aia,,"pinnow1959versuch[p. 269, item 494, set K360]",,Pinnow comparative set K360.,pinnow1959versuch:C:c6.p269.i494.sK360,,,,
ho,,ija,seven,,ija,,"pinnow1959versuch[p. 269, item 494, set K360]",,Pinnow comparative set K360.,pinnow1959versuch:C:c6.p269.i494.sK360:v2,pinnow1959versuch:C:c6.p269.i494.sK360,,,
ho,,aium,"to hear, to listen",,aium,,"pinnow1959versuch[p. 78, item 1233, set V71]",,Pinnow comparative set V71.,pinnow1959versuch:C:c6.p78.i1233.sV071,,,,
ju,,aiŋ,I,,aiŋ,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c11.p186.i1652.sV402,,,,
ju,,aiɲ-ɟe,I,,aiɲ-ɟe,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c11.p186.i1652.sV402:v2,pinnow1959versuch:C:c11.p186.i1652.sV402,,,
kh,,aiˀɟ,to come,,aiˀɟ,,"pinnow1959versuch[p. 151, item 1513, set V299]",,Pinnow comparative set V299.,pinnow1959versuch:C:c1.p151.i1513.sV299,,,,
Birhor,m33,ajub,evening,,ajub,,"pinnow1959versuch[p. 141, item 1485, set V280]",,Pinnow comparative set V280. Linked to Rau m33 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p141.i1485.sV280,,,,
ho,m33,ajub,evening,,ajub,,"pinnow1959versuch[p. 141, item 1485, set V280]",,Pinnow comparative set V280. Linked to Rau m33 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p141.i1485.sV280,,,,
mu,,ajum,"to hear, listen",,ajum,,"pinnow1959versuch[p. 78, item 1233, set V71]",,Pinnow comparative set V71.,pinnow1959versuch:C:c4.p78.i1233.sV071,,,,
Birhor,,ajum,"to hear, to listen",,ajum,,"pinnow1959versuch[p. 78, item 1233, set V71]",,Pinnow comparative set V71.,pinnow1959versuch:C:c7.p78.i1233.sV071,,,,
mu,m33,ajuˀb,"evening, nightfall",,ajuˀb,,"pinnow1959versuch[p. 141, item 1485, set V280]",,Pinnow comparative set V280. Linked to Rau m33 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p141.i1485.sV280,,,,
ho,,akia,chin,,akia,,"pinnow1959versuch[p. 391, item 1111, set K526]",,Pinnow comparative set K526.,pinnow1959versuch:C:c6.p391.i1111.sK526,,,,
mu,,ala dulao,"dear, beloved",,ala dulao,,"pinnow1959versuch[p. 292, item 586-1, set K409]",,Pinnow comparative set K409.,pinnow1959versuch:C:c4.p292.i586-1.sK409,,,,
kh,,alar dular,"to love, dear, lovely, love",,alar dular,,"pinnow1959versuch[p. 292, item 586-2, set K409]",,Pinnow comparative set K409.,pinnow1959versuch:C:c1.p292.i586-2.sK409,,,,
Birhor,m3,alaŋ,tongue,,alaŋ,,"pinnow1959versuch[p. 71, item 1176, set V14]",,Pinnow comparative set V14. Linked to Rau m3 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p71.i1176.sV014,,,,
ho,m3,alaŋ,tongue,,alaŋ,,"pinnow1959versuch[p. 71, item 1176, set V14]",,Pinnow comparative set V14. Linked to Rau m3 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p71.i1176.sV014,,,,
kw,m3,alaŋ,tongue,,alaŋ,,"pinnow1959versuch[p. 71, item 1176, set V14]",,Pinnow comparative set V14. Linked to Rau m3 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c12.p71.i1176.sV014,,,,
mu,m3,alaŋ,tongue,,alaŋ,,"pinnow1959versuch[p. 71, item 1176, set V14]",,Pinnow comparative set V14. Linked to Rau m3 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p71.i1176.sV014,,,,
sa,m3,alaŋ,tongue,,alaŋ,,"pinnow1959versuch[p. 71, item 1176, set V14]",,Pinnow comparative set V14. Linked to Rau m3 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p71.i1176.sV014,,,,
Asuri,,alaŋ,we two (inclusive),,alaŋ,,"pinnow1959versuch[p. 73, item 1196, set V34]",,Pinnow comparative set V34.,pinnow1959versuch:C:c14.p73.i1196.sV034,,,,du pron 1pl inclusive
Birhor,,alaŋ,we two (inclusive),,alaŋ,,"pinnow1959versuch[p. 73, item 1196, set V34]",,Pinnow comparative set V34.,pinnow1959versuch:C:c7.p73.i1196.sV034,,,,du pron 1pl inclusive
ko,,alaŋ,we two (inclusive),,alaŋ,,"pinnow1959versuch[p. 73, item 1196, set V34]",,Pinnow comparative set V34.,pinnow1959versuch:C:c5.p73.i1196.sV034,,,,du pron 1pl inclusive
mu,,alaŋ,we two (inclusive),,alaŋ,,"pinnow1959versuch[p. 73, item 1196, set V34]",,Pinnow comparative set V34.,pinnow1959versuch:C:c4.p73.i1196.sV034,,,,du pron 1pl inclusive
sa,,alaŋ,we two (inclusive),,alaŋ,,"pinnow1959versuch[p. 73, item 1196, set V34]",,Pinnow comparative set V34.,pinnow1959versuch:C:c2.p73.i1196.sV034,,,,du pron 1pl inclusive
Asuri,,ale,we (exclusive),,ale,,"pinnow1959versuch[p. 104, item 1349, set V174]",,Pinnow comparative set V174.,pinnow1959versuch:C:c14.p104.i1349.sV174,,,,pron 1pl exclusive
Birhor,,ale,we (exclusive),,ale,,"pinnow1959versuch[p. 104, item 1349, set V174]",,Pinnow comparative set V174.,pinnow1959versuch:C:c7.p104.i1349.sV174,,,,pron 1pl exclusive
ho,,ale,we (exclusive),,ale,,"pinnow1959versuch[p. 104, item 1349, set V174]",,Pinnow comparative set V174.,pinnow1959versuch:C:c6.p104.i1349.sV174,,,,pron 1pl exclusive
ko,,ale,we (exclusive),,ale,,"pinnow1959versuch[p. 104, item 1349, set V174]",,Pinnow comparative set V174.,pinnow1959versuch:C:c5.p104.i1349.sV174,,,,pron 1pl exclusive
kw,,ale,we (exclusive),,ale,,"pinnow1959versuch[p. 104, item 1349, set V174]",,Pinnow comparative set V174.,pinnow1959versuch:C:c12.p104.i1349.sV174,,,,pron 1pl exclusive
mu,,ale,we (exclusive),,ale,,"pinnow1959versuch[p. 104, item 1349-2, set V174]",,Pinnow comparative set V174.,pinnow1959versuch:C:c4.p104.i1349-2.sV174,,,,pron 1pl exclusive
mu,,ale,we (plural exclusive),,ale,,"pinnow1959versuch[p. 104, item 1349, set V174]",,Pinnow comparative set V174.,pinnow1959versuch:C:c4.p104.i1349.sV174,,,,pron 1pl exclusive
Asuri,,aliŋ,we two (exclusive),,aliŋ,,"pinnow1959versuch[p. 74, item 1201, set V39]",,Pinnow comparative set V39.,pinnow1959versuch:C:c14.p74.i1201.sV039,,,,du pron 1pl exclusive
Birhor,,aliŋ,we two (exclusive),,aliŋ,,"pinnow1959versuch[p. 74, item 1201, set V39]",,Pinnow comparative set V39.,pinnow1959versuch:C:c7.p74.i1201.sV039,,,,du pron 1pl exclusive
ho,,aliŋ,we two (exclusive),,aliŋ,,"pinnow1959versuch[p. 74, item 1201, set V39]",,Pinnow comparative set V39.,pinnow1959versuch:C:c6.p74.i1201.sV039,,,,du pron 1pl exclusive
ko,,aliŋ,we two (exclusive),,aliŋ,,"pinnow1959versuch[p. 74, item 1201, set V39]",,Pinnow comparative set V39.,pinnow1959versuch:C:c5.p74.i1201.sV039,,,,du pron 1pl exclusive
Mahali,,aliɲ,we two (exclusive),,aliɲ,,"pinnow1959versuch[p. 74, item 1201, set V39]",,Pinnow comparative set V39.,pinnow1959versuch:C:c16.p74.i1201.sV039,,,,du pron 1pl exclusive
mu,,aliɲ,we two (exclusive),,aliɲ,,"pinnow1959versuch[p. 74, item 1201, set V39]",,Pinnow comparative set V39.,pinnow1959versuch:C:c4.p74.i1201.sV039,,,,du pron 1pl exclusive
Mahali,m3,alɔŋ,tongue,,alɔŋ,,"pinnow1959versuch[p. 71, item 1176, set V14]",,Pinnow comparative set V14. Linked to Rau m3 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c16.p71.i1176.sV014,,,,
Mahali,,alɔŋ,we two (inclusive),,alɔŋ,,"pinnow1959versuch[p. 73, item 1196, set V34]",,Pinnow comparative set V34.,pinnow1959versuch:C:c16.p73.i1196.sV034,,,,du pron 1pl inclusive
Mahali,,alɛ,we (exclusive),,alɛ,,"pinnow1959versuch[p. 104, item 1349, set V174]",,Pinnow comparative set V174.,pinnow1959versuch:C:c16.p104.i1349.sV174,,,,pron 1pl exclusive
sa,,alɛ,we (plural exclusive),,alɛ,,"pinnow1959versuch[p. 104, item 1349, set V174]",,Pinnow comparative set V174.,pinnow1959versuch:C:c2.p104.i1349.sV174,,,,pron 1pl exclusive
kh,,am du,thou,,am du,,"pinnow1959versuch[p. 71, item 1179, set V17]",,Pinnow comparative set V17.,pinnow1959versuch:C:c1.p71.i1179.sV017,,,,
Asuri,,am,thou,,am,,"pinnow1959versuch[p. 71, item 1179, set V17]",,Pinnow comparative set V17.,pinnow1959versuch:C:c14.p71.i1179.sV017,,,,
Birhor,,am,thou,,am,,"pinnow1959versuch[p. 71, item 1179, set V17]",,Pinnow comparative set V17.,pinnow1959versuch:C:c7.p71.i1179.sV017,,,,
ho,,am,thou,,am,,"pinnow1959versuch[p. 71, item 1179, set V17]",,Pinnow comparative set V17.,pinnow1959versuch:C:c6.p71.i1179.sV017,,,,
ko,,am,thou,,am,,"pinnow1959versuch[p. 71, item 1179, set V17]",,Pinnow comparative set V17.,pinnow1959versuch:C:c5.p71.i1179.sV017,,,,
kw,,am,thou,,am,,"pinnow1959versuch[p. 71, item 1179, set V17]",,Pinnow comparative set V17.,pinnow1959versuch:C:c12.p71.i1179.sV017,,,,
Mahali,,am,thou,,am,,"pinnow1959versuch[p. 71, item 1179, set V17]",,Pinnow comparative set V17.,pinnow1959versuch:C:c16.p71.i1179.sV017,,,,
mu,,am,thou,,am,,"pinnow1959versuch[p. 71, item 1179, set V17]",,Pinnow comparative set V17.,pinnow1959versuch:C:c4.p71.i1179.sV017,,,,
sa,,am,thou,,am,,"pinnow1959versuch[p. 71, item 1179, set V17]",,Pinnow comparative set V17.,pinnow1959versuch:C:c2.p71.i1179.sV017,,,,
ju,,am,thou,,am,,"pinnow1959versuch[p. 71, item 1179, set V17]",,Pinnow comparative set V17.,pinnow1959versuch:C:c11.p71.i1179.sV017,,,,
ju,,aːman-ɖe,thou,,aːman-ɖe,,"pinnow1959versuch[p. 71, item 1179, set V17]",,Pinnow comparative set V17.,pinnow1959versuch:C:c11.p71.i1179.sV017:v2,pinnow1959versuch:C:c11.p71.i1179.sV017,,,
sa,,andoɽ,"noise, tumult",,andoɽ,,"pinnow1959versuch[p. 123, item 1480, set V277a]",,Pinnow comparative set V277a.,pinnow1959versuch:C:c2.p123.i1480.sV277a,,,,
sa,,andoɽ,"noise, uproar, tumult",,andoɽ,,"pinnow1959versuch[p. 113, item 1388, set V212]",,Pinnow comparative set V212.,pinnow1959versuch:C:c2.p113.i1388.sV212,,,,
mu,,andɔːɽ,"noise, uproar, shouting",,andɔːɽ,,"pinnow1959versuch[p. 113, item 1388, set V212]",,Pinnow comparative set V212.,pinnow1959versuch:C:c4.p113.i1388.sV212,,,,
mu,,andɔɽɔ,"noise, uproar, shouting",,andɔɽɔ,,"pinnow1959versuch[p. 113, item 1388, set V212]",,Pinnow comparative set V212.,pinnow1959versuch:C:c4.p113.i1388.sV212:v2,pinnow1959versuch:C:c4.p113.i1388.sV212,,,
mu,,andɔːɽ,"noise, uproar, shouting",,andɔːɽ,,"pinnow1959versuch[p. 123, item 1480, set V277a]",,Pinnow comparative set V277a.,pinnow1959versuch:C:c4.p123.i1480.sV277a,,,,
mu,,andɔɽɔ,"noise, uproar, shouting",,andɔɽɔ,,"pinnow1959versuch[p. 123, item 1480, set V277a]",,Pinnow comparative set V277a.,pinnow1959versuch:C:c4.p123.i1480.sV277a:v2,pinnow1959versuch:C:c4.p123.i1480.sV277a,,,
ko,,anuɟ,to bend,,anuɟ,,"pinnow1959versuch[p. 91, item 1274, set V108]",,Pinnow comparative set V108.,pinnow1959versuch:C:c5.p91.i1274.sV108,,,,
Birhor,,apa,father,,apa,,"pinnow1959versuch[p. 72, item 1187, set V25]",,Pinnow comparative set V25.,pinnow1959versuch:C:c7.p72.i1187.sV025,,,,
kw,,apa,father,,apa,,"pinnow1959versuch[p. 72, item 1187, set V25]",,Pinnow comparative set V25.,pinnow1959versuch:C:c12.p72.i1187.sV025,,,,
Mahali,,apa,father,,apa,,"pinnow1959versuch[p. 72, item 1187, set V25]",,Pinnow comparative set V25.,pinnow1959versuch:C:c16.p72.i1187.sV025,,,,
mu,,apa,father,,apa,,"pinnow1959versuch[p. 72, item 1187-2, set V25]",,Pinnow comparative set V25.,pinnow1959versuch:C:c4.p72.i1187-2.sV025,,,,
ko,,apai,three,,apai,,"pinnow1959versuch[p. 164, item 1577, set V348]",,Pinnow comparative set V348.,pinnow1959versuch:C:c5.p164.i1577.sV348,,,,
Asuri,,ape,you,,ape,,"pinnow1959versuch[p. 76, item 1215, set V53]",,Pinnow comparative set V53.,pinnow1959versuch:C:c14.p76.i1215.sV053,,,,
Birhor,,ape,you,,ape,,"pinnow1959versuch[p. 76, item 1215, set V53]",,Pinnow comparative set V53.,pinnow1959versuch:C:c7.p76.i1215.sV053,,,,
ho,,ape,you,,ape,,"pinnow1959versuch[p. 76, item 1215, set V53]",,Pinnow comparative set V53.,pinnow1959versuch:C:c6.p76.i1215.sV053,,,,
ko,,ape,you,,ape,,"pinnow1959versuch[p. 76, item 1215, set V53]",,Pinnow comparative set V53.,pinnow1959versuch:C:c5.p76.i1215.sV053,,,,
kw,,ape,you,,ape,,"pinnow1959versuch[p. 76, item 1215, set V53]",,Pinnow comparative set V53.,pinnow1959versuch:C:c12.p76.i1215.sV053,,,,
mu,,ape,you,,ape,,"pinnow1959versuch[p. 76, item 1215, set V53]",,Pinnow comparative set V53.,pinnow1959versuch:C:c4.p76.i1215.sV053,,,,
sa,,ape,you,,ape,,"pinnow1959versuch[p. 76, item 1215, set V53]",,Pinnow comparative set V53.,pinnow1959versuch:C:c2.p76.i1215.sV053,,,,
sa,,apɛ,you,,apɛ,,"pinnow1959versuch[p. 76, item 1215, set V53]",,Pinnow comparative set V53.,pinnow1959versuch:C:c2.p76.i1215.sV053:v2,pinnow1959versuch:C:c2.p76.i1215.sV053,,,
ju,,ape-re,you,,ape-re,,"pinnow1959versuch[p. 76, item 1215, set V53]",,Pinnow comparative set V53.,pinnow1959versuch:C:c11.p76.i1215.sV053,,,,
mu,,api,three,,api,,"pinnow1959versuch[p. 164, item 1577, set V348]",,Pinnow comparative set V348.,pinnow1959versuch:C:c4.p164.i1577.sV348,,,,
mu,,apia,three,,apia,,"pinnow1959versuch[p. 164, item 1577, set V348]",,Pinnow comparative set V348.,pinnow1959versuch:C:c4.p164.i1577.sV348:v2,pinnow1959versuch:C:c4.p164.i1577.sV348,,,
mu,,apia,three,,apia,,"pinnow1959versuch[p. 164, item 1577-2, set V348]",,Pinnow comparative set V348.,pinnow1959versuch:C:c4.p164.i1577-2.sV348,,,,
ho,,apia,three,,apia,,"pinnow1959versuch[p. 164, item 1577, set V348]",,Pinnow comparative set V348.,pinnow1959versuch:C:c6.p164.i1577.sV348,,,,
ho,,ape,three,,ape,,"pinnow1959versuch[p. 164, item 1577, set V348]",,Pinnow comparative set V348.,pinnow1959versuch:C:c6.p164.i1577.sV348:v2,pinnow1959versuch:C:c6.p164.i1577.sV348,,,
Birhor,,apir,to fly,,apir,,"pinnow1959versuch[p. 362, item 930, set K501]",,Pinnow comparative set K501.,pinnow1959versuch:C:c7.p362.i930.sK501,,,,
ho,,apir,to fly,,apir,,"pinnow1959versuch[p. 362, item 930, set K501]",,Pinnow comparative set K501.,pinnow1959versuch:C:c6.p362.i930.sK501,,,,
ko,,apir,to fly,,apir,,"pinnow1959versuch[p. 362, item 930, set K501]",,Pinnow comparative set K501.,pinnow1959versuch:C:c5.p362.i930.sK501,,,,
mu,,apir,to fly,,apir,,"pinnow1959versuch[p. 362, item 930, set K501]",,Pinnow comparative set K501.,pinnow1959versuch:C:c4.p362.i930.sK501,,,,
mu,,aprɔˀb,wings,,aprɔˀb,,"pinnow1959versuch[p. 362, item 930-1, set K501]",,Pinnow comparative set K501.,pinnow1959versuch:C:c4.p362.i930-1.sK501,,,,
mu,,apərɔˀb,wings,,apərɔˀb,,"pinnow1959versuch[p. 362, item 930-1, set K501]",,Pinnow comparative set K501.,pinnow1959versuch:C:c4.p362.i930-1.sK501:v2,pinnow1959versuch:C:c4.p362.i930-1.sK501,,,
mu,,apəraˀb,wings,,apəraˀb,,"pinnow1959versuch[p. 362, item 930-1, set K501]",,Pinnow comparative set K501.,pinnow1959versuch:C:c4.p362.i930-1.sK501:v3,pinnow1959versuch:C:c4.p362.i930-1.sK501,,,
ho,,apu,father,,apu,,"pinnow1959versuch[p. 72, item 1187, set V25]",,Pinnow comparative set V25.,pinnow1959versuch:C:c6.p72.i1187.sV025,,,,
mu,,apu,father,,apu,,"pinnow1959versuch[p. 72, item 1187, set V25]",,Pinnow comparative set V25.,pinnow1959versuch:C:c4.p72.i1187.sV025,,,,
Mahali,,apɛ,you,,apɛ,,"pinnow1959versuch[p. 76, item 1215, set V53]",,Pinnow comparative set V53.,pinnow1959versuch:C:c16.p76.i1215.sV053,,,,
ho,,ara,son-in-law,,ara,,"pinnow1959versuch[p. 265, item 461, set K339]",,Pinnow comparative set K339.,pinnow1959versuch:C:c6.p265.i461.sK339,,,,
mu,,ara,son-in-law,,ara,,"pinnow1959versuch[p. 265, item 461, set K339]",,Pinnow comparative set K339.,pinnow1959versuch:C:c4.p265.i461.sK339,,,,
ko,,are (aːreː),nine (adj.),,are (aːreː),,"pinnow1959versuch[p. 76, item 1216, set V54]",,Pinnow comparative set V54.,pinnow1959versuch:C:c5.p76.i1216.sV054,,,,
sa,,are,nine,,are,,"pinnow1959versuch[p. 76, item 1216, set V54]",,Pinnow comparative set V54.,pinnow1959versuch:C:c2.p76.i1216.sV054,,,,
sa,,arɛ,nine,,arɛ,,"pinnow1959versuch[p. 76, item 1216, set V54]",,Pinnow comparative set V54.,pinnow1959versuch:C:c2.p76.i1216.sV054:v2,pinnow1959versuch:C:c2.p76.i1216.sV054,,,
ho,,area,nine,,area,,"pinnow1959versuch[p. 76, item 1216, set V54]",,Pinnow comparative set V54.,pinnow1959versuch:C:c6.p76.i1216.sV054,,,,
mu,,area,nine,,area,,"pinnow1959versuch[p. 76, item 1216, set V54]",,Pinnow comparative set V54.,pinnow1959versuch:C:c4.p76.i1216.sV054,,,,
