PKher,pkh-497-88,*a-pɛ,you plural inclusive,,*a-pɛ,,"munda1968proto[p. 88, SEAlang record 497]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p497.i88,,,,pron pl inclusive
PKher,pkh-818-113,*a-r-kid,to take away,,*a-r-kid,,"munda1968proto[p. 113, SEAlang record 818]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p818.i113,,,,
PKher,pkh-253-69,*a-tu,to float,,*a-tu,,"munda1968proto[p. 69, SEAlang record 253]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p253.i69,,,,
PKher,pkh-751-108,*ab,to wash face,,*ab,,"munda1968proto[p. 108, SEAlang record 751]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p751.i108,,,,
PKher,pkh-276-71,*ab-uʔ,to wash face,,*ab-uʔ,,"munda1968proto[p. 71, SEAlang record 276]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p276.i71,,,,
PKher,pkh-276-71,*ab-uŋ,to wash face,,*ab-uŋ,,"munda1968proto[p. 71, SEAlang record 276]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p276.i71:v2,munda1968proto:R:c3.p276.i71,,,
PKher,pkh-949-123,*aba,father,,*aba,,"munda1968proto[p. 123, SEAlang record 949]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p949.i123,,,,
PKher,pkh-723-106,*abɔ̀,"we,1st plural inclusive",,*abɔ̀,,"munda1968proto[p. 106, SEAlang record 723]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p723.i106,,,,pl inclusive
PKher,pkh-249-69,*acu,to employ,,*acu,,"munda1968proto[p. 69, SEAlang record 249]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p249.i69,,,,
PKher,pkh-283-72,*acur,to return,,*acur,,"munda1968proto[p. 72, SEAlang record 283]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p283.i72,,,,
PKher,pkh-756-108,*ad,to lose; to loan,,*ad,,"munda1968proto[p. 108, SEAlang record 756]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p756.i108,,,,
PKher,pkh-501-89,*adɛr,to bring in,,*adɛr,,"munda1968proto[p. 89, SEAlang record 501]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p501.i89,,,,
PKher,pkh-262-70,*ajub,dark; evening,,*ajub,,"munda1968proto[p. 70, SEAlang record 262]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p262.i70,,,,
PKher,pkh-943-121,*ajur,ahead,,*ajur,,"munda1968proto[p. 121, SEAlang record 943]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p943.i121,,,,adv
PKher,pkh-943-121,*ajar,ahead,,*ajar,,"munda1968proto[p. 121, SEAlang record 943]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p943.i121:v2,munda1968proto:R:c3.p943.i121,,,adv
PKher,pkh-657-100,*ajɔm,"to hear, listen",,*ajɔm,,"munda1968proto[p. 100, SEAlang record 657]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p657.i100,,,,
PKher,pkh-657-100,*ajɔ̀m,"to hear, listen",,*ajɔ̀m,,"munda1968proto[p. 100, SEAlang record 657]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p657.i100:v2,munda1968proto:R:c3.p657.i100,,,
PKher,pkh-111-59,*aliɲ,we two (exclusive),,*aliɲ,,"munda1968proto[p. 59, SEAlang record 111]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p111.i59,,,,exclusive
PKher,pkh-111-59,*aliŋ,we two (exclusive),,*aliŋ,,"munda1968proto[p. 59, SEAlang record 111]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p111.i59:v2,munda1968proto:R:c3.p111.i59,,,exclusive
PKher,pkh-670-102,*alɔ,"no, negative particle",,*alɔ,,"munda1968proto[p. 102, SEAlang record 670]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p670.i102,,,,part
PKher,pkh-767-109,*am,"you, 2nd person singular",,*am,,"munda1968proto[p. 109, SEAlang record 767]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p767.i109,,,,sg 2sg
PKher,pkh-112-59,*amiɲ,to clear,,*amiɲ,,"munda1968proto[p. 59, SEAlang record 112]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p112.i59,,,,
PKher,pkh-112-59,*amiŋ,to clear,,*amiŋ,,"munda1968proto[p. 59, SEAlang record 112]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p112.i59:v2,munda1968proto:R:c3.p112.i59,,,
PKher,pkh-999-126,*andaʔ,to fry,,*andaʔ,,"munda1968proto[p. 126, SEAlang record 999]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p999.i126,,,,
PKher,pkh-117-59,*apir,to fly,,*apir,,"munda1968proto[p. 59, SEAlang record 117]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p117.i59,,,,
PKher,pkh-252-69,*apu,father,,*apu,,"munda1968proto[p. 69, SEAlang record 252]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p252.i69,,,,
PKher,pkh-1000-126,*araʔ,"red, bright",,*araʔ,,"munda1968proto[p. 126, SEAlang record 1000]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1000.i126,,,,
PKher,pkh-98-58,*arid,to open eyes,,*arid,,"munda1968proto[p. 58, SEAlang record 98]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p98.i58,,,,
PKher,pkh-1037-128,*arsal,"lit, light",,*arsal,,"munda1968proto[p. 128, SEAlang record 1037]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1037.i128,,,,
PKher,pkh-483-88,*arɛ,nine,,*arɛ,,"munda1968proto[p. 88, SEAlang record 483]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p483.i88,,,,
PKher,pkh-495-88,*arɛɟ,to bail out (water),,*arɛɟ,,"munda1968proto[p. 88, SEAlang record 495]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p495.i88,,,,
PKher,pkh-698-104,*arɛ̀l,hailstone,,*arɛ̀l,,"munda1968proto[p. 104, SEAlang record 698]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p698.i104,,,,
PKher,pkh-704-104,*asaɛ̀,gadfly,,*asaɛ̀,,"munda1968proto[p. 104, SEAlang record 704]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p704.i104,,,,
PKher,pkh-99-58,*asid,to cease breathing,,*asid,,"munda1968proto[p. 58, SEAlang record 99]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p99.i58,,,,
PKher,pkh-1043-128x2,*askal,light,,*askal,,"munda1968proto[p. 128-2, SEAlang record 1043]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1043.i128-2,,,,
PKher,pkh-282-72,*asul,to support,,*asul,,"munda1968proto[p. 72, SEAlang record 282]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p282.i72,,,,
PKher,pkh-950-123,*ata,to parch,,*ata,,"munda1968proto[p. 123, SEAlang record 950]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p950.i123,,,,
PKher,pkh-1045-128,*atar,to burn,,*atar,,"munda1968proto[p. 128, SEAlang record 1045]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1045.i128,,,,
PKher,pkh-1027-127,*ataŋ,to receive,,*ataŋ,,"munda1968proto[p. 127, SEAlang record 1027]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1027.i127,,,,
PKher,pkh-113-59,*atiɲ,to graze,,*atiɲ,,"munda1968proto[p. 59, SEAlang record 113]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p113.i59,,,,
PKher,pkh-113-59,*atiŋ,to graze,,*atiŋ,,"munda1968proto[p. 59, SEAlang record 113]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p113.i59:v2,munda1968proto:R:c3.p113.i59,,,
PKher,pkh-942-121,*atur,to winnow,,*atur,,"munda1968proto[p. 121, SEAlang record 942]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p942.i121,,,,
PKher,pkh-659-101,*atɔm,side,,*atɔm,,"munda1968proto[p. 101, SEAlang record 659]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p659.i101,,,,adv
PKher,pkh-498-88,*atɛ,to listen,,*atɛ,,"munda1968proto[p. 88, SEAlang record 498]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p498.i88,,,,
PKher,pkh-498-88x2,*atɛn,to listen,,*atɛn,,"munda1968proto[p. 88-2, SEAlang record 498]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p498.i88-2,,,,
PKher,pkh-130-60,*auri,not yet,,*auri,,"munda1968proto[p. 60, SEAlang record 130]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p130.i60,,,,
PKher,pkh-774-109,*aŋ(ɡa),morning,,*aŋ(ɡa),,"munda1968proto[p. 109, SEAlang record 774]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p774.i109,,,,
PKher,pkh-652-100,*aŋɡɔb,to yawn,,*aŋɡɔb,,"munda1968proto[p. 100, SEAlang record 652]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p652.i100,,,,
PKher,pkh-672-102,*aɔ,at random,,*aɔ,,"munda1968proto[p. 102, SEAlang record 672]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p672.i102,,,,
PKher,pkh-724-106,*aɖɔ̀,urine,,*aɖɔ̀,,"munda1968proto[p. 106, SEAlang record 724]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p724.i106,,,,
PKher,pkh-759-108,*aɟ,"he, she, it, 3rd person singular",,*aɟ,,"munda1968proto[p. 108, SEAlang record 759]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p759.i108,,,,sg 3sg
PKher,pkh-88-58,*aɟi,elder sister,,*aɟi,,"munda1968proto[p. 58, SEAlang record 88]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p88.i58,,,,
PKher,pkh-250-69,*aɡu,to bring,,*aɡu,,"munda1968proto[p. 69, SEAlang record 250]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p250.i69,,,,
PKher,pkh-491-88,*aɲɟɛd,to get dry,,*aɲɟɛd,,"munda1968proto[p. 88, SEAlang record 491]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p491.i88,,,,
PKher,pkh-801-111,*aɳiɟ,to pour,,*aɳiɟ,,"munda1968proto[p. 111, SEAlang record 801]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p801.i111,,,,
PKher,pkh-1026-127,*aɽaŋ,to make noise,,*aɽaŋ,,"munda1968proto[p. 127, SEAlang record 1026]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1026.i127,,,,
PKher,pkh-1001-126,*aɽaʔ,to let go,,*aɽaʔ,,"munda1968proto[p. 126, SEAlang record 1001]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1001.i126,,,,
PKher,pkh-1002-126,*aɽaʔ,"vegetables, potherbs",,*aɽaʔ,,"munda1968proto[p. 126, SEAlang record 1002]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1002.i126,,,,
PKher,pkh-658-101,*aɽɡɔm,to level,,*aɽɡɔm,,"munda1968proto[p. 101, SEAlang record 658]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p658.i101,,,,
PKher,pkh-1039-128,*aʈal,layer,,*aʈal,,"munda1968proto[p. 128, SEAlang record 1039]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1039.i128,,,,
PKher,pkh-1046-129,*aʈkar,to feel,,*aʈkar,,"munda1968proto[p. 129, SEAlang record 1046]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1046.i129,,,,
PKher,pkh-118-59,*aʈkir,kind of creeper,,*aʈkir,,"munda1968proto[p. 59, SEAlang record 118]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p118.i59,,,,
PKher,pkh-1243-141,*aʈɛd,"to spread (e.g., a mat)",,*aʈɛd,,"munda1968proto[p. 141, SEAlang record 1243]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1243.i141,,,,
PKher,pkh-321-75,*b(h)ùʔ,to bark,,*b(h)ùʔ,,"munda1968proto[p. 75, SEAlang record 321]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p321.i75,,,,
PKher,pkh-993-126,*babata,to itch,,*babata,,"munda1968proto[p. 126, SEAlang record 993]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p993.i126,,,,
PKher,pkh-660-101,*badcɔm,kind of grass,,*badcɔm,,"munda1968proto[p. 101, SEAlang record 660]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p660.i101,,,,
PKher,pkh-660-101,*baɡcɔm,kind of grass,,*baɡcɔm,,"munda1968proto[p. 101, SEAlang record 660]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p660.i101:v2,munda1968proto:R:c3.p660.i101,,,
PKher,pkh-951-123,*baha,flower,,*baha,,"munda1968proto[p. 123, SEAlang record 951]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p951.i123,,,,
PKher,pkh-859-115,*bahɛr,rope,,*bahɛr,,"munda1968proto[p. 115, SEAlang record 859]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p859.i115,,,,
PKher,pkh-859-115,*babɛr,rope,,*babɛr,,"munda1968proto[p. 115, SEAlang record 859]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p859.i115:v2,munda1968proto:R:c3.p859.i115,,,
PKher,pkh-787-110,*bai,to make,,*bai,,"munda1968proto[p. 110, SEAlang record 787]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p787.i110,,,,
PKher,pkh-263-70,*bakuʔ,hook,,*bakuʔ,,"munda1968proto[p. 70, SEAlang record 263]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p263.i70,,,,
PKher,pkh-263-70,bakub,hook,,bakub,,"munda1968proto[p. 70, SEAlang record 263]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p263.i70:v2,munda1968proto:R:c3.p263.i70,,,
PKher,pkh-781-110,*bal,to bore a hole,,*bal,,"munda1968proto[p. 110, SEAlang record 781]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p781.i110,,,,
PKher,pkh-1040-128,*balbal,sweat,,*balbal,,"munda1968proto[p. 128, SEAlang record 1040]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1040.i128,,,,
PKher,pkh-none-106,*balɔ̀,"mad, insane",,*balɔ̀,,munda1968proto[p. 106],,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p.i106,,,,
PKher,pkh-952-123,*bana,bear,,*bana,,"munda1968proto[p. 123, SEAlang record 952]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p952.i123,,,,
PKher,pkh-1018-127,*banam,fiddle,,*banam,,"munda1968proto[p. 127, SEAlang record 1018]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1018.i127,,,,
PKher,pkh-777-110,*bar-,two,,*bar-,,"munda1968proto[p. 110, SEAlang record 777]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p777.i110,,,,
PKher,pkh-255-69,*baru,kind of tree,,*baru,,"munda1968proto[p. 69, SEAlang record 255]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p255.i69,,,,
PKher,pkh-485-88,*barɛ,brother,,*barɛ,,"munda1968proto[p. 88, SEAlang record 485]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p485.i88,,,,
PKher,pkh-1028-127,*basaŋ,to boil,,*basaŋ,,"munda1968proto[p. 127, SEAlang record 1028]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1028.i127,,,,
PKher,pkh-775-109,*baŋ,no,,*baŋ,,"munda1968proto[p. 109, SEAlang record 775]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p775.i109,,,,
PKher,pkh-786-110,*baɡi,to leave,,*baɡi,,"munda1968proto[p. 110, SEAlang record 786]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p786.i110,,,,
PKher,pkh-786-110,*baɡɛ,to leave,,*baɡɛ,,"munda1968proto[p. 110, SEAlang record 786]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p786.i110:v2,munda1968proto:R:c3.p786.i110,,,
PKher,pkh-486-88,*baɽɛ,indeed,,*baɽɛ,,"munda1968proto[p. 88, SEAlang record 486]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p486.i88,,,,adv
PKher,pkh-762-108,*baʔ,to hook,,*baʔ,,"munda1968proto[p. 108, SEAlang record 762]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p762.i108,,,,
PKher,pkh-1-51,*bi,to satiate,,*bi,,"munda1968proto[p. 51, SEAlang record 1]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1.i51,,,,
PKher,pkh-6-51,*bid,to plant,,*bid,,"munda1968proto[p. 51, SEAlang record 6]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p6.i51,,,,
PKher,pkh-51-54,*bihur,to turn,,*bihur,,"munda1968proto[p. 54, SEAlang record 51]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p51.i54,,,,
PKher,pkh-53-55,*bindi(ram),spider,,*bindi(ram),,"munda1968proto[p. 55, SEAlang record 53]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p53.i55,,,,
PKher,pkh-18-52,*bir,forest,,*bir,,"munda1968proto[p. 52, SEAlang record 18]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p18.i52,,,,
PKher,pkh-49-54,*bituɟ,to show one's posterior,,*bituɟ,,"munda1968proto[p. 54, SEAlang record 49]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p49.i54,,,,
PKher,pkh-14-52,*biɲ,snake,,*biɲ,,"munda1968proto[p. 52, SEAlang record 14]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p14.i52,,,,
PKher,pkh-14-52,*biŋ,snake,,*biŋ,,"munda1968proto[p. 52, SEAlang record 14]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p14.i52:v2,munda1968proto:R:c3.p14.i52,,,
PKher,pkh-166-62,*buhàl,to float,,*buhàl,,"munda1968proto[p. 62, SEAlang record 166]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p166.i62,,,,
PKher,pkh-145-61,*bul,be intoxicated,,*bul,,"munda1968proto[p. 61, SEAlang record 145]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p145.i61,,,,
PKher,pkh-198-65,*bulu,thigh,,*bulu,,"munda1968proto[p. 65, SEAlang record 198]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p198.i65,,,,
PKher,pkh-1421-151,*buluŋ,salt,,*buluŋ,,"munda1968proto[p. 151, SEAlang record 1421]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1421.i151,,,,
PKher,pkh-199-65,*buru,mountain,,*buru,,"munda1968proto[p. 65, SEAlang record 199]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p199.i65,,,,
PKher,pkh-225-67,*burum,to lie down,,*burum,,"munda1968proto[p. 67, SEAlang record 225]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p225.i67,,,,
PKher,pkh-196-64x2,*busaɽ,to burst,,*busaɽ,,"munda1968proto[p. 64-2, SEAlang record 196]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p196.i64-2,,,,
PKher,pkh-196-64,*busaʔ,to burst,,*busaʔ,,"munda1968proto[p. 64, SEAlang record 196]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p196.i64,,,,
PKher,pkh-213-66,*buɽuɟ,slippery,,*buɽuɟ,,"munda1968proto[p. 66, SEAlang record 213]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p213.i66,,,,
PKher,pkh-172-63,*buʈa,"root, base",,*buʈa,,"munda1968proto[p. 63, SEAlang record 172]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p172.i63,,,,
PKher,pkh-172-63,*ɡuʈa,"root, base",,*ɡuʈa,,"munda1968proto[p. 63, SEAlang record 172]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p172.i63:v2,munda1968proto:R:c3.p172.i63,,,
PKher,pkh-139-60,*buʔ,hole,,*buʔ,,"munda1968proto[p. 60, SEAlang record 139]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p139.i60,,,,
PKher,pkh-139-60,*b(h)ùʔ,hole,,*b(h)ùʔ,,"munda1968proto[p. 60, SEAlang record 139]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p139.i60:v2,munda1968proto:R:c3.p139.i60,,,
PKher,pkh-289-72,*bìl,to spread (e.g. mat),,*bìl,,"munda1968proto[p. 72, SEAlang record 289]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p289.i72,,,,
PKher,pkh-298-73,*bìlì,testicles,,*bìlì,,"munda1968proto[p. 73, SEAlang record 298]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p298.i73,,,,
PKher,pkh-66-56,*bìrìd~ *birid,to get up,,*bìrìd~ *birid,,"munda1968proto[p. 56, SEAlang record 66]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p66.i56,,,,
PKher,pkh-313-74,*bùɡì,"good, get well",,*bùɡì,,"munda1968proto[p. 74, SEAlang record 313]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p313.i74,,,,
PKher,pkh-572-94,*bɔaʔ,"huge, big",,*bɔaʔ,,"munda1968proto[p. 94, SEAlang record 572]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p572.i94,,,,
PKher,pkh-550-93,*bɔda,he-goat,,*bɔda,,"munda1968proto[p. 93, SEAlang record 550]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p550.i93,,,,
PKher,pkh-622-97,*bɔhɔʔ,head,,*bɔhɔʔ,,"munda1968proto[p. 97, SEAlang record 622]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p622.i97,,,,
PKher,pkh-588-95,*bɔkɔ,brother,,*bɔkɔ,,"munda1968proto[p. 95, SEAlang record 588]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p588.i95,,,,
PKher,pkh-589-95,*bɔlɔ,to enter,,*bɔlɔ,,"munda1968proto[p. 95, SEAlang record 589]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p589.i95,,,,
PKher,pkh-534-91,*bɔr,to take out (thread),,*bɔr,,"munda1968proto[p. 91, SEAlang record 534]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p534.i91,,,,
