Koch,,sagu,sky,,sagu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 1, site b Nokshi]",,,silkochbd2011:i001:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,raŋ,rain,,raŋ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 6, site q Uttor Nokshi]",,,silkochbd2011:i006:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,raŋ,rain,,raŋ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 6, site r Chandabhoi]",,,silkochbd2011:i006:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,rɔŋdʰonu,rainbow,,rɔŋdʰonu,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 7, site q Uttor Nokshi]",,,silkochbd2011:i007:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,rɔŋdʰonu,rainbow,,rɔŋdʰonu,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 7, site r Chandabhoi]",,,silkochbd2011:i007:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,lampar,wind,,lampar,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 8, site b Nokshi]",,,silkochbd2011:i008:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,lampar,wind,,lampar,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 8, site c Kholchanda]",,,silkochbd2011:i008:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,nampar,wind,,nampar,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 8, site q Uttor Nokshi]",,,silkochbd2011:i008:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,lampar,wind,,lampar,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 8, site r Chandabhoi]",,,silkochbd2011:i008:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,raŋtʃim la̯uni,lightning,,raŋtʃim la̯uni,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 9, site b Nokshi]",,,silkochbd2011:i009:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,raŋtʃi lo̯uni,lightning,,raŋtʃi lo̯uni,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 9, site c Kholchanda]",,,silkochbd2011:i009:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,tʃilkai̯to,lightning,,tʃilkai̯to,lexical-similarity group 4,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 9, site q Uttor Nokshi]",,,silkochbd2011:i009:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,raŋkarni,lightning,,raŋkarni,lexical-similarity group 5,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 9, site r Chandabhoi]",,,silkochbd2011:i009:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,raŋpatni,thunder,,raŋpatni,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 10, site c Kholchanda]",,,silkochbd2011:i010:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,karto,thunder,,karto,lexical-similarity group 4,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 10, site q Uttor Nokshi]",,,silkochbd2011:i010:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,raŋkuŋni,thunder,,raŋkuŋni,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 10, site r Chandabhoi]",,,silkochbd2011:i010:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,ʃagor,sea,,ʃagor,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 11, site b Nokshi]",,,silkochbd2011:i011:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,ʃagor,sea,,ʃagor,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 11, site c Kholchanda]",,,silkochbd2011:i011:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,ʃagor,sea,,ʃagor,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 11, site q Uttor Nokshi]",,,silkochbd2011:i011:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,ʃagor,sea,,ʃagor,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 11, site r Chandabhoi]",,,silkochbd2011:i011:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,bono,mountain,,bono,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 12, site b Nokshi]",,,silkochbd2011:i012:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,bono,mountain,,bono,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 12, site c Kholchanda]",,,silkochbd2011:i012:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,pahaɽ,mountain,,pahaɽ,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 12, site q Uttor Nokshi]",,,silkochbd2011:i012:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,hakuŋ,mountain,,hakuŋ,lexical-similarity group 4,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 12, site r Chandabhoi]",,,silkochbd2011:i012:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,ti,water,,ti,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 13, site b Nokshi]",,,silkochbd2011:i013:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,ti,water,,ti,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 13, site c Kholchanda]",,,silkochbd2011:i013:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,tika,water,,tika,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 13, site q Uttor Nokshi]",,,silkochbd2011:i013:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,ti,water,,ti,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 13, site r Chandabhoi]",,,silkochbd2011:i013:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,dʒora,river,,dʒora,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 14, site b Nokshi]",,,silkochbd2011:i014:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,tʰoloŋ,river,,tʰoloŋ,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 14, site c Kholchanda]",,,silkochbd2011:i014:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,gaŋ,river,,gaŋ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 14, site q Uttor Nokshi]",,,silkochbd2011:i014:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,timat,river,,timat,lexical-similarity group 7,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 14, site r Chandabhoi]",,,silkochbd2011:i014:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,haʔ,soil/ground,,haʔ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 15, site b Nokshi]",,,silkochbd2011:i015:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,haʔ,soil/ground,,haʔ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 15, site c Kholchanda]",,,silkochbd2011:i015:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,haʔ,soil/ground,,haʔ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 15, site q Uttor Nokshi]",,,silkochbd2011:i015:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,haʔ,soil/ground,,haʔ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 15, site r Chandabhoi]",,,silkochbd2011:i015:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,haʔdilɛka / kadoŋ,mud,,haʔdilɛka / kadoŋ,lexical-similarity group 2 | 3,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 16, site b Nokshi]",,,silkochbd2011:i016:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,haʔdilɛka / kadoŋ,mud,,haʔdilɛka / kadoŋ,lexical-similarity group 2 | 3,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 16, site c Kholchanda]",,,silkochbd2011:i016:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,hadlika,mud,,hadlika,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 16, site q Uttor Nokshi]",,,silkochbd2011:i016:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,haʔdilɛka / kadoŋ,mud,,haʔdilɛka / kadoŋ,lexical-similarity group 2 | 3,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 16, site r Chandabhoi]",,,silkochbd2011:i016:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,hapu,dust,,hapu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 17, site b Nokshi]",,,silkochbd2011:i017:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,haʃɛŋ,dust,,haʃɛŋ,lexical-similarity group 5,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 17, site q Uttor Nokshi]",,,silkochbd2011:i017:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,loŋtʰai̯,stone,,loŋtʰai̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 18, site b Nokshi]",,,silkochbd2011:i018:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,loŋtʰai̯,stone,,loŋtʰai̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 18, site c Kholchanda]",,,silkochbd2011:i018:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,loŋtʰɛŋ,stone,,loŋtʰɛŋ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 18, site q Uttor Nokshi]",,,silkochbd2011:i018:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,loŋtʰai̯,stone,,loŋtʰai̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 18, site r Chandabhoi]",,,silkochbd2011:i018:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,hasɛŋ,sand,,hasɛŋ,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 19, site b Nokshi]",,,silkochbd2011:i019:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,hatʃɛŋ,sand,,hatʃɛŋ,lexical-similarity group 1 | 2,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 19, site c Kholchanda]",,,silkochbd2011:i019:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,haʃɛŋ,sand,,haʃɛŋ,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 19, site q Uttor Nokshi]",,,silkochbd2011:i019:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,hasɛŋ,sand,,hasɛŋ,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 19, site r Chandabhoi]",,,silkochbd2011:i019:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,ʃona,gold,,ʃona,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 20, site b Nokshi]",,,silkochbd2011:i020:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,ʃona,gold,,ʃona,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 20, site c Kholchanda]",,,silkochbd2011:i020:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,ʃona,gold,,ʃona,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 20, site q Uttor Nokshi]",,,silkochbd2011:i020:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,ʃona,gold,,ʃona,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 20, site r Chandabhoi]",,,silkochbd2011:i020:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,rupa,silver,,rupa,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 21, site b Nokshi]",,,silkochbd2011:i021:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,rupa,silver,,rupa,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 21, site c Kholchanda]",,,silkochbd2011:i021:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,rupa,silver,,rupa,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 21, site q Uttor Nokshi]",,,silkochbd2011:i021:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,rupa,silver,,rupa,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 21, site r Chandabhoi]",,,silkochbd2011:i021:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,tai̯ni,today,,tai̯ni,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 22, site b Nokshi]",,,silkochbd2011:i022:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,tai̯ni,today,,tai̯ni,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 22, site c Kholchanda]",,,silkochbd2011:i022:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,tini,today,,tini,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 22, site q Uttor Nokshi]",,,silkochbd2011:i022:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,tai̯ni,today,,tai̯ni,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 22, site r Chandabhoi]",,,silkochbd2011:i022:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,mui̯ja,yesterday,,mui̯ja,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 23, site b Nokshi]",,,silkochbd2011:i023:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,mui̯ja,yesterday,,mui̯ja,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 23, site c Kholchanda]",,,silkochbd2011:i023:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,ganɛkai̯,yesterday,,ganɛkai̯,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 23, site q Uttor Nokshi]",,,silkochbd2011:i023:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,mui̯ja,yesterday,,mui̯ja,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 23, site r Chandabhoi]",,,silkochbd2011:i023:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,gɛnɛ,tomorrow,,gɛnɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 24, site b Nokshi]",,,silkochbd2011:i024:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,gɛnɛ,tomorrow,,gɛnɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 24, site c Kholchanda]",,,silkochbd2011:i024:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,oi̯dina,tomorrow,,oi̯dina,lexical-similarity group 4,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 24, site q Uttor Nokshi]",,,silkochbd2011:i024:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,gɛnɛ,tomorrow,,gɛnɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 24, site r Chandabhoi]",,,silkochbd2011:i024:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,hatai̯,week,,hatai̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 25, site b Nokshi]",,,silkochbd2011:i025:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,hatai̯,week,,hatai̯,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 25, site c Kholchanda]",,,silkochbd2011:i025:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,ʃɔpta,week,,ʃɔpta,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 43, wordlist item 25, site q Uttor Nokshi]",,,silkochbd2011:i025:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
