Goj,,dʒhɑn,body,,dʒhɑn,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list UDH]",,,sileasterngujari2023:p042:i001:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,mũ,face,,mũ,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list UDH]",,,sileasterngujari2023:p042:i004:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,mũ,face,,mũ,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list JAM]",,,sileasterngujari2023:p042:i004:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,mũ,face,,mũ,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list CHA]",,,sileasterngujari2023:p042:i004:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,mũ,face,,mũ,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list RAM]",,,sileasterngujari2023:p042:i004:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,mũ,face,,mũ,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list NAL]",,,sileasterngujari2023:p042:i004:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,mũ,face,,mũ,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list DEH]",,,sileasterngujari2023:p042:i004:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,mũ,face,,mũ,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list KOT]",,,sileasterngujari2023:p042:i004:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,mũ,face,,mũ,source lexical-similarity group 1; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list HAL]",,,sileasterngujari2023:p042:i004:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,tʃɛhɾʌ,face,,tʃɛhɾʌ,source lexical-similarity group 2; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 4, list HAL]",,,sileasterngujari2023:p042:i004:HAL:a2,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,ɑkh,eye,,ɑkh,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 5, list UDH]",,,sileasterngujari2023:p042:i005:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,ɑkh,eye,,ɑkh,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 5, list JAM]",,,sileasterngujari2023:p042:i005:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,ʌkh,eye,,ʌkh,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 5, list CHA]",,,sileasterngujari2023:p042:i005:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,ɑkh,eye,,ɑkh,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 5, list RAM]",,,sileasterngujari2023:p042:i005:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,ɑkh,eye,,ɑkh,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 5, list NAL]",,,sileasterngujari2023:p042:i005:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,ɑkh,eye,,ɑkh,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 5, list DEH]",,,sileasterngujari2023:p042:i005:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,ʌkh,eye,,ʌkh,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 5, list DEH]",,,sileasterngujari2023:p042:i005:DEH:a2,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,ɑkh,eye,,ɑkh,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 5, list KOT]",,,sileasterngujari2023:p042:i005:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,ʌkh,eye,,ʌkh,source lexical-similarity group 1; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 5, list HAL]",,,sileasterngujari2023:p042:i005:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,kɑn,ear,,kɑn,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 6, list UDH]",,,sileasterngujari2023:p042:i006:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,kʌn,ear,,kʌn,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 6, list JAM]",,,sileasterngujari2023:p042:i006:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,kʌn,ear,,kʌn,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 6, list CHA]",,,sileasterngujari2023:p042:i006:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,kʌn,ear,,kʌn,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 6, list RAM]",,,sileasterngujari2023:p042:i006:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,kʌn,ear,,kʌn,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 6, list NAL]",,,sileasterngujari2023:p042:i006:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,kʌn,ear,,kʌn,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 6, list DEH]",,,sileasterngujari2023:p042:i006:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,kʌn,ear,,kʌn,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 6, list KOT]",,,sileasterngujari2023:p042:i006:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,kʌn,ear,,kʌn,source lexical-similarity group 1; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 6, list HAL]",,,sileasterngujari2023:p042:i006:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,nʌk,nose,,nʌk,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 7, list UDH]",,,sileasterngujari2023:p043:i007:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,nʌk,nose,,nʌk,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 7, list JAM]",,,sileasterngujari2023:p043:i007:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,nɑs,nose,,nɑs,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 7, list JAM]",,,sileasterngujari2023:p043:i007:JAM:a2,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,nʌk,nose,,nʌk,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 7, list CHA]",,,sileasterngujari2023:p043:i007:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,nʌk,nose,,nʌk,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 7, list RAM]",,,sileasterngujari2023:p043:i007:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,nʌk,nose,,nʌk,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 7, list NAL]",,,sileasterngujari2023:p043:i007:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,nʌk,nose,,nʌk,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 7, list DEH]",,,sileasterngujari2023:p043:i007:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,nʌk,nose,,nʌk,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 7, list KOT]",,,sileasterngujari2023:p043:i007:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,nʌk,nose,,nʌk,source lexical-similarity group 1; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 7, list HAL]",,,sileasterngujari2023:p043:i007:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,oʈh,mouth,,oʈh,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 8, list UDH]",,,sileasterngujari2023:p043:i008:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,mũ,mouth,,mũ,source lexical-similarity group 2; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 8, list JAM]",,,sileasterngujari2023:p043:i008:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,mũh,mouth,,mũh,source lexical-similarity group 2; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 8, list CHA]",,,sileasterngujari2023:p043:i008:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,mũ,mouth,,mũ,source lexical-similarity group 2; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 8, list RAM]",,,sileasterngujari2023:p043:i008:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,mũ,mouth,,mũ,source lexical-similarity group 2; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 8, list NAL]",,,sileasterngujari2023:p043:i008:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,mũ,mouth,,mũ,source lexical-similarity group 2; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 8, list DEH]",,,sileasterngujari2023:p043:i008:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,mũ,mouth,,mũ,source lexical-similarity group 2; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 8, list KOT]",,,sileasterngujari2023:p043:i008:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,mũ,mouth,,mũ,source lexical-similarity group 2; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 8, list HAL]",,,sileasterngujari2023:p043:i008:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,dʌnd,teeth,,dʌnd,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 9, list UDH]",,,sileasterngujari2023:p043:i009:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,dʌnt,teeth,,dʌnt,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 9, list UDH]",,,sileasterngujari2023:p043:i009:UDH:a2,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,dʌnd,teeth,,dʌnd,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 9, list JAM]",,,sileasterngujari2023:p043:i009:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,dʌnd,teeth,,dʌnd,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 9, list CHA]",,,sileasterngujari2023:p043:i009:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,dʌnd,teeth,,dʌnd,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 9, list RAM]",,,sileasterngujari2023:p043:i009:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,dʌnd,teeth,,dʌnd,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 9, list NAL]",,,sileasterngujari2023:p043:i009:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,dʌnd,teeth,,dʌnd,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 9, list DEH]",,,sileasterngujari2023:p043:i009:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,dʌnd,teeth,,dʌnd,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 9, list KOT]",,,sileasterngujari2023:p043:i009:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,dʌnd,teeth,,dʌnd,source lexical-similarity group 1; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 9, list HAL]",,,sileasterngujari2023:p043:i009:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,dʒib,tongue,,dʒib,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 10, list UDH]",,,sileasterngujari2023:p043:i010:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,dʒib,tongue,,dʒib,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 10, list JAM]",,,sileasterngujari2023:p043:i010:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,dʒib,tongue,,dʒib,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 10, list CHA]",,,sileasterngujari2023:p043:i010:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,dʒib,tongue,,dʒib,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 10, list RAM]",,,sileasterngujari2023:p043:i010:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,dʒib,tongue,,dʒib,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 43, printed p. 35, item 10, list NAL]",,,sileasterngujari2023:p043:i010:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
