ktivi,n13,âč′e pâṭol,eyelash,,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n13,âčp′uṭi,eyelash,,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n13,âći˜pâṭ′uak,eyelash,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n13,ače˜-poṭ,eyelash,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sanu,n14,paṣ′a,sleeping platform in stable,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n14,paṣa,bed in stable,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
usut,n15,paṣk′i:,shaman,,,,buddruss,,,,,,,noun dialect:Prasun%3A%20Usut
sec,n15,paṣk′i:,shaman,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
supu,n15,paṣk′i,shaman,,,,strand,,,,,,,noun dialect:Prasun%3A%20Supu
ktivi,n15,pṣ′a,shaman; seer,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n15,pṣ′a-,"teach someone to be well-bred, polite",,,,strand,,,,,,,verb tr dialect:Kamviri
Kam,n15,pṣ′a,shaman; seer,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n15,paṣâːr′a,shaman; seer,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
Kam,7824,pârn′a-,spurn; reject [something] because it is no good,,,[+],strand,,,,,,,verb tr dialect:Kamviri
nis,7843,paren,sieve,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,7875,purv′â-,deny; lie,,,[+?],strand,,,,,,,verb tr dialect:Kamviri
Kam,7908,p′una,having milk left over from the previous year's pregnancy (cow),,,[+?],strand,,,,,,,adj dialect:Kamviri
ktivi,n16,p′eć,large ax,,,[whence e?],strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n16,p′eć,large ax,,,[whence e?],strand,,,,,,,noun dialect:Kamviri
sanu,n17,poːs,large ax,,,[r̥ > o?],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
Kam,n18,pârd′o,curtain; fret (on stringed instrument),,,[final o for a?],strand,,,,,,,noun dialect:Kamviri
ktivi,n19,pař′a,smallpox,,,[connection with OIA paṭ- ‘split’?],strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n19,p′uř,smallpox,,,[connection with OIA paṭ- ‘split’?],strand,,,,,,,noun f dialect:Kamviri
sanu,n19,paṛ′a,smallpox,,,[connection with OIA paṭ- ‘split’?],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n19,paṛa,smallpox,,,[connection with OIA paṭ- ‘split’?],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n19,p′uř gâdo,after-effects of smallpox,,,,strand,,,,,,,noun dialect:Kamviri
nis,n19,paṛa-c̣o,pocmark,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n20,pât′ia-,believe,,,,strand,,,,,,,verb intr dialect:Kamviri
nis,n20,pate-,believe,,,,strand,,,,,,,verb intr dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,7730,p′iača-,sift,,,,strand,,,,,,,verb tr dialect:Kamviri
Kam,n21,p′iače˜,sieve,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n21,piać′a˜,colander,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
sec,7748,vy′ele,tendon,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n22,pal′ei,summer cooperative goatherd,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n22,pâl′ea,summer cooperative goatherd,,,,strand,,,,,,,noun dialect:Kamviri
nis,n22,pala·i,herding group,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sanu,n23,pârâk-ie-,flash; be shiny,,,,strand,,,,,,,verb dialect:Ashkun%3A%20Sanu
nis,n23,palakana,shiny,,,,strand,,,,,,,adj dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n24,pâl′it,unclean; immoral,,,,strand,,,,,,,adj dialect:Kamviri
nis,7981,pala-,wash (body),,,,strand,,,,,,,verb tr dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n25,p′âtvo,puttee,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n25,p′âatu,puttee,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n25,pâitâv′a,puttee,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
ktivi,n26,pâ·′u,"down (away from the speaker, at an angle)",,,,strand,,,,,,,dir dialect:Katavari%3A%20Ktivi
Kam,n26,p′âa,"down (away from the speaker, at an angle)",,,,strand,,,,,,,dir dialect:Kamviri
sanu,n26,pâu,"down (away from the speaker, at an angle)",,,,strand,,,,,,,dir dialect:Ashkun%3A%20Sanu
nis,n26,pâ,"down (away from the speaker, at an angle)",,,,strand,,,,,,,dir dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n27,p′ok,clean,,,,strand,,,,,,,adj dialect:Kamviri
Kam,n28,po·kist′on,Pakistan,,,,strand,,,,,,,spatial dialect:Kamviri
ktivi,n29,pc̣′an,war,,,[+],strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n29,pâc̣′an,war,,,[+],strand,,,,,,,noun dialect:Kamviri
sanu,n29,pâc̣ân′a,war,,,[+],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n29,pâc̣ana,hostility,,,[+],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n30,pâc̣′an vâňi,enemy,,,,strand,,,,,,,noun dialect:Kamviri
nis,n30,pac̣anavňe,enemy,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n31,iž′inik,thread,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,n31,pâč′e˜,cotton thread,,,,strand,,,,,,,noun dialect:Kamviri
Kam,8133,p′oš,trap,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n32,pâl′a,apple,,,[+; - T. 9051 ph′ala- ‘fruit; grain’],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n32,palâ,apple,,,[+; - T. 9051 ph′ala- ‘fruit; grain’],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n32,pal′â,apple,,,[+; - T. 9051 ph′ala- ‘fruit; grain’],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
sec,n33,av′â,apple,,,[+; - T. 9051 ph′ala- ‘fruit; grain’],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
sec,n33,v′â,apple,,,[+; - T. 9051 ph′ala- ‘fruit; grain’],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n33,pâř′a,apple,,,[+; - T. 9051 ph′ala- ‘fruit; grain’],strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n33,pâř′a,apple,,,[+; - T. 9051 ph′ala- ‘fruit; grain’],strand,,,,,,,noun f dialect:Kamviri
Kam,n34,pâṭ′ol,vulture; lammergeier,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n34,pâṭ′âːl,vulture; lammergeier,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
ktivi,n35,pâṣâ·′i,Pašaī,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n35,pâṣ′âa,Pašaī,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n35,pâːṣ′âi,Pashaī,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
usut,n36,uṣ′üt,"Pâṣki, the lowermost Vasi village",,,[?; v. Morgenstierne 1949: 192],strand,,,,,,,spatial dialect:Prasun%3A%20Usut
sec,n36,uṣ′üt,"Pâṣki, the lowermost Vasi village",,,[?; v. Morgenstierne 1949: 192],morgenstierne,,,,,,,spatial dialect:Prasun%3A%20Sec
ktivi,n37,pâr′ek,shoulder blade,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n37,pâr′ik,shoulder blade,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n37,pâr′ik,shoulder blade,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
Kam,n38,pât′a bu-,"remain, be left",,,,strand,,,,,,,verb intr dialect:Kamviri
ktivi,8061,p′ovkâřu štum,cottonwood,,,[+],strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,8061,p′okořa_kâno,cottonwood,,,[+],strand,,,,,,,noun f dialect:Kamviri
sanu,n39,pâd′i,dry volume measure: “bushel” (about 14 Kabuli paw in weight of grain),,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n39,pâdi,volume measure (= 2 dübaka),,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n40,bâč′o,king,,,,strand,,,,,,,noun dialect:Kamviri
nis,n40,pâc̣â,king,,,[whence c̣?],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,8082,pař′e-,irrigate,,,[+],strand,,,,,,,verb tr dialect:Katavari%3A%20Ktivi
Kam,8082,pâň′e-,irrigate,,,[+],strand,,,,,,,verb tr dialect:Kamviri
Kam,8047.1,p′ânṭâri,cow-name,,,[+; < IA.],strand,,,,,,,noun f dialect:Kamviri
zumu,n41,pâṇ′a,Pâṇḍava,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Zumu
Kam,n41,pâṇ′u břâźo,seven heroic mythical brothers (“seven Pâṇḍavas”),,,,strand,,,,,,,noun dialect:Kamviri
nis,n41,paṇâv,"Pâṇḍava, a local mountain-top diety",,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n42,p′upu,cuff,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n42,p′o#pa,cuff,,,,strand,,,,,,,noun dialect:Kamviri
Kam,n42,k′ür popa,sole (of foot),,,,strand,,,,,,,noun dialect:Kamviri
sanu,n42,pâp′oː,sole (of foot),,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
Kam,n43,pâir′â,sentry,,,,strand,,,,,,,noun dialect:Kamviri
Kam,n44,pk′ü,wall brace,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n44,pik′o,wall brace,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
Kam,8217,pć′a-,chop into small pieces; dice,,,[+],strand,,,,,,,verb tr dialect:Kamviri
sec,n45,vaz,light cloud,,,[+],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,n45,p′ič,“skin” on milk; cream,,,[+],strand,,,,,,,noun dialect:Kamviri
sanu,n45,p′ić,“skin” on milk; cream,,,[+],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
sanu,n46,pis′a˜,crop,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n46,pšu˜,grain,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n47,pṣk′ok,goat or sheep dung,,,[relationship to T. 8139.1 *parṣi- ‘dung’ is unclear],strand,,,,,,,noun pl dialect:Katavari%3A%20Ktivi
Kam,n47,ṣki′âk,goat or sheep dung,,,[relationship to T. 8139.1 *parṣi- ‘dung’ is unclear],strand,,,,,,,noun pl dialect:Kamviri
sanu,n47,pstik′âːk,goat or sheep dung,,,[relationship to T. 8139.1 *parṣi- ‘dung’ is unclear],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n47,pištik,goat or sheep dung,,,[relationship to T. 8139.1 *parṣi- ‘dung’ is unclear],strand,,,,,,,noun pl dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n48,p′iṭ,"ridge, mountain spur",,,[cf. Kalaṣa-mandr piṣṭ ‘ridge’],strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n48,p′iṭ,"ridge, mountain spur",,,[cf. Kalaṣa-mandr piṣṭ ‘ridge’],strand,,,,,,,noun f dialect:Kamviri
nis,n48,paṭa,ridge; mountain spur,,,[cf. Kalaṣa-mandr piṣṭ ‘ridge’],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n49,pit′ea,kind of gun,,,,strand,,,,,,,noun dialect:Kamviri
nis,n49,pitei,Snyder rifle (?),,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n50,pi′uř,gallbladder,,,[+],strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
ktivi,n50,pi′uć,gallbladder,,,[+],strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n50,p′üt,gallbladder,,,[+],strand,,,,,,,noun f dialect:Kamviri
nis,n50,pit,gallbladder,,,[+],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n51,p′iṣ,fart (silent),,,,strand,,,,,,,noun dialect:Kamviri
nis,n51,pis,fart (silent),,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n55,při·′i,deflowered vagina,,,[Pok. +?],strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n55,př′ia,vagina,,,[Pok. +?],strand,,,,,,,noun dialect:Kamviri
sanu,n55,piṛ′i,vagina,,,[Pok. +?],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
sanu,n56,p′il,shallow wooden bowl,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n56,dapel,shallow wooden bowl,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,n56,dâpilig,kind of wooden pot,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n57,âb′iŋgʸâ,next day; tomorrow,,,[?],morgenstierne,,,,,,,spatial temporal dialect:Prasun%3A%20Sec
nis,8201,pilik,ant,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
usut,8222,pir′e:,stone wall; livestock enclosure,,,,buddruss,,,,,,,noun dialect:Prasun%3A%20Usut
sec,8222,p′ira,outside wall,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
sec,8222,pira,wall (outside),,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,8227,pišd′o,"blowing snow (especially, off a mountaintop)",,,[- T. 8227 pi:ḍ′â- ‘pain; damage’; form is a modern compound],strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,8227,p′iš do,"blowing snow (especially, off a mountaintop)",,,[- T. 8227 pi:ḍ′â- ‘pain; damage’; form is a modern compound],strand,,,,,,,noun dialect:Kamviri
ktivi,n58,pâ,across (in a horizontal plane),,,,strand,,,,,,,dir dialect:Katavari%3A%20Ktivi
Kam,n58,p′e,across (in a horizontal plane),,,,strand,,,,,,,dir dialect:Kamviri
sanu,n58,pâ,across (in a horizontal plane),,,,strand,,,,,,,dir dialect:Ashkun%3A%20Sanu
nis,n58,pe,across (in a horizontal plane),,,,strand,,,,,,,dir dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n62,′ić püṇ,bear fat,,,[+; whence ṇ?],strand,,,,,,,noun dialect:Kamviri
Kam,n62,p′üṇ bu-,become very fat,,,[+; whence ṇ?],strand,,,,,,,verb intr dialect:Kamviri
sanu,n62,p′iːn,bear fat,,,[+],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
sec,n66,peš′âši,a goddess (Nirmali),,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
supu,n66,pas′âsi,a goddess (Nirmali),,,,strand,,,,,,,noun f dialect:Prasun%3A%20Supu
sec,n69,-ṣü-,crush,,,[?],morgenstierne,,,,,,,verb dialect:Prasun%3A%20Sec
ktivi,n70,pš′e-,grind; crush into small pieces,,,,strand,,,,,,,verb tr dialect:Katavari%3A%20Ktivi
Kam,n70,pš′a-,grind; crush into small pieces,,,,strand,,,,,,,verb tr dialect:Kamviri
nis,n70,piša-,grind; crush into small pieces,,,,strand,,,,,,,verb tr dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n74,vyoć,pine,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n74,p′iaći,pine (Pinus excelsa),,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n74,p′üaći_kâno,pine (Pinus excelsa),,,[whence üa?],strand,,,,,,,noun f dialect:Kamviri
sanu,n74,p′iːć,pine (Pinus excelsa),,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n74,püć,pine (Pinus excelsa),,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
zumu,n78,′uzâ,herdsman,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Zumu
sec,n78,vuz′â,herdsman,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,n78,pâć′o,caretaker; upbringer,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n80,pašpâm′âć,goatherd,,,[also Pok. 839 pō(i)-₁ ‘graze’ > PrAr. pâ- ‘herder’],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n80,gâ-pašpâ,cow herder,,,[also Pok. 839 pō(i)-₁ ‘graze’ > PrAr. pâ- ‘herder’],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,n80,pašpâ,herdsman,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n85,pč′e-,broil,,,,strand,,,,,,,verb tr dialect:Katavari%3A%20Ktivi
Kam,n85,pâč′a-,broil,,,,strand,,,,,,,verb tr dialect:Kamviri
nis,n85,pača-,cook,,,,strand,,,,,,,verb tr dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n88,-puk,ripening; ripening-time,,,,strand,,,,,,,noun dialect:Kamviri
nis,n88,-pok,ripening; ripening-time,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n89,pk′e-,ripen; be cooked [grain products?],,,,strand,,,,,,,verb intr dialect:Katavari%3A%20Ktivi
Kam,n89,pâk′a-,ripen; be cooked [grain products?],,,,strand,,,,,,,verb intr dialect:Kamviri
nis,n89,pukâla,rotten; crumbling,,,,strand,,,,,,,adj dialect:Nuristani%20Kalasha%3A%20Nisheigram
sanu,n90,p′oːc̣-ie,ripen; be cooked,,,,strand,,,,,,,verb dialect:Ashkun%3A%20Sanu
sec,n93,peǰa-,cook; boil,,,,morgenstierne,,,,,,,verb dialect:Prasun%3A%20Sec
sec,n96,üšum-vić′i,bat,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
usut,n98,ob′uć,side,,,[or T. 8118 ?],buddruss,,,,,,,noun dialect:Prasun%3A%20Usut
sec,n98,ob′uć,side; direction,,,[or T. 8118 ?],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
nis,n98,pâći,side,,,[or T. 8118 ?],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
usut,n100,ust′u,breast; rib,,,[< PIE peḱt-? Cf. Latin pectus],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Usut
sec,n100,vust′u,breast; rib,,,[< PIE peḱt-? Cf. Latin pectus],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,n104,přâ-,outward,,,[+],strand,,,,,,,dir dialect:Kamviri
nis,n104,pra-,outward,,,[+],strand,,,,,,,dir dialect:Nuristani%20Kalasha%3A%20Nisheigram
usut,n107,pâ,to; at,,,[?; or < pr′a ‘forward’ with r lost in weak position],buddruss,,,,,,,spatial dialect:Prasun%3A%20Usut
sec,n107,pâ,to,,,[?; or < pr′a ‘forward’ with r lost in weak position],morgenstierne,,,,,,,spatial dialect:Prasun%3A%20Sec
ktivi,n107,pa-,to; in; at; [direction not toward speaker],,,[?; or < pr′a ‘forward’ with r lost in weak position],strand,,,,,,,dir dialect:Katavari%3A%20Ktivi
Kam,n107,pâ-,to; in; at; [direction not toward speaker],,,[?; or < pr′a ‘forward’ with r lost in weak position],strand,,,,,,,dir dialect:Kamviri
sanu,n107,pa-,to; in; at; [direction not toward speaker],,,[?; or < pr′a ‘forward’ with r lost in weak position],strand,,,,,,,dir dialect:Ashkun%3A%20Sanu
Kam,n109,purk′uř,stepchild,,,,strand,,,,,,,noun dialect:Kamviri
Kam,n110,pâr′iṣ,an Afghan (Sâlârz′i) village on the east bank of the Kunar River: âsm′âr,,,[+],strand,,,,,,,spatial dialect:Kamviri
ktivi,n113,p′uve,last year,,,[v. Hamp 1968: 135],strand,,,,,,,adv dialect:Katavari%3A%20Ktivi
Kam,n113,p′ua,last year,,,[v. Hamp 1968: 135],strand,,,,,,,adv dialect:Kamviri
sanu,n113,p′au,last year,,,[v. Hamp 1968: 135],strand,,,,,,,spatial temporal dialect:Ashkun%3A%20Sanu
nis,n113,pöv,last year,,,[v. Hamp 1968: 135],strand,,,,,,,spatial temporal dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n118,pâr-,win,,,,morgenstierne,,,,,,,verb dialect:Prasun%3A%20Sec
Kam,n118,′u pârâ-,"put up, set up; build [a house]; string [a bow]; open [an umbrella]",,,[+?],strand,,,,,,,verb tr dialect:Kamviri
sec,n121,p′ârag,leaf,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n121,př′or,"leaf; sheet, page; razor blade",,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n121,p′or,"leaf; sheet, page; razor blade",,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n121,p′âːr,"leaf; sheet, page; razor blade",,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n123,poṭ,"leaf; sheet, page; razor blade",,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n123,p′åṭ,leaf,,,[+],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
ktivi,n127,p′un,leek (wild),,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n127,p′on,leek (wild),,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n127,p′â˜t,leek (wild),,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n127,pân,leek (wild),,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n131,pâš′i,breast,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,n131,pâṣ′ü,upper rib,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n131,pâṣ′u,upper rib,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n131,pâṣü,upper rib,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sanu,n132,pâṣuâṭ′iː,floating rib,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
ktivi,n133,p′âṣčuṭ,floating rib,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n133,pâšš′üṭ,floating rib,,,,strand,,,,,,,noun dialect:Kamviri
ktivi,n136,pâṣ′i,mountainside; slope,,,"[+; - T. 8140 pâṣ′i:- ‘stone, rock’ on semantic grounds]",strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n136,pâṣ′ü,mountainside; slope,,,"[+; -T. 8140 pâṣ′i-:- ‘stone, rock’ on semantic grounds]",strand,,,,,,,noun dialect:Kamviri
sanu,n136,pâṣ′u,mountainside; slope,,,"[+; -T. 8140 pâṣ′i-:- ‘stone, rock’ on semantic grounds]",strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
ktivi,n140,pṣi′e-,drip almost dry,,,"[+; cf. `ṣpiṣ ‘drizzle’, OIA pruṣ ‘sprinkle’]",strand,,,,,,,verb intr dialect:Katavari%3A%20Ktivi
Kam,n140,pṣ′ia-,drip almost dry,,,"[+; cf. `ṣpiṣ ‘drizzle’, OIA pruṣ ‘sprinkle’]",strand,,,,,,,verb intr dialect:Kamviri
usut,n144,′aṣe˜,heel,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Usut
zumu,n144,′aṣa˜,heel,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Zumu
