humla_til,,zuwu,body,,zuwu,,devries2020humla[p. 49],,,humla:1:til:1
humla_kermi,,kaŋba,foot,,kaŋba,,devries2020humla[p. 50],,,humla:18:kermi:1
humla_yakpa,,kaŋba,foot,,kaŋba,,devries2020humla[p. 50],,,humla:18:yakpa:1
humla_bargaun,,kaŋba,foot,,kaŋba,,devries2020humla[p. 50],,,humla:18:bargaun:1
humla_dojam,,kaŋba,foot,,kaŋba,,devries2020humla[p. 50],,,humla:18:dojam:1
humla_til,,pamo,skin,,pamo,,devries2020humla[p. 50],,,humla:19:til:1
humla_muchu,,pakpu,skin,,pakpu,,devries2020humla[p. 50],,,humla:19:muchu:1
humla_yalbang,,pak̚ pu,skin,,pak̚ pu,,devries2020humla[p. 50],,,humla:19:yalbang:1
humla_kermi,,paːmu,skin,,paːmu,,devries2020humla[p. 50],,,humla:19:kermi:1
humla_yakpa,,paŋmu,skin,,paŋmu,,devries2020humla[p. 50],,,humla:19:yakpa:1
humla_bargaun,,pãŋmu,skin,,pãŋmu,,devries2020humla[p. 50],,,humla:19:bargaun:1
humla_dojam,,paːmu,skin,,paːmu,,devries2020humla[p. 50],,,humla:19:dojam:1
humla_til,,rywa,bone,,rywa,,devries2020humla[p. 50],,,humla:20:til:1
humla_muchu,,rikok̚,bone,,rikok̚,,devries2020humla[p. 50],,,humla:20:muchu:1
humla_yalbang,,rikok̚,bone,,rikok̚,,devries2020humla[p. 50],,,humla:20:yalbang:1
humla_kermi,,rikok̚,bone,,rikok̚,,devries2020humla[p. 50],,,humla:20:kermi:1
humla_yakpa,,rʉkɔʔ,bone,,rʉkɔʔ,,devries2020humla[p. 50],,,humla:20:yakpa:1
humla_bargaun,,rukaʔ,bone,,rukaʔ,,devries2020humla[p. 50],,,humla:20:bargaun:1
humla_dojam,,rykɔʔ,bone,,rykɔʔ,,devries2020humla[p. 50],,,humla:20:dojam:1
humla_til,,ɲiŋ,heart,,ɲiŋ,,devries2020humla[p. 50],,,humla:21:til:1
humla_muchu,,ɲiŋ,heart,,ɲiŋ,,devries2020humla[p. 50],,,humla:21:muchu:1
humla_yalbang,,ɲiŋ,heart,,ɲiŋ,,devries2020humla[p. 50],,,humla:21:yalbang:1
humla_kermi,,ɲiŋ,heart,,ɲiŋ,,devries2020humla[p. 50],,,humla:21:kermi:1
humla_yakpa,,ɲiŋ,heart,,ɲiŋ,,devries2020humla[p. 50],,,humla:21:yakpa:1
humla_bargaun,,ɲiŋ,heart,,ɲiŋ,,devries2020humla[p. 50],,,humla:21:bargaun:1
humla_dojam,,ɲiŋ,heart,,ɲiŋ,,devries2020humla[p. 50],,,humla:21:dojam:1
humla_til,,ʈʰak,blood,,ʈʰak,,devries2020humla[p. 50],,,humla:22:til:1
humla_muchu,,ʈʰak̚,blood,,ʈʰak̚,,devries2020humla[p. 50],,,humla:22:muchu:1
humla_yalbang,,ʈʰak,blood,,ʈʰak,,devries2020humla[p. 50],,,humla:22:yalbang:1
humla_kermi,,ʈʰak̚,blood,,ʈʰak̚,,devries2020humla[p. 50],,,humla:22:kermi:1
humla_yakpa,,ʈʰak,blood,,ʈʰak,,devries2020humla[p. 50],,,humla:22:yakpa:1
humla_bargaun,,ʈʰak,blood,,ʈʰak,,devries2020humla[p. 50],,,humla:22:bargaun:1
humla_dojam,,ʈʰak̚,blood,,ʈʰak̚,,devries2020humla[p. 50],,,humla:22:dojam:1
humla_til,,baŋ,urine,,baŋ,,devries2020humla[p. 50],,,humla:23:til:1
humla_muchu,,ba,urine,,ba,,devries2020humla[p. 50],,,humla:23:muchu:1
humla_yalbang,,ba,urine,,ba,,devries2020humla[p. 50],,,humla:23:yalbang:1
humla_kermi,,baŋ,urine,,baŋ,,devries2020humla[p. 50],,,humla:23:kermi:1
humla_yakpa,,baŋ,urine,,baŋ,,devries2020humla[p. 50],,,humla:23:yakpa:1
humla_bargaun,,baŋ,urine,,baŋ,,devries2020humla[p. 50],,,humla:23:bargaun:1
humla_dojam,,tsʲin,urine,,tsʲin,,devries2020humla[p. 50],,,humla:23:dojam:1
humla_til,,kʲækpa,feces,,kʲækpa,,devries2020humla[p. 50],,,humla:24:til:1
humla_muchu,,cakpa,feces,,cakpa,,devries2020humla[p. 50],,,humla:24:muchu:1
humla_yalbang,,aka,feces,,aka,,devries2020humla[p. 50],,,humla:24:yalbang:1
humla_kermi,,aː,feces,,aː,,devries2020humla[p. 50],,,humla:24:kermi:1
humla_yakpa,,cakpa,feces,,cakpa,,devries2020humla[p. 50],,,humla:24:yakpa:1
humla_bargaun,,aːk̚,feces,,aːk̚,,devries2020humla[p. 50],,,humla:24:bargaun:1
humla_dojam,,agʌ,feces,,agʌ,,devries2020humla[p. 50],,,humla:24:dojam:1
humla_til,,jyl,village,,jyl,,devries2020humla[p. 51],,,humla:25:til:1
humla_muchu,,jyl,village,,jyl,,devries2020humla[p. 51],,,humla:25:muchu:1
humla_yalbang,,jʉl,village,,jʉl,,devries2020humla[p. 51],,,humla:25:yalbang:1
humla_kermi,,jyl,village,,jyl,,devries2020humla[p. 51],,,humla:25:kermi:1
humla_yakpa,,jʉl,village,,jʉl,,devries2020humla[p. 51],,,humla:25:yakpa:1
humla_bargaun,,jʉl,village,,jʉl,,devries2020humla[p. 51],,,humla:25:bargaun:1
humla_dojam,,jyl,village,,jyl,,devries2020humla[p. 51],,,humla:25:dojam:1
humla_til,,kʰaŋba,house,,kʰaŋba,,devries2020humla[p. 51],,,humla:26:til:1
humla_muchu,,kʰaŋba,house,,kʰaŋba,,devries2020humla[p. 51],,,humla:26:muchu:1
humla_yalbang,,cʰɪm,house,,cʰɪm,,devries2020humla[p. 51],,,humla:26:yalbang:1
humla_kermi,,kʰaŋba,house,,kʰaŋba,,devries2020humla[p. 51],,,humla:26:kermi:1
humla_yakpa,,kaŋba,house,,kaŋba,,devries2020humla[p. 51],,,humla:26:yakpa:1
humla_bargaun,,kʰaŋba,house,,kʰaŋba,,devries2020humla[p. 51],,,humla:26:bargaun:1
humla_dojam,,kʰaŋba,house,,kʰaŋba,,devries2020humla[p. 51],,,humla:26:dojam:1
humla_til,,ʈʰok̚,roof,,ʈʰok̚,,devries2020humla[p. 51],,,humla:27:til:1
humla_muchu,,tʰok,roof,,tʰok,,devries2020humla[p. 51],,,humla:27:muchu:1
humla_yalbang,,kanak,roof,,kanak,,devries2020humla[p. 51],,,humla:27:yalbang:1
humla_kermi,,kʰanak̚,roof,,kʰanak̚,,devries2020humla[p. 51],,,humla:27:kermi:1
humla_yakpa,,kʰanak̚,roof,,kʰanak̚,,devries2020humla[p. 51],,,humla:27:yakpa:1
humla_bargaun,,kʰanjak̚,roof,,kʰanjak̚,,devries2020humla[p. 51],,,humla:27:bargaun:1
humla_dojam,,tenak̚,roof,,tenak̚,,devries2020humla[p. 51],,,humla:27:dojam:1
humla_til,,go,door,,go,,devries2020humla[p. 51],,,humla:28:til:1
humla_muchu,,go,door,,go,,devries2020humla[p. 51],,,humla:28:muchu:1
humla_yalbang,,go,door,,go,,devries2020humla[p. 51],,,humla:28:yalbang:1
humla_kermi,,go,door,,go,,devries2020humla[p. 51],,,humla:28:kermi:1
humla_yakpa,,ko,door,,ko,,devries2020humla[p. 51],,,humla:28:yakpa:1
humla_bargaun,,go,door,,go,,devries2020humla[p. 51],,,humla:28:bargaun:1
humla_dojam,,ko,door,,ko,,devries2020humla[p. 51],,,humla:28:dojam:1
humla_til,,ʃiŋ,firewood,,ʃiŋ,,devries2020humla[p. 51],,,humla:29:til:1
humla_muchu,,ʃiŋ,firewood,,ʃiŋ,,devries2020humla[p. 51],,,humla:29:muchu:1
humla_yalbang,,ʂiŋ,firewood,,ʂiŋ,,devries2020humla[p. 51],,,humla:29:yalbang:1
humla_kermi,,ʃiŋ,firewood,,ʃiŋ,,devries2020humla[p. 51],,,humla:29:kermi:1
humla_yakpa,,ʃiŋ,firewood,,ʃiŋ,,devries2020humla[p. 51],,,humla:29:yakpa:1
humla_bargaun,,ʃiŋ,firewood,,ʃiŋ,,devries2020humla[p. 51],,,humla:29:bargaun:1
humla_dojam,,ʃiŋ,firewood,,ʃiŋ,,devries2020humla[p. 51],,,humla:29:dojam:1
humla_til,,holmo,broom,,holmo,,devries2020humla[p. 51],,,humla:30:til:1
humla_muchu,,holmu,broom,,holmu,,devries2020humla[p. 51],,,humla:30:muchu:1
humla_yalbang,,homu,broom,,homu,,devries2020humla[p. 51],,,humla:30:yalbang:1
humla_kermi,,holmu,broom,,holmu,,devries2020humla[p. 51],,,humla:30:kermi:1
humla_yakpa,,holmu,broom,,holmu,,devries2020humla[p. 51],,,humla:30:yakpa:1
humla_bargaun,,ɦwaŋmu,broom,,ɦwaŋmu,,devries2020humla[p. 51],,,humla:30:bargaun:1
humla_dojam,,kutso,broom,,kutso,,devries2020humla[p. 51],,,humla:30:dojam:1
humla_til,,marʒoŋ,spice mortar,,marʒoŋ,,devries2020humla[p. 51],,,humla:31:til:1
humla_muchu,,gok̚ por,spice mortar,,gok̚ por,,devries2020humla[p. 51],,,humla:31:muchu:1
humla_yalbang,,gokpur,spice mortar,,gokpur,,devries2020humla[p. 51],,,humla:31:yalbang:1
humla_kermi,,mortsatʰakan,spice mortar,,mortsatʰakan,,devries2020humla[p. 51],,,humla:31:kermi:1
humla_yakpa,,guakpur,spice mortar,,guakpur,,devries2020humla[p. 51],,,humla:31:yakpa:1
humla_bargaun,,guʷakpur,spice mortar,,guʷakpur,,devries2020humla[p. 51],,,humla:31:bargaun:1
humla_dojam,,tʃom,spice mortar,,tʃom,,devries2020humla[p. 51],,,humla:31:dojam:1
humla_til,,tʰoa,hammer,,tʰoa,,devries2020humla[p. 51],,,humla:32:til:1
humla_muchu,,tʰo,hammer,,tʰo,,devries2020humla[p. 51],,,humla:32:muchu:1
humla_yalbang,,tʰoː,hammer,,tʰoː,,devries2020humla[p. 51],,,humla:32:yalbang:1
humla_kermi,,tʰo,hammer,,tʰo,,devries2020humla[p. 51],,,humla:32:kermi:1
humla_yakpa,,tʰoa,hammer,,tʰoa,,devries2020humla[p. 51],,,humla:32:yakpa:1
humla_bargaun,,haʈoɖa,hammer,,haʈoɖa,,devries2020humla[p. 51],,,humla:32:bargaun:1
humla_dojam,,gʰʌn,hammer,,gʰʌn,,devries2020humla[p. 51],,,humla:32:dojam:1
humla_til,,ʈʰi,small knife,,ʈʰi,,devries2020humla[p. 51],,,humla:33:til:1
humla_muchu,,ʈi,small knife,,ʈi,,devries2020humla[p. 51],,,humla:33:muchu:1
humla_yalbang,,ʈʰi,small knife,,ʈʰi,,devries2020humla[p. 51],,,humla:33:yalbang:1
humla_kermi,,ʈi,small knife,,ʈi,,devries2020humla[p. 51],,,humla:33:kermi:1
humla_yakpa,,ʈi,small knife,,ʈi,,devries2020humla[p. 51],,,humla:33:yakpa:1
humla_bargaun,,ʈʰi,small knife,,ʈʰi,,devries2020humla[p. 51],,,humla:33:bargaun:1
humla_dojam,,ʈʰi,small knife,,ʈʰi,,devries2020humla[p. 51],,,humla:33:dojam:1
humla_til,,tari,axe,,tari,,devries2020humla[p. 51],,,humla:34:til:1
humla_muchu,,tari,axe,,tari,,devries2020humla[p. 51],,,humla:34:muchu:1
humla_yalbang,,tari,axe,,tari,,devries2020humla[p. 51],,,humla:34:yalbang:1
humla_kermi,,tari,axe,,tari,,devries2020humla[p. 51],,,humla:34:kermi:1
humla_yakpa,,tʌri,axe,,tʌri,,devries2020humla[p. 51],,,humla:34:yakpa:1
humla_bargaun,,tari,axe,,tari,,devries2020humla[p. 51],,,humla:34:bargaun:1
humla_dojam,,ʈɐri,axe,,ʈɐri,,devries2020humla[p. 51],,,humla:34:dojam:1
humla_til,,tʰakpa,rope,,tʰakpa,,devries2020humla[p. 51],,,humla:35:til:1
humla_muchu,,tʰakpa,rope,,tʰakpa,,devries2020humla[p. 51],,,humla:35:muchu:1
humla_yalbang,,tʰakpa,rope,,tʰakpa,,devries2020humla[p. 51],,,humla:35:yalbang:1
humla_kermi,,tʰakpa,rope,,tʰakpa,,devries2020humla[p. 51],,,humla:35:kermi:1
humla_yakpa,,tʰakpa,rope,,tʰakpa,,devries2020humla[p. 51],,,humla:35:yakpa:1
humla_bargaun,,tʰakpa,rope,,tʰakpa,,devries2020humla[p. 51],,,humla:35:bargaun:1
humla_dojam,,tʰakpa,rope,,tʰakpa,,devries2020humla[p. 51],,,humla:35:dojam:1
humla_til,,kupa,cotton thread,,kupa,,devries2020humla[p. 51],,,humla:36:til:1
humla_muchu,,kupa,cotton thread,,kupa,,devries2020humla[p. 51],,,humla:36:muchu:1
humla_yalbang,,kupa,cotton thread,,kupa,,devries2020humla[p. 51],,,humla:36:yalbang:1
humla_kermi,,kud̚ pa,cotton thread,,kud̚ pa,,devries2020humla[p. 51],,,humla:36:kermi:1
humla_yakpa,,kupa,cotton thread,,kupa,,devries2020humla[p. 51],,,humla:36:yakpa:1
humla_bargaun,,kud̚ pa,cotton thread,,kud̚ pa,,devries2020humla[p. 51],,,humla:36:bargaun:1
humla_dojam,,kud̚ pa,cotton thread,,kud̚ pa,,devries2020humla[p. 51],,,humla:36:dojam:1
humla_til,,palcut̚,woolen thread,,palcut̚,,devries2020humla[p. 52],,,humla:37:til:1
humla_muchu,,neⁱma,woolen thread,,neⁱma,,devries2020humla[p. 52],,,humla:37:muchu:1
humla_yalbang,,palkut,woolen thread,,palkut,,devries2020humla[p. 52],,,humla:37:yalbang:1
humla_kermi,,naⁱma,woolen thread,,naⁱma,,devries2020humla[p. 52],,,humla:37:kermi:1
humla_yakpa,,pal,woolen thread,,pal,,devries2020humla[p. 52],,,humla:37:yakpa:1
humla_bargaun,,pal,woolen thread,,pal,,devries2020humla[p. 52],,,humla:37:bargaun:1
humla_dojam,,pal,woolen thread,,pal,,devries2020humla[p. 52],,,humla:37:dojam:1
humla_til,,kʰap,needle,,kʰap,,devries2020humla[p. 52],,,humla:38:til:1
humla_muchu,,kʰap,needle,,kʰap,,devries2020humla[p. 52],,,humla:38:muchu:1
humla_yalbang,,kʰap,needle,,kʰap,,devries2020humla[p. 52],,,humla:38:yalbang:1
humla_kermi,,kʰap,needle,,kʰap,,devries2020humla[p. 52],,,humla:38:kermi:1
humla_yakpa,,kʰap,needle,,kʰap,,devries2020humla[p. 52],,,humla:38:yakpa:1
humla_bargaun,,kʰap,needle,,kʰap,,devries2020humla[p. 52],,,humla:38:bargaun:1
humla_dojam,,kʰap,needle,,kʰap,,devries2020humla[p. 52],,,humla:38:dojam:1
humla_til,,kolak̚,cloth,,kolak̚,,devries2020humla[p. 52],,,humla:39:til:1
humla_muchu,,re,cloth,,re,,devries2020humla[p. 52],,,humla:39:muchu:1
humla_yalbang,,kolok,cloth,,kolok,,devries2020humla[p. 52],,,humla:39:yalbang:1
humla_kermi,,raⁱ,cloth,,raⁱ,,devries2020humla[p. 52],,,humla:39:kermi:1
humla_yakpa,,ʈoʒi,cloth,,ʈoʒi,,devries2020humla[p. 52],,,humla:39:yakpa:1
humla_bargaun,,kolak̚,cloth,,kolak̚,,devries2020humla[p. 52],,,humla:39:bargaun:1
humla_dojam,,raⁱ,cloth,,raⁱ,,devries2020humla[p. 52],,,humla:39:dojam:1
humla_til,,sɪrtup,ring,,sɪrtup,,devries2020humla[p. 52],,,humla:40:til:1
humla_muchu,,sertup,ring,,sertup,,devries2020humla[p. 52],,,humla:40:muchu:1
humla_yalbang,,sɪptu,ring,,sɪptu,,devries2020humla[p. 52],,,humla:40:yalbang:1
humla_kermi,,surtup̚,ring,,surtup̚,,devries2020humla[p. 52],,,humla:40:kermi:1
